"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"40","22","  Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,479,163.0","2,647,989.0","2,851,612.0"
"41","23","    Domestic business","W987RC1","135,083.0","132,550.0","148,158.0","167,951.0","200,252.0","212,812.0","193,101.0","240,263.0","287,904.0","351,841.0","409,301.0","413,223.0","513,871.0","470,773.0","484,827.0","641,702.0","644,380.0","634,065.0","656,636.0","687,931.0","748,647.0","753,578.0","713,669.0","747,722.0","815,811.0","930,509.0","999,244.0","1,078,031.0","1,215,056.0","1,300,037.0","1,410,232.0","1,530,645.0","1,393,767.0","1,344,864.0","1,374,083.0","1,510,741.0","1,662,126.0","1,820,555.0","1,907,615.0","1,844,374.0","1,409,970.0","1,648,437.0","1,787,982.0","1,976,274.0","2,078,583.0","2,262,129.0"
"42","24","    Households and institutions","W988RC1","38,477.0","37,500.0","48,669.0","60,194.0","66,678.0","61,715.0","64,152.0","82,959.0","108,708.0","126,536.0","130,355.0","116,875.0","117,359.0","110,258.0","152,689.0","178,391.0","185,269.0","215,079.0","235,541.0","249,033.0","251,054.0","239,875.0","230,675.0","265,292.0","291,018.0","325,974.0","318,234.0","354,026.0","380,550.0","435,293.0","473,963.0","503,105.0","534,871.0","580,124.0","653,864.0","765,937.0","864,983.0","860,094.0","736,130.0","580,436.0","468,146.0","452,375.0","451,897.0","502,889.0","569,406.0","589,483.0"
"43","25","  Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0","589,590.0"
"44","26","    Federal","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","287,779.0","268,479.0","253,929.0"
"45","27","    State and local","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","340,492.0","331,645.0","327,839.0","335,661.0"
"46","28","Capital account transactions (net) \1\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,126.0","-2,788.0","-12,854.0","2,066.0","-91.0","-5,410.0","564.0","683.0","1,636.0","-6,492.0","841.0","329.0"
"47","29","  Private","W999RC1","3,463.0","3,810.0","4,470.0","5,668.0","7,927.0","9,872.0","4,696.0","7,680.0","8,978.0","5,882.0","8,149.0","10,392.0","12,341.0","11,382.0","10,978.0","9,748.0","7,069.0","9,369.0","6,847.0","6,929.0","8,287.0","10,806.0","9,600.0","8,251.0","11,645.0","13,973.0","21,182.0","21,882.0","30,004.0","30,818.0","29,284.0","27,647.0","15,531.0","18,063.0","2,464.0","-4,666.0","-30,846.0","20,042.0","-4,011.0","-53,198.0","-121,431.0","-58,509.0","-46,725.0","-23,770.0","7,478.0","8,298.0"
"48","30","    Domestic business","W989RC1","-409.0","-111.0","-78.0","135.0","2,648.0","5,014.0","-259.0","1,784.0","898.0","42.0","2,141.0","3,301.0","4,842.0","3,146.0","4,664.0","3,565.0","681.0","2,241.0","-485.0","-770.0","1,306.0","-655.0","-592.0","6,834.0","-618.0","3,050.0","7,078.0","3,417.0","7,861.0","4,318.0","-401.0","-1,178.0","-6,993.0","-2,667.0","-2,197.0","2,697.0","135.0","13,583.0","348.0","-49,867.0","-83,350.0","-29,444.0","-40,910.0","-11,076.0","-4,335.0","5,160.0"
"49","31","    Households and institutions","W990RC1","3,872.0","3,921.0","4,548.0","5,533.0","5,279.0","4,858.0","4,955.0","5,896.0","8,080.0","5,840.0","6,008.0","7,091.0","7,499.0","8,236.0","6,314.0","6,183.0","6,388.0","7,128.0","7,332.0","7,699.0","6,981.0","11,461.0","10,192.0","1,417.0","12,263.0","10,923.0","14,104.0","18,465.0","22,143.0","26,500.0","29,685.0","28,825.0","22,524.0","20,730.0","4,661.0","-7,363.0","-30,981.0","6,459.0","-4,359.0","-3,331.0","-38,081.0","-29,065.0","-5,815.0","-12,694.0","11,813.0","3,138.0"
"50","32","  Government","W991RC1","-3,461.0","-3,805.0","-4,453.0","-5,638.0","-7,889.0","-9,836.0","-4,639.0","-7,628.0","-8,914.0","-5,795.0","-8,041.0","-10,264.0","-12,219.0","-11,269.0","-10,877.0","-9,650.0","-6,926.0","-9,258.0","-6,710.0","-6,795.0","-7,939.0","-3,433.0","-4,301.0","-9,528.0","-10,769.0","-12,703.0","-20,753.0","-21,674.0","-29,528.0","-30,587.0","-24,815.0","-27,305.0","-28,471.0","-17,563.0","-338.0","1,879.0","17,992.0","-17,976.0","3,922.0","47,787.0","121,997.0","59,192.0","48,361.0","17,277.0","-6,638.0","-7,969.0"
"51","33","    Federal","W992RC1","2,401.0","1,309.0","922.0","-24.0","-2,300.0","-2,542.0","4,391.0","2,647.0","2,615.0","6,133.0","6,180.0","6,157.0","3,319.0","3,463.0","4,860.0","7,856.0","11,990.0","10,086.0","11,453.0","11,955.0","10,576.0","15,827.0","15,656.0","11,521.0","11,555.0","11,013.0","5,023.0","6,146.0","-151.0","-2,258.0","6,582.0","8,294.0","13,132.0","24,127.0","40,189.0","38,507.0","58,342.0","28,799.0","49,614.0","97,215.0","177,411.0","125,348.0","112,966.0","82,786.0","55,988.0","55,372.0"
"52","34","    State and local","W993RC1","-5,862.0","-5,114.0","-5,375.0","-5,614.0","-5,589.0","-7,294.0","-9,030.0","-10,275.0","-11,529.0","-11,928.0","-14,221.0","-16,421.0","-15,538.0","-14,732.0","-15,737.0","-17,506.0","-18,916.0","-19,344.0","-18,163.0","-18,750.0","-18,515.0","-19,260.0","-19,957.0","-21,049.0","-22,324.0","-23,716.0","-25,776.0","-27,820.0","-29,377.0","-28,329.0","-31,397.0","-35,599.0","-41,603.0","-41,690.0","-40,527.0","-36,628.0","-40,350.0","-46,775.0","-45,692.0","-49,428.0","-55,414.0","-66,156.0","-64,605.0","-65,509.0","-62,626.0","-63,341.0"
