"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","    Nonresidential","A008RD3",14.945,14.244,13.262,12.005,11.8,12.211,12.337,12.318,13.35,13.454,13.311,13.617,14.512,16.042,16.56,16.894,17.325,19.164,22.294,24.213,24.775,25.282,27.708,28.336,28.59,28.865,29.257,31.562,33.175,33.344,33.791,33.944,33.75,33.755,33.751,33.921,34.308,34.82,35.706,36.962,38.489,40.308,42.204,43.63,45.309,49.684,56.524,59.659,63.741,68.01,73.533,80.019,87.744,92.578,91.752,91.53,92.248,93.815,94.658,96.761,98.791,100.682,102.24,101.387,101.54,102.029,102.247,101.055,99.775,97.587,96.173,96.219,95.788,95.363,95.355,96.834,100,103.534,106.21,107.897
"17","10","      Structures","A009RD3",4.633,4.385,4.012,3.482,3.518,3.529,3.694,3.688,4.19,4.111,4.066,4.131,4.421,4.932,5.36,5.479,5.722,6.409,7.769,8.643,8.613,8.72,9.725,9.984,10.178,10.055,10.257,11.134,11.611,11.425,11.487,11.473,11.403,11.494,11.593,11.757,12.098,12.533,12.924,13.57,14.464,15.415,16.602,17.796,19.175,21.828,24.443,25.644,27.868,30.56,34.11,37.281,42.408,45.755,44.59,44.978,46.046,46.93,47.684,49.709,51.654,53.322,54.287,54.298,56.103,58.089,60.6,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,121.275,125.207
"18","11","      Equipment and software","A010RD3",24.403,23.425,22.204,20.944,20.12,21.256,21.068,21.035,22.239,22.774,22.534,23.137,24.609,27.064,27.207,27.729,28.197,30.867,34.969,37.489,38.937,39.913,43.304,44.18,44.288,45.35,45.779,49.181,51.97,53.002,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.75,54.94,56.416,57.985,60.119,61.905,62.651,63.716,68.414,78.523,83.144,88.084,92.731,98.611,107.033,114.682,119.155,119.406,118.364,118.221,120.094,120.75,122.256,123.785,125.389,127.178,125.681,124.408,123.695,122.265,119.323,115.788,110.641,107.406,106.114,103.603,101.494,100.287,99.897,100,100.194,100.715,101.455
"19","12","    Residential","A011RD3",5.219,5.106,4.621,3.767,3.715,4.124,4.065,4.264,4.677,4.825,4.857,5.002,5.465,5.872,6.355,6.972,7.443,8.169,9.784,10.606,10.747,11.012,11.801,12.125,12.212,12.261,12.516,12.835,12.868,12.836,12.875,12.962,12.983,13.003,12.901,13.003,13.372,13.857,14.339,15.1,16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.713,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.068,66.403,67.828,69.556,71.412,74.151,77.415,80.994,83.002,86.953,93.296,100,106.081,107.513,105.778
"20","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RD3",15.647,14.166,11.146,9.668,9.667,11.209,11.494,11.882,12.671,12.086,11.923,12.932,14.119,17.06,18.662,21.019,20.846,20.148,23.395,24.642,23.173,22.565,25.496,25.651,25.578,25.231,25.447,26.298,27.295,27.019,27.073,27.454,27.871,27.939,27.878,28.107,29.001,29.877,31.022,31.699,32.772,34.028,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.281,84.609,83.343,85.451,89.876,91.373,91.993,93.213,92.833,92.808,93.843,95.997,94.727,93.103,90.973,90.408,92,91.627,91.253,93.217,96.517,100,103.447,107.103,112.389
"23","16","    Goods","A253RD3",18.901,16.908,12.977,11.189,11.706,13.694,14.029,14.367,15.227,14.088,13.778,14.775,15.835,19.279,21.255,24.34,24.246,23.009,27.378,29.142,26.998,26.103,29.924,29.793,29.491,29.071,29.346,30.459,31.45,31.107,31.408,31.619,32.221,31.969,31.866,32.082,33.198,34.332,35.771,36.326,37.454,39.143,40.188,41.256,47.884,60.598,67.352,69.075,71.59,75.718,85.713,93.956,100.586,99.436,98.71,99.569,94.587,91.488,93.853,99.897,101.198,100.238,100.133,98.527,97.97,99.016,101.367,98.749,96.022,92.993,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,107.015,112.366
"24","17","    Services","A646RD3",7.858,7.859,7.318,6.569,4.981,5.431,5.605,6.151,6.811,7.737,8.009,9.23,11.067,13.008,13.913,14.984,14.636,15.221,15.468,15.3,15.637,15.791,16.622,17.572,18.095,17.899,17.982,18.218,19.361,19.23,18.779,19.438,19.504,20.173,20.191,20.447,20.91,21.297,21.888,22.76,23.708,24.165,25.751,28.36,29.68,33.11,35.334,37.468,39.579,42.446,45.749,51.38,55.845,59.232,61.553,62.232,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.139,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.719,107.305,112.445
"25","18","  Imports","A021RD3",11.31,9.644,7.794,6.247,5.987,6.802,6.915,7.399,8.257,7.63,8.009,8.543,9.022,10.334,11.124,11.685,12.013,13.394,16.046,17.439,16.621,17.655,21.338,20.565,19.682,19.95,19.844,20.194,20.423,19.575,19.753,19.941,19.941,19.706,20.088,20.512,20.797,21.281,21.364,21.689,22.254,23.57,25.018,26.77,31.423,44.957,48.699,50.165,54.586,58.441,68.434,85.241,89.823,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.564,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.145,100,104.144,108.017,119.559
"26","19","    Goods","A255RD3",11.545,9.526,7.45,5.839,5.843,6.67,6.779,7.277,8.131,7.288,7.421,7.921,8.495,9.841,10.671,11.396,11.674,13.152,16.15,17.834,16.883,18.262,22.927,21.796,20.862,21.31,21.253,21.67,21.863,20.722,20.873,21.094,20.893,20.394,20.582,21.137,21.241,21.72,21.751,22.043,22.665,24.205,25.445,27.395,32.29,48.319,52.367,53.766,58.693,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.217,96.685,95.605,96.301,98.868,96.362,92.382,86.801,86.875,91.128,88.482,86.93,89.476,93.872,100,104.207,108.046,120.323
"27","20","    Services","A656RD3",9.883,9.462,8.402,7.12,6.026,6.724,6.843,7.217,8.013,8.271,9.591,10.205,10.202,11.405,12.159,12.517,12.921,14.113,15.766,16.323,15.871,15.903,16.842,16.878,16.151,16.106,15.934,16.149,16.416,16.076,16.276,16.395,16.71,16.929,17.623,17.774,18.394,18.854,19.038,19.409,19.804,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.093,42.646,48.16,55.892,58.319,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.071,71.019,73.612,75.673,76.313,77.806,80.235,82.235,82.233,80.628,83.185,84.209,84.219,86.089,91.469,95.573,100,103.806,107.863,115.682
"28","21","Government consumption expenditures and gross investment","A822RD3",6.387,6.19,5.878,5.35,5.508,5.927,5.977,6.157,6.287,6.301,6.2,6.128,6.505,6.538,6.644,6.558,6.632,8.211,8.873,9.217,9.481,9.486,10.116,10.319,10.428,10.648,11.092,11.715,12.232,12.6,12.651,12.808,13.063,13.396,13.688,14.068,14.442,15.041,15.668,16.518,17.515,18.942,20.417,21.986,23.591,25.974,28.581,30.464,32.578,34.664,37.569,41.663,45.761,48.768,50.709,53.31,54.966,55.969,57.532,59.065,60.915,63.395,65.596,67.266,68.938,70.808,72.742,74.477,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.53,100,104.842,109.552,114.502
"29","22","  Federal","A823RD3",6.92,6.613,6.562,6.25,6.317,6.751,6.83,7.459,7.58,7.709,7.564,7.266,7.647,7.501,7.573,7.44,7.507,9.578,10.162,10.069,10.497,10.436,10.892,10.998,11.074,11.331,11.94,12.555,13.117,13.655,13.556,13.669,13.9,14.194,14.498,14.986,15.37,15.905,16.377,17.277,18.215,19.688,21.371,23.457,25.066,27.299,30.14,32.283,34.722,36.866,39.704,43.875,48.137,51.405,53.187,56.325,57.602,57.904,58.608,59.849,61.469,63.512,66.032,68.062,69.79,71.683,73.674,75.719,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.754,110.938
"30","23","    National defense","A824RD3",7.046,6.803,6.716,6.577,6.428,6.773,6.974,7.133,7.37,7.4,7.345,6.984,7.457,7.297,7.371,7.251,7.298,9.36,10.037,9.986,10.322,10.313,10.737,10.779,10.825,11.114,11.732,12.397,12.957,13.45,13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.058,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.286,111.913
"31","24","    Nondefense","A825RD3",6.963,6.58,6.565,6.079,6.31,6.791,6.823,7.622,7.705,7.87,7.693,7.415,7.64,7.862,7.652,7.173,8.005,9.771,10.035,9.799,10.458,10.244,10.789,11.355,11.651,11.659,12.16,12.4,12.921,13.716,13.751,13.922,14.335,14.757,15.011,15.771,16.076,16.68,17.185,18.296,19.251,21.107,22.707,23.851,25.188,27.199,30.453,32.494,34.933,36.452,39.033,42.833,46.837,49.741,51.413,52.69,54.481,55.82,56.856,58.579,60.394,62.462,65.561,66.92,69.883,72.144,74.703,76.276,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.672,108.934
"32","25","  State and local","A829RD3",4.808,4.675,4.395,3.955,4.095,4.419,4.45,4.431,4.54,4.505,4.441,4.48,4.781,5.284,5.675,5.894,6.089,6.654,7.466,8.346,8.418,8.494,9.366,9.769,9.959,10.124,10.321,10.982,11.457,11.609,11.853,12.067,12.358,12.744,13.029,13.294,13.663,14.336,15.139,15.946,17.015,18.413,19.722,20.898,22.497,24.973,27.412,29.117,31.008,33.045,35.979,40.005,43.979,46.791,48.861,51.038,53.006,54.582,56.854,58.626,60.659,63.479,65.448,66.862,68.499,70.357,72.258,73.812,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,110.615,116.642
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Gross national product","A001RD3",10.592,10.205,9.151,8.081,7.865,8.299,8.468,8.558,8.926,8.666,8.579,8.68,9.263,9.99,10.529,10.778,11.065,12.384,13.727,14.497,14.469,14.626,15.677,15.946,16.139,16.287,16.568,17.136,17.705,18.103,18.32,18.577,18.786,19.044,19.248,19.546,19.903,20.469,21.098,21.996,23.081,24.299,25.515,26.617,28.097,30.643,33.541,35.472,37.735,40.385,43.745,47.728,52.206,55.391,57.586,59.749,61.562,62.92,64.749,66.974,69.511,72.199,74.755,76.521,78.224,79.874,81.542,83.096,84.558,85.509,86.766,88.645,90.648,92.113,94.096,96.767,100,103.26,106.215,108.486
