"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Gross output of general government","W085RX1",436.2,433.7,431.7,417.7,421.6,428.5,422.2,424.6,412.5,423.5,414.7,417.1,395.5,407.6,410.7,407.7,404.8,401.9,413.8,425.3,398.8,417.4,407.5,407,418.8,419.7,422.9,429.5,439.9,445.4,453.4,464.1,460,501.7,493.1,501.4,509.9,511.8,524.8,510.3,518,519,532.7,511,524.6,522.3,522.5,529,520.8,527.5,542.3,541.6,550,553.2,578.8,583.4,576.4,592.8
"12","4","    Value added","W086RX1",301.6,298.9,296,290.7,289,288.4,286.8,283.2,281.2,279,278.1,275.1,273.5,271.3,270.8,268,266.2,265.1,265.5,265,263.1,263.9,263.8,263.1,263.9,264.1,264.3,264.3,267.4,269.3,270.2,269.4,274.2,277.2,277.9,278.1,280.8,280.2,282.6,284.1,284.6,283.8,284.2,284.9,281.8,281.4,284.1,284.7,282.8,282.5,285.7,286.9,289.7,292.6,298.5,302.6,306,312.3
"13","5","      Compensation of general government employees","B237RX1",232.4,229.8,226.9,221.3,219.7,219.5,218.1,214.5,212.7,210.5,210,207.1,205.7,203.7,203.6,200.8,199,198,198.7,198.4,196.5,197.6,197.6,197.1,198.1,198.5,198.9,198.9,202.2,204.1,205,204.1,208.8,211.6,212.1,212,214.5,213.5,215.5,216.6,216.6,215.4,215.3,215.5,211.9,211,213.2,213.4,211.1,210.1,212.5,212.9,214.6,216.7,222,225.8,228.2,233.1
"14","6","        Military","B4080X1",147.1,145.6,143.3,141.6,140.7,139.3,138.9,137.7,136.4,135.2,135.5,134.4,133.5,132.3,132.5,131.1,129.9,129.3,130.5,130.2,130,130.1,131.9,132.5,133.5,133.9,133.4,134.3,138,138.8,139.2,138.8,143.7,147.8,147.3,146.3,148.7,147.3,147.2,148.5,148.6,146.8,146.2,146.6,143.5,142.7,144.4,143.8,142.2,141.3,143.4,143,145,146.1,150.3,153.9,156,159.8
"15","7","        Civilian","W090RX1",84.2,83.2,82.6,78.8,78.2,79.2,78.3,76,75.4,74.5,73.7,72,71.5,70.8,70.4,69.1,68.5,68.1,67.7,67.7,66.1,67,65.4,64.4,64.4,64.4,65.3,64.4,64.1,65.2,65.8,65.3,65.1,64,64.9,65.8,65.8,66.3,68.3,68,68.1,68.6,69.1,68.8,68.4,68.4,68.8,69.6,68.9,68.8,69.1,69.9,69.6,70.7,71.7,71.9,72.1,73.2
"16","8","      Consumption of general government fixed capital \2\","B432RX1",70.6,70.3,70.1,69.8,69.6,69.3,69.1,68.8,68.6,68.3,68,67.7,67.4,67.1,66.9,66.7,66.5,66.3,66.2,66,65.9,65.7,65.6,65.5,65.3,65.2,65.1,65,65,65,65.1,65.2,65.4,65.6,65.8,66.1,66.4,66.7,67.1,67.5,68,68.4,68.9,69.4,69.9,70.4,70.9,71.4,71.9,72.5,73.3,74.2,75.3,76.1,76.6,76.8,77.9,79.2
"17","9","    Intermediate goods and services purchased \3\","W087RX1",140.8,140.7,141.3,133.1,138.1,144.8,140.4,145.6,136.3,148.2,141,145.7,127.4,140.4,143.6,143.2,142.1,140.5,151.1,162.2,139.2,155.9,146.8,146.9,157.3,157.9,160.7,166.8,173.9,177.5,184.2,195.2,186.7,224.5,215.5,223.4,229.1,231.5,242.1,226.2,233.4,235.2,248.4,226.1,242.9,241,238.4,244.3,237.9,245.1,256.9,254.9,260.6,260.9,280.6,281.1,270.5,280.6
"18","10","      Durable goods","A998RX1",22.5,20.3,24.4,19.5,20.1,22.8,22.6,20.4,21.1,22.7,21,21.6,20.7,21.1,23,22.3,20.8,23.6,25.3,22.8,23.2,23.1,23.2,22.2,21.7,23.5,24.9,22.2,22.6,23.8,25.5,24.2,23.5,27.1,27.3,27.5,27.8,29.7,30.2,29.2,28.4,29.2,30.3,30.3,31,31.1,32.2,33.7,32.4,34.3,36.6,37.4,38.4,40.9,43.1,44.1,41,45.2
"19","11","        Aircraft","B999RX1",10.6,7.4,11,8.4,9,9.3,9.6,9.1,9.6,10.8,9,10.1,9.7,10.2,10.6,11.5,10.1,11.5,12.2,10.5,11,10,10.7,9.5,9.2,10,11.7,9.8,9.6,10.3,10.6,10.3,10,12.1,11.6,12.1,11.5,11.8,12.6,12.2,10.7,10.7,10.6,11,10.4,10,10.4,12,9.8,10.7,11.6,12.4,11.3,12.2,13.1,13.7,13.6,14.5
"20","12","        Missiles","B277RX1",2.5,3.2,3.5,2.7,2.5,3.1,3.1,2.4,2.3,2.6,2.4,2.5,2.3,2,3.3,2.2,2.3,2.3,2.4,2.5,2.3,2.6,2.6,2.9,2.9,2.8,2.8,2.6,2.4,2.3,2.8,2.8,2.2,2.4,2.4,2.8,2.4,3.2,2.4,2.5,2.9,3.3,3.2,3.7,3.9,4.2,3.7,3.9,4,4.2,4.3,4.6,4.4,4.5,4.5,4.6,4.1,4.2
"21","13","        Ships","B278RX1",1.2,1.4,1.6,0.7,0.7,1.3,1,0.8,1,1,1,0.9,1,0.9,0.9,0.9,1.1,1.4,1.5,1.2,1.4,1.5,1.4,1.3,1.3,1.4,1.4,1.1,1.3,1.4,1.5,1.2,1.3,1.4,1.4,1.3,1.3,1.6,1.7,1.4,1.3,1.4,1.6,1.2,1.6,1.3,1.3,1.3,1.4,1.4,0.8,0.8,0.7,0.8,0.8,0.7,0.6,0.7
"22","14","        Vehicles","B288RX1",1.6,1.6,1.7,1.2,1.3,1.3,1.4,1.3,1.6,1.7,1.4,1.4,1.2,1.2,1.1,1,0.9,0.9,0.8,0.8,0.6,0.8,0.7,0.7,0.7,0.8,0.9,0.8,0.8,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.3,1.3,1.4,1.6,1.8,1.9,1.9,2.3,2.4,2.6,2.6,3,3,3.8,2.5,3.9
"23","15","        Electronics","B388RX1",2.2,2,2.2,1.8,1.9,2.4,2.3,1.9,2.1,2.2,2.3,2.1,2.2,2.1,2.2,2.1,2.2,2.5,2.7,2.4,2.7,2.9,2.6,2.8,2.7,2.9,2.8,2.9,3,3.2,3.4,3.1,3.4,3.7,4.1,3.6,4,4.5,4.5,4.6,4.6,5.1,6.1,5.7,5.9,6,6.7,6.5,7,7.5,8.3,7.9,9.5,10.4,11.4,11.4,10,11.3
"24","16","        Other durable goods","B389RX1",4.8,5,4.6,4.9,4.9,5.5,5.4,5.1,4.7,4.7,5,4.8,4.5,5,5,4.8,4.4,5.1,5.7,5.4,5.2,5.3,5.3,5,4.9,5.6,5.4,5.1,5.5,6,6.4,6,5.9,6.7,6.9,6.9,7.9,7.9,8.2,7.6,7.9,7.7,7.7,7.5,7.8,8,8.4,8.1,8.3,8.2,9.1,9.2,9.9,10.1,10.4,10.1,10.2,10.6
"25","17","      Nondurable goods","A725RX1",11,11.2,11.1,9.8,11.6,12.5,12.5,11.1,12.3,11.4,12.2,12,12,11.8,13.3,12.5,12.2,13.5,16.2,13.5,16.1,15.4,13.4,13.2,13.8,15.3,14.5,16.2,16.1,17.4,16.5,18.3,19.3,19.2,15.5,18.1,21.6,20.8,23,17.6,19.8,21.6,22.2,20,20.1,19.4,21.8,19.2,21.1,20.9,22.3,19.2,20.2,21.2,22.2,22.8,21.9,23.6
"26","18","        Petroleum products","B780RX1",9.2,8.4,9.3,7.5,9.3,8.8,9.6,7.1,7.9,8.1,7.7,7.5,7.9,7.8,7.7,7.1,7.6,8.7,10.8,6.6,8.7,7.7,7.6,7.1,8.5,8.6,8.9,10.2,9.8,10.6,9.4,12,13.2,10.5,5.7,8.6,12,10.3,12.5,6.6,8.5,11,11.2,9.6,9.3,9.3,11.4,8.8,9.9,10.3,11,9.1,9.2,10.2,10.7,10.8,10.6,11
"27","19","        Ammunition","B781RX1",1.3,1.5,1.3,1.1,1.5,1.6,1.2,1.6,2.1,1.6,1.8,1.8,1.7,1.6,2.8,2.3,1.9,2,2.6,2,1.8,1.8,2.3,2.2,2.1,2.4,2.4,2.4,2.6,2.9,3,2.7,2.4,3,3.1,3.1,3.6,3.8,3.9,3.9,3.8,4,4.2,3.9,4,3.9,3.8,4,3.8,3.4,4,3.4,3.9,3.4,3.8,3.9,3.3,3.7
"28","20","        Other nondurable goods","B783RX1",2.7,2.9,2.7,2.7,2.7,3.5,3.5,3.3,3.3,3,3.6,3.5,3.5,3.5,3.3,3.5,3.5,3.8,4.3,4.7,5.8,5.9,3.9,4.2,3.9,4.7,3.9,4.6,4.6,4.8,4.6,4.9,5.2,6.1,5.8,6.2,6.4,6.6,6.7,6.7,7.4,6.6,6.8,6.5,6.9,6.4,6.5,6.4,7.4,7.2,7.3,6.8,7.4,7.7,7.7,8.1,8.2,9
"29","21","      Services","A489RX1",106.3,108.8,104.4,103.1,106,108.8,104.5,113.7,102.4,113.3,107.4,111.7,94.3,106.9,106.9,107.8,108.7,102.9,109.6,125.5,100.1,117.5,109.9,111.2,121.7,119,120.9,128.7,135.4,136.5,142.1,153,144.5,178.2,171.9,177.4,179.8,181,189.1,179.2,185.2,184.4,195.9,176,191.9,190.6,184.2,191.4,184.3,189.8,198.1,198.8,202.5,199.1,215.9,214.7,208,212.5
"30","22","        Research and development","B784RX1",32.8,30.4,32.4,30.5,33.8,36.2,36.2,31.1,31.2,36.8,34.1,35.6,30.6,31.9,32.7,34,34.8,28.7,31.1,34,31.9,31.8,27.7,33.6,32.7,33.7,33.7,35.2,37,41.4,38.3,48.1,39.3,54.1,43.6,50.4,51.1,54.7,53.1,52.9,53.9,57,55.1,49.9,56.8,56.4,53.6,56.6,56.1,55,52.2,52.8,54.1,55.5,55.2,62.2,54.6,57.5
"31","23","        Installation support","B911RX1",32.8,33.6,31.6,31.7,31.9,33.2,31.9,33.4,31,32,31.3,31.2,28.4,30.7,30.8,28.8,29.1,29.6,30.1,33.4,28.4,31.9,31.5,30.1,32.3,31.4,32.4,33.2,34.7,33.6,35.4,35.9,35.4,38.2,40.9,41,38.5,37.1,39.1,35.4,33.9,34.3,37.5,35.6,35.1,36,33.9,36,32.9,33.1,34.1,33.2,33,32.6,36.9,36.1,37.3,38.4
"32","24","        Weapons support","B912RX1",10.3,11.3,9.8,9.6,8,7.9,7.5,12.8,8.9,10.8,10.2,12,7.6,10.7,10.1,11.6,9.5,9.7,11.1,15.3,7,13.2,12.5,12.6,15.2,14.3,13.5,14.9,16.1,15.1,18.7,20.8,17.8,22,25.1,23.6,22.3,20.4,24,21.6,23,22.7,28.1,23.6,24,26.2,22.7,26.9,22.6,24,25.6,24.9,26.2,25.6,33.2,30.3,27.3,27.3
"33","25","        Personnel support","B913RX1",18.9,22,19.3,19.7,20,19.6,18.7,24.9,20.9,23.1,21.5,22.5,17.5,23,22.7,22.7,23.8,23.8,26.4,31.5,21.8,29.6,27.3,24.7,31.1,28.8,30,32.7,34.8,34.4,38.3,39,36.1,41.2,45.8,47,50.7,50.9,55.4,52.1,53.5,52.6,60,57.3,59.8,62.2,56.7,57.8,55.9,59.8,65.4,68.4,70.8,69.3,77.1,73.6,75.2,75.7
"34","26","        Transportation of material","B786RX1",5.6,6.3,6.2,6.5,7,6.8,5.8,5.9,5.2,5.3,5.2,5.3,5.3,5.5,5.5,5.4,6.1,5.7,5.4,5.6,5.6,5.5,5.4,5,5.1,5.4,5.7,6.8,6.9,6.5,5.7,4.2,9.9,15.3,9.4,8.7,9.9,10,9.3,8.6,10.3,9.4,7.4,3.8,8.2,4.9,9.4,7.2,9.2,10.4,12.5,12.4,11.8,10.2,8.4,6.7,7.4,7.6
"35","27","        Travel of persons","B785RX1",6.1,5.7,5.5,5.6,5.7,5.6,4.7,6,5.5,5.5,5.5,5.4,5.3,5.4,5.5,5.6,5.8,5.9,5.9,6,5.9,5.8,5.8,5.5,5.5,5.6,5.9,6.4,6,5.9,5.6,5.1,6,7.4,7.3,6.9,7.4,8,8.1,8.5,10.7,8.4,7.9,5.8,8.1,5.1,7.8,6.9,7.6,7.6,8.3,7.1,6.6,6,5.6,6.3,6.5,6.6
"36","28","  Less: Own-account investment \4\","W088RX1",2.5,2.3,2.3,2.1,2.1,2.1,2.2,2.1,2.3,2.2,1.9,1.7,2,2.2,2,1.5,1.1,2.1,1.9,1.8,1.4,1.4,1.4,1.5,1.8,1.7,1.7,2.1,2.4,2.4,2.5,2.5,2.4,2.4,2.3,2.4,2.1,2.2,2.2,2.2,2,2,2.1,2.1,2,2,2,2.1,2,1.9,1.9,1.9,2,2,2,2,2.2,2.3
"37","29","        Sales to other sectors","W089RX1",3.7,2.5,2.3,3.4,2.8,3.4,4.2,3.6,2.4,3.1,2.7,2.5,3,0.8,3.6,1.4,1,2,3.5,2.1,4,1.6,2.7,1.3,3.6,1.7,2,2.2,1.9,1.5,4.4,2.1,2.3,3.1,3.2,2,2.2,2.6,3.7,2.1,3.5,3.4,3.8,2.5,3.4,4.4,3.8,2.5,4.2,3.3,4.6,3,2.6,2.8,2.7,2.7,2.7,2.7
"38","30","Gross investment \5\","A788RX1",54.3,54.5,51.4,50.9,54.5,54.7,52.3,47.7,44.3,44.8,49.1,49,44.4,46.7,50.9,48.2,45.5,49.3,51.9,50.4,49.9,49.9,50.9,50.5,49.8,52.7,54,54.5,54.5,59.5,62.8,61.7,61.8,64.8,66.6,68.1,68,69.6,74.3,72.5,71.1,74.5,76.8,74.5,76.4,81.4,77.6,82.1,80.1,85.1,86,85.9,89.7,97.9,102.1,103.8,102,107.2
"39","31","  Structures","A808RX1",10.4,9.9,10.1,9.8,9.6,9.6,8.9,8.7,8.5,8.6,9.2,8.5,8,8.4,8.5,7.2,7.6,7.4,7,6.5,6.6,6.7,7.4,6.8,6.2,6.9,6.4,6.6,6.5,6.8,7.3,7.3,8.1,8.3,8.8,8.6,8.3,7.7,8,7.2,7.8,7.3,7.7,7,7.1,7.5,7.2,8,8.4,9.6,9.2,9.4,9.8,10.4,11.1,12.7,13.2,13.9
"40","32","  Equipment and software","A873RX1",44.9,45.4,42.4,42.1,45.6,45.9,44,39.8,36.6,37,40.8,41.2,37,39,43,41.3,38.4,42.3,45,44,43.5,43.4,43.8,43.8,43.6,46,47.7,47.9,48.1,52.7,55.5,54.5,53.8,56.6,57.9,59.6,59.8,61.8,66.3,65.3,63.3,67.1,69.2,67.4,69.3,73.9,70.4,74.1,71.6,75.4,76.8,76.4,79.7,87.4,90.9,90.8,88.4,93
"41","33","    Aircraft","B874RX1",8.6,8,7.1,7.9,10.1,8.9,6.9,4.8,3.9,3.3,6.4,7.8,4,4.6,6.4,6.5,4.8,5.3,7,5.3,7.6,5.8,6.9,5.8,6,6.1,9.5,9,6.9,9,9.5,9.8,8.9,8.6,8,9.4,8.3,9.7,11.6,13.5,12.3,13.5,14.1,14.2,13.2,15.4,11.8,14.6,12.4,14.5,13.2,11.5,10.3,14.7,14.6,14.7,14.5,16.4
"42","34","    Missiles","B875RX1",3.8,5.5,4.9,3.5,4.1,4,4.1,3.6,2.8,2.8,3.1,3.1,3,2.7,4.6,3,2.9,2.9,2.9,3.3,2.5,2.5,2.2,4.1,3.8,3.7,3.3,3.4,3.7,3.5,3.3,3.6,3,3,3.7,4.9,4,3.6,4.5,4.4,3.2,4.5,3.5,4.9,4.7,4.6,3.3,5.3,5.2,4.3,3.8,3.7,3.6,4.3,4.4,3.8,4.5,4.6
"43","35","    Ships","B876RX1",10.7,10.4,9.2,8.7,8.5,8.8,8,7.7,6.7,8,7.7,6.9,7.6,7.2,7.8,8.3,8.3,8.1,7.9,8.5,7.2,8,7.9,8.1,8.5,8.8,8.1,8.7,9.7,10.1,10.5,10.6,9.9,11.7,11.7,10.9,11.1,9.7,12,9.8,9.9,9.6,10.7,9,9.3,10.3,9.5,9.6,8.7,8.8,8.8,9.6,8.3,8.9,9.1,9.6,9,9.5
"44","36","    Vehicles","B877RX1",1.1,1,1.2,1,1.2,1.1,1.1,1.2,1.2,1.4,1.4,1.3,1.3,1.7,1.5,1.4,1.5,1.8,1.5,1.9,1.8,2,2,1.6,1.9,2.1,1.7,2.1,2.3,2.6,3.2,2.6,3.7,3.3,3,2.6,2.8,3.2,2.6,2.7,2.8,4.3,4.7,3.7,4.6,4.9,5.5,4.8,4.9,6.5,6.8,6,8.3,8.2,9.4,9.5,8.2,7.9
"45","37","    Electronics and software","B878RX1",6.9,6.4,6.8,6.5,6.6,7.3,7.4,7.2,7.4,7.5,7.6,7.4,7.7,8.1,8,7.9,7.7,9.1,9.3,8.8,8.8,9.2,8.8,9.3,8.9,8.9,8.8,9,9.1,9.4,9.7,9.4,9.9,9.8,10.7,10.3,10.5,11.7,11.4,11.7,11.5,12.4,13.5,13.2,13.6,14,15,15,15.7,16.5,17.6,17.5,19.8,21,22.2,22.3,20.9,22.3
"46","38","    Other equipment","B879RX1",14.6,15.1,13.9,15.3,15.3,16.3,17.2,15.9,15,14.9,15,14.8,13.9,15,15,14.6,13.9,15.5,16.4,16.7,15.3,16.1,16.1,15.3,14.8,16.7,16,15.5,16.6,18.2,19.5,18.7,18.6,20.4,21.1,21.7,23.4,23.9,24.4,23.2,23.6,22.9,22.7,22.5,23.9,24.7,25.3,25,24.8,25.1,26.7,28.2,29.9,30.8,31.8,31.4,31.9,32.8
"47","39","Residual","A975RX1",-10.4,-10.1,-9.9,-9.6,-7.8,-6.6,-7.7,-7.9,-8.8,-8.1,-6.9,-5.7,-8.4,-6.6,-4.8,-4.6,-6.3,-4.7,-4.2,-2.2,-3.7,-3.1,-3.7,-3.7,-3.9,-3.2,-2.5,-3.1,-3,-2.9,-1.2,-2.4,-3.3,-1.2,0.7,-0.1,-1.3,0,-0.3,0.7,0,-0.1,-0.2,-0.2,-0.4,-0.8,0.3,-0.3,0,-0.7,-0.6,-1.3,-1.9,-2.3,-2.9,-2.5,-1.9,-2.5
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
