"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"11","3","  Structures","B009RA3",29.902,29.743,29.945,29.515,30.127,30.967,31.892,32.349,31.74,30.997,29.626,28.813,30.186,31.709,33.545,34.404,34.516,35.688,35.472,34.108,34.149,34.395,34.682,36.01,37.095,37.807,38.017,38.688,39.082,39.353,39.267,39.101,40.312,41.312,42.683,43.738,45.096,46.703,46.999,46.887,46.482,46.45,46.458,46.194,45.328,43.825,42.825,43.486,43.334,44.676,46.005,45.655,47.56,48.124,48.216,50.051,49.824,48.994,49.022,48.764,49.678,51.488,52.844,51.563,49.768,52.126,52.488,53.562,54.952,56.815,58.681,59.147,62.18,66.513,67.213,70.307,71.978,70.59,72.162,69.704,70.424,68.421,69.145,69.26,70.618,70.02,69.568,70.99,72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,116.327,122.437,129.869,133.348,135.559,140.215,140.191,137.603,119.243,114.466
"12","4","    Commercial and health care","W001RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.473,25.754,26.087,26.245,26.291,28.488,29.313,28.259,29.2,29.103,29.204,32.084,33.788,33.536,34.376,34.737,34.236,36.268,42.873,38.669,36.755,37.87,37.067,35.543,36.327,39.555,41.956,42.214,44.942,46.06,46.884,49.734,48.391,44.135,46.094,44.542,45.429,43.774,42.856,44.071,47.158,48.705,48.205,48.704,51.814,53.572,58.429,58.6,59.328,55.972,55.425,54.608,56.34,60.222,64.565,65.06,66.195,67.369,67.183,68.154,69.578,71.178,71.043,69.219,69.023,68.878,64.159,61.386,56.615,49.659,49.743,49.267,51.463,50.348,50.257,50.432,51.526,52.891,54.832,54.043,55.036,60.332,62.487,65.134,63.29,70.67,76.094,79.611,82.735,79.67,77.318,78.838,83.48,85.22,86.845,89.185,91.508,94.426,94.973,94.648,90.294,86.53,92.833,94.846,101.386,110.871,113.199,118.24,125.516,128.809,127.688,130.34,127.181,118.909,115.218,114.496,111.216,112.369,115.944,119.07,116.389,120.075,118.99,116.82,118.517,112.943,118.491,116.348,116.852,113.634,112.649,104.695,94.806,91.101,83.881,78.151,79.155,79.751,81.163,83.309,83.555,84.018,82.826,86.015,82.089,90.61,89.77,89.548,92.546,93.871,93.645,92.835,93.139,99.106,102.295,107.133,111.751,107.234,113.139,111.748,113.039,118.967,117.459,122.038,121.112,122.148,122.648,122.782,123.681,129.371,133.536,134.844,133.715,128.748,120.168,113.534,111.453,106.369,102.635,99.758,96.201,97.315,99.741,100.467,98.993,102.849,102.633,99.032,100.721,100.304,98.942,100.034,102.313,105.632,108.525,107.778,112.9,116.493,118.398,118.639,118.135,118.552,115.201,105.965,95.029,90.584
"13","5","    Manufacturing","C307RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.798,66.121,56.515,53.273,51.081,53.821,60.242,63.796,72.399,74.893,79.467,83.549,82.003,76.787,72.873,71.884,72.792,82.122,72.072,79.619,69.065,74.315,79.585,84.827,83.068,87.027,96.997,102.857,114.315,127.627,126.96,142.632,153.18,161.339,166.003,155.27,152.28,134.273,141.563,131.145,136.901,132.094,129.158,140.416,143.706,139.051,143.291,140.251,134.819,139.701,139.947,132.321,127.651,117.09,103.228,103.591,98.847,99.878,98.744,96.848,111.422,116.277,128.628,132.4,137.883,139.563,132.522,146.97,134.87,134.535,133.583,130.87,136.008,125.126,117.259,114.731,119.603,125.732,127.355,133.707,138.054,153.283,186.799,197.133,208.839,207.107,205.84,207.972,191.455,180.696,161.774,160.129,182.011,191.442,211.125,203.523,202.215,198.966,183.415,176.184,151.925,140.13,139.887,118.465,135.022,140.584,147.191,146.55,159.019,159.629,159.2,159.118,145.171,131.36,126.203,132.38,119.404,125.283,139.674,137.271,130.702,137.975,137.157,144.502,150.407,163.175,173.663,172.161,188.649,191.135,189.485,177.668,183.075,176.524,161.843,166.447,166.285,158.107,153.519,153.756,126.019,118.695,125.3,126.049,129.125,146.485,150.739,160.78,164.561,178.023,176.777,172.941,182.199,178.367,174.742,192.601,174.307,168.186,179.28,173.466,183.276,182.024,177.494,175.852,163.934,149.763,146.274,139.455,145.204,158.493,156.426,158.104,168.526,158.946,152.436,121.154,101.561,90.903,80.132,78.338,75.73,82.607,83.18,83.625,81.68,79.391,83.351,96.704,100.754,97.754,99.688,101.804,103.347,111.213,116.593,109.864,115.488,123.659,145.564,155.391,155.041,163.201,171.014,187.969,211.321,225.617
"14","6","    Power and communication","W003RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.273,63.228,61.87,62.931,61.472,60.165,59.603,59.729,61.005,62.06,59.615,60.49,57.366,57.116,57.384,55.938,57.683,56.611,56.863,57.974,58.089,62.147,60.895,63.389,64.854,66.343,67.007,68.041,70.347,72.461,74.291,77.496,80.892,83.438,86.617,84.969,87.273,91.354,92.606,96.202,99.259,99.872,104.044,105.245,101.943,101.187,101.351,103.946,105.785,110.583,115.923,114.518,114.596,114.979,111.508,109.288,117.173,115.602,117.25,119.718,121.701,125.345,127.794,124.977,122.88,118.593,116.614,109.761,107.721,105.921,107.037,109.777,107.202,117.219,122.71,122.069,112.527,117.785,116.581,115.159,116.085,120.894,122.691,124.403,124.494,125.496,126.366,125.919,128.963,127.546,125.695,124.882,129.179,129.539,130.005,131.363,129.008,125.82,121.966,114.287,109.077,105.176,100.727,107.39,104.694,107.907,109.705,109.232,107.263,106.272,105.909,107.202,115.737,117.689,113.88,108.093,104.532,101.968,99.733,98.845,95.951,93.521,96.478,96.093,101.462,100.565,97.046,97.622,89.723,90.479,92.616,96.255,103.854,108.824,111.546,114.22,114.163,115.925,116.52,118.208,115.172,108.868,105.678,104.706,99.938,97.253,98.06,98.54,102.788,103.195,100.738,95.175,90.645,86.39,83.21,85.555,80.44,81.697,84.594,86.597,86.514,99.845,106.616,98.329,113.516,105.022,118.024,125.021,125.552,124.562,139.75,142.414,118.502,140.842,139.653,150.053,152.637,135.969,122.495,124.662,134.403,128.004,117.695,113.258,111.427,95.41,98.486,104.064,102.948,99.954,97.759,99.339,107.741,103.957,108.171,111.478,124.31,137.723,150.606,165.458,172.84,178.018,171.116,162.439,158.762,173.498
"15","7","    Mining exploration, shafts, and wells","E318RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.148,53.518,50.733,52.436,55.086,55.286,54.084,54.051,52.026,51.205,51.292,50.584,50.263,51.097,53.006,54.513,55.862,56.253,54.633,52.35,51.78,51.859,51.803,50.194,52.077,55.489,55.351,57.419,54.397,58.674,52.828,51.748,53.247,50.621,52.831,49.55,48.941,50.57,49.249,48.403,50.254,48.036,49.555,50.501,48.992,51.368,53.582,52.778,50.083,49.063,46.216,49.112,47.461,42.791,44.406,45.279,47.453,48.03,47.436,50.101,49.012,49.825,52.895,54.41,56.096,62.738,62.746,63.423,67.333,69.504,73.639,75.585,78.226,74.492,76.882,79.178,83.688,86.955,88.608,89.457,82.271,97.223,103.86,114.317,109.425,94.074,105.088,114.962,124.359,129.514,160.756,180.458,146.721,164.703,164.884,215.538,191.285,168.69,143.153,136.324,140.407,123.494,128.191,137.384,147.677,146.213,155.502,152.527,154.039,135.366,124.534,122.342,113.98,71.998,61.982,66.266,67.406,65.754,82.618,91.404,85.069,88.746,83.387,79.758,70.033,76.534,79.605,78.605,86.346,88.87,87.663,89.268,94.884,93.402,76.598,79.354,69.942,67.15,70.805,77.053,80.405,78.89,81.664,90.197,79.604,78.181,80.013,84.061,73.913,67.241,65.961,66.114,68.727,73.74,73.868,74.84,84.419,87.141,84.908,86.036,77.958,77.784,75.989,67.831,61.129,64.929,60.621,66.822,70.448,78.113,82.124,85.717,93.018,95.637,99.264,85.142,67.191,65.007,70.754,69.918,70.175,78.709,81.176,81.387,85.343,91.611,93.03,92.609,99.375,105.309,98.75,96.566,104.496,115.932,117.987,119.749,120.701,122.556,130.742,129.977,134.278,144.038,150.567,156.288,101.231,75.5
"16","8","    Other structures \1\","W004RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.219,51.605,53.17,55.787,55.663,57.671,60.934,59.547,63.398,64.835,65.132,66.297,65.41,63.87,62.797,61.672,64.561,65.991,64.771,63.665,63.628,67.143,69.263,73.957,77.847,75.649,74.937,72.048,75.849,84.876,88.497,88.634,91.089,88.281,86.063,85.161,86.705,84.206,85.918,86.275,80.501,77.31,73.097,72.408,73.549,74.367,78.119,74.854,72.85,70.174,69.568,70.127,68.679,66.817,65.227,64.475,66.202,66.343,67.029,68.506,69.916,73.112,73.115,72.841,69.251,67.212,64.105,63.64,58.621,59.242,58.111,57.043,60.491,60.222,61.451,62.454,62.153,63.786,64.98,67.17,66.861,73.416,76.289,76.503,75.691,79.873,83.171,83.449,83.032,79.658,75.075,75.031,77.363,75.563,77.247,72.691,72.137,70.803,69.911,72.871,70.696,75.045,73.949,81.763,84.892,88.448,90.798,89.212,93.804,99.33,96.555,99,95.884,88.857,88.744,91.884,94.508,97.507,97.169,97.949,92.048,91.465,87.74,89.61,92.722,89.463,92.136,94.016,98.666,99.518,99.377,93.502,91.316,85.447,82.842,79.725,77.049,79.799,80.542,77.019,78.699,85.965,88.427,86.256,83.459,84.986,82.706,80.736,86.035,89.287,96.313,99.852,105.454,106.383,110.01,115.027,117.54,122.394,124.225,131.388,123.003,131.495,133.079,134.439,132.68,133.973,127.421,128.67,132.767,135.316,137.606,132.6,124.39,124.023,146.634,117.949,111.823,111.105,105.526,104.161,100.829,106.961,105.541,104.377,103.08,107.296,107.444,105.536,102.983,98.537,98.288,100.192,103.075,109.889,110.877,112.949,112.714,124.638,132.071,137.953,140.201,144.154,142.623,136.817,124.402,124
"17","9","  Equipment and software","B010RA3",4.483,4.388,4.24,4.487,4.865,4.542,4.484,4.628,4.336,4.125,3.908,3.865,3.931,4.374,4.844,4.768,4.565,4.573,4.674,4.627,4.653,4.716,4.018,4.523,4.842,4.839,5.002,4.85,4.582,4.48,4.693,4.683,4.726,5.145,5.467,5.627,5.349,5.361,5.412,5.399,5.496,5.474,5.667,5.445,4.86,4.615,4.571,4.813,5.076,5.23,5.402,5.393,5.59,5.689,5.451,5.265,5.093,5.336,5.408,5.734,5.884,6.035,6.061,6.089,6.21,6.35,6.634,6.902,7.069,7.214,7.464,7.678,8.268,8.423,8.885,9.243,9.758,10.114,10.178,10.341,9.939,10.05,9.911,10.224,10.613,10.376,10.632,11.002,11.415,11.558,11.741,11.678,11.624,11.592,11.66,11.053,11.23,11.514,11.612,12.029,12.486,12.773,13.074,14.036,14.805,15.491,15.701,15.977,15.999,15.979,16.086,15.496,14.462,14.177,14.335,14.535,14.729,15.029,15.451,15.894,16.853,17.27,17.682,18.504,18.792,20.26,20.686,21.275,22.045,21.78,22.277,21.986,22.17,20.678,20.868,21.203,21.772,21.973,22.494,22.292,21.895,21.059,20.675,20.298,20.229,21.269,22.506,24.441,24.916,26.147,27.029,27.895,27.733,28.373,28.028,28.584,28.376,28.784,28.67,29.024,28.17,29.015,29.816,29.428,30.345,31.146,31.594,32.124,32.68,33.541,34.404,33.759,34.067,33.274,33.651,33.434,32.503,32.461,32.985,33.021,32.984,34.829,35.691,37.013,37.702,39.101,39.627,41.628,42.796,43.133,44.245,46.734,48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,108.285,110.007,110.615,111.829,111.685,110.258,107.577,99.808,89.143,87.205
"18","10","    Information processing equipment and software","B679RA3",0.147,0.139,0.145,0.142,0.15,0.144,0.141,0.154,0.146,0.132,0.125,0.123,0.127,0.146,0.149,0.16,0.148,0.157,0.167,0.169,0.178,0.198,0.172,0.19,0.202,0.204,0.214,0.193,0.189,0.178,0.182,0.183,0.177,0.196,0.227,0.241,0.226,0.255,0.243,0.249,0.254,0.277,0.3,0.271,0.253,0.237,0.243,0.252,0.256,0.26,0.266,0.294,0.311,0.333,0.327,0.35,0.331,0.364,0.37,0.381,0.408,0.4,0.392,0.407,0.437,0.469,0.495,0.504,0.53,0.538,0.539,0.577,0.588,0.628,0.664,0.713,0.773,0.834,0.883,0.927,0.904,0.913,0.896,0.951,0.97,0.96,0.987,0.983,1.06,1.153,1.235,1.294,1.339,1.36,1.317,1.334,1.313,1.417,1.454,1.52,1.6,1.604,1.645,1.698,1.798,1.885,1.948,2.078,2.123,2.124,2.268,2.332,2.267,2.193,2.175,2.181,2.253,2.416,2.573,2.779,2.818,2.964,3.08,3.286,3.486,3.834,4.068,4.3,4.494,4.581,4.821,5.085,5.309,5.392,5.682,5.782,6.05,6.244,6.515,6.84,7.101,6.823,6.866,6.732,7.225,7.751,8.165,8.905,9.229,9.917,10.436,11.07,11.008,11.35,11.228,11.667,11.898,12.262,12.152,12.635,12.472,12.776,13.366,13.368,13.739,14.383,14.719,14.982,15.514,16.321,16.875,17.146,17.392,17.323,17.109,17.552,17.38,17.884,18.494,19.138,19.564,20.652,21.767,22.142,22.738,23.202,24.409,24.859,25.646,26.284,27.05,28.242,29.556,31.024,31.696,33.54,35.319,36.859,38.617,39.943,42.464,44.884,48.315,50.184,53.532,55.816,57.65,61.14,64.502,69.308,72.501,73.128,78.029,82.037,83.531,86.2,86.081,82.501,80.311,79.47,79.063,79.741,81.187,79.277,81.217,82.288,86.791,90.554,90.77,92.288,93.984,95.869,97.202,99.142,101.313,102.344,106.404,107.078,109.489,110.269,113.657,115.081,117.454,121.506,124.495,126.519,125.088,119.436,113.092,112.727
"19","11","      Computers and peripheral equipment \2\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.009,0.01,0.01,0.009,0.009,0.009,0.012,0.014,0.016,0.02,0.019,0.02,0.019,0.019,0.021,0.02,0.024,0.023,0.023,0.033,0.033,0.031,0.027,0.026,0.029,0.032,0.04,0.043,0.05,0.051,0.057,0.063,0.074,0.086,0.111,0.132,0.154,0.166,0.181,0.203,0.233,0.241,0.282,0.344,0.371,0.416,0.432,0.484,0.594,0.637,0.567,0.585,0.583,0.735,0.852,0.975,1.039,1.194,1.372,1.57,1.754,1.715,1.882,1.805,1.991,2.107,2.209,2.055,2.129,2.433,2.599,2.817,2.833,2.861,3.025,3.136,3.184,3.385,3.742,3.837,3.876,3.83,3.66,3.47,3.706,3.594,3.724,4.068,4.544,4.62,5.372,5.828,5.97,6.479,6.67,7.327,7.45,7.933,8.306,8.729,9.734,10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,137.537,138.655,145.717,157.662,164.896,166.978,154.508,141.747,136.221,141.259
"20","12","      Software \3\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.003,0.009,0.023,0.036,0.046,0.051,0.049,0.05,0.052,0.057,0.06,0.065,0.073,0.089,0.107,0.135,0.162,0.18,0.184,0.184,0.18,0.176,0.195,0.215,0.244,0.276,0.307,0.341,0.375,0.412,0.419,0.423,0.416,0.426,0.442,0.462,0.482,0.505,0.541,0.6,0.669,0.735,0.789,0.828,0.827,0.803,0.796,0.836,0.88,0.941,0.976,1.006,1.037,1.033,1.075,1.121,1.175,1.237,1.267,1.286,1.366,1.469,1.59,1.597,1.57,1.561,1.591,1.682,1.757,1.834,1.778,1.785,1.78,1.809,1.907,2.039,2.182,2.347,2.448,2.578,2.699,2.829,2.92,3.024,3.174,3.335,3.435,3.528,3.662,3.85,4.108,4.212,4.214,4.18,4.42,4.723,5.128,5.43,5.698,5.983,6.393,6.833,7.083,7.366,7.438,7.698,7.909,8.222,8.381,8.584,8.867,9.235,9.621,10.006,10.413,10.901,11.501,12.16,13.026,13.973,15.017,15.942,16.504,17.054,16.9,17.85,18.429,19.026,19.505,20.407,21.299,22.275,23.14,24.181,24.65,25.095,25.703,26.185,26.973,27.609,28.27,28.769,29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,107.778,109.574,111.281,114.49,118.018,119.412,118.466,115.688,108.007,104.709
"21","13","      Other \4\","B937RA3",2.17,2.041,2.13,2.091,2.216,2.116,2.07,2.263,2.144,1.948,1.843,1.807,1.877,2.151,2.19,2.353,2.186,2.311,2.455,2.488,2.621,2.911,2.535,2.801,2.975,3.01,3.144,2.835,2.777,2.624,2.677,2.695,2.606,2.889,3.342,3.544,3.331,3.759,3.579,3.664,3.735,4.083,4.42,3.988,3.732,3.488,3.572,3.702,3.771,3.837,3.908,4.257,4.364,4.625,4.446,4.697,4.434,4.896,4.888,5.027,5.361,5.226,4.98,4.964,5.117,5.299,5.441,5.437,5.652,5.74,5.722,6.151,6.156,6.454,6.756,6.951,7.401,7.724,7.886,7.985,7.722,7.759,7.623,8.04,8.174,7.892,7.994,7.899,8.489,9.045,9.579,9.907,9.879,10.081,9.905,10.027,9.805,10.143,10.118,10.303,10.348,10.455,10.647,11.348,12.146,12.673,13.2,13.863,14.193,14.227,14.331,14.642,14.052,13.747,13.741,13.576,13.852,14.461,15.432,16.603,16.97,17.814,18.415,19.398,20.15,21.443,22.147,22.809,23.716,23.656,24.508,25.301,26.51,25.855,26.171,26.009,26.747,27.58,28.175,28.049,28.644,27.819,27.804,27.042,27.49,28.626,28.861,32.014,31.692,33.284,33.578,34.669,34.328,34.286,34.202,34.653,34.676,35.371,35.692,37.338,34.018,33.947,34.988,34.377,35.46,36.961,37.139,37.23,37.501,38.163,38.909,38.814,39.467,39.291,39.392,39.116,38.13,39.025,39.663,39.487,39.967,40.638,42.631,42.557,42.806,43.567,45.687,46.55,47.392,48.126,49.178,50.527,52.348,52.805,51.935,53.028,55.489,57.06,58.715,58.93,59.379,60.935,64.351,65.325,68.377,69.774,70.335,72.954,74.177,77.919,80.919,80.755,89.33,93.186,95.526,99.563,96.576,91.755,89.85,87.867,83.619,83.866,83.689,81.597,83.428,85.095,89.406,92.865,93.036,95.239,94.594,94.049,98.048,98.838,101.89,101.223,107.752,106.424,107.586,107.075,111.225,112.269,113.837,116.285,117.256,120.071,121.503,114.554,109.792,111.519
"22","14","    Industrial equipment","B680RA3",31.023,28.852,29.063,26.273,28.525,26.747,24.855,26.448,24.125,20.579,19.178,18.24,19.726,23.495,24.001,27.641,23.905,26.023,28.705,27.878,28.2,30.267,25.751,26.478,28.898,30.216,31.262,31.536,30.895,30.831,32.897,31.052,28.521,30.15,31.819,34.226,32.945,33.555,36.11,35.094,35.178,35.042,35.299,33.913,30.864,29.012,27.669,28.657,29.484,28.83,28.926,30.719,31.361,33.678,31.624,30.524,28.571,29.695,29.927,32.203,32.308,32.646,31.334,30.293,31.987,33.554,35.101,36.097,36.774,36.873,38.817,42.079,42.637,44.487,47.076,47.998,49.608,52.674,53.368,53.882,54.388,53.297,50.779,51.904,52.718,51.302,50.565,51.611,53.472,54.568,56.213,55.639,56.956,56.074,55.988,53.995,51.398,50.527,50.742,52.157,51.87,54.307,56.516,58.156,60.379,64.297,66.582,69.847,71.086,71.832,70.622,67.619,61.415,59.353,59.04,58.583,59.9,59.921,59.699,60.049,61.383,61.453,64.355,66.709,67.564,70.095,72.288,72.547,75.847,75,74.718,77.12,75.285,72.284,70.457,71.643,71.405,71.307,71.459,70.898,68.425,66.354,64.271,61.359,58.088,58.225,60.867,62.558,66.191,67.712,69.292,71.18,70.64,72.349,70.958,73.099,71.733,70.688,71.774,71.51,69.774,68.871,70.28,69.672,69.775,72.638,74.963,75.202,77.758,78.393,79.575,77.258,76.737,73.329,73.569,71.249,70.116,69.024,69.029,67.825,67.607,69.046,70.754,73.627,74.261,74.689,75.683,80.258,80.816,81.434,83.691,86.145,89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,107.972,117.067,116.426,111.899,112.336,111.86,108.778,104.733,88.186,84.713
"23","15","    Transportation equipment","B681RA3",15.212,15.561,14.741,16.814,17.498,16.164,15.98,15.226,15.624,16.213,16.215,16.446,15.674,16.497,20.552,18.674,18.603,17.498,16.875,15.603,15.552,14.251,11.884,14.932,16.241,16.801,17.201,17.13,15.51,14.093,14.448,14.945,17.032,18.896,20.084,19.08,17.427,17.022,15.976,17.046,17.614,17.577,18.756,18.159,14.297,12.52,11.986,13.783,15.953,17.669,19.148,16.918,19.106,18.239,18.23,16.212,15.578,16.241,16.954,19.086,19.772,20.64,21.586,21.668,20.295,19.286,19.987,21.424,22.008,22.848,24.494,22.28,27.983,27.805,28.916,30.086,32.167,32.091,30.961,31.02,28.815,30.041,31.323,31.887,36.273,34.763,36.776,38.963,39.836,38.99,37.997,35.815,32.833,32.103,32.823,27.481,32.539,33.383,33.325,36.015,37.99,38.148,37.409,43.594,45.685,48.257,47.805,47.226,45.583,44.312,43.825,37.333,36.123,35.009,37.668,38.562,39.522,40.156,41.021,43.141,48.519,49.643,49.375,51.583,51.104,56.755,55.752,56.456,59.857,56.642,58.842,54.393,51.846,44.666,45.828,45.202,46.926,45.172,46.47,43.801,43.136,40.534,37.625,40.29,40.198,42.03,46.576,53.147,50.943,54.273,55.561,55.964,55.295,56.718,57.383,55.84,53.087,54.593,55.306,53.643,49.301,53.972,53.007,49.707,54.489,54.402,53.028,55.253,50.332,49.854,49.944,45.431,48.367,46.194,50.877,49.075,48.797,46.792,48.154,45.55,43.031,50.199,47.055,52.357,51.693,59.118,54.949,62.624,65.584,63.184,64.836,73.935,78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,103.584,98.018,94.525,94.373,89.112,77.618,66.981,50.037,32.912,34.521
