"","Table 5#8#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,71.079,70.076,69.968,69.811,69.781,68.885,68.63,68.293,67.803,67.387,67.839,69.174,70.444,72.009,72.818,73.459,74.413,74.98,74.507,72.741,70.778,71.169,71.391,72.768,73.688,75.931,75.253,75.655,77.997,79.196,81.322,83.622,84.604,86.868,87.447,91.097,92.466,92.576,95.143,95.271,94.735,96.956,99.311,101.978,109.838,116.179,125.612,120.037,99.519,97.212,100.047,101.71,104.993,110.029,107.585,109.946,116.098,125.778,127.341,126.458,125.501,128.5,121.923,124.392,124.266,127.358,124.93,125.977,124.337,129.051
"15","7","Wholesale trade","N379RD3",NA,NA,NA,85.451,85.226,84.295,83.886,83.309,82.288,81.371,80.205,80.013,79.653,79.82,80.36,80.933,81.722,81.712,81.61,81.879,81.337,81.028,80.603,79.625,79.815,80.186,81.458,81.377,82.241,81.696,82.333,83.754,85.225,86.045,86.904,87.801,88.958,88.872,90.637,91.428,92.244,94.07,94.253,95.613,97.236,97.732,98.753,102.7,106.319,109.754,108.624,99.608,98.11,99.51,100.841,103.512,104.591,104.469,106.443,110.962,114.945,116.772,117.001,116.723,117.585,116.123,118.309,118.002,117.881,117.204,116.528,116.446,117.467
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,96.553,96.268,95.428,94.696,93.894,92.723,91.641,90.505,89.798,89.262,89.006,88.967,89.236,89.205,89.045,88.719,88.267,87.491,87.307,86.897,86.359,86.279,86.428,86.515,86.45,86.483,86.445,86.714,87.441,88.931,89.857,91.128,91.995,92.534,92.05,92.514,93.442,94.606,96.347,96.867,97.44,98.496,98.966,99.001,99.878,102.19,105.168,104.871,100.354,99.066,99.153,100.626,101.806,102.86,103.189,103.487,105.009,106.745,107.762,108.248,107.897,108.277,107.579,107.53,108.03,107.874,107.049,107.269,107.823,107.969
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,70.782,70.635,69.598,69.597,69.305,68.478,67.775,66.575,67.05,66.918,67.644,68.954,69.93,71.824,72.016,72.219,73.478,73.248,72.763,72.314,70.784,71.303,71.94,74.638,74.538,76.406,75.24,76.322,78.578,80.018,80.701,81.023,81.96,83.936,84.39,87.922,88.528,88.857,90.792,90.491,92.974,95.445,96.004,98.418,106.592,112.006,116.061,113.794,98.63,96.863,99.935,101.093,105.59,106.712,106.063,110.031,118.071,124.756,127.604,127.537,127.392,128.889,126.395,131.667,130.226,130.156,129.705,127.743,126.742,129.01
"18","10","Retail trade","N382RD3",NA,NA,NA,92.699,92.414,91.69,91.271,90.853,90.696,90.675,90.442,90.507,90.211,90.562,91.174,91.434,91.708,91.893,91.845,92.145,92.145,91.942,91.68,91.093,90.907,90.714,90.814,90.815,91.103,90.76,90.753,90.955,91.495,92.087,92.759,93.616,94.134,94.129,94.929,95.111,95.333,95.883,96.019,96.226,96.912,97.212,97.801,99.098,100.181,101.238,101.726,99.767,99.023,99.729,100.304,101.742,102.462,102.546,102.997,104.197,105.94,107.3,108.319,108.575,109.047,109.38,109.92,109.792,109.891,109.773,109.747,110.075,110.77
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,102.782,102.374,101.388,100.643,100,100.058,100.242,100.488,100.717,99.929,100.437,101.233,101.339,101.17,101.632,101.62,102.418,102.437,101.853,101.625,101.207,100.565,100.189,100.035,99.438,100.048,99.332,97.996,97.001,97.3,97.57,98.639,99.828,99.853,100.071,100.559,99.817,100.099,100.336,99.962,99.663,99.109,99.537,100.058,100.376,100.836,100.66,100.748,99.716,98.516,99.5,100.618,102.437,103.545,104.275,104.872,104.449,105.484,107.816,108.538,108.062,108.42,110.042,109.454,108.638,108.458,108.024,107.953,108.769,108.589
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,74.525,74.727,74.296,74.56,74.431,74.55,74.646,75.024,75.614,75.421,75.712,76.325,76.039,76.31,76.85,76.906,77.614,78.877,78.981,79.458,79.349,79.998,78.333,78.554,78.966,79.904,80.594,82.506,84.257,84.414,85.542,86.016,86.785,87.453,87.051,87.354,89.155,87.497,87.863,90.282,90.94,94.233,93.307,94.701,98.068,99.96,101.86,102.866,101.051,99.464,99.598,99.327,102.504,104.652,102.802,103.168,106.597,110.507,109.988,111.49,111.939,111.846,112.672,114.441,115.686,115.982,116.856,116.96,116.652,118.872
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,86.23,86.217,86.242,86.304,86.423,86.9,87.195,87.41,87.593,87.513,87.634,87.948,88.071,88.256,88.323,88.33,88.433,88.893,89.032,89.054,88.821,88.453,88.299,88.37,88.685,88.894,89.211,89.714,90.236,90.693,91.342,91.241,91.714,92.254,92.333,92.609,92.909,93.019,93.254,93.665,94.297,95.273,95.684,96.338,97.175,98.522,99.703,100.716,100.152,99.754,100.014,99.89,100.508,100.834,101.156,101.462,102.651,104.543,105.961,107.417,107.813,108.233,108.499,109.194,109.427,109.36,109.693,109.231,109.405,110.687
"22","14","  Other retail stores","N865RD3",NA,NA,NA,91.851,91.418,90.482,89.913,89.357,88.746,88.445,87.612,87.415,87.32,87.669,88.273,88.799,89.389,89.366,89.256,89.213,88.77,88.622,88.079,87.159,87.156,87.378,87.63,87.833,87.78,87.238,87.608,88.249,89.077,89.785,90.487,91.263,92.107,91.989,93.299,93.791,94.354,95.271,95.243,95.555,96.499,96.893,97.36,99.114,100.369,102.051,102.513,99.399,98.979,99.787,100.478,101.657,102.011,102.015,102.439,104.155,105.829,106.969,107.897,108.487,109.149,108.592,109.543,109.45,109.759,109.485,109.635,109.802,110.595
"23","15","Other industries","N385RD3",NA,NA,NA,85.895,85.528,85.224,85.361,85.537,85.085,84.738,84.691,84.271,83.896,84.317,85.02,85.765,86.707,87.036,87.412,87.954,88.249,88.347,87.669,86.905,86.296,86.208,86.213,86.785,87.766,87.316,87.329,87.402,87.48,88.076,88.669,89.704,90.546,91.043,92.256,92.911,93.15,94.148,94.689,95.046,96.24,97.063,97.378,99.977,102.319,104.168,105.834,102.101,99.399,99.25,99.95,101.261,102.225,102.513,102.942,104.861,107.171,108.776,109.242,109.699,110.475,110.126,110.738,111.283,111.624,111.126,111.824,112.17,112.947
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,84.665,84.559,83.747,83.306,82.883,81.878,81.181,80.233,79.846,79.746,80.029,80.798,81.604,82.693,82.732,82.843,83.651,83.993,83.415,82.471,81.486,81.592,81.721,82.389,83.11,83.961,83.655,84.537,85.45,86.851,88.166,88.855,89.692,90.843,90.751,92.68,94.122,93.938,95.108,95.813,96.271,98.029,98.859,99.613,102.636,106.554,111.324,109.966,100.947,98.961,99.29,100.176,102.329,104.743,104.288,105.974,109.683,114.678,116.06,116.451,116.221,117.166,115.65,117.132,117.491,117.711,117.171,116.744,116.311,118.237
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,95.068,94.621,93.694,92.895,92.26,91.268,90.65,89.88,89.22,88.844,88.941,89.322,89.758,90.23,90.058,90.115,89.77,89.621,89.16,88.763,88.337,88.169,88.168,88.04,87.995,88.091,87.949,87.771,88.165,89.569,90.797,92.358,93.065,93.636,93.174,93.837,94.529,95.961,97.534,97.991,98.184,98.741,99.371,99.081,99.695,102.273,105.344,105.433,100.544,99.095,99.237,100.614,101.711,103.118,103.638,103.812,105.041,107.202,108.318,108.411,107.735,108.424,108.15,107.913,108.106,108.13,107.429,107.614,108.264,108.498
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,76.669,76.808,76.083,75.905,75.637,74.627,73.875,72.797,72.615,72.723,73.146,74.206,75.293,76.856,77.057,77.21,78.923,79.643,78.972,77.609,76.207,76.514,76.738,77.993,79.283,80.704,80.274,81.958,83.264,84.663,86.044,86.053,86.993,88.598,88.8,91.736,93.782,92.289,93.132,94.036,94.709,97.451,98.448,100.05,105.034,110.031,116.161,113.634,101.291,98.883,99.354,99.879,102.795,105.928,104.759,107.545,113.074,120.18,121.767,122.393,122.518,123.656,121.151,124.017,124.506,124.886,124.486,123.551,122.211,125.552
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,85.307,84.919,84.157,83.783,83.503,82.655,82.25,81.644,81.308,81.005,81.376,82.164,82.837,83.664,83.874,84.176,84.534,84.741,84.173,83.404,82.507,82.53,82.708,83.213,83.54,84.514,84.119,84.289,85.21,86.494,87.729,89.016,89.997,91.036,91.137,93.074,94.436,94.66,95.886,96.149,96.592,97.917,98.879,99.251,102.262,105.911,110.338,109.313,100.633,98.69,99.32,100.508,102.749,104.829,104.344,105.481,108.337,112.323,113.834,113.996,113.415,114.209,112.629,113.876,114.14,114.672,114.081,113.972,114.054,115.615
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,85.451,85.226,84.295,83.886,83.309,82.288,81.371,80.205,80.013,79.653,79.82,80.36,80.933,81.722,81.712,81.61,81.879,81.337,81.028,80.603,79.625,79.815,80.186,81.458,81.377,82.241,81.696,82.333,83.754,85.225,86.045,86.904,87.801,88.958,88.872,90.637,91.428,92.244,94.07,94.253,95.613,97.236,97.732,98.753,102.7,106.319,109.754,108.624,99.608,98.11,99.51,100.841,103.512,104.591,104.469,106.443,110.962,114.945,116.772,117.001,116.723,117.585,116.123,118.309,118.002,117.881,117.204,116.528,116.446,117.467
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,85.435,85.201,84.418,84.003,83.494,82.677,81.808,80.656,80.531,80.152,80.191,80.611,81.045,81.73,81.703,81.537,81.827,81.442,81.173,80.892,80.161,80.243,80.586,81.905,81.692,82.33,82.049,82.666,84.041,85.496,86.219,86.868,87.661,88.708,88.61,89.895,90.772,91.552,93.28,93.736,95.221,96.752,97.238,98.288,101.732,105.143,108.186,107.258,99.876,98.523,99.645,100.569,102.818,103.807,103.878,105.869,109.986,113.616,115.338,115.674,115.146,116.028,115.028,116.986,116.882,116.745,116.192,115.152,115.055,116.214
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,95.177,94.59,93.85,93.204,92.482,91.423,90.418,89.362,88.714,88.229,88.018,88.028,88.334,88.331,88.201,87.9,87.49,86.807,86.642,86.285,85.781,85.718,85.887,86.001,85.957,86.024,85.994,86.271,87.017,88.526,89.459,90.756,91.641,92.195,91.721,92.213,93.175,94.356,96.123,96.657,97.258,98.333,98.799,98.871,99.779,102.07,104.962,104.676,100.272,99.024,99.134,100.632,101.835,102.871,103.183,103.505,105.027,106.739,107.778,108.284,107.939,108.325,107.629,107.596,108.115,107.943,107.116,107.335,107.892,108.019
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,71.999,72.227,71.393,71.287,71.062,70.57,69.885,68.605,69.193,68.96,69.345,70.339,70.954,72.614,72.732,72.759,74.058,74.094,73.673,73.485,72.46,72.726,73.283,76.098,75.677,77.02,76.42,77.459,79.609,80.989,81.441,81.22,81.893,83.62,84.051,86.459,87.216,87.408,89.07,89.402,92.204,94.447,94.982,97.486,104.642,109.737,113.029,111.16,99.303,97.798,100.327,100.475,104.083,105.016,104.78,108.896,116.312,122.451,125.105,125.232,124.479,126.06,124.625,129.528,128.482,128.401,128.282,125.297,124.189,126.917
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,84.636,84.472,82.7,82.332,81.37,79.171,77.984,76.744,76.153,75.911,76.842,78.093,79.482,80.881,80.97,81.241,81.384,79.943,79.407,78.133,75.645,76.502,77.045,78.017,78.754,81.031,78.824,79.586,81.285,82.854,84.288,86.477,88.033,89.877,89.871,94.561,94.835,95.855,98.241,96.825,97.46,99.604,100.167,101.039,107.726,112.319,117.601,115.394,98.296,96.1,98.871,102.23,107.055,108.591,107.492,109.376,115.953,121.739,124.09,123.801,124.724,125.494,121.786,125.08,123.789,123.745,122.455,123.586,123.582,123.874
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
