"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","Less: Income payments to the rest of the world","A655RG3",20.452,20.768,21.088,21.321,21.575,21.906,22.038,22.263,22.656,22.995,23.261,23.417,23.751,23.952,24.121,24.462,24.703,25.174,25.682,26.364,26.886,27.448,28.237,28.852,29.591,29.915,30.461,30.863,31.122,31.44,31.879,32.399,32.84,33.514,34.127,34.724,35.249,36.194,36.906,37.717,38.443,39.244,40.101,40.896,41.837,42.793,43.753,44.935,46.216,46.963,48.032,49.02,49.704,50.234,50.891,51.412,51.675,52.134,52.554,52.91,53.461,53.893,54.323,54.779,55.337,55.562,56.051,56.585,56.99,56.977,57.215,57.596,57.905,58.303,58.769,59.287,59.762,60.368,60.976,61.515,62.161,62.815,63.199,63.712,64.525,65.117,65.821,66.615,66.964,67.211,67.602,68.077,68.669,69.221,69.659,70.175,70.788,71.243,71.584,72.1,72.524,73.001,73.529,73.921,74.221,74.56,74.833,75.149,75.54,75.769,76.09,76.524,76.977,77.156,77.338,77.568,77.578,77.676,77.855,78.05,78.295,78.684,79.043,79.485,80.24,80.688,81.117,81.523,82.001,82.449,82.653,82.77,83.033,83.581,83.956,84.479,85.286,85.353,85.855,86.32,87.209,88.007,88.72,89.551,90.347,91.044,92.148,93.079,93.721,94.53,95.187,95.403,96.422,97.163,97.638,98.534,99.559,100.63,101.608,100.408,99.63,99.636,100.059,100.675,110.828,111.059,111.445,112.093,112.979,113.897,114.579,114.845,115.573,115.795,116.251,116.721,117.063,117.103,117.645,118.132,118.528
"12","4","Equals: Gross national product","A001RG3",21.218,21.499,21.805,22.078,22.381,22.705,22.892,23.19,23.544,23.861,24.102,24.3,24.699,24.849,25.069,25.353,25.68,26.102,26.59,27.051,27.599,28.214,29.074,29.955,30.634,31.082,31.638,32.166,32.514,32.841,33.262,33.82,34.362,34.904,35.389,35.985,36.586,37.288,37.937,38.708,39.419,40.358,41.181,41.987,42.895,43.833,44.839,46.098,47.293,48.131,49.031,49.916,50.585,51.209,51.93,52.496,52.944,53.304,53.862,54.254,54.818,55.302,55.757,56.103,56.764,57.092,57.457,57.768,58.046,58.264,58.542,58.898,59.251,59.641,60.084,60.555,61.023,61.629,62.374,62.91,63.554,64.224,64.698,65.131,65.86,66.542,67.145,67.674,68.347,68.808,69.305,69.671,69.989,70.431,70.758,71.247,71.677,72.108,72.475,72.882,73.259,73.62,73.99,74.412,74.864,75.202,75.525,75.886,76.274,76.562,76.91,77.236,77.615,77.975,78.202,78.471,78.585,78.766,79.051,79.26,79.557,79.887,80.174,80.568,81.161,81.608,82.131,82.572,83.111,83.683,83.955,84.218,84.46,84.817,85.193,85.645,86.183,86.446,86.921,87.369,88.111,88.818,89.424,90.068,90.88,91.508,92.377,93.098,93.799,94.574,95.23,95.572,96.636,97.192,97.513,97.932,98.483,98.924,99.605,99.789,100.042,99.89,99.886,100.182,100.627,101.081,101.538,102.056,102.472,103.15,103.776,103.908,104.424,104.874,105.465,105.762,106.116,106.287,106.807,107.221,107.566
"13","5","Less: Consumption of fixed capital","A262RG3",25.533,25.852,26.129,26.44,26.757,27.097,27.449,27.833,28.217,28.563,28.862,29.155,29.479,29.729,30.014,30.309,30.66,31.13,31.705,32.417,33.288,34.322,35.482,36.645,37.799,38.719,39.441,40.022,40.44,40.929,41.529,42.223,43.001,43.791,44.566,45.396,46.256,47.164,48.108,49.055,50.071,51.175,52.352,53.563,54.831,56.167,57.562,58.985,60.432,61.799,63.014,64.138,65.153,65.961,66.479,66.748,66.811,66.898,67.113,67.355,67.728,68.027,68.29,68.506,68.729,68.957,69.26,69.605,69.986,70.361,70.666,70.967,71.152,71.445,71.862,72.384,73.034,73.616,74.152,74.657,75.126,75.583,76.013,76.41,76.804,77.215,77.661,78.079,78.567,78.924,79.146,79.169,79.059,79.14,79.29,79.607,79.972,80.316,80.604,80.933,81.183,81.544,82.012,82.569,83.232,83.637,83.913,84.01,83.995,83.975,84.025,84.099,84.267,84.398,84.404,84.342,84.171,84.142,84.211,84.384,84.601,84.772,84.78,84.743,87,86.572,86.029,85.44,86.317,87.135,87.398,87.484,87.182,87.094,87.243,87.453,87.631,87.775,88.053,88.338,88.898,89.648,90.457,91.454,92.368,93.295,94.357,95.531,96.3,97.026,97.63,98.396,99.141,99.447,99.661,99.942,100.522,100.926,101.395,101.423,100.81,99.904,99.4,99.886,99.878,99.84,99.872,100.277,100.784,101.509,102.036,102.397,102.904,103.482,103.898,104.22,104.859,105.455,106.032,106.732,107.394
"14","6","  Private","A024RG3",26.61,26.922,27.225,27.518,27.804,28.111,28.439,28.788,29.157,29.501,29.821,30.114,30.381,30.65,30.923,31.203,31.492,31.937,32.527,33.252,34.104,35.075,36.165,37.377,38.713,39.806,40.662,41.286,41.684,42.21,42.856,43.618,44.49,45.376,46.276,47.187,48.108,49.083,50.108,51.177,52.288,53.453,54.672,55.944,57.269,58.641,60.061,61.531,63.052,64.448,65.722,66.873,67.902,68.651,69.131,69.351,69.319,69.375,69.516,69.74,70.041,70.321,70.576,70.806,71.009,71.279,71.615,72.016,72.483,72.883,73.217,73.487,73.693,74.02,74.466,75.028,75.704,76.329,76.904,77.429,77.905,78.355,78.78,79.18,79.559,79.958,80.378,80.821,81.288,81.602,81.766,81.782,81.654,81.651,81.77,82.007,82.357,82.676,82.963,83.218,83.441,83.767,84.19,84.703,85.303,85.718,85.956,86.022,85.923,85.887,85.91,85.988,86.119,86.167,86.135,86.023,85.832,85.744,85.757,85.872,86.088,86.177,86.123,85.904,88.568,87.885,87.096,86.299,87.361,88.353,88.682,88.764,88.35,88.208,88.355,88.597,88.731,88.856,89.134,89.441,90.039,90.766,91.504,92.467,93.458,94.383,95.446,96.705,97.534,98.186,98.77,99.453,100.07,100.277,100.376,100.556,101.065,101.393,101.771,101.633,100.873,99.874,99.353,99.9,99.815,99.636,99.591,99.964,100.444,101.159,101.664,102.021,102.519,103.122,103.585,103.95,104.652,105.311,105.956,106.676,107.43
"15","7","  Government","A264RG3",21.805,22.118,22.327,22.654,23.019,23.408,23.792,24.233,24.626,24.957,25.199,25.476,25.911,26.103,26.399,26.717,27.197,27.708,28.218,28.866,29.743,30.891,32.175,33.164,33.801,34.234,34.58,35.023,35.471,35.844,36.296,36.78,37.277,37.774,38.179,38.755,39.412,40.1,40.782,41.351,42.058,42.949,43.968,44.965,46.028,47.215,48.499,49.741,50.93,52.168,53.175,54.189,55.132,56.099,56.714,57.124,57.472,57.65,58.082,58.373,58.949,59.3,59.577,59.744,60.023,60.12,60.317,60.483,60.601,60.89,61.099,61.485,61.603,61.787,62.108,62.498,63.047,63.488,63.897,64.327,64.76,65.224,65.657,66.032,66.46,66.893,67.402,67.731,68.267,68.739,69.125,69.166,69.112,69.436,69.676,70.219,70.617,71.026,71.312,71.855,72.177,72.637,73.236,73.914,74.763,75.128,75.524,75.716,75.982,76.017,76.157,76.213,76.502,76.921,77.064,77.187,77.091,77.28,77.552,77.935,78.148,78.639,78.902,79.603,80.197,80.786,81.247,81.543,81.656,81.746,81.736,81.841,82.014,82.154,82.306,82.375,82.753,82.977,83.256,83.447,83.84,84.687,85.807,86.952,87.53,88.463,89.521,90.321,90.825,91.876,92.572,93.706,95.02,95.769,96.5,97.231,98.13,98.874,99.747,100.505,100.536,100.035,99.604,99.825,100.152,100.722,101.075,101.617,102.239,103.009,103.62,104.003,104.547,105.018,105.24,105.38,105.752,106.077,106.362,106.979,107.245
"16","8","    General government","A265RG3",22.27,22.59,22.798,23.124,23.497,23.892,24.284,24.733,25.133,25.458,25.689,25.948,26.396,26.585,26.888,27.205,27.693,28.212,28.732,29.403,30.286,31.421,32.659,33.628,34.235,34.66,35.002,35.445,35.913,36.278,36.755,37.253,37.761,38.264,38.634,39.229,39.91,40.578,41.241,41.795,42.504,43.383,44.387,45.367,46.434,47.637,48.915,50.171,51.387,52.667,53.675,54.766,55.789,56.774,57.377,57.821,58.191,58.376,58.838,59.168,59.786,60.126,60.393,60.555,60.824,60.927,61.146,61.298,61.397,61.663,61.863,62.241,62.365,62.534,62.846,63.258,63.83,64.247,64.639,65.066,65.523,65.974,66.386,66.776,67.221,67.631,68.133,68.5,69.084,69.585,69.979,70.038,69.99,70.304,70.531,71.09,71.468,71.861,72.187,72.736,73.012,73.482,74.114,74.837,75.724,76.075,76.461,76.614,76.905,76.937,77.072,77.113,77.434,77.841,77.982,78.1,77.983,78.185,78.451,78.831,79.028,79.533,79.794,80.497,81.109,81.671,82.131,82.408,82.503,82.587,82.557,82.647,82.787,82.901,83.047,83.119,83.49,83.712,84.005,84.175,84.545,85.3,86.322,87.385,87.978,88.855,89.846,90.627,91.098,92.043,92.689,93.741,95.082,95.801,96.494,97.175,98.077,98.845,99.715,100.44,100.491,100.054,99.616,99.839,100.193,100.751,101.049,101.577,102.224,102.983,103.547,103.866,104.4,104.85,105.034,105.137,105.333,105.617,105.883,106.52,106.774
"17","9","    Government enterprises","A266RG3",17.781,18.031,18.262,18.628,18.914,19.266,19.586,19.952,20.299,20.728,21.1,21.581,21.895,22.131,22.366,22.709,23.124,23.565,24,24.443,25.291,26.615,28.388,29.601,30.531,31.056,31.438,31.89,32.17,32.624,32.852,33.228,33.634,34.077,34.813,35.223,35.677,36.562,37.431,38.142,38.846,39.856,41.029,42.195,43.246,44.311,45.667,46.799,47.772,48.67,49.679,50.049,50.318,51.141,51.871,51.996,52.161,52.284,52.462,52.422,52.652,53.102,53.462,53.683,54.044,54.1,54.106,54.395,54.678,55.178,55.482,55.94,56.01,56.322,56.741,56.933,57.297,57.955,58.534,58.998,59.23,59.822,60.451,60.693,60.98,61.635,62.216,62.212,62.323,62.539,62.859,62.74,62.632,63.049,63.409,63.814,64.403,64.95,64.895,65.402,66.122,66.496,66.822,67.141,67.683,68.175,68.648,69.167,69.231,69.285,69.469,69.651,69.679,70.198,70.359,70.521,70.593,70.683,71.002,71.41,71.755,72.134,72.412,73.104,73.561,74.355,74.835,75.272,75.515,75.652,75.797,76.014,76.427,76.757,76.955,76.998,77.429,77.67,77.842,78.188,78.754,80.258,82.085,83.819,84.284,85.623,87.164,88.099,88.838,90.659,91.712,93.45,94.574,95.535,96.549,97.649,98.52,99.091,99.987,100.988,100.871,99.892,99.521,99.716,99.851,100.507,101.274,101.916,102.344,103.199,104.164,105.022,105.641,106.267,106.771,107.185,108.857,109.486,109.914,110.386,110.739
"18","10","Equals: Net national product","A027RG3",20.518,20.791,21.098,21.363,21.662,21.981,22.147,22.432,22.78,23.091,23.323,23.508,23.912,24.049,24.259,24.54,24.86,25.272,25.746,26.173,26.678,27.239,28.055,28.895,29.51,29.895,30.426,30.943,31.28,31.585,31.98,32.518,33.026,33.533,33.98,34.542,35.106,35.778,36.386,37.129,37.797,38.708,39.481,40.231,41.088,41.969,42.917,44.148,45.302,46.068,46.921,47.769,48.388,48.983,49.73,50.335,50.836,51.233,51.836,52.247,52.834,53.342,53.82,54.182,54.9,55.24,55.612,55.917,56.18,56.376,56.649,57.011,57.387,57.789,58.234,58.696,59.138,59.746,60.518,61.057,61.723,62.422,62.901,63.338,64.113,64.833,65.457,66.001,66.7,67.176,67.713,68.13,68.512,69.008,69.36,69.874,70.314,70.757,71.135,71.553,71.948,72.308,72.664,73.064,73.485,73.811,74.14,74.541,74.99,75.324,75.717,76.081,76.491,76.886,77.147,77.466,77.625,77.838,78.156,78.369,78.678,79.033,79.365,79.829,80.154,80.738,81.432,82.042,82.527,83.06,83.336,83.629,83.962,84.394,84.809,85.302,85.902,86.186,86.694,87.171,87.944,88.642,89.214,89.797,90.591,91.168,92.003,92.646,93.334,94.117,94.782,95.049,96.168,96.769,97.109,97.554,98.101,98.548,99.267,99.478,99.894,99.887,99.98,100.239,100.771,101.32,101.858,102.397,102.795,103.463,104.109,104.197,104.715,105.142,105.765,106.057,106.358,106.45,106.96,107.321,107.607
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",20.56,20.834,21.141,21.407,21.706,22.025,22.191,22.477,22.825,23.136,23.368,23.553,23.959,24.095,24.306,24.585,24.904,25.316,25.791,26.219,26.728,27.291,28.109,28.953,29.566,29.95,30.48,30.997,31.332,31.636,32.03,32.568,33.078,33.584,34.029,34.593,35.159,35.83,36.437,37.181,37.849,38.763,39.537,40.289,41.149,42.032,42.982,44.215,45.367,46.133,46.985,47.832,48.454,49.051,49.801,50.407,50.907,51.302,51.906,52.316,52.904,53.414,53.895,54.258,54.981,55.315,55.689,55.992,56.258,56.452,56.718,57.077,57.445,57.845,58.289,58.75,59.193,59.801,60.573,61.111,61.775,62.473,62.95,63.385,64.158,64.875,65.495,66.032,66.728,67.202,67.738,68.156,68.539,69.037,69.391,69.907,70.346,70.79,71.17,71.589,71.986,72.346,72.7,73.099,73.517,73.84,74.169,74.568,75.017,75.352,75.745,76.109,76.52,76.915,77.176,77.495,77.653,77.865,78.182,78.393,78.701,79.054,79.386,79.851,80.176,80.761,81.457,82.067,82.552,83.084,83.36,83.654,83.988,84.42,84.835,85.328,85.925,86.211,86.72,87.197,87.971,88.669,89.24,89.822,90.615,91.191,92.024,92.665,93.355,94.139,94.803,95.07,96.188,96.788,97.128,97.568,98.112,98.55,99.262,99.486,99.899,99.889,99.977,100.236,100.632,101.192,101.735,102.273,102.659,103.318,103.964,104.051,104.567,104.998,105.626,105.916,106.216,106.306,106.816,107.176,107.459
"21","12","  Net domestic purchases","W367RG3",19.994,20.263,20.554,20.816,21.121,21.421,21.617,21.905,22.238,22.542,22.792,22.985,23.363,23.523,23.747,24.019,24.334,24.794,25.24,25.701,26.368,27.108,27.909,28.695,29.264,29.662,30.141,30.642,30.976,31.288,31.712,32.22,32.798,33.342,33.839,34.412,34.967,35.635,36.241,36.93,37.634,38.592,39.572,40.534,41.657,42.659,43.621,44.788,45.959,46.741,47.448,48.295,48.872,49.38,50.1,50.686,51.049,51.42,51.998,52.321,52.91,53.411,53.816,54.141,54.744,55.11,55.501,55.922,56.215,56.23,56.556,56.946,57.45,57.942,58.426,58.899,59.369,59.972,60.577,61.172,61.881,62.638,63.017,63.506,64.383,64.939,65.712,66.579,66.996,67.286,67.751,68.189,68.621,69.141,69.599,70.059,70.436,70.885,71.189,71.57,71.919,72.326,72.79,73.167,73.568,73.962,74.245,74.591,75.029,75.335,75.685,76.136,76.487,76.657,76.868,77.139,77.119,77.242,77.483,77.715,78.005,78.471,78.912,79.487,79.97,80.477,81.188,81.81,82.235,82.535,82.657,82.743,83.064,83.679,84.085,84.599,85.448,85.523,86.047,86.497,87.389,88.136,88.794,89.567,90.247,90.92,91.977,92.795,93.417,94.181,94.838,94.888,95.929,96.657,97.202,98.139,99.074,100.112,101.135,100.043,99.431,99.685,100.162,100.722,101.254,101.556,101.935,102.54,103.296,104.218,104.731,104.939,105.538,105.739,106.088,106.512,106.77,106.731,107.198,107.534,107.838
