"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","  Goods","DGDSRD3",32.342,32.731,33.1,33.409,33.731,34.007,34.243,34.625,34.807,35.137,35.328,35.428,35.784,35.898,36.175,36.429,37.014,37.872,38.596,39.461,41.023,42.389,43.702,44.969,45.614,45.953,46.821,47.457,47.696,47.859,48.452,49.142,49.934,50.639,51.164,51.789,52.493,53.603,54.48,55.419,56.761,58.399,59.92,61.385,63.59,65.135,66.465,67.818,69.49,70.352,71.041,71.635,72.042,72.194,72.934,73.02,73.021,73.743,74.253,74.375,74.978,75.162,75.328,75.558,76.037,76.408,76.468,76.938,76.69,75.599,75.949,76.209,77.528,78.292,78.971,79.405,79.524,80.197,81.084,81.682,82.549,83.984,84.006,84.361,85.917,86.248,87.467,89.049,88.989,89.16,89.32,89.687,89.79,90.171,90.632,90.854,91.02,91.099,90.996,91.481,91.382,91.699,92.543,92.662,92.776,92.968,92.993,93.015,93.632,94.044,93.867,94.286,94.399,93.891,93.628,93.505,92.779,92.409,92.381,92.212,92.112,92.77,93.229,93.549,94.28,94.721,94.977,95.086,95.085,95.242,94.761,93.743,93.326,93.981,93.969,93.941,94.48,93.179,93.624,93.553,94.314,94.844,94.917,96.022,95.851,96.21,97.808,97.909,97.845,98.607,99.181,97.485,98.175,99.253,99.474,100.698,101.718,102.927,104.662,100.064,98.374,99.416,100.684,101.503,101.783,101.143,101.304,102.305,103.8,105.391,106.064,106.109,106.679,106.365,106.717,106.9,106.64,105.739,106.325,106.049,105.928
"12","4","    Durable goods","DDURRD3",58.364,58.806,59.092,59.461,59.568,59.806,60.244,61.245,62.106,62.542,62.399,62.078,62.612,62.931,63.25,63.046,63.303,63.808,64.137,64.368,65.114,66.777,69.313,71.446,72.505,73.77,74.561,75.713,76.763,77.636,78.591,79.927,80.824,81.234,82.073,83.166,84.352,85.636,87.028,88.56,90.014,91.611,92.671,94.345,97.111,99.405,101.223,102.965,104.284,106.253,107.819,109.208,110.105,110.945,111.328,111.641,112.434,112.85,113.47,114.182,114.227,114.946,115.181,115.398,115.99,116.258,116.055,116.345,116.356,116.881,117.853,118.522,119.53,120.474,121.342,121.842,121.635,122.312,123.185,124.102,124.729,124.83,125.113,125.523,126.193,126.207,126.262,126.516,127.596,127.915,128.388,128.664,128.659,129.01,129.114,129.312,129.24,129.918,130.548,131.409,131.714,132.504,133.442,133.675,134.218,134.077,133.649,133.354,133.455,132.575,132.231,131.66,131.155,129.896,129.032,128.322,127.389,126.445,125.479,124.54,123.481,122.856,122.28,121.545,120.973,120.715,119.979,119.699,119.175,118.335,117.553,116.966,115.931,115.36,114.805,114.07,112.644,111.442,110.328,109.321,109.212,109.111,108.279,108.429,108.211,108.076,107.315,107.082,106.657,106.19,105.743,105.096,104.573,104.102,103.414,102.994,102.657,101.863,101.581,100.831,100.338,100.219,99.55,99.915,99.525,98.921,98.293,97.817,97.614,97.95,97.799,97.251,97.095,96.801,96.258,95.758,95.5,95.029,94.468,93.953,93.368
"13","5","    Nondurable goods","DNDGRD3",23.629,23.958,24.293,24.551,24.867,25.112,25.281,25.508,25.55,25.817,26.042,26.207,26.49,26.552,26.786,27.095,27.676,28.513,29.241,30.142,31.699,32.858,33.782,34.736,35.225,35.347,36.133,36.597,36.646,36.645,37.101,37.582,38.27,38.971,39.375,39.835,40.365,41.333,42.011,42.728,43.92,45.41,46.884,48.16,50.02,51.246,52.334,53.463,55.038,55.58,56.016,56.386,56.65,56.647,57.378,57.408,57.246,57.962,58.399,58.373,59.056,59.094,59.229,59.443,59.856,60.223,60.345,60.823,60.52,59.078,59.231,59.36,60.681,61.347,61.929,62.315,62.515,63.143,63.977,64.447,65.33,67.054,66.999,67.313,69.018,69.415,70.875,72.711,72.348,72.466,72.53,72.895,73.02,73.383,73.912,74.127,74.351,74.256,73.948,74.294,74.081,74.239,75.007,75.086,75.065,75.346,75.507,75.625,76.37,77.167,77.052,77.769,78.08,77.844,77.795,77.878,77.255,77.102,77.411,77.531,77.791,78.914,79.76,80.48,81.714,82.428,83.08,83.35,83.575,84.146,83.8,82.605,82.457,83.641,83.874,84.169,85.581,84.253,85.419,85.786,86.948,87.77,88.273,89.834,89.681,90.278,93.051,93.313,93.424,94.793,95.876,93.665,94.967,96.827,97.505,99.56,101.248,103.442,106.159,99.717,97.467,99.041,101.224,102.261,102.863,102.209,102.755,104.485,106.829,109.048,110.137,110.491,111.448,111.125,111.962,112.52,112.262,111.124,112.36,112.222,112.37
"14","6","  Services","DSERRD3",15.771,15.986,16.2,16.425,16.648,16.88,17.09,17.342,17.576,17.808,18.057,18.227,18.427,18.58,18.764,18.94,19.1,19.398,19.736,20.106,20.518,21.003,21.49,21.963,22.465,22.838,23.262,23.72,24.114,24.425,24.858,25.285,25.786,26.297,26.804,27.238,27.763,28.321,28.851,29.438,29.853,30.626,31.352,32.102,32.9,33.709,34.58,35.559,36.443,37.181,37.991,38.779,39.483,40.089,40.89,41.654,42.283,42.654,43.417,43.867,44.428,45.102,45.638,46.029,46.77,47.284,47.909,48.264,48.971,49.366,49.635,50.021,50.324,50.79,51.292,51.856,52.48,53.151,53.85,54.484,55.117,55.704,56.223,56.796,57.452,58.161,58.834,59.422,59.926,60.371,60.963,61.512,62.073,62.573,63.017,63.632,64.165,64.82,65.312,65.702,66.113,66.561,66.956,67.405,67.869,68.392,68.813,69.28,69.628,70.176,70.726,71.298,71.742,72.241,72.646,73.055,73.368,73.736,74.096,74.465,74.812,75.135,75.543,76.099,76.758,77.103,77.737,78.362,79.184,79.701,80.018,80.578,81,81.653,82.298,82.892,83.541,84.282,84.859,85.422,86.049,86.717,87.458,87.972,88.762,89.49,90.198,91.239,91.923,92.627,93.354,93.97,94.956,95.556,96.269,97.118,97.871,98.824,99.497,99.583,99.564,99.726,100.045,100.664,101.036,101.518,101.887,102.201,102.592,103.213,103.765,104.268,104.87,105.449,105.938,106.491,107.059,107.476,107.945,108.521,109.149
"15","7","Gross private domestic investment","A006RD3",27.485,27.701,27.912,28.339,28.62,29.125,29.068,29.436,29.958,30.336,30.69,30.971,31.187,31.428,31.848,32.548,32.619,32.994,33.742,34.618,35.081,36.407,37.514,38.708,40.067,41.123,41.602,42.157,42.401,43.152,43.803,44.715,45.603,46.023,46.553,48.692,49.174,49.976,50.809,52.019,52.945,54.352,55.933,57.18,58.279,59.642,60.875,62.021,63.745,65.481,66.321,67.839,68.818,69.527,70.112,70.387,70.033,69.817,69.819,70.088,70.352,70.553,70.743,71.065,71.146,71.438,71.503,72.097,72.446,73.032,73.348,73.674,74.22,74.47,74.62,75.438,76.069,76.422,76.607,77.116,77.894,78.307,78.654,79.19,79.595,79.874,80.332,80.556,81.31,81.476,81.691,81.497,81.159,81.322,81.559,81.748,81.828,82.16,82.829,82.798,83.116,83.387,83.878,84.144,84.524,84.789,85.255,85.253,85.201,85.062,84.52,84.865,85.427,84.568,84.935,84.777,84.47,84.174,84.161,84.422,84.656,84.359,84.311,84.441,85.055,85.449,85.867,86.058,86.097,86.383,86.62,86.638,86.71,86.547,86.66,87.204,87.529,87.53,87.875,88.382,89.258,90.35,91.018,91.899,92.899,93.881,95.085,96.305,97.326,97.868,98.416,99.195,99.836,99.896,100.004,100.207,100.379,100.835,101.335,102.423,101.779,100.293,98.987,98.896,98.839,98.857,99.033,99.553,99.817,100.172,100.56,100.743,101.063,101.488,101.498,102.382,103.442,103.805,104.218,104.641,105.167
"16","8","  Fixed investment","A007RD3",26.585,26.873,27.12,27.475,27.697,28.292,28.231,28.558,29.049,29.454,29.795,30.068,30.44,30.648,30.95,31.387,31.704,32.267,32.957,33.411,34.087,35.077,36.412,37.821,39.088,39.99,40.453,41.046,41.446,42.167,42.76,43.428,44.335,45.159,46.157,47.144,48.033,49.023,49.983,50.992,52.069,53.409,54.707,55.823,57.128,58.444,59.703,60.967,62.553,63.932,65.015,66.356,67.565,68.416,68.854,69.041,68.827,68.624,68.636,68.781,68.929,69.267,69.545,69.769,70.017,70.152,70.479,70.931,71.297,71.838,72.439,72.904,73.178,73.343,73.557,74.254,74.902,75.382,75.765,76.48,76.908,77.406,77.798,78.23,78.707,79.018,79.502,79.927,80.589,80.727,80.799,80.535,80.402,80.545,80.734,81.009,81.293,81.571,81.728,81.972,82.421,82.687,83.04,83.369,83.881,84.196,84.449,84.434,84.307,84.154,84.38,84.346,84.371,84.424,84.543,84.45,84.143,83.966,83.92,83.957,84.09,84.171,84.095,84.38,84.935,85.294,85.685,85.871,85.926,86.224,86.439,86.495,86.408,86.455,86.567,87.029,87.422,87.426,87.714,88.338,89.155,90.114,90.98,91.841,92.844,93.833,95.036,96.249,97.206,97.864,98.405,99.225,99.842,99.997,100.023,100.093,100.318,100.552,101.259,101.965,101.364,100.142,99.198,99.235,98.977,99.022,99.138,99.569,99.914,100.452,100.718,100.899,101.289,101.672,102.039,102.382,102.962,103.473,103.977,104.621,105.26
"17","9","    Nonresidential","A008RD3",33.1,33.414,33.786,34.207,34.593,35.161,35.387,35.851,36.353,36.773,37.095,37.329,37.752,38.043,38.284,38.51,38.838,39.388,40.004,40.492,41.268,42.56,44.288,46.204,47.901,49.115,49.737,50.411,50.966,51.619,52.305,53.068,54.101,54.912,55.857,56.818,57.647,58.603,59.565,60.6,61.885,63.259,64.606,65.833,67.317,68.866,70.325,71.768,73.694,75.461,76.843,78.518,80.03,81.005,81.501,81.689,81.254,80.88,80.754,80.748,80.815,81.114,81.29,81.386,81.643,81.788,82.095,82.456,82.668,83.209,83.752,84.134,84.195,84.166,84.193,84.982,85.772,86.231,86.598,87.407,87.862,88.248,88.747,89.188,89.692,90.045,90.665,91.263,92.155,92.233,92.176,91.898,91.809,91.719,91.78,91.784,91.868,91.941,91.894,92.159,92.406,92.595,92.784,92.863,93.251,93.56,93.808,93.607,93.295,92.923,92.935,92.744,92.637,92.565,92.492,92.136,91.605,91.143,90.777,90.559,90.467,90.256,89.897,90.066,90.35,90.56,90.859,90.858,90.513,90.525,90.316,90.206,90.135,89.997,89.999,90.055,89.803,89.747,89.892,90.088,90.375,90.934,91.315,91.883,92.782,93.5,94.036,94.956,95.616,96.161,96.787,97.645,98.29,98.61,98.648,98.736,99.175,99.606,100.741,101.981,101.423,100.215,99.209,99.075,98.721,98.947,99.092,99.492,99.865,100.441,100.759,100.977,101.498,101.892,102.156,102.349,102.691,103.007,103.303,103.618,103.888
"18","10","      Structures","A009RD3",11.697,11.889,12.054,12.285,12.411,12.8,12.837,13.05,13.319,13.621,13.923,14.167,14.444,14.623,14.812,15.097,15.316,15.643,16.081,16.482,16.94,17.687,18.513,19.288,19.839,20.189,20.362,20.599,20.725,21.098,21.408,21.706,22.394,22.794,23.301,23.78,24.274,24.941,25.55,26.251,26.994,27.833,28.707,29.33,29.85,30.46,31.104,32.059,33.406,34.552,35.53,36.749,37.581,37.978,38.096,37.928,37.267,36.885,36.8,36.741,36.782,37.153,37.393,37.617,37.908,37.999,38.201,38.426,38.59,38.789,38.959,39.156,39.158,39.319,39.529,39.915,40.547,40.953,41.356,41.797,42.149,42.644,42.978,43.313,43.683,43.991,44.356,44.623,45.013,45.086,45.072,44.635,44.638,44.816,45.033,45.372,45.701,46.093,46.466,46.873,47.233,47.522,48.107,48.786,49.375,49.699,50.24,50.656,50.698,50.885,51.534,51.89,52.395,52.875,53.469,54.109,54.867,55.454,55.909,56.37,56.777,57.148,57.547,58.039,58.721,59.254,59.882,60.6,61.472,62.417,63.423,63.819,64.424,65.13,65.715,66.484,67.274,67.306,67.795,68.708,70.124,71.715,73.683,75.919,78.184,80.278,83.205,86.568,88.852,91.109,92.802,95.269,96.47,96.947,97.827,99.061,100.225,101.113,102.878,104.874,103.58,100.419,97.666,97.518,97.98,98.554,99.107,99.712,100.313,101.309,102.215,102.906,103.17,103.69,103.859,104.175,105.2,106.533,107.359,108.483,109.077
"19","11","      Equipment","Y033RD3",53.718,54,54.487,54.969,55.574,56.104,56.525,57.179,57.799,58.159,58.237,58.231,58.641,58.919,59.032,58.894,59.126,59.717,60.204,60.377,61.15,62.697,65.269,68.47,71.608,73.872,74.999,76.157,77.323,78.064,79.062,80.283,81.584,82.781,84.106,85.522,86.529,87.581,88.686,89.767,91.446,93.128,94.666,96.339,98.852,101.37,103.556,105.053,107.049,109.083,110.439,111.924,114.053,115.595,116.411,116.928,116.771,116.275,115.708,115.551,115.345,115.254,115.002,114.82,114.706,114.825,115.134,115.713,115.909,116.977,118.068,118.663,118.639,118.062,117.5,118.524,119.125,119.426,119.627,121.012,121.482,121.63,122.312,122.96,123.644,123.907,124.798,126.055,127.065,126.77,126.409,126.58,127.127,126.692,126.52,125.789,125.624,125.22,124.809,124.542,124.994,125.224,124.95,124.135,123.619,123.836,123.482,122.863,121.873,120.758,120.299,119.748,118.692,117.779,117.008,115.923,114.156,112.667,111.411,110.166,109.387,108.218,107.029,106.396,106.08,105.652,105.297,104.541,103.243,102.605,101.865,101.326,100.892,100.422,99.915,99.74,98.866,98.429,98.359,98.446,98.238,98.577,98.3,98.326,98.811,98.943,98.449,98.373,98.245,98.027,98.325,98.667,98.959,99.1,98.521,97.842,97.724,97.746,98.896,100.765,100.777,100.439,99.883,98.91,97.86,97.809,98.046,98.29,98.457,98.864,99.047,99.307,99.832,99.937,100.299,100.673,100.601,100.5,100.578,100.58,100.79
"20","12","      Intellectual property products","Y001RD3",34.919,35.284,35.752,36.151,36.676,37.01,37.404,37.818,38.24,38.486,38.715,38.901,39.253,39.576,39.898,40.206,40.697,41.267,41.979,42.841,43.93,45.045,46.158,47.231,48.162,49.059,49.63,50.147,50.398,51.118,51.746,52.406,52.818,53.366,53.969,54.578,55.311,55.983,56.803,57.726,58.622,59.685,60.738,61.831,63.062,64.265,65.501,66.688,67.931,69.103,70.182,71.6,72.433,73.307,74.101,74.936,75.61,76.035,76.772,77.28,77.93,78.386,78.976,79.028,79.575,79.79,80.11,80.113,80.3,80.419,80.579,80.781,81.121,81.57,82.131,82.999,83.929,84.462,84.745,84.899,85.26,85.504,85.752,85.798,85.988,86.35,86.745,86.723,88.022,88.607,88.93,88.454,87.36,87.29,87.364,87.824,87.81,88.02,87.836,88.604,88.259,88.153,88.364,88.893,90.392,90.737,91.448,90.995,91.338,91.424,91.245,90.858,91.416,91.928,92.05,91.504,91.263,91.11,91.133,91.75,92.184,92.878,93.02,94.119,94.886,95.759,96.732,97.096,96.869,96.809,95.966,95.966,95.741,95.252,95.466,95.179,94.874,95.311,95.447,95.135,95.149,95.109,95.109,95.07,95.437,95.899,96.062,96.534,97.084,97.402,97.612,97.909,98.641,99.107,99.362,99.599,100.225,100.84,101.318,100.927,100.314,99.739,99.564,100.381,100.293,100.635,100.379,100.85,101.352,101.901,102.027,101.865,102.557,103.301,103.484,103.322,103.813,104.069,104.32,104.543,104.678
"21","13","    Residential","A011RD3",15.488,15.712,15.779,16.017,16.004,16.595,16.145,16.27,16.693,17.029,17.34,17.609,17.863,17.954,18.263,18.833,19.09,19.582,20.257,20.618,21.095,21.594,22.277,22.859,23.412,23.798,24.007,24.438,24.595,25.317,25.728,26.198,26.84,27.563,28.475,29.357,30.201,31.105,31.945,32.802,33.485,34.64,35.749,36.619,37.576,38.459,39.34,40.255,41.194,41.827,42.317,42.985,43.578,44.219,44.556,44.753,44.989,45.106,45.362,45.757,46.043,46.436,46.88,47.322,47.542,47.65,47.998,48.591,49.199,49.711,50.363,50.932,51.522,51.974,52.466,52.978,53.36,53.845,54.231,54.758,55.125,55.798,55.993,56.399,56.819,57.046,57.263,57.339,57.524,57.797,58.139,57.91,57.707,58.284,58.709,59.48,60.119,60.771,61.304,61.511,62.326,62.732,63.378,64.173,64.929,65.258,65.527,65.903,66.166,66.469,67.146,67.45,67.766,68.097,68.652,69.154,69.347,69.823,70.514,71.144,71.813,72.594,73.206,73.794,75.047,75.803,76.441,77.107,78.181,79.202,80.474,80.934,80.81,81.271,81.621,82.965,84.725,84.865,85.474,86.996,88.901,90.675,92.507,93.963,95.181,96.723,99.281,101.136,102.776,103.73,104.106,104.845,105.368,105.071,105.09,105.161,104.726,104.279,103.355,101.919,101.121,99.829,99.147,99.879,100.033,99.331,99.325,99.899,100.111,100.463,100.487,100.499,100.295,100.635,101.471,102.463,104.05,105.358,106.7,108.678,110.854
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","A020RD3",30.395,30.442,30.858,31.568,31.549,32.171,32.109,32.23,33.168,33.25,33.097,33.302,34.288,34.55,34.67,35.436,36.412,38.032,40.237,42.3,45.294,46.88,49.54,52.071,53.517,53.35,53.182,53.501,54.274,54.868,55.193,56.186,56.839,57.682,57.386,57.64,58.736,60.178,61.151,63.155,65.024,67.683,69.285,70.577,72.678,73.693,75.788,78.352,80.302,80.651,80.77,81.025,81.502,81.436,80.847,80.376,80.717,81.013,81.47,82.273,82.383,82.916,82.077,81.197,80.306,79.984,79.335,79.144,78.735,78.316,77.864,78.466,78.747,79.891,80.126,81.454,82.402,84.125,85.15,85.005,85.827,85.964,85.452,85.176,85.249,85.406,86.192,87.445,87.67,87.179,86.584,86.739,86.593,86.674,86.664,86.504,86.608,86.844,86.785,86.748,87.138,87.481,87.894,88.449,89.403,90.114,89.896,89.485,89.317,89.037,88.375,87.468,87.219,87.159,86.938,86.551,85.684,85.223,84.522,84.192,83.945,84.066,84.272,84.683,85.272,85.949,86.332,86.438,86.358,85.979,85.6,84.757,84.503,85.025,85.714,85.858,86.725,86.901,87.147,87.785,88.891,90.173,90.684,91.647,93.323,94.006,94.742,95.394,96.082,97.439,98.717,98.734,99.517,100.621,101.307,102.884,104.453,107.294,108.87,102.402,98.99,98.958,100.157,101.734,102.706,103.896,104.221,106.677,109.423,111.647,112.287,111.163,111.953,112.126,112.113,112.543,112.943,112.034,112.302,112.45,113.192
"25","17","    Goods","A253RD3",35.022,34.914,35.401,36.39,36.615,37.401,37.082,37.114,38.234,38.182,37.772,38.012,38.536,38.808,38.867,39.926,41.493,43.595,46.513,49.322,53.173,55.235,58.82,62.362,64.346,63.811,63.299,63.584,64.404,65.109,65.389,66.622,67.421,68.353,67.645,67.666,68.99,70.788,71.874,74.605,77.224,80.677,82.5,83.759,86.111,87.067,89.686,92.974,95.294,95.36,95.127,95.113,95.472,94.852,93.514,92.521,92.601,92.947,93.466,94.708,95.15,95.649,94.093,92.307,90.852,90.227,88.851,88.262,87.295,86.635,85.846,86.688,87.022,88.586,88.78,90.734,92.026,94.501,96.017,95.588,96.515,96.437,95.488,94.829,94.403,94.519,94.911,95.734,95.848,95.25,94.08,94.07,93.678,93.522,93.147,92.771,92.803,92.908,92.741,92.54,93.08,93.414,93.818,94.542,95.803,96.468,96.126,95.467,94.827,94.411,93.22,91.633,91.414,91.166,90.849,90.222,89.169,88.482,87.514,86.99,86.656,86.615,86.832,87.326,87.694,88.37,88.626,88.755,88.611,88.214,87.721,86.754,86.443,86.869,87.695,87.813,88.648,88.859,88.828,89.609,90.665,92.195,92.597,93.488,94.468,95.197,95.753,96.415,96.946,98.466,99.87,99.971,100.541,101.732,102.34,104.009,105.668,109.297,110.84,102.596,98.489,99.037,100.312,101.931,102.977,104.345,104.718,107.898,111.187,113.752,114.294,112.789,113.463,113.424,113.413,113.73,114.059,112.77,112.92,112.842,113.661
"26","18","    Services","A646RD3",21.589,21.895,22.18,22.387,21.935,22.258,22.644,22.918,23.509,23.808,24.11,24.263,25.963,26.228,26.477,26.713,26.526,27.191,27.968,28.52,29.757,30.374,31.161,31.675,32.094,32.627,33.13,33.522,34.188,34.547,34.955,35.474,35.845,36.509,37.003,37.687,38.342,39.088,39.833,40.395,40.775,41.845,43,44.394,46.007,47.201,48.231,49.338,50.584,51.514,52.317,53.091,53.782,54.752,55.576,56.063,56.854,57.063,57.41,57.406,56.937,57.526,57.989,58.796,58.939,59.155,59.835,60.37,60.947,60.941,61.067,61.229,61.4,61.804,62.101,62.297,62.623,62.949,63.067,63.445,64.043,64.566,64.873,65.307,66.298,66.523,68.004,69.994,70.421,70.145,70.632,71.097,71.421,71.95,72.626,72.882,73.109,73.579,73.716,73.989,74.091,74.446,74.874,75.091,75.417,76.212,76.247,76.34,77.13,77.133,77.577,78.099,77.806,78.166,78.164,78.313,77.854,77.888,77.769,77.874,77.83,78.33,78.518,78.737,79.851,80.534,81.231,81.28,81.356,81.016,80.905,80.352,80.233,80.974,81.347,81.551,82.492,82.586,83.467,83.779,84.994,85.724,86.482,87.609,90.853,91.44,92.598,93.232,94.289,95.265,96.247,96.067,97.342,98.254,99.12,100.498,101.874,102.892,104.522,102.014,100.019,98.799,99.826,101.316,102.145,102.95,103.177,104.035,105.57,107.037,107.889,107.609,108.661,109.309,109.29,109.972,110.529,110.448,110.979,111.634,112.206
"27","19","  Imports","A021RD3",20.434,20.522,20.67,21.204,21.43,21.678,22.21,22.436,23.003,23.083,23.364,23.707,24.101,24.724,25.13,25.702,26.481,28.579,29.939,32.173,37.233,41.472,43.589,44.995,45.742,45.881,44.863,44.919,45.622,46.302,47.128,47.618,49.309,50.689,51.366,51.891,52.752,54.023,54.916,55.874,58.051,61.073,65.644,70.022,75.919,78.709,80.925,82.305,84.348,84.811,82.574,82.745,82.514,81.076,80.115,79.5,77.823,77.824,77.975,77.487,77.733,78.169,76.777,75.824,73.987,74.296,74.231,75.692,75.855,73.514,74.02,74.924,76.832,78.831,79.633,80.883,82.049,83.521,82.603,83.273,84.597,85.525,84.065,84.51,85.83,84.327,86.782,91.604,88.8,86.35,85.046,85.429,85.816,86.144,87.239,86.543,86.035,86.338,85.57,85.215,85.15,85.942,87.384,87.725,88.47,89.756,89.202,88.403,88.213,87.757,86.874,86.844,86.189,84.399,83.846,83.184,81.132,80.136,79.086,79.024,78.778,79.762,80.763,81.944,83.525,83.669,84.236,84.558,84.261,82.626,81.419,79.521,79.387,81.122,81.685,82.098,84.521,83.371,83.817,84.226,85.967,87.352,88.425,90.42,91.114,92.352,94.481,96.182,96.471,97.513,98.544,97.415,97.89,99.578,101.336,105.444,108.992,114.623,117.742,105.176,96.317,97.844,101.221,104.372,106.032,105.563,104.989,107.43,111.807,115.224,115.122,114.907,116.114,115.039,113.574,114.73,114.879,113.416,113.485,113.534,114.319
"28","20","    Goods","A255RD3",20.99,21.07,21.19,21.906,22.16,22.385,23.077,23.345,23.763,23.702,23.957,24.228,24.826,25.582,25.986,26.544,27.374,29.6,30.949,33.566,39.733,44.986,47.587,49.181,50.055,50.031,48.514,48.376,49.274,50.144,51.03,51.497,53.51,55.106,55.783,56.217,57.181,58.549,59.281,60.279,62.816,66.287,71.623,76.716,83.544,86.908,89.326,90.993,93.583,94.08,91.037,90.982,90.588,88.933,87.978,87.219,85.04,85.062,85.236,84.601,84.834,85.411,84.136,83.258,81.054,81.025,80.391,81.775,81.247,77.989,78.41,79.5,82.282,84.711,85.502,86.976,88.006,89.735,88.631,89.419,91.381,92.65,90.708,91.02,92.253,89.954,92.521,97.924,94.199,91.554,89.757,90.113,90.399,90.648,91.48,90.884,90.27,90.458,89.62,89.08,88.966,89.922,91.328,91.603,92.747,93.791,93.035,92.078,91.741,91.072,89.852,89.662,88.954,86.74,86.232,85.51,83.374,81.999,80.676,80.346,80.027,80.977,82.04,83.444,85.327,85.603,86.24,86.669,86.223,84.324,82.794,80.583,80.348,82.157,82.566,83.094,85.702,83.73,84.132,84.614,86.435,87.931,88.997,91.192,91.848,93.148,95.525,97.632,97.672,98.731,99.826,98.393,98.842,100.564,102.373,107.038,111.043,117.223,120.712,106.075,95.611,97.565,101.51,104.972,106.931,106.314,105.533,108.184,113.302,117.208,117.126,117.051,118.427,117.086,115.321,116.598,116.785,115.034,115.146,114.984,115.851
