"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","  Goods","DGDSRA3",28.89,28.911,28.962,29.066,29.113,29.196,29.375,29.058,29.991,30.237,30.432,30.967,31.256,32.083,32.641,33.598,34.401,34.069,34.081,33.743,33.192,33.088,33.195,31.847,32.078,32.763,33.572,33.801,34.79,35.209,35.52,35.95,36.341,36.608,36.903,37.69,37.478,38.554,38.586,39.021,38.991,38.663,39.305,39.138,38.94,37.336,37.72,38.148,38.697,38.388,38.775,38.082,38.464,38.454,38.659,39.439,39.644,40.813,41.719,42.701,43.279,44.244,44.272,44.964,45.658,46.075,47.303,47.021,47.735,48.583,50.089,50.057,49.033,49.973,50.724,50.271,51.457,51.724,51.714,52.534,52.607,52.904,53.665,53.488,54.205,53.624,53.499,52.655,52.203,52.495,52.811,52.226,53.409,53.681,54.268,54.987,55.2,56.084,56.663,57.385,58.358,58.877,59.423,60.56,60.259,60.665,61.4,61.979,62.476,63.694,64.148,64.925,65.8,65.751,67.469,68.391,68.906,70.695,71.753,73.93,74.836,76.595,77.499,78.829,80.011,80.432,81.27,81.975,82.166,82.386,82.975,85.965,85.748,86.091,87.177,87.424,87.909,89.801,92.341,93.183,94.196,94.716,95.86,96.903,98.064,99.356,99.908,100.01,101.994,102.17,103.003,104.6,105.16,105.561,106.062,106.143,104.699,105.063,103.068,99.595,99.698,99.013,100.764,100.524,101.517,102.801,103.773,105.691,106.391,106.446,106.777,108.084,109.298,109.889,110.888,111.904,112.928,113.793,115.057,115.873,116.079
"12","4","    Durable goods","DDURRA3",15.071,15.03,14.987,14.93,14.701,14.871,14.925,13.934,15.428,15.779,16.2,16.891,17.278,17.712,18.168,19.13,20.348,20.108,19.929,19.463,19.007,19.109,19.22,17.391,17.762,18.107,19.238,19.798,20.788,20.882,21.119,21.452,22.238,22.763,23.098,23.583,22.958,24.67,24.337,24.53,24.239,23.691,24.352,23.725,23.351,20.833,21.757,22.42,23.056,22.159,22.833,21.193,21.872,21.952,22.13,23.14,23.372,25.076,26.04,27.324,28.355,29.013,29.022,29.964,31.005,31.374,33.382,32.233,32.891,34.053,36.957,36.371,34.214,35.617,37.089,36.087,37.795,37.808,37.315,38.282,38.112,38.62,39.494,38.294,39.911,38.591,38.2,37.148,36.125,36.307,36.865,36.263,37.686,37.949,38.758,39.528,39.912,41.208,41.667,42.67,43.686,44.156,44.621,46.189,45.232,45.692,46.981,47.796,48.315,49.853,50.208,51.187,52.572,52.405,54.739,56.137,56.59,59.449,61.138,64.749,64.889,67.992,69.622,70.456,74.388,73.013,74.253,74.767,75.997,75.931,76.802,83.202,82.18,82.987,85.42,84.24,84.498,88.376,92.317,93.5,95.051,95.979,97.853,99.237,100.287,103.132,104.301,101.517,105.671,105.554,107.012,108.432,109.647,111.231,112.467,112.913,109.691,109.35,105.999,98.381,98.563,97.972,102.662,100.804,102.135,105.177,106.884,110.172,111.631,111.402,112.812,116.453,119.195,120.06,122.484,125.591,127.379,129.309,131.785,132.682,133.154
"13","5","    Nondurable goods","DNDGRA3",40.633,40.723,40.875,41.149,41.502,41.476,41.774,42.261,42.434,42.531,42.444,42.733,42.874,44.033,44.64,45.483,45.757,45.37,45.583,45.403,44.794,44.497,44.593,43.797,43.881,44.853,45.292,45.181,46.097,46.805,47.164,47.66,47.629,47.625,47.861,48.889,49.098,49.476,49.86,50.503,50.726,50.628,51.221,51.491,51.466,50.769,50.645,50.843,51.292,51.52,51.634,51.832,51.928,51.838,52.059,52.594,52.764,53.385,54.197,54.858,54.997,56.199,56.242,56.675,57.021,57.466,57.938,58.455,59.196,59.723,59.847,60.334,60.413,60.874,60.924,60.998,61.656,62.146,62.575,63.227,63.513,63.61,64.248,64.976,64.891,64.963,65.068,64.415,64.445,64.824,64.933,64.375,65.333,65.608,65.999,66.66,66.727,67.258,67.923,68.396,69.311,69.86,70.462,71.21,71.465,71.817,72.072,72.443,72.912,73.849,74.375,74.977,75.433,75.475,76.689,77.228,77.783,78.725,79.291,80.365,81.844,82.605,82.987,84.677,83.935,85.606,86.17,86.999,86.48,86.883,87.286,88.025,88.351,88.395,88.612,89.767,90.384,91.043,92.729,93.371,94.077,94.368,95.099,95.956,97.191,97.613,97.829,99.498,100.32,100.652,101.156,102.845,103.055,102.851,102.991,102.91,102.346,103.063,101.703,100.158,100.231,99.506,99.879,100.384,101.218,101.699,102.338,103.647,104.02,104.199,104.077,104.409,104.988,105.463,105.877,106.047,106.762,107.197,107.973,108.754,108.855
"14","6","  Services","DSERRA3",27.575,27.914,28.137,28.487,28.792,28.975,29.304,29.453,29.656,29.954,30.237,30.712,31.23,31.61,32.039,32.612,33.03,33.313,33.535,33.662,33.613,33.943,34.111,34.455,34.775,35.208,35.38,35.878,36.297,36.538,36.986,37.499,37.947,38.094,38.506,38.875,39.493,40.084,40.37,40.579,40.993,41.249,41.413,41.773,41.835,41.57,42.035,42.657,42.562,42.831,42.792,42.831,43,43.291,43.704,44.435,45.013,45.583,46.225,46.69,46.912,47.303,47.918,48.467,49.346,49.818,50.508,50.945,51.135,51.47,51.94,52.533,53.304,53.853,54.351,54.879,55.64,56.128,56.935,57.422,57.809,58.046,58.452,59.009,59.332,60.057,60.542,60.399,60.384,60.994,61.247,61.63,62.647,63.141,63.82,64.529,64.771,65.087,65.832,66.268,66.817,67.291,67.752,68.153,68.638,69.341,69.861,70.254,70.957,71.378,71.763,72.153,72.794,73.344,74.228,75.033,75.922,76.915,77.847,78.319,79.058,79.93,80.894,81.873,83.136,84.099,84.911,85.671,86.031,86.265,86.376,86.652,87.21,87.736,88.096,88.527,88.934,89.443,90.086,90.669,91.566,92.163,92.911,93.84,94.393,95.241,96.051,96.552,97.191,97.893,98.375,99.033,99.636,99.943,100.299,100.478,100.89,100.994,100.785,100.711,100.163,99.852,99.925,100.06,100.359,100.944,101.507,102.168,102.615,103.155,103.795,104.079,104.616,105.07,105.252,105.421,105.818,106.125,106.308,107.228,108.368
"15","7","Gross private domestic investment","B006RA3",33.396,33.199,33.873,32.237,31.276,31.344,31.854,30.163,33.679,34.635,35.055,34.111,36.359,38.424,38.97,39.214,41.512,43.282,41.712,43.198,40.731,40.569,38.466,38.699,32.466,31.499,33.941,34.889,38.255,39.769,39.908,40.206,42.069,45.085,47.367,46.178,47.078,50.136,51.597,52.791,52.879,52.831,51.941,51.018,50.666,46.359,43.302,47.344,51.735,49.588,52.368,50.498,45.518,45.46,45.031,41.548,42.995,46.809,49.743,54.583,59.856,61.8,63.137,62.318,60.609,61.642,61.222,63.479,63.46,62.352,60.675,60.856,62.499,62.531,62.541,66.802,63.596,65.111,65.473,66.473,68.722,68.062,67.458,66.965,67.62,67.644,66.324,62.63,60.547,60.551,61.755,63.946,62.77,66.329,66.864,68.911,70.529,70.928,70.451,74.146,77.005,80.779,79.45,82.717,83.609,81.877,81.391,83.416,84.693,88.796,92.885,92.856,94.86,100.099,101.891,103.334,107.935,107.205,110.069,113.174,116.397,116.5,119.417,122.923,121.815,129.095,127.476,127.552,121.678,121.242,119.087,113.245,117.287,118.465,118.449,118.238,119.241,119.869,124.108,128.487,128.561,133.158,135.209,137.937,141.863,140.061,141.518,145.765,147.692,146.728,145.231,141.793,140.488,142.414,141.531,138.714,134.043,131.655,127.989,116.608,103.171,96.935,96.09,103.804,107.177,112.714,116.378,115.336,113.109,116.932,117.663,126.092,129.269,128.745,130.795,130.012,131.521,134.44,139.883,140.743,136.432
"16","8","  Fixed investment","B007RA3",29.878,30.035,30.466,29.788,29.638,29.03,29.521,29.514,30.12,31.251,31.79,32.624,34.014,34.599,34.991,36.524,37.957,38.246,38.133,37.805,37.052,36.588,35.987,34.053,32.121,31.755,32.531,33.181,34.535,35.105,35.501,37.186,38.469,40.473,40.989,41.695,42.07,44.945,46.163,47.173,47.59,47.314,48.141,47.694,47.066,43.208,43.735,45.392,45.822,46.185,46.191,46.02,44.553,43.134,42.098,42.12,43.076,44.706,47.216,49.851,51.414,53.422,54.482,55.456,55.956,56.676,56.445,57.517,57.681,57.694,57.439,57.883,56.884,57.755,58.754,58.729,58.764,59.913,60.194,60.908,61.443,61.527,62.609,61.804,62.526,61.291,60.778,59.224,57.589,57.763,57.836,58.087,58.73,60.668,61.372,63.173,63.639,64.778,65.8,68.437,69.28,70.668,71.241,72.954,74.512,74.467,75.52,77.012,78.953,81.425,83.273,84.589,86.139,87.797,90.939,91.638,94.294,97.446,99.259,101.981,103.747,106.195,108.623,109.123,112.162,114.673,115.142,115.393,114.798,113.279,112.363,109.782,109.135,108.86,108.497,108.155,108.939,111.291,114.82,117.041,116.627,119.604,122.032,124.312,126.316,128.313,130.345,130.596,133.322,132.145,130.799,129.478,129.25,129.582,128.795,127.674,125.344,123.581,119.67,111.754,103.139,99.273,99.148,98.44,98.629,101.832,101.733,103.823,103.705,105.863,109.581,112.228,114.569,115.904,116.675,119.914,119.467,121.362,123.119,123.966,123.246
"17","9","    Nonresidential","B008RA3",21.453,21.687,22.18,22.064,21.909,21.766,21.842,21.093,21.267,21.556,21.651,22.094,22.798,23.17,23.509,24.635,25.668,26.623,27.033,27.236,27.208,27.161,26.884,26.178,24.684,24.091,24.348,24.638,25.166,25.5,26.058,26.561,27.529,28.29,28.854,29.733,29.993,32.316,33.413,34.493,35.287,35.253,36.294,36.392,36.786,35.086,35.319,36.063,36.804,37.551,38.409,39.278,38.255,37.038,35.96,35.338,34.817,35.307,36.797,39.022,40.261,42.135,43.428,44.449,44.948,45.592,45.074,45.889,45.435,44.513,44.002,44.427,43.377,44.251,45.481,45.424,45.788,46.812,47.106,47.762,48.52,49.181,50.439,49.938,50.57,49.914,50.257,49.48,48.485,48.242,47.83,47.803,47.622,49.173,49.933,51.248,51.75,52.761,53.19,55.102,55.724,56.579,57.532,59.769,61.994,62.595,63.01,64.26,65.858,67.638,69.765,71.52,73.146,74.682,78.001,78.531,81.024,83.701,84.962,87.404,89.318,91.665,94.236,94.578,97.947,101.045,102.11,102.38,101.554,99.248,97.951,95.113,93.181,91.944,91.401,90.305,90.52,92.707,94.565,95.919,94.853,96.962,99.597,101.712,102.969,104.449,106.363,106.79,110.728,112.111,113.449,114.186,116.145,118.427,120.263,122.292,122.325,121.62,118.337,111.429,103.357,100.033,98.753,97.856,98.874,101.581,103.632,105.794,105.552,108.075,112.34,114.931,116.551,117.847,117.938,120.717,119.318,120.685,122.114,123.821,123.326
"18","10","      Structures","B009RA3",69.831,70.386,73.704,73.188,72.612,71.87,72.132,71.287,71.11,70.927,70.672,70.486,72.328,72.732,72.892,74.053,76.473,78.862,80.646,79.905,79.458,79.134,75.704,74.791,70.949,68.282,68.673,68.723,70.579,70.367,71.081,71.303,71.059,73.715,74.831,75.371,75.226,82.583,88.029,91.711,91.199,92.519,96.833,99.798,101.34,99.117,99.61,102.54,102.478,106.34,109.022,117.043,113.322,109.629,103.586,101.234,97.104,92.494,94.657,97.292,102.823,107.985,111.392,112.544,117.313,117.247,114.819,116.25,113.344,102.664,99.002,99.606,97.276,98.419,102.52,104.468,100.526,102.614,101.229,100.975,102.6,101.441,104.994,104.348,106.641,106.119,105.734,100.973,98.808,96.112,89.861,88.013,86.873,86.888,87.69,88.858,87.677,86.211,86.422,89.052,86.248,89.841,89.221,90.455,92.977,95.219,95.524,94.708,96.463,98.57,99.767,105.075,105.688,104.713,109.111,109.706,108.7,114.471,114.186,113.853,113.548,112.37,112.313,113.485,115.878,120.726,124.958,125.4,121.869,122.521,123.496,111.693,105.759,99.958,95.224,93.89,93.22,95.685,95.278,95.397,93.394,93.923,95.364,95.329,96.542,96.049,95.531,96.377,99.905,102.898,104.718,104.598,108.358,114.229,119.576,122.495,123.001,124.993,124.07,121.019,111.925,103.434,96.435,88.206,82.081,84.399,83.146,84.712,77.532,83.372,88.755,91.781,93.345,94.922,96.299,100.282,93.09,96.943,100.042,99.588,97.676
"19","11","      Equipment","Y033RA3",18.402,18.593,18.835,18.677,18.544,18.465,18.578,17.598,17.895,18.33,18.458,19.095,19.819,20.269,20.754,22.342,23.575,24.664,24.968,25.37,25.39,25.343,25.464,24.429,22.652,22.183,22.459,22.793,23.088,23.523,24.166,24.847,26.443,27.118,27.793,29.111,29.526,31.842,32.459,33.329,34.527,34.029,34.776,34.233,34.482,32.015,32.259,32.737,33.631,33.908,34.657,34.186,33.044,31.611,30.971,30.382,30.184,31.713,33.508,36.452,37.084,38.911,40.128,41.311,40.946,41.84,41.262,42.033,41.614,42.129,41.883,42.359,40.896,42.092,43.204,42.401,43.726,44.814,45.298,45.874,46.423,47.422,48.352,47.031,47.249,45.811,46.466,45.779,44.132,43.85,44.516,44.308,43.958,46.496,47.551,49.301,50.236,52.247,52.848,55.76,57.34,57.685,59.183,62.746,65.952,65.849,65.968,67.833,69.535,71.571,74.442,75.35,76.824,79.372,83.628,83.431,87.796,90.351,91.725,95.801,98.625,102.132,105.59,104.906,109.644,113.695,114.087,113.871,113,108.308,105.497,105.074,103.289,102.115,102.349,100.762,100.809,104.185,107.24,109.316,107.532,111.726,115.57,119.105,120.153,122.767,126.937,127.796,134.489,134.96,135.318,135.84,137.53,139.101,139.83,141.244,139.587,136.058,129.071,114.348,101.488,98.028,99.308,101.175,108.28,114.099,118.912,122.277,125.802,127.148,133.165,136.442,139.204,140.999,139.602,142.609,143.175,144.326,144.401,148.192,147.021
"20","12","      Intellectual property products","Y001RA3",8.582,8.749,8.812,8.906,8.862,8.802,8.742,8.6,8.608,8.705,8.819,9.013,9.212,9.368,9.446,9.569,9.68,9.821,9.929,10.056,10.077,10.119,10.218,10.216,10.154,10.095,10.243,10.5,10.942,11.234,11.522,11.74,11.871,12.067,12.191,12.304,12.402,12.777,13.121,13.573,14.054,14.366,14.666,14.847,15.058,15.047,15.16,15.547,16.313,16.688,17.007,17.427,17.701,17.874,18.005,18.016,18.349,18.946,19.603,20.354,20.993,21.656,22.242,22.916,23.251,23.729,24.046,24.683,25.108,25.502,25.753,26.016,26.185,26.394,26.7,27.122,27.526,28.02,28.644,29.783,30.546,31.364,32.257,33.184,33.846,34.444,34.557,35.239,35.805,36.617,36.758,37.77,38.268,38.784,39.041,39.703,40.177,40.562,40.804,40.796,41.297,41.847,42.602,43.162,43.743,44.778,45.723,46.943,48.35,49.633,51.077,52.576,54.935,56.125,57.643,59.234,60.714,62.172,64.06,65.615,67.395,69.937,72.669,73.983,76.124,77.201,77.601,78.412,78.98,78.079,77.434,76.249,76.195,77.297,78.067,77.677,78.602,79.248,80.986,82.207,82.532,83.104,85.056,86.843,88.404,89.847,90.747,90.397,91.438,92.757,94.921,96.589,97.481,97.817,98.216,100.266,101.871,102.25,101.315,100.286,98.669,99.724,99.994,101.613,101.213,100.692,102.189,103.455,104.401,105.646,107.024,108.479,108.83,109.326,110.072,111.617,112.648,112.235,113.815,114.933,116.375
"21","13","    Residential","B011RA3",73.919,73.227,72.646,67.652,67.691,63.548,67.214,73.987,77.827,85.295,89.216,92.651,98.697,100.568,101.012,104.582,108.074,102.473,98.079,93.633,87.544,84.01,81.196,70.625,66.639,68.517,73.033,76.161,83.382,85.439,84.104,94.285,97.091,107.745,107.425,106.153,107.143,112.269,113.565,113.35,110.598,108.647,107.322,103.031,95.103,77.468,79.848,87.295,85.16,82.448,76.048,68.108,64.178,62.105,62.044,66.959,78.47,87.608,96.162,100.223,103.224,105.028,103.8,103.903,104.149,105.031,106.987,109.32,113.76,120.294,121.939,122.27,122.06,122.48,121.467,121.667,119.5,120.979,121.051,121.834,120.655,116.873,116.333,113.861,114.869,110.34,104.407,98.382,93.199,96.067,99.315,101.279,107.073,110.736,110.783,115.013,115.092,116.627,120.992,127.196,129.095,133.271,131.308,129.288,126.35,122.456,126.99,129.458,132.825,138.616,138.326,136.754,137.453,139.376,140.726,142.212,145.159,150.19,154.582,158.211,158.82,161.293,162.505,163.691,164.505,163.661,161.116,161.282,161.975,164.484,165.508,164.446,169.837,174.054,174.568,177.711,180.959,183.814,194.356,200.131,202.472,208.922,210.396,213.302,218.336,222.386,224.83,224.316,222.224,211.05,199.276,189.972,181.305,174.048,162.957,149.424,137.673,131.637,125.151,113.085,102.224,96.102,100.801,100.873,97.635,102.871,93.845,95.635,96.044,96.684,98.125,101.001,106.359,107.854,111.476,116.635,120.123,124.18,127.267,124.671,123.071
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","B020RA3",9.135,11.182,10.914,11.292,11.39,11.891,11.852,11.961,12.007,11.983,12.475,11.429,12.64,12.272,13.013,13.564,14.559,15.261,15.312,16.064,16.269,17.06,16.14,16.562,16.679,16.193,15.921,16.821,16.704,16.872,17.363,17.539,17.257,17.722,17.86,17.287,17.694,19.538,19.752,20.536,20.553,20.608,21.35,22.693,23.327,23.766,23.716,23.572,24.017,24.147,23.634,23.743,22.714,22.851,21.838,20.838,21.175,21.239,21.559,21.993,22.453,23.011,23.519,23.997,24.059,24.007,23.658,24.366,25.132,25.405,25.986,26.956,26.976,28.084,29.301,30.393,32.083,32.983,33.632,34.658,35.692,37.254,37.634,38.203,39.862,40.358,40.665,41.024,41.278,42.782,43.795,44.781,45.591,45.612,46.579,46.813,46.918,47.48,47.353,48.88,49.359,51.025,52.933,54.154,55.195,55.97,58.392,59.226,59.94,60.916,61.409,65.238,66.48,69.139,70.739,70.638,70.961,70.18,69.863,72.467,72.148,72.919,74.713,76.746,77.967,80.086,81.974,81.323,80.272,77.649,73.65,71.616,72.753,74.779,75.344,74.663,73.922,73.659,75.649,79.135,81.052,82.174,82.743,84.699,85.678,87.51,87.562,89.899,93.343,95.05,94.846,98.732,100.171,101.931,105.521,108.415,109.78,112.92,111.934,105.281,96.906,97.078,100.306,105.709,107.36,109.815,112.699,116.031,117.105,118.504,120.525,121.336,122.576,123.738,123.851,124.196,123.781,126.181,127.389,130.298,128.302
"25","17","    Goods","B253RA3",8.485,10.747,10.476,10.833,11.036,11.308,11.338,11.48,11.268,11.248,12.047,10.424,12.112,11.827,12.523,13.359,14.569,15.283,15.269,16.145,16.437,17.109,16.167,16.419,16.354,15.594,15.899,16.749,16.555,16.773,17.091,17.244,16.902,17.338,17.513,16.792,17.021,19.386,19.506,20.294,20.311,20.458,21.408,23.034,23.759,24.185,23.762,23.66,23.871,23.836,23.122,23.504,22.12,22.374,21.253,20.06,20.358,20.493,20.841,21.648,21.546,22.058,22.795,23.529,23.33,23.266,22.981,23.668,23.727,24.181,24.563,25.563,25.291,26.363,27.947,29.3,31.087,31.947,32.442,33.946,34.528,36.501,36.627,37.187,38.872,39.21,39.403,39.546,40.616,41.542,42.522,43.189,44.209,44.346,45.652,46.224,45.766,46.348,46.016,48.181,48.192,49.914,52.463,53.865,55.12,56.044,58.195,58.999,60.238,60.879,62.009,65.372,67.634,70.783,72.852,72.955,73.148,71.422,71.559,74.435,74.548,75.581,77.539,80.039,81.617,84.092,87.187,85.995,84.718,81.333,76.845,75.132,74.976,77.6,78.098,76.303,76.532,76.54,78.142,81.518,83.074,84.308,85.091,86.69,88.376,91.136,91.009,93.593,97.717,99.12,99.264,102.332,103.729,105.355,108.459,110.896,113.695,117.197,116.493,107.376,96.517,95.84,100.526,107.117,109.947,113.019,115.373,118.944,120.219,121.316,123.019,125.328,125.88,127.48,128,127.038,126.126,128.995,130.764,134.471,131.045
"26","18","    Services","B646RA3",11.006,12.289,12.034,12.466,12.198,13.467,13.195,13.191,14.099,14.062,13.539,14.365,14.055,13.429,14.281,13.948,14.233,14.868,15.125,15.424,15.315,16.525,15.696,16.769,17.606,18.234,15.67,16.747,16.944,16.925,18.071,18.335,18.286,18.853,18.842,18.829,19.882,19.769,20.327,21.088,21.107,20.8,20.715,20.938,21.223,21.71,23.076,22.766,24.094,24.848,25.095,24.191,24.479,24.196,23.581,23.25,23.713,23.535,23.749,22.92,25.272,25.973,25.702,25.347,26.256,26.252,25.714,26.49,29.354,29.103,30.271,31.164,32.039,33.257,33.401,33.719,35.108,36.117,37.242,36.779,39.214,39.512,40.67,41.27,42.86,43.819,44.461,45.433,43.406,46.527,47.632,49.483,49.716,49.416,49.494,48.845,50.428,50.949,51.351,51.253,52.939,54.477,54.754,55.522,56.02,56.417,59.568,60.488,59.877,61.704,60.613,65.609,64.389,65.892,66.384,65.801,66.444,67.872,66.502,68.497,67.181,67.353,68.782,69.768,70.189,71.52,70.709,71.266,70.719,69.785,66.859,64.106,68.105,68.822,69.535,71.313,68.429,67.569,70.421,74.157,76.875,77.757,77.856,80.592,80.038,79.888,80.317,82.132,84.14,86.49,85.547,91.183,92.709,94.753,99.372,103.234,101.545,103.925,102.347,100.948,97.693,99.624,99.865,102.818,102.017,103.18,107.161,109.987,110.638,112.699,115.421,112.999,115.719,115.949,115.199,118.321,118.961,120.372,120.41,121.658,122.632
"27","19","  Imports","B021RA3",10.848,12.989,12.82,12.679,12.638,12.888,12.858,13.057,12.904,13.877,14.184,13.222,15.155,14.616,14.921,15.593,16.313,15.843,15.405,15.52,14.994,15.788,15.512,15.358,13.817,12.712,13.768,14.503,15.412,16.079,16.735,17.289,18.108,18.275,18.02,18.276,19.502,19.563,19.819,20.091,20.036,20.144,19.837,20.27,20.285,18.813,17.46,18.397,19.183,19.212,18.993,19.537,18.981,18.671,19.537,18.77,19.2,20.676,22.286,23.379,25.259,26.317,26.998,27.789,27.176,28.511,28.236,29.343,29.316,30.564,31.411,31.653,31.464,32.249,32.876,33.631,33.474,33.089,33.871,34.903,35.064,35.231,35.183,35.819,36.955,36.894,36.745,35.759,35.352,35.98,36.993,37.81,38.085,38.711,39.322,40.263,41.135,41.985,42.538,44.247,45.278,46.965,48.286,49.644,50.733,51.215,51.391,52.048,53.74,54.943,56.725,57.844,60.315,62.339,64.636,66.03,68.504,70.075,71.022,73.326,75.171,77.529,80.27,82.091,85.471,87.848,90.867,91.09,89.497,86.939,84.802,83.835,85.93,88.781,90.209,91.956,90.762,91.968,92.976,96.519,99.175,102.937,104.243,106.834,107.813,108.888,109.171,112.492,114.913,116.188,117.184,117.02,119.019,119.48,119.555,117.827,118.92,117.83,115.649,110.904,100.296,96.033,99.649,104.021,106.98,112.023,115.88,116.152,116.966,117.166,118.563,120.263,120.475,121.207,121.358,120.398,120.584,122.615,123.347,123.807,124.036
"28","20","    Goods","B255RA3",9.236,11.696,11.457,11.167,11.187,11.276,11.242,11.557,11.5,12.609,13.054,11.895,13.98,13.321,13.889,14.54,15.295,14.907,14.677,14.785,14.085,14.899,14.642,14.38,12.704,11.618,12.826,13.547,14.517,15.243,15.916,16.484,17.38,17.509,17.299,17.546,18.767,18.845,19.066,19.311,19.274,19.395,19.068,19.554,19.58,18.011,16.514,17.448,18.189,18.199,18.027,18.613,17.916,17.415,18.418,17.443,17.966,19.461,21.128,22.309,23.946,24.925,25.448,26.108,25.291,26.78,26.685,27.953,27.737,29.493,30.11,30.308,29.825,30.422,31.152,31.702,31.604,31.289,32.066,33.129,33.229,33.367,33.16,33.847,34.853,34.724,34.474,33.443,33.237,33.788,35.125,35.967,36.481,37.382,38.143,39.13,40.189,41.101,41.623,43.348,44.416,46.381,47.987,49.679,50.637,51.335,51.445,52.024,53.875,55.23,57.102,58.491,61.01,63.331,65.634,67.105,69.578,71.211,72.037,74.712,76.969,79.637,82.737,84.74,88.096,90.613,93.729,94.064,92.358,88.788,87.103,86.386,88.016,91.747,93.393,94.723,93.638,96.097,96.331,99.812,102.596,106.787,108.34,111.017,112.419,113.559,113.818,117.494,119.517,121.025,122.346,121.503,123.589,123.926,123.796,121.966,122.652,121.563,118.479,112.344,100.26,95.239,99.602,104.899,108.543,114.556,118.528,119.019,120.314,120.111,121.153,123.124,123.394,124.154,124.282,123.17,123.098,125.341,126.087,126.51,126.833
