"","Table 2#7B# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"11","3","  Goods-producing industries","N231RC1",1067.3,1070.6,1071.5,1063.8,1053.9,1045.2,1043.2,1029.9,1025.8,1022.3,1020.2,1018.8,1011.3,1012.1,1016.2,1014.6,1017,1019.6,1011.1,1008.2,1008.7,1005.5,1004.7,1006.3,997.2,994.3,998.5,994.6,1003.4,1006.7,998.3,1005.8,1017.3,1031.3,1043.1,1035,1023.4,1018.2,1022.3,1033.8,1052,1056.2,1068.5,1076.9,1077,1069.9,1066.5,1071.9,1080.4,1084.5,1083.9,1087.7,1090.9,1094.1,1105.8,1113.5,1115,1121.6,1116.2,1117.1,1156.3,1176.4,1177.8,1173.5,1164.7,1163.9,1163.7,1164.2,1164.6,1173.1,1179,1196.2,1205.3,1202.9,1208.2,1215.4,1210.7,1207.4,1207.8,1198.1,1210.3,1202.4,1215.2,1222.1,1215.6,1212.1,1224.4,1211.2,1210.3,1210.9,1200.9,1200.4,1193.1,1198.6,1189.1,1155.3,1112.3,1090.9,1070.4,1065,1055.6,1049.8,1042.1,1040.6,1036.9,1040.8,1046.9,1044.1,1030.4,1015.2,1024.5,1041.4,1058.7,1052.2,1059.5,1066.4,1067.1,1070.3,1074.1,1080.2,1092.3,1089.9,1098.2,1094.8,1098.2,1100.5,1114.5,1114.3,1111.7,1103.6,1093.6,1113.4,1138.3,1155,1154.4,1162.8,1146,1150.8,1147.7,1142.3,1150,1142.8,1160.6,1197.4,1163.7,1178.4,1179.4,1180.9,1186.2,1194.4,1184.7,1192.1,1195,1196.4,1207.3,1208.8,1212.1,1219.5,1229.7,1229.6
"12","4","    Manufacturing","N552RC1",742.3,740.5,737.7,733.3,721.8,712.5,711.1,698.3,695,691.8,689.6,686.5,679.1,679.2,683.4,683.6,687.2,689.3,680.9,677.7,677.5,675.1,673.7,674.2,667.9,666.7,670.3,664.2,670.1,671.4,663.6,668.6,676.5,687.6,696.2,687.7,678,672.8,673.4,681.3,693.4,694.2,703,709.2,709.6,704.7,700.6,703.1,707.5,705.9,703.4,705.7,707.5,707,711.8,714.8,713.8,720.3,713.9,712.7,733.3,743.1,742.6,740.3,734,733.3,734.5,733.9,732.6,737,737.7,749.9,754.3,752.2,754.1,757.8,753.6,750,752.3,745.4,751.2,742.5,751.1,755.9,749.7,747.6,753.4,745.3,745.7,748.6,743,740.8,735.1,738.4,730.3,709,683.9,674.2,664.1,665.7,658.1,653.8,649,648.9,650.5,657.6,665.3,664,653.8,642.5,651.3,665.1,679.5,673.7,679.1,682.1,685.1,687.7,691.3,697.7,705.2,700.9,710.3,704.4,705.9,704.8,713.6,711.6,709.5,706.8,699.9,712.3,727.8,736.7,735.1,741.3,730.8,734.9,733.8,730.3,732.9,725.2,735.2,761.2,736.1,745.2,745.1,743.9,744.8,749.2,742.5,748.6,750.7,750.8,756.3,755.4,754.6,756,763.8,762.6
"13","5","  Services-producing industries","N233RC1",3092.1,3112.3,3121,3099.7,3091.9,3090.3,3076.3,3076.6,3072.1,3070.6,3075.4,3078.3,3075.7,3072.7,3084.6,3099.9,3109.8,3130.1,3114.2,3124.4,3132.6,3133.5,3135.9,3130.6,3120.8,3126.9,3143.6,3162.7,3194.9,3209.2,3227.1,3247.5,3260.6,3280.6,3304.8,3301.6,3311.2,3316,3330.3,3353.4,3396.7,3409.9,3444.8,3465.8,3479.4,3499.4,3493.2,3506.1,3508.5,3516.9,3521,3546.8,3558.8,3580.8,3618.8,3627.1,3651,3673.6,3692.9,3709.9,3763.8,3791.9,3808.4,3830.8,3807.6,3823.5,3843.8,3849.7,3876.9,3904.1,3937.8,3987.9,4031,4077,4093.5,4076.9,4071.4,4087,4091.5,4088.3,4110.7,4125.3,4150.2,4177.8,4182.2,4196.9,4207.6,4185.8,4184.2,4181.3,4182.5,4196.9,4207.2,4219,4184.3,4114.9,4013.8,3959,3946.8,3998.4,4035.9,4038.3,4020.5,4021,4025.3,4041,4063,4066.6,4037.8,4015.3,4033.2,4088,4128.5,4137.5,4160.5,4174.5,4180.2,4202.7,4202.7,4236.5,4271.3,4301.6,4307.7,4311.7,4319.7,4344.2,4394.4,4383.1,4381.1,4360.1,4345.8,4385,4451.7,4500.6,4528.5,4524.8,4516.9,4532.8,4526.6,4555.2,4607.2,4641,4717.2,4802.6,4639.8,4679.2,4693.1,4713.3,4732.1,4763.9,4754.1,4789.2,4801.7,4811.9,4840,4824.9,4847.3,4860,4894.5,4911.4
"14","6","    Trade, transportation, and utilities","N234RC1",852.4,852.6,853.9,849.6,848.7,849.2,845.2,843.9,843,839.8,841.2,840.5,840.7,840.4,845.1,844,847.6,850.9,849.1,849.2,849.8,846.4,848.4,849.5,848.1,851.1,855.4,854,856.2,856.4,858.2,865.8,870.5,880.2,883.6,878.2,879.2,879.8,881.5,890.8,901,905.3,914,918.2,922.3,924.7,919.9,924,926.5,928.9,927.8,934.5,935.4,939.2,948.9,948.7,950.6,955.3,958.7,963.6,975.8,985.1,987.5,992.4,984.4,988.3,994.6,994.1,997.2,1003.1,1008.3,1017.5,1020.5,1032.8,1042.1,1043.3,1043.3,1049.2,1043.5,1036.8,1040.9,1047.9,1053.6,1052.2,1050.6,1053.6,1055.7,1049.4,1047.4,1047.1,1043,1043.3,1046.4,1047.1,1037.5,1022.6,1004.2,989.7,978.2,982,986.8,981.2,974.6,979.6,982.9,983.2,986.1,986.8,981.3,972,976,990.3,999.6,1000.9,1006.8,1006.2,1010,1013.7,1010.8,1019.5,1027.8,1032,1035.6,1040.1,1039.7,1046.9,1057,1054,1053.5,1053.7,1052.4,1061.4,1080.1,1091,1089.2,1083.9,1081.2,1086.3,1083.8,1089.3,1097,1102.5,1116.6,1123.6,1107,1116.1,1122.5,1119.9,1123.3,1126.5,1123.2,1132.9,1133.2,1138.3,1145.7,1143.2,1147.8,1147.6,1159.1,1165.7
"15","7","    Other services-producing industries \1\","N235RC1",2239.7,2259.7,2267.1,2250.1,2243.2,2241.1,2231.1,2232.7,2229.2,2230.8,2234.2,2237.8,2234.9,2232.3,2239.5,2255.8,2262.2,2279.1,2265.1,2275.1,2282.8,2287.1,2287.5,2281.1,2272.6,2275.8,2288.2,2308.7,2338.8,2352.8,2368.9,2381.6,2390.1,2400.4,2421.1,2423.4,2432,2436.2,2448.8,2462.6,2495.7,2504.7,2530.8,2547.6,2557,2574.8,2573.3,2582.1,2581.9,2588,2593.2,2612.3,2623.3,2641.6,2669.9,2678.5,2700.5,2718.2,2734.2,2746.3,2787.9,2806.8,2820.9,2838.3,2823.2,2835.1,2849.2,2855.6,2879.7,2901,2929.5,2970.3,3010.5,3044.2,3051.4,3033.5,3028,3037.8,3048,3051.5,3069.8,3077.4,3096.7,3125.6,3131.6,3143.3,3151.8,3136.4,3136.8,3134.2,3139.6,3153.5,3160.8,3171.9,3146.8,3092.3,3009.6,2969.3,2968.6,3016.3,3049,3057.1,3045.9,3041.4,3042.4,3057.9,3076.9,3079.8,3056.5,3043.3,3057.2,3097.6,3128.9,3136.6,3153.7,3168.3,3170.2,3189,3191.9,3217,3243.5,3269.6,3272.1,3271.7,3279.9,3297.3,3337.4,3329.2,3327.7,3306.4,3293.5,3323.6,3371.5,3409.5,3439.3,3440.9,3435.7,3446.5,3442.8,3465.9,3510.3,3538.6,3600.6,3679,3532.8,3563.1,3570.6,3593.4,3608.7,3637.4,3630.9,3656.3,3668.4,3673.6,3694.3,3681.7,3699.5,3712.4,3735.4,3745.7
"16","8","Government","B202RC1",799.9,805.3,808.3,811.6,814.8,820.3,824.9,828.6,832.1,835.6,839.9,842.7,858.8,861.9,864.2,866.7,870.8,873.8,875.5,878.9,879.2,880.7,882.9,884.6,899.9,905.6,909,910.6,912.1,914.6,916.8,915.4,914.7,918.2,919.8,923.1,937.4,942.1,945.8,948.8,950.8,952.2,953.7,955.9,957.5,960.1,963.2,964.4,980.9,982.9,983.6,985.6,987.8,989.6,992.8,993.9,996.7,997.8,1001.7,1004.9,1015.4,1018.9,1022.3,1025.3,1028,1031.1,1035.8,1039.9,1046.6,1049.3,1052.2,1054.9,1071.9,1077,1079.6,1080.5,1082,1084.8,1087.4,1092.3,1097.6,1100,1103.9,1109.2,1121.8,1128.5,1132.3,1134.8,1137.3,1141.4,1145.8,1151.4,1155.8,1159.3,1160.3,1160.3,1166.8,1166.4,1167.5,1173.5,1176.4,1178,1177.7,1177.9,1177.5,1179,1179.9,1181.1,1186.1,1186.9,1189.3,1191.8,1200.5,1198.2,1194.3,1190.4,1186.2,1190.5,1189.6,1189.3,1190.3,1189.8,1191.7,1195.7,1196.3,1201.8,1199,1199.6,1196.1,1191.4,1190,1191.6,1197.4,1200.3,1200.5,1197.6,1194.7,1194.2,1192.5,1195,1197.7,1197.8,1199.4,1200.7,1198,1196.1,1193.3,1194.4,1194.6,1193.1,1186.2,1188.7,1197,1197.6,1199.4,1201.2,1202.3,1204.7,1205.6,1207
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
