"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","  Structures","B009RA3",69.831,70.386,73.704,73.188,72.612,71.87,72.132,71.287,71.11,70.927,70.672,70.486,72.328,72.732,72.892,74.053,76.473,78.862,80.646,79.905,79.458,79.134,75.704,74.791,70.949,68.282,68.673,68.723,70.579,70.367,71.081,71.303,71.059,73.715,74.831,75.371,75.226,82.583,88.029,91.711,91.199,92.519,96.833,99.798,101.34,99.117,99.61,102.54,102.478,106.34,109.022,117.043,113.322,109.629,103.586,101.234,97.104,92.494,94.657,97.292,102.823,107.985,111.392,112.544,117.313,117.247,114.819,116.25,113.344,102.664,99.002,99.606,97.276,98.419,102.52,104.468,100.526,102.614,101.229,100.975,102.6,101.441,104.994,104.348,106.641,106.119,105.734,100.973,98.808,96.112,89.861,88.013,86.873,86.888,87.69,88.858,87.677,86.211,86.422,89.052,86.248,89.841,89.221,90.455,92.977,95.219,95.524,94.708,96.463,98.57,99.767,105.075,105.688,104.713,109.111,109.706,108.7,114.471,114.186,113.853,113.548,112.37,112.313,113.485,115.878,120.726,124.958,125.4,121.869,122.521,123.496,111.693,105.759,99.958,95.224,93.89,93.22,95.685,95.278,95.397,93.394,93.923,95.364,95.329,96.542,96.049,95.531,96.377,99.905,102.898,104.718,104.598,108.358,114.229,119.576,122.495,123.001,124.993,124.07,121.019,111.925,103.434,96.435,88.206,82.081,84.399,83.146,84.712,77.532,83.372,88.755,91.781,93.345,94.922,96.299,100.282,93.09,96.943,100.042,99.588,97.676
"12","4","    Commercial and health care","W001RA3",66.602,68.862,75.105,75.324,76.26,71.947,71.243,70.193,72.42,77.409,82.992,83.628,85.087,86.597,86.358,87.605,89.436,91.493,91.319,88.974,88.722,88.536,82.47,78.906,72.773,63.832,63.94,63.328,66.151,64.717,64.601,64.825,66.232,67.986,70.482,69.468,70.744,77.552,80.322,83.724,81.353,90.84,97.812,102.332,106.348,102.408,99.386,101.339,107.306,109.542,111.631,114.638,117.625,121.376,122.079,121.661,116.064,111.226,119.328,121.915,130.322,142.514,145.507,151.987,161.339,165.571,164.131,167.539,163.479,152.846,148.102,147.174,142.957,144.439,149.035,153.053,149.607,154.345,152.95,150.161,152.343,145.178,152.309,149.554,150.202,146.066,144.8,134.575,121.864,117.102,107.821,100.456,101.747,102.512,104.327,107.086,107.402,107.997,106.465,110.564,105.517,116.471,115.391,115.106,118.96,120.662,120.372,119.33,119.721,127.391,131.49,137.71,143.645,137.839,145.43,143.641,145.301,152.92,150.982,156.869,155.677,157.009,157.652,157.824,158.98,166.294,171.648,173.329,171.878,165.493,154.464,145.938,143.262,136.727,131.927,128.229,123.66,125.074,128.184,129.117,127.211,132.176,131.898,127.269,129.442,128.899,127.133,128.524,131.452,135.723,139.438,138.467,145.091,149.737,152.195,152.497,151.027,149.145,144.664,132.439,115.397,105.042,94.824,84.737,78.694,75.441,73.466,72.966,70.685,74.259,76.865,77.496,78.951,80.072,82.376,81.665,81.561,80.478,83.908,88.47,84.834
"13","5","    Manufacturing","C307RA3",91.841,88.866,91.576,89.633,86.161,89.281,89.439,84.565,81.58,74.831,65.972,66.204,63.172,63.831,63.106,61.894,71.209,74.311,82.205,84.615,88.119,89.193,84.693,93.927,86.194,85.98,85.371,83.638,86.921,79.967,74.939,73.323,76.437,80.354,81.391,85.451,88.229,97.961,119.381,125.986,133.467,132.36,131.55,132.912,122.357,115.481,103.388,102.337,116.321,122.348,134.928,130.07,129.233,127.157,117.219,112.597,97.094,89.555,89.401,75.71,86.291,89.846,94.068,93.658,101.628,102.017,101.743,101.691,92.777,83.951,80.655,84.603,76.31,80.067,89.264,87.728,83.53,88.178,87.656,92.35,96.123,104.283,110.986,110.026,120.564,122.153,121.098,113.546,117.001,112.815,103.432,106.375,106.271,101.045,98.112,98.264,80.537,75.857,80.078,80.557,82.522,93.617,96.336,102.753,105.169,113.773,112.976,110.525,116.441,113.992,111.676,123.09,111.398,107.486,114.576,110.86,117.13,116.33,113.434,112.385,104.769,95.712,93.482,89.124,92.799,101.291,99.97,101.043,107.703,101.581,97.42,77.428,64.907,58.095,51.212,50.065,48.391,52.799,53.163,53.442,51.699,49.896,51.69,60.602,61.778,59.413,60.378,61.454,61.166,65.365,68.448,64.185,66.21,69.909,82.023,88.204,88.85,95.639,97.865,99.921,109.194,106.711,97.952,86.143,82.053,78.428,68.99,60.508,57.477,66.436,75.188,78.896,76.844,79.217,80.306,83.542,82.394,78.11,87.221,79.81,80.038
"14","6","    Power and communication","W003RA3",56.643,56.222,56.312,57.754,58.778,61.447,64.418,63.642,63.692,63.907,61.977,60.74,65.116,64.238,65.151,66.52,67.622,69.649,71.014,69.455,68.297,65.928,64.847,61.059,59.952,58.973,59.61,61.146,59.717,65.3,68.361,68.003,62.686,65.614,64.943,64.151,64.668,67.348,68.349,69.303,69.354,69.911,70.395,70.146,71.842,71.053,70.022,69.569,71.963,72.164,72.423,73.18,71.869,70.093,67.946,63.669,60.766,58.593,56.114,59.826,58.324,60.114,61.116,60.853,59.755,59.204,59.001,59.721,64.476,65.564,63.442,60.218,58.234,56.806,55.561,55.066,53.453,52.1,53.748,53.534,56.527,56.027,54.064,54.381,49.975,50.397,51.596,53.641,57.903,60.668,62.14,63.543,63.385,64.397,64.926,66.24,68.781,60.273,57.116,60.796,60.842,54.722,53.926,54.476,57.725,59.683,57.457,53.606,51.771,49.088,46.875,48.825,44.828,45.573,49.231,49.829,50.293,58.026,59.775,54.363,63.723,60.411,67.439,70.844,71.153,70.667,79.342,81.439,67.333,79.948,80.03,84.829,86.952,77.374,69.259,70.988,74.864,72.057,67.25,66.283,62.599,54.984,58.013,58.692,59.754,60.91,60.41,61.66,63.324,62.249,64.574,67.506,75.834,85.88,94.561,102.51,104.597,99.599,94.003,96.284,97.941,100.589,105.387,96.083,75.94,83.893,81.795,93.967,69.192,75.451,81.569,83.086,86.292,85.828,89.417,106.073,79.602,86.247,86.872,83.886,82.924
"15","7","    Mining exploration, shafts, and wells \1\","E318RA3",66.491,69.716,72.72,71.63,67.972,66.588,62.723,66.654,64.413,58.076,60.267,61.452,64.403,65.185,64.379,67.996,66.519,67.621,71.789,73.844,76.133,85.147,85.157,86.077,91.383,94.33,99.942,102.583,106.167,101.1,104.344,107.459,113.581,118.014,120.258,121.41,111.656,131.949,140.958,155.149,148.51,127.676,142.623,156.025,168.778,175.774,218.176,244.915,199.128,223.533,223.779,292.524,259.609,228.943,194.285,185.017,190.559,167.605,173.979,186.455,200.425,198.439,211.045,207.008,209.059,183.717,169.016,166.041,154.692,97.714,84.121,89.935,91.483,89.24,112.128,124.052,115.455,120.445,113.172,108.247,95.048,103.871,108.039,106.682,117.188,120.613,118.975,121.153,128.776,126.763,103.958,107.698,94.924,91.135,96.096,104.575,109.124,107.068,110.833,122.414,108.037,106.107,108.592,114.086,100.314,91.259,89.521,89.729,93.275,100.079,100.253,101.572,114.572,118.267,115.236,116.767,105.804,105.567,103.132,92.059,82.963,88.121,82.274,90.69,95.611,106.013,111.458,116.333,126.244,129.797,134.719,115.553,91.189,88.226,96.026,94.894,99.089,106.624,107.34,110.105,109.369,111.032,113.894,114.837,121.301,124.176,123.953,122.044,132.775,134.488,132.871,130.854,130.327,131.118,131.524,129.291,128.709,137.983,144.985,148.546,128.987,98.17,85.203,87.641,102.107,115.844,124.138,126.273,130.63,139.327,150.492,161.364,165.024,167.772,165.061,164.224,163.577,174.924,179.394,178.124,177.846
"16","8","    Other structures \2\","W004RA3",63.048,63.753,66.971,64.169,62.447,60.151,59.629,60.107,58.866,57.271,55.908,55.265,56.747,56.87,57.46,58.728,59.937,62.678,62.681,62.446,59.367,57.617,54.951,54.549,50.243,50.774,49.805,48.892,51.853,51.625,52.678,53.536,53.274,54.67,55.692,57.569,57.307,62.926,65.388,65.569,64.87,68.453,71.28,71.521,71.169,68.28,64.352,64.314,66.31,64.766,66.211,62.308,61.838,60.698,59.935,62.471,60.604,64.33,63.389,70.086,72.769,75.815,77.826,76.461,80.389,85.12,82.742,84.841,82.178,76.159,76.063,78.752,80.994,83.563,83.276,83.952,78.905,78.412,75.22,76.82,79.48,76.681,78.968,80.576,84.561,85.292,85.171,80.136,78.263,73.232,70.997,68.321,66.022,68.376,69.012,65.996,67.312,73.464,76.203,73.831,71.812,72.914,70.181,69.537,74.157,76.615,81.918,85.691,89.926,90.994,94.485,99.066,101.106,105.075,106.285,112.382,105.41,112.226,114.461,115.726,114.134,114.48,109.372,110.313,114.699,117.018,117.603,112.365,105.561,106.279,126.131,102.247,96.869,95.958,90.29,88.903,86.91,92.079,90.309,88.823,87.733,91.424,92.363,91.748,88.151,84.74,84.799,86.457,88.972,94.861,95.706,97.781,97.544,106.806,113.084,117.008,119.507,124.958,125.059,120.073,108.872,106.855,97.747,86.525,76.965,74.508,72.124,69.79,63.992,68.041,69.147,70.13,70.35,73.678,74.666,74.188,71.184,77.57,78.079,78.673,75.267
"17","9","  Equipment","Y033RA3",18.402,18.593,18.835,18.677,18.544,18.465,18.578,17.598,17.895,18.33,18.458,19.095,19.819,20.269,20.754,22.342,23.575,24.664,24.968,25.37,25.39,25.343,25.464,24.429,22.652,22.183,22.459,22.793,23.088,23.523,24.166,24.847,26.443,27.118,27.793,29.111,29.526,31.842,32.459,33.329,34.527,34.029,34.776,34.233,34.482,32.015,32.259,32.737,33.631,33.908,34.657,34.186,33.044,31.611,30.971,30.382,30.184,31.713,33.508,36.452,37.084,38.911,40.128,41.311,40.946,41.84,41.262,42.033,41.614,42.129,41.883,42.359,40.896,42.092,43.204,42.401,43.726,44.814,45.298,45.874,46.423,47.422,48.352,47.031,47.249,45.811,46.466,45.779,44.132,43.85,44.516,44.308,43.958,46.496,47.551,49.301,50.236,52.247,52.848,55.76,57.34,57.685,59.183,62.746,65.952,65.849,65.968,67.833,69.535,71.571,74.442,75.35,76.824,79.372,83.628,83.431,87.796,90.351,91.725,95.801,98.625,102.132,105.59,104.906,109.644,113.695,114.087,113.871,113,108.308,105.497,105.074,103.289,102.115,102.349,100.762,100.809,104.185,107.24,109.316,107.532,111.726,115.57,119.105,120.153,122.767,126.937,127.796,134.489,134.96,135.318,135.84,137.53,139.101,139.83,141.244,139.587,136.058,129.071,114.348,101.488,98.028,99.308,101.175,108.28,114.099,118.912,122.277,125.802,127.148,133.165,136.442,139.204,140.999,139.602,142.609,143.175,144.326,144.401,148.192,147.021
"18","10","    Information processing equipment","Y034RA3",1.098,1.192,1.27,1.322,1.359,1.374,1.323,1.35,1.328,1.439,1.471,1.531,1.615,1.612,1.652,1.715,1.822,1.911,1.971,2.106,2.151,2.147,2.295,2.342,2.231,2.142,2.128,2.138,2.214,2.382,2.545,2.767,2.828,2.998,3.136,3.371,3.58,3.953,4.189,4.416,4.618,4.683,4.932,5.206,5.442,5.511,5.815,5.893,6.193,6.394,6.661,6.955,6.927,6.541,6.57,6.425,6.927,7.447,7.804,8.563,8.849,9.549,10.016,10.609,10.459,10.763,10.599,11.025,11.224,11.544,11.366,11.859,11.58,11.812,12.371,12.246,12.544,13.132,13.325,13.412,13.747,14.376,14.682,14.703,14.809,14.555,14.357,14.567,14.186,14.577,15.129,15.585,15.796,16.74,17.746,17.855,18.39,18.781,19.98,20.345,21.003,21.537,22.212,23.433,24.828,26.255,26.676,28.431,30.086,31.42,32.985,33.801,35.308,37.38,40.468,41.573,44.959,47.043,48.196,51.195,54.206,58.311,60.656,60.281,65.565,69.918,71.918,74.328,73.864,69.856,67.224,67.407,66.225,65.953,67.147,66.041,68.483,69.857,73.857,77.979,77.599,79.734,80.487,81.686,83.682,85.127,88.339,89.934,96.178,96.701,99.601,99.478,105.651,106.485,109.149,115.866,115.025,114.863,109.808,99.237,95.908,96.202,102.084,105.805,107.763,108.483,110.321,113.045,110.735,112.838,112.692,113.396,117.155,114.007,112.716,117.963,117.165,119.797,120.384,120.148,116.795
"19","11","      Computers and peripheral equipment \3\","B935RA3",0.005,0.006,0.007,0.007,0.008,0.008,0.007,0.007,0.007,0.01,0.011,0.013,0.016,0.016,0.016,0.015,0.016,0.017,0.016,0.019,0.019,0.018,0.027,0.027,0.025,0.022,0.021,0.023,0.026,0.033,0.035,0.04,0.042,0.046,0.051,0.06,0.069,0.09,0.107,0.125,0.135,0.147,0.165,0.189,0.194,0.228,0.279,0.302,0.342,0.354,0.393,0.472,0.437,0.381,0.389,0.386,0.491,0.571,0.656,0.7,0.803,0.922,1.054,1.177,1.151,1.264,1.212,1.337,1.415,1.484,1.38,1.429,1.634,1.746,1.891,1.903,1.921,2.031,2.106,2.138,2.273,2.513,2.577,2.603,2.572,2.458,2.33,2.489,2.413,2.501,2.732,3.051,3.102,3.607,3.914,4.009,4.351,4.48,4.92,5.003,5.328,5.578,5.862,6.537,7.243,8.399,9.066,10.433,11.289,12.144,13.233,14.075,15.66,17.485,19.74,20.695,23.677,25.859,27.246,30.183,34.251,38.311,39.967,39.449,41.634,46.221,47.818,48.614,50.544,47.412,44.105,46.825,49.303,48.306,50.645,49.764,51.551,51.949,55.09,58.844,57.719,59.396,61.796,65.02,63.584,65.601,68.681,73.771,78.479,81.733,87.306,87.544,92.56,90.898,94.554,100.984,105.578,106.726,99.379,89.783,91.005,95.346,100.939,112.711,114.079,112.587,108.147,106.285,101.622,108.958,110.33,113.661,120.206,114.538,103.457,119.857,114.804,110.257,110.847,118.805,104.7
"20","12","      Other \4\","B937RA3",7.683,8.186,8.669,8.966,8.94,9.123,8.964,9.074,8.873,9.179,9.156,9.323,9.364,9.461,9.635,10.27,10.992,11.469,11.946,12.545,12.844,12.875,12.969,13.251,12.716,12.441,12.435,12.286,12.535,13.087,13.965,15.025,15.357,16.121,16.665,17.554,18.235,19.405,20.042,20.641,21.462,21.407,22.179,22.896,23.99,23.397,23.683,23.536,24.204,24.958,25.497,25.383,25.921,25.175,25.161,24.472,24.877,25.905,26.118,28.971,28.68,30.12,30.386,31.373,31.065,31.027,30.951,31.359,31.38,32.008,32.299,33.789,30.785,30.72,31.663,31.109,32.09,33.448,33.609,33.691,33.936,34.535,35.21,35.124,35.716,35.556,35.648,35.397,34.506,35.315,35.893,35.734,36.168,36.775,38.578,38.512,38.737,39.425,41.344,42.126,42.887,43.551,44.504,45.724,47.372,47.785,46.998,47.987,50.215,51.636,53.133,53.328,53.735,55.143,58.234,59.115,61.876,63.141,63.649,66.021,67.131,70.517,73.227,73.07,80.812,84.305,86.447,90.147,87.511,83.121,81.295,79.327,75.253,75.546,75.775,74.565,77.373,79.401,83.827,88.008,88.167,90.519,90.077,89.842,94.046,95.079,98.282,97.727,104.736,103.686,105.084,104.786,111.54,113.654,115.836,122.68,119.231,118.452,114.435,103.409,98.033,96.54,102.54,102.887,105.14,106.802,111.239,115.82,114.415,114.399,113.636,113.309,115.997,113.843,116.38,117.282,118.145,123.592,124.178,120.716,121.581
"21","13","    Industrial equipment","B680RA3",63.399,64.698,66.648,65.968,67.53,66.483,66.382,64.019,60.939,59.907,60.162,61.839,61.498,64.389,67.007,68.952,71.587,76.232,78.942,82.813,84.282,85.167,83.732,80.172,72.816,70.371,70,69.458,71.019,71.045,70.781,71.196,72.777,72.861,76.302,79.093,80.107,83.107,85.707,86.014,89.927,88.922,88.588,91.436,89.261,85.703,83.537,84.943,84.66,84.544,84.724,84.059,81.128,78.672,76.203,72.75,68.871,69.034,72.167,74.171,78.478,80.282,82.155,84.394,83.753,85.779,84.131,86.669,85.05,83.81,85.098,84.785,82.727,81.656,83.327,82.606,82.728,86.123,88.879,89.162,92.193,92.946,94.347,91.6,90.983,86.942,87.226,84.476,83.132,81.837,81.843,80.416,80.157,81.863,83.889,87.295,88.047,88.554,89.733,95.156,95.819,96.551,99.228,102.136,106.646,108.3,109.071,108.129,110.684,112.775,111.712,113.01,112.465,114.611,115.25,115.527,121.364,120.308,117.84,118.27,118.055,119.755,121.334,121.586,127.384,130.743,133.085,131.039,131.332,122.011,116.875,113.521,114.502,111.569,112.918,112.258,111.876,116.381,113.664,111.134,106.884,109.518,113.03,115.365,117.972,116.672,121.675,126.659,125.483,133.237,132.294,132.614,130.021,138.473,139.24,132.33,132.154,131.094,128.596,122.282,105.856,100.284,97.643,96.217,94.045,99.383,100.5,104.086,109.618,109.663,117.699,123.437,118.71,121.598,121.687,123.525,123.613,123.309,127.832,126.689,130.788
"22","14","    Transportation equipment","B681RA3",114.882,112.44,109.579,103.284,94.687,92.58,94.655,79.25,93.838,96.272,96.105,103.863,109.557,110.012,107.883,125.719,131.75,139.167,137.862,136.194,131.454,127.788,126.385,107.662,104.174,100.96,108.63,111.207,113.975,115.803,118.298,124.412,139.922,143.164,142.389,148.757,147.377,163.673,160.781,162.812,172.62,163.348,169.692,156.863,149.518,128.812,132.162,130.357,135.328,130.27,134.014,126.315,124.399,116.895,108.506,116.189,115.924,121.207,134.316,153.266,146.911,156.514,160.227,161.389,159.457,163.564,165.482,161.034,153.099,157.439,159.491,154.687,142.151,155.801,153.089,142.985,157.45,157.515,153.787,160.239,146.077,144.767,144.447,131.74,139.181,132.773,146.496,140.961,140.148,134.19,138.349,131.415,124.08,144.874,135.813,151.807,150.232,171.822,159.476,181.595,190.659,184.038,188.777,213.794,226.978,204.3,199.739,204.799,201.998,208.097,227.311,226.134,226.358,230.815,242.276,226.351,229.708,239.289,252.526,279.68,282.413,291.804,308.819,298.164,295.922,298.967,288.355,273.855,263.525,263.994,256.375,264.361,252.764,239.556,232.356,223.318,205.028,220.98,225.327,226.2,221.199,241.153,259.639,278.306,268.809,278.718,293.224,281.118,311.228,297.506,296.105,300.183,301.561,285.991,282.277,284.178,281.225,249.07,209.278,149.55,97.227,95.229,99.128,108.415,155.437,185.534,215.36,219.823,235.281,237.625,262.857,289.984,307.473,324.68,309.996,310.852,304.769,309.621,311.916,332.002,328.27
"23","15","    Other equipment \5\","B862RA3",45.131,44.256,44.082,44.681,45.234,45.993,47.794,46.816,45.602,46.562,46.872,46.224,48.75,50.692,53.457,57.057,61.436,62.209,61.943,59.755,59.899,60.665,60.166,61.469,54.785,55.987,55.61,57.876,56.233,55.886,57.666,56.304,61.488,62.92,63.825,66.134,65.892,70.073,70.678,73.56,72.861,72.715,72.816,67.313,71.553,62,60.329,62.925,64.564,66.795,67.897,64.479,58.919,57.371,57.642,54.259,50.077,53.882,55.608,60.32,60.996,61.795,62.935,63.277,63.486,63.631,61.473,62.79,62.569,62.486,60.217,61.534,60.667,62.301,65.216,65.563,66.205,65.834,66.807,67.149,71.745,73.537,76.571,75.056,73.077,71.453,71.324,69.804,62.618,61.507,60.147,59.828,59.486,59.246,61.637,62.43,65.117,65.868,66.41,68.419,69.98,71.2,72.163,73.89,76.065,75.517,75.174,75.942,76.614,77.598,79.655,80.366,82.286,83.632,88.825,89.861,93.607,96.258,95.755,94.218,97.479,96.039,97.129,99.2,102.016,104.391,102.71,102.641,104.135,101.258,103.074,100.148,98.887,102.383,102.196,102.092,104.516,105.63,110.619,112.409,111.469,114.183,118.277,120.916,122.987,128.154,128.645,129.752,134.03,133.773,131.147,131.484,128.737,132.524,131.596,131.286,127.468,127.893,127.192,116.35,107.952,99.959,96.584,95.505,103.104,107.393,110.054,113.69,119.506,120.556,126.156,121.199,123.651,125.417,127.796,129.561,135.266,134.192,128.432,136.011,133.961
"24","16","  Intellectual property products","Y001RA3",8.582,8.749,8.812,8.906,8.862,8.802,8.742,8.6,8.608,8.705,8.819,9.013,9.212,9.368,9.446,9.569,9.68,9.821,9.929,10.056,10.077,10.119,10.218,10.216,10.154,10.095,10.243,10.5,10.942,11.234,11.522,11.74,11.871,12.067,12.191,12.304,12.402,12.777,13.121,13.573,14.054,14.366,14.666,14.847,15.058,15.047,15.16,15.547,16.313,16.688,17.007,17.427,17.701,17.874,18.005,18.016,18.349,18.946,19.603,20.354,20.993,21.656,22.242,22.916,23.251,23.729,24.046,24.683,25.108,25.502,25.753,26.016,26.185,26.394,26.7,27.122,27.526,28.02,28.644,29.783,30.546,31.364,32.257,33.184,33.846,34.444,34.557,35.239,35.805,36.617,36.758,37.77,38.268,38.784,39.041,39.703,40.177,40.562,40.804,40.796,41.297,41.847,42.602,43.162,43.743,44.778,45.723,46.943,48.35,49.633,51.077,52.576,54.935,56.125,57.643,59.234,60.714,62.172,64.06,65.615,67.395,69.937,72.669,73.983,76.124,77.201,77.601,78.412,78.98,78.079,77.434,76.249,76.195,77.297,78.067,77.677,78.602,79.248,80.986,82.207,82.532,83.104,85.056,86.843,88.404,89.847,90.747,90.397,91.438,92.757,94.921,96.589,97.481,97.817,98.216,100.266,101.871,102.25,101.315,100.286,98.669,99.724,99.994,101.613,101.213,100.692,102.189,103.455,104.401,105.646,107.024,108.479,108.83,109.326,110.072,111.617,112.648,112.235,113.815,114.933,116.375
"25","17","    Software \6\","B985RA3",0.468,0.519,0.58,0.636,0.683,0.717,0.716,0.695,0.689,0.724,0.762,0.814,0.845,0.871,0.898,0.894,0.931,0.971,1.017,1.071,1.097,1.114,1.183,1.272,1.377,1.383,1.359,1.351,1.377,1.456,1.521,1.588,1.539,1.546,1.541,1.566,1.651,1.766,1.889,2.032,2.119,2.232,2.337,2.45,2.528,2.618,2.748,2.887,2.974,3.055,3.17,3.333,3.557,3.646,3.648,3.619,3.827,4.09,4.44,4.701,4.934,5.18,5.535,5.916,6.132,6.378,6.44,6.665,6.847,7.119,7.257,7.432,7.677,7.995,8.33,8.664,9.016,9.438,9.958,10.529,11.278,12.098,13.002,13.803,14.289,14.766,14.632,15.455,15.956,16.473,16.887,17.669,18.441,19.286,20.035,20.936,21.342,21.728,22.254,22.672,23.354,23.904,24.477,24.909,25.271,26.029,26.969,28.035,29.166,30.386,31.68,33.49,37.009,38.984,41.463,44.041,45.696,47.312,49.633,52.495,55.047,59.03,62.304,64.291,66.521,68.35,68.493,70.58,71.119,69.506,68.686,66.602,67.21,68.989,70.548,68.79,70.354,71.072,75.057,77.861,78.835,79.317,81.721,84.01,84.337,86.387,86.878,86.959,87.896,88.84,90.225,91.856,94.065,94.33,95.3,96.686,99.715,100.074,100.342,99.011,98.459,99.38,100.368,101.792,99.708,97.721,98.648,99.966,101.95,103.869,106.01,108.5,108.926,110.601,111.623,114.156,116.288,114.537,116.901,117.734,118.236
"26","18","    Research and development \7\","Y006RA3",20.876,21.243,21.545,21.726,21.663,21.484,21.44,21.131,21.288,21.391,21.403,21.52,21.994,22.229,22.427,22.96,23.533,23.872,24.042,24.165,23.993,24.031,24.12,23.859,23.37,23.255,23.648,24.172,24.834,24.973,25.216,25.39,25.724,26.309,26.678,27.072,27.484,28.379,28.829,29.368,29.856,30.239,30.843,31.566,32.146,32.297,32.668,33.583,34.15,34.409,35.153,35.395,36.009,36.479,36.939,36.944,37.307,38.196,38.931,40.152,40.926,42.177,43.086,44.213,45.065,45.859,46.556,47.524,47.949,47.95,48.205,48.541,48.671,48.786,49.156,49.72,49.713,50.57,51.512,52.607,53.464,54,54.665,55.526,56.397,57.231,57.702,57.86,58.788,60.24,59.609,60.88,60.565,60.288,59.621,59.706,59.986,60.178,59.738,58.827,58.9,59.228,60.048,60.505,61.038,62.202,63.002,64.675,66.083,67.404,68.973,70.518,71.893,71.809,72.231,72.268,74.202,75.229,76.671,76.621,77.93,79.449,81.688,82.107,84.104,83.906,84.795,84.354,85.701,85.895,85.257,84.75,83.037,83.325,82.689,83.615,83.176,82.984,82.242,81.862,81.839,82.728,84.168,84.917,87.613,88.229,89.47,88.009,89.602,91.938,95.877,98.095,98.121,98.782,98.619,102.483,103.312,104.195,102.258,101.588,98.766,100.045,99.738,101.451,101.598,101.077,102.88,103.85,104.374,105.339,106.079,106.587,107.117,106.569,107.286,108.106,108.019,108.619,109.977,111.4,114.191
"27","19","    Entertainment, literary, and artistic originals","Y020RA3",27.41,27.233,25.856,25.325,24.122,23.341,22.81,22.481,22.212,22.387,22.984,23.927,24.263,24.877,24.748,24.611,23.585,23.511,23.48,23.69,24.045,24.142,23.948,23.407,22.662,22.265,23.072,24.466,27.016,28.767,30.344,31.357,32.473,32.771,33.07,32.756,31.444,31.368,32.246,33.834,36.598,37.53,37.704,36.044,35.589,33.883,32.397,32.136,38.064,40.628,40.453,42.688,41.204,40.562,40.455,40.887,41.199,42.165,43.487,45.143,47.439,48.134,48.097,48.072,46.797,47.078,47.632,49.311,50.883,52.782,53.439,53.616,52.888,52.019,51.245,51.091,52.536,51.483,50.751,54.574,53.887,54.427,54.804,55.711,56.179,56.214,56.718,57.485,56.771,56.695,57.383,58.134,59.125,59.883,60.109,60.938,62.176,62.974,63.67,64.187,64.867,65.909,67.144,68.497,70.163,71.891,73.08,73.33,75.785,76.992,78.493,78.116,77.784,79.237,79.72,81.723,80.9,82.979,84.298,85.251,85.088,84.515,86.355,87.586,89.749,91.684,91.608,90.859,88.993,87.684,87.803,88.377,90.796,91.567,93.436,94.634,97.135,100.113,100.516,100.49,99.386,99.325,101.159,104.35,107.047,108.828,110.206,111.917,111.517,110.884,110.148,110.096,108.717,108.199,108.281,106.63,105.317,103.993,101.83,100.739,99.148,99.961,99.415,101.476,105.762,111.029,113.648,115.77,114.167,113.791,114.548,115.485,114.875,114.764,114.548,115.079,116.203,117.02,116.412,117.428,117.157
"28","20","Residential","B011RA3",73.919,73.227,72.646,67.652,67.691,63.548,67.214,73.987,77.827,85.295,89.216,92.651,98.697,100.568,101.012,104.582,108.074,102.473,98.079,93.633,87.544,84.01,81.196,70.625,66.639,68.517,73.033,76.161,83.382,85.439,84.104,94.285,97.091,107.745,107.425,106.153,107.143,112.269,113.565,113.35,110.598,108.647,107.322,103.031,95.103,77.468,79.848,87.295,85.16,82.448,76.048,68.108,64.178,62.105,62.044,66.959,78.47,87.608,96.162,100.223,103.224,105.028,103.8,103.903,104.149,105.031,106.987,109.32,113.76,120.294,121.939,122.27,122.06,122.48,121.467,121.667,119.5,120.979,121.051,121.834,120.655,116.873,116.333,113.861,114.869,110.34,104.407,98.382,93.199,96.067,99.315,101.279,107.073,110.736,110.783,115.013,115.092,116.627,120.992,127.196,129.095,133.271,131.308,129.288,126.35,122.456,126.99,129.458,132.825,138.616,138.326,136.754,137.453,139.376,140.726,142.212,145.159,150.19,154.582,158.211,158.82,161.293,162.505,163.691,164.505,163.661,161.116,161.282,161.975,164.484,165.508,164.446,169.837,174.054,174.568,177.711,180.959,183.814,194.356,200.131,202.472,208.922,210.396,213.302,218.336,222.386,224.83,224.316,222.224,211.05,199.276,189.972,181.305,174.048,162.957,149.424,137.673,131.637,125.151,113.085,102.224,96.102,100.801,100.873,97.635,102.871,93.845,95.635,96.044,96.684,98.125,101.001,106.359,107.854,111.476,116.635,120.123,124.18,127.267,124.671,123.071
