"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","B020RA3",10.631,11.774,11.973,12.872,15.299,16.508,16.403,17.12,17.532,19.38,21.301,23.595,23.885,22.06,21.491,23.245,24.022,25.87,28.689,33.339,37.196,40.477,43.159,46.149,47.658,51.867,57.196,61.876,69.249,70.868,74.131,80.337,75.797,74.385,75.591,82.667,87.662,95.493,104.01,109.979,100,111.476,119.367,123.59,126.912
"24","17","    Goods","B253RA3",10.135,11.291,11.247,12.456,15.317,16.533,16.149,16.915,17.136,19.052,21.303,23.841,23.583,21.452,20.835,22.482,23.311,24.508,27.225,32.355,36.211,39.258,41.967,45.108,46.578,51.109,57.089,62.124,71.056,72.641,76.927,84.723,79.507,76.744,78.183,84.791,91.029,99.608,107.11,113.69,100,114.321,122.47,127.1,130.089
"25","18","    Services","B646RA3",11.949,13.013,14.016,13.928,14.913,16.076,17.064,17.569,18.702,20.266,20.89,22.194,24.557,23.876,23.479,25.573,26.178,29.973,33.104,36.311,40.166,44.143,46.762,49.368,50.995,54.423,58.123,61.951,65.616,67.329,68.271,70.921,67.867,69.444,70.144,78.27,80.594,86.84,97.517,102.191,100,105.586,112.939,116.297,120.35
"26","19","  Imports","B021RA3",12.334,12.86,13.547,15.071,15.77,15.413,13.7,16.379,18.17,19.744,20.072,18.739,19.231,18.989,21.385,26.591,28.316,30.736,32.555,33.834,35.324,36.588,36.534,39.095,42.476,47.543,51.347,55.813,63.33,70.732,78.765,88.819,86.268,89.219,93.056,103.297,109.591,116.326,118.97,115.825,100,112.759,118.239,120.86,122.588
"27","20","    Goods","B255RA3",10.889,11.315,12.264,13.933,14.916,14.502,12.674,15.54,17.433,18.997,19.323,17.888,18.257,17.798,20.216,25.107,26.677,29.412,30.775,32.022,33.401,34.373,34.529,37.784,41.565,47.116,51.36,56.174,64.27,71.885,81.021,91.626,88.659,91.97,96.469,107.185,114.322,121.098,123.319,118.76,100,115.162,121.176,123.75,125.259
"28","21","    Services","B656RA3",19.812,20.845,20.252,21.11,20.398,20.375,19.492,20.837,21.876,23.435,23.758,23.227,24.566,25.875,27.964,34.975,37.636,38.061,42.546,43.992,46.124,49.138,47.862,46.573,47.817,50.365,51.883,54.597,59.343,65.795,68.879,76.475,75.817,77.174,78.172,86.359,89.037,95.596,100.071,103.182,100,102.751,105.934,108.779,111.517
"29","22","Government consumption expenditures and gross investment","B822RA3",48.171,47.189,46.323,46.103,45.954,46.999,48.034,48.285,48.856,50.297,51.232,52.199,52.703,53.674,55.731,57.727,61.637,64.992,66.911,67.812,69.764,72.004,72.865,73.228,72.62,72.693,73.08,73.781,75.169,76.738,79.366,80.872,83.921,87.591,89.485,90.907,91.489,92.884,94.345,96.946,100,100.074,96.868,95.921,93.779
"30","23","  Federal","B823RA3",56.034,52.6,49.245,47.695,45.987,46.309,46.554,46.644,47.658,48.859,50.003,52.185,54.528,56.558,60.242,62.246,67.181,71.136,73.814,72.848,74.053,75.634,75.621,74.524,71.925,69.378,67.554,66.758,66.222,65.656,66.959,67.154,69.792,74.801,79.902,83.529,84.982,87.123,88.586,94.631,100,104.35,101.66,100.212,95.051
"31","24","    National defense","B824RA3",69.292,63.637,57.169,53.224,50.505,50.025,49.537,49.304,49.781,50.184,51.536,53.528,56.867,60.967,65.392,68.822,74.873,80.065,84.125,83.915,83.71,83.925,83.1,79.402,75.391,71.73,68.873,67.804,65.962,64.581,65.579,64.984,67.234,71.967,78.073,82.795,84.427,86.114,88.245,94.9,100,103.203,100.802,97.562,90.702
"32","25","    Nondefense","B825RA3",33.441,33.759,35.636,38.197,38.272,40.026,41.57,42.234,44.209,46.855,47.632,50.183,50.692,48.847,51.165,50.47,53.344,55.011,55.135,52.761,56.576,60.687,62.167,65.841,65.81,65.269,65.295,64.986,66.783,67.668,69.514,71.117,74.449,79.958,83.251,84.888,86.015,88.993,89.219,94.135,100,106.447,103.23,105.068,103.042
"33","26","  State and local","B829RA3",41.177,42.358,43.688,44.656,45.916,47.605,49.331,49.724,49.905,51.557,52.31,52.23,51.163,51.228,51.896,53.885,56.93,59.784,61.087,63.439,65.951,68.672,70.183,71.633,72.508,74.518,76.542,78.347,81.14,84.258,87.829,90.261,93.591,96.312,95.933,95.798,95.774,96.657,98.115,98.452,100,97.293,93.751,93.128,92.934
