"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"13","5","  Personal consumption expenditures","A794RC0",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1351,1398,1460,1477,1565,1614,1674,1700,1793,1834,1861,1946,2021,2142,2282,2445,2553,2777,2982
"14","6","    Goods","AGDSRC0",359,310,255,193,189,225,248,281,298,277,289,308,356,378,412,437,483,610,690,733,724,770,809,821,845,836,892,904,932,928,974,979,973,1013,1047,1106,1182,1270,1303,1418,1503
"15","7","      Durable goods","A795RC0",81,62,48,32,30,36,43,53,57,47,55,63,77,57,55,56,65,121,151,167,178,214,206,199,217,208,247,239,245,227,253,252,241,265,286,310,342,365,372,423,446
"16","8","      Nondurable goods","A796RC0",278,248,208,161,159,189,205,228,240,230,235,245,279,322,357,381,418,489,538,566,546,556,603,621,628,628,645,666,686,701,721,727,733,748,760,796,840,905,931,995,1057
"17","9","    Services","A797RC0",276,260,233,197,177,182,191,205,221,217,224,232,252,282,319,348,374,411,434,461,472,497,543,578,615,641,673,710,742,772,818,855,888,933,974,1037,1101,1175,1250,1359,1479
"18",NA,"Chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",8661,7840,7282,6303,6187,6811,7366,8266,8635,8284,8873,9574,11161,13127,15153,16167,15836,13856,13444,13762,13453,14384,15281,15633,16099,15730,16557,16614,16661,16266,17095,17182,17335,18114,18632,19437,20442,21541,21893,22739,23222
"20","11","  Gross national product","A791RX0",8745,7918,7347,6355,6232,6852,7414,8309,8689,8340,8931,9625,11226,13195,15220,16238,15899,13928,13534,13866,13548,14487,15403,15757,16217,15852,16690,16755,16807,16392,17223,17318,17481,18274,18801,19616,20627,21716,22071,22928,23406
"21","12","  Disposable personal income","A229RX0",6917,6411,6145,5306,5122,5579,6080,6802,6990,6556,7046,7464,8559,9598,9923,10109,9885,9679,9109,9426,9340,10033,10197,10371,10697,10662,11172,11502,11589,11519,11811,11877,12097,12482,12766,13485,14144,14726,15198,15728,16102
"22","13","  Personal consumption expenditures","A794RX0",6408,6000,5768,5218,5073,5401,5689,6228,6419,6268,6565,6848,7261,7012,7109,7223,7586,8442,8440,8483,8570,8969,8956,9081,9359,9389,9906,10017,10082,10002,10391,10461,10504,10855,11140,11642,12226,12770,13009,13620,13990
"23","14","    Goods","AGDSRX0",2269,2067,1977,1735,1712,1857,1994,2245,2297,2229,2365,2491,2662,2430,2373,2362,2496,2927,2955,2963,3000,3179,3088,3104,3212,3190,3423,3413,3410,3319,3469,3459,3424,3545,3634,3798,4016,4222,4258,4477,4568
"24","15","      Durable goods","A795RX0",263,215,185,140,135,154,185,224,234,193,227,257,294,185,163,149,164,292,336,352,374,446,402,387,425,416,496,469,465,422,464,464,441,484,521,562,624,668,670,737,757
"25","16","      Nondurable goods","A796RX0",2479,2325,2282,2068,2048,2201,2311,2559,2606,2623,2721,2813,2954,2929,2907,2933,3080,3324,3241,3210,3202,3254,3248,3313,3360,3354,3466,3525,3532,3520,3616,3602,3615,3670,3695,3816,3958,4130,4173,4307,4382
"26","17","    Services","A797RX0",3812,3693,3571,3334,3191,3327,3419,3607,3753,3694,3807,3921,4113,4293,4572,4769,4970,5142,5066,5111,5144,5281,5498,5647,5788,5886,6074,6253,6353,6451,6655,6776,6912,7128,7325,7655,7978,8276,8522,8882,9186
"27","18","Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736
