"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"13","6","        Intellectual property products","Y055RL1",-0.1,-6,-2.4,3.4,-0.3,-3.7,0.4,4.7,3.9,5.2,5.1,3.5,4.5,3.2,6.7,8.4,11.6,4.7,6.9,0.2,0.3,1.6,-2.6,-0.9,-2.2,-1,-1.4,0.8,1.7,3.5,2.3,3.2,5,5.1,7.2,5,3.9,2.8,2.9,2,1.5,1.9,-0.5,-2.3,-0.3
"14","7","          Software","Y056RL1",38,32.3,8.3,13,19.3,17.2,16.6,6.2,3.7,16.7,19.7,16.3,14.9,9.4,15.5,18.3,15.6,9.9,9.6,13.1,18.9,9.7,5.6,8.8,0,-0.6,-0.9,4.5,9.1,14.2,6.1,5.2,1.9,-5.8,1.8,5.1,5.4,4.3,5.1,4.9,-0.7,4.7,4.3,3.1,2.6
"15","8","          Research and development","Y057RL1",-1,-7.2,-2.8,3,-1.3,-5,-0.8,4.6,3.9,4.3,3.9,2.2,3.4,2.5,5.6,7.1,11.1,4,6.5,-1.7,-2.9,-0.1,-4.4,-3.1,-2.7,-1.1,-1.5,-0.1,-0.2,0.7,1.2,2.6,5.9,8.4,8.6,5,3.5,2.5,2.4,1.4,2,1.2,-1.6,-3.5,-1
"16","9","Federal","A823RL1",-2.4,-6.1,-6.4,-3.1,-3.6,0.7,0.5,0.2,2.2,2.5,2.3,4.4,4.5,3.7,6.5,3.3,7.9,5.9,3.8,-1.3,1.7,2.1,0,-1.5,-3.5,-3.5,-2.6,-1.2,-0.8,-0.9,2,0.3,3.9,7.2,6.8,4.5,1.7,2.5,1.7,6.8,5.7,4.4,-2.6,-1.4,-5.2
"17","10","    Consumption expenditures","A957RL1",-1.4,-5.9,-4.2,-2.9,-5.1,-0.3,-0.3,-1.6,1.6,1.7,1.2,4.1,4.2,3.4,5.2,0.9,5.4,4.8,1.9,0.3,2.5,2.1,1.3,-1.5,-2.7,-2.8,-3,-1.8,0.4,-2,1.5,0.4,3.9,6.2,6.5,4.2,1.2,1.7,1,6.7,6.5,4.4,-2.3,-0.6,-5.5
"18","11","    Gross investment","A787RL1",-5.6,-6.8,-13.7,-4.2,2.4,4.3,3.4,6.2,3.9,5.1,5.8,5.1,5.3,4.7,10.3,10,14.3,8.5,8.1,-4.9,-0.4,2.3,-3.3,-1.4,-5.7,-5.7,-1.5,0.8,-4.2,2.6,3.4,-0.1,4.1,10.3,7.8,5.8,3.5,5.2,3.8,7.4,2.9,4,-3.5,-4.3,-3.8
"19","12","      Structures","A801RL1",-6.5,-7.4,16.6,-2.3,3.7,-5,1.3,0.1,2.6,11,-9.1,5.6,-2.4,-7.7,5.3,0.5,10.5,7.5,9.1,-17.7,-11.7,2.9,-4.5,10.9,3.5,-6.8,5.2,-2.4,-10.6,0.6,-6.4,-18,-5.7,16.8,5.2,-9.9,-16,4.1,16.6,12.4,17.3,12.6,-10.4,-26.8,-21.6
"20","13","      Equipment","Y058RL1",-12.9,-6.9,-41.8,-25.2,10.4,35.2,11.5,12.3,4.8,2.7,15.4,8,10.1,12.4,17.1,15,18.7,14,9.4,-6.7,4.1,4.5,-2.5,-3.2,-11.9,-11.8,-3.5,3,-9.2,3.8,10.4,1.1,5.2,17.9,8.8,11.6,7.8,10.8,3.4,15.9,2,4.9,-5.1,-0.1,-4.3
"21","14","      Intellectual property products","Y059RL1",-0.5,-6.6,-2.7,3.3,-0.6,-4.1,0,4.7,3.8,4.9,4.8,3.3,4.4,2.9,6.5,8.2,11.6,4.2,6.9,-0.7,-1.4,0.5,-3.8,-2.1,-2.8,-1.3,-1.6,0.1,0.1,2.5,1.7,2.5,5.1,5.7,7.6,5,3.9,2.1,2.4,1.4,1.2,1.8,-1,-2.8,-0.9
"22","15","        Software","Y060RL1",41.9,36.9,11.3,13.2,21.1,18.5,16.5,5.4,4.2,16.4,18.7,17,15.8,8,15.5,17.7,15.6,10.5,10.6,11.1,12.8,6.8,3.1,5.5,-1.9,-0.9,-0.6,4.3,5.2,14.4,6.5,4.1,1.5,-7.5,-0.5,3.9,6.1,4.3,6,5.2,-1.1,7.1,4.2,2.1,1.3
"23","16","        Research and development","Y061RL1",-1.2,-7.6,-3.1,2.9,-1.5,-5.2,-1,4.6,3.8,4.1,3.8,2.2,3.4,2.4,5.7,7.2,11.1,3.5,6.4,-2.1,-3.3,-0.5,-4.9,-3.4,-3,-1.4,-1.7,-0.6,-0.8,0.2,0.7,2.1,5.9,8.6,9.1,5.2,3.5,1.7,1.9,0.8,1.6,0.9,-1.9,-3.7,-1.4
"24","17","  National defense","A824RL1",-4.1,-8.2,-10.2,-6.9,-5.1,-1,-1,-0.5,1,0.8,2.7,3.9,6.2,7.2,7.3,5.2,8.8,6.9,5.1,-0.2,-0.2,0.3,-1,-4.5,-5.1,-4.9,-4,-1.6,-2.7,-2.1,1.5,-0.9,3.5,7,8.5,6,2,2,2.5,7.5,5.4,3.2,-2.3,-3.2,-7
"25","18","    Consumption expenditures","A997RL1",-3.5,-8.1,-7.5,-6.3,-6.9,-2.7,-2.1,-2.1,0.6,0.7,0.9,2.9,5,5.6,4.5,2.5,5.3,5.3,3.6,2.3,0.6,0.4,1.5,-4.1,-3.4,-4.4,-4,-1.8,-1.5,-2.7,1.7,-1.4,2.9,5.4,7.8,5.1,1.1,1,1.6,6.9,6.3,3.7,-1.4,-2.7,-7.7
"26","19","    Gross investment","A788RL1",-6.8,-8.5,-21.8,-10.1,4.2,7.4,3.8,6.3,2.4,1.1,9.5,7.3,10.7,12.8,15.9,13.1,18.1,10.8,8.6,-6.3,-2.5,-0.1,-7.9,-5.4,-10.4,-6.4,-4,-0.9,-7,0.2,1,1,5.7,13.2,11.1,9.5,5.1,5.6,5.6,9.8,2.1,1.4,-5.7,-5.3,-4.5
"27","20","      Structures","A808RL1",7.4,-17.8,25.9,-9.8,-1.7,-8.5,-2.8,-11.6,1,1.3,-15.1,16.6,-4.7,17.9,18.7,-3.1,22.2,8.7,7.8,-7.5,-19.6,-7.1,-26.2,10.4,-3.3,4.1,11.4,-8.6,-5.7,-7.2,-11.2,-4,-5,12.1,12.1,-7.4,-5.7,-0.3,20.5,31.2,27.3,-2.3,-21.8,-38.6,-25.5
"28","21","      Equipment","Y050RL1",-13.9,-8.2,-45.8,-34,13.7,36.7,14.1,13.4,2,0.2,18.6,7.2,12.3,12.4,17.5,15.4,19.7,16.3,9.4,-8.9,2.7,3.8,-4.3,-6.2,-14,-9.4,-7,-0.5,-13.2,2.4,6.9,3.5,8,16.1,9.5,12.2,6.2,9.5,5.4,16.6,2,4.2,-5.3,-1.2,-4.9
"29","22","      Intellectual property products","Y052RL1",0.8,-7.3,-1.2,6.1,0,-6.3,-3.1,3.3,3,1.9,4.5,5.8,11.6,12.4,13.6,13,15.6,4.8,7.9,-3.2,-5.1,-3.5,-9.8,-6.1,-6.8,-4.5,-3.1,0.1,-1.1,-0.5,-2.2,-0.6,5.1,10.6,12.5,9.3,5.4,2.7,4,0,-2.4,-1,-2.5,-4,-1.5
"30","23","        Software","Y053RL1",29.1,40.2,7.9,13.3,20.5,15.4,17.3,4.8,3.7,16.4,19.9,14.4,19,9.8,16.1,31.9,22.1,18.9,11.7,16,14.5,8.3,2.9,7.9,-4.6,-1.6,-1.8,5.1,2.8,6.8,-0.4,-1.2,-5.4,-2.2,-2.3,4.7,3.5,3.3,4.3,4.4,-0.6,7.4,4,0.8,0.7
"31","24","        Research and development","Y076RL1",0.4,-8.1,-1.5,5.9,-0.6,-7,-3.9,3.2,3,1.2,3.7,5.3,11.2,12.6,13.4,11.9,15.2,3.8,7.5,-4.7,-7,-4.8,-11.3,-8.1,-7.1,-4.9,-3.3,-0.6,-1.7,-1.7,-2.5,-0.5,7,12.6,14.5,9.9,5.6,2.7,4,-0.4,-2.6,-1.9,-3.2,-4.5,-1.8
"32","25","  Nondefense","A825RL1",3.9,1,5.6,7.2,0.2,4.6,3.9,1.6,4.7,6,1.7,5.4,1,-3.6,4.7,-1.4,5.7,3.1,0.2,-4.3,7.2,7.3,2.4,5.9,0,-0.8,0,-0.5,2.8,1.3,2.7,2.3,4.7,7.4,4.1,2,1.3,3.5,0.3,5.5,6.2,6.4,-3,1.8,-1.9
"33","26","    Consumption expenditures","A542RL1",9.4,3.9,8.8,9,0.1,6.6,4.4,-0.4,4,3.9,1.8,6.9,2.4,-1.9,6.9,-3.2,5.8,3.4,-2.6,-5.7,8.4,7.1,0.6,5.9,-1,1,-1,-2,4.3,-0.5,1.2,4,5.7,7.6,4.3,2.4,1.3,3.1,-0.1,6.2,6.9,5.9,-4,3.5,-1.6
"34","27","    Gross investment","A798RL1",-3.6,-3.8,-0.4,3.5,0.3,0.3,2.7,6.1,6.1,10.4,1.4,2.4,-1.9,-7.4,-0.1,3.2,5.4,2.5,6.8,-1.3,5,7.7,6.3,6,2,-4.7,2.3,3,-0.5,5.6,6.1,-1.3,2.3,7,3.7,0.9,1.3,4.4,1.2,3.6,4.3,8.2,-0.1,-3,-2.9
"35","28","      Structures","A830RL1",-15.1,0.7,10.5,3.3,7.5,-2.6,3.9,6.7,3.3,15.6,-6.6,1.2,-1.3,-18.1,-2.6,3.1,2.3,6.6,10.3,-26.3,-2.9,12,12,11.2,7,-12,1.7,1.4,-13.4,5.3,-3.8,-25,-6.2,19.8,1,-11.6,-23.4,8.1,13.4,-4.1,5.4,33.8,1.5,-17.3,-19.3
"36","29","      Equipment","Y066RL1",11,13.6,12.1,35.3,-4.5,27.7,-1.9,6,24,17.1,-1.8,13.5,-3.3,12.3,13.8,11.8,10.3,-6.8,9.9,15.7,15.2,9.3,10.3,14.8,-0.8,-23.1,17,19.6,7.7,8.3,22.2,-6.6,-4.6,24.9,6,9,14.4,16,-4.6,12.8,2.1,8.1,-3.7,4.9,-1.8
"37","30","      Intellectual property products","Y067RL1",-1.7,-6,-4,0.7,-1.2,-1.9,3,5.9,4.6,7.5,5.1,1.2,-1.8,-6.5,-1.8,1.6,5.4,3.2,5.2,3.8,4.7,6.4,4.1,2.6,1.4,1.7,-0.2,0.2,1.1,5,5,4.9,5,2.2,3.7,1.4,2.4,1.4,0.9,2.9,4.7,4.4,0.3,-1.9,-0.4
"38","31","        Software","Y068RL1",50,35.2,13.3,13.2,21.3,20.2,16.1,5.7,4.4,16.4,18.1,18.2,14.3,7.1,15.1,10.4,11.6,4.9,9.7,7.4,11.5,5.6,3.3,3.6,0.4,-0.4,0.3,3.7,7.1,19.9,10.8,7.2,5.1,-10,0.4,3.5,7.4,4.8,6.8,5.6,-1.4,7,4.4,2.7,1.6
"39","32","        Research and development","Y069RL1",-2.7,-7.2,-4.7,0.1,-2.5,-3.4,2,5.9,4.6,6.7,3.9,-0.5,-3.7,-8.3,-4.4,0,4.2,2.8,4.3,3,3.2,6.6,4.3,2.4,1.6,2.2,-0.3,-0.5,-0.1,2,3.6,4.3,5,5.4,4.5,0.9,1.3,0.7,-0.4,2.2,6.2,3.8,-0.6,-3,-0.9
"40","33","State and local","A829RL1",3.5,2.9,3.1,2.2,2.8,3.7,3.6,0.8,0.4,3.3,1.5,-0.2,-2,0.1,1.3,3.8,5.7,5,2.2,3.9,4,4.1,2.2,2.1,1.2,2.8,2.7,2.4,3.6,3.8,4.2,2.8,3.7,2.9,-0.4,-0.1,0,0.9,1.5,0.3,1.6,-2.7,-3.6,-0.7,-0.2
"41","34","  Consumption expenditures","A991RL1",6.5,6.1,5,3.8,3.4,4.5,4.9,1.4,1.9,2,0.6,-0.3,-0.4,1.6,1.3,2.1,4.5,4.5,2,3.5,3.6,3.3,2.2,2.2,1.7,2.8,2.4,1.9,2.7,4.1,3.4,2.1,3.4,2.7,-0.6,0.1,0.6,0.7,1.6,0.2,2.1,-2.6,-2.9,0,0.3
"42","35","  Gross investment","A799RL1",-4,-6,-2.7,-3.1,0.7,0.9,-0.8,-1.6,-5.9,9,4.9,0.6,-8.2,-5.9,1.4,12,10.8,7.1,2.8,5.2,5.4,7.8,2.4,1.3,-1,2.9,4.2,4.6,7.6,2.9,8,5.6,5,3.7,0.6,-1.1,-2.6,1.7,1.1,0.9,-0.6,-3.3,-6.8,-3.7,-2.7
"43","36","    Structures","A842RL1",-5.3,-7.4,-3.3,-4.9,-0.9,-0.2,-0.8,-1.8,-6.6,9.5,4.3,-0.5,-9.8,-8.2,-1.1,11.1,9.7,6.2,2.2,4.4,2.1,7.5,3.3,0.4,-2.3,0.8,3.4,5.1,6.7,-0.3,7.2,5.5,5.6,4.1,0.2,-1.9,-3.8,0.1,-1.3,-0.2,-0.7,-3.6,-8.4,-4.8,-3.7
"44","37","    Equipment","Y070RL1",7,3.4,1.4,11.5,11.8,8.8,-2.9,-2.3,-3.1,4.9,8.3,6.1,-1.9,5.1,13.6,17.1,15.8,9.7,4.1,6.6,15.4,7.6,-3.6,2.1,3.3,12.6,9.6,2.6,9.2,13.9,12.2,5.6,2.1,2.1,0.9,-0.1,1.5,8.7,14.5,5.1,-2.1,-5.3,-1.8,-0.3,-0.8
"45","38","    Intellectual property products","Y071RL1",10.6,10.2,3.8,5.6,6.1,3.4,7.3,5.9,4.7,10.7,9.9,6.4,6.3,7,8.5,10.5,12.3,11,7.3,11,18.8,11.2,7.6,8.6,2.3,1,-0.5,5.1,12,9.6,5.9,7,4.4,2.1,4.6,4.7,4,7.2,5.7,5.4,3.2,2.1,2.3,0.8,2.9
"46","39","      Software","Y072RL1",28,19,-1.6,12.3,12.9,12.2,17.2,9.1,1.7,17.9,23.4,13.8,11.5,14.6,15.4,20.2,15.7,7.8,6.3,20,38.4,17.3,11.6,16,3.9,0,-1.4,4.8,16.9,13.8,5.5,7.1,2.6,-2.5,5.8,7.1,4.1,4.2,3.6,4.2,0.1,0.4,4.4,5,5
"47","40","      Research and development","Y073RL1",6.5,7.8,5.3,3.8,4.1,0.7,4,4.7,5.9,8,4.6,3.1,3.7,3.2,4.7,4.6,10.1,13.2,7.9,5.3,5,5.8,3.6,1.1,0.6,2.2,0.6,5.4,7.1,5.1,6.4,6.8,6.4,7,3.6,2.5,4,9.9,7.5,6.3,5.7,3.4,0.8,-2.1,1.3
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
