"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"46","36","    Capital consumption adjustment","A059RC1",7.7,7.7,7.7,7.4,7.1,6.7,6.4,6,5.7,5.7,5.9,6.5,7.4,8,8.2,8.1,7.8,7.2,6.6,5.8,4.8,3.5,1.7,-0.4,-2.9,-4.9,-6.4,-7.3,-7.7,-7.9,-7.9,-7.6,-7.2,-6.9,-6.9,-7,-7.4,-7.8,-8.4,-9,-9.7,-10.9,-12.6,-14.9,-17.7,-18.6,-17.5,-14.5,-9.5,-5.5,-2.5,-0.4,0.7,2.9,6.1,10.5,15.9,21.1,25.9,30.4,34.7,39.9,46.3,53.6,62.1,66.5,67.1,63.6,56.3,51.3,48.6,48.3,50.4,51.6,52.1,51.7,50.6,49.4,48.1,46.8,45.4,43.1,40.1,36.2,31.4,27.4,24,21.2,19.1,17.4,16.3,15.6,15.3,15.3,15.5,16,16.7,18.3,20.9,24.4,28.9,32.2,34.3,35.2,34.9,35.2,36.2,37.9,40.2,42.7,45.5,48.5,51.8,54.3,56,57.1,57.3,58.6,60.9,64.3,68.7,70.2,68.8,64.5,57.2,51.8,48.2,46.4,42.6,38.3,55.2,85.4,118.5,117.5,110.3,102,84.9,103.8,100.8,96.4,82.6,74.1,65,51.1,-124.4,-137.5,-148.2,-163.8,-153.9,-163.7,-173.7,-185.7,-175.4,-180.7,-181.6,-181.9,-52.3,-56.2,-65.2,-67.9,-93.8,-81.6,-74.7,-78.8,-96.4,-101.4,-54.4,39.2,82.9,86.4,88.4,88,-162.7,-171.4,-174.2,-173.9,-159.5,-161.1,-161.1
"47",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","37","    Profits before tax (without IVA and CCAdj)","A464RC1",80.7,78,74.6,72.4,65,64.5,65,60.3,70.2,72.4,74.7,76.9,81.8,82.5,86.8,96.5,108.4,109.7,107.7,114.7,117.4,123.5,134.1,118.1,98.6,107.6,133.8,138.9,153.8,154.5,155.2,152.7,164.1,176.2,182.7,184.2,178.5,210.8,213.1,224.8,224.5,227.3,226.3,220.9,230.6,187.9,206.6,223,227.5,212.3,222,204.8,179.8,178.8,174.9,156.6,157.5,187.9,210.1,215.1,238.7,237.1,216.4,215.7,206.7,199.3,211,203.2,166.4,163.9,166.5,184.7,196.1,221.7,237.5,234.7,250.7,260.8,265.2,281.2,270.9,249.5,229.6,225.9,228.1,238.7,249.8,236.8,225.6,231.2,237.6,235.3,240.7,262.4,250.9,274.2,274.8,307.6,304.7,349.3,361,384.9,408.2,437.4,441.3,444.4,462.2,460.2,475.5,489.1,488.2,502.9,504.4,514.2,548.6,541.1,483,487.2,500.9,474.5,482.7,498.8,486,490.6,483.1,478.7,442.7,400.3,381.6,375.2,326,218.2,271.9,332.5,382.6,451,471.9,460.1,505.7,547.5,628.3,698.8,733.6,739.9,937.5,988.6,972.9,1119.3,1138.9,1171.2,1250.8,1159.6,1137,1152.9,1019.6,1064.7,935.2,967,1006.2,612.9,654.9,674.3,751.5,929.3,1007.1,1025.8,1079.2,1025.2,986.6,1058.5,1033.5,1028.3,1283.7,1282.9,1288.8,1319.4,1307.7,1324.7,1344.9
"49","38","    Profits after tax (without IVA and CCAdj)","A466RC1",45.7,44,42,40.5,37.5,37,37,34.1,40.4,41.9,45.1,46.8,49.9,50.5,53.2,58.8,67.8,69.2,68.8,73.2,77.1,81.1,87.2,76.3,64.7,70.3,86.1,90.2,98.4,100.8,102.3,100.8,108.2,115.5,120,121,121.7,141.1,143.6,150.5,153.2,155.8,155.3,152.3,153.9,130,141.1,150.4,155.6,147.7,154,145.3,130,127.6,124.7,112.8,112,127.9,140.6,143.1,156.5,156,145.9,145.8,135.3,131.4,137.1,132,93.2,92.1,92,99.2,110.4,125.3,138,139.2,152.7,158.1,160.6,170.6,158.2,147.6,135.2,130.1,133.6,139.4,147.8,138.9,130.1,143.8,152.2,149.2,152,167.4,156.4,174.7,177.4,196.6,203.8,226.4,244,260.2,270.2,287.7,300.3,308,319.4,319.1,329.7,334.9,334.2,345.2,350.5,356.5,378.4,377.6,321.7,328.5,339.1,321.6,312.6,329.2,316.2,314.7,301.8,297.9,283.8,240.5,258.4,256.4,213.2,128,185.6,238.7,283.6,341.5,344.3,341.3,373.3,394.7,463.7,513.3,534.6,541.1,673.3,723.4,715.2,818.9,844.7,862.4,921.4,861.2,825.7,850.4,740.6,782,687.2,714.1,750.8,459.4,487.2,512.6,581.5,717.4,798.3,805.6,849.9,801.2,770.5,832.5,803.7,811,1031.2,1025.1,1039.7,1051,1041.1,1060.6,1081.2
"50","39","    Inventory valuation adjustment","B058RC1",-4.9,-5.2,-4.9,-8.4,-8.8,-4.6,-6.2,-6.6,-3.6,-4.7,-5.6,-4.5,-5.8,-5.8,-5.8,-9,-15.8,-21.1,-18.7,-22.7,-31.8,-36.7,-50,-34.4,-12.4,-7,-11.7,-11.1,-10.7,-14.9,-15.2,-15.6,-21.4,-15.3,-9.5,-16.6,-20.8,-23.2,-23.3,-27.5,-35.1,-40,-44.1,-41.4,-53.5,-34,-42.3,-38.8,-37.4,-24.3,-18.2,-18.6,-12.9,-4.7,-6.4,-6,2.2,-7.1,-15.2,-9.8,-6.6,-9.8,0.3,0.2,0.6,0.3,7.2,-8,19.7,13.9,5.4,-10.9,-13.9,-19.2,-15.7,-16.2,-18.3,-25.5,-26.1,-18.8,-33.7,-18.9,-0.4,-12.3,-3.6,2,-30.2,-19.8,11.4,8.6,1.4,-1.7,2.2,-10.6,-3.4,0.4,-6.1,-6.3,0.4,-4.1,-8.3,-10.2,-15.7,-15.6,-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21,-9.1,-11.9,-18.4,-1.1,16.8,34.8,46.1,13.5,-14.4,-20.7,-18.3,6.1,-5,-21,-23.4,-45.2,-38.5,-50.7,-38.7,-18.4,-32.4,-39,-32.3,-54,-38.5,-17.9,-38.6,-32.2,-16.7,-70.5,-123,-149.9,-64.9,190,93.5,21.6,-20.2,-68.2,-40.1,-20.6,-18.1,-85.3,-120.1,-68.2,-27.7,-8.2,-19.5,9.8,-22,-8.4,-13,8.9,1.7
"51","40","    Capital consumption adjustment","B470RC1",7.8,7.9,7.8,7.6,7.2,6.9,6.6,6.3,6,5.9,6.2,6.7,7.6,8.1,8.3,8.1,7.7,7.1,6.4,5.6,4.6,3.4,1.7,-0.3,-2.6,-4.5,-5.8,-6.7,-7,-7.1,-7,-6.6,-6.1,-5.8,-5.8,-6,-6.5,-7,-7.6,-8.1,-8.7,-9.7,-11.1,-12.9,-15.1,-15.7,-14.5,-11.7,-7.1,-3.3,-0.2,2.2,3.8,6.2,9.5,13.5,18.3,23,27.7,32.4,37,42.4,48.6,55.7,63.5,67.6,68.1,64.8,57.8,53,50.4,50,51.8,53.1,53.7,53.9,53.4,52.7,51.8,50.7,49.4,47.7,45.7,43.2,40.4,37.8,35.4,33.1,31,29.7,29.2,29.4,30.5,31.2,31.7,31.9,31.8,32.9,35,38.3,42.7,45.5,46.7,46.3,44.3,43.4,43.8,45.3,48.1,50.1,51.3,51.8,51.6,51.6,51.9,52.4,53.1,54.4,56.4,58.9,62,62.8,61.2,57.3,51.1,46.5,43.4,41.8,37.3,33.3,48.2,75.9,106.1,106.5,101.9,96.5,83.3,102.1,101.5,99.8,90.7,85.7,79.8,69.7,-84.6,-95.4,-105.4,-120.7,-113.8,-124.2,-134.1,-145.6,-136.4,-140.6,-140.7,-139.8,-23.6,-25.9,-32.8,-33.9,-53.9,-40.6,-33.6,-36.2,-53.2,-58.7,-16.6,67.9,110,114.6,117.4,117.7,-108.5,-116.1,-118.4,-117.6,-104.3,-105.4,-105.5
"52",NA,"  Value added, in billions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Gross value added of nonfinancial corporate business \2\","B455RX1",2015.6,2027.3,2038.2,2032.3,2007.9,2012.2,2028,1994.9,2060.6,2074.8,2094.9,2129.7,2192.8,2229.5,2261.1,2310.3,2381.5,2384,2381.3,2393.4,2379.2,2376.4,2344.7,2294.7,2247.7,2284.3,2348.4,2381.8,2478.7,2495.1,2520.1,2526.1,2582.8,2679.4,2753.9,2741.7,2765.9,2875,2886.5,2929.2,2959,2948,2954.1,2962.9,2952.3,2882.4,2898.5,2975,3022,3038.2,3080.8,3042.5,2983.2,2990.3,2979.3,2965,3010.4,3089.7,3161.7,3238.7,3337.4,3387,3421.3,3468.7,3493.7,3532.4,3604.7,3614.6,3631.9,3628.4,3651.9,3704.6,3741.5,3817,3890.6,3943,4008.7,4069,4089.2,4170.8,4154.3,4145.6,4164.5,4183.8,4203,4239.6,4225.5,4220.8,4183.8,4190.6,4203.1,4224.3,4284.1,4317.8,4325.8,4386.3,4340,4422.6,4440.9,4537.3,4585.9,4690.6,4736,4819.9,4844.4,4890.9,4975.4,5031.1,5093.8,5177.7,5270.4,5356.9,5421.9,5515.9,5633.4,5722.2,5756.1,5852.6,5949.3,6001.1,6112.1,6170.1,6218.2,6340.7,6517.2,6528.2,6589.3,6567.7,6421.4,6437.2,6401.9,6385.4,6408.9,6470,6468.8,6517.5,6507.4,6565.8,6640.3,6713.7,6777.7,6871.8,6988.2,6978.8,7037.1,7127.8,7102,7259.7,7357.2,7336.5,7446.2,7485.1,7472,7502.4,7428.2,7519.3,7413.5,7403.3,7476.9,7247.5,6842.9,6774.3,6820.6,7007.8,7178.5,7227.4,7314.7,7257.2,7365.1,7479.5,7465.6,7548.1,7710,7740.1,7701.5,7821,7795.6,7889.9,7919.9
"54","42","      Consumption of fixed capital \3\","N456RX1",182.6,185.6,188.6,191.3,194,196.5,198.9,201.2,203.3,205.4,207.6,209.7,211.9,214.7,218.1,221.9,226.3,230.2,233.8,237.3,240.5,243.5,246.2,248.7,250.9,253,254.9,256.8,258.6,260.8,263.2,266,269,272.3,275.6,279,282.6,286.4,290.4,294.6,299,303.3,307.5,311.6,315.6,319.5,323.2,326.9,330.3,334,337.9,341.9,346.2,350.1,353.6,356.7,359.4,362.4,365.6,369.2,372.9,377.3,382.3,387.9,394.1,399.9,405.2,410.2,414.6,419.1,423.6,428,432.5,436.8,440.9,444.8,448.5,452.3,456.2,460.1,464.2,468.4,472.7,477.1,481.6,486,490.2,494.2,498.1,501.8,505.4,508.9,512.3,516.1,520.4,525,530.1,535.4,540.9,546.7,552.8,559.4,566.7,574.5,583,591.7,600.5,609.5,618.7,628.5,638.9,649.8,661.4,673.3,685.5,698.1,710.9,723.8,736.6,749.3,761.9,775.8,790.8,807,824.5,838.4,848.4,854.8,871.5,884.6,895.1,903.2,907.7,910.8,914.4,918.1,921.6,925.2,929.5,934.6,940.2,945.1,950.7,957.3,964.8,973,981.7,990.4,999.8,1009.9,1020.2,1030.7,1040.8,1049.7,1057.9,1066,1073.3,1080.7,1087.4,1092,1093.2,1092.4,1091.4,1090.9,1090.7,1091.9,1094,1097.3,1101.7,1106.9,1112.7,1118.9,1125.3,1132.3,1139.4,1147.1,1156,1164.7,1172.8
"55","43","      Net value added \4\","A457RX1",1833,1841.7,1849.7,1841,1813.9,1815.7,1829.1,1793.7,1857.3,1869.4,1887.3,1919.9,1980.8,2014.8,2043.1,2088.4,2155.3,2153.8,2147.5,2156.2,2138.7,2132.9,2098.5,2046,1996.8,2031.3,2093.4,2125,2220,2234.3,2256.9,2260.1,2313.8,2407.1,2478.3,2462.7,2483.3,2588.6,2596.1,2634.6,2660,2644.8,2646.7,2651.3,2636.7,2562.9,2575.2,2648.2,2691.7,2704.2,2743,2700.6,2637,2640.1,2625.7,2608.2,2651,2727.3,2796.1,2869.6,2964.5,3009.6,3039,3080.8,3099.6,3132.5,3199.5,3204.4,3217.3,3209.3,3228.3,3276.6,3309,3380.2,3449.7,3498.3,3560.2,3616.7,3633.1,3710.7,3690.1,3677.2,3691.9,3706.7,3721.3,3753.6,3735.3,3726.6,3685.8,3688.8,3697.7,3715.4,3771.7,3801.6,3805.5,3861.3,3809.9,3887.3,3900,3990.5,4033.1,4131.1,4169.3,4245.3,4261.3,4299.2,4374.9,4421.6,4475.1,4549.2,4631.5,4707,4760.5,4842.6,4947.9,5024.2,5045.2,5128.8,5212.8,5251.8,5350.2,5394.3,5427.4,5533.7,5692.6,5689.8,5740.9,5712.9,5550,5552.6,5506.8,5482.2,5501.1,5559.2,5554.4,5599.4,5585.8,5640.6,5710.8,5779,5837.4,5926.8,6037.5,6021.5,6072.3,6154.9,6120.4,6269.3,6357.5,6326.6,6426,6454.4,6431.2,6452.7,6370.2,6453.4,6340.2,6322.6,6389.5,6155.5,5749.8,5681.9,5729.1,5916.9,6087.8,6135.5,6220.7,6159.9,6263.4,6372.6,6352.9,6429.3,6584.7,6607.8,6562.2,6673.9,6639.6,6725.2,6747.1
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
