"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 12:54:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","    Transportation equipment","A681RX1",199.3,205.9,217.9,210.4,208.8,211,203.5,193.2,186,186.3,180.9,186.5,178.4,169,164,157.6,144.7,155.9,159,159.6,156.1,170.2,183.2,196.4,189.7,196.7,206.9,198.4,219.6,209.9,209,211.8,212.8,201.8,199.2,200.5,198.5,175.8,147.7,105.5,68.6,67.2,70,76.5,109.7,130.9,152,155.1,166,167.7,185.5,204.6,217,229.1,218.8,219.4,215.1,218.5,219.7
"23","15","    Other equipment \5\","A862RX1",161.4,159,160.8,164.3,168.9,172.9,170.1,170,172.4,167.7,170.7,165.8,163.8,169.5,169.2,169.1,173.1,174.9,183.2,186.1,184.6,189.1,195.9,200.2,203.7,212.2,213,214.9,221.9,221.5,217.2,217.7,213.2,219.5,217.9,217.4,211.1,211.8,210.6,192.7,178.8,165.5,159.9,158.2,170.7,177.8,182.2,188.3,197.9,199.6,208.9,200.7,204.8,207.7,211.6,214.5,224,222.2,212.7
"24","16","  Intellectual property products","Y001RX1",371.3,385.3,400.3,407.6,419.4,425.3,427.5,432,435.1,430.2,426.6,420.1,419.8,425.8,430.1,427.9,433,436.6,446.2,452.9,454.7,457.8,468.6,478.4,487,495,499.9,498,503.8,511,522.9,532.1,537,538.9,541.1,552.4,561.2,563.3,558.2,552.5,543.6,549.4,550.9,559.8,557.6,554.7,563,570,575.2,582,589.6,597.6,599.6,602.3,606.4,614.9,620.6,618.3,620.9
"25","17","    Software \6\","B985RX1",141.3,151.6,160,165.1,170.8,175.5,175.9,181.2,182.6,178.5,176.4,171,172.6,177.1,181.2,176.6,180.7,182.5,192.7,199.9,202.4,203.7,209.8,215.7,216.6,221.8,223.1,223.3,225.7,228.1,231.7,235.9,241.5,242.2,244.7,248.3,256,257,257.7,254.2,252.8,255.2,257.7,261.4,256,250.9,253.3,256.7,261.8,266.7,272.2,278.6,279.7,284,286.6,293.1,298.6,294.1,295.5
"26","18","    Research and development \7\","Y006RX1",178.5,182,187.1,188,192.6,192.2,194.2,193.2,196.3,196.7,195.3,194.1,190.2,190.8,189.4,191.5,190.5,190,188.3,187.5,187.4,189.5,192.8,194.5,200.6,202.1,204.9,201.6,205.2,210.6,219.6,224.7,224.7,226.2,225.9,234.7,236.6,238.6,234.2,232.7,226.2,229.1,228.4,232.3,232.7,231.5,235.6,237.8,239,241.2,242.9,244.1,245.3,244.1,245.7,247.6,247.4,248.8,250.3
"27","19","    Entertainment, literary, and artistic originals","Y020RX1",55.4,55,56.2,57,58.5,59.7,59.7,59.2,58,57.1,57.2,57.6,59.1,59.6,60.9,61.6,63.3,65.2,65.5,65.4,64.7,64.7,65.9,68,69.7,70.9,71.8,72.9,72.6,72.2,71.7,71.7,70.8,70.5,70.5,69.4,68.6,67.7,66.3,65.6,64.6,65.1,64.7,66.1,68.9,72.3,74,75.4,74.4,74.1,74.6,75.2,74.8,74.7,74.6,74.9,75.7,76.2,75.8
"28","20","Residential","A011RX1",623,632.7,637.4,642.1,645.3,641.9,632,632.6,635.3,645.2,649.2,645,666.2,682.7,684.7,697.1,709.8,721,762.3,785,794.2,819.5,825.3,836.7,856.4,872.3,881.9,879.9,871.7,827.8,781.6,745.2,711.2,682.7,639.2,586.1,540,516.3,490.9,443.6,401,377,395.4,395.7,383,403.5,368.1,375.1,376.7,379.2,384.9,396.2,417.2,423,437.3,457.5,471.2,487.1,502.2
"29","21","  Structures","A012RX1",616.1,625.5,630,634.6,637.5,634.1,624.1,624.6,627.4,637.2,641.2,636.8,657.9,674.5,676.6,688.9,701.6,712.5,753.4,775.9,784.8,809.9,815.5,826.7,846.4,862.2,871.8,869.6,861.1,817.5,771.4,735.2,701.1,672.8,629.4,576.4,530.5,506.7,481.7,434.9,392.6,368.8,387.1,387.2,374.4,394.6,359.3,366.2,367.7,370.1,375.7,386.8,407.8,413.7,427.7,447.8,461.2,476.9,491.7
"30","22","    Permanent site","A943RX1",354.5,353.9,356.9,365.5,369.7,365.1,353.5,354,358.8,365.2,366.9,359.9,365.6,377.2,381,385.3,393.5,398.8,420.1,444.5,447.2,461.9,469.6,470,483.4,491.5,498,506.2,504.4,470.2,433.7,398,371.9,355.2,328,289.4,255.7,239.5,213.5,183.9,147,124.5,132.1,131.9,131.3,135.5,126,121.2,121.6,121.1,124.9,128.1,138.4,147.3,157.8,172.3,184.3,191.4,194.5
"31","23","      Single family","A944RX1",309.2,308,309.1,318.3,323.5,318.5,308.8,307.7,311.7,317.8,319.2,311.6,316.3,326.8,330.7,335.4,342.6,347.8,367.2,391.2,393.4,406,411.6,411.6,423.4,429.8,435.4,443.5,441.8,408.9,374.2,337.8,313.7,301.4,277.7,241.8,209.4,193,168.2,142.2,109.5,93.1,106.8,112,115.7,121.7,112.6,107.7,108.2,107.2,109.5,111.7,120.8,126.6,134.6,146.4,155.8,160.5,162.6
