"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"12","4","Equals: Gross national product","A001RX1",4725.9,4739.8,4767.9,4747.2,4739.8,4749.2,4790.5,4738.9,4870.3,4899.7,4934.2,4950.2,5039.3,5154.6,5204.7,5290.3,5425.4,5489.3,5467.4,5518.3,5482.4,5493.2,5435.1,5405.9,5333.5,5374.6,5466,5547.5,5670.1,5714.5,5743.9,5787.9,5862.4,5974.9,6079,6072.8,6102.2,6326.6,6392.8,6486.2,6500.6,6516.5,6577.4,6593.5,6616.2,6476.9,6462.4,6565.9,6704.8,6652.4,6732,6662.7,6548.4,6592.7,6556.7,6560.5,6644.8,6799.2,6932.3,7076.5,7210,7335.8,7406.6,7457.5,7517.4,7588.3,7696.4,7758.8,7824.4,7848.2,7930.6,7960.4,8018.9,8114.5,8186.7,8324.1,8379.2,8485.4,8529.4,8645.4,8731.2,8797.8,8866.8,8894.9,8988.9,9025.8,9020.3,8977.1,8918.1,8970.3,9007.8,9058.3,9164,9263.4,9349,9443.6,9471.5,9518.2,9572,9677.6,9781.5,9908.3,9964,10075.1,10121.5,10160,10227.9,10315.5,10391.6,10561.2,10654.2,10773.4,10844.2,11017,11146.9,11224.4,11346.6,11452.5,11585.3,11778.3,11899.3,12005.6,12154.3,12376.4,12406.9,12644.2,12654.6,12751.6,12698.4,12776.1,12710,12816.3,12889.2,12937,13015.6,13041.3,13091.4,13230.6,13452.6,13634.3,13735.1,13810,13941.7,14029,14218.1,14282.1,14408,14454.8,14631.1,14670.4,14668.7,14793.5,14803.5,14939.3,15097.5,15198.6,15081.9,15157.3,15098.7,14698.1,14495.3,14476.8,14568.8,14719.5,14782.7,14925.1,15020.5,15137.8,15119.2,15235.6,15306.4,15485.7,15600.2,15656.2,15751.1,15764.8,15789.7,15893.9,16048.2
"13","5","Less: Consumption of fixed capital","A262RX1",472,477.9,483.6,489.1,494.3,499.3,504.1,508.5,512.6,516.8,521.1,525.2,529.9,535.2,541.3,548.2,555.6,562.8,569.5,576,582.2,587.9,593.3,598.3,602.7,607.2,611.6,616,620.4,625.3,630.6,636.4,642.6,649.2,656.1,663.2,670.5,678.3,686.4,694.9,703.9,712.8,721.3,729.6,737.7,745.6,753.1,760.3,767.2,774.4,781.9,789.7,797.9,805.5,812.7,819.3,825.5,832.4,839.8,848,856.8,866.6,877.5,889.5,902.6,915.3,927.6,939.4,950.7,962.1,973.8,985.6,997.6,1009.3,1020.7,1031.8,1042.6,1053.4,1064.4,1075.4,1086.5,1097.6,1108.5,1119.4,1130.2,1140.4,1150,1158.9,1167.2,1175.2,1183.1,1190.7,1198.1,1205.9,1214.2,1223.1,1232.4,1242,1251.9,1262,1272.4,1283.4,1295.2,1307.6,1320.8,1334.1,1347.8,1361.7,1375.9,1390.9,1406.8,1423.4,1440.9,1459.3,1479.2,1500.4,1523.1,1545.3,1566.7,1587.5,1607.6,1633.8,1666.5,1705.9,1702.6,1742.7,1775.9,1800.6,1819.7,1834.9,1849.1,1863.8,1881.4,1897.4,1913.4,1928.3,1942.2,1955.6,1970.5,1987.3,2006.1,2022.7,2041.1,2060.6,2081.1,2100.4,2120.9,2141.5,2162.4,2184.2,2205.2,2225.9,2246.8,2266.3,2284.3,2301.2,2315.7,2331.5,2347,2359.5,2366.5,2369.2,2369.4,2368.5,2372.7,2378.7,2385.5,2392.5,2399.1,2407.1,2416,2425.9,2436.9,2448.5,2459.3,2470.8,2483.2,2495.8,2508.4
"14","6","  Private","A024RX1",323.8,328.5,333,337.4,341.6,345.7,349.7,353.6,357.4,361.3,365.3,369.4,373.7,378.7,384.5,390.9,397.9,404.5,410.7,416.6,422.2,427.5,432.2,436.6,440.4,444.2,448,451.6,455.2,459.3,463.8,468.8,474.2,479.8,485.7,491.8,498.2,504.8,511.9,519.3,527,534.5,541.7,548.7,555.4,561.8,567.8,573.6,579.1,584.8,590.7,597,603.5,609.5,614.9,619.8,624.2,629.1,634.4,640.3,646.8,654.1,662.3,671.4,681.3,690.8,699.8,708.3,716.3,724.4,732.7,741.2,749.8,758.2,766.4,774.4,782.1,790.1,798.2,806.5,815,823.4,831.8,840,848.2,855.9,863.2,869.9,876.1,882.2,888.2,894.1,899.9,906.3,913.2,920.8,928.9,937.3,946.2,955.4,965,975.2,986.2,997.8,1010.2,1022.7,1035.5,1048.5,1061.8,1075.8,1090.5,1106,1122.3,1139.8,1158.5,1178.4,1199.5,1220,1239.8,1258.8,1276.9,1301.2,1331.8,1369,1364.2,1402.1,1433.2,1455.9,1473.1,1486.4,1498.7,1511.6,1527.3,1541.4,1555.2,1567.8,1579.6,1590.5,1602.8,1616.8,1632.9,1646.6,1662,1678.6,1696.1,1712.4,1729.8,1747.3,1765.1,1783.6,1801.3,1818.7,1836.3,1852.3,1867,1880.5,1891.6,1903.8,1915.7,1924.5,1927.6,1927.3,1925.1,1922.6,1923.2,1926,1929.8,1934.3,1938.7,1944.7,1951.6,1959.7,1969.1,1979.2,1988.6,1998.7,2009.9,2021.2,2032.5
"15","7","  Government","A264RX1",157.5,158.6,159.8,160.9,161.8,162.7,163.4,163.8,164.1,164.3,164.4,164.3,164.6,164.8,165,165.3,165.5,166,166.4,166.9,167.3,167.8,168.3,169,169.5,170.2,170.8,171.5,172.3,173.1,173.8,174.6,175.4,176.2,177.1,178,178.8,179.8,180.8,181.7,182.8,184,185.3,186.5,187.8,189.2,190.6,192,193.5,195,196.5,198,199.6,201.3,203,204.9,206.8,208.9,211,213.4,215.9,218.5,221.3,224.3,227.5,230.8,234.2,237.6,241.2,244.7,248.2,251.8,255.3,258.8,262.1,265.4,268.5,271.6,274.5,277.3,280,282.7,285.3,288,290.7,293.2,295.6,297.9,300.1,302.1,304,305.7,307.2,308.6,310,311.2,312.3,313.3,314.2,314.9,315.5,316.1,316.7,317.3,317.8,318.3,318.9,319.6,320.3,321.1,321.9,322.8,323.7,324.3,325.2,326.3,327.5,328.8,330.3,331.9,333.6,335.3,337,338.7,340.4,342.2,343.9,345.7,347.5,349.3,351.1,352.9,354.6,356.5,358.7,360.9,363,365.5,368,370.8,373.6,376.4,379.3,382.2,385.2,388.1,391.2,394.3,397.4,400.6,403.8,407.1,410.4,413.7,417.1,420.5,424,427.5,431.2,435,438.9,442,444.3,445.8,449.5,452.7,455.7,458.2,460.3,462.4,464.2,466,467.7,469.2,470.7,472,473.3,474.5,475.9
"16","8","    General government","A265RX1",144.9,145.8,146.9,147.9,148.7,149.4,150,150.2,150.4,150.4,150.5,150.2,150.4,150.4,150.5,150.6,150.7,150.9,151.2,151.5,151.8,152,152.5,152.9,153.3,153.8,154.3,154.8,155.5,156.1,156.6,157.3,158,158.6,159.4,160.2,160.9,161.7,162.5,163.3,164.2,165.3,166.3,167.4,168.5,169.7,170.9,172.1,173.3,174.6,175.9,177.3,178.7,180.1,181.7,183.3,185.1,186.9,188.9,191,193.2,195.6,198.2,200.9,203.8,206.9,210,213.2,216.4,219.7,223,226.3,229.6,232.7,235.8,238.8,241.7,244.6,247.2,249.8,252.2,254.6,257,259.4,261.8,264.1,266.2,268.2,270.1,271.8,273.4,274.8,276.1,277.2,278.3,279.2,280,280.7,281.3,281.8,282.2,282.5,282.9,283.2,283.5,283.8,284.3,284.7,285.2,285.7,286.3,286.9,287.6,288.1,288.8,289.6,290.5,291.6,292.7,293.9,295.3,296.5,297.9,299.2,300.5,302,303.4,304.9,306.4,307.9,309.4,310.9,312.3,313.9,315.6,317.5,319.1,321.2,323.4,325.7,328,330.4,332.9,335.5,338.1,340.7,343.4,346.3,349.1,352,354.9,357.9,360.9,364,367.1,370.2,373.4,376.6,379.9,383.4,386.9,389.6,391.6,392.9,396.1,399.1,401.7,403.9,405.7,407.5,409.2,410.7,412.1,413.5,414.7,415.9,417,418,419.2
"17","9","    Government enterprises","A266RX1",11.8,11.9,12.1,12.2,12.3,12.5,12.7,12.8,13,13.1,13.3,13.4,13.6,13.7,14,14.1,14.3,14.5,14.7,14.9,15.1,15.2,15.5,15.6,15.8,16,16.1,16.3,16.5,16.6,16.8,16.9,17,17.2,17.3,17.5,17.6,17.8,17.9,18.1,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.7,21.8,22.1,22.3,22.5,22.7,23,23.2,23.5,23.7,24,24.3,24.5,24.8,25,25.2,25.5,25.7,26,26.2,26.4,26.7,26.9,27.2,27.4,27.7,28,28.2,28.5,28.8,29.1,29.3,29.6,29.9,30.2,30.5,30.8,31.1,31.4,31.8,32.1,32.4,32.6,32.9,33.1,33.4,33.6,33.8,34,34.3,34.5,34.7,35,35.3,35.5,35.8,35.9,36.1,36.4,36.7,37,37.4,37.7,38.1,38.6,38.9,39.3,39.7,40.1,40.4,40.7,41,41.3,41.6,41.9,42.3,42.6,43,43.4,43.8,44.2,44.7,45.1,45.6,46,46.4,46.8,47.1,47.4,47.7,48,48.3,48.6,48.9,49.2,49.5,49.8,50.1,50.4,50.7,51,51.3,51.6,52,52.3,52.7,53,53.3,53.7,54,54.3,54.6,54.8,55.1,55.3,55.5,55.7,55.9,56.1,56.3,56.5,56.7
"18","10","Equals: Net national product","A027RX1",4299.9,4307.1,4329,4300.8,4286.7,4290.2,4326.9,4268.2,4398.8,4424.1,4454.5,4465.9,4552.2,4664.8,4708.9,4788.9,4919.3,4976.5,4945.6,4990.1,4945.3,4949.4,4882.4,4845.7,4764.7,4801.6,4890.9,4970,5091.7,5131.6,5155.3,5193.5,5262.9,5371.5,5470.8,5454.9,5476,5699.7,5757.9,5844,5847.2,5852.1,5904.2,5910,5922.8,5767,5741.8,5840.2,5976.1,5911.6,5984.7,5901.8,5771.3,5807.4,5760.4,5755.5,5835.4,5987.2,6116,6255.2,6382.4,6500.2,6559.7,6597.1,6642.7,6700.1,6796.5,6846.2,6900,6910.2,6980.8,6996.9,7042.5,7126.6,7187.1,7315.2,7358.8,7454.9,7486.9,7592.9,7667.6,7722.7,7780.5,7796.2,7879.8,7905.5,7888.5,7833.6,7763.3,7807.5,7836.6,7879.5,7979,8071.6,8149.3,8235.7,8253.5,8290.2,8333.8,8430,8524,8640.7,8684.1,8783.2,8815.6,8839.6,8893.4,8966.9,9028.4,9184.1,9261,9363.5,9416.1,9571.1,9681.1,9736.4,9835.5,9918.7,10029.9,10202.7,10303.3,10382.7,10498,10680.4,10714.8,10911.5,10886.5,10958.3,10884.6,10947,10865.3,10956.9,11012.1,11043.6,11106.2,11116.8,11152.9,11278.9,11486.4,11651.5,11733.4,11791.7,11905,11972.7,12141.6,12186,12291.5,12317.3,12472.8,12489.9,12466.6,12570.7,12559.2,12675.7,12816,12899.9,12767.8,12827.3,12752.8,12338.5,12128.6,12107.6,12199.6,12351.2,12410,12546,12634.5,12744.5,12719.5,12827.7,12889.6,13058.8,13162.1,13206.5,13290.5,13292.9,13305.5,13397.1,13538.6
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",4661,4693,4727.8,4719.4,4686.3,4686.1,4724.6,4680.3,4773.5,4804.9,4846.4,4908,4978.3,5042.1,5124.2,5255.7,5349.6,5379,5396.9,5453.5,5411.4,5389.6,5361.3,5297.4,5236.9,5281.2,5387.9,5443.2,5556.5,5591.4,5632.7,5649.9,5701.2,5846.8,5959.3,5994.2,6031.3,6210,6250.8,6306.5,6365.4,6331.4,6338.3,6364.8,6369.2,6250.5,6296.7,6457,6507.5,6507.9,6598.7,6524.1,6471.4,6497.3,6472,6445.1,6517,6627.9,6718.6,6872.2,7062.8,7177,7255.9,7334.7,7399.5,7453.5,7544.8,7587.6,7664.8,7685,7736.2,7797.4,7875.9,8000.9,8120.5,8227.1,8326.7,8423.7,8498.5,8615.8,8672.5,8655.5,8688.5,8695.1,8786,8835.8,8827.5,8785.4,8774,8797,8820.3,8853.3,9007.9,9081.5,9110.5,9199.8,9162.2,9275,9290.8,9472.2,9523.2,9673.3,9764.4,9876.7,9923.2,9980.7,10103,10167.2,10277.9,10432.5,10530.9,10662.3,10784.3,10911.4,11093.8,11238.9,11358.9,11521.7,11685.2,11793,11951.1,12025.7,12136.4,12334.7,12587.4,12657.2,12751,12728,12873.4,12851.6,12805.4,12741.1,12906.6,12984.7,13001.3,13075.6,13096.2,13220.5,13346.1,13474.1,13578.4,13724.6,13877.3,13944.5,14083.3,14188.6,14310.6,14504.7,14782,14803.9,14863.4,14919.7,14882.9,14904.7,14823.1,14816.1,14843.5,14834,14772.4,14485.6,14260.6,14258.4,14328.2,14535.4,14552.8,14653.4,14840.1,14900.5,14975.4,15061.5,15142.2,15238.8,15441.9,15418,15451.9,15636,15730.6,15855.4,15910.4
"21","12","  Gross national income \2\","A023RX1",4699.6,4730.7,4764.1,4755.7,4723.2,4724,4762.1,4715.2,4813.8,4847.1,4885.2,4948.8,5020.5,5083.8,5169,5300.6,5400.4,5432.8,5458.3,5515.4,5482.7,5457.5,5423.5,5351.7,5283.4,5328.3,5438.4,5502,5614,5651,5692.9,5711.3,5770.5,5915.1,6027.1,6055.3,6100.8,6269.3,6314.9,6379.3,6439.8,6413.9,6435.5,6461.2,6467.4,6341.6,6382.9,6528.6,6583.4,6580,6675,6608.8,6551.8,6586.7,6548.8,6519.4,6590.7,6705.9,6798.1,6954.5,7139.9,7254.4,7332.8,7404,7455.4,7511.8,7594.1,7641.9,7713.3,7721.7,7776.5,7826.7,7908.2,8039.1,8158,8267.4,8375.4,8468.6,8538.7,8659.5,8715.3,8696.3,8733.1,8749.2,8837.2,8889.5,8873.5,8864.6,8835.8,8842.4,8860.4,8904.7,9058.7,9131.2,9156.1,9246.9,9219.6,9323.1,9346.6,9506.6,9566.8,9710.7,9799.5,9910.3,9968.8,10029.4,10133.1,10212.6,10332,10475.7,10569.8,10708.2,10819.4,10956.1,11128.8,11265,11396.6,11555.5,11702.5,11813.3,11982.6,12063.6,12170.6,12381.4,12629.4,12702.7,12790.8,12797.7,12926.2,12915,12841.3,12852.3,12971.3,13027.1,13060.3,13154.1,13159.1,13299.3,13424.6,13582.8,13707,13823.8,13987.9,14025.7,14201.2,14293.5,14425.8,14587.5,14866.8,14882.8,14927.8,14994.8,14958.4,15002.4,14979.2,15018.7,15030.2,15022.1,14975.9,14609,14383.9,14378.3,14494.5,14714.8,14738,14840.6,15021.3,15095.9,15200.5,15285.7,15386.4,15482.4,15660.5,15646.6,15669.1,15861,15936.3,16069.4,16139.4
"22","13","  Net domestic product","A362RX1",4260.4,4268.7,4292,4263.9,4249,4251.5,4288.6,4232.7,4357.7,4381,4414.8,4424.5,4509.1,4622.1,4663.2,4743.3,4867.6,4921.7,4882.9,4926.9,4872.4,4880,4818.8,4790.1,4717.3,4753.7,4839.5,4909.8,5032.9,5070.7,5093.8,5130.6,5191.8,5301.6,5401.4,5392.7,5404.9,5639.1,5692.3,5769.6,5771,5767.5,5804.3,5810.8,5821.9,5673.4,5653.3,5767.1,5898.4,5838.1,5906.9,5815.2,5689.2,5715.8,5681.9,5679.8,5760.3,5907.6,6034.8,6171,6303.8,6421.2,6481.3,6526.6,6586.2,6640.9,6746.7,6791.3,6851,6873.6,6940.3,6967.8,7010.3,7088.4,7149.9,7275,7309.8,7410,7446.8,7549.1,7624.9,7681.8,7735.8,7741.8,7828.3,7851.5,7842.5,7753.5,7701,7762,7796.7,7827.9,7928.2,8021.8,8103.6,8188.6,8195.8,8241.9,8277.7,8395.8,8480.3,8603.3,8649.2,8750,8770.1,8790.8,8863.6,8921.6,8974.3,9141,9222.3,9317.7,9381.4,9526.6,9646.5,9710.7,9798.3,9885.3,10013.2,10182.9,10272.2,10345.2,10464.3,10634.2,10673.5,10866.3,10847.2,10888.9,10832.3,10883.9,10829.9,10845.7,10947.7,11001.7,11047.6,11038.7,11090.4,11200.3,11408.1,11543.1,11605,11692.5,11794.5,11891.6,12023.8,12081.3,12176.5,12234.7,12388.4,12411.4,12402.7,12496,12484.1,12578.1,12660,12697.3,12581.1,12639.1,12549,12215.1,12005.4,11987.7,12033.3,12171.9,12224.9,12359,12453.3,12549.2,12494.5,12603.6,12645.6,12815.4,12943.6,12978.2,13073.6,13067.9,13099.9,13183,13309.6
"23","14","  Net domestic income \3\","W256RX1",4233.3,4259.4,4288,4272.7,4231.8,4225.5,4259.3,4208.2,4299.5,4326.8,4364.3,4422.9,4489.8,4549,4626.2,4753.8,4841.8,4863.3,4873.5,4924,4872.7,4843,4806.7,4734.1,4665.5,4705.7,4810.9,4862.6,4974.7,5004.7,5040.7,5051.2,5096.4,5239.4,5347.4,5374.4,5403.5,5579.5,5611.3,5658.2,5707.7,5660.7,5656.4,5673,5666.7,5532.2,5570.4,5728.3,5771.8,5762.6,5847.4,5758.9,5692.7,5709.6,5673.6,5637.1,5704,5810.7,5895.6,6044.5,6231.1,6336.9,6404.9,6471.3,6522.1,6562,6641.2,6670.7,6736.3,6743,6781.4,6829.7,6896,7010.8,7120.2,7216.5,7305.8,7392.6,7456.3,7563.6,7608.6,7577.6,7598.4,7592.1,7672.5,7711.7,7691.9,7638.2,7616.7,7631,7645.8,7670.9,7820.6,7886.9,7906.9,7988.1,7939.1,8043.2,8048.2,8221.6,8261.9,8402.3,8481.7,8582,8614.5,8657.9,8767.1,8817,8913.8,9054.2,9136.6,9251.6,9356.1,9464.9,9628.2,9751.8,9848.8,9989.6,10131.8,10218.2,10356.5,10403.8,10480.8,10639.2,10898.6,10925.4,10984.5,10935.1,11061.6,11023.9,10962.3,10882,11030.3,11092.2,11092.5,11151.8,11158.2,11269.1,11380.1,11491.4,11576.8,11706.4,11840.9,11888.4,12006.8,12092.8,12194.3,12368.1,12625.2,12624.7,12662.9,12698.4,12639.7,12641.5,12541.1,12516.7,12529.2,12503.4,12426,12125.7,11893.8,11889.2,11959,12167,12180.1,12274.6,12454.1,12507.4,12575.6,12653.6,12725.5,12812.2,13003.8,12968.6,12991.7,13163.9,13246.2,13358.5,13400.8
"24","15","  Net domestic purchases","W367RX1",4380,4382.6,4409.6,4368.8,4350.4,4346.1,4384.5,4328.7,4452.8,4497.1,4526.6,4541,4639.2,4752.5,4783.9,4867.4,4987,5014.9,4963.3,4990.8,4914.3,4922.8,4878.2,4833.1,4709.5,4727.1,4853.8,4921.5,5075.7,5128.7,5157.8,5206.6,5300.5,5403.5,5492.7,5507,5545,5732.9,5788.1,5852.7,5851.7,5850,5856.7,5841,5835.8,5624.5,5557,5707.5,5853.1,5791,5865.3,5790.2,5674,5686.8,5707.4,5707.1,5792.6,5982.5,6149.6,6306.9,6482.7,6616.8,6683.8,6739.9,6781.7,6873.6,6980.5,7038.6,7080.5,7129.9,7205.9,7218.5,7255.5,7330.3,7382.1,7503.6,7497,7566.5,7610.1,7717.6,7775,7802.2,7846.6,7857.2,7938.1,7949.4,7930.3,7808.3,7740.4,7786.7,7826.4,7858.1,7948.8,8057.3,8134.9,8238.2,8264.5,8320.1,8371.7,8500.8,8600.4,8731.2,8771.8,8881.2,8907.1,8924.4,8954.7,9012.4,9091.2,9267.7,9380.6,9431.1,9527.7,9669.7,9811,9907.1,10041.4,10175.2,10329,10501.8,10634.6,10742.5,10887.3,11060.7,11148.6,11355,11365.6,11422.7,11350.8,11395,11364.6,11395.4,11520.3,11596.7,11661.6,11697.1,11738,11876.4,12073.3,12221.6,12304.6,12448,12567.2,12684.5,12820.9,12870.1,12970.4,13058,13204.6,13225.5,13240.5,13266.5,13271.5,13346.4,13371,13324.8,13211.2,13191.4,13069.1,12744.7,12454,12348.6,12412.6,12551.9,12638.7,12836.2,12962.2,13009.2,12954.4,13043.8,13081.8,13273.5,13384.1,13414.6,13510.7,13479,13521.6,13607.3,13731.2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
