"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","  Intellectual property products","Y001RC1",17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,317.7,364,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,596.6,625
"24","17","    Software \5\","B985RC1",1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,126,157.3,184.5,186.6,183,191,205.1,217.2,228.9,244.2,258.5,256.8,252,267.6,281.6
"25","18","    Research and development \6\","Y006RC1",11,11.5,11.9,12.9,14.6,16.4,17.5,19.6,21.8,24.9,29.1,34.2,39.7,44.8,49.6,56.9,63,66.5,69.2,75.5,82.8,89.3,96,98.6,99.2,101.3,112,123.6,134.4,143.3,155.7,169.5,171.3,165.7,167.2,173,188.1,204.5,223.3,237.7,229,240.2,255.2,269.1
"26","19","    Entertainment, literary, and artistic originals","Y020RC1",4.4,4.1,4.4,4.9,4.9,5.2,5.5,7.4,8.6,9.1,10.9,10.3,13.2,13.9,15.3,17.8,18.6,21.4,21.9,23,25.4,27.5,29.4,31.2,33.4,36.1,40.2,44.3,46.1,48.3,51,55.6,54.7,57.6,62.7,64.1,69.8,71.2,70.4,67.2,65.1,72.2,73.8,74.3
"27","20","Residential","A011RC1",44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513,557.6,636.9,749.7,856.1,837.4,688.7,515.9,392.2,381.1,385.8,439.2
"28","21","  Structures","A012RC1",43.4,42.3,56.9,70.9,76.6,67.6,64.8,84.6,112.8,135.3,144.7,126.1,124.9,107.2,156.9,185.6,195,229.3,244,250.1,249.9,233.7,215.4,248.8,280.7,317.6,317.7,351.7,369.3,412.1,454.5,477.7,505.2,549.6,628.7,740.7,846.4,827.4,678.8,506.5,383.9,372.7,377.2,430.2
"29","22","    Permanent site","A943RC1",29.2,27.1,38.7,50.1,54.6,43.4,36.3,50.8,72.2,85.6,89.3,69.6,69.4,57,95,114.6,115.9,135.2,142.7,142.4,143.2,132.1,114.6,135.1,150.9,176.4,171.4,191.1,198.1,224,251.3,265,279.4,298.8,345.7,417.5,480.8,468.8,354.1,230.1,133.9,127.3,123.2,154.2
"30","23","      Single family","A944RC1",19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,52.9,52,41.5,72.5,86.4,87.4,104.1,117.2,120.1,120.9,112.9,99.4,122,140.1,162.3,153.5,170.8,175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416,305.2,185.8,105.3,112.6,108.2,132
"31","24","      Multifamily","C292RC1",9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10,12.8,17,16.7,17.5,15.5,22.4,28.2,28.5,31,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.3,33,35.1,39.9,47.3,52.8,49,44.3,28.5,14.7,15,22.2
"32","25","    Other structures \7\","A863RC1",14.1,15.2,18.2,20.8,22,24.2,28.5,33.9,40.6,49.7,55.4,56.5,55.4,50.2,61.9,71,79.1,94.1,101.3,107.7,106.6,101.5,100.8,113.8,129.8,141.2,146.3,160.6,171.3,188.2,203.2,212.7,225.8,250.7,283,323.2,365.6,358.6,324.7,276.4,250.1,245.5,254,275.9
"33","26","  Equipment","B013RC1",1,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6,5.7,5.9,6.1,6.2,6.3,6.3,6.3,6.7,7.3,7.7,7.8,8,8.3,9,9.6,10,9.9,9.3,8.3,8.3,8.6,9
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Private fixed investment in structures","A349RC1",81.1,82.6,99.6,118,131.6,128.8,126.2,150.6,187.4,228.9,262.4,262.3,292.2,284.7,311.2,363,389.5,405.8,418.2,432.9,443.6,436.6,399,421.4,457.9,504.4,525,576.3,619.6,687.3,738.5,795.9,835,832.5,910.5,1042.5,1192.1,1242.9,1175.7,1058.9,822.1,734.8,757.8,867.5
"36","28","  Private fixed investment in new structures","W040RC1",77.6,78.8,94.8,112.2,124.9,121.2,116.6,139,172.6,210.2,242.1,244.4,276.4,271.1,290.1,338.6,360.4,371.1,380.6,391.3,403.3,398.4,359.7,377.5,409.9,451.7,471.7,515.8,552.1,607.7,651.2,703.6,731.6,718.5,775.1,880.1,1003.1,1069.5,1034.5,954.4,730.8,647.4,668.9,763.6
"37","29","    Nonresidential structures \8\","A771RC1",37.5,40.2,42.7,47.2,54.9,61.1,61.2,65.8,74.3,93.2,117.4,136,167.2,177.4,154.3,177.2,194.2,176.3,173.9,182.3,193.3,202.8,183.7,172.7,177.1,186.6,206.9,223.9,248.5,274.3,283.2,317.2,325.8,282.6,281.9,301.2,344.2,414.3,496.5,551.7,438,362.5,381,437.4
"38","30","    Residential structures \9\","A756RC1",40.1,38.6,52.1,65,70,60.1,55.4,73.1,98.2,117,124.7,108.5,109.2,93.7,135.8,161.4,166.2,194.9,206.7,209,210,195.6,176.1,204.8,232.8,265.2,264.8,291.9,303.7,333.4,368.1,386.4,405.8,435.8,493.2,578.9,658.9,655.2,538.1,402.7,292.8,284.9,288,326.2
"39","31","  Private fixed investment in information processing equipment and software","A679RC1",14.6,16.6,17.3,19.5,23.1,27,28.5,32.7,39.2,48.7,58.5,68.8,81.5,88.3,100.1,121.5,130.3,136.8,141.2,154.9,172.6,177.2,182.9,199.9,217.6,235.2,263,290.1,330.3,366.1,417.1,478.2,452.5,419.8,432,458.2,479.9,511.2,547.4,549.8,512.9,528.7,547.9,566.2
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
