"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"11","3","  Goods","DGDSRD3",33.323,33.725,34.105,34.423,34.754,35.039,35.282,35.675,35.863,36.203,36.4,36.503,36.87,36.987,37.273,37.534,38.137,39.021,39.767,40.658,42.267,43.675,45.028,46.334,46.998,47.347,48.242,48.897,49.143,49.312,49.922,50.633,51.449,52.176,52.716,53.36,54.086,55.23,56.133,57.1,58.483,60.172,61.738,63.248,65.519,67.112,68.482,69.876,71.599,72.486,73.197,73.809,74.228,74.385,75.147,75.236,75.235,75.979,76.505,76.63,77.252,77.441,77.612,77.849,78.343,78.725,78.787,79.271,79.016,77.892,78.252,78.52,79.879,80.667,81.365,81.812,81.936,82.629,83.543,84.158,85.052,86.531,86.553,86.919,88.523,88.863,90.12,91.75,91.687,91.863,92.028,92.406,92.513,92.905,93.38,93.609,93.78,93.862,93.755,94.255,94.153,94.48,95.349,95.472,95.589,95.787,95.813,95.835,96.471,96.895,96.713,97.144,97.261,96.738,96.467,96.339,95.589,95.207,95.175,94.999,94.892,95.576,96.049,96.38,97.144,97.608,97.874,97.981,97.976,98.146,97.631,96.545,96.091,96.74,96.714,96.701,97.322,95.911,96.404,96.355,97.191,97.715,97.803,98.979,98.864,99.088,100.833,101.187,101.089,101.707,102.245,100.73,101.511,102.64,102.78,104.107,105.336,106.585,108.411,103.227,101.372,102.446,103.885,104.683,105.021,104.279,104.536,105.557,107.263,108.817,109.63,109.567,110.254,109.741,110.262
"12","4","    Durable goods","DDURRD3",54.323,54.735,55.001,55.344,55.444,55.666,56.073,57.005,57.806,58.212,58.08,57.78,58.278,58.574,58.871,58.681,58.921,59.391,59.697,59.912,60.606,62.154,64.514,66.5,67.486,68.663,69.399,70.471,71.449,72.262,73.15,74.394,75.229,75.61,76.391,77.408,78.512,79.707,81.003,82.429,83.782,85.269,86.256,87.813,90.388,92.523,94.215,95.837,97.064,98.897,100.355,101.647,102.481,103.264,103.621,103.914,104.641,105.03,105.608,106.271,106.312,106.981,107.199,107.401,107.952,108.202,108.013,108.283,108.293,108.782,109.686,110.309,111.247,112.125,112.934,113.399,113.207,113.837,114.649,115.502,116.086,116.18,116.443,116.825,117.448,117.461,117.512,117.749,118.754,119.051,119.492,119.748,119.744,120.07,120.167,120.351,120.285,120.915,121.501,122.303,122.587,123.322,124.195,124.412,124.917,124.786,124.387,124.113,124.206,123.387,123.067,122.536,122.065,120.893,120.089,119.427,118.558,117.679,116.778,115.901,114.911,114.325,113.78,113.085,112.544,112.307,111.622,111.348,110.851,110.068,109.335,108.775,107.793,107.23,106.707,105.98,104.715,103.631,102.6,101.665,101.592,101.478,100.716,100.736,100.595,100.367,99.62,99.434,99.108,98.625,98.129,97.608,97.147,96.735,96.115,95.75,95.426,94.775,94.522,93.685,93.121,93.062,92.458,92.699,92.358,91.9,91.369,90.88,90.759,91.109,90.963,90.382,90.158,89.889,89.357
"13","5","    Nondurable goods","DNDGRD3",25.721,26.08,26.445,26.726,27.07,27.336,27.52,27.767,27.813,28.104,28.348,28.528,28.836,28.903,29.158,29.495,30.128,31.039,31.831,32.811,34.507,35.768,36.774,37.812,38.344,38.478,39.333,39.838,39.891,39.89,40.387,40.911,41.659,42.422,42.862,43.363,43.94,44.993,45.732,46.512,47.809,49.432,51.037,52.425,54.45,55.785,56.968,58.198,59.913,60.503,60.977,61.38,61.667,61.664,62.459,62.492,62.316,63.095,63.571,63.543,64.286,64.328,64.474,64.707,65.157,65.557,65.689,66.21,65.88,64.311,64.477,64.617,66.056,66.78,67.413,67.833,68.052,68.735,69.643,70.155,71.116,72.992,72.933,73.275,75.131,75.563,77.152,79.15,78.756,78.883,78.954,79.351,79.487,79.882,80.458,80.693,80.936,80.833,80.498,80.874,80.642,80.814,81.65,81.736,81.713,82.019,82.195,82.323,83.133,84.001,83.876,84.656,84.995,84.739,84.685,84.775,84.095,83.925,84.261,84.388,84.668,85.903,86.829,87.62,88.984,89.774,90.488,90.782,91.025,91.663,91.26,89.911,89.721,90.991,91.229,91.597,93.204,91.632,92.952,93.386,94.717,95.588,96.146,97.97,97.865,98.343,101.541,102.202,102.235,103.496,104.642,102.548,104.07,106.119,106.71,109.046,111.187,113.545,116.573,108.909,106.328,108.023,110.612,111.731,112.458,111.556,112.27,114.178,116.971,119.239,120.627,120.88,122.138,121.473,122.668
"14","6","  Services","DSERRD3",16.961,17.193,17.422,17.664,17.904,18.153,18.379,18.649,18.901,19.15,19.418,19.601,19.816,19.98,20.178,20.367,20.538,20.862,21.224,21.622,22.067,22.588,23.113,23.622,24.161,24.563,25.019,25.513,25.935,26.27,26.736,27.196,27.734,28.283,28.829,29.295,29.859,30.459,31.029,31.661,32.108,32.94,33.72,34.529,35.386,36.259,37.194,38.248,39.199,39.993,40.865,41.712,42.469,43.12,43.98,44.802,45.478,45.877,46.696,47.181,47.784,48.508,49.085,49.506,50.189,50.658,51.186,51.658,52.42,53.009,53.504,54.042,54.606,55.048,55.679,56.279,57.028,57.748,58.511,59.166,59.935,60.563,61.103,61.738,62.541,63.498,64.254,64.913,65.616,66.178,66.915,67.598,68.394,68.975,69.485,70.062,70.522,71.12,71.562,71.952,72.448,72.912,73.462,73.963,74.544,75.14,75.627,76.132,76.543,77.134,77.774,78.423,79.007,79.582,80.059,80.574,80.986,81.462,81.902,82.382,82.837,83.239,83.687,84.245,85.044,85.404,86.05,86.745,87.7,88.268,88.547,89.165,89.71,90.458,91.175,91.845,92.547,93.381,94.052,94.744,95.503,96.307,97.171,97.744,98.699,99.513,100.296,101.461,102.165,102.995,103.842,104.63,105.753,106.515,107.337,108.306,109.213,110.389,111.208,111.539,111.617,111.725,112.224,113.064,113.645,114.279,114.683,115.053,115.5,116.19,116.769,117.268,117.986,118.573,119.085
"15","7","Gross private domestic investment","A006RD3",30.484,30.717,30.926,31.407,31.708,32.288,32.191,32.599,33.186,33.611,34.015,34.325,34.549,34.81,35.29,36.102,36.144,36.539,37.366,38.348,38.807,40.318,41.564,42.918,44.495,45.699,46.22,46.843,47.101,47.932,48.659,49.694,50.723,51.169,51.733,54.238,54.738,55.625,56.525,57.89,58.919,60.511,62.326,63.719,64.911,66.442,67.801,69.099,71.085,73.083,73.975,75.592,76.307,76.997,77.594,77.812,77.26,76.935,76.801,77.062,77.273,77.432,77.561,77.892,77.925,78.23,78.233,78.909,79.241,79.891,80.235,80.573,81.177,81.344,81.461,82.276,83.005,83.353,83.355,83.951,84.829,85.261,85.503,86.085,86.498,86.72,87.231,87.512,88.237,88.25,88.434,88.249,87.649,87.831,88.081,88.282,88.599,88.95,89.11,89.404,89.769,89.968,90.452,90.602,90.857,91.119,91.483,91.38,91.236,91.028,90.324,90.806,91.329,90.034,90.367,90.155,89.699,89.362,89.306,89.453,89.681,89.295,89.268,89.092,89.788,90.046,90.504,90.744,90.684,90.879,91.262,91.423,91.364,91.39,91.283,91.875,92.323,92.136,92.409,93.046,94.087,95.151,96.119,97.099,98.196,99.25,100.54,101.948,103.099,103.931,104.58,105.529,106.163,106.231,106.302,106.448,106.323,106.983,107.839,109.648,108.566,106.756,105.078,104.558,104.338,104.755,104.867,105.143,105.674,106.295,106.797,106.63,107.234,107.545,107.771
"16","8","  Fixed investment","A007RD3",29.391,29.711,29.964,30.359,30.585,31.276,31.175,31.535,32.081,32.54,32.927,33.229,33.644,33.862,34.2,34.693,35.036,35.654,36.413,36.88,37.598,38.698,40.224,41.849,43.307,44.316,44.825,45.492,45.944,46.738,47.39,48.129,49.183,50.122,51.259,52.363,53.355,54.476,55.529,56.651,57.864,59.376,60.844,62.079,63.521,64.995,66.395,67.832,69.642,71.205,72.401,73.807,74.824,75.693,76.103,76.211,75.848,75.535,75.422,75.517,75.587,75.92,76.157,76.367,76.599,76.71,77.035,77.537,77.894,78.488,79.169,79.706,79.959,80.058,80.203,80.863,81.585,82.085,82.463,83.265,83.68,84.189,84.541,84.986,85.463,85.74,86.283,86.816,87.446,87.431,87.393,87.098,86.934,86.971,87.106,87.332,87.815,88.085,88.297,88.426,88.916,89.193,89.536,89.737,90.107,90.405,90.528,90.529,90.236,89.961,90.226,90.173,90.029,89.92,89.942,89.801,89.332,89.077,89.004,88.943,89.071,89.058,88.933,89.054,89.611,89.909,90.317,90.478,90.445,90.772,91.181,91.176,91.131,91.126,91.084,91.705,92.219,92.005,92.248,92.993,93.929,95.053,96.086,96.988,98.138,99.226,100.587,101.975,103.12,104.005,104.648,105.66,106.265,106.363,106.352,106.46,106.719,107.09,107.951,108.723,108.063,106.544,105.371,105.167,104.768,104.759,105.063,105.488,105.857,106.492,106.969,107.326,107.636,107.951,108.243
"17","9","    Nonresidential","A008RD3",38.106,38.46,38.865,39.351,39.773,40.465,40.692,41.229,41.803,42.304,42.678,42.938,43.423,43.743,44.017,44.264,44.615,45.236,45.918,46.405,47.243,48.749,50.827,53.154,55.218,56.642,57.352,58.147,58.819,59.537,60.318,61.205,62.495,63.454,64.575,65.704,66.63,67.752,68.854,70.037,71.571,73.176,74.752,76.159,77.859,79.667,81.351,83.024,85.361,87.452,89.026,90.869,92.115,93.125,93.568,93.627,92.921,92.338,91.991,91.848,91.761,92.043,92.11,92.202,92.414,92.524,92.829,93.26,93.428,94.066,94.713,95.157,95.158,95.008,94.9,95.652,96.503,96.974,97.354,98.315,98.713,99.074,99.52,100.015,100.476,100.772,101.472,102.258,103.151,102.979,102.705,102.37,102.24,101.945,101.888,101.738,102.059,102.119,102.096,102.123,102.439,102.649,102.748,102.529,102.627,102.915,102.953,102.748,102.151,101.545,101.53,101.262,100.853,100.511,100.235,99.756,98.948,98.324,97.86,97.435,97.279,96.877,96.395,96.301,96.522,96.626,96.949,96.89,96.369,96.403,96.379,96.105,96.126,95.894,95.665,95.866,95.629,95.28,95.358,95.618,95.908,96.574,97.096,97.696,98.796,99.578,100.235,101.343,102.146,102.954,103.745,104.809,105.412,105.685,105.68,105.793,106.306,106.902,108.235,109.61,108.959,107.449,106.169,105.666,105.165,105.297,105.59,105.973,106.471,107.153,107.66,108.062,108.532,108.847,109.046
"18","10","      Structures","A009RD3",14.116,14.348,14.546,14.824,14.977,15.447,15.492,15.75,16.074,16.439,16.803,17.097,17.432,17.648,17.876,18.219,18.484,18.879,19.408,19.892,20.445,21.347,22.346,23.283,23.951,24.375,24.586,24.874,25.027,25.478,25.853,26.212,27.042,27.525,28.137,28.715,29.312,30.118,30.853,31.699,32.596,33.61,34.665,35.418,36.045,36.783,37.56,38.714,40.34,41.724,42.905,44.378,45.382,45.862,46.004,45.802,45.004,44.542,44.44,44.368,44.418,44.865,45.155,45.425,45.775,45.885,46.129,46.401,46.6,46.84,47.046,47.283,47.285,47.479,47.733,48.2,48.964,49.455,49.942,50.474,50.899,51.497,51.899,52.303,52.748,53.121,53.562,53.888,54.364,54.45,54.425,53.883,53.866,54.087,54.38,54.847,55.328,55.863,56.35,56.852,57.27,57.604,58.304,59.127,59.844,60.241,60.899,61.403,61.454,61.68,62.467,62.898,63.511,64.094,64.815,65.593,66.516,67.231,67.784,68.34,68.831,69.281,69.764,70.36,71.188,71.834,72.596,73.467,74.525,75.67,76.889,77.368,78.101,78.958,79.668,80.601,81.561,81.602,82.205,83.319,85.052,86.992,89.425,92.206,95.073,97.72,101.491,105.853,108.78,111.706,113.855,117.002,118.455,118.995,119.995,121.457,123.077,124.283,126.562,128.968,127.019,122.888,119.717,119.351,119.862,120.659,121.475,122.575,124.054,126.022,127.749,129.15,130.014,131.044,131.36
"19","11","      Equipment and software","A010RD3",57.797,58.104,58.608,59.118,59.765,60.328,60.766,61.449,62.067,62.422,62.485,62.449,62.855,63.137,63.289,63.155,63.413,64.029,64.535,64.704,65.528,67.168,69.876,73.225,76.485,78.799,79.952,81.154,82.327,83.082,84.103,85.374,86.729,87.954,89.305,90.729,91.713,92.785,93.911,95.025,96.793,98.532,100.136,101.858,104.404,106.992,109.24,110.799,112.955,115.029,116.346,117.693,118.565,119.911,120.63,121.124,121.002,120.529,119.96,119.771,119.523,119.423,119.123,118.904,118.8,118.854,119.11,119.586,119.643,120.576,121.558,122.103,122.093,121.561,121.036,121.886,122.56,122.858,122.994,124.161,124.405,124.39,124.759,125.214,125.557,125.676,126.468,127.552,128.664,128.26,127.797,127.74,127.524,126.8,126.436,125.764,125.898,125.557,125.122,124.769,124.972,125.065,124.702,123.748,123.403,123.589,123.183,122.503,121.512,120.394,119.854,119.153,118.107,117.201,116.323,115.094,113.285,111.905,110.872,109.92,109.432,108.603,107.648,107.207,107.109,106.937,107.03,106.507,105.22,104.707,104.047,103.411,103.107,102.399,101.777,101.672,100.933,100.419,100.28,100.198,99.922,100.095,99.898,99.699,100.163,100.264,99.812,99.777,99.81,99.843,100.122,100.415,100.706,100.881,100.479,100.045,100.107,100.444,101.362,102.263,102.185,101.802,101.26,100.668,99.793,99.688,99.797,99.939,100.131,100.424,100.554,100.648,100.992,101.085,101.246
"20","12","    Residential","A011RD3",15.882,16.118,16.18,16.424,16.41,17.021,16.562,16.69,17.122,17.463,17.788,18.062,18.325,18.415,18.729,19.313,19.582,20.075,20.767,21.141,21.627,22.134,22.842,23.446,24.009,24.41,24.626,25.064,25.215,25.958,26.377,26.844,27.486,28.231,29.166,30.045,30.929,31.858,32.689,33.566,34.245,35.434,36.58,37.467,38.442,39.345,40.25,41.247,42.165,42.833,43.371,43.996,44.62,45.263,45.632,45.835,46.053,46.165,46.394,46.811,47.103,47.486,47.948,48.314,48.556,48.657,48.985,49.55,50.141,50.622,51.275,51.878,52.43,52.833,53.287,53.763,54.243,54.732,55.073,55.59,55.996,56.677,56.871,57.217,57.691,57.925,58.194,58.286,58.445,58.702,59.061,58.852,58.658,59.2,59.619,60.402,61.093,61.664,62.225,62.504,63.235,63.605,64.295,65.141,65.941,66.25,66.521,66.884,67.132,67.442,68.19,68.529,68.877,69.207,69.802,70.319,70.512,70.989,71.694,72.365,73.08,73.878,74.51,75.102,76.403,77.142,77.747,78.397,79.446,80.416,81.764,82.329,82.156,82.591,82.904,84.308,86.203,86.248,86.806,88.428,90.507,92.426,94.338,95.76,96.981,98.599,101.198,103.108,104.924,105.994,106.355,107.25,107.823,107.487,107.485,107.643,107.187,106.866,106.122,104.739,104.03,102.479,101.715,102.583,102.583,102.075,102.43,103.025,102.861,103.296,103.643,103.804,103.431,103.746,104.416
