"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"11","3","Less: Income payments to the rest of the world","A655RG3",21.681,22.016,22.355,22.603,22.871,23.222,23.363,23.601,24.017,24.377,24.659,24.824,25.178,25.392,25.571,25.932,26.188,26.687,27.226,27.948,28.502,29.098,29.934,30.586,31.37,31.713,32.292,32.718,32.993,33.329,33.795,34.346,34.813,35.528,36.178,36.811,37.367,38.369,39.124,39.984,40.753,41.602,42.511,43.354,44.352,45.364,46.382,47.635,48.994,49.785,50.919,51.966,52.691,53.253,53.949,54.502,54.781,55.267,55.713,56.09,56.674,57.132,57.588,58.07,58.656,58.94,59.027,59.766,60.202,60.491,61.133,61.751,62.216,62.586,63.194,63.808,64.32,64.976,65.696,66.249,66.989,67.697,68.056,68.639,69.561,70.396,71.271,72.256,72.824,73.221,73.831,74.406,75.19,75.765,76.209,76.604,76.993,77.264,77.456,77.885,78.346,78.817,79.543,80.015,80.405,80.774,81.092,81.442,81.886,82.089,82.501,83,83.539,83.771,83.967,84.317,84.364,84.546,84.791,85.029,85.371,85.803,86.208,86.655,87.498,87.976,88.4,88.86,89.429,89.939,90.109,90.213,90.553,91.207,91.614,92.125,93.045,93.197,93.712,94.151,95.164,96.155,96.839,97.701,98.593,99.334,100.561,101.512,102.209,103.109,103.825,103.989,105.053,105.875,106.417,107.4,108.469,109.727,110.784,109.562,109.029,109.249,109.668,110.344,111.017,111.126,111.238,111.751,112.852,113.722,114.271,NA
"12","4","Equals: Gross national product","A001RG3",22.646,22.948,23.28,23.573,23.9,24.243,24.435,24.745,25.119,25.455,25.709,25.914,26.337,26.491,26.733,27.048,27.403,27.861,28.392,28.88,29.472,30.13,31.068,32.025,32.766,33.243,33.865,34.464,34.853,35.221,35.694,36.306,36.915,37.507,38.026,38.67,39.307,40.067,40.761,41.593,42.356,43.385,44.281,45.157,46.144,47.174,48.249,49.609,50.916,51.825,52.78,53.703,54.457,55.13,55.895,56.489,56.975,57.394,57.98,58.4,59.125,59.657,60.144,60.497,61.187,61.507,61.809,62.186,62.498,62.805,63.199,63.654,64.159,64.524,65.032,65.497,66.023,66.66,67.449,67.996,68.708,69.396,69.871,70.312,71.168,71.992,72.662,73.265,74.047,74.564,75.125,75.549,75.972,76.423,76.763,77.201,77.682,78.108,78.477,78.887,79.32,79.705,80.15,80.574,81.057,81.421,81.767,82.188,82.632,82.938,83.347,83.727,84.151,84.524,84.761,85.079,85.205,85.414,85.733,85.959,86.323,86.687,86.991,87.349,88.012,88.459,88.982,89.433,90.049,90.676,90.968,91.224,91.551,91.953,92.355,92.888,93.544,93.814,94.332,94.828,95.637,96.453,97.159,97.873,98.781,99.442,100.469,101.308,102.059,102.958,103.735,104.206,105.4,106.118,106.459,106.962,107.632,108.292,109.121,109.241,109.696,109.578,109.653,109.957,110.356,110.746,111.139,111.676,112.372,113.08,113.799,NA
"13","5","Less: Consumption of fixed capital","A262RG3",29.203,29.571,29.909,30.32,30.765,31.122,31.382,31.577,32.191,32.698,33.093,33.432,33.75,34.01,34.332,34.699,35.063,35.578,36.216,36.971,37.97,39.214,40.655,42.097,43.507,44.604,45.506,46.202,46.679,47.245,47.906,48.694,49.662,50.563,51.438,52.416,53.424,54.475,55.577,56.664,57.825,59.138,60.525,61.945,63.402,65.016,66.634,68.354,70.123,71.729,73.173,74.472,75.656,76.535,77.062,77.21,77.092,77.046,77.179,77.292,77.563,77.798,77.975,78.169,78.305,78.453,78.744,79.081,79.418,79.822,80.124,80.359,80.522,80.737,81.131,81.617,82.309,82.915,83.462,83.989,84.428,84.861,85.298,85.734,86.17,86.594,87.053,87.507,87.937,88.222,88.425,88.471,88.365,88.322,88.196,88.113,88.701,89.127,89.451,89.701,89.895,90.198,90.559,91.044,91.546,91.868,92.015,92.064,91.914,91.785,91.739,91.725,91.762,91.757,91.636,91.528,91.258,91.092,91.005,90.973,90.987,91.118,91.293,91.579,92.085,92.269,92.438,92.62,92.751,92.924,93.097,93.218,93.143,93.206,93.235,93.324,93.466,93.76,94.106,94.466,95.005,95.817,96.693,97.566,98.359,99.37,100.521,101.75,102.744,103.629,104.304,104.899,105.822,106.265,106.577,107.016,107.388,108.098,108.922,109.282,108.769,107.612,106.658,106.689,106.595,106.719,106.861,107.279,107.758,108.607,109.21,109.609
"14","6","        Private","A024RG3",30.298,30.646,31.029,31.442,31.885,32.193,32.372,32.428,33.08,33.624,34.066,34.408,34.655,34.92,35.204,35.504,35.822,36.311,36.962,37.767,38.717,39.839,41.131,42.594,44.226,45.548,46.571,47.301,47.749,48.344,49.081,49.954,50.956,51.972,52.999,54.037,55.08,56.189,57.357,58.579,59.851,61.19,62.596,64.066,65.599,67.203,68.877,70.623,72.441,74.101,75.603,76.947,78.136,78.958,79.428,79.56,79.362,79.278,79.304,79.435,79.669,79.884,80.076,80.243,80.385,80.607,80.907,81.285,81.743,82.115,82.401,82.602,82.724,83.003,83.438,84.024,84.76,85.425,86.021,86.549,87.009,87.457,87.894,88.322,88.74,89.158,89.577,90.001,90.431,90.728,90.893,90.929,90.838,90.695,90.501,90.256,90.788,91.208,91.521,91.73,91.838,92.046,92.349,92.743,93.222,93.518,93.637,93.586,93.37,93.215,93.118,93.076,93.084,93.015,92.87,92.651,92.362,92.139,91.978,91.877,91.832,91.879,92.014,92.231,92.69,92.798,92.899,93.063,93.183,93.348,93.537,93.669,93.546,93.588,93.594,93.658,93.756,94.091,94.483,94.901,95.43,96.14,96.863,97.585,98.372,99.371,100.487,101.77,102.818,103.526,104.114,104.57,105.321,105.669,105.894,106.229,106.473,107.099,107.842,108.035,107.413,106.165,105.162,105.222,105.038,105.109,105.232,105.647,106.061,106.875,107.4,107.738
"15","7","        Government","A264RG3",25.079,25.479,25.686,26.07,26.496,26.963,27.422,27.975,28.466,28.855,29.11,29.428,29.927,30.159,30.576,31.129,31.623,32.206,32.782,33.357,34.471,36.07,37.953,39.292,39.937,40.261,40.737,41.303,41.863,42.314,42.701,43.183,44.011,44.495,44.818,45.568,46.426,47.25,48.09,48.669,49.403,50.594,51.891,53.101,54.252,55.882,57.265,58.869,60.43,61.806,63.017,64.124,65.277,66.371,67.112,67.319,67.515,67.618,68.162,68.205,68.614,68.925,69.044,69.335,69.448,69.311,69.566,69.738,69.618,70.137,70.495,70.851,71.171,71.14,71.371,71.481,71.999,72.379,72.736,73.254,73.607,73.979,74.406,74.868,75.361,75.802,76.394,76.952,77.375,77.615,77.949,78.028,77.873,78.19,78.31,78.812,79.594,80.031,80.388,80.787,81.293,81.94,82.511,83.33,83.916,84.337,84.586,85.027,85.139,85.116,85.276,85.378,85.531,85.791,85.775,86.14,85.953,86.036,86.278,86.552,86.831,87.347,87.708,88.318,89.043,89.588,90.084,90.357,90.544,90.763,90.851,90.919,91.082,91.251,91.397,91.617,91.983,92.066,92.177,92.242,92.835,94.164,95.816,97.465,98.291,99.366,100.695,101.648,102.358,104.162,105.287,106.611,108.435,109.377,110.146,111.132,112.174,113.326,114.578,115.815,115.865,115.185,114.477,114.36,114.724,115.118,115.358,115.79,116.597,117.628,118.622,119.328
"16","8","          General government","A265RG3",25.865,26.282,26.483,26.866,27.307,27.785,28.26,28.834,29.341,29.719,29.952,30.239,30.759,30.985,31.425,32.005,32.502,33.1,33.691,34.277,35.416,37.031,38.892,40.224,40.8,41.078,41.561,42.135,42.735,43.174,43.583,44.075,44.966,45.446,45.677,46.477,47.394,48.184,48.996,49.532,50.252,51.449,52.737,53.923,55.063,56.767,58.117,59.775,61.417,62.857,64.076,65.31,66.621,67.742,68.464,68.683,68.88,68.975,69.583,69.643,70.079,70.351,70.414,70.712,70.77,70.595,70.896,71.039,70.837,71.347,71.706,72.031,72.394,72.293,72.481,72.571,73.107,73.421,73.725,74.239,74.609,74.927,75.304,75.797,76.319,76.707,77.287,77.941,78.415,78.654,78.983,79.1,78.939,79.229,79.299,79.807,80.609,81.011,81.442,81.808,82.257,82.943,83.549,84.451,85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.443,109.344,110.013,110.936,111.88,113.028,114.248,115.456,115.514,114.928,114.278,114.162,114.439,114.717,114.793,115.171,115.977,116.95,117.857,118.482
"17","9","          Government enterprises","A266RG3",20.505,20.797,21.063,21.482,21.816,22.22,22.588,23.013,23.413,23.913,24.342,24.896,25.262,25.535,25.811,26.204,26.687,27.194,27.694,28.209,29.189,30.721,32.771,34.175,35.249,35.852,36.293,36.819,37.142,37.664,37.929,38.363,38.831,39.341,40.194,40.665,41.188,42.212,43.214,44.036,44.848,46.014,47.369,48.714,49.926,51.154,52.719,54.025,55.148,56.184,57.351,57.777,58.087,59.037,59.88,60.024,60.213,60.355,60.561,60.515,60.78,61.3,61.715,61.97,62.384,62.448,62.455,62.789,63.115,63.691,64.042,64.572,64.65,65.011,65.494,65.716,66.136,66.896,67.564,68.098,68.365,69.047,69.772,70.051,70.382,71.138,71.808,71.802,71.931,72.181,72.549,72.409,72.283,72.762,73.177,73.644,74.317,74.956,74.892,75.484,76.308,76.739,77.115,77.483,78.11,78.678,79.221,79.816,79.882,79.945,80.167,80.397,80.682,81.175,81.38,81.834,82.041,82.052,82.284,82.683,82.988,83.375,83.721,84.571,85.313,86.207,86.756,87.283,87.516,87.726,87.962,88.246,88.817,89.253,89.547,89.666,90.016,90.271,90.5,91.009,91.876,93.645,95.564,97.513,98.113,99.436,100.802,101.649,102.332,104.378,105.496,106.975,108.391,109.539,110.819,112.124,113.668,114.841,116.261,117.645,117.655,116.492,115.484,115.362,116.172,117.165,118.247,118.963,119.77,121.105,122.545,123.67
"18","10","Equals: Net national product","A027RG3",21.861,22.155,22.483,22.763,23.076,23.415,23.599,23.916,24.265,24.584,24.824,25.014,25.443,25.586,25.819,26.126,26.476,26.925,27.442,27.902,28.454,29.054,29.939,30.844,31.517,31.933,32.525,33.109,33.487,33.834,34.287,34.877,35.449,36.007,36.49,37.098,37.696,38.423,39.075,39.876,40.598,41.592,42.436,43.255,44.191,45.158,46.174,47.491,48.745,49.581,50.482,51.363,52.069,52.718,53.505,54.144,54.692,55.159,55.79,56.24,57.008,57.568,58.084,58.452,59.195,59.532,59.833,60.213,60.522,60.818,61.22,61.696,62.236,62.616,63.134,63.596,64.103,64.741,65.554,66.101,66.84,67.553,68.031,68.472,69.37,70.236,70.927,71.546,72.365,72.907,73.508,73.975,74.457,74.963,75.354,75.851,76.319,76.745,77.119,77.546,78.005,78.398,78.853,79.269,79.749,80.118,80.486,80.949,81.462,81.819,82.281,82.708,83.177,83.594,83.874,84.242,84.416,84.67,85.039,85.3,85.709,86.101,86.417,86.775,87.462,87.946,88.517,89.003,89.682,90.369,90.676,90.95,91.333,91.78,92.234,92.828,93.555,93.822,94.363,94.878,95.723,96.54,97.223,97.915,98.839,99.452,100.462,101.247,101.964,102.865,103.656,104.109,105.341,106.099,106.444,106.957,107.671,108.324,109.153,109.234,109.834,109.876,110.111,110.456,110.932,111.363,111.794,112.35,113.078,113.765,114.502,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",21.876,22.17,22.499,22.779,23.092,23.431,23.615,23.932,24.281,24.599,24.838,25.029,25.459,25.6,25.833,26.139,26.488,26.936,27.454,27.913,28.469,29.071,29.957,30.865,31.535,31.95,32.539,33.123,33.499,33.845,34.296,34.886,35.46,36.016,36.498,37.106,37.705,38.43,39.081,39.882,40.602,41.598,42.443,43.263,44.202,45.17,46.186,47.504,48.754,49.59,50.488,51.367,52.076,52.726,53.515,54.153,54.701,55.164,55.796,56.245,57.015,57.576,58.094,58.464,59.21,59.541,59.832,60.214,60.526,60.827,61.232,61.712,62.246,62.621,63.141,63.603,64.111,64.749,65.563,66.107,66.845,67.555,68.028,68.467,69.364,70.233,70.923,71.537,72.36,72.903,73.508,73.976,74.464,74.971,75.363,75.857,76.319,76.74,77.111,77.536,77.997,78.389,78.846,79.262,79.741,80.106,80.473,80.936,81.449,81.805,82.269,82.696,83.168,83.588,83.867,84.239,84.413,84.67,85.04,85.299,85.709,86.101,86.417,86.773,87.463,87.947,88.516,89.003,89.683,90.371,90.676,90.95,91.336,91.786,92.24,92.835,93.559,93.828,94.369,94.883,95.728,96.544,97.229,97.919,98.843,99.454,100.46,101.243,101.959,102.861,103.651,104.108,105.336,106.096,106.441,106.95,107.662,108.313,109.137,109.24,109.851,109.894,110.128,110.477,110.956,111.399,111.83,112.385,113.11,113.788,114.526,114.753
