"","Table 3#15#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"27","20","  Space","W631RG3",23.025,24.834,26.488,27.702,28.927,31.473,34.835,36.736,39.282,41.705,45.077,50.07,54.824,58.32,60.392,62.4,64.016,65.185,66.51,68.548,71.098,73.22,75.787,77.318,78.749,80.267,82.063,83.218,83.849,84.04,85.311,87.522,88.616,90.531,92.856,96.057,100,101.412,101.654,102.714,103.557,104.957
"28","21","  Other economic affairs","W632RG3",23.406,25.585,27.24,28.353,29.472,31.102,34.913,36.922,39.784,41.365,43.857,48.15,52.383,55.5,58.131,58.54,60.574,61.878,62.352,61.774,62.135,64.135,67.705,68.482,71.173,73.432,75.972,77.346,78.973,79.837,81.656,83.838,85.251,88.223,91.425,96.245,100,103.671,106.983,109.729,109.558,112.889
"29","22","Housing and community services","W633RG3",27.397,30.536,33.213,35.019,37.192,40,44.84,47.793,52.102,53.613,56.986,61.885,67.83,71.801,73.284,75.55,77.652,78.441,79.879,83.187,86.214,88.79,91.819,91.229,92.941,93.32,92.843,90.552,90.165,88.688,90.447,85.998,84.515,87.245,89.53,94.697,100,105.527,110.119,113.405,114.205,117.424
"30","23","Health","W634RG3",17.185,18.989,20.767,22.123,23.592,25.399,28.336,30.034,32.882,34.589,37.111,40.833,44.865,47.931,49.698,51.58,53.343,54.608,55.991,58.45,60.665,62.705,65.58,67.112,70.384,72.68,75.448,76.953,78.698,79.745,81.496,84.207,85.993,89.009,91.911,96.12,100,103.555,107.286,109.995,111.554,113.701
"31","24","Recreation and culture","W635RG3",15.823,17.327,18.878,19.929,21.228,22.888,25.359,26.945,29.184,30.495,32.639,35.648,38.959,41.305,42.581,44.226,45.677,46.824,48.257,50.809,53.076,55.245,58.769,60.418,64.202,66.864,69.663,71.732,73.916,76.086,79.426,82.859,85.275,87.985,90.981,95.621,100,104.463,108.038,110.228,110.132,111.4
"32","25","Education","W636RG3",22.558,24.29,26.183,27.396,29.049,31.497,34.784,36.818,39.57,41.392,44.387,48.444,52.781,55.852,57.197,58.731,60.109,61.1,62.473,64.685,66.924,69.027,71.361,72.357,75.046,76.836,78.992,79.931,81.068,81.873,83.516,86.182,87.959,90.153,92.581,96.378,100,103.404,106.916,109.643,111.087,113.353
"33","26","Income security","W640RG3",16.317,18.272,20.19,21.485,22.971,24.701,27.376,29.061,31.371,32.779,35.086,38.29,41.795,44.294,45.609,47.294,48.791,49.984,51.482,54.133,56.499,58.728,62.253,63.813,67.423,70.016,72.758,74.726,76.728,77.865,80.244,83.215,85.01,88.516,91.9,96.623,100,103.115,105.94,108.328,109.362,112.119
"34","27","      State and local","B829RG3",17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.666,117.214,119.704
"35","28","General public service","W646RG3",17.919,19.126,20.239,21.338,22.741,25.257,27.691,29.344,31.722,34.279,37.432,41.909,46.237,48.862,51.181,53.476,55.26,56.431,58.002,60.424,62.318,65.249,67.509,69.555,70.514,72.221,74.202,75.55,76.965,77.379,79.778,83.508,85.123,86.51,89.775,93.672,100,105.169,110.041,117.367,115.775,119.724
"36","29","Public order and safety","W650RG3",13.681,14.712,15.8,16.911,18.297,19.895,21.976,23.713,25.734,27.95,29.935,32.868,36.085,38.341,41.651,43.988,46.455,48.224,50.222,52.959,55.436,58.699,61.227,63.657,65.68,68.333,70.431,71.921,73.384,74.716,77.879,81.712,84.637,86.974,90.899,94.864,100,104.186,108.819,114.463,113.965,117.05
"37","30","Economic affairs","W655RG3",16.101,17.595,18.881,19.807,21.427,25.923,28.634,29.283,30.29,31.664,34.251,38.747,43.812,47.177,48.386,48.799,49.999,51.791,54.049,55.837,57.295,59.783,61.458,62.438,63.694,65.627,68.361,70.454,72.405,73.813,76.309,79.986,82.326,84.346,86.829,91.199,100,107.843,117.413,126.136,126.258,128.726
"38","31","  Transportation","W660RG3",16.31,17.908,19.229,20.099,21.78,26.911,29.58,29.836,30.523,31.624,34.19,39.01,44.564,48.232,48.918,48.836,49.839,51.819,54.275,55.788,56.971,59.314,60.838,61.527,62.614,64.401,67.286,69.548,71.654,73.139,75.63,79.343,81.615,83.626,85.871,90.315,100,108.686,119.559,128.949,129.178,131.599
"39","32","  Other economic affairs","W665RG3",15.579,16.701,17.878,19.021,20.443,22.834,25.697,27.623,29.637,31.846,34.507,38.017,41.666,44.19,46.886,48.846,50.69,51.88,53.497,56.227,58.646,61.655,63.881,65.915,67.791,70.283,72.43,73.875,75.225,76.329,78.838,82.367,84.972,87.022,90.404,94.489,100,104.823,110.009,116.542,116.319,118.935
"40","33","Housing and community services","W666RG3",16.433,17.452,18.882,20.451,22.109,25.163,28.544,30.401,32.612,35.845,39.602,44.185,47.632,49.094,50.731,52.41,53.727,54.484,55.682,57.376,59.318,61.059,61.144,62.071,64.373,66.719,68.568,70.436,71.78,72.39,74.776,79.494,82.142,84.087,86.983,92.983,100,104.831,109.899,117.719,114.777,118.481
"41","34","Health","W671RG3",29.798,31.686,34.317,36.732,40.169,43.933,48.429,51.118,55.039,59.461,62.344,66.568,70.313,69.718,72.158,73.006,75.056,75.71,75.724,76.419,73.841,72.535,69.995,66.611,65.074,67.072,69.559,70.047,72.754,76.914,82.723,89.294,92.553,90.446,89.893,92.029,100,104.823,111.068,121.961,115.942,116.902
"42","35","Recreation and culture","W672RG3",14.599,15.595,16.766,17.857,19.408,21.543,23.877,25.278,27.06,29.25,31.843,35.54,39.49,42.122,44.782,46.836,48.802,49.89,52.007,54.712,57.085,60.025,61.931,63.579,65.437,67.988,70.452,71.913,72.912,74.203,76.864,80.575,83.163,84.669,88.015,92.827,100,106.279,111.802,119.013,115.081,116.499
"43","36","Education","W673RG3",17.436,18.948,20.257,21.471,23.027,24.693,26.891,28.956,30.861,32.685,35.962,39.927,43.593,46.763,48.597,51.599,53.795,55.452,58.319,59.517,62.025,65.242,67.628,69.141,71.221,72.666,74.019,75.536,76.656,77.571,80.169,83.02,85.691,87.569,92.043,95.128,100,104.882,110.243,115.772,116.2,118.177
"44","37","  Elementary and secondary","W674RG3",16.057,17.472,18.666,19.79,21.222,22.689,24.669,26.58,28.327,29.991,32.975,36.541,39.933,43.035,44.883,47.844,50.054,51.885,54.674,55.943,58.416,61.593,64.188,66.001,68.317,69.966,71.489,73.233,74.593,75.803,78.465,81.343,84.192,86.402,91.22,94.825,100,105.093,110.65,116.423,117.232,119.752
"45","38","  Higher","W675RG3",24.382,26.461,28.411,30.131,32.366,34.89,38.145,41.063,43.715,46.244,51.141,57.208,62.183,65.626,67.122,70.302,72.33,73.015,76.372,76.907,79.524,82.948,84.183,83.979,84.848,85.146,85.514,85.961,85.848,85.331,87.751,90.483,92.434,92.873,95.914,96.503,100,104.088,108.744,113.193,112.133,111.718
"46","39","  Libraries and other","W677RG3",17.207,18.388,19.539,20.566,21.958,24.144,26.531,28.327,30.357,32.483,35.379,39.219,43.05,46.132,48.644,51.429,53.728,55.469,57.792,59.931,62.501,65.484,67.861,69.819,71.813,73.875,75.928,77.272,78.611,79.555,81.563,84.33,86.581,88.105,91.726,95.105,100,104.2,108.818,114.513,114.349,116.963
"47","40","Income security","W678RG3",15.823,16.978,18.224,19.284,20.654,22.509,24.649,26.553,28.78,31.146,33.599,37.263,41.021,43.814,47.074,49.6,52.052,53.833,55.946,58.755,61.418,64.643,67.338,69.623,71.527,73.781,75.948,77.176,78.426,79.285,81.412,84.601,87.068,88.859,92.049,95.402,100,104.254,108.601,113.817,113.868,116.232
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
