"","Table 8#5# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235"
"11","3","  Goods \1\","B253RU1",3.9,4.4,3.9,3.9,3.7,3.4,3,3.2,3.4,3.4,2.7,2.7,2.4,2.6,2.4,2.8,3.1,3.8,3.5,3.9,3.9,3.5,2.9,3.2,3,3.2,3,3.2,2.9,3.5,3,3.6,3.5,3.6,3.4,3.9,4,4.5,4.2,4.9,5.2,5.2,4.5,4.7,4.1,4.2,3.9,4.2,3.8,4.1,4.1,4.4,4.9,5.3,4.9,5.4,5.3,5.2,4.9,5.6,5.3,5.7,5.2,5.5,5.3,6,5.5,6.5,6.5,6.7,6.3,7.3,6,7.4,6.7,7.7,7.4,7.8,7.4,8.2,8,8.3,7.6,8.3,8.3,9,8.7,9.2,7.9,10.3,9.4,10.7,10.7,11.7,10.7,11.5,11.6,11.9,11.4,10.7,12.5,12.7,12.2,14.4,16.2,18.3,17.9,21.6,23.4,25.9,23.8,27.8,27.8,27.5,25.3,29.1,28.1,30.2,28.1,31.3,30.1,32.8,29.8,31,31.5,37.6,35.3,41,41.9,45.2,44.9,52,54.7,57.5,54.4,59.2,60.6,62,56.4,60.1,56.3,57.8,50.9,50,50.6,52,49.6,55.1,55.2,57.5,54.6,58.2,56.9,57.3,52.2,55.9,55.6,56.9,54.2,59.2,59.5,63.6,63.4,70.9,77.5,82,79.8,86.4,89.2,96.3,89.2,94.7,98.4,101.6,94.8,101.9,103.8,108.4,101.7,109.7,111.1,113.1,107.9,115.8,113.1,117.1,108.9,120.8,119.4,126.8,125.9,138,140.7,146.2,143.5,152.8,153.1,154.2,147.4,163.7,164.2,173.7,169,180.9,172.6,170.4,160.3,177.6,167.2,172.2,169.7,188.1,187,196.8,197.3,203.2,196.1,190,170.6,174.5,168.1,178.8,172.9,177.7,175.1,180.1,175.2,194,196.6,206,201.3,214.4
"12","4","  Services \1\","B646RU1",0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.8,0.8,0.9,1,1,1,1.1,1.1,1.2,0.9,1.1,1.1,1,1.5,1.7,1.6,1.5,1.5,1.9,1.6,1.6,1.5,1.9,1.6,1.7,1.7,2.2,1.7,1.8,1.8,2.3,1.8,1.8,1.9,2.3,2,2.1,2.1,2.7,2.3,2.3,2.1,2.9,2.5,2.6,2.7,2.9,2.8,2.8,2.8,3.2,3.3,3.2,2.9,3.6,3.6,3.5,3.3,4,4,3.8,4.1,4.5,4.4,4.4,4.5,4.7,5.1,4.7,4.7,5.4,5.7,5.5,5.7,6.6,6.6,6.7,7.2,7.8,7,7.1,7.3,7.7,8.6,8.1,8.3,9,9.4,9,9.6,10.2,10.9,10.8,10.8,11.4,12.1,11.8,12.2,13.4,15.1,14.2,15.6,16.5,17.8,16.2,17,17.1,17.6,16.5,17.5,17.3,18.1,16.7,18.3,19.2,20.2,19,19.6,19.6,20.5,20.1,22.4,22.6,25.2,24.4,25.1,26.2,28.4,26.7,27.7,28.9,32.2,29.5,31.3,32.1,36.3,34.3,35.6,37.2,42,40.9,39.3,41.9,47,45.2,45.4,45.6,50.3,46,47,47.8,52.7,48.4,49.7,51.2,56.6,53.3,53.3,54.1,62.6,58.9,58.5,60.3,65.2,66.2,63.5,65.5,71.8,66.8,65.7,67.5,71.9,70,69.6,71.6,78.1,74.7,74.2,77.1,82,78.7,75.8,76.4,78.3,71.1,73.6,74.8,80.6,79.4,74.6,73.8,83.4,84.6,86.7,88.1,93.3,96
"13","5","Income receipts","B645RU1",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.8,0.8,0.9,1,1,1,1,1,1,1.1,1.1,1,0.9,1,0.9,1,1,1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.3,1.5,1.4,1.7,1.6,1.6,1.6,1.8,1.8,1.8,1.8,1.9,1.9,2,1.9,2,1.9,2,2,2.2,2.1,2.1,2.2,2.3,2.3,2.5,2.5,2.7,2.7,2.9,3,3.2,3.2,3.3,3.2,3.2,3.3,3.5,3.4,3.8,3.8,4,3.9,4.7,5,5.7,5.8,7,7.4,7.6,7.2,7.6,6.7,6.6,6.7,8.1,7.8,8.1,7.8,8.8,8.9,9.3,9.1,10,10.5,10.8,10.8,14.1,14.6,16.2,17.3,20.1,21.2,20.1,17.5,20.3,21.6,22.4,23,25,24.6,26.6,25,24.8,23.4,24.7,25.7,28.1,28.8,30.7,31.1,31.3,28.1,28.4,26.8,29.1,29.2,28,26.6,27.6,28.2,30.3,30.6,34.1,36.5,36.7,37.2,41.7,43,45.1,43.6,46,46.2,46.2,45.3,51.4,47,42,40,39.9,38.9,39.4,37,37.4,38.2,38.7,39.1,40.2,41.8,44.4,47.9,52.3,57,59.2,57.8,59.9,61,60.4,62,65.4,68.8,72.3,73.5,72.1,73,73.5,70.5,70.2,74.4,78,83,85.5,91.7,97.2,95.7,98.1,90.8,85.1,76.6,70,73.9,77.6,79.3,74.8,78.8,81.9,84,92.1,101.3,107.5,110.9,117.8
"14","6","    Current payments to the rest of the world","W163RU1",2.7,2.8,2.7,2.9,3.6,3.6,4.1,3.9,4,4.1,3.8,3.6,3.7,3.9,4.3,4.5,4.9,5,4.6,4.5,4.5,4.7,4.7,4.8,4.8,5.1,4.9,4.7,4.4,4.8,4.7,4.7,5,5.2,5.3,5.3,5.5,5.7,5.7,5.6,5.7,6.1,5.9,5.8,5.5,5.9,6,6.1,6.6,7.2,7.2,7.1,7.1,7.6,7.3,6.8,6.6,7.3,7.4,7.4,7.4,8,7.8,7.9,7.5,8.5,8.4,8.2,8,8.9,8.9,8.9,8.4,10.2,10,10.1,10.2,11.6,11.8,11.5,11.6,12.3,12.4,12.3,12.9,14,14.9,14.5,12.8,16.5,16.3,16.3,15.9,17.5,17.9,17.3,17.3,19.7,20.3,19.1,21.4,22.5,23.3,23.6,24.6,28,27.9,29,31.7,39,39.6,39.6,36.5,35.6,36.1,37.1,39.3,42.5,45.7,45.5,48.5,51.9,52.2,52.9,56.2,60.9,62.3,64.2,65.5,72.2,76.8,82.6,88.3,87.1,83.3,89.8,94.8,100,98.3,97.8,95.2,96.8,98.9,93.5,90.4,100.5,108.1,111.9,117.5,129.5,132,132.1,122.3,133.3,132.9,136.9,134.2,143.1,146.4,147.5,144.6,158.4,164.6,170.3,166.9,174.6,179.8,187.2,182.5,194.5,195.7,196.6,193.8,200.2,209,208.4,169.3,185.4,197.9,199.7,191.9,204.5,212.8,215.8,202.8,219.2,224.8,235.6,223.8,246.4,265.8,276.5,268.3,285.6,293.4,289.8,284.7,299,314.3,319.7,314.7,332.7,351.3,353.5,338.3,356.4,365.2,370.5,357.4,387.1,414.9,426.5,433.7,466,488.5,487.4,452.6,446.4,423.5,403.2,406,446.7,461.1,456,447.5,465,481.9,495.5,506.2,557.7,572.1,608.1
"15","7","Imports of goods and services","A021RU1",1.9,2,1.9,2.1,2.4,2.5,2.6,2.5,2.4,2.3,2.2,2.3,2.4,2.6,3.2,3.4,3.8,3.8,3.6,3.4,3.8,3.7,3.8,4,3.9,4.2,4.1,3.8,3.6,4.1,3.9,3.8,4,4.3,4.5,4.5,4.7,4.8,4.9,4.6,4.9,5.1,5.1,4.9,4.7,5.1,5.1,5.2,5.1,5.7,5.9,5.6,5.6,5.9,5.9,5.3,5.2,5.6,6,5.9,5.8,6.3,6.4,6.3,5.9,6.6,7,6.7,6.4,7,7.4,7.3,6.7,8.1,8.4,8.3,8.4,9.2,9.9,9.5,9.4,10,10.2,10.2,10.7,11.6,12.4,11.8,10.5,13.5,13.5,13,12.9,14.2,14.6,14.1,14.1,16.4,16.8,15.1,17.4,18.5,19,19.3,20.7,23.2,23.1,24.1,27.1,32.9,33.8,33.7,30.6,29.3,31.1,31.7,34.1,37.3,39.6,40.2,43.3,46.2,46.4,46.5,49.5,53.3,54.4,55.1,55.8,61.8,65.4,69.7,74.4,74.2,71,74.2,78,81.8,78.9,79.2,75.7,76.2,78.2,73,71.9,81,87,88.7,93.7,103.6,104.5,103.3,95.7,106.6,105.7,109.2,105.8,112.9,117.3,117.3,115.1,127.2,132,134.8,131.1,138.2,140.8,144.3,139.8,149.6,150.8,151.3,149.3,154.3,161.9,164.9,147.2,154,160.2,162.8,154.3,165,174.5,174.8,166.6,179.8,185.2,189.3,182.1,200.4,214.1,217.9,212.5,228.5,232.5,230.1,224.9,238.7,250.1,251.1,244.9,261.2,276.2,274.6,262.1,278.3,286,289.5,280.6,306.8,328.4,335.9,338.9,365.7,387.7,383.5,357.7,358,348.8,335.3,320.3,358.5,373.9,377.6,360.5,380.8,393.3,405.5,405.4,448,463.1,481.3
"16","8","  Goods \1\","B255RU1",1.5,1.5,1.3,1.6,1.9,1.9,1.8,1.9,1.9,1.7,1.5,1.8,1.9,2,2.5,2.7,3.1,3,2.5,2.5,2.8,2.7,2.6,2.8,2.8,2.9,2.7,2.6,2.5,2.8,2.5,2.6,2.8,2.8,2.8,3.1,3.3,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.1,3.2,3.1,3.5,3.6,3.9,3.9,4,3.9,4,3.7,3.6,3.5,3.6,3.8,4.1,4.1,4.2,4.1,4.4,4.1,4.4,4.5,4.7,4.5,4.8,4.9,5.2,4.8,5.7,5.7,6.1,6.1,6.5,6.8,7,6.8,6.8,6.6,7.5,7.9,8.4,8.7,8.9,7.6,10,9.4,9.8,9.7,10.3,10.1,10.8,10.7,12.2,12.1,11.5,13.6,13.9,14,15.4,16.5,18,17.6,19.7,22.4,26.8,27.2,28.1,25.2,23.4,24.4,26,28.3,30.5,32,33.7,36.7,38.4,38.1,39.3,42,44.5,44.6,46.4,47.2,51.6,54.3,59.7,64.1,62.7,58.7,63.1,66.4,68.7,65.3,67.4,63.6,62.3,64.1,60.5,59.7,66.5,71.4,75,79.1,85.6,84.8,86.8,79.6,87.1,85,91.6,87.3,92.2,93.4,97.1,94.9,102.9,105.7,111.3,107.9,112.1,112.5,119.7,115.8,122.6,121.1,125.2,122.5,123.6,127.7,134.2,118.3,122.5,127.2,132.7,125.8,133.7,140.6,144.8,137.8,147.1,150.5,157.3,150.7,165.3,176.4,184.4,179.4,191.2,192.7,194.1,189.2,199,206.8,212.6,205.9,217.8,229.1,232.5,220.5,230.8,234.9,242.8,234.6,254.2,271.9,284.7,286.7,306.1,324.5,326.2,302.8,295.7,287.9,281.6,265.1,297.7,310,316.6,301.9,317.6,325,339.4,338.2,372,384.3,405
"17","9","  Services \1\","B656RU1",0.4,0.5,0.6,0.5,0.5,0.6,0.8,0.6,0.5,0.6,0.7,0.5,0.5,0.6,0.8,0.7,0.7,0.8,1,0.9,1,1,1.3,1.2,1.1,1.3,1.4,1.2,1.1,1.3,1.4,1.2,1.2,1.5,1.6,1.3,1.4,1.6,1.7,1.4,1.6,1.8,1.8,1.5,1.5,1.9,2,1.7,1.5,1.8,2,1.6,1.7,2,2.2,1.7,1.7,2,2.2,1.8,1.7,2.1,2.3,2,1.8,2.2,2.5,2,1.9,2.3,2.5,2,2,2.4,2.7,2.2,2.2,2.8,3.2,2.5,2.6,3.2,3.6,2.8,2.7,3.2,3.7,3,2.9,3.5,4,3.2,3.1,3.9,4.5,3.3,3.4,4.2,4.7,3.6,3.8,4.6,5,4,4.2,5.2,5.5,4.4,4.7,6.1,6.6,5.6,5.4,6,6.7,5.7,5.8,6.7,7.6,6.5,6.6,7.8,8.3,7.2,7.5,8.8,9.8,8.7,8.6,10.1,11.1,10,10.3,11.5,12.3,11.1,11.5,13.1,13.5,11.8,12.1,13.9,14.1,12.5,12.2,14.5,15.6,13.7,14.7,18,19.6,16.5,16.1,19.5,20.8,17.6,18.5,20.7,23.9,20.2,20.2,24.3,26.3,23.6,23.3,26.1,28.3,24.7,24,27.1,29.6,26,26.8,30.6,34.1,30.7,28.9,31.5,33,30.1,28.5,31.3,33.8,30,28.8,32.6,34.7,31.9,31.4,35.1,37.7,33.5,33.1,37.2,39.8,36,35.7,39.8,43.3,38.6,39,43.4,47.1,42.1,41.6,47.5,51.2,46.7,45.9,52.6,56.5,51.3,52.1,59.6,63.2,57.3,54.9,62.3,61,53.7,55.2,60.8,63.9,61,58.6,63.2,68.4,66.1,67.2,76,78.8,76.3
"18","10","Income payments","B655RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.7,1.8,1.7,1.9,1.9,2.2,2.3,2.7,2.9,3.1,3,3.4,3.9,4,3.8,3.7,3.8,3.8,3.8,3.8,3.9,4,3.7,4,4.3,4.9,5.1,5.9,6.3,7.3,8,8.6,9.3,10.5,11.4,11,10.1,12.4,13.6,14.9,15.8,14.8,15.5,16.8,16.6,15.5,14.9,15.8,16.9,17.3,19.4,21.7,22.5,22,21.4,21.6,21.4,21.4,23.1,24.1,22.7,23.7,24.3,25.9,27,28.2,29.7,31,33.2,34.7,36.5,39.4,38.4,37.1,37.8,38.6,39.9,37.9,36.9,35.6,34.9,31.2,30.6,32,30.9,29.5,28.5,31.2,30.6,34,33.8,38.1,42.6,45.6,46.8,49.1,52.1,50.2,49.4,52.4,55.4,56.6,60.6,62.6,65.3,65.2,65.1,67.3,67.5,66,65.8,69.3,75.3,76.7,82.4,88,87.3,86,80.4,74.3,73,51.1,66.5,73.9,72.7,62,69,67.6,71.3,72,77.5,89.1,91.3,103.4
"19","11","Current taxes and transfer payments to the rest of the world (net)","A123RU1",0.6,0.7,0.7,0.6,1,1,1.4,1.2,1.4,1.6,1.4,1.2,1.1,1.2,0.8,0.9,0.9,1,0.8,0.9,0.5,0.8,0.7,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.6,0.5,0.6,0.6,0.6,1.1,1.1,1,1.1,1,1.2,0.9,1,1,1.2,0.9,1,1.1,1.2,0.9,1,1.1,1.4,0.9,1,1,1.3,0.9,1,1.1,1.5,1,1,1.2,1.6,1.1,1.2,1.3,1.5,1.3,1.2,1.3,1.4,1.5,1.6,1.2,1.7,1.3,1.6,1.4,1.6,1.7,1.6,1.8,1.9,1.8,2.1,2.3,2.1,2.4,2,1.6,2.1,1.9,1.8,1.6,2.7,1.9,2,2.1,2.6,1.2,1.7,1.3,1.4,2.3,1.4,1.5,1.6,1.5,1.5,1.6,1.7,1.5,1.8,1.7,1.8,2.1,2.4,2.5,2,2.2,3.1,3.2,3.3,3.7,3.9,4,3.8,4,4.9,3.6,3.8,4.2,5.9,4.4,4.3,5.1,6.7,5.2,5.1,5.7,6.3,5.3,6.1,6.4,6.6,5.3,5.3,5.6,7.3,6.1,5.4,5.8,8.2,6.2,5.5,6.5,8.2,6.7,7.3,7.2,5.6,-14.9,-4.2,2.8,5.7,6.9,7.5,7.4,11.5,7.7,8.2,9,12.3,7.9,7.9,9.1,13,9,8.1,8.8,9.5,10.3,7.9,8.9,12,9.2,8.9,9.8,13.7,11.2,10.9,11.7,15,11.1,11,11.1,13.9,12.5,12.3,13.5,17.8,14.5,14.1,1.6,16.7,19.1,14.4,14.6,16.4,18,16.6,17.2,18,23.2,20.6,17.7,23.4
"20","12","  From persons (net)","B070RU1",0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.6,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.6,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.7,1.6,1.6,1.8,1.8,2,1.9,1.9,2,2.2,1.9,2.1,2,2.3,2.1,2.2,2.4,2.5,2.3,2.6,2.5,2.8,2.5,2.6,2.7,2.9,2.6,2.8,3,3.2,2.7,3.1,3,3.4,3,3.3,3.3,2.7,2.5,4.3,2.9,3.7,3.3,3.6,3.6,4,3.6,3.9,3.8,4,3.5,4.1,4.6,4.5,4.3,4.6,4.6,5.3,4.9,5.3,5.5,5.7,5.7,6.3,6.9,7.1,7,7.2,7,8.3,7.6,7.8,7.7,8.6,7.9,8.5,8.1,10.4,9.4,10.2,10,10.4,9.7,9.8,10.4,11,10.4,11.4,10.3
"21","13","  From government (net)","B088RU1",0.5,0.5,0.5,0.4,0.8,0.8,1.2,1,1.3,1.5,1.3,1,1,1.1,0.7,0.8,0.8,0.9,0.7,0.8,0.4,0.7,0.6,0.4,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,1,1,0.8,1,0.8,1,0.8,0.9,0.9,1.1,0.8,0.9,1,1.1,0.8,0.9,0.9,1.2,0.7,0.8,0.8,1.1,0.7,0.8,0.8,1.3,0.8,0.8,0.9,1.3,0.8,0.9,1.1,1.1,1,0.9,1,1.1,1.1,1.3,0.9,1.3,1,1.2,1,1.2,1.2,1.2,1.4,1.4,1.4,1.7,1.9,1.6,1.9,1.5,1.2,1.6,1.4,1,1,2.1,1.4,1.2,1.6,2.2,0.7,1.1,0.7,0.9,1.7,0.7,0.8,1,0.9,0.8,1,1,0.9,1,0.9,1,1.2,1.3,1.5,1,1.2,1.9,1.2,1.2,1.5,1.6,1.6,1.3,1.6,2.2,1.2,1.4,1.7,3,1.6,1.6,2.3,3.7,2.3,2.5,2.9,3.5,2.1,3.3,3.4,3.2,2.1,2.2,2.2,3.7,2.2,1.8,2.3,4.1,2.2,1.8,2.7,3.7,2.5,3.4,2.9,1.2,-19.5,-8.4,-1.7,1.1,3,3.7,3.3,7.2,2.7,3.7,4.1,7.3,2.4,2.8,3.5,7.1,2.6,2.2,2.4,2.8,4.2,2,2.5,5.4,2,1.8,2,5.1,2.1,1.8,2.2,5.2,2,2.4,2.2,5.1,2.1,2.1,2.8,6.5,1.6,1.7,2,4.2,5.8,2.3,2,4.1,4.9,4.3,4.5,3.9,6.6,3.8,4.1,4.7
"22","14","  From business (net)","W164RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.8,0.9,0.8,1,0.8,0.8,0.8,1.1,0.9,0.8,0.8,1,0.7,0.7,0.7,0.8,0.9,0.7,0.7,1,0.7,0.8,0.8,1,1.1,1.1,0.9,1.3,1.1,1,1,1.5,1,1.2,1.2,1.4,1.2,1.2,1.2,1.4,1.3,1.3,-0.2,1.4,1.3,1.3,1.3,1.5,1.4,1.5,1.6,2.1,2.4,2.3,2.3,2.1,1.7,1.7,1.7,2,1.9,2.2,2.5,3.1,3.4,3.4,3.3,2.9,2,1.7,1.8,1.7,2.1,2.5,2.9,3.6,4.3,4.5,-8.8,4.5,2.9,2.6,2.4,2.4,2.7,2.5,3,3.7,5.6,6.4,2.2,8.4
"23","15","    Balance on current account, NIPAs","A124RU1",2.3,2.7,2.3,2.1,1.1,0.8,0.1,0.4,0.5,0.4,0,-0.1,-0.3,-0.3,-0.7,-0.5,-0.5,0.1,0.4,0.9,0.8,0.3,-0.4,-0.1,-0.3,-0.4,-0.5,0,-0.1,0.1,-0.2,0.5,0.1,0,-0.1,0.4,0.3,0.7,0.4,1.3,1.5,1.4,0.8,1.1,0.4,0.3,-0.1,0.2,-0.3,-0.4,-0.5,0,0.5,0.7,0.5,1.5,1.4,1.1,0.5,1.3,0.9,1.3,0.5,1.2,1.2,1.5,0.5,1.9,2.2,1.8,1.2,2.3,1.5,1.9,0.9,1.9,1.3,1.1,0.1,1.4,1.2,1,0.2,1.1,0.7,0.8,-0.3,0.6,0.7,0.3,-0.4,1.1,1.3,1.5,0,1.1,1.6,0.2,-1,-0.2,-0.6,-1.1,-2.1,0.2,1.4,1.4,1.6,5,4.8,1.2,-1.9,2.5,5.1,6.3,2.9,7.1,3.9,3.5,-1.2,2.7,-1.3,-0.8,-4,-3,-4.6,-2.3,-5.2,1.7,1.9,0.7,-2.6,1.4,-0.1,3.9,3.6,3.9,3,1,-1.2,3.5,2.7,4.7,-5.5,-2.1,1.1,-6.5,-14.7,-11.9,-15.2,-22.2,-26.1,-23.5,-17.7,-28,-33.4,-31.8,-27,-35.6,-40.4,-36.3,-31.8,-38.2,-42.2,-38.5,-25.2,-26.9,-30.6,-29.5,-19,-21.1,-26.6,-21.7,-13.6,-15.2,-27,-14.3,20.8,6.8,-9.3,-4.9,3.5,-6.4,-17.5,-16.6,-4.5,-15.5,-24.2,-26.1,-13,-23.9,-35.5,-32.9,-17.4,-26,-29.4,-18.2,-12,-24.1,-39.8,-24.4,-18.2,-21.3,-37.1,-33.7,-27,-45.1,-62.6,-52.6,-46.2,-65.3,-84.2,-78.2,-80.8,-94.9,-113.6,-107.4,-89.9,-94.9,-98,-87.6,-90.5,-115.5,-128.2,-124.1,-119,-129.2,-139.3,-124.8,-121.6,-156.1,-166.6,-179.9
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
