"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Commercial and health care","W001RG3",15.434,16.376,17.798,19.211,20.754,23.059,25.319,26.231,28.01,30.679,34.039,37.846,41.207,43.713,45.079,46.822,48.325,50.009,51.867,53.789,55.707,57.476,58.294,58.686,60.677,63.021,65.546,67.033,69.153,72.381,75.526,78.63,81.437,83.631,85.995,91.404,100,108.496,114.684,119.129,119.781,115.973,117.938,121.065
"12","5","    Manufacturing","C307RG3",16.087,17.1,18.554,20.073,21.686,24.091,26.451,27.385,29.241,32.019,35.54,39.573,43.157,45.884,47.304,49.132,50.72,52.483,54.42,56.428,58.426,60.269,61.139,61.507,63.57,65.985,68.626,70.174,72.428,75.397,78.428,81.362,84.202,86.74,88.232,92.855,100,106.483,112.277,118.04,120.381,117.543,119.609,122.372
"13","6","    Power and communication","W003RG3",19.189,20.667,22.059,23.233,24.989,29.133,32.897,34.978,37.708,40.041,44.313,48.658,52.063,54.49,55.177,55.502,56.202,56.151,56.707,59.224,62.617,64.497,65.069,65.887,67.648,70.108,72.96,74.866,76.484,77.344,77.624,80.127,82.442,84.316,86.324,92.68,100,109.568,114.5,122.301,121.062,126.279,134.84,139.809
"14","7","    Mining exploration, shafts, and wells","E318RG3",7.018,7.436,7.676,8.253,8.77,10.938,13.358,14.482,17.061,20.125,23.326,23.879,31.853,36.325,29.407,26.977,27.026,25.904,22.061,24.216,25.391,26.413,27.961,25.86,26.002,26.436,28.587,29.907,33.926,38.634,37.462,38.947,48.126,57.539,64.076,74.335,100,129.399,139.878,149.491,133.963,131.846,143.137,150.054
"15","8","    Other structures \1\","W004RG3",16.19,17.23,18.648,20.049,21.603,24.536,27.233,28.238,30.344,32.631,36.054,40.15,43.972,46.887,48.462,49.954,51.343,52.769,54.636,56.552,58.404,60.289,61.328,61.845,63.746,65.966,68.546,70.287,72.416,74.808,77.637,80.873,84.305,86.106,88.439,93.253,100,107.202,113.013,115.891,114.064,111.044,112.565,114.791
"16","9","  Equipment and software","B010RG3",58.411,60.56,62.36,63.112,64.184,68.917,79.1,83.754,88.73,93.412,99.335,107.819,115.524,120.03,120.284,119.234,119.09,120.976,121.637,123.155,124.695,126.31,128.112,126.605,125.322,124.604,123.163,120.199,116.639,111.454,108.195,106.893,104.364,102.24,100.45,99.9,100,100.049,100.525,101,101.477,99.806,100.445,101.232
"17","10","    Information processing equipment and software","B679RG3",263.102,265.601,259.471,253.757,255.646,260.442,276.422,278.822,275.327,265.032,263.123,264.954,271.235,273.857,266.667,255.317,245.987,238.604,231.944,228.82,223.8,218.12,214.297,202.948,195.183,187.345,178.511,164.375,151.765,137.04,127.465,123.838,117.687,112.282,106.743,102.766,100,97.85,96.133,94.156,91.902,90.551,89.903,89.125
"18","11","      Computers and peripheral equipment","B935RG3",40849.551,36692.755,27938.206,22534.927,21365.392,17444.067,16136.6,13477.144,11728.211,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.581,71.062,65.33,62.764,60.104,58.669
"19","12","      Software \2\","B985RG3",129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.724,102.573,101.596,100.61,100.546,100.121
"20","13","      Other \3\","B937RG3",65.375,67.757,70.177,71.92,73.337,77.999,85.314,89.276,89.995,93.682,96.405,103.499,110.696,115.925,119.154,121.743,123.553,126.671,129.75,131.506,133.184,134.788,136.476,137.883,137.569,136.826,135.653,133.561,131.886,126.094,120.761,117.689,113.606,110.001,104.451,100.812,100,98.84,98.168,95.955,94.152,93.052,92.868,92.079
"21","14","    Industrial equipment","B680RG3",21.708,22.786,23.804,24.29,24.973,27.322,32.928,35.686,38.924,42.334,46.49,52.54,57.558,60.299,61.537,62.224,63.257,66.138,68.991,72.092,74.712,78.292,81.083,82.881,84.014,85.726,88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,107.317,112.502,113.919,115.326,118.784,120.931
"22","15","    Transportation equipment","B681RG3",27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.376,102.954,109.94,103.025,105.059,107.267
"23","16","    Other equipment \4\","B862RG3",22.127,22.927,24.029,24.709,25.237,27.473,33.4,35.862,39.016,42.242,45.905,51.511,57.285,61.363,62.736,63.927,65.223,67.28,68.988,71.026,73.94,76.876,79.397,81.123,82.544,83.929,85.659,87.957,89.059,90.376,91.549,92.139,93.447,94.228,95.109,96.047,100,102.32,104.636,108.106,113.41,110.669,112.253,115.849
"24","17","Residential","B011RG3",16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.713,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.069,66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.297,100,106.081,107.612,106.296,102.713,102.52,103.406,104.272
"25","18","  Structures","B012RG3",15.728,16.241,17.201,18.269,19.923,22.002,24.043,25.597,28.224,31.727,35.326,39.19,42.398,44.657,45.679,47.019,48.272,50.343,52.436,54.281,56.061,57.402,58.182,58.911,61.344,63.525,65.885,67.321,69.071,70.954,73.746,77.055,80.683,82.729,86.773,93.238,100,106.142,107.689,106.373,102.751,102.719,103.701,104.553
"26","19","    Permanent site","B943RG3",15.128,15.484,16.421,17.585,19.262,21.164,23.123,24.593,27.116,30.725,34.242,38.017,41.098,43.291,44.138,45.34,46.442,48.527,50.541,52.323,53.965,55.115,55.517,56.123,58.744,61.323,63.795,65.028,67.029,69.228,72.29,75.641,79.27,81.506,85.882,92.962,100,106.832,108.425,106.123,102.903,101.92,102.329,103.276
"27","20","      Single family","B944RG3",15.267,15.65,16.585,17.761,19.446,21.391,23.379,24.845,27.432,31.063,34.806,38.773,41.846,43.522,43.857,45.03,45.924,47.824,49.835,51.679,53.578,55.031,55.31,55.869,58.607,61.344,63.914,65.087,66.975,68.732,71.856,75.176,78.966,81.149,85.655,92.972,100,106.361,107.464,104.13,99.892,98.277,98.978,99.787
"28","21","      Multifamily","B292RG3",15.974,16.303,17.314,18.539,20.324,22.279,24.316,25.972,28.398,32.293,35.057,38.451,41.78,45.614,48.125,49.507,51.393,54.283,56.423,57.928,58.09,57.467,58.68,59.687,60.996,61.62,63.157,64.898,67.823,73.659,76.19,79.823,82.049,84.743,87.988,92.875,100,110.908,116.148,119.614,120.989,123.969,121.6,123.814
"29","22","    Other structures \5\","B863RG3",16.804,17.691,18.677,19.419,20.913,23.381,25.562,27.259,30.055,33.254,36.959,40.949,44.349,46.707,48.015,49.607,51.139,53.159,55.375,57.316,59.324,60.984,62.373,63.293,65.43,66.985,69.172,70.916,72.294,73.706,76.079,79.323,82.951,84.702,88.231,93.701,100,104.996,106.475,106.294,102.367,102.935,104.269,105.072
"30","23","  Equipment","B013RG3",55.127,56.198,57.11,57.297,57.646,61.211,67.093,70.509,72.779,76.305,80.677,85.924,92.125,97.804,100.237,101.04,100.431,100.954,102.386,103.401,104.343,105.114,104.663,104.575,105.131,107.126,107.462,108.032,107.899,107.262,105.513,105.144,105.016,104.135,100.902,97.822,100,101.655,102.173,100.949,99.042,93.067,90.752,91.985
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RG3",15.223,15.963,17.04,18.169,19.714,22.076,24.418,25.815,28.287,31.472,35.081,38.628,42.978,45.937,45.697,46.558,47.73,49.226,50.713,52.658,54.534,56.051,56.935,57.327,59.409,61.518,63.953,65.441,67.473,69.841,72.342,75.424,79.142,81.665,85.301,91.705,100,108.402,112.014,114.105,110.782,110.083,113.347,115.933
"33","25","  Private fixed investment in equipment and software","A327RG3",58.433,60.568,62.354,63.096,64.155,68.873,78.988,83.625,88.557,93.224,99.126,107.563,115.251,119.783,120.078,119.059,118.907,120.771,121.448,122.958,124.49,126.092,127.858,126.372,125.116,124.435,123.016,120.091,116.564,111.42,108.174,106.88,104.371,102.258,100.454,99.88,100,100.064,100.541,101,101.455,99.742,100.353,101.144
"34","26","  Private fixed investment in new structures \6\","W040RG3",15.236,15.983,17.064,18.198,19.741,22.113,24.478,25.858,28.291,31.452,35.033,38.58,42.998,45.974,45.657,46.461,47.558,48.928,50.265,52.188,54.033,55.571,56.459,56.822,58.857,60.892,63.362,64.845,66.984,69.4,71.949,74.987,78.61,81.175,84.798,91.488,100,108.957,112.939,115.603,112.458,111.846,115.667,118.454
"35","27","    Nonresidential structures","A771RG3",14.488,15.441,16.629,17.825,19.205,21.866,24.487,25.693,27.92,30.618,34.175,37.352,42.491,45.844,44.672,45.058,46.124,47.004,47.752,49.774,51.721,53.389,54.356,54.367,55.969,57.955,60.466,62.005,64.383,67.352,69.447,72.193,75.98,79.197,82.089,88.383,100,112.993,119.892,125.887,122.733,121.367,127.106,131.497
"36","28","    Residential structures","A756RG3",15.857,16.375,17.344,18.423,20.089,22.179,24.248,25.791,28.377,31.883,35.45,39.365,42.644,44.904,45.86,47.132,48.243,50.123,51.997,53.806,55.527,56.903,57.687,58.397,60.786,62.848,65.27,66.694,68.61,70.524,73.432,76.69,80.139,82.189,86.268,93.18,100,106.623,108.463,107.71,104.43,104.725,106.422,107.343
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
