"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","Gross private domestic investment","A006RX1",506.6,473.4,527.3,589.8,658.9,610.3,502.2,603.7,694.9,778.7,803.5,715.2,779.6,670.3,732.8,948.7,939.8,933.5,962.2,984.9,1024.4,989.9,909.4,983.1,1070.9,1216.4,1254.3,1365.3,1535.2,1688.9,1837.6,1963.1,1825.2,1800.4,1870.1,2058.2,2172.3,2231.8,2159.5,1939.8,1458.1,1658,1744
"12","5","Less: Consumption of fixed capital","B024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1437.1,1454.9,1459.4,1479.4
"13","6","Equals: Net private domestic investment","A557RX1",265.2,219.8,262.4,311.2,360.7,295.2,174.5,264.3,340.3,405.5,408.7,300.6,347.2,219.3,267.1,464.2,429,399.4,404.6,404.7,420.3,362.8,264.2,320.7,384.9,499.9,500.7,567.7,685.2,775,851.3,900.4,699.7,631.5,665.6,813.8,881.5,890.8,763.9,502.7,3.2,198.7,264.6
"14","7","  Fixed investment","A007RX1",493.3,482.9,519.5,581.9,635.1,595.4,531.5,583.9,667.8,748.6,790.9,739.5,756,703,754.3,881.7,928.1,938.9,944,975.1,1004.5,983.5,919.7,974.2,1057.7,1156.7,1231.2,1341.6,1465.4,1624.4,1775.5,1906.8,1870.7,1791.5,1854.7,1992.5,2122.3,2172.7,2130.6,1978.6,1602.2,1598.7,1704.5
"15","8","  Less: Consumption of fixed capital","B024RX1",241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1395.6,1437.1,1454.9,1459.4,1479.4
"16","9","  Equals: Net fixed investment","A560RX1",251.8,229.3,254.6,303.3,337,280.3,203.8,244.5,313.2,375.5,396.1,324.8,323.7,252,288.6,397.2,417.2,404.8,386.4,395,400.4,356.4,274.6,311.9,371.8,440.1,477.5,544,615.3,710.5,789.2,844.1,745.2,622.6,650.2,748.1,831.5,831.7,735,541.5,147.3,139.3,225.1
"17","10","    Nonresidential","A008RX1",270.4,269,269,293.7,336.4,339.2,305.7,320.7,356.9,410.3,451.6,450.4,476,458.1,452.2,532,567.3,551.1,550.7,579.5,611.8,614.8,581.9,600.4,652.9,712.9,787.9,861.5,965.5,1081.4,1194.3,1311.3,1274.8,1173.7,1189.6,1263,1347.3,1455.5,1550,1537.6,1259.8,1268.5,1378.2
"18","11","    Less: Consumption of fixed capital","A753RX1",173.2,182.4,190.8,200.9,215.9,229.1,238.8,247.7,259.4,273.8,290.8,306.7,321,336.6,348.4,363.4,385,403.5,422.2,439.9,459.2,477.9,492.5,506.4,525.8,551.3,582.8,620.7,666.4,723,787.7,856.5,912.5,949.6,978.7,1011.6,1051.1,1094.5,1143.1,1180.8,1196.4,1199.5,1218.1
"19","12","    Equals: Net nonresidential","A593RX1",97.2,86.5,78.2,92.8,120.5,110.1,66.9,73,97.4,136.5,160.8,143.7,155.1,121.5,103.8,168.6,182.3,147.6,128.5,139.5,152.6,136.9,89.4,94.1,127,161.6,205,240.8,299,358.4,406.5,454.8,362.3,224.1,210.8,251.4,296.2,361,406.8,356.9,63.5,69,160
"20","13","      Structures","B009RX1",260.6,261.4,257.1,265.1,286.8,280.5,251,257,267.6,306.2,345.1,365.3,394.5,388.1,346.1,394.4,422.4,376.1,365.3,367.7,375,380.6,338.2,317.8,315.8,321.5,342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,438.2,466.4,368.1,310.6,319.2
"21","14","      Less: Consumption of fixed capital","B188RX1",105.6,109.1,112.4,115.6,123.6,127,130,132.8,135.7,139.4,144,149.8,156.7,163.9,169.6,174.8,181,186,189.9,193.7,197.4,201.4,204.8,207.1,209,211,213.4,216.5,220.4,224.6,228.8,233.2,238,241.4,243.5,245.9,248.9,253.2,259.7,266.9,272.1,274.3,276.7
"22","15","      Equals: Net structures","A594RX1",155,152.2,144.7,149.5,163.2,153.6,121,124.3,131.9,166.9,201,215.5,237.8,224.1,176.6,219.6,241.5,190.1,175.4,174,177.6,179.2,133.4,110.8,106.8,110.5,128.6,144.9,167.5,183.1,179.4,206.9,195.4,115.2,99.5,100.8,102.9,130.8,178.5,199.5,96.1,36.3,42.4
"23","16","      Equipment and software","B010RX1",114.6,113.5,114.6,129.4,153.1,157,142.1,151,173.7,200.2,217.6,209.8,218.7,207.4,218.5,261.9,278.5,283.8,287.7,309.4,332,332.1,323.6,347.2,390.5,437.1,489.4,541.4,615.9,705.2,805,889.2,860.6,824.2,850,917.3,995.6,1071.1,1106.8,1059.4,885.2,963.9,1070
"24","17","      Less: Consumption of fixed capital","B189RX1",98.5,104.5,109.9,116.7,125.7,135,141.7,147.9,156.2,166.5,178.6,189.3,198.1,208,215.3,225.5,240.9,254.1,268.1,281.2,295.8,309.8,320.6,331.3,347,368,394.1,425.5,463.9,512.2,568.6,628.9,677.6,710.1,736.3,766,802.2,841.6,884.4,915.2,925.3,925.8,942.5
"25","18","      Equals: Net equipment and software","A747RX1",16.1,9,4.7,12.7,27.4,22,0.3,3.1,17.5,33.7,39,20.5,20.6,-0.6,3.2,36.3,37.6,29.6,19.6,28.1,36.3,22.3,3,15.9,43.5,69.1,95.3,115.9,152,193,236.4,260.3,182.9,114.1,113.7,151.3,193.3,229.6,222.3,144.2,-40.2,38.1,127.5
"26","19","    Residential","A011RX1",264,248.2,316.3,372.5,370.1,293.7,255.6,315.7,383.5,407.7,392.7,309.6,284.8,233.1,329.6,378.5,384.5,431.6,440.3,435.8,422.6,386.1,349,397.3,429.7,471.5,456.1,492.5,501.8,540.4,574.2,580,583.3,613.8,664.3,729.5,775,718.2,584.2,444.4,344.8,332.2,327.6
"27","20","    Less: Consumption of fixed capital","A754RX1",82.1,85.2,88.5,92.8,97.3,101.2,104.1,107,110.7,115.1,119.5,123.3,126.3,128.7,131.2,134.8,138.9,143.4,148.3,153,157.5,161.5,164.8,168,171.7,176.1,180.8,185.6,190.7,196,201.7,207.6,213.4,219.4,225.9,232.8,239.7,246.5,252.6,256.5,258.7,260.1,261.4
"28","21","    Equals: Net residential","A748RX1",181.9,163,227.7,279.7,272.8,192.5,151.4,208.7,272.8,292.6,273.2,186.3,158.5,104.4,198.3,243.7,245.6,288.3,292,282.8,265,224.6,184.2,229.3,258,295.4,275.3,306.9,311.1,344.4,372.5,372.3,369.8,394.4,438.4,496.7,535.3,471.6,331.6,187.9,86.1,72.1,66.2
"29","22","  Change in private inventories","A014RX1",30.3,5.6,25,25.7,39,29.1,-12.8,34.3,43.1,45.6,28,-9.3,39,-19.7,-7.7,78.3,25.4,8.5,33.2,21.9,30.6,16.6,-1.4,17.9,22.3,69.3,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-139,50.9,31
"30","23","Gross government investment \1\","A782RX1",174.4,162.4,145.1,135.4,139.4,146.2,148.9,151.1,146.6,157.9,167.7,172.6,167.3,165.3,178,200,227.4,248.2,262.3,260.9,271.2,288.8,290.1,292.7,282,277.2,283.9,294.6,302.7,313.3,336.5,347.5,362.5,382.5,391.6,395.1,392,404.8,411.6,430.5,433.2,430.8,399.5
"31","24","Less: Consumption of fixed capital","A264RX1",96.9,98.1,97.9,97,96.7,97.4,98.8,100.6,102.4,104.2,106.6,109.6,112.8,116.3,120.6,126.4,133.8,142,150.1,157.5,164.8,172.4,179.3,185.1,189.7,193,195.8,199.2,202.9,207.6,213.8,220,225.4,231,236.8,243.9,250.6,257.4,265.4,273,281.5,289.4,296
"32","25","Equals: Net government investment","A889RX1",77.5,64.2,47.2,38.4,42.6,48.8,50.1,50.4,44.2,53.7,61.1,62.9,54.5,49,57.4,73.6,93.7,106.3,112.3,103.4,106.5,116.4,110.8,107.6,92.2,84.2,88,95.4,99.8,105.7,122.8,127.5,137.1,151.5,154.9,151.2,141.5,147.4,146.2,157.5,151.7,141.4,103.6
"33","26","          Federal","A890RX1",-8.9,-11.9,-20.6,-23,-19.1,-14.1,-11.2,-8.6,-8,-6.4,-3.9,-2,-0.4,0.7,6.7,10.8,18,22.4,25.9,14.4,12.5,13.2,7.9,5.9,-2.7,-10.9,-11.4,-9.6,-15.6,-12,-8.6,-11.8,-10.2,-1.1,3.8,7.7,10,15.2,16.7,30,33.2,38.1,25.5
"34","27","            National defense","B891RX1",-12.3,-14.7,-24.3,-27.1,-23.2,-18.1,-15.3,-13.3,-12.9,-13.3,-10,-8.7,-6.5,-3.6,1.1,4.7,11.6,16.3,18.6,9.3,7,6.6,0.3,-3.6,-12.2,-16,-17.4,-16.9,-21.4,-19.5,-17,-15.4,-12.4,-5.5,-0.4,4.1,5.5,8.7,11.1,22.6,25.7,25.1,14.7
"35","28","            Nondefense","B892RX1",3.8,3,3.4,3.6,3.7,3.8,3.9,4.5,4.9,7,6.2,6.8,6.2,4.5,5.8,6.2,6.6,6.2,7.3,5,5.4,6.4,7.4,9.1,9.1,4.7,5.7,7,5.5,7.3,8.3,3.5,2.2,4.3,4.2,3.6,4.5,6.5,5.6,7.4,7.4,13.1,10.9
"36","29","          State and local","B893RX1",95,84.4,78.9,73.1,72,71.3,68.4,64.7,56.1,64.8,69.3,68.2,55.6,47,47,58.8,70,76.7,77.7,82.7,88,97.4,97.8,96.7,91.3,93.4,98.3,104,116.3,118.2,132,140.6,148.8,153.5,151.6,143.7,131.4,132.3,129.7,129,120.9,106.9,81.7
"37","30","  Structures","A760RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.3,209.6,219.3,219.1,232,239.4,251.1,263,265.9,259,246.5,247.7,246.1,248.8,249,242.4,216.8
"38","31","  Less: Consumption of fixed capital","B894RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.9,104.9,106.8,108.8,111,113.2,115.5,118.1,120.7,123.3,125.5,127.1,129.2,131,133.1,135.1,136.7
"39","32","  Equals: Net structures","A895RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,104.6,112.5,110.3,121.1,126.2,135.6,144.9,145.2,135.7,121,120.6,116.9,117.8,115.9,107.4,80.1
"40","33","            Federal","A896RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.7,0.9,1,-0.5,-4.3,-5,-2.6,-0.9,-3.5,-5.3,-4.2,-1.9,0.7,4.1,7.8,3.8
"41","34","              National defense","B897RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,-2.9,-3.3,-3.8,-4.6,-4.8,-5.1,-4.5,-2.9,-3.5,-3.8,-3.7,-2.3,0.5,3.3,3.1,0.1
"42","35","              Nondefense","B898RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,4.2,4.8,4.2,0.5,0,1.9,2,0,-1.6,-0.5,0.4,0.2,0.8,4.6,3.7
"43","36","            State and local","B899RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,100.9,111.6,109.3,121.5,130.5,140.6,147.5,146.1,139.2,126.3,124.8,118.8,117.3,112.2,100.3,76.9
"44","37","  Equipment and software","A871RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.6,88.5,88.5,96.7,106.3,109.8,113.5,121.4,127.2,136.6,145.5,157.3,166.4,184.4,187.3,192.8,189
"45","38","  Less: Consumption of fixed capital","B900RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,95.2,97,99.6,103.3,107.1,110.1,113.1,116.2,120.7,125,130.4,136.4,142.7,149.5,155.9,161.2
"46","39","  Equals: Net equipment and software","A901RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1,-6.7,-8.5,-2.8,2.9,2.7,3.4,8.3,11,15.9,20.5,26.9,30,41.8,37.8,36.9,27.7
"47","40","            Federal","A902RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.1,-10.9,-14.6,-11.3,-7.1,-7.2,-5,1.7,5.1,11.2,15.4,19.4,18.4,29,28.3,29,20.6
"48","41","              National defense","B905RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.3,-13.3,-17.3,-15.1,-12.1,-10.4,-7.3,-1,2.6,7.7,9.3,12.4,13.2,21.8,21.7,21.3,14.2
"49","42","              Nondefense","B906RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,2.2,3.3,4.7,3,2.2,2.6,2.5,3.6,6.1,7,5.1,7.1,6.4,7.7,6.5
"50","43","            State and local","B907RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.9,5.4,7.9,9.4,9.4,8,6.4,5.8,4.6,5.1,7.6,11.7,12.8,9.4,7.7,7.2
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RX1",659.6,638.4,660.4,715.2,772.7,739.2,677.7,732.6,813.4,906.1,958,909.9,922,866.2,930,1079.6,1152,1182.1,1200,1230.6,1269.8,1263.9,1199.8,1257.9,1333.5,1430,1511.9,1633.9,1766.8,1937.6,2112.2,2254.8,2233.3,2173.5,2245.9,2387.4,2514.3,2577.6,2542.5,2411.8,2043.7,2037.6,2106.8
"53","45","  Less: Consumption of fixed capital","A262RX1",333.6,347.3,358.7,372.1,391.8,409.6,423.8,437.3,454.6,475.3,499.7,522.9,543.8,566.2,585.1,609.5,643.1,674.1,705.5,735.1,766.2,796.5,821.2,844,872.3,906.5,947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660.9,1710,1736.6,1749.5,1776.3
"54","46","  Equals: Net domestic fixed investment","W173RX1",329.3,293.5,301.8,341.7,379.6,329.1,253.9,295,357.4,429.2,457.2,387.8,378.2,301,346,470.8,510.8,511.1,498.7,498.4,506.8,472.8,385.4,419.5,464,524.3,565.5,639.3,715.2,816.2,912,971.6,882.2,774.1,805.1,899.3,973,979.1,881.2,699,299,280.7,328.6
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Most chained (2005) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2005 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","usually not additive.  Chained (2005) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
