"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","3","  Personal income","A792RC0",3839,4089,4348,4729,5240,5716,6180,6762,7411,8250,9149,10107,11227,11915,12598,13828,14661,15356,16160,17266,18422,19373,19846,20813,21393,22299,23260,24439,25648,27251,28321,30310,31145,31464,32269,33885,35426,37709,39484,40914,38625,39777,41493,42656
"12","4","  Disposable personal income","A229RC0",3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25946,26816,27816,28827,30312,31343,33183,34550,36200,34899,35920,37013,37964
"13","5","  Personal consumption expenditures","A794RC0",2985,3161,3378,3669,4020,4362,4786,5279,5801,6413,7069,7710,8432,8938,9766,10580,11394,12036,12753,13670,14530,15331,15699,16491,17226,18033,18708,19553,20408,21432,22707,24187,25064,25835,26853,28202,29742,31126,32391,32953,32046,32978,34384,35385
"14","6","    Goods","AGDSRC0",1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7641,8198,8708,8884,9064,9387,9862,10395,10792,11150,11104,10397,10862,11617,12038
"15","7","      Durable goods","A795RC0",446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2825,3069,3243,3318,3445,3509,3658,3795,3865,3939,3641,3351,3484,3674,3879
"16","8","      Nondurable goods","A796RC0",1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4816,5129,5465,5566,5618,5877,6204,6599,6926,7211,7463,7046,7378,7943,8159
"17","9","    Services","A797RC0",1482,1607,1731,1888,2054,2251,2512,2774,3075,3432,3790,4198,4653,5065,5611,6080,6625,7068,7580,8213,8774,9370,9792,10406,10916,11403,11898,12443,13056,13791,14509,15479,16180,16771,17466,18340,19348,20334,21241,21849,21649,22116,22767,23348
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",21003,20802,21231,22121,23180,22841,22573,23555,24391,25481,25988,25618,26008,25260,26163,27799,28693,29418,30090,31043,31850,32085,31587,32228,32719,33642,34082,34948,36071,37207,38559,39718,39749,40087,40727,41761,42646,43366,43774,43219,41524,42169,42620,43245
"20","11","  Gross national product","A791RX0",21150,20946,21389,22289,23404,23094,22767,23783,24645,25730,26322,25945,26292,25554,26446,28064,28880,29543,30209,31192,32004,32276,31747,32381,32872,33755,34216,35086,36172,37281,38675,39870,39951,40274,40980,42084,42974,43599,44157,43728,41951,42784,43335,NA
"21","12","  Disposable personal income","A229RX0",14699,15151,15637,16221,17159,16871,17083,17592,18017,18662,18888,18855,19164,19397,19859,21096,21561,22073,22236,22986,23374,23557,23442,23947,24033,24505,24939,25463,26049,27287,27792,28888,29297,29981,30453,31211,31343,32303,32749,33229,32016,32335,32527,32789
"22","13","  Personal consumption expenditures","A794RX0",13200,13355,13690,14377,14946,14686,14874,15551,16044,16575,16782,16531,16615,16686,17481,18247,19028,19621,20046,20665,21050,21240,20991,21420,21894,22456,22793,23315,23888,24850,25911,26929,27383,27846,28368,29038,29742,30301,30703,30248,29399,29686,30217,30562
"23","14","    Goods","AGDSRX0",4434,4418,4545,4790,4991,4765,4751,5034,5198,5356,5382,5185,5194,5181,5461,5803,6054,6335,6392,6569,6671,6638,6420,6535,6719,6988,7112,7344,7603,8023,8563,8917,9106,9386,9728,10070,10395,10638,10850,10484,10084,10360,10675,10924
"24","15","      Durable goods","A795RX0",814,783,851,946,1036,960,953,1062,1144,1191,1172,1066,1066,1055,1194,1353,1475,1602,1619,1696,1717,1690,1578,1647,1747,1864,1915,2034,2174,2410,2692,2897,3024,3222,3403,3618,3795,3930,4085,3848,3610,3804,4046,4331
"25","16","      Nondurable goods","A796RX0",4026,4068,4092,4213,4292,4150,4145,4300,4354,4464,4529,4469,4480,4483,4588,4736,4836,4963,5003,5088,5176,5178,5095,5125,5188,5325,5393,5484,5579,5722,5945,6071,6119,6182,6334,6454,6599,6710,6771,6630,6454,6551,6651,6664
"26","17","    Services","A797RX0",8560,8792,8982,9400,9752,9848,10119,10452,10775,11158,11372,11414,11504,11616,12114,12478,13007,13273,13679,14131,14422,14684,14707,15030,15311,15578,15787,16060,16359,16882,17374,18037,18298,18470,18643,18968,19348,19663,19855,19757,19303,19329,19554,19658
"27","18","Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309776,312036,314278
