"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Structures","B009RA3",72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.86,134.869,133.594,130.057,118.743,108.062,99.98,91.848,86.033,88.731,88.245,90.222,83.055,89.561,93.866,96.449,99.421,99.56,99.558,100.962
"12","4","    Commercial and health care","W001RA3",51.814,53.572,58.429,58.6,59.328,55.972,55.425,54.608,56.34,60.222,64.565,65.06,66.195,67.369,67.183,68.154,69.578,71.178,71.043,69.219,69.023,68.878,64.159,61.386,56.615,49.659,49.743,49.267,51.463,50.348,50.257,50.432,51.526,52.891,54.832,54.043,55.036,60.332,62.487,65.134,63.29,70.67,76.094,79.611,82.735,79.67,77.318,78.838,83.48,85.22,86.845,89.185,91.508,94.426,94.973,94.648,90.294,86.53,92.833,94.846,101.386,110.871,113.199,118.24,125.516,128.809,127.688,130.34,127.181,118.909,115.218,114.496,111.216,112.369,115.944,119.07,116.389,120.075,118.99,116.82,118.517,112.943,118.491,116.348,116.852,113.634,112.649,104.695,94.806,91.101,83.881,78.151,79.155,79.751,81.163,83.309,83.555,84.018,82.826,86.015,82.089,90.61,89.77,89.548,92.546,93.871,93.645,92.835,93.139,99.106,102.295,107.133,111.751,107.234,113.139,111.748,113.039,118.967,117.459,122.038,121.112,122.148,122.648,122.782,123.681,129.371,133.536,134.844,133.715,128.748,120.168,113.534,111.453,106.369,102.635,99.758,96.201,97.315,99.741,100.467,98.993,102.849,102.633,99.032,100.721,100.304,98.942,100.034,102.313,105.632,108.525,107.778,112.946,116.57,118.481,118.704,117.542,116.081,112.625,103.162,89.874,81.799,73.839,65.988,61.215,58.63,57.082,56.707,54.532,57.052,58.761,58.016,59.559,61.034,62.298,63.184
"13","5","    Manufacturing","C307RA3",143.706,139.051,143.291,140.251,134.819,139.701,139.947,132.321,127.651,117.09,103.228,103.591,98.847,99.878,98.744,96.848,111.422,116.277,128.628,132.4,137.883,139.563,132.522,146.97,134.87,134.535,133.583,130.87,136.008,125.126,117.259,114.731,119.603,125.732,127.355,133.707,138.054,153.283,186.799,197.133,208.839,207.107,205.84,207.972,191.455,180.696,161.774,160.129,182.011,191.442,211.125,203.523,202.215,198.966,183.415,176.184,151.925,140.13,139.887,118.465,135.022,140.584,147.191,146.55,159.019,159.629,159.2,159.118,145.171,131.36,126.203,132.38,119.404,125.283,139.674,137.271,130.702,137.975,137.157,144.502,150.407,163.175,173.663,172.161,188.649,191.135,189.485,177.668,183.075,176.524,161.843,166.447,166.285,158.107,153.519,153.756,126.019,118.695,125.3,126.049,129.125,146.485,150.739,160.78,164.561,178.023,176.777,172.941,182.199,178.367,174.742,192.601,174.307,168.186,179.28,173.466,183.276,182.024,177.494,175.852,163.934,149.763,146.274,139.455,145.204,158.493,156.426,158.104,168.526,158.946,152.436,121.154,101.561,90.903,80.132,78.338,75.73,82.607,83.18,83.625,81.68,79.391,83.351,96.704,100.754,97.754,99.688,101.804,103.347,111.213,116.593,109.864,113.4,119.084,139.253,149.627,150.938,162.708,166.656,170.233,185.903,181.556,166.636,146.606,139.483,133.212,117.145,102.77,99.712,118.755,134.587,141.402,138.557,146.859,143.48,148.401
"14","6","    Power and communication","W003RA3",101.943,101.187,101.351,103.946,105.785,110.583,115.923,114.518,114.596,114.979,111.508,109.288,117.173,115.602,117.25,119.718,121.701,125.345,127.794,124.977,122.88,118.593,116.614,109.761,107.721,105.921,107.037,109.777,107.202,117.219,122.71,122.069,112.527,117.785,116.581,115.159,116.085,120.894,122.691,124.403,124.494,125.496,126.366,125.919,128.963,127.546,125.695,124.882,129.179,129.539,130.005,131.363,129.008,125.82,121.966,114.287,109.077,105.176,100.727,107.39,104.694,107.907,109.705,109.232,107.263,106.272,105.909,107.202,115.737,117.689,113.88,108.093,104.532,101.968,99.733,98.845,95.951,93.521,96.478,96.093,101.462,100.565,97.046,97.622,89.723,90.479,92.616,96.255,103.854,108.824,111.546,114.22,114.163,115.925,116.52,118.208,115.172,108.868,105.678,104.706,99.938,97.253,98.06,98.54,102.788,103.195,100.738,95.175,90.645,86.39,83.21,85.555,80.44,81.697,84.594,86.597,86.514,99.845,106.616,98.329,113.516,105.022,118.024,125.021,125.552,124.562,139.75,142.414,118.502,140.842,139.653,150.053,152.637,135.969,122.495,124.662,134.403,128.004,117.695,113.258,111.427,95.41,98.486,104.064,102.948,99.954,97.759,99.339,107.741,103.957,108.171,111.478,124.137,141.777,159.261,175.171,176.361,165.003,154.163,159.725,160.615,165.811,173.282,159.935,128.698,138.331,132.899,153.664,117.053,124.467,129.361,132.282,156.17,147.934,144.441,146.102
"15","7","    Mining exploration, shafts, and wells","E318RA3",48.992,51.368,53.582,52.778,50.083,49.063,46.216,49.112,47.461,42.791,44.406,45.279,47.453,48.03,47.436,50.101,49.012,49.825,52.895,54.41,56.096,62.738,62.746,63.423,67.333,69.504,73.639,75.585,78.226,74.492,76.882,79.178,83.688,86.955,88.608,89.457,82.271,97.223,103.86,114.317,109.425,94.074,105.088,114.962,124.359,129.514,160.756,180.458,146.721,164.703,164.884,215.538,191.285,168.69,143.153,136.324,140.407,123.494,128.191,137.384,147.677,146.213,155.502,152.527,154.039,135.366,124.534,122.342,113.98,71.998,61.982,66.266,67.406,65.754,82.618,91.404,85.069,88.746,83.387,79.758,70.033,76.534,79.605,78.605,86.346,88.87,87.663,89.268,94.884,93.402,76.598,79.354,69.942,67.15,70.805,77.053,80.405,78.89,81.664,90.197,79.604,78.181,80.013,84.061,73.913,67.241,65.961,66.114,68.727,73.74,73.868,74.84,84.419,87.141,84.908,86.036,77.958,77.784,75.989,67.831,61.129,64.929,60.621,66.822,70.448,78.113,82.124,85.717,93.018,95.637,99.264,85.142,67.191,65.007,70.754,69.918,70.175,78.709,81.176,81.387,85.343,91.611,93.03,92.609,99.375,105.309,98.75,96.566,104.496,115.932,117.987,119.749,116.669,122.017,126.547,120.653,120.398,132.636,136.826,136.995,114.859,84.002,71.414,73.052,82.251,97.118,108.761,113.13,111.104,120.736,126.832,133.159,130.273,128.909,130.062,130.695
"16","8","    Other structures \1\","W004RA3",73.549,74.367,78.119,74.854,72.85,70.174,69.568,70.127,68.679,66.817,65.227,64.475,66.202,66.343,67.029,68.506,69.916,73.112,73.115,72.841,69.251,67.212,64.105,63.64,58.621,59.242,58.111,57.043,60.491,60.222,61.451,62.454,62.153,63.786,64.98,67.17,66.861,73.416,76.289,76.503,75.691,79.873,83.171,83.449,83.032,79.658,75.075,75.031,77.363,75.563,77.247,72.691,72.137,70.803,69.911,72.871,70.696,75.045,73.949,81.763,84.892,88.448,90.798,89.212,93.804,99.33,96.555,99,95.884,88.857,88.744,91.884,94.508,97.507,97.169,97.949,92.048,91.465,87.74,89.61,92.722,89.463,92.136,94.016,98.666,99.518,99.377,93.502,91.316,85.447,82.842,79.725,77.049,79.799,80.542,77.019,78.699,85.965,88.427,86.256,83.459,84.986,82.706,80.736,86.035,89.287,96.313,99.852,105.454,106.383,110.01,115.027,117.54,122.394,124.225,131.388,123.003,131.495,133.079,134.439,132.68,133.973,127.421,128.67,132.767,135.316,137.606,132.6,124.39,124.023,146.634,117.949,111.823,111.105,105.526,104.161,100.829,106.961,105.541,104.377,103.08,107.296,107.444,105.536,102.983,98.537,98.288,100.192,103.075,109.889,110.877,112.949,112.394,123.92,130.99,136.64,139.633,144.706,144.707,138.578,126.32,123.889,113.315,100.382,90.96,86.997,82.906,79.279,75.028,79.16,80.602,82.619,83.223,85.896,85.921,87.893
"17","9","  Equipment and software","B010RA3",11.332,11.474,11.655,11.593,11.539,11.508,11.575,10.972,11.148,11.43,11.527,11.941,12.395,12.68,12.979,13.934,14.697,15.378,15.587,15.861,15.882,15.862,15.968,15.383,14.356,14.074,14.231,14.429,14.622,14.919,15.338,15.778,16.73,17.144,17.553,18.369,18.655,20.112,20.535,21.119,21.884,21.621,22.115,21.825,22.009,20.527,20.716,21.049,21.613,21.813,22.329,22.13,21.735,20.906,20.524,20.15,20.082,21.114,22.342,24.262,24.734,25.957,26.832,27.691,27.531,28.166,27.824,28.376,28.169,28.574,28.461,28.813,27.965,28.804,29.599,29.213,30.124,30.919,31.364,31.89,32.442,33.297,34.153,33.513,33.819,33.032,33.405,33.19,32.266,32.224,32.744,32.781,32.744,34.575,35.43,36.743,37.427,38.816,39.338,41.324,42.484,42.818,43.922,46.393,48.538,48.66,48.977,50.456,51.83,53.442,55.606,56.653,58.432,60.58,63.946,64.486,67.764,69.84,71.257,74.486,76.91,80.111,83.187,83.219,86.812,89.896,90.113,90.46,90.18,86.853,84.67,84.048,82.967,82.74,83.495,81.954,81.943,84.144,86.818,88.603,87.837,90.666,93.663,96.385,96.951,99.015,101.699,102.334,106.721,107.314,107.855,108.471,109.728,110.781,111.475,112.69,112.22,109.945,106.148,97.33,89.688,87.704,88.474,89.777,92.913,95.582,98.309,100.486,103.161,105.12,109.637,111.972,113.46,114.79,114.049,117.148
"18","10","    Information processing equipment and software","B679RA3",1.045,1.136,1.218,1.276,1.319,1.34,1.298,1.315,1.294,1.397,1.433,1.498,1.576,1.581,1.621,1.674,1.772,1.858,1.92,2.048,2.092,2.093,2.235,2.299,2.234,2.161,2.143,2.149,2.22,2.381,2.535,2.739,2.777,2.921,3.035,3.238,3.436,3.779,4.009,4.237,4.429,4.515,4.751,5.012,5.232,5.314,5.6,5.698,5.962,6.153,6.421,6.741,6.998,6.724,6.767,6.635,7.12,7.639,8.047,8.776,9.096,9.773,10.285,10.91,10.849,11.185,11.065,11.498,11.726,12.085,11.976,12.453,12.292,12.591,13.173,13.175,13.54,14.175,14.507,14.765,15.289,16.085,16.631,16.898,17.141,17.072,16.862,17.298,17.129,17.625,18.226,18.861,19.281,20.353,21.452,21.822,22.409,22.866,24.056,24.499,25.275,25.904,26.659,27.834,29.129,30.576,31.238,33.055,34.808,36.326,38.059,39.365,41.85,44.235,47.616,49.458,52.758,55.009,56.816,60.257,63.571,68.307,71.452,72.067,76.892,80.842,82.324,84.971,84.878,81.34,79.145,78.252,77.759,78.453,80.027,78.413,80.729,81.935,86.516,90.57,90.78,92.313,93.971,95.822,97.117,99.09,101.317,102.476,106.769,107.518,109.863,110.415,114.885,115.411,117.517,121.973,122.657,122.736,120.297,113.766,112.34,113.045,116.134,118.324,118.603,118.698,120.72,123.109,123.274,125.858,126.984,129.06,130.924,130.124,129.289,133.891
"19","11","      Computers and peripheral equipment \2\","B935RA3",0.006,0.007,0.008,0.009,0.01,0.01,0.009,0.009,0.009,0.012,0.014,0.016,0.02,0.019,0.02,0.019,0.019,0.021,0.02,0.024,0.023,0.023,0.033,0.033,0.031,0.027,0.026,0.029,0.032,0.04,0.043,0.05,0.051,0.057,0.063,0.074,0.086,0.111,0.132,0.154,0.166,0.181,0.203,0.233,0.241,0.282,0.344,0.371,0.416,0.432,0.484,0.594,0.637,0.567,0.585,0.583,0.735,0.852,0.975,1.039,1.194,1.372,1.57,1.754,1.715,1.882,1.805,1.991,2.107,2.209,2.055,2.129,2.433,2.599,2.817,2.833,2.861,3.025,3.136,3.184,3.385,3.742,3.837,3.876,3.83,3.66,3.47,3.706,3.594,3.724,4.068,4.544,4.62,5.372,5.828,5.97,6.479,6.67,7.327,7.45,7.933,8.306,8.729,9.734,10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,136.32,134.657,141.009,149.591,157.387,160.738,151.47,136.328,138.593,141.419,140.961,149.704,146.682,147.782,145.034,148.634,149.544,165.662,170.301,174.897,180.984,171.374,154.957,177.607
"20","12","      Software \3\","B985RA3",0.541,0.6,0.669,0.735,0.789,0.828,0.827,0.803,0.796,0.836,0.88,0.941,0.976,1.006,1.037,1.033,1.075,1.121,1.175,1.237,1.267,1.286,1.366,1.469,1.59,1.597,1.57,1.561,1.591,1.682,1.757,1.834,1.778,1.785,1.78,1.809,1.907,2.039,2.182,2.347,2.448,2.578,2.699,2.829,2.92,3.024,3.174,3.335,3.435,3.528,3.662,3.85,4.108,4.212,4.214,4.18,4.42,4.723,5.128,5.43,5.698,5.983,6.393,6.833,7.083,7.366,7.438,7.698,7.909,8.222,8.381,8.584,8.867,9.235,9.621,10.006,10.413,10.901,11.501,12.16,13.026,13.973,15.017,15.942,16.504,17.054,16.9,17.85,18.429,19.026,19.505,20.407,21.299,22.275,23.14,24.181,24.65,25.095,25.703,26.185,26.973,27.609,28.27,28.769,29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,109.593,109.72,110.609,112.003,115.113,115.303,115.559,114.126,113.848,115.208,116.553,118.328,117.956,117.283,119.3,121.341,123.629,125.821,128.231,130.936,131.563,133.533,134.78,137.417
"21","13","      Other \4\","B937RA3",8.166,8.7,9.214,9.529,9.502,9.697,9.527,9.644,9.431,9.756,9.732,9.91,9.953,10.056,10.241,10.915,11.683,12.19,12.697,13.334,13.652,13.685,13.785,14.084,13.516,13.223,13.217,13.058,13.324,13.91,14.844,15.97,16.323,17.134,17.713,18.658,19.382,20.626,21.303,21.939,22.812,22.754,23.573,24.336,25.499,24.869,25.173,25.017,25.727,26.528,27.101,26.979,27.552,26.758,26.743,26.011,26.441,27.534,27.76,30.793,30.484,32.015,32.297,33.346,33.019,32.978,32.898,33.331,33.353,34.021,34.33,35.914,32.721,32.652,33.654,33.066,34.108,35.551,35.723,35.81,36.071,36.707,37.425,37.334,37.962,37.792,37.89,37.624,36.676,37.536,38.15,37.981,38.442,39.088,41.005,40.934,41.173,41.905,43.944,44.775,45.584,46.29,47.303,48.6,50.351,50.791,49.954,51.005,53.373,54.883,56.475,56.682,57.114,58.611,61.896,62.833,65.767,67.112,67.652,70.174,71.353,74.952,77.832,77.665,85.895,89.607,91.883,95.817,93.016,88.349,86.408,84.315,79.983,80.295,80.541,79.259,82.108,84.127,88.643,92.896,93.054,95.302,94.561,93.933,97.826,98.706,101.902,101.566,108.713,107.569,108.566,107.489,112.641,114.44,116.605,123.597,118.758,117.643,113.957,103.613,99.514,98.657,105.05,105.761,107.896,108.708,112.098,114.503,111.626,110.726,109.096,109.545,111.804,109.83,110.649,112.628
"22","14","    Industrial equipment","B680RA3",53.472,54.568,56.213,55.639,56.956,56.074,55.988,53.995,51.398,50.527,50.742,52.157,51.87,54.307,56.516,58.156,60.379,64.297,66.582,69.847,71.086,71.832,70.622,67.619,61.415,59.353,59.04,58.583,59.9,59.921,59.699,60.049,61.383,61.453,64.355,66.709,67.564,70.095,72.288,72.547,75.847,75,74.718,77.12,75.285,72.284,70.457,71.643,71.405,71.307,71.459,70.898,68.425,66.354,64.271,61.359,58.088,58.225,60.867,62.558,66.191,67.712,69.292,71.18,70.64,72.349,70.958,73.099,71.733,70.688,71.774,71.51,69.774,68.871,70.28,69.672,69.775,72.638,74.963,75.202,77.758,78.393,79.575,77.258,76.737,73.329,73.569,71.249,70.116,69.024,69.029,67.825,67.607,69.046,70.754,73.627,74.261,74.689,75.683,80.258,80.816,81.434,83.691,86.145,89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,108.107,115.872,116.112,110.566,110.791,109.999,108.443,103.863,90.131,85.54,83.448,82.19,80.34,85.109,84.924,86.984,90.504,90.67,98.107,102.97,99.283,102.504,102.531,104.893
"23","15","    Transportation equipment","B681RA3",39.836,38.99,37.997,35.815,32.833,32.103,32.823,27.481,32.539,33.383,33.325,36.015,37.99,38.148,37.409,43.594,45.685,48.257,47.805,47.226,45.583,44.312,43.825,37.333,36.123,35.009,37.668,38.562,39.522,40.156,41.021,43.141,48.519,49.643,49.375,51.583,51.104,56.755,55.752,56.456,59.857,56.642,58.842,54.393,51.846,44.666,45.828,45.202,46.926,45.172,46.47,43.801,43.136,40.534,37.625,40.29,40.198,42.03,46.576,53.147,50.943,54.273,55.561,55.964,55.295,56.718,57.383,55.84,53.087,54.593,55.306,53.643,49.301,53.972,53.007,49.707,54.489,54.402,53.028,55.253,50.332,49.854,49.944,45.431,48.367,46.194,50.877,49.075,48.797,46.792,48.154,45.55,43.031,50.199,47.055,52.357,51.693,59.118,54.949,62.624,65.584,63.184,64.836,73.935,78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,107.35,101.288,99.745,100.511,99.399,87.073,73.548,54.074,36.78,36.236,37.769,41.254,54.685,62.849,72.097,73.617,78.751,81.376,89.31,95.551,100.004,103.729,99.273,101.113
"24","16","    Other equipment \5\","B862RA3",36.858,36.109,36.005,36.507,36.966,37.558,39.025,38.207,37.214,38.008,38.276,37.787,39.865,41.455,43.61,46.522,50.11,50.783,50.594,48.861,48.921,49.547,49.131,50.184,44.739,45.721,45.418,47.253,45.926,45.638,47.104,45.958,50.199,51.381,52.117,54.021,53.822,57.216,57.71,60.069,59.508,59.393,59.448,54.96,58.426,50.625,49.258,51.402,52.728,54.551,55.442,52.647,48.117,46.849,47.069,44.306,40.892,44,45.41,49.258,49.81,50.462,51.393,51.673,51.844,51.962,50.2,51.275,51.094,51.026,49.174,50.249,49.542,50.876,53.256,53.54,54.063,53.761,54.555,54.834,58.587,60.051,62.528,61.291,59.675,58.349,58.244,57.002,51.134,50.227,49.116,48.856,48.576,48.381,50.334,50.981,53.175,53.788,54.231,55.871,57.147,58.143,58.929,60.339,62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,100.547,103.846,103.699,103.742,100.59,101.201,101.632,94.069,87.751,80.969,78.488,78.006,82.095,83.125,83.795,86.14,91.054,92.66,98.198,94.919,97.602,99.239,101.494,103.244
"25","17","Residential","B011RA3",35.118,34.741,34.457,31.937,32.001,29.868,31.46,34.776,36.632,40.329,42.316,43.956,46.888,47.807,47.918,49.63,51.3,48.69,46.624,44.396,41.14,39.346,38.05,33.043,31.002,31.668,33.873,35.356,38.97,40.091,39.437,44.464,45.805,51.045,50.884,50.211,50.464,52.888,53.623,53.434,52.185,51.211,50.602,48.691,44.965,36.646,37.273,40.915,40.183,38.821,35.826,32.157,30.303,29.347,29.254,31.396,36.747,41.1,45.171,47.08,48.388,49.283,48.81,48.861,48.709,49.098,49.722,50.904,53.08,56.026,56.889,56.787,56.637,56.886,56.714,56.992,55.759,56.201,56.236,56.73,56.358,54.689,54.093,52.957,53.496,51.438,48.516,45.828,43.102,44.12,45.949,46.957,49.352,51.24,51.358,53.102,53.344,53.972,55.835,58.647,59.891,61.875,61.199,60.397,59.055,57.157,58.924,60.261,61.845,64.457,64.28,63.615,63.831,64.638,64.935,65.601,66.771,68.778,70.842,72.538,72.969,73.755,74.367,75.278,75.867,75.349,74.027,74.091,74.43,75.477,75.885,75.24,77.249,79.143,79.604,80.82,81.601,83.454,87.708,90.085,90.898,94.318,95.274,96.03,97.776,100.05,101.075,101.099,100.024,95.488,89.974,85.182,81.458,78.89,73.635,67.531,62.104,59.721,56.484,51.072,45.843,43.058,44.799,44.257,42.934,45.223,41.57,41.72,41.577,41.994,42.139,43.361,45.433,46.364,47.855,49.819
"26","18","  Structures","B012RA3",35.716,35.28,34.974,32.329,32.387,30.16,31.789,35.197,37.109,40.914,42.962,44.607,47.578,48.506,48.564,50.296,51.971,49.257,47.116,44.792,41.388,39.516,38.214,33.141,31.04,31.716,33.975,35.49,39.224,40.369,39.672,44.853,46.298,51.599,51.353,50.605,50.909,53.372,54.136,53.915,52.615,51.557,50.877,48.911,45.09,36.582,37.212,40.94,40.177,38.807,35.718,31.955,30.088,29.097,29.005,31.201,36.644,41.083,45.217,47.155,48.463,49.346,48.845,48.881,48.705,49.068,49.682,50.848,53.048,56.069,56.928,56.811,56.655,56.904,56.682,56.944,55.699,56.127,56.159,56.647,56.267,54.557,53.981,52.801,53.348,51.272,48.307,45.583,42.807,43.819,45.726,46.773,49.174,51.1,51.217,52.971,53.225,53.86,55.749,58.645,59.926,61.928,61.239,60.382,59.022,57.104,58.893,60.26,61.897,64.534,64.375,63.684,63.931,64.747,65.042,65.714,66.884,68.887,70.968,72.669,73.073,73.83,74.416,75.333,75.894,75.358,74.007,74.055,74.4,75.46,75.866,75.18,77.206,79.119,79.599,80.823,81.615,83.451,87.711,90.091,90.881,94.321,95.264,95.995,97.766,100.057,101.092,101.084,99.97,95.399,89.818,84.973,81.196,78.612,73.283,67.104,61.627,59.201,55.977,50.566,45.302,42.505,44.241,43.668,42.306,44.586,40.903,41.034,40.876,41.285,41.418,42.633,44.731,45.679,47.164,49.137
"27","19","    Permanent site","B943RA3",41.777,41.238,39.757,37.943,35.974,33.423,36.439,39.547,43.324,48.068,51.175,53.342,57.565,59.327,59.267,60.839,63.191,62.029,58.363,52.321,47.202,45.074,41.922,36.487,32.234,30.47,32.756,35.207,38.97,41.712,44.023,47.042,50.565,57.12,57.037,56.884,55.959,57.576,59.47,58.778,56.472,54.834,54.184,51.402,44.683,35.154,33.951,38.582,40.002,38.124,33.608,28.8,26.697,25.996,26.81,30.034,37.006,42.703,48.234,51.045,52.375,53.103,52.641,52.189,51.952,51.641,51.514,52.489,54.973,57.737,59.584,59.438,58.549,58.513,58.622,59.156,56.496,56.379,56.176,57.351,57.574,55.765,54.397,53.074,54.512,52.044,48.269,44.627,40.363,40.904,44.489,45.937,47.785,50.783,50.253,51.398,51.856,51.898,53.481,56.486,58.653,61.189,60.401,59.057,57.24,54.001,55.12,57.162,59.179,62.424,61.889,61.01,60.872,61.658,61.101,62.195,63.672,65.804,68.78,70.911,71.641,71.534,72.125,73.868,74.712,73.799,71.451,71.546,72.523,73.817,74.147,72.732,73.898,76.245,77.005,77.879,79.524,80.595,84.908,89.841,90.392,93.354,94.902,94.979,97.684,99.323,100.651,102.342,101.968,95.035,87.652,80.412,75.155,71.787,66.296,58.492,51.678,48.388,43.144,37.184,29.728,25.161,26.688,26.655,26.704,27.44,25.377,24.353,24.73,24.585,25.065,25.579,27.362,28.955,30.901,33.494
"28","20","      Single family","B944RA3",32.121,30.589,29.085,27.246,25.414,23.573,25.967,28.468,31.689,35.639,37.399,38.842,41.736,42.536,42.743,43.637,45.546,44.451,40.731,36.205,33.118,33.375,32.245,29.376,26.766,27.094,30.286,32.828,36.96,39.929,41.854,44.144,47.446,53.912,53.83,54.078,53.045,53.732,55.058,54.319,51.519,48.711,47.412,43.908,37.011,28.431,27.997,32.5,33.006,31.285,27.325,22.967,20.923,20.698,21.48,24.801,31.296,36.471,41.383,43.412,44.585,45.247,43.815,43.382,43.479,43.522,43.546,44.954,47.137,49.355,52.137,52.278,53.067,54.01,54.742,55.208,53.072,53.609,53.305,54.436,54.591,52.404,50.947,50.316,52.16,49.609,45.591,41.916,37.651,39.15,43.729,45.338,47.696,50.341,50.86,52.551,53.494,53.627,55.03,58.458,60.611,62.793,61.274,59.457,57.144,53.606,54.382,56.492,58.416,61.423,61.722,60.557,59.866,60.447,60.154,60.874,62.747,65.497,68.596,70.859,71.409,71.131,71.387,73.5,74.712,73.544,71.322,71.055,71.991,73.388,73.723,71.951,73.041,75.467,76.364,77.457,79.109,80.311,84.807,90.334,90.861,93.772,95.039,95.037,97.772,99.242,100.543,102.443,102.06,94.442,86.405,77.977,72.44,69.613,64.135,55.848,48.36,44.555,38.846,32.856,25.291,21.494,24.65,25.863,26.715,28.091,26.013,24.87,25.091,24.776,25.221,25.759,27.34,28.47,30.328,32.771
