"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross national product","A001RG3",9.876,9.496,8.558,7.582,7.38,7.742,7.898,7.991,8.284,8.131,8.028,8.102,8.633,9.349,9.792,10.024,10.277,11.576,12.874,13.599,13.59,13.714,14.639,14.959,15.153,15.309,15.531,16.064,16.625,17.011,17.239,17.478,17.671,17.89,18.092,18.37,18.708,19.233,19.792,20.635,21.65
"12","5","Less: Consumption of fixed capital","A262RG3",10.148,9.733,9.059,8.115,7.988,8.543,8.554,8.725,9.385,9.489,9.416,9.618,10.344,11.436,11.895,12.143,12.089,13.244,15.193,16.302,16.601,16.825,18.298,18.729,18.946,19.036,19.358,20.511,21.378,21.628,21.954,22.083,22.117,22.258,22.371,22.535,22.828,23.317,23.919,24.825,25.988
"13","6","  Private","A024RG3",9.513,9.137,8.523,7.672,7.469,7.916,7.962,8.072,8.752,8.873,8.825,9.04,9.687,10.852,11.402,12.057,12.425,13.454,15.444,16.789,17.179,17.561,19.07,19.548,19.831,19.946,20.221,21.388,22.287,22.583,22.936,23.09,23.078,23.148,23.169,23.37,23.688,24.201,24.872,25.848,27.069
"14","7","  Government","A264RG3",10.485,9.906,9.043,7.758,8.337,9.498,9.238,9.782,10.027,9.981,9.772,9.819,10.757,11.403,11.607,11.243,10.73,11.921,13.662,14.332,14.447,14.332,15.648,15.953,16.018,16.053,16.452,17.508,18.258,18.4,18.648,18.72,18.842,19.113,19.392,19.476,19.7,20.113,20.538,21.249,22.226
"15","8","    General government","A265RG3",11.091,10.432,9.492,8.114,8.752,9.797,9.621,10.127,10.297,10.205,10.008,10.063,11.072,11.747,11.995,11.573,11.026,12.255,14.038,14.688,14.803,14.68,16.022,16.324,16.373,16.411,16.823,17.896,18.663,18.81,19.091,19.166,19.297,19.579,19.871,19.95,20.169,20.578,21.001,21.718,22.695
"16","9","    Government enterprises","A266RG3",5.802,5.642,5.253,4.603,4.84,6.091,5.614,6.155,6.603,6.732,6.529,6.539,6.978,7.409,7.205,7.689,7.753,8.502,9.886,11.056,11.178,11.174,12.279,12.647,12.912,12.912,13.183,14.125,14.712,14.802,14.64,14.684,14.694,14.848,14.989,15.144,15.447,15.947,16.435,17.13,18.176
"17","10","Equals: Net national product","A027RG3",9.748,9.376,8.414,7.442,7.231,7.564,7.735,7.819,8.07,7.893,7.788,7.848,8.354,9.029,9.464,9.691,9.968,11.261,12.473,13.149,13.108,13.221,14.079,14.385,14.573,14.734,14.943,15.406,15.929,16.325,16.541,16.788,16.996,17.221,17.431,17.718,18.057,18.58,19.128,19.955,20.943
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RG3",9.774,9.4,8.435,7.461,7.248,7.58,7.752,7.837,8.091,7.913,7.81,7.871,8.378,9.055,9.493,9.722,9.998,11.29,12.504,13.181,13.141,13.254,14.116,14.423,14.611,14.772,14.979,15.444,15.968,16.365,16.579,16.827,17.035,17.259,17.468,17.756,18.094,18.618,19.167,19.994,20.986
"20","12","  Net domestic purchases","W367RG3",9.528,9.136,8.21,7.239,7.021,7.333,7.497,7.592,7.853,7.672,7.59,7.636,8.115,8.754,9.175,9.384,9.661,10.987,12.157,12.831,12.817,12.979,13.862,14.135,14.293,14.468,14.661,15.105,15.598,15.964,16.179,16.417,16.608,16.817,17.04,17.332,17.645,18.15,18.651,19.451,20.407
