"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","          Value added","W102RG3",12.716,12.871,13.263,13.44,13.942,14.211,14.453,14.69,15.208,15.515,15.745,15.997,16.606,16.802,16.986,17.313,17.624,17.889,18.127,18.458,18.664,19.001,19.379,19.931,20.3,20.734,21.044,21.458,21.701,21.93,22.127,22.538,22.906,23.26,23.578,24.189,24.53,24.85,25.164,25.642,26.139,26.493,27.079,27.722,28.181,28.72,29.366,30.631,31.259,31.72,32.111,33.073,33.588,34.072,34.619,35.34,35.705,36.072,36.488,36.881,37.746,38.162,38.597,39.064,39.756,39.999,40.287,40.784,41.056,41.444,41.86,42.341,42.679,43.087,43.465,43.815,44.438,44.996,45.445,45.932,46.733,47.236,47.77,48.284,48.95,49.622,50.115,50.818,51.687,52.192,52.805,53.417,54.276,54.998,55.447,55.889,56.232,56.586,57.049,57.446,57.987,58.497,58.817,59.41,59.942,60.156,60.42,61.057,61.681,61.435,61.797,62.179,62.802,63.175,63.499,63.95,64.424,64.813,65.31,65.931,66.88,67.63,68.307,68.977,69.913,70.329,71.191,71.882,72.667,73.279,74.006,74.69,75.781,76.134,76.605,77.524,79.032,79.771,80.44,81.114,82.862,83.817,84.591,85.196,86.72,87.375,88.108,88.784,90.253,91.032,91.65,92.441,94.285,94.858,95.519,96.113,97.485,98.181,98.74,99.302,99.645,99.778,100.128,100.449,101.831,102.787,103.395,103.75,104.02,104.727,105.147,104.971,105.654,105.81,105.77,106.13,106.321,106.495,106.805,107.932,107.875
"12","4","            Compensation of general government employees","A194RG3",10.871,10.996,11.4,11.548,12.05,12.292,12.503,12.7,13.216,13.51,13.731,13.973,14.583,14.773,14.933,15.249,15.524,15.742,15.93,16.2,16.302,16.511,16.753,17.224,17.546,17.964,18.257,18.652,18.853,19.054,19.205,19.587,19.921,20.241,20.54,21.131,21.41,21.668,21.92,22.37,22.818,23.083,23.587,24.157,24.512,24.933,25.464,26.688,27.208,27.53,27.815,28.726,29.147,29.538,30.061,30.805,31.16,31.546,31.945,32.338,33.224,33.642,34.097,34.606,35.357,35.62,35.916,36.464,36.763,37.167,37.617,38.11,38.485,38.932,39.32,39.654,40.281,40.861,41.317,41.812,42.675,43.185,43.739,44.275,44.98,45.701,46.189,46.956,47.879,48.382,49.038,49.762,50.807,51.611,52.106,52.522,52.857,53.202,53.693,54.057,54.653,55.171,55.423,55.987,56.441,56.626,56.863,57.603,58.298,57.992,58.402,58.858,59.545,59.911,60.273,60.796,61.397,61.825,62.372,63.045,64.157,64.959,65.727,66.39,67.396,67.779,68.728,69.51,70.445,71.173,72.066,72.88,74.179,74.584,75.127,76.233,77.991,78.845,79.598,80.386,82.446,83.447,84.164,84.663,86.404,87.006,87.678,88.329,90.036,90.776,91.386,92.114,94.082,94.618,95.27,95.844,97.334,98.012,98.491,99.012,99.428,99.706,100.26,100.606,102.255,103.316,104.007,104.317,104.486,105.179,105.56,105.25,105.973,106.047,105.946,106.377,106.567,106.71,107.032,108.297,108.138
"13","5","            Consumption of general government fixed capital \2\","A265RG3",22.27,22.59,22.798,23.124,23.497,23.892,24.284,24.733,25.133,25.458,25.689,25.948,26.396,26.585,26.888,27.205,27.693,28.212,28.732,29.403,30.286,31.421,32.659,33.628,34.235,34.66,35.002,35.445,35.913,36.278,36.755,37.253,37.761,38.264,38.634,39.229,39.91,40.578,41.241,41.795,42.504,43.383,44.387,45.367,46.434,47.637,48.915,50.171,51.387,52.667,53.675,54.766,55.789,56.774,57.377,57.821,58.191,58.376,58.838,59.168,59.786,60.126,60.393,60.555,60.824,60.927,61.146,61.298,61.397,61.663,61.863,62.241,62.365,62.534,62.846,63.258,63.83,64.247,64.639,65.066,65.523,65.974,66.386,66.776,67.221,67.631,68.133,68.5,69.084,69.585,69.979,70.038,69.99,70.304,70.531,71.09,71.468,71.861,72.187,72.736,73.012,73.482,74.114,74.837,75.724,76.075,76.461,76.614,76.905,76.937,77.072,77.113,77.434,77.841,77.982,78.1,77.983,78.185,78.451,78.831,79.028,79.533,79.794,80.497,81.109,81.671,82.131,82.408,82.503,82.587,82.557,82.647,82.787,82.901,83.047,83.119,83.49,83.712,84.005,84.175,84.545,85.3,86.322,87.385,87.978,88.855,89.846,90.627,91.098,92.043,92.689,93.741,95.082,95.801,96.494,97.175,98.077,98.845,99.715,100.44,100.491,100.054,99.616,99.839,100.193,100.751,101.049,101.577,102.224,102.983,103.547,103.866,104.4,104.85,105.034,105.137,105.333,105.617,105.883,106.52,106.825
"14","6","          Intermediate goods and services purchased \3\","W104RG3",17.596,18.035,18.175,18.472,18.387,18.451,18.813,18.965,19.17,19.457,19.759,20.003,19.955,20.14,20.326,20.513,20.991,21.496,22.037,22.4,23.322,24.336,25.584,26.478,26.916,27.285,27.911,28.293,28.707,29.156,29.611,30.175,30.732,31.255,31.636,32.17,32.627,33.167,33.81,34.546,35.389,36.317,37.776,39.305,40.985,42.308,43.49,44.635,46.057,46.974,47.711,48.484,48.985,49.397,49.897,50.527,50.554,50.681,51.173,51.246,51.733,52.237,52.552,52.572,52.826,53.179,53.414,54.05,53.572,52.837,52.82,53.256,53.724,54.386,55.158,55.269,55.391,55.888,56.045,56.131,57.044,57.795,58.002,58.597,59.558,59.793,60.799,62.553,62.049,61.592,62.007,62.416,62.297,62.845,63.606,63.9,64.22,64.707,64.736,64.911,65.175,65.486,66.108,66.525,67.157,67.862,68.045,68.313,68.822,69.458,69.724,70.387,70.697,70.362,70.408,70.83,70.353,70.35,70.386,70.524,70.657,71.446,72.276,73.112,74.567,74.989,75.783,76.663,77.12,77.011,76.673,75.961,76.207,77.131,77.72,78.54,80.588,79.821,80.384,80.925,82.128,83.09,84.295,85.946,86.962,87.914,89.656,91.373,91.89,93.135,93.874,93.721,95.114,96.457,97.366,99.476,101.711,104.261,106.244,101.847,99.277,99.223,100.133,101.367,102.497,103.011,103.443,104.891,107.243,109.084,109.611,109.553,110.488,110.378,110.892,111.555,112.11,111.699,112.477,112.615,113.31
"15","7","            Durable goods","W105RG3",32.62,33.046,33.337,33.813,34.242,34.712,35.097,35.665,36.235,36.667,36.801,36.767,36.338,36.333,36.368,36.532,37.315,38.141,38.559,38.771,39.606,40.642,42.565,44.085,45.228,45.615,46.59,47.468,47.941,49.695,50.025,51.19,52.076,52.457,52.504,54.714,55.018,56.022,57.033,58.533,59.815,60.833,62.521,63.924,65.144,66.561,67.727,69.07,70.955,72.366,74.502,75.785,78.197,79.447,80.487,82.126,83.651,84.57,85.583,86.573,88.181,90.023,90.551,90.084,90.043,90.281,90.575,91.276,91.274,91.928,92.516,93.346,92.608,92.763,92.827,92.372,90.998,90.911,90.75,90.957,91.086,91.358,91.646,92.231,92.931,93.56,94.021,94.657,95.887,95.964,96.355,96.717,97.242,97.546,97.965,98.331,98.815,99.15,99.416,99.938,100.279,100.276,100.204,100.467,100.485,100.73,100.795,101.15,101.164,100.779,100.254,100.344,100.276,100.116,99.808,99.577,99.222,98.916,98.418,98.458,98.22,97.767,97.422,97.578,97.631,97.422,97.292,97.364,96.71,96.763,96.373,96.106,96.054,95.968,95.712,95.659,95.721,95.752,95.649,95.68,95.987,96.31,96.481,96.885,97.333,97.418,97.408,97.336,97.803,98.434,98.87,99.166,98.956,98.626,98.408,98.444,98.735,99.131,99.85,100.311,100.208,99.999,99.824,99.968,99.997,100.168,100.215,100.175,100.351,100.659,100.853,100.967,101.504,101.526,101.562,101.72,101.828,102.118,102.124,102.232,102.339
"16","8","            Nondurable goods","W106RG3",17.289,17.403,17.537,17.639,17.799,17.88,17.948,17.937,18.067,18.269,18.333,18.476,18.513,18.772,19.056,19.292,20.209,20.977,21.937,22.679,24.279,25.664,27.57,29.115,29.172,29.409,30.468,30.718,30.848,31.273,31.668,32.009,32.817,33.523,33.795,34.236,34.609,35.243,35.761,36.711,37.965,39.749,42.353,45.011,47.989,50.255,51.406,52.419,54.917,55.969,55.709,55.995,55.686,55.461,55.688,56.085,55.323,55.138,55.832,55.142,55.235,55.383,55.274,55.016,54.954,55.201,54.791,55.693,53.072,49.5,48.47,48.769,50.142,51.465,52.821,52.654,52.14,52.744,52.429,51.26,53.782,55.486,54.971,56.053,57.917,56.885,58.94,63.663,60.244,57.751,57.777,58.03,56.871,58.046,58.797,58.461,58.576,59.097,57.87,57.815,57.738,57.896,59.17,59.426,60.225,61.323,61.103,61.232,62.574,63.76,63.617,65.163,64.986,63.255,62.801,63.191,61.379,60.909,60.243,59.914,59.714,61.851,63.919,65.539,68.832,69.448,70.823,72.125,71.292,71.226,69.632,66.603,66.384,68.354,69.126,70.889,75.87,71.921,72.692,73.543,76.009,77.841,79.812,83.982,85.601,87.162,90.903,94.155,94.204,96.908,96.983,94.331,96.6,99.57,100.9,106.756,112.484,119.016,122.776,105.19,96.689,97.846,100.937,104.528,107.502,107.535,107.848,112.434,118.921,123.702,124.251,123.727,125.635,123.643,124.808,126.197,126.629,123.827,125.973,125.849,126.487
"17","9","            Services","W107RG3",16.041,16.704,16.828,17.224,16.928,16.924,17.437,17.621,17.825,18.139,18.577,18.901,18.853,19.025,19.18,19.344,19.574,19.923,20.291,20.496,21.114,21.97,22.856,23.385,23.919,24.343,24.734,25.121,25.661,25.986,26.478,27.084,27.484,27.942,28.421,28.807,29.33,29.772,30.44,30.979,31.573,32.088,32.985,34.006,35.157,36.032,37.259,38.465,39.324,40.13,41.203,42.172,42.794,43.398,43.959,44.561,44.719,44.881,45.212,45.491,45.983,46.45,46.941,47.164,47.607,48.031,48.547,49.081,49.465,49.802,50.168,50.62,50.86,51.327,52,52.325,52.972,53.545,53.946,54.507,54.924,55.382,55.91,56.324,56.984,57.669,58.345,59.055,59.514,59.81,60.39,60.878,61.1,61.436,62.255,62.8,63.184,63.678,64.214,64.445,64.843,65.249,65.682,66.181,66.804,67.389,67.753,68.073,68.277,68.784,69.302,69.651,70.199,70.438,70.726,71.222,71.315,71.547,71.944,72.296,72.609,72.931,73.337,73.902,74.691,75.088,75.718,76.492,77.624,77.482,77.7,77.952,78.412,78.974,79.562,80.073,81.081,81.562,82.104,82.567,83.331,83.991,84.977,85.716,86.535,87.316,88.41,89.669,90.382,91.094,92.136,92.972,94.167,95.004,95.866,96.662,97.688,98.858,100.275,100.63,100.21,99.687,99.843,100.261,100.787,101.529,102.048,102.461,103.438,104.293,104.846,104.95,105.541,106.171,106.484,106.916,107.576,108.079,108.383,108.634,109.421
"18","10","        Less: Own-account investment \4\","W108RG3",19.386,19.61,19.951,20.306,20.782,21.232,21.688,22.136,22.659,23.076,23.388,23.573,23.702,23.887,24.15,24.442,24.838,25.216,25.569,25.941,26.363,26.878,27.478,28.105,28.745,29.286,29.754,30.127,30.405,30.742,31.131,31.581,32.104,32.628,33.139,33.663,34.147,34.637,35.086,35.518,36.02,36.558,37.273,37.919,38.733,39.576,40.443,41.424,42.442,43.325,44.109,44.949,45.756,46.463,47.063,47.621,48.015,48.482,49.001,49.562,50.226,50.791,51.312,51.747,52.172,52.567,52.922,53.288,53.562,53.779,53.981,54.156,54.277,54.471,54.872,55.322,55.927,56.649,57.28,57.896,58.558,59.195,59.751,60.177,60.593,61.139,61.808,62.622,63.418,63.994,64.535,64.915,65.263,65.716,66.268,66.85,67.527,68.163,68.729,69.17,69.668,70.175,70.675,71.289,72.045,72.572,72.981,73.382,73.694,73.769,74.042,74.446,74.924,75.235,75.53,75.795,75.925,76.134,76.431,76.757,77.207,77.824,78.427,79.001,79.742,80.216,80.828,81.326,81.748,82.195,82.629,82.962,83.545,83.994,84.432,84.894,85.689,86.044,86.555,87.021,87.921,88.589,89.205,89.801,90.573,91.078,91.642,92.157,92.739,93.268,93.762,94.166,95.009,95.58,96.218,96.906,97.954,98.726,99.512,99.637,99.65,99.859,100.145,100.345,101.027,101.855,102.518,103.198,103.904,104.563,105.031,105.269,105.762,105.977,106.166,106.376,106.746,106.843,107.058,107.939,107.586
"19","11","        Less: Sales to other sectors \5\","W109RG3",10.396,10.569,10.683,10.878,11.04,11.171,11.335,11.49,11.599,11.765,11.91,12.054,12.125,12.24,12.442,12.585,12.775,13.108,13.6,13.665,14.024,14.457,14.863,15.138,15.344,15.647,16.252,16.401,16.599,16.934,17.278,17.386,17.742,18.139,18.549,18.727,19.126,19.557,19.959,20.434,20.945,21.341,21.83,22.304,23.118,23.608,24.404,25.157,25.813,26.287,26.981,27.725,28.317,28.85,29.491,30.093,30.618,31.063,31.579,32.189,32.809,33.27,33.764,34.226,34.711,35.072,35.425,35.861,36.286,36.57,37.074,37.721,38.176,38.792,39.345,39.845,40.577,41.361,42.082,42.792,43.761,44.638,45.485,46.317,47.153,47.944,49.032,50.063,50.798,51.587,52.494,53.464,54.294,55.141,55.921,56.848,57.678,58.332,58.792,59.295,59.796,60.316,60.942,61.459,62.135,62.651,63.075,63.637,64.032,64.469,64.885,65.356,65.704,66.083,66.278,66.427,66.752,67.082,67.112,67.74,68.371,68.716,69.051,69.602,70.351,70.65,71.322,71.811,72.409,72.712,73.212,73.668,74.229,74.812,75.654,76.515,77.58,78.385,79.299,80.347,81.36,82.35,83.102,83.938,84.84,85.595,86.353,87.297,88.143,89.038,90.033,90.869,91.923,92.707,93.479,94.896,95.936,96.846,97.78,98.432,99.022,99.542,100.216,101.22,102.032,102.812,103.32,103.826,104.779,105.542,106.487,107.161,107.802,108.499,109.248,109.894,110.828,111.008,111.509,112.103,112.716
"20","12","Federal consumption expenditures \1\","A957RG3",16.255,16.459,16.974,17.173,17.724,17.937,18.257,18.476,19.15,19.528,19.829,20.282,21.016,21.222,21.31,21.808,22.249,22.609,23.007,23.516,23.73,24.198,24.837,25.777,26.191,26.537,26.93,27.613,27.948,28.201,28.521,29.341,29.662,29.931,30.077,31.096,31.465,31.784,32.218,33.131,33.562,33.947,34.531,36.088,36.71,37.371,38.054,40.261,40.756,41.249,41.82,43.541,43.955,44.338,44.831,45.836,45.974,45.963,46.383,46.571,47.581,48.035,48.393,48.588,49.321,49.294,49.378,50.135,50.018,50.05,50.232,50.517,50.419,50.736,51.104,51.338,52.164,52.71,52.948,52.888,53.793,54.032,54.295,54.502,55.194,55.792,56.134,57.171,58.054,58.081,58.577,58.938,59.532,60.003,60.469,60.639,60.811,61.168,61.736,62.113,62.488,63.111,63.199,63.822,64.78,64.813,64.988,66.124,66.666,66.232,66.406,66.774,67.589,67.719,67.853,68.292,68.625,68.737,68.994,69.195,70.121,70.595,71.041,71.581,73.025,72.884,73.929,74.382,74.847,75.003,75.48,76.043,78.07,78.344,78.51,79.728,82.441,82.67,83.052,83.156,85.439,86.02,86.529,86.873,89.568,90.064,90.945,91.266,93.453,93.932,94.008,94.251,96.372,97.034,97.269,97.93,99.725,100.627,101.133,100.043,100.18,99.572,99.84,100.409,102.04,102.8,103.205,103.724,104.887,106.054,106.42,106.134,106.551,106.761,106.814,107.07,107.771,107.98,108.309,109.979,109.312
"21","13","      Gross output of general government","W110RG3",16.445,16.646,17.145,17.351,17.896,18.118,18.446,18.678,19.351,19.735,20.043,20.485,21.172,21.375,21.474,21.963,22.412,22.783,23.184,23.685,23.9,24.381,25.009,25.926,26.349,26.699,27.096,27.769,28.112,28.377,28.698,29.507,29.844,30.119,30.303,31.305,31.689,32.018,32.456,33.356,33.794,34.192,34.806,36.296,36.991,37.653,38.358,40.51,41.028,41.538,42.108,43.776,44.2,44.583,45.079,46.056,46.196,46.201,46.616,46.82,47.805,48.251,48.615,48.812,49.522,49.499,49.596,50.331,50.212,50.2,50.377,50.678,50.598,50.906,51.282,51.523,52.336,52.888,53.136,53.102,54.003,54.278,54.549,54.762,55.43,56.008,56.377,57.448,58.259,58.324,58.838,59.211,59.785,60.252,60.718,60.923,61.162,61.546,62.097,62.484,62.86,63.474,63.582,64.196,65.138,65.188,65.375,66.474,67.015,66.623,66.807,67.206,68.01,68.136,68.273,68.697,69.019,69.131,69.296,69.584,70.493,70.971,71.425,71.963,73.38,73.266,74.294,74.736,75.196,75.36,75.838,76.396,78.373,78.658,78.84,80.018,82.644,82.884,83.27,83.387,85.61,86.189,86.701,87.051,89.668,90.164,91.046,91.351,93.471,93.946,94.039,94.285,96.345,96.999,97.247,97.907,99.661,100.555,101.046,99.996,100.153,99.584,99.855,100.408,102.001,102.763,103.184,103.721,104.882,106.029,106.422,106.152,106.557,106.763,106.82,107.069,107.765,107.976,108.303,109.963,109.298
"22","14","        Value added","W111RG3",15.088,15.164,15.769,15.912,16.71,17.004,17.274,17.562,18.328,18.71,18.967,19.419,20.344,20.534,20.611,21.17,21.538,21.837,22.149,22.721,22.794,23.095,23.458,24.303,24.687,25.027,25.285,26.011,26.233,26.41,26.664,27.424,27.733,27.973,28.118,29.112,29.457,29.736,30.056,30.957,31.255,31.548,31.864,33.164,33.544,33.892,34.438,36.718,37.054,37.434,37.969,39.794,40.161,40.562,41.028,41.922,41.993,42.05,42.438,42.758,43.961,44.263,44.584,44.91,45.82,45.699,45.736,46.428,46.448,46.727,46.968,47.239,47.077,47.268,47.481,47.801,48.891,49.552,49.98,50.009,51.052,51.243,51.457,51.519,52.173,52.768,52.876,53.69,54.935,55.23,55.738,56.015,56.944,57.476,57.693,57.863,58.173,58.488,59.075,59.51,60.002,60.62,60.613,61.291,62.446,62.309,62.453,63.791,64.446,63.787,63.884,64.229,65.228,65.432,65.564,65.961,66.559,66.655,66.783,67.089,68.347,68.833,69.188,69.65,71.213,70.929,72.03,72.328,72.807,72.944,73.482,74.334,77.084,77.099,77.055,78.48,81.737,82.252,82.539,82.463,85.346,85.766,86.019,85.961,89.488,89.889,90.573,90.604,93.407,93.588,93.259,93.583,96.407,97.069,97.08,97.268,99.174,99.574,99.524,99.043,100.45,99.749,99.749,100.052,102.232,102.932,103.423,103.805,104.459,105.109,105.609,105.467,105.569,105.732,105.819,105.958,106.687,107.059,107.372,109.827,108.674
"23","15","          Compensation of general government employees","B568RG3",11.064,11.084,11.695,11.788,12.585,12.826,13.037,13.26,14.019,14.364,14.589,15.042,15.962,16.128,16.136,16.707,16.995,17.197,17.411,17.901,17.803,17.933,18.085,18.84,19.11,19.337,19.498,20.182,20.275,20.354,20.449,21.147,21.36,21.47,21.53,22.501,22.677,22.802,22.98,23.892,24.055,24.168,24.258,25.54,25.703,25.782,26.081,28.459,28.527,28.593,28.931,30.807,30.925,31.081,31.446,32.359,32.281,32.24,32.494,32.732,33.937,34.163,34.454,34.797,35.864,35.7,35.689,36.557,36.583,36.897,37.198,37.47,37.262,37.506,37.689,37.934,39.155,39.841,40.245,40.077,41.298,41.355,41.45,41.367,42.077,42.726,42.664,43.632,45.045,45.187,45.653,46.003,47.333,47.92,48.074,47.97,48.242,48.487,49.152,49.435,50.053,50.687,50.343,50.907,52.102,51.737,51.723,53.717,54.555,53.517,53.616,54.143,55.479,55.541,55.626,56.255,57.242,57.193,57.27,57.486,59.309,59.771,60.172,60.424,62.469,61.776,63.225,63.545,64.329,64.512,65.398,66.711,70.905,70.908,70.749,72.893,77.745,78.317,78.499,78.222,82.435,82.798,82.947,82.502,87.661,87.966,88.749,88.424,92.551,92.583,91.839,92.065,96.171,96.906,96.563,96.614,99.186,99.405,98.941,98.136,100.624,99.662,99.758,99.956,103.162,103.838,104.392,104.6,105.222,105.877,106.516,106.39,106.335,106.442,106.541,106.766,107.655,108.114,108.556,112.291,110.227
"24","16","          Consumption of general government fixed capital \2\","B995RG3",24.332,24.611,24.853,25.146,25.532,25.903,26.291,26.7,27.143,27.495,27.763,28.017,28.568,28.778,29.08,29.366,29.888,30.431,30.982,31.634,32.307,33.121,34.119,34.966,35.623,36.243,36.759,37.359,37.968,38.437,39.173,39.87,40.412,41.029,41.425,42.137,42.959,43.688,44.4,44.938,45.607,46.431,47.423,48.35,49.347,50.503,51.715,52.915,54.053,55.377,56.407,57.497,58.577,59.666,60.327,60.902,61.439,61.79,62.5,62.99,63.88,64.339,64.672,64.872,65.118,65.147,65.319,65.373,65.373,65.511,65.549,65.779,65.762,65.794,66.057,66.524,67.151,67.679,68.122,68.62,69.137,69.628,70.101,70.494,70.956,71.375,71.86,72.261,73.023,73.642,74.207,74.305,74.295,74.676,75.014,75.755,76.127,76.574,76.972,77.706,77.923,78.487,79.157,80.037,81.073,81.383,81.826,81.888,82.196,82.254,82.345,82.345,82.711,83.177,83.391,83.36,83.248,83.607,83.828,84.298,84.53,85.058,85.332,86.166,86.862,87.322,87.784,88.042,87.976,88.029,87.936,87.948,88.078,88.109,88.273,88.372,88.68,89.09,89.574,89.869,90.305,90.829,91.271,91.913,92.516,93.09,93.605,94.253,94.795,95.225,95.591,96.077,96.796,97.338,97.918,98.324,99.163,99.853,100.469,100.509,100.162,99.891,99.734,100.214,100.694,101.435,101.825,102.492,103.198,103.837,104.113,103.945,104.299,104.553,104.62,104.626,105.104,105.34,105.46,106.017,106.209
"25","17","        Intermediate goods and services purchased \3\","W113RG3",19.672,20.287,20.365,20.773,20.333,20.251,20.761,20.743,20.963,21.31,21.778,22.127,21.84,22.067,22.233,22.387,23.1,23.705,24.414,24.55,25.312,26.459,28.096,29.187,29.714,30.066,30.982,31.333,32.152,32.767,33.342,34.239,34.649,35.045,35.366,36.261,36.754,37.254,38.135,38.91,39.885,40.658,42.42,44.497,46.347,48.123,49.354,50.792,51.951,52.893,53.548,54.543,55.139,55.435,55.996,57.19,57.537,57.382,57.872,57.705,57.883,58.815,59.317,59.092,59.116,59.413,59.689,60.529,59.98,59.103,59.1,59.474,59.631,60.278,61.141,61.141,61.091,61.278,60.931,60.7,61.132,61.662,62.107,62.775,63.466,63.965,65.116,66.911,66.396,65.775,66.29,66.955,66.435,66.701,67.901,68.207,68.221,68.805,69.223,69.452,69.462,70.042,70.489,70.897,71.154,71.774,72.085,72.416,72.586,73.034,73.474,74.02,74.216,74.105,74.257,74.751,74.25,74.414,74.689,74.926,74.811,75.262,75.984,76.713,77.704,78.059,78.861,79.67,80.054,80.278,80.603,80.469,80.679,81.574,82.25,82.918,84.225,83.925,84.497,84.974,85.987,86.858,87.833,88.918,89.892,90.565,91.8,92.593,93.497,94.484,95.329,95.446,96.138,96.787,97.46,98.941,100.429,102.158,103.549,101.572,99.674,99.322,100.026,100.978,101.637,102.498,102.807,103.583,105.574,107.562,107.77,107.278,108.214,108.49,108.495,108.937,109.57,109.468,109.821,109.907,110.242
"26","18","          Durable goods","W114RG3",31.785,32.234,32.492,32.998,33.257,33.752,34.122,34.669,35.331,35.76,35.799,35.587,34.875,34.722,34.608,34.688,35.622,36.47,36.916,36.983,37.743,38.455,40.122,41.488,42.553,42.817,43.869,44.977,45.302,47.514,47.579,48.893,49.718,49.912,49.631,52.411,52.46,53.39,54.333,55.911,57.135,58.063,59.831,61.089,62.047,63.308,64.207,65.411,67.084,68.475,70.81,71.932,74.59,75.917,77.056,78.881,80.663,81.645,82.794,83.848,85.682,87.86,88.391,87.602,87.396,87.599,87.85,88.551,88.436,89.111,89.754,90.614,89.51,89.555,89.494,88.727,86.744,86.421,85.966,85.974,85.775,85.885,86.007,86.598,87.261,87.759,88.17,88.71,90.005,89.961,90.461,90.86,91.314,91.631,92.14,92.405,93.154,93.537,94.132,94.787,95.113,94.977,94.8,94.995,94.925,95.105,95.024,95.398,95.609,95.144,94.423,94.607,94.654,94.686,94.49,94.074,93.987,93.938,93.565,93.697,93.694,93.419,93.224,93.519,93.997,93.808,93.806,93.76,93.652,93.854,93.638,93.548,93.614,93.501,93.405,93.597,94.028,94.215,94.15,94.247,94.627,95.069,95.364,95.794,96.486,96.722,96.772,96.723,97.378,98.472,99.207,99.598,99.258,98.715,98.409,98.441,98.785,99.175,99.818,100.22,100.12,99.969,99.867,100.045,100.164,100.275,100.205,100.04,100.37,100.777,100.901,101.047,101.491,101.616,101.681,101.628,101.999,102.504,102.513,102.644,102.765
"27","19","          Nondurable goods","W115RG3",18.288,18.259,18.342,18.407,18.539,18.64,18.583,18.364,18.491,18.639,18.672,18.807,18.804,19.184,19.47,19.714,21.178,21.827,23.337,23.993,25.326,27.425,30.726,33.463,33.043,32.549,34.647,34.403,35.296,36.124,36.789,37.131,38.132,38.963,39.433,40.326,40.69,41.238,41.699,42.352,43.844,46.099,50.52,56.528,61.797,67.664,68.982,69.932,72.651,74.411,73.057,73.429,72.546,71.746,71.903,73.67,73.486,72.1,73.316,70.481,67.579,69.776,70.157,69.711,69.372,69.17,68.835,70.335,67.242,60.545,58.057,57.906,58.546,60.791,63.444,63.556,63.041,62.808,58.861,49.264,54.319,57.52,58.44,60.518,61.353,60.153,62.766,70.235,64.928,60.399,61.085,61.752,58.284,59.443,61.078,60.598,59.679,60.57,59.121,59.144,57.714,58.835,59.798,60.461,59.786,60.646,60.688,61.497,62.884,63.722,64.353,67.112,66.483,64.411,63.86,64.544,62.208,61.413,60.887,60.752,59.737,62.107,64.641,67.59,70.659,70.584,72.959,75.299,72.452,72.153,71.397,68.021,67.354,70.43,71.478,72.664,77.123,72.062,72.361,72.158,74.247,77.313,80.305,84.881,86.312,88.196,92.51,95.104,96.63,98.604,98.514,96.016,97.726,99.199,99.945,107.945,114.854,121.71,124.076,105.568,97.138,97.463,100.743,104.656,106.083,107.335,107.617,110.887,117.617,124.457,124.042,121.675,125.075,123.627,123.667,125.581,126.503,123.034,124.577,124.618,124.935
"28","20","          Services","W116RG3",17.64,18.788,18.802,19.405,18.453,18.121,18.919,18.857,19.04,19.453,20.175,20.711,20.388,20.637,20.818,20.95,21.332,21.864,22.374,22.332,22.866,23.873,25.009,25.466,26.194,26.849,27.366,27.731,28.638,28.889,29.531,30.487,30.645,30.984,31.413,31.875,32.521,32.898,33.913,34.53,35.308,35.646,36.702,37.918,39.078,39.787,41.117,42.817,43.372,43.946,44.907,46.174,46.658,46.993,47.508,48.368,48.403,48.327,48.468,48.587,48.836,49.306,49.955,49.976,50.114,50.555,51,51.762,51.749,52.092,52.673,53.033,53.381,53.817,54.708,54.981,55.825,56.367,56.577,57.445,57.451,57.804,58.47,58.93,59.571,60.355,61.428,62.347,62.383,62.44,62.93,63.703,63.486,63.588,64.908,65.387,65.402,65.974,66.784,66.96,67.176,67.802,68.288,68.693,69.191,69.847,70.28,70.519,70.463,71.016,71.652,71.875,72.233,72.464,72.807,73.429,73.242,73.661,74.231,74.558,74.582,74.805,75.356,75.751,76.433,76.988,77.631,78.296,79.43,79.767,80.424,80.953,81.352,81.963,82.682,83.323,84.134,84.707,85.43,86.097,86.995,87.488,88.167,88.671,89.587,90.076,90.893,91.461,92.288,93.077,94.117,94.684,95.342,96.03,96.861,97.388,98.083,99.101,100.456,101.024,100.047,99.547,99.923,100.483,101.095,102.009,102.384,102.9,104.341,105.735,106.067,105.804,106.372,106.997,106.987,107.254,107.88,108.313,108.515,108.599,108.978
