"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","  Less: Consumption of fixed capital","B024RA3",17.172,18.055,18.869,19.834,21.157,22.31,23.164,23.98,25.076,26.408,27.937,29.322,30.529,31.777,32.82,34.203,36.095,37.838,39.58,41.244,42.975,44.624,45.965,47.26,48.916,50.946,53.45,56.268,59.708,63.849,68.533,73.422,77.504,80.384,82.956,85.947,89.393,93.067,96.54,99.13,100,100.139,101.196,103.025
"16","9","  Equals: Net fixed investment","A560RA3",277.791,248.312,273.563,327.6,362.941,297.906,210.136,258.914,335.518,404.669,427.843,343.764,344.937,258.554,304.012,428.892,452.304,439.52,413.2,419.942,425.107,375.319,286.006,325.217,388.053,457.773,497.505,578.564,655.48,760.37,845.915,902.082,787.294,653.012,691.816,788.557,889.257,870.044,750.318,523.518,100,127.789,235.828,381.279
"17","10","    Nonresidential","A008RA3",21.846,21.652,21.642,23.528,26.64,26.858,24.44,25.821,28.601,32.554,35.806,35.813,38.01,36.648,36.486,42.568,45.376,44.594,44.634,46.867,49.52,50.055,48.09,49.494,53.201,57.401,62.965,68.695,76.09,84.273,92.449,100.871,98.467,91.708,93.428,98.281,105.143,112.618,119.282,118.428,100,102.471,110.225,118.263
"18","11","    Less: Consumption of fixed capital","A753RA3",15.379,16.206,16.927,17.765,18.991,20.069,20.855,21.587,22.579,23.793,25.237,26.607,27.867,29.239,30.336,31.717,33.635,35.332,37.007,38.61,40.331,42.025,43.417,44.739,46.431,48.532,51.193,54.203,57.894,62.35,67.394,72.715,77.115,79.996,82.352,85.06,88.244,91.863,95.63,98.751,100,100.391,101.884,104.222
"19","12","    Equals: Net nonresidential","A593RA3",131.868,114.295,101.843,121.569,156.757,142.347,85.437,97.856,131.05,181.58,215.6,192.434,210.573,162.684,141.093,227.163,245.103,202.161,174.373,187.325,205.836,186.658,127.587,130.377,168.368,208.282,263.217,315.235,385.62,457.216,518.677,579.841,461.694,290.943,281.844,323.197,392.613,465.69,521.636,453.153,100,137.855,252.114,357.133
"20","13","      Structures","B009RA3",71.777,71.975,70.799,73.001,78.971,77.272,69.157,70.832,73.744,84.387,95.087,100.652,108.721,106.943,95.387,108.686,116.407,103.654,100.671,101.336,103.346,104.867,93.199,87.577,87.34,88.941,94.607,99.969,107.305,112.803,112.929,121.74,119.895,98.708,94.895,94.502,96.125,103.03,116.164,123.271,100,83.585,85.36,96.212
"21","14","      Less: Consumption of fixed capital","B188RA3",41.489,42.861,44.148,45.393,48.532,49.857,51.043,52.125,53.269,54.699,56.537,58.795,61.521,64.35,66.559,68.633,71.052,73.048,74.578,76.098,77.567,79.115,80.49,81.363,82.094,82.858,83.718,84.834,86.207,87.732,89.199,90.788,92.493,93.656,94.271,94.839,95.389,96.18,97.4,98.937,100,100.291,100.531,101.097
"22","15","      Equals: Net structures","A594RA3",173.625,169.876,160.416,165.838,181.33,169.457,130.068,133.738,142.595,184.219,224.72,241.4,267.436,250.169,192.327,243.371,268.921,206.573,188.412,186.2,190.031,191.462,135.932,108.473,104.982,109.396,131.223,150.863,178.248,197.107,192.724,225.823,212.037,115.696,96.994,93.371,98.599,126.065,179.262,205.097,100,27.408,34.343,79.784
"23","16","      Equipment","Y033RA3",18.627,18.296,18.445,20.796,24.644,25.156,22.522,23.906,27.616,31.789,34.391,32.873,34.095,31.502,32.964,39.359,41.52,41.996,42.148,44.928,47.307,46.326,44.202,46.827,52.773,59.238,66.4,72.724,80.814,91.418,102.813,112.824,107.97,102.129,105.388,113.483,124.413,135.152,139.426,129.766,100,115.892,130.639,140.604
"24","17","      Less: Consumption of fixed capital","Y080RA3",14.439,15.235,15.944,16.87,18.125,19.414,20.295,21.092,22.243,23.66,25.306,26.702,27.805,29.043,29.888,31.047,32.871,34.375,35.976,37.406,38.839,40.05,40.816,41.539,42.924,45.083,48.164,51.513,55.344,59.95,65.236,70.781,75.27,78.103,80.495,83.421,87.16,91.802,96.673,100.01,100,99.336,100.85,103.303
"25","18","      Equals: Net equipment","Y081RA3",-28.48,-16.139,-9.682,-23.36,-48.68,-39.425,-2.522,-7.747,-32.818,-59.639,-67.797,-36.537,-36.659,3.841,-1.635,-54.119,-55.762,-43.724,-27.279,-39.675,-47.938,-24.262,6.118,-12.649,-58,-99.967,-138.714,-165.852,-205.645,-262.515,-319.824,-360.048,-259.818,-168.091,-174.585,-224.64,-294.579,-352.416,-341.429,-204.902,100,-70.314,-204.409,-278.926
"26","19","      Intellectual property products","Y001RA3",8.762,8.751,8.786,9.399,9.872,10.158,10.248,11.36,12.108,12.968,14.483,15.203,16.859,17.899,19.313,21.952,23.927,25.595,26.6,28.493,31.838,34.522,36.738,38.949,40.585,42.227,45.297,50.409,56.984,63.14,70.996,77.334,77.686,77.309,80.261,84.384,89.849,93.926,98.445,101.43,100,101.887,106.388,109.962
"27","20","      Less: Consumption of fixed capital","Y083RA3",7.574,8.143,8.593,9.007,9.475,9.944,10.335,10.743,11.261,11.882,12.669,13.572,14.548,15.59,16.719,18.168,19.918,21.718,23.412,25.198,27.364,29.851,32.286,34.757,37.197,39.487,41.83,44.719,48.817,53.947,59.824,66.105,71.353,74.992,78.054,81.457,85.237,89.091,92.948,96.843,100,101.952,104.262,107.66
"28","21","      Equals: Net intellectual property products","Y084RA3",19.895,14.454,10.595,13.072,13.59,12.156,9.435,17.135,20.05,23.149,31.49,30.491,38.512,39.536,43.616,57.413,61.497,61.927,56.477,59.378,73.762,78.289,78.452,78.234,72.33,67.906,77.784,103.732,133.519,149.292,175.692,182.571,137.03,99.026,100.937,111.811,133.068,139.243,149.96,144.425,100,101.279,126.306,131.532
"29","22","    Residential","A011RA3",71.861,68.11,86.247,101.215,100.565,80.844,71.088,86.803,104.603,111.582,107.399,84.928,77.941,63.821,90.616,103.989,106.372,119.566,121.918,120.841,116.931,106.999,97.465,110.901,119.977,130.74,126.313,136.63,139.942,152.035,161.577,162.641,164.103,174.043,189.815,208.773,222.467,205.631,166.934,126.886,100,97.496,97.964,110.581
"30","23","    Less: Consumption of fixed capital","A754RA3",27.341,28.47,29.828,31.561,33.374,34.892,36.096,37.388,39.056,41.029,42.957,44.318,45.052,45.347,45.917,47.183,48.754,50.654,52.695,54.627,56.338,57.643,58.628,59.696,61.086,62.663,64.245,65.985,68.056,70.56,73.45,76.276,78.91,81.772,85.239,89.36,93.811,97.694,100.078,100.633,100,99.122,98.396,98.11
"31","24","    Equals: Net residential","A748RA3",1896.301,1692.569,2398.337,2955.653,2854.084,1963.975,1505.071,2111.819,2790.752,3002.877,2748.289,1749.166,1425.736,820.917,1922.376,2431.914,2467.581,2943.608,2958.712,2834.332,2600.056,2129.64,1689.023,2209.301,2533.338,2920.591,2669.915,3031.695,3085.826,3490.915,3773.06,3701.896,3655.341,3955.32,4475.399,5102.364,5494.846,4628.912,2906.713,1202.746,100,30.884,80.263,621.643
"32","25","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","Gross government investment \1\","A782RA3",42.219,39.501,36.241,34.927,35.458,36.342,36.752,37.527,37.174,39.754,41.901,43.12,42.584,42.552,45.323,50.199,56.664,61.145,64.778,64.232,65.582,68.67,68.155,68.069,65.706,64.674,65.591,67.405,68.81,70.716,74.948,77.37,80.961,86.042,89.083,90.638,90.666,93.532,95.626,99.065,100,99.921,94.672,90.869
"34","27","Less: Consumption of fixed capital","A264RA3",35.958,36.803,37.107,37.255,37.539,37.97,38.512,39.18,39.901,40.72,41.707,42.896,44.208,45.672,47.442,49.684,52.519,55.67,58.812,61.657,64.146,66.49,68.425,69.855,70.848,71.465,71.973,72.625,73.379,74.45,75.923,77.483,79.105,80.789,82.853,85.349,88.019,90.846,93.839,97,100,102.548,104.63,106.138
"35","28","Equals: Net government investment","A889RA3",55.785,45.345,34.365,29.883,30.951,32.815,32.937,33.946,31.264,37.66,42.321,43.608,39.064,35.791,40.732,51.315,65.649,73.008,77.707,69.811,68.693,73.396,67.569,64.2,54.562,49.958,51.759,56.093,58.909,62.625,72.836,77.124,84.984,97.425,102.586,102.098,96.403,99.351,99.499,103.54,100,94.227,73.093,57.782
"36","29","    Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","30","      National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","31","      Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","    State and local","B893RA3",75.721,67.477,63.235,58.709,57.9,57.264,55.057,52.197,45.442,52.409,55.94,55.095,45.277,38.514,38.57,47.892,56.878,62.514,63.471,67.44,71.611,79.075,79.422,78.474,74.179,75.829,79.637,84.317,94.083,95.561,106.446,113.601,120.128,124.366,122.261,115.94,106.693,107.317,106.309,104.675,100,89.475,71.925,62.121
"40","33","  Structures","A760RA3",70.749,65.516,64.869,61.896,61.778,61.207,60.902,59.988,56.842,62.4,63.641,63.93,58.429,53.669,53.635,58.566,64.303,68.428,70.693,71.093,71.163,76.081,77.854,79.145,77.916,77.718,80.528,83.827,87.71,87.56,92.631,95.727,100.344,105.314,105.929,103.305,98.464,98.796,98.613,99.287,100,97.911,89.464,83.196
"41","34","  Less: Consumption of fixed capital","B894RA3",47.959,49.439,50.767,52.01,53.187,54.297,55.337,56.331,57.243,58.177,59.218,60.275,61.222,62.009,62.687,63.447,64.378,65.465,66.624,67.788,68.93,70.139,71.459,72.799,74.115,75.366,76.655,78.118,79.44,80.986,82.605,84.322,86.13,88.076,90.075,91.996,93.661,95.201,96.821,98.418,100,101.543,102.874,103.89
"42","35","  Equals: Net structures","A895RA3",96.478,83.666,80.79,73.055,71.477,69.009,67.184,64.117,56.389,67.167,68.634,68.056,55.276,44.254,43.415,53.055,64.217,71.773,75.285,74.825,73.684,82.789,85.072,86.31,82.207,80.373,84.901,90.273,97.048,94.983,103.951,108.602,116.391,124.775,123.826,116.072,103.886,102.854,100.637,100.269,100,93.81,74.324,59.832
"43","36","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      State and local","B899RA3",96.64,84.872,79.187,71.744,69.444,67.939,65.82,62.639,54.129,63.009,66.684,64.921,52.261,42.573,40.728,50.669,60.091,66.282,67.785,72.228,73.739,82.636,85.997,85.077,80.051,79.78,83.399,89.7,98.982,96.725,107.364,115.53,124.414,130.628,128.699,122.327,112.074,110.295,105.621,103.262,100,91.135,73.382,63.738
"47","40","  Equipment","Y054RA3",22.165,20.803,13.047,10.443,11.675,14.779,15.983,17.388,17.723,18.139,20.811,22.337,24.172,26.827,31.273,36.117,42.774,48.729,52.853,50.07,52.93,55.528,53.689,52.059,47.297,44.884,44.699,45.665,43.906,47.131,52.167,53.795,56.045,62.422,66.132,71.103,75.105,82.649,88.349,99.266,100,101.845,97.632,97.473
"48","41","  Less: Consumption of fixed capital","Y085RA3",30.579,30.422,29.474,28.272,27.323,26.936,27.034,27.399,27.802,28.26,28.842,29.745,30.824,32.195,34.09,36.605,39.882,43.639,47.407,50.688,53.627,56.615,59.194,61.069,62.3,63.046,63.734,64.622,65.47,66.479,68.319,70.339,72.274,73.952,76.024,78.602,81.558,85.254,89.609,94.795,100,104.101,107.016,108.813
"49","42","  Equals: Net equipment","Y086RA3",-10.243,-16.251,-50.23,-58.231,-48.598,-32.045,-26.587,-21.171,-21.102,-20.845,-10.125,-6.195,-1.453,6.151,20.423,34.236,53.91,68.336,73.828,47.691,50.244,51.341,32.486,17.357,-10.493,-25.074,-28.619,-27.354,-39.152,-27.398,-10.051,-9.932,-6.464,18.011,28.03,42.215,50.249,72.612,83.496,116.489,100,93.154,61.485,53.796
"50","43","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      State and local","Y090RA3",9.887,8.189,5.252,10.803,16.532,19.243,9.561,2.024,-5.177,-3.285,1.937,4.175,-3.355,-1.729,10.01,26.508,41.625,46.052,39.05,38.332,58.457,59.982,30.756,22.334,18.435,41.584,54.898,43.953,59.662,93.321,120.47,116.142,95.129,76.199,60.044,37.62,28.641,63.656,135.011,142.511,100,42.184,20.82,14.336
"54","47","  Intellectual property products","Y055RA3",37.83,35.566,34.72,35.906,35.801,34.474,34.617,36.255,37.658,39.62,41.654,43.096,45.056,46.49,49.595,53.749,59.997,62.814,67.144,67.284,67.459,68.51,66.725,66.154,64.708,64.057,63.147,63.648,64.715,66.977,68.548,70.739,74.241,78.055,83.648,87.824,91.236,93.787,96.53,98.505,100,101.868,101.4,99.115
"55","48","  Less: Consumption of fixed capital","Y091RA3",30.78,32.298,33.378,34.372,35.454,36.3,36.949,37.683,38.573,39.655,40.984,42.493,44.234,46.184,48.445,51.216,54.629,58.32,61.996,65.42,68.272,70.661,72.306,73.303,73.802,73.83,73.599,73.428,73.657,74.4,75.391,76.392,77.564,79.013,81.081,83.945,87.231,90.563,93.87,97.137,100,102.466,104.737,106.568
"56","49","  Equals: Net intellectual property products","Y092RA3",83.739,56.849,43.462,45.897,38.059,22.579,19.432,26.956,31.698,39.387,46.015,47.022,50.404,48.48,57.079,70.246,94.955,92.084,100.671,79.423,62.168,54.498,30.38,19.597,5.484,0.409,-4.919,-0.038,6.478,18.636,23.986,33.925,52.595,71.815,100.369,113.09,117.315,114.786,113.848,107.412,100,97.975,79.666,50.575
"57","50","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","51","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","52","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","53","      State and local","Y096RA3",13.074,13.955,12.429,12.182,12.286,11.075,12.006,12.18,11.933,15.397,17.96,17.798,17.76,18.566,20.669,24.267,29.827,34.584,35.426,41.504,57.831,60.341,57.449,58.094,45.445,34.234,23.099,28.438,48.895,59.351,59.217,65.996,66.212,60.231,64.985,68.366,68.99,85.879,95.582,103.27,100,94.171,89.259,73.354
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RA3",32.381,31.336,32.237,34.757,37.203,35.762,33.132,35.771,39.458,43.668,46.154,44.177,45.011,42.59,45.706,52.581,56.265,58.015,59.051,60.444,62.219,62.156,59.585,62.054,65.223,69.208,72.792,78.384,84.183,91.673,99.325,105.596,105.026,103.174,107.221,113.443,119.798,122.408,120.89,115.035,100,101.118,104.606,110.376
"63","55","  Less: Consumption of fixed capital","A262RA3",20.294,21.176,21.91,22.744,23.897,24.928,25.73,26.523,27.562,28.818,30.27,31.632,32.862,34.152,35.316,36.844,38.896,40.874,42.85,44.711,46.572,48.34,49.783,51.103,52.654,54.453,56.626,59.081,62.066,65.684,69.813,74.12,77.77,80.439,82.921,85.824,89.132,92.655,96.042,98.735,100,100.591,101.842,103.61
"64","56","  Equals: Net domestic fixed investment","W173RA3",128.757,112.059,112.988,127.741,140.074,119.949,91.181,107.891,131.271,158.294,169.04,142.267,139.603,109.012,127.271,175.422,192.74,193.478,187.982,184.897,185.844,172.636,139.368,149.995,164.179,184.004,198.274,227.826,254.998,291.97,326.943,348.283,315.829,280.043,296.263,327.733,357.01,352.673,313.42,241.584,100,105.259,126.583,164.114
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Note. Chain-type quantity indexes for net investment are computed from chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","(2009). Chained (2009) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
