"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Gross private domestic investment","A006RA3",6.581,4.482,2.914,1.075,1.454,2.404,4.183,5.289,6.514,4.482,5.621,7.656,9.371,5.219,3.255,3.886,5,11.978,11.528,14.53,11.228,15.64,15.678,14.397,15.207,14.609,17.981,17.931,17.26,16.008,19.083,19.153,19.214,21.498,22.958,24.768,28.196,30.728,29.653,31.426,33.176
"12","5","Less: Consumption of fixed capital","B024RA3",5.142,5.245,5.214,5.058,4.9,4.785,4.781,4.835,4.971,5.026,5.059,5.161,5.338,5.386,5.26,5.189,5.232,5.504,5.968,6.446,6.834,7.202,7.562,7.855,8.215,8.588,8.995,9.432,9.855,10.336,10.61,10.852,11.212,11.63,12.149,12.738,13.509,14.426,15.323,16.208,17.172
"13","6","Equals: Net private domestic investment","A557RA3",-51.7,35.385,96.109,162.414,141.071,98.858,28.414,-13.108,-55.966,26.527,-17.136,-93.423,-153.993,12.014,84.457,56.689,14.371,-250.265,-213.704,-312.94,-166.734,-326.185,-313.08,-250.628,-268.022,-229.279,-346.009,-326.369,-282.691,-213.732,-324.154,-317.131,-304.963,-378.264,-414.863,-462.556,-566.771,-629.655,-550.847,-585.039,-615.127
"14","7","  Fixed investment","A007RA3",7.6,5.906,4.196,2.583,2.333,2.95,3.748,4.895,5.677,4.619,5.442,6.458,7.429,4.434,3.486,4.15,5.525,9.803,11.644,12.743,11.685,13.884,13.321,13.235,14.269,14.537,16.375,16.607,16.491,15.465,17.551,17.761,17.879,19.41,20.911,22.822,25.189,26.752,26.505,28.367,30.042
"15","8","  Less: Consumption of fixed capital","B024RA3",5.142,5.245,5.214,5.058,4.9,4.785,4.781,4.835,4.971,5.026,5.059,5.161,5.338,5.386,5.26,5.189,5.232,5.504,5.968,6.446,6.834,7.202,7.562,7.855,8.215,8.588,8.995,9.432,9.855,10.336,10.61,10.852,11.212,11.63,12.149,12.738,13.509,14.426,15.323,16.208,17.172
"16","9","  Equals: Net fixed investment","A560RA3",54.923,18.638,-15.395,-45.043,-47.086,-32.385,-16.14,6.042,19.257,-3.216,12.808,31.426,47.672,-13.887,-30.656,-15.846,11.177,92.558,120.907,133.974,105.063,142.516,124.181,116.809,130.82,129.047,158.446,154.733,144.241,114.187,151.17,150.762,146.221,169.192,189.572,216.942,250.044,264.039,241.759,262.432,277.791
"17","10","    Nonresidential","A008RA3",5.45,4.542,3.059,1.931,1.777,2.232,2.781,3.683,4.359,3.324,3.654,4.444,5.287,3.312,2.784,3.533,4.822,6.968,8.002,8.374,7.635,8.331,8.678,8.669,9.539,9.402,10.411,11.115,11.311,10.256,11.083,11.694,11.786,12.739,13.48,14.926,17.419,19.559,19.491,20.426,21.846
"18","11","    Less: Consumption of fixed capital","A753RA3",4.43,4.532,4.499,4.339,4.183,4.064,4.055,4.109,4.252,4.309,4.339,4.436,4.61,4.652,4.519,4.448,4.5,4.776,5.232,5.698,6.067,6.403,6.725,6.977,7.302,7.635,7.992,8.378,8.76,9.206,9.407,9.566,9.862,10.215,10.662,11.17,11.875,12.751,13.618,14.461,15.379
"19","12","    Equals: Net nonresidential","A593RA3",22.811,4.72,-21.438,-39.031,-39.167,-28.932,-18.887,-3.564,6.174,-13.426,-8.007,4.584,16.8,-19.49,-26.732,-12.028,10.309,44.261,55.135,53.895,34.305,41.124,41.897,37.457,47.591,39.457,51.572,57.676,54.714,28.111,39.588,47.896,44.501,55.674,61.41,78.81,111.745,135.362,119.399,121.9,131.868
"20","13","      Structures","B009RA3",32.65,27.941,17.982,11.012,8.542,9.632,10.686,14.028,17.789,14.233,15.02,17.051,20.251,12.516,9.096,11.911,16.06,31.723,28.853,30.362,29.354,31.454,33.861,33.729,36.725,37.984,40.707,44.98,44.956,42.504,43.522,46.98,47.623,49.798,50.375,55.613,64.482,68.894,67.161,68.102,71.777
"21","14","      Less: Consumption of fixed capital","B188RA3",20.906,21.469,21.731,21.678,21.473,21.264,21.109,21.05,21.132,21.221,21.243,21.312,21.46,21.498,21.316,21.139,21.116,21.241,21.716,22.193,22.691,23.207,23.817,24.476,25.179,25.943,26.762,27.687,28.648,29.496,30.272,31.104,31.98,32.889,33.813,34.81,36.036,37.441,38.829,40.141,41.489
"22","15","      Equals: Net structures","A594RA3",72.142,49.704,5.375,-24.853,-34.94,-29.482,-24.362,-9.585,6.549,-9.264,-5.908,2.723,16.183,-17.685,-31.996,-19.121,-0.94,66.971,52.853,57.832,51.762,59.185,67.636,64.841,75.553,78.475,87.599,103.131,99.795,86.248,88.078,100.368,100.224,106.657,106.068,125.568,160.139,174.659,162.43,162.125,173.625
"23","16","      Equipment","Y033RA3",3.744,2.968,1.98,1.16,1.187,1.642,2.237,3.069,3.568,2.484,2.867,3.715,4.355,2.499,2.245,3.001,4.298,5.36,7.286,7.668,6.714,7.409,7.625,7.407,8.08,7.628,8.67,8.899,9.134,7.802,8.73,9.064,8.876,9.89,10.659,12.004,14.187,16.379,16.215,17.204,18.627
"24","17","      Less: Consumption of fixed capital","Y080RA3",4.058,4.124,4.029,3.789,3.576,3.409,3.389,3.447,3.621,3.665,3.675,3.774,3.96,3.957,3.748,3.649,3.709,4.065,4.648,5.268,5.748,6.171,6.553,6.801,7.117,7.424,7.765,8.112,8.431,8.875,8.949,8.941,9.124,9.382,9.766,10.226,10.94,11.839,12.69,13.515,14.439
"25","18","      Equals: Net equipment","Y081RA3",7.283,15.967,25.021,30.735,28.049,21.516,15.198,7.321,4.157,15.764,11.959,4.373,-0.098,18.903,19.153,10.289,-2.321,-9.208,-22.386,-19.32,-4.143,-6.51,-4.43,0.597,-2.756,5.342,-1.513,0.041,1.229,19.875,11.198,7.685,11.669,4.169,0.623,-7.997,-22.332,-34.681,-23.429,-24.293,-28.48
"26","19","      Intellectual property products","Y001RA3",0.706,0.71,0.682,0.663,0.691,0.795,0.879,0.982,1.033,1.112,1.087,1.136,1.484,1.414,1.222,1.219,1.373,1.672,1.674,1.635,1.581,1.713,1.684,2.102,2.54,2.676,2.887,3.363,3.485,3.646,3.966,4.208,4.671,4.892,5.377,5.619,6.335,7.174,7.73,8.311,8.762
"27","20","      Less: Consumption of fixed capital","Y083RA3",0.468,0.508,0.539,0.558,0.572,0.597,0.634,0.679,0.726,0.777,0.833,0.893,0.985,1.09,1.146,1.167,1.197,1.27,1.371,1.456,1.514,1.571,1.642,1.751,1.93,2.13,2.326,2.57,2.844,3.1,3.359,3.639,3.941,4.255,4.596,4.955,5.346,5.846,6.413,6.981,7.574
"28","21","      Equals: Net intellectual property products","Y084RA3",2.932,2.612,2.015,1.653,1.81,2.647,3.169,3.817,3.907,4.247,3.464,3.412,6.153,4.446,1.933,1.705,3.028,5.442,4.518,3.316,2.214,3.044,2.077,5.397,8.264,7.79,8.14,10.796,9.492,8.768,9.647,9.539,11.504,10.862,12.7,11.846,15.603,19.624,20.072,20.776,19.895
"29","22","    Residential","A011RA3",20.395,12.634,10.739,6.072,5.102,6.614,9.009,11.205,12.074,12.128,16.953,19.031,20.158,10.476,6.451,5.612,6.406,25.469,32.632,38.978,36.113,49.261,41.352,40.67,42.18,45.727,53.074,48.868,45.983,46.486,58.14,54.173,54.402,59.608,66.588,70.588,68.783,63.011,61.367,69.675,71.861
"30","23","    Less: Consumption of fixed capital","A754RA3",9.385,9.463,9.454,9.392,9.299,9.278,9.32,9.348,9.378,9.395,9.44,9.554,9.706,9.791,9.763,9.714,9.674,9.866,10.32,10.812,11.284,11.822,12.404,12.942,13.5,14.105,14.807,15.535,16.195,16.836,17.622,18.473,19.259,20.099,21.076,22.165,23.273,24.29,25.211,26.219,27.341
"31","24","    Equals: Net residential","A748RA3",471.613,142.587,63.417,-129.965,-166.896,-102.564,-3.712,87.311,122.566,124.147,324.864,407.401,448.485,38.522,-129.261,-162.49,-127.551,664.855,947.009,1193.217,1053.595,1583.526,1227.616,1176.971,1217.509,1341.584,1621.271,1414.845,1266.727,1261.533,1718.603,1517.161,1494.594,1678.695,1931.687,2054.989,1933.78,1649.807,1543.031,1850.503,1896.301
"32","25","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","Gross government investment \1\","A782RA3",3.913,4.659,4.907,4.357,3.513,4.047,4.406,6.127,5.498,6.084,6.649,6.392,14.188,37.574,51.218,52.07,37.137,6.346,6.712,9.268,12.336,12.627,19.385,23.861,26.161,25.044,23.612,24.358,26.05,28.058,30.539,30.717,33.811,35.618,36.82,38.09,38.84,42.454,44.745,44.373,42.219
"34","27","Less: Consumption of fixed capital","A264RA3",2.082,2.203,2.349,2.473,2.574,2.659,2.776,2.94,3.102,3.279,3.458,3.659,4.413,7.217,12.584,18.74,22.467,21.805,18.932,16.639,15.218,14.321,14.433,15.661,17.089,18.302,19.05,19.733,20.579,21.473,22.525,23.722,24.933,26.33,27.738,29.064,30.237,31.538,33.163,34.737,35.958
"35","28","Equals: Net government investment","A889RA3",7.88,9.98,10.451,8.442,5.548,7.055,7.937,13.035,10.689,12.164,13.563,12.316,35.373,103.357,134.941,124.297,68.928,-27.154,-19.77,-6.704,6.091,8.955,30.117,41.63,45.822,39.654,33.498,34.379,37.904,42.329,47.906,45.874,53.051,55.743,56.5,57.649,57.484,66.11,69.846,65.256,55.785
"36","29","    Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","30","      National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","31","      Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","    State and local","B893RA3",20.965,25.191,25.243,18.864,9.325,11.795,10.452,23.19,18.479,22.689,27.499,20.229,11.71,2.252,-3.964,-5.04,-3.9,1.504,7.825,12.538,20.438,24.267,25.027,25.424,28.231,35.698,39.215,39.74,42.858,47.791,48.718,48.629,52.903,54.451,59.946,64.573,69.384,74.184,78.856,82.027,75.721
"40","33","  Structures","A760RA3",18.861,22.892,23.809,20.866,16.138,18.422,19.276,28.84,25.12,27.566,30.187,28.807,44.328,73.736,39.51,19.085,14.529,8.616,13.074,18.026,24.933,28.467,34.013,38.428,40.477,43.295,42.923,43.718,46.398,52.007,52.982,52.804,57.204,58.015,61.165,63.803,67.483,71.142,72.678,74.838,70.749
"41","34","  Less: Consumption of fixed capital","B894RA3",10.151,10.702,11.357,11.953,12.392,12.772,13.167,13.792,14.526,15.262,15.987,16.774,17.834,19.857,21.725,22.501,22.753,22.763,22.602,22.674,22.977,23.475,24.152,25.034,26.001,27.106,28.178,29.261,30.327,31.503,32.759,34.039,35.359,36.752,38.177,39.684,41.205,42.871,44.568,46.284,47.959
"42","35","  Equals: Net structures","A895RA3",28.693,36.653,37.867,30.928,20.368,24.802,26.174,45.828,37.08,41.457,46.219,42.391,74.239,134.562,59.588,15.23,5.245,-7.356,2.317,12.779,27.143,34.103,45.146,53.55,56.819,61.572,59.57,60.039,64.542,75.154,75.812,73.989,81.865,82.021,87.116,91.032,97.149,103.06,104.412,107.074,96.478
"43","36","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      State and local","B899RA3",27.318,34.054,33.783,24.738,11.432,15.088,13.079,31.255,23.855,29.634,36.127,26.417,14.911,1.904,-6.527,-8.149,-6.684,0.253,8.447,14.556,25.752,31.27,32.295,32.631,36.452,46.675,52.005,52.161,55.436,62.694,63.721,62.87,68.922,70.725,77.474,83.071,89.485,95.444,101.885,106.189,96.64
"47","40","  Equipment","Y054RA3",0.702,0.657,0.774,0.68,0.691,0.794,0.968,0.995,1.125,1.31,1.473,1.493,11.688,55.297,111.825,125.855,87.42,5.206,3.36,5.89,8.676,6.531,20.229,28.234,32.347,26.144,21.397,19.882,20.067,20.44,25.044,23.929,26.697,28.541,25.345,24.142,21.491,24.87,28.325,24.951,22.165
"48","41","  Less: Consumption of fixed capital","Y085RA3",0.952,0.995,1.037,1.066,1.083,1.108,1.197,1.31,1.376,1.472,1.584,1.703,2.688,7.231,17.349,29.528,36.729,34.681,28.08,22.698,19.114,16.634,16.278,18.3,20.628,22.288,22.772,22.852,23.001,23.144,23.628,24.439,25.168,26.193,27.087,27.705,28.036,28.48,29.462,30.317,30.579
"49","42","  Equals: Net equipment","Y086RA3",-0.263,-0.644,-0.238,-0.807,-0.821,-0.414,0.087,-0.22,0.159,0.688,1.045,0.685,46.357,240.442,475.73,496.888,282.671,-108.328,-91.857,-58.851,-31.531,-32.386,35.447,66.497,77.487,40.996,16.102,8.439,8.766,10.024,30.495,21.965,32.585,37.584,18.636,10.416,-3.72,10.963,23.948,4.284,-10.243
"50","43","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      State and local","Y090RA3",5.088,1.537,2.323,0.391,-2.72,-3.337,-3.296,-3.542,-0.491,0.176,1.493,-2.398,-5.931,-7.835,-8.972,-7.88,-6.986,-2.716,1.837,4.484,3.951,2.878,2.392,2.714,2.678,3.758,1.462,3.181,7.585,5.052,5.139,6.936,5.38,5.554,8.671,11.549,11.116,12.441,10.396,9.079,9.887
"54","47","  Intellectual property products","Y055RA3",0.284,0.387,0.466,0.586,0.568,0.483,0.495,0.54,0.545,0.603,0.654,0.727,1.701,2.358,3.834,5.472,5.448,4.913,4.434,4.931,5.304,5.656,5.84,6.463,7.207,8.175,9.446,12.35,14.642,15.637,16.768,18.473,20.622,23.002,27.279,29.794,31.886,35.361,36.901,37.877,37.83
"55","48","  Less: Consumption of fixed capital","Y091RA3",0.13,0.171,0.237,0.287,0.353,0.393,0.418,0.442,0.487,0.528,0.557,0.605,0.757,1.061,1.547,2.288,3.064,3.672,4.097,4.421,4.757,5.089,5.422,5.797,6.291,6.895,7.659,8.71,10.108,11.564,12.978,14.371,15.863,17.45,19.203,21.027,22.789,24.678,26.765,28.869,30.78
"56","49","  Equals: Net intellectual property products","Y092RA3",1.285,1.793,1.954,2.532,1.969,1.063,1,1.177,0.92,1.094,1.286,1.521,7.849,10.802,18.729,26.206,20.971,12.996,6.626,8.248,8.862,9.349,8.562,10.804,13.169,16.512,21.082,36.056,44.169,42.161,41.444,45.188,51.611,59.157,79.872,86.882,91.128,104.932,102.91,96.537,83.739
"57","50","      Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","51","        National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","52","        Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","53","      State and local","Y096RA3",1.151,1.146,1.336,1.254,0.946,0.954,1.376,1.488,1.394,1.419,1.245,1.149,1.145,0.414,-0.526,-0.707,-0.124,-0.123,-0.849,-0.613,-0.041,0.434,0.667,0.979,1.514,2.342,2.575,2.6,3.005,3.369,3.493,4.476,5.108,5.814,7.55,8.232,9.215,11.256,12.335,12.052,13.074
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RA3",5.722,4.814,3.776,2.613,2.267,2.773,3.346,4.461,4.783,4.273,4.912,5.484,7.885,11.362,13.808,14.462,12.263,9.055,10.583,11.979,11.772,13.579,14.487,15.323,16.607,16.6,17.793,18.126,18.374,17.96,20.121,20.324,21.038,22.62,24.053,25.824,27.848,29.822,30.093,31.493,32.381
"63","55","  Less: Consumption of fixed capital","A262RA3",4.32,4.422,4.426,4.328,4.227,4.157,4.178,4.253,4.389,4.465,4.526,4.642,4.922,5.501,6.397,7.436,8.104,8.219,8.118,8.134,8.227,8.393,8.717,9.161,9.694,10.203,10.668,11.147,11.641,12.192,12.591,12.987,13.485,14.063,14.729,15.439,16.279,17.263,18.282,19.283,20.294
"64","56","  Equals: Net domestic fixed investment","W173RA3",23.343,12.826,1.956,-9.138,-11.752,-5.909,0.023,10.736,13.505,7.109,13.315,18.597,39.416,64.819,80.51,78.233,49.946,12.195,26.47,39.536,38.623,52.856,61.036,66.341,73.76,69.037,74.567,73.938,72.857,65.948,81.848,80.35,83.676,93.033,100.24,110.008,120.777,131.168,126.353,130.066,128.757
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Note. Chain-type quantity indexes for net investment are computed from chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","(2009). Chained (2009) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
