"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","3","  Financial","A587RC1",2.2,2.4,2.6,2.8,3,3.1,3.1,3.1,3.1,3,3,3.1,3.2,3.3,3.5,3.9,3.7,4,4.3,4.5,4.4,4.5,4.7,4.7,4.7,4.8,4.8,4.9,5,5.1,5.1,5.1,5.1,5.3,5.5,5.6,5.7,5.6,5.8,5.8,6,6,6,6.4,6.7,7,7.6,7.9,8.2,8.3,8.2,8.2,8.4,8.1,8,8.1,8.3,8.5,8.6,8.4,8.2,8.1,8.1,8.1,8.5,8.7,8.7,8.8,8.6,8.7,9.2,10.2,10.6,10.4,10.6,10.5,10.7,10.9,11,11.5,12.4,12.9,13,12.7,13.6,13.3,13.3,13.9
"12","4","  Nonfinancial","A463RC1",26.6,28.1,27.3,28.5,26.7,24.4,25.7,22.5,25.9,29.8,34,37.3,36.1,35.6,35.9,36.5,34.4,32.2,31.9,36.1,37.1,36.1,34.9,27.6,29.9,31.2,33.2,36.4,41.5,42.8,42.7,44,41.6,41.6,40.9,41.7,43,41.4,40.4,36.6,30.9,32,36.2,41.7,45.1,49.6,43.8,43.6,47.4,43.4,42.6,40.1,38.5,43.2,45.9,50.3,50.9,50.4,51.9,54.1,54.8,58.2,59.6,60.6,63.9,64.3,65.2,64.8,72.5,74.4,75.5,79.3,82.5,81.5,79.6,80.7,77.9,76.8,77.2,80.3,80.5,83.8,83.9,85.3,83.6,80.6,77.4,71.6
"13","5","Rest of the world","B394RC1",1.2,1.3,1.3,1.3,1.2,1.2,1.1,1,1.1,1.1,1.4,1.4,1.5,1.7,1.8,2,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.8,1.9,1.9,2.2,2.2,2.2,2.4,2.5,2.7,2.8,2.9,2.9,3,3.3,3.2,2.9,2.6,2.5,2.5,2.5,2.5,2.5,2.8,3,3.1,3.2,3.1,3.2,3.4,3.2,3.3,3.4,3.4,3.6,3.7,4.4,4.1,4,4,4.2,4.6,4.4,4.5,4.4,4.8,4.9,4.6,4.5,4.3,4.5,4.5,4.7,4.7,4.5,5,4.9,5.2,5.5,5.7,6.1,6.3,6.4,6.7,6.9
"14","6","  Receipts from the rest of the world","B933RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.2,3.5,3.7,3.7,3.8,3.7,3.9,4.1,3.9,4.1,4.1,4.1,4.3,4.5,5.1,4.9,4.7,4.8,5.1,5.4,5.3,5.4,5.4,5.8,6,5.7,5.6,5.5,5.6,5.7,5.9,5.8,5.6,6.3,6.2,6.5,6.9,7.1,7.5,7.7,7.9,8.2,8.4
"15","7","  Less:  Payments to the rest of the world","B934RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",32.9,34.7,34.2,35.6,33.9,31.5,32.7,29.4,32.8,36.6,41.2,44.7,43.7,43.6,44.1,45.3,42.9,40.8,40.6,44.8,45.5,44.4,43.1,35.6,38,39.1,40.8,44,48.6,49.6,49.5,51.1,49.4,49.9,49.7,50.7,52.1,50.7,49.9,45.9,40.3,41.6,45.7,51.4,54.9,59.4,54.2,54.2,57.9,53.8,52.7,50.3,49.1,53.1,55.4,59.1,58.8,57.9,59,61.2,61.4,64.3,65.5,66.7,70.6,70.7,71.6,71,78.6,80.7,81.8,86.4,89.6,88.5,86.9,88,85.4,84.3,85.4,89.1,90.6,94.7,95.2,96.6,95.8,92.6,89.8,85
"17","9","Domestic industries","A390RC1",31.7,33.4,32.9,34.4,32.7,30.4,31.6,28.4,31.7,35.5,39.8,43.2,42.2,41.9,42.3,43.3,41,38.9,38.7,42.9,43.6,42.5,41.3,33.9,36.2,37.3,38.9,41.8,46.4,47.3,47.1,48.6,46.7,47.1,46.8,47.8,49.1,47.4,46.6,43.1,37.8,39,43.2,49,52.4,56.9,51.4,51.2,54.8,50.7,49.6,47.1,45.7,49.9,52,55.8,55.4,54.3,55.3,56.9,57.3,60.3,61.5,62.4,66,66.2,67.1,66.6,73.9,75.7,77.1,81.9,85.3,84,82.4,83.3,80.7,79.8,80.4,84.1,85.4,89.2,89.5,90.5,89.5,86.1,83,78.1
"18","10","  Financial","A392RC1",2.4,2.6,2.9,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.6,3.8,4.2,4,4.3,4.5,4.8,4.7,4.8,5,5,5,5.1,5.1,5.2,5.3,5.3,5.3,5.4,5.4,5.6,5.8,5.9,6,5.9,6.1,6.1,6.3,6.4,6.4,6.7,7,7.3,7.9,8.2,8.5,8.5,8.4,8.4,8.6,8.3,8.2,8.3,8.4,8.7,8.7,8.6,8.4,8.3,8.2,8.3,8.6,8.7,8.8,8.8,8.7,8.9,9.3,10.3,10.8,10.6,10.9,10.7,10.9,11.1,11.2,11.6,12.6,13,13.1,12.9,13.7,13.4,13.4,14
"19","11","    Federal Reserve banks","B397RC1",0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.8,0.9,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,1.9,1.9,1.9,1.9,2.1,2.3,2.5,2.6,2.6,2.8,3,3.1,3.3
"20","12","    Other","B398RC1",2.2,2.4,2.6,2.8,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.4,3.8,3.7,4,4.2,4.4,4.3,4.4,4.6,4.6,4.7,4.8,4.8,4.9,5,5.1,5,5,5,5.2,5.3,5.4,5.4,5.3,5.4,5.4,5.7,5.7,5.8,6.2,6.4,6.7,7.1,7.3,7.5,7.5,7.4,7.6,7.8,7.5,7.5,7.5,7.6,7.8,7.9,7.7,7.5,7.3,7.3,7.2,7.6,7.6,7.6,7.7,7.4,7.6,7.9,8.9,9.3,9,9.1,8.9,9,9.2,9.3,9.5,10.3,10.5,10.5,10.2,10.9,10.4,10.3,10.7
"21","13","  Nonfinancial","A399RC1",29.2,30.8,30,31.3,29.5,27.1,28.3,25.1,28.4,32.2,36.5,39.9,38.8,38.3,38.6,39.2,36.9,34.6,34.1,38.1,38.9,37.8,36.4,29,31.1,32.1,33.8,36.5,41.1,42,41.8,43.2,41.3,41.5,41,41.9,43.1,41.6,40.6,37,31.4,32.7,36.9,42.2,45.4,49.6,43.5,43,46.4,42.2,41.2,38.7,37.2,41.7,43.8,47.5,47,45.6,46.5,48.3,48.9,52.1,53.3,54.2,57.4,57.5,58.3,57.7,65.2,66.9,67.8,71.5,74.5,73.4,71.5,72.5,69.8,68.8,69.2,72.5,72.8,76.2,76.3,77.6,75.8,72.7,69.6,64
"22","14","    Manufacturing","A400RC1",17.5,18,17.8,19,17.5,16,17.5,15.2,16.9,19.8,23.2,25.8,24.8,25.2,25.4,25.3,23.7,21.6,21.2,23.8,25.6,24.7,24.1,18.4,20.4,20.9,20.5,22.5,25.5,27,27.5,28.7,27.4,26.8,25.2,26.8,27.9,26.7,25.6,22.9,18.9,19.1,21.6,25.3,28.2,31.9,27.2,26.2,29.8,25.7,25.1,22.5,21.1,24.8,26.5,28.5,28,27.3,27.9,29.7,29.3,31.7,32.5,32.9,34.5,34.2,34.9,34.8,40.7,41.2,42,44.4,47,45.7,44.2,44.5,42.6,41.6,41.3,43.9,43.7,46.3,45.9,47.5,45.9,42.5,40.7,37.3
"23","15","      Durable goods","A406RC1",7.6,7.6,7.6,8.5,8.4,7.8,9.3,7.5,8.9,11,13.9,15.3,14.2,13.6,12.8,13.5,13.1,11.5,11.2,13.3,14.7,13.9,13.4,9,10.5,11.2,11,12.1,14.3,14.9,15.2,15.5,14.4,14.1,12.9,14.6,16,15.1,14.4,12.2,9.1,9.2,10.3,13.1,15.1,18,13.4,12.9,16.1,12.9,12.2,10.4,9.3,12,13.4,15.4,15.1,14.5,15.2,16.1,16,18,17.9,18.5,19.4,19,19.6,19.1,24,24.1,24.6,26.1,27.6,25.9,25,24.9,23.3,23.6,22.6,24.2,23.8,25.5,24.7,26.8,26,22.8,21,18.9
"24","16","        Primary metal industries","A407RC1",1.3,1.5,1.7,1.9,2.1,1.6,1.5,0.9,1.6,2.2,2.7,2.9,3.1,3.3,3.2,2.9,2.7,1.2,1.6,2.3,2.7,2.8,3,1.6,1.6,1.6,1.7,2.1,2.6,2.8,3.1,3.1,3.4,3.3,2.4,3.2,3.5,3.3,3.1,2.4,1.5,1.6,2.1,2.4,3.2,4.4,-0.2,2.1,3.4,2,1.7,1.3,0.9,1.6,1.9,2.1,1.9,1.2,1.4,1.9,1.6,2.4,1.9,2.2,2.2,2.3,2.7,3,3.4,3.3,3.2,2.8,3.3,3.8,3.8,3.6,3.3,2.6,2.5,2.6,2.2,2.8,1.5,1.6,1.6,1.5,1.2,1.7
"25","17","        Fabricated metal products","A408RC1",1,0.9,0.7,0.8,0.7,0.6,0.9,0.7,0.7,1,1.4,1.6,1.5,1.5,1.2,1.3,1.2,1.1,0.9,1,1.3,0.9,0.9,0.9,0.8,1,1.1,1,1.1,1.1,1,1.2,1.2,1.1,1.1,1.1,1.3,1.2,1.2,1,0.9,0.9,1,1.1,1,1.1,1.4,1,0.9,0.9,0.9,0.8,0.8,1.2,1.1,1.2,1.3,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.4,1.4,1.6,1.7,2,2,2.1,2.3,2.5,2.4,2.6,2.3,2.6,2.5,2.3,2.7,2.1,2.4,2.5,2.7,2.3,2.2,1.7,2.1
"26","18","        Machinery,except electrical","A409RC1",1.5,1.3,1.2,1.3,1.3,1.3,1.5,1.3,1.3,1.5,1.9,2.1,2.1,2.2,2.3,2.8,2.6,2.4,2.2,2.3,2.4,2.3,2,1.4,2,1.9,1.8,1.7,1.8,1.8,1.6,2,2.1,2.2,2.3,2.3,2.4,2.3,2.1,1.6,1.4,1.4,1.5,1.7,1.8,2.4,2.5,2.2,2.1,2,1.7,1.6,1.6,1.9,1.9,2.3,2.3,2.5,2.5,2.5,2.5,2.7,2.6,2.6,3.3,3.2,3.5,3.6,3.7,4,4.2,4.5,4.7,4.6,4.8,4.7,4.4,4.5,4.2,4.5,3.9,4.2,4.7,4.8,4.3,4.3,3.8,3.4
"27","19","        Electric and electronic equipment","A410RC1",0.8,0.8,0.6,0.7,0.7,0.7,0.9,0.9,1,1.1,1.4,1.7,1.5,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.9,1.7,1.5,1.1,1.4,1.4,1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.7,1.8,1.7,2.1,2,1.9,1.9,1.6,1.7,1.8,2,2.1,2.2,2.3,2.2,2.1,2,1.9,1.7,1.7,1.8,2,2.3,2.2,2,1.9,2.1,2.2,2.3,2.3,2.2,2.2,2.1,2.3,2.6,3,3.2,3.5,3.9,4,3.9,3.9,3.5,3.7,3.7,3.8,4,3.9,3.7,3.9,4,4.3,3.7,3.4,2.7
"28","20","        Motor vehicles and equipment","A411RC1",1.2,1.2,1.5,2,1.8,1.9,2.8,2,2.6,3.1,3.6,3.6,2.8,2.4,2.4,2.5,2.3,2.6,2.1,3.3,3.2,3.1,3.4,1.8,2.1,2.4,2.1,2.7,3.8,4.2,4.7,4.5,2.9,2.4,2.1,2.7,3.4,2.8,2.8,2.1,1.3,0.8,0.3,2.1,3.2,4,3.4,2.1,4.1,3.2,3.1,2.5,1.6,2.4,3.2,3.7,3.8,3.9,4.5,4.7,4.6,4.9,5.3,5.7,5.8,5.4,4.9,3.5,6.6,6.3,6.3,6.6,6.7,5.2,4.5,5.5,4.1,4.8,4.1,4,5.4,6.1,5.5,6.6,6.2,4.9,5.4,4.5
"29","21","        Other","A412RC1",1.8,1.9,1.9,1.9,1.8,1.6,1.8,1.8,1.8,2.2,2.9,3.4,3.3,3,2.5,2.6,2.7,2.6,2.8,2.7,3.1,3,2.6,2.2,2.6,2.9,3,3.3,3.7,3.7,3.4,3.4,3.4,3.5,3.2,3.6,3.3,3.5,3.3,3.2,2.4,2.8,3.7,3.7,3.7,3.9,3.9,3.3,3.5,2.9,2.9,2.5,2.7,3,3.2,3.8,3.6,3.7,3.8,3.8,3.7,4.4,4.4,4.2,4.6,4.7,4.5,4.9,5.4,5.2,5.5,6,6.3,5.9,5.4,5.3,5.3,5.5,5.7,6.3,6.2,6.2,6.6,7.2,7.2,6.1,5.4,4.5
"30","22","      Nondurable goods","A401RC1",9.9,10.4,10.2,10.4,9,8.2,8.2,7.7,8,8.7,9.3,10.5,10.6,11.6,12.6,11.8,10.6,10.1,9.9,10.5,11,10.8,10.7,9.4,9.9,9.7,9.5,10.4,11.3,12.1,12.3,13.2,12.9,12.7,12.3,12.2,11.9,11.6,11.3,10.7,9.7,9.9,11.3,12.2,13.1,13.9,13.8,13.3,13.6,12.8,12.9,12.1,11.9,12.8,13.1,13.2,12.9,12.8,12.6,13.6,13.3,13.7,14.6,14.4,15.1,15.2,15.3,15.6,16.8,17.1,17.4,18.3,19.4,19.8,19.2,19.6,19.3,18,18.7,19.7,19.9,20.8,21.2,20.6,19.9,19.8,19.7,18.4
"31","23","        Food and kindred products","A402RC1",1.5,1.9,1.9,2.2,1.7,1.8,1.6,1.4,1.5,1.5,1.7,1.7,1.8,1.4,1.2,1.5,1.6,1.6,1.9,2,1.9,1.8,1.9,1.7,1.7,1.7,1.6,1.8,2,2.3,2.3,2.2,2.1,1.9,1.7,1.6,1.8,1.8,2,2,1.9,2,2.1,2.4,2.4,2.4,2.5,2.7,2.3,2.2,2.3,2.1,2.2,2.6,2.4,2.4,2.2,2.5,2.4,2.6,2.7,2.5,2.9,2.8,2.9,2.8,2.6,2.8,2.9,2.8,3,2.9,3.3,3.6,2.9,3.7,3.7,3.1,3.3,3.3,3,3.4,3.6,3.2,2.9,2.9,3.5,3.1
"32","24","        Chemicals and allied products","A403RC1",1.8,1.7,1.7,2,1.9,1.7,1.7,1.9,2,2.3,2.6,2.7,2.7,3,3,2.8,2.7,2.5,2.1,2.4,2.7,2.5,2.5,1.9,2.2,2.3,2.4,2.6,2.9,3.2,3.2,3.6,3.4,3,3.1,3.2,3.2,3.2,3.1,3,2.6,2.6,2.9,3.4,3.7,4.1,4,3.6,3.9,3.5,3.4,3.2,3.2,3.7,3.8,3.9,3.7,3.6,3.5,3.7,3.7,4,4.3,4.3,4.5,4.4,4.5,4.5,4.8,5.1,5.1,5.4,5.6,5.5,5.3,5,4.8,4.5,4.7,5.2,5.6,5.9,5.9,5.8,5.5,5.3,5.1,4.8
"33","25","        Petroleum and coal products","A404RC1",2.6,3,2.9,2.6,2.3,2,1.8,1.6,1.6,2.1,2.5,3.1,2.8,2.8,2.8,2.7,2.6,2.1,2.4,2.3,2.6,2.8,2.9,2.9,3,2.8,2.7,2.8,2.9,3,3.1,3.4,3.2,3.6,3.4,3.2,3,2.9,2.5,2.3,2.1,1.9,2.4,2.7,2.9,2.8,2.7,2.4,2.5,2.8,2.9,2.7,2.6,2.4,2.2,2.2,2.4,2.3,2.2,2.4,2.3,2.3,2.3,2.3,2.3,2.5,2.4,2.8,2.7,3.2,3,3.1,3.3,3.4,3.6,3.8,3.9,4,4,4.1,4.1,4,4,3.6,3.7,3.8,3.5,3.4
"34","26","        Other","A405RC1",4,3.8,3.6,3.6,3.1,2.7,3,2.7,2.9,2.9,2.6,2.9,3.2,4.4,5.5,4.9,3.7,3.8,3.6,3.7,3.8,3.7,3.4,2.9,3.1,2.9,2.8,3.2,3.4,3.6,3.7,4.1,4.3,4.2,4.2,4.2,3.9,3.8,3.7,3.5,3.1,3.4,3.8,3.8,4.2,4.6,4.5,4.5,4.9,4.4,4.3,4.1,3.8,4.1,4.7,4.6,4.6,4.5,4.6,4.8,4.6,5,5,5.1,5.3,5.5,5.8,5.6,6.4,6.1,6.3,7,7.2,7.3,7.3,7.1,6.9,6.4,6.8,7.1,7.1,7.5,7.6,7.9,7.8,7.8,7.5,7
"35","27","    Transportation and public utilities","A416RC1",2.8,3.3,3,3.1,3,3.1,3.2,3,3.4,3.9,4.5,4.8,4.4,4.7,4.7,5.3,5.4,4.8,5,5.4,5.5,5.4,5.3,4.8,4.8,5,5.1,5.2,5.8,6.1,6,6.1,6.3,6.4,6.3,6.2,6.5,6.2,6.3,5.9,5.6,6,6.5,6.9,7.4,7.6,7.1,7.4,7.9,7.9,7.7,7.8,7.6,8.1,8.2,8.9,8.7,8.7,8.9,8.7,9.3,9.7,9.9,10.1,10.5,10.4,10.4,10.4,10.7,11.2,11.6,12.2,12.4,12.9,12.6,12.3,11.4,11.1,11.3,11.6,11.4,11.3,11.5,11.5,11.8,11.6,10.7,10.3
"36","28","      Transportation","A417RC1",1.3,1.7,1.6,1.4,1.3,1.3,1.2,1,1.4,1.7,2.2,2.4,1.8,1.9,1.8,2.1,2.2,1.6,1.8,1.9,2,1.8,1.6,1.1,0.9,1,0.9,1.1,1.5,1.5,1.5,1.4,1.4,1.5,1.3,1.4,1.3,1.2,1.2,0.8,0.5,0.7,1,1.3,1.4,1.5,0.7,0.9,1.2,0.9,0.7,0.8,0.6,0.9,1,1.3,1.1,1,1,1,1,1.5,1.4,1.7,1.8,1.6,1.6,1.4,1.7,2.1,2.3,2.4,2.4,2.5,2,2.1,1.5,1.2,1.3,1.3,1.2,1,0.8,0.8,0.8,0.8,0.4,0.3
"37","29","      Communication","A418RC1",0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.9,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.9,2,2,2.1,2.2,2.1,2.3,2.2,2.4,2.4,2.4,2.4,2.4,2.6,2.7,2.8,3,3.1,3.1,3.1,3.2,3.3,3.4,3.4,3.4,3.4,3.5,3.6,3.8,3.8,3.9,3.9,4,4.1,4.3,4.2,4.2,4.3,4.2,4.3,4.4,4.4,4.7,5,5.2,5.4,5.6,5.4,5.2,5.1,5.3,5.4,5.5,5.5,5.6,5.7,6,6.1,5.7,5.7
"38","30","      Electric, gas, and sanitary services","A419RC1",1,1.1,1.1,1.2,1.3,1.4,1.5,1.3,1.4,1.5,1.5,1.5,1.6,1.8,1.8,2,2,2,2,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.4,2.4,2.6,2.4,2.6,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,3,3,3.2,3.3,3.5,3.7,3.6,3.7,3.6,3.8,3.7,3.9,3.9,3.9,4,3.8,4.2,4.1,4.2,4.2,4.5,4.5,4.6,4.7,4.6,4.7,4.6,4.8,4.9,5,5,4.9,4.8,4.8,4.7,4.9,4.7,4.9,5.1,5,5,4.8,4.7,4.2
"39","31","    Wholesale trade","A414RC1",2.4,2.5,2.3,2.3,2.2,2,2,1.6,1.9,1.8,2.1,2.4,2.6,2.6,2.6,2.6,2.4,2.2,2.3,2.2,2,2,1.7,1.3,1.4,1.4,1.7,2.3,2.4,2.4,2.5,2.2,1.9,2.1,2.5,2.1,2.3,2.2,2.2,2,1.8,1.8,2.4,2.9,2.8,3.2,2.9,2.5,2.8,2.4,2.4,2.4,2.2,2.4,2.5,2.9,3,2.7,2.9,2.8,2.5,2.7,2.9,3.1,3.5,3.5,3.6,3.1,3.7,4.1,3.5,3.9,4.2,3.9,3.7,4.1,4.1,4.1,4,4.1,4.4,4.7,4.8,4.8,4.8,5,4.8,5.2
