"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"13","5","    Nonmetallic mineral product manufacturing","PK3273",84.155,84.393,84.496,84.735,84.513,85.264,86.052,86.419,86.873,87.401,87.902,88.331,88.687,88.861,88.83,88.812,89.23,89.486,89.738,90.138,89.821,90.052,90.42,90.589,90.578,90.764,90.918,91.259,91.789,92.866,94.514,95.816,97.651,98.965,100.72,102.497,105.626,107.128,108.398,108.613,109.471,109.997,109.736,109.889,110.586,111.434,112.854,114.17,115.196,114.688,113.888,113.089,113.028,112.951,112.986,113.055,113.37,114.054,114.649,114.734,116.223,116.511,117.122,117.428
"14","6","    Primary metal manufacturing","PK3313",80.146,80.526,80.439,80.338,79.522,78.501,77.074,75.631,73.989,73.585,74.096,75.331,76.999,77.294,77.125,76.506,75.571,74.487,73.767,72.964,72.883,73.72,75.035,75.874,76.108,75.458,75.68,77.531,83.051,90.263,94.786,99.466,102.474,99.254,96.55,101.71,107.149,113.732,120.423,121.889,119.644,126.639,123.814,121.117,126.324,142.341,148.753,126.601,108.617,102.883,108.639,115.071,120.484,127.209,123.544,127.745,135.439,140.676,139.36,133.782,133.453,131.621,127.988,127.826
"15","7","    Fabricated metal product manufacturing","PK3323",84.939,85.219,85.511,85.753,85.965,86.218,86.336,86.458,86.433,86.525,86.668,87.005,87.314,87.631,87.846,88.027,88.307,88.462,88.526,88.608,88.703,88.792,88.995,89.092,89.174,89.192,89.368,89.664,91.392,94.562,96.375,97.593,99.014,99.866,100.131,100.928,102.137,103.455,105.224,106.307,107.657,108.721,109.042,109.865,112.199,116.217,119.811,120.274,119.469,117.611,116.79,116.979,117.582,118.487,118.821,118.76,120.469,122.411,123.208,123.338,123.933,124.633,124.118,124.47
"16","8","    Machinery manufacturing","PK3333",88.909,89.184,89.433,89.623,89.901,90.153,90.417,90.643,90.952,91.196,91.324,91.473,91.679,91.859,92.165,92.302,92.644,92.945,93.172,93.354,93.499,93.608,93.78,94.02,94.124,94.303,94.495,94.746,95.232,96.041,96.819,97.621,98.82,99.709,100.377,101.022,101.971,102.624,103.513,104.49,105.578,106.243,106.711,107.45,108.525,109.986,112.403,113.7,114.164,114.043,114.064,114.15,114.06,114.279,114.442,114.785,115.743,116.863,117.743,118.502,119.228,119.827,120.126,120.69
"17","9","    Computer and electronic product manufacturing","PK3343",146.177,143.28,140.619,138.4,136.211,133.635,131.645,129.881,127.936,126.305,124.344,123.281,121.701,120.658,120.554,119.775,118.715,117.416,115.911,115.106,114.261,113.255,111.931,110.526,108.415,107.704,105.766,104.429,103.422,103.012,102.341,101.64,100.835,100.305,99.957,98.941,98.371,98.799,98.774,98.409,97.141,95.897,94.302,93.19,92.681,92.658,92.496,92.197,91.496,91.162,91.149,90.916,90.27,89.985,89.61,88.667,88.42,88.436,87.973,87.702,87.988,88.272,88.342,88.145
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",94.037,94.394,94.246,94.019,93.873,93.968,94.022,93.815,93.495,93.373,93.726,93.897,94.149,94.255,94.394,94.329,94.31,94.266,94.07,93.92,93.883,93.673,93.622,93.432,93.24,93.131,93.101,93.289,94.076,95.813,96.374,97.14,98.747,99.449,99.992,101.757,103.453,106.82,109.107,109.277,109.114,111.097,112.431,113.285,114.775,116.459,117.93,116.739,115.708,116.568,117.317,118.43,119.308,119.965,119.98,121.454,123.023,124.148,124.792,124.552,125.691,126.002,126.067,126.342
"19","11","    Transportation equipment manufacturing","PK3363",96.343,96.108,95.842,95.332,95.446,95.419,95.495,95.704,95.656,95.758,95.701,96.11,96.418,96.703,96.905,96.782,96.789,96.95,97.489,96.522,96.775,96.727,96.375,96.471,96.985,96.646,97.182,97.771,97.924,98.559,98.906,99.811,100.019,99.889,100.421,99.69,100.284,100.842,100.471,101.025,102.076,101.748,101.562,103.425,103.549,103.813,104.022,106.871,107.217,106.935,106.393,107.478,107.761,107.718,107.311,108.351,108.864,109.402,109.541,111.1,110.859,110.881,110.981,112.256
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",101.334,101.002,100.545,99.843,99.934,99.666,99.862,99.947,99.864,100.034,99.852,100.215,100.242,100.408,100.487,100.116,99.89,99.959,100.522,98.995,99.237,99.162,98.449,98.444,98.902,98.233,98.72,99.21,99.187,99.801,99.803,100.647,100.413,100.003,100.485,99.128,99.389,99.843,99.095,99.523,100.631,99.894,99.172,101.624,101.324,101.105,100.586,104.757,103.963,104.035,103.069,104.714,104.713,104.152,103.359,104.429,104.636,104.857,104.802,106.711,106.837,106.658,106.595,108.268
"21","13","      Other transportation equipment manufacturing","PK3OT3",83.861,83.811,83.952,83.881,84.048,84.555,84.384,84.86,84.897,84.836,85.069,85.57,86.551,87.117,87.607,88.074,88.622,88.998,89.489,89.749,90.049,90.078,90.692,91.054,91.683,92.247,92.916,93.783,94.465,95.155,96.445,97.502,98.925,99.543,100.21,101.127,102.62,103.477,104.112,104.99,105.877,106.507,107.544,108.143,109.111,110.283,111.769,112.449,114.603,113.857,113.912,114.122,114.861,115.748,116.12,117.083,118.284,119.57,120.183,120.832,119.704,120.223,120.745,121.011
"22","14","    Furniture and related product manufacturing","PK3373",87.922,88.151,88.41,88.671,88.995,89.224,89.339,89.628,89.914,90.173,90.656,90.974,91.301,91.732,92.044,92.351,92.658,92.989,93.209,93.324,93.409,93.551,94.05,94.341,94.486,94.723,94.751,94.824,95.169,95.787,96.647,97.76,98.801,99.642,100.346,101.186,102.129,102.647,103.155,103.674,104.359,104.724,104.843,105.359,106.269,108.016,110.64,112.122,112.824,112.655,112.59,112.679,112.353,112.7,113.197,113.135,113.821,114.672,115.663,116.433,117.375,117.682,118.456,118.318
"23","15","    Miscellaneous durable goods manufacturing","PK3393",89.424,89.669,89.843,89.933,90.02,90.081,90.359,90.643,90.696,90.914,90.877,91.172,92.051,91.984,92.741,93.052,93.643,93.955,94.326,94.533,94.645,94.902,95.161,95.515,96.088,96.463,96.768,96.874,97.102,97.55,98.267,98.611,99.367,99.881,100.383,100.371,100.992,101.646,102.117,102.706,104.257,104.701,104.871,105.587,106.581,107.52,108.825,109.111,109.984,110.101,109.714,110.149,110.234,111.19,112.274,113.956,115.465,116.778,117.48,117.43,117.815,117.685,117.763,117.727
"24","16","  Nondurable goods manufacturing industries","PK30N3",77.35,76.36,76.056,76.372,75.554,75.234,74.819,74.591,74.567,75.638,77.079,78.576,80.526,81.267,82.121,83.147,83.375,83.643,82.442,80.313,79.73,80.944,82.086,83.261,86.36,84.685,85.494,86.792,88.603,90.603,91.835,94.875,96.511,97.597,101.009,104.919,104.945,106.914,107.221,106.146,106.408,112.424,113.516,116.657,121.422,131.006,136.741,117.929,109.604,113.134,116.059,117.987,121.614,124.424,124.632,128.51,135.096,143.442,143.539,141.737,144.221,145.786,145.77,145.315
"25","17","    Food manufacturing","PK3113",88.685,89.358,88.49,87.971,86.752,86.705,87.12,86.559,86.058,85.203,85.683,86.09,86.085,87.265,86.715,87.207,88.559,90.009,90.855,89.793,89.122,88.39,89.615,89.385,91.293,92.224,93.769,97.166,96.999,101.612,99.091,98.384,99.474,100.133,99.795,100.596,99.778,99.046,100.727,102.16,105.532,108.226,109.782,111.92,116.142,119.256,123.996,119.441,115.396,115.994,115.557,116.604,118.333,119.131,120.4,124.118,127.714,131.534,134.41,135.039,134.997,135.069,137.583,140.03
"26","18","    Beverage and tobacco product manufacturing","PK3123",68.985,69.95,70.276,70.987,71.578,73.227,74.245,77.376,82.626,82.886,84.405,86.664,86.873,87.509,88.53,89.13,92.07,93.621,94.432,95.193,94.941,96.58,96.802,96.297,94.599,94.465,94.566,95.268,96.13,96.24,96.23,96.723,99.165,99.748,100.393,100.623,101.374,101.976,101.443,101.808,103.282,104.279,104.956,106.071,107.217,108.58,110.017,111.178,113.571,114.215,114.535,115.706,116.367,117.44,117.542,119.072,120.056,120.013,121.817,123.266,123.935,124.532,125.46,126.352
"27","19","    Textile mills","PK3133",101.624,101.924,102.313,102.309,102.25,102.099,101.679,100.603,99.439,98.483,97.826,97.928,98.061,98.056,98.406,98.385,98.351,98.013,97.167,96.435,95.483,95.603,95.756,95.525,95.295,95.511,95.443,95.55,95.717,96.628,97.076,97.408,98.67,99.534,100.295,101.67,103.132,103.599,103.941,104.315,104.332,104.458,105.785,106.382,107.488,108.34,110.523,110.393,108.843,108.911,108.801,109.397,110.381,112.126,113.147,115.614,120.905,125.524,125.215,124.208,122.903,122.371,122.219,122.574
"28","20","    Textile product mills","PK3143",91.974,91.504,92.065,92.566,92.667,92.682,92.499,92.415,91.977,92.124,92.164,92.362,92.448,93.228,93.324,93.655,94.214,94.313,94.256,94.31,94.258,94.225,94.667,94.323,94.2,95.192,95.493,95.844,94.888,95.662,96.884,98.174,98.715,99.763,100.205,101.337,102.64,102.125,103.055,103.677,103.904,104.087,104.638,104.968,105.271,105.854,107.886,108.819,108.751,110.027,110.224,110.786,110.754,111.374,111.936,112.104,113.686,115.952,117.902,118.216,118.435,118.471,119.536,118.65
"29","21","    Apparel manufacturing","PK3153",99.026,99.183,99.493,99.601,99.805,99.857,100.057,100.25,100.288,100.329,100.264,100.482,100.504,100.64,100.852,100.91,100.903,100.751,100.751,100.675,100.299,99.985,100.025,100.242,99.929,99.838,99.75,99.933,99.814,99.93,99.908,100.556,100.195,99.895,100.052,99.859,100.112,100.215,100.312,100.724,101.336,101.41,101.453,101.687,101.973,102.403,102.861,103.566,103.907,103.759,103.701,103.985,103.854,104.058,104.108,103.995,104.729,105.854,106.73,106.991,107.523,107.638,107.763,108.386
"30","22","    Leather and allied product manufacturing","PK3163",93.448,93.12,92.617,93.489,93.078,92.676,92.79,92.429,91.885,91.955,92.345,92.715,93.169,93.103,93.546,94.659,95.892,97.819,97.319,96.019,95.804,96.231,97.576,97.905,98.225,98.406,98.61,99.37,99.713,99.501,99.59,99.61,99.825,99.948,100.086,100.161,100.493,101.326,101.57,102.028,103.029,103.465,103.645,104.359,105.451,105.749,106.692,106.729,106.534,105.698,105.482,104.945,105.154,106.566,107.375,108.82,110.428,112.122,113.806,112.848,113.065,114.824,115.203,116.484
"31","23","    Paper manufacturing","PK3223",85.951,84.759,85.776,88.031,89.311,88.732,88.047,86.52,85.791,87.072,88.868,90.713,92.002,95.125,95.706,95.82,95.649,95.386,94.412,93.474,92.664,92.114,92.608,93.487,93.37,93.455,93.258,92.953,92.458,94.256,97.118,98.585,99.535,100.28,99.825,100.36,102.71,104.965,106.602,107.153,107.479,107.659,108.121,110.088,111.794,113.28,116.895,119.269,117.845,114.96,112.901,112.852,114.517,118.567,121.012,121.918,122.813,123.81,124.385,124.008,124.486,124.439,124.038,125.247
"32","24","    Printing and related support activities","PK3233",89.253,89.385,89.804,90.866,91.26,91.591,91.762,92.026,91.868,92.132,92.367,92.826,93.23,94.406,95.212,95.729,96.093,96.444,96.241,96.095,96.095,96.08,96.117,96.121,96.415,96.598,96.585,96.7,96.923,97.562,98.212,98.85,99.327,99.578,100.316,100.796,101.695,102.27,102.734,103.35,103.37,103.797,104.375,104.968,105.856,106.755,107.845,108.175,107.676,107.166,106.11,106.431,106.289,106.638,107.121,107.735,107.897,108.458,108.948,109.227,109.103,109.351,109.59,109.779
"33","25","    Petroleum and coal product manufacturing","PK3243",47.705,41.868,40.458,41.021,36.743,33.811,31.335,30.858,30.683,36.352,40.997,45.144,54.209,54.045,56.928,60.667,57.693,56.893,51.833,43.586,42.427,48.252,50.905,56.222,68.841,55.768,58.975,61.102,68.888,70.5,75.121,86.034,88.003,90.194,105.515,117.42,114.16,123.641,121.358,112.998,108.956,134.036,135.08,144.096,155.332,190.398,200.154,112.976,85.926,104.541,119.453,125.312,135.922,143.963,141.575,152.481,172.11,201.203,194.498,185.121,194.196,199.12,197.326,191.101
"34","26","    Chemical manufacturing","PK3253",79.664,79.653,79.803,80.007,80.335,81.079,80.983,80.732,80.37,80.566,81.366,82.479,82.794,83.361,84.332,84.823,85.956,85.878,84.44,83.844,83.698,84.112,85.042,85.707,87.115,88.48,87.971,88.253,89.462,90.888,93.013,95.729,97.947,99.037,99.71,103.248,104.831,104.834,105.574,105.988,106.775,108.043,109.35,111.525,115.504,120.268,127.609,126.436,122.412,120.713,121.141,122.109,124.434,125.923,126.362,127.947,132.187,135.98,137.656,137.564,139.304,140.847,139.704,140.281
"35","27","    Plastics and rubber product manufacturing","PK3263",87.137,87.289,87.21,87.11,87.105,86.965,86.596,86.349,86.261,86.696,87.236,87.771,88.132,88.453,89.15,89.554,89.83,90.112,89.753,89.385,88.992,89.488,89.907,89.941,90.904,92.12,91.762,91.627,92.131,92.914,93.96,95.945,98.082,99.147,99.724,102.977,104.702,104.664,105.308,105.605,105.081,105.16,106.092,107.063,109.08,110.895,114.836,115.674,113.238,112.628,112.466,113.279,114.301,116.286,116.83,117.848,120.565,123.646,124.971,124.994,125.546,126.578,125.984,125.954
"36","28","Merchant wholesale industries","PK42W3",95.785,94.608,93.794,93.482,91.827,90.524,89.175,88.513,88.033,88.687,89.454,90.254,91.604,91.772,91.611,92.252,91.688,91.196,90.361,88.853,88.74,89.083,90.036,90.67,92.206,90.933,91.35,92.779,94.458,95.575,96.199,97.948,98.575,98.864,100.374,102.112,102.432,104.082,104.441,104.758,106.04,107.706,108.673,113.224,117.221,121.578,123.909,111.253,106.03,107.301,109.084,112.974,116.079,114.636,114.335,120.619,126.606,128.072,128.046,129.459,130.836,128.308,129.412,130.797
"37","29","  Durable goods merchant wholesale industries","PK42WD3",112.833,111.995,111.005,109.994,108.592,107.064,105.519,104.308,103.357,102.724,102.492,102.49,102.392,101.996,101.44,100.867,99.436,98.936,98.261,97.217,96.838,96.762,96.515,96.347,96.168,95.893,95.934,96.502,97.661,98.507,99.529,100.352,100.408,99.866,99.683,100.05,100.88,101.909,101.94,102.058,102.62,102.94,102.946,103.365,104.4,107.08,108.423,104.328,102.793,102.337,103.387,104.447,105.687,106.114,105.576,107.019,108.447,109.06,109.799,110.019,110.153,109.839,109.427,109.863
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",102.528,102.032,101.233,100.243,100.397,100.181,100.487,100.883,100.746,101.019,101.037,101.516,101.387,101.729,101.758,101.8,101.553,101.327,101.903,100.367,100.387,99.938,98.968,99.031,99.559,98.531,98.363,98.696,98.481,98.767,98.649,99.965,99.946,100.051,101.032,99,99.777,100.379,97.767,98.197,98.458,98.51,98.976,99.094,99.534,100.162,101.143,101.89,101.556,102.457,103.061,102.921,103.925,104.039,104.547,103.321,104.141,105.459,106.632,106.246,106.657,107.474,108.254,107.4
"39","31","    Furniture and home furnishings wholesalers","PK42123",90.34,90.255,90.615,90.821,91,91.103,90.906,91.109,91.003,91.205,91.362,91.606,91.93,92.333,92.648,92.994,93.141,93.256,93.084,93.219,93.373,93.333,93.825,94.004,94.049,94.555,94.751,94.945,94.679,95.607,96.693,97.933,98.755,99.757,100.26,101.173,102.403,102.451,103.308,103.859,104.815,105.258,105.532,106.093,106.75,107.919,109.691,110.909,111.462,112.061,112.172,112.489,111.925,112.162,112.653,112.801,114.198,115.988,117.064,118.078,118.618,119.308,119.784,119.178
"40","32","    Lumber and other construction materials wholesalers","PK42133",89.323,90.188,89.66,88.971,87.679,86.418,86.171,86.277,87.581,89.121,91.282,90.235,90.395,88.994,87.406,87.83,86.933,89.103,88.903,87.762,88.065,88.025,88.075,88.399,88.152,88.267,90.274,92.13,93.954,98.404,100.674,98.977,99.784,99.531,99.281,101.31,102.955,102.147,100.348,99.436,99.533,98.695,99.096,98.997,97.541,99.28,102.792,103.957,101.198,99.982,100.655,101.926,103.988,106.673,104.631,105.016,105.876,105.771,106.866,106.787,106.237,108.288,108.963,110.309
"41","33","    Professional and commercial equipment wholesalers","PK42143",236.295,227.907,219.27,211.893,201.369,191.243,182.232,174.135,166.996,161.128,156.544,153.05,150.176,147.302,145.349,142.823,134.593,131.519,127.74,123.722,121.344,119.665,117.42,115.351,112.955,111.626,110.38,109.52,108.91,107.93,106.334,104.806,103.064,101.027,99.092,97.179,95.536,93.819,92.309,91.317,90.001,89.125,87.743,86.824,85.646,85.012,84.351,83.569,82.685,81.644,80.804,79.956,79.508,78.926,78.817,78.864,78.28,77.507,77.034,76.903,77.092,76.826,76.614,76.276
"42","34","      Computers and software wholesalers","PK42433",460.356,430.493,403.108,379.903,348.935,321.269,297.448,275.863,257.699,242.779,231.545,223.242,216.274,209.338,204.167,198.171,179.939,172.642,163.719,154.511,149.102,145.708,140.581,135.86,130.122,127.062,124.226,121.544,119.537,117.323,113.876,110.605,106.308,102.165,98.077,94.221,90.915,87.396,84.304,82.226,80.147,77.662,75.011,73.218,70.787,69.328,67.952,66.637,64.936,63.01,61.789,60.493,59.884,59.045,58.598,58.526,57.333,56.175,55.197,54.672,54.67,54.178,53.904,53.2
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",93.342,93.605,93.395,93.539,93.583,93.46,93.42,93.531,93.536,93.907,94.139,94.259,94.243,94.419,94.865,95.007,94.782,95.046,95.337,95.538,95.678,95.437,95.678,95.931,96.338,96.488,96.611,97.352,98.083,98.285,98.47,98.635,99.47,99.73,100.223,100.513,100.819,101.196,101.587,101.966,101.621,102.837,103.195,103.525,104.196,104.849,105.392,105.565,106.13,106.625,106.523,106.598,106.479,106.46,107.037,107.306,108.113,108.335,109.082,109.858,110.429,110.718,110.686,111.216
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",73.998,74.184,74.365,74.02,73.001,72.235,70.444,67.923,66.399,66.329,67.049,68.501,70.284,70.44,70.242,68.727,68.127,67.098,66.455,65.34,65.403,67.318,69.303,70.255,70.921,70.868,71.375,73.922,82.394,89.118,96.323,101.51,102.491,99.184,96.742,101.517,105.809,112.765,117.758,117.755,119.806,125.665,123.988,123.529,132.545,155.385,162.828,129.572,114.493,107.901,115.73,122.22,130.848,139.419,135.749,140.123,151.673,156.626,156.967,152.996,153.577,149.507,143.382,143.443
"45","37","    Electrical goods wholesalers","PK42163",113.164,112.643,112.243,111.34,110.492,109.952,109.182,109.213,109.156,108.55,107.927,107.52,107.059,106.96,106.686,106.225,105.728,105.105,104.553,104.336,104.344,103.858,103.402,102.976,102.497,102.327,101.956,101.52,100.604,100.474,100.039,99.997,100.318,100.207,99.935,99.557,99.765,100.983,101.744,101.924,101.316,100.569,100.323,100.226,100.476,100.763,101.076,101.174,101.035,101.133,100.914,100.914,100.652,100.425,100.267,100.02,100.198,100.503,100.499,100.509,101.178,101.235,101.376,101.211
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",87.475,87.654,87.757,88.006,88.129,88.156,88.161,88.329,88.423,88.663,89.019,89.321,89.623,90.005,90.276,90.31,90.722,90.903,91.077,91.443,91.516,91.544,91.638,91.67,92.187,92.413,92.594,92.922,93.837,94.813,95.902,97.107,99.023,99.626,100.133,101.137,101.704,102.975,104.704,106.238,107.598,108.754,109.264,109.731,111.144,113.677,116.711,117.697,116.667,116.254,116.229,116.836,116.956,117.462,117.937,118.371,119.479,120.961,122.148,122.494,123.373,123.593,123.764,124.577
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",87.622,87.74,87.881,88.102,88.36,88.444,88.545,88.907,89.111,89.203,89.226,89.505,89.757,89.866,90.087,90.237,90.507,90.735,90.87,91.087,91.122,91.266,91.658,91.872,92.193,92.514,92.828,93.221,93.914,94.898,95.767,97.057,98.527,99.803,100.436,101.149,102.109,102.891,103.901,104.696,105.818,106.624,107.408,108.206,109.51,111.101,113.347,114.558,115.161,114.983,114.78,114.898,115.16,115.69,116.006,116.373,117.632,119.218,120.504,121.315,122.173,122.908,123.182,123.741
"48","40","    Miscellaneous durable goods wholesalers","PK42193",92.42,92.122,91.988,92.169,91.727,90.534,88.49,87.134,86.8,86.841,88.399,90.872,91.767,91.482,89.788,88.948,87.641,87.273,86.504,86.03,85.428,86.71,87.382,87.969,88.519,88.988,89.561,92.194,96.767,95.478,99.11,101.627,99.894,98.2,99.108,102.707,105.328,109.339,110.694,111.234,115.639,116.212,117.829,122.371,126.176,132.733,132.95,110.857,108.307,109.078,116.289,124.211,130.663,129.969,126.539,139.931,144.817,144.411,147.425,150.817,147.811,143.016,139.599,145.337
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",80.475,79.036,78.366,78.624,76.787,75.693,74.531,74.338,74.264,76.025,77.66,79.167,81.813,82.482,82.67,84.403,84.628,84.142,83.166,81.258,81.373,82.079,84.078,85.409,88.416,86.293,87.042,89.234,91.376,92.749,92.996,95.631,96.81,97.904,101.069,104.182,103.99,106.277,106.971,107.493,109.548,112.605,114.548,123.396,130.47,136.604,140.002,118.779,110.205,113.019,115.487,121.952,126.798,123.603,123.521,134.501,145.056,147.383,146.563,149.234,151.94,147.078,149.768,152.151
"50","42","    Paper and paper products wholesalers","PK42213",84.631,82.928,84.787,87.862,88.875,87.806,86.573,84.504,83.838,85.11,87.707,90.067,92.254,96.338,97.206,97.615,97.305,95.635,93.27,92.053,91.056,90.005,91.066,92.12,92.183,92.726,92.005,91.559,91.153,94.112,97.77,98.777,100.28,100.642,99.06,100.059,103.032,106.213,108.82,109.359,109.445,109.321,110,112.523,114.618,116.188,120.903,123.012,120.335,116.079,113.542,112.806,115.001,120.74,123.69,124.196,124.626,125.607,125.917,125.032,124.736,124.736,124.158,126.025
