"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","3","  Nonfarm \2\","B358RG3",25.276,25.561,25.814,26.077,26.357,26.751,26.889,27.277,27.558,27.897,28.166,28.281,28.655,28.759,28.933,29.111,29.275,29.6,29.979,30.671,31.34,32.478,33.482,34.509,35.66,36.205,36.789,37.336,37.761,38.167,38.709,39.408,39.995,40.646,41.193,41.934,42.602,43.246,43.998,44.871,45.644,46.971,47.997,48.949,50.212,51.64,52.449,53.584,55.284,56.412,57.604,58.658,59.428,60.134,60.887,61.539,61.849,62.077,62.719,63.082,63.479,64.026,64.53,64.839,65.539,65.903,66.297,66.504,66.871,67.022,67.254,67.6,68.126,68.422,69.037,69.286,69.866,70.431,71.189,71.772,72.467,73.276,73.714,74.067,74.938,75.793,76.457,77.15,77.973,78.424,79.098,79.423,79.716,80.094,80.446,80.914,81.384,81.724,82.053,82.379,82.667,83.074,83.687,84.003,84.395,84.757,85.005,85.2,85.478,85.793,86.15,86.623,87.097,87.515,87.78,88.062,88.114,88.172,88.419,88.418,88.691,89,89.307,89.582,90.259,90.644,91.147,91.498,91.906,92.481,92.517,92.708,92.621,93.149,93.394,93.72,94.09,94.17,94.531,94.755,95.507,96.176,96.977,97.808,98.692,99.39,100.524,101.394,101.938,102.838,103.478,103.716,104.758,105.438,105.52,105.783,106.219,106.952,107.896,107.957,108.543,108.221,108.402,108.568,108.993,109.495,109.731,110.249,110.782,111.496,112.117
"12","4","  Farm","B359RG3",75.586,82.122,84.967,88.857,85.735,82.63,85.278,81.055,83.201,84.4,83.627,89.363,91.871,93.515,100.979,111.607,131.706,153.644,183.453,165.836,173.906,132.083,148.604,159.699,129.576,124.102,135.598,142.534,137.332,132.432,131.053,124.963,131.493,129.215,128.923,115.168,141.451,156.489,152.215,159.115,174.985,168.914,162.356,155.592,141.442,110.542,152.447,179.082,156.918,143.642,135.97,121.94,123.508,124.624,129.45,117.417,133.619,144.844,140.923,144.288,158.995,150.975,141.946,140.96,135.407,121.735,106.975,115.39,104.091,111.524,124.05,129.236,122.086,121.642,117.672,118.347,122.768,124.885,144.808,140.228,145.923,139.943,137.262,141.222,143.669,141.637,136.985,129.367,124.968,128.6,119.676,122.763,123.617,121.035,120.733,120.068,118.147,124.863,122.968,127.552,130.229,122.119,109.969,113.531,116.118,115.898,124.08,134.34,138.392,147.006,150.188,135.966,127.508,123.751,116.715,117.188,115.264,117.16,110.744,113.501,108.648,98.059,93.827,90.835,85.329,92.134,85.156,89.884,94.909,100.596,108.217,88.476,102.114,80.27,85.198,88.719,89.003,92.478,102.09,120.19,120.757,134.286,117.335,110.713,104.605,100.569,97.907,96.919,92.25,84.031,93.907,105.274,116.979,121.622,131.987,138.082,139.224,135.484,128.664,109.478,96.365,96.866,90.177,103.142,107.743,105.386,114.464,127.892,145.976,151.431,157.247
"13","5","Households and institutions","B193RG3",16.597,16.833,17.164,17.537,17.76,18.043,18.285,18.522,18.863,19.105,19.321,19.605,19.712,19.96,20.169,20.452,20.767,21.051,21.299,21.58,21.803,22.153,22.522,22.936,23.303,23.625,24.045,24.498,24.951,25.302,25.71,26.204,26.699,27.228,27.795,28.405,27.934,29.19,30.222,30.825,30.993,31.301,31.937,32.788,33.433,34.211,35.038,36.058,36.859,37.679,38.566,39.413,40.049,40.544,41.337,42.075,42.57,43.194,43.778,44.321,44.865,45.681,46.461,46.975,47.635,48.434,49.179,49.756,50.352,50.963,51.517,52.064,52.747,53.446,53.741,55.662,55.402,56.364,56.836,57.458,57.892,58.478,59.253,59.986,60.563,61.426,62.518,62.71,63.258,63.924,64.315,64.989,65.542,66.338,66.567,67.049,67.356,67.725,68.083,68.625,69.459,69.924,70.371,70.957,71.666,72.192,72.698,73.375,74.074,74.478,74.981,75.507,75.864,76.29,76.757,77.182,77.516,78.394,79.329,80.362,80.802,81.649,81.796,82.548,83.166,83.758,84.426,84.979,86.373,86.998,87.934,89.208,90.324,91.099,92.002,92.907,93.925,94.537,95.291,96.328,96.541,97.221,98.364,98.64,99.035,99.599,100.279,101.087,102.388,103.697,104.755,105.534,105.835,106.502,107.603,109.042,110.046,110.276,110.947,112.22,112.629,113.414,113.145,113.31,112.49,112.445,113.106,112.93,113.357,113.623,114.594
"14","6","  Households","B701RG3",19.294,19.452,19.665,19.876,20.107,20.319,20.542,20.805,21.074,21.333,21.581,21.731,21.938,22.076,22.288,22.477,22.797,23.021,23.232,23.487,23.644,23.849,24.18,24.562,25.073,25.41,25.772,26.242,26.687,27.051,27.508,28.09,28.762,29.362,29.853,30.274,30.645,31.052,31.485,32.083,32.573,33.077,33.844,34.787,35.241,35.816,36.633,37.728,38.577,39.471,40.508,41.619,42.412,42.988,43.887,44.731,45.297,45.998,46.459,46.83,47.392,48.2,48.941,49.44,50.05,51.068,51.821,52.473,53.26,54.078,54.57,55.216,55.769,56.663,57.019,57.894,58.666,59.181,59.832,60.535,61.087,61.731,62.588,63.457,64.141,64.961,66.11,66.333,66.696,66.893,67.022,67.696,68.275,68.61,68.906,69.428,70.205,70.821,71.162,71.652,72.334,72.822,73.152,73.703,74.471,75.197,75.882,76.723,77.396,77.893,78.357,78.817,79.333,79.792,80.41,80.956,81.717,82.563,83.396,84.18,84.415,84.68,84.992,85.447,86.102,86.57,87.267,88.082,89.016,90.085,91.267,92.556,93.376,94.011,94.77,95.621,96.454,96.54,97,97.606,97.727,97.908,98.199,98.57,99.195,99.553,100.195,101.057,101.729,102.614,103.611,103.99,105.038,105.31,106.016,107.197,108.331,108.811,109.534,110.184,110.905,111.128,110.916,110.251,109.744,109.184,109.545,109.864,110.108,110.296,111.504
"15","7","  Nonprofit institutions serving households \3\","B702RG3",13.035,13.374,13.863,14.456,14.668,15.048,15.316,15.52,15.958,16.178,16.352,16.823,16.794,17.191,17.398,17.81,18.121,18.489,18.787,19.105,19.421,19.972,20.396,20.855,21.029,21.332,21.833,22.266,22.731,23.066,23.411,23.787,24.048,24.485,25.155,26.017,24.379,26.823,28.697,29.316,29.035,29.073,29.534,30.262,31.179,32.256,33.108,34.028,34.768,35.49,36.172,36.648,37.067,37.454,38.105,38.703,39.104,39.628,40.382,41.164,41.686,42.516,43.356,43.893,44.629,45.131,45.869,46.347,46.684,47.019,47.659,48.079,48.936,49.385,49.601,52.891,51.291,52.827,53.07,53.587,53.872,54.386,55.057,55.62,56.066,56.98,58,58.154,58.927,60.166,60.876,61.548,62.069,63.424,63.572,64.004,63.743,63.814,64.191,64.794,65.808,66.243,66.837,67.466,68.101,68.377,68.661,69.134,69.862,70.151,70.703,71.31,71.468,71.852,72.132,72.409,72.217,73.134,74.192,75.527,76.22,77.794,77.733,78.867,79.437,80.189,80.821,81.037,83.024,83.077,83.696,84.951,86.449,87.404,88.49,89.463,90.711,91.98,93.1,94.673,95.002,96.318,98.564,98.721,98.817,99.662,100.394,101.127,103.283,105.179,106.319,107.658,106.926,108.134,109.781,111.588,112.41,112.289,112.886,115.044,115.013,116.582,116.232,117.55,116.294,116.96,118.031,117.181,117.856,118.229,118.884
"16","8","General government \4\","B765RG3",13.316,13.487,13.95,14.146,14.724,15.002,15.231,15.442,16.014,16.324,16.549,16.799,17.451,17.647,17.885,18.314,18.696,19.02,19.339,19.718,19.983,20.365,20.837,21.486,21.94,22.434,22.87,23.459,23.825,24.204,24.487,25.015,25.543,25.977,26.332,27.059,27.385,27.74,28.079,28.62,29.187,29.671,30.407,31.196,31.797,32.509,33.237,34.699,35.483,36.049,36.393,37.475,38.175,38.796,39.367,40.167,40.603,41.166,41.57,41.976,43.697,44.215,44.743,45.215,46.143,46.48,46.683,47.262,47.642,48.101,48.559,49.211,49.778,50.19,50.559,50.846,51.541,52.15,52.547,52.994,53.783,54.219,54.703,55.141,56.029,56.789,57.342,58.185,59.183,59.706,60.316,60.846,61.733,62.376,62.775,63.061,63.789,64.324,64.954,65.421,66.084,66.704,66.981,67.594,68.182,68.388,68.716,69.61,70.512,70.255,70.725,71.189,71.878,72.191,72.46,72.886,73.341,73.681,74.166,74.792,75.904,76.713,77.411,78.065,79.067,79.37,80.327,81.024,81.87,82.532,83.338,84.103,85.488,85.919,86.538,87.827,89.931,90.858,91.525,92.131,93.885,94.905,95.694,96.6,98.709,99.561,100.477,101.253,103.178,104.274,105.027,106.061,108.562,109.368,110.09,110.846,112.614,113.478,114.157,114.899,115.683,115.843,116.166,116.515,117.76,118.19,118.616,119.047,119.833,120.602,121.252
"17","9","  Federal","B766RG3",12.465,12.519,13.145,13.254,14.041,14.26,14.436,14.618,15.41,15.757,15.991,16.416,17.339,17.479,17.579,18.181,18.456,18.685,19.035,19.594,19.754,20.063,20.535,21.465,21.952,22.256,22.608,23.459,23.644,23.916,24.189,25.077,25.684,26.001,26.119,27.216,27.347,27.563,27.83,28.773,29.093,29.472,29.855,31.257,31.688,32.167,32.597,34.996,35.447,35.896,36.135,37.932,38.436,38.916,39.152,40.006,40.136,40.598,40.802,40.938,44.044,44.396,44.788,44.971,46.195,46.206,45.927,46.615,46.746,47.012,47.202,47.457,48.138,48.216,48.222,48.298,49.366,50.064,50.385,50.462,51.774,51.954,52.098,51.866,52.809,53.418,53.498,54.466,55.855,56.196,56.824,57.227,58.74,59.38,59.604,59.233,60.214,60.712,61.493,61.901,62.531,63.321,63.055,63.61,64.832,64.562,64.793,66.799,68.121,67.563,67.917,68.515,69.64,69.722,69.809,70.252,71.012,71.119,71.235,71.453,73.033,73.586,74.024,74.534,76.445,75.874,77.257,77.481,78.033,78.259,79.006,80.093,83.671,83.517,83.154,84.563,88.316,88.631,88.822,89.172,93.297,94.651,94.94,95.254,99.592,99.719,100.366,100.323,104.436,105.305,105.01,105.501,109.487,110.415,109.999,110.196,112.751,113.209,112.924,112.246,114.492,113.362,113.507,114.059,116.533,116.793,117.269,117.596,118.617,119.437,120.117
"18","10","  State and local","B767RG3",13.861,14.141,14.44,14.717,15.095,15.423,15.694,15.925,16.303,16.576,16.792,16.902,17.342,17.578,17.915,18.213,18.668,19.053,19.347,19.601,19.932,20.359,20.827,21.287,21.715,22.327,22.812,23.229,23.705,24.148,24.434,24.731,25.205,25.709,26.207,26.697,27.14,27.577,27.957,28.249,28.959,29.502,30.445,30.858,31.555,32.4,33.301,34.181,35.161,35.791,36.196,36.828,37.642,38.344,39.116,39.874,40.497,41.12,41.647,42.223,43.036,43.657,44.268,44.922,45.649,46.194,46.706,47.209,47.745,48.324,48.949,49.848,50.337,50.959,51.559,51.979,52.428,52.974,53.415,54.091,54.547,55.139,55.829,56.676,57.522,58.369,59.206,59.966,60.714,61.345,61.94,62.543,63.052,63.692,64.189,64.854,65.429,65.981,66.522,67.021,67.7,68.227,68.795,69.434,69.685,70.134,70.509,70.843,71.537,71.429,71.955,72.353,72.832,73.255,73.609,74.027,74.342,74.788,75.441,76.25,77.151,78.073,78.887,79.602,80.205,80.893,81.662,82.564,83.539,84.388,85.219,85.845,86.295,86.975,88.012,89.25,90.64,91.836,92.711,93.429,94.143,95.016,96.026,97.193,98.32,99.491,100.526,101.663,102.63,103.824,105.034,106.304,108.16,108.913,110.127,111.123,112.548,113.588,114.696,116.078,116.198,116.958,117.367,117.621,118.275,118.789,119.191,119.673,120.342,121.085,121.72
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",19.267,19.429,19.64,19.834,20.043,20.243,20.45,20.71,20.973,21.235,21.468,21.623,21.812,21.959,22.164,22.354,22.65,22.868,23.09,23.337,23.491,23.632,23.885,24.279,24.797,25.154,25.513,25.965,26.364,26.7,27.156,27.705,28.371,28.973,29.484,29.932,30.297,30.665,31.056,31.623,32.058,32.553,33.336,34.326,34.849,35.449,36.314,37.423,38.234,39.09,40.123,41.247,42.043,42.668,43.575,44.426,45.04,45.722,46.19,46.554,47.115,47.938,48.678,49.258,49.948,50.986,51.789,52.542,53.294,54.221,54.747,55.385,55.95,56.73,57.16,57.997,58.787,59.261,59.904,60.583,61.149,61.783,62.608,63.476,64.193,65.022,66.098,66.421,66.826,67.099,67.346,68.059,68.768,69.163,69.481,69.971,70.667,71.197,71.506,72.002,72.681,73.142,73.481,74.02,74.686,75.331,75.93,76.675,77.328,77.783,78.254,78.696,79.224,79.683,80.288,80.855,81.52,82.308,83.139,83.93,84.203,84.49,84.837,85.344,86.011,86.471,87.181,88.011,88.94,90.006,91.166,92.447,93.287,93.905,94.645,95.484,96.309,96.445,96.929,97.491,97.646,97.834,98.158,98.55,99.196,99.555,100.192,101.057,101.701,102.551,103.525,103.951,105.012,105.389,106.197,107.498,108.728,109.33,110.149,110.928,111.636,111.852,111.608,111.021,110.617,110.153,110.466,110.791,111.125,111.329,112.475
