"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"95","87","          Fats and oils","DFATRA3",55.733,57.396,57.525,57.214,57.259,58.145,56.794,56.837,56.564,54.659,54.08,55.319,56.387,57.61,59.77,60.622,61.899,62.661,63.25,63.156,65.071,66.294,66.892,66.053,62.591,62.34,62.549,65.394,65.693,65.136,65.276,64.803,67.821,70.468,73.1,75.474,77.512,79.917,81.831,82.247,81.68,81.028,81.414,82.179,80.813,76.82,78.491,83.103,87.284,93.136,95.045,94.466,91.767,92.067,91.368,91.618,90.902,88.692,91.201,84.379,89.349,87.035,86.98,76.833,73.105,74.725,76.488,72.425,72.377,71.837,71.262,70.562,73.091,74.479,73.697,78.289,78.454,76.95,76.072,77.334,80.082,80.383,80.438,82.138,82.782,82.634,84.364,84.874,82.016,83.085,85.304,88.456,90.578,91.493,92.37,92.426,89.854,89.933,90.196,86.796,88.278,90.733,89.621,90.614,91.562,92.551,91.169,92.166,90.667,88.602,86.743,86.749,83.594,83.817,84.526,86.121,86.641,87.673,87.506,86.651,86.695,86.491,88.137,89.526,90.981,91.5,90.975,89.187,88.795,90.587,91.156,91.054,93.309,93.68,94.188,94.553,93.198,93.507,93.107,93.625,93.063,92.42,91.759,91.555,90.64,89.68,88.697,88.258,88.043,88.08,87.626,87.647,86.921,85.683,86.324,86.289,85.822,85.837,81.755,79.573,82.661,84.257,84.529,86.325,85.199,86.381,85.345,85.308,83.109,82.7,80.425,80.154,79.558,79.553,80.317,81.769,83.383,85.071,87.603,87.079,87.267,85.136,85.578,88.176,90.882,93.52,95.078,97.513,98.685,101.918,103.988,105.819,107.431,108.163,108.851,108.981,106.896,102.917,99.554,96.558,98.086,99.976,100.563,101.376,101.835,100.293,99.41,99.689,97.864,96.145,94.275,92.605,91.213,91.707,92.763,93.062,95.028,95.418,96.766,97.371,98.018,98.046
"96","88","          Fresh fruits and vegetables","DFAVRA3",64.88,64.761,63.11,60.758,60.889,61.817,62.063,61.369,64.531,65.685,63.432,66.005,64.89,61.448,63.792,62.817,59.933,60.615,59.673,58.828,56.778,58.211,57.021,55.678,57.956,55.278,59.803,63.673,62.112,60.39,59.475,59.599,64.245,65.704,62.82,65.042,63.037,63.367,64.567,62.257,61.468,60.39,59.767,60.173,64.065,67.162,70.202,71.625,68.784,62.481,60.213,58.285,59.219,64.354,62.727,61.463,61.197,59.376,59.965,60.294,58.242,52.405,54.13,53.683,55.003,56.127,52.256,53.566,54.108,53.38,52.846,50.124,48.807,50.666,55.134,54.58,55.025,51.573,52.094,55.365,54.583,57.958,56.263,55.604,61.249,57.898,55.913,55.157,56.935,58.983,59.666,61.655,57.809,60.139,64.914,67.549,69.961,65.26,65.082,63.878,60.244,65.789,62.579,62.838,62.83,64.498,66.339,67.571,70.939,68.809,69.322,71.068,72.748,71.302,74.197,72.278,71.066,74.257,71.736,71.932,72.869,69.838,69.844,71.471,65.529,73.415,71.579,71.344,70.177,64.298,68.094,69.418,69.571,69.579,68.625,69.149,71.044,69.827,71.703,70.772,74.208,76.131,73.581,72.724,71.929,68.903,70.922,73.493,74.577,73.017,74.877,76.532,76.969,77.563,76.89,76.872,75.287,75.558,77.603,78.771,81.313,82.49,83.452,86.491,87.174,89.597,89.164,88.524,89.705,90.944,92.347,94.193,90.062,91.773,92.974,94.403,94.25,92.16,91.168,91.761,93.358,93.442,94.676,88.995,96.662,94.483,95.305,95.386,93.523,94.922,92.17,94.244,92.719,93.584,96.58,95.044,95.105,96.083,93.301,94.985,98.146,99.286,100.363,102.206,101.674,100.876,104.081,104.078,101.616,104.509,105.552,108.176,111.853,111.315,111.58,111.552,110.289,110.717,109.616,111.302,113.663,110.251
"97","89","            Fruit (fresh)","DFRURA3",51.745,52.228,51.021,49.252,47.571,47.318,46.457,45.132,46.705,47.655,45.996,48.13,45.8,45.582,45.402,43.789,40.633,40.641,42.435,43.701,43.4,42.502,43.209,43.537,46.079,47.688,48.479,50.414,50.313,47.747,47.054,46.985,50.375,52.284,51.088,50.646,50.303,51.026,51.999,50.346,49.097,46.9,46.409,48.831,51.802,53.899,55.522,56.281,54.242,52.151,49.813,51.468,52.105,55.408,55.802,55.447,54.91,54.236,55.886,52.993,53.594,52.217,51.393,51.055,51.279,50.812,51.975,55.373,53.946,52.838,52.301,49.109,48.444,50.352,53.591,51.443,49.667,48.667,46.788,48.156,48.628,47.198,45.853,46.995,47.638,47.513,47.828,48.607,50.257,53.011,52.675,51.53,49.466,48.854,50.455,51.95,55.359,55.559,54.867,56.706,56.29,56.937,53.787,51.095,50.793,51.925,54.689,57.275,60.715,61.341,62.228,64.837,62.58,62.546,64.444,65.201,66.773,65.827,61.833,62.728,66.477,66.69,66.749,65.388,64.259,65.217,65.136,66.321,61.298,59.396,61.263,62.708,65.46,65.429,66.695,68.527,69.086,70.646,68.92,66.922,68.428,69.74,69.216,71.521,68.967,67.079,64.876,66.743,67.382,65.072,65.375,64.838,66.544,66.232,67.648,68.775,68.328,69.445,69.031,69.966,68.768,67.742,70.114,73.501,72.929,79.12,78.209,77.518,79.865,78.623,79.918,81.017,80.535,81.279,81.861,81.98,82.508,82.041,82.367,84.223,85.59,84.493,87.743,84.95,89.164,91.867,90.92,90.622,89.438,91.116,89.136,91.745,90.709,91.752,94.465,93.366,93.027,93.265,92.099,95.029,98.597,99.656,99.976,101.771,101.773,103.406,106.955,105.004,104.874,109.084,106.643,110.182,111.543,110.062,110.567,109.739,110.237,110.704,111.21,112.099,110.188,106.101
"98","90","            Vegetables (fresh)","DVEGRA3",75.006,74.336,72.328,69.514,71.296,73.308,74.615,74.587,79.216,80.52,77.784,80.653,80.841,74.362,79.057,78.8,76.439,77.855,73.961,70.988,67.327,71.023,67.996,65.111,67.059,60.784,68.363,73.877,71.067,70.156,69.07,69.362,75.006,76.002,71.679,76.328,72.804,72.745,74.117,71.253,70.915,70.912,70.176,68.833,73.433,77.32,81.519,83.513,80.053,70.186,68.036,63.026,64.186,70.828,67.437,65.426,65.396,62.683,62.452,65.353,61.125,51.891,55.589,55.034,57.277,59.878,51.545,51.185,53.349,52.985,52.481,50.197,48.34,50.115,55.535,56.393,58.897,53.249,55.928,60.944,58.999,67.074,65.05,62.536,73.134,66.472,62.326,60.247,62.186,63.678,65.229,69.924,64.536,69.435,77.098,80.76,82.146,73.152,73.371,69.656,63.529,72.873,69.635,72.577,72.913,75.104,76.052,76.005,79.231,74.562,74.722,75.674,80.913,78.199,81.918,77.669,74.132,80.759,79.626,79.183,77.619,71.919,71.884,76.008,66.062,79.837,76.398,74.906,77.422,67.875,73.432,74.62,72.32,72.365,69.451,68.874,71.893,68.455,73.221,73.19,78.233,80.651,76.38,72.998,73.615,69.744,75.173,78.321,79.77,78.874,82.063,85.661,84.928,86.309,83.829,82.865,80.39,80.006,83.987,85.336,90.982,94.09,93.774,96.463,98.201,97.489,97.437,96.85,97.134,100.324,101.81,104.24,97.301,99.731,101.401,103.843,103.172,99.836,97.839,97.477,99.244,100.232,99.911,92.08,102.341,96.507,98.63,99.002,96.629,97.821,94.483,96.149,94.247,94.974,98.183,96.305,96.674,98.226,94.196,94.947,97.809,99.011,100.651,102.529,101.595,99.026,101.983,103.384,99.246,101.218,104.737,106.698,112.08,112.255,112.339,112.922,110.327,110.725,108.442,110.709,116.316,113.442
"99","91","          Processed fruits and vegetables","DPFVRA3",61.036,60.612,61.259,63.513,66.701,69.879,70.428,70.459,69.35,68.824,68.882,69.467,71.322,72.905,74.453,75.079,73.418,71.401,71.048,70.478,71.358,72.842,75.482,77.295,79.838,82.907,84.192,85.925,85.819,86.038,85.831,84.786,83.35,82.894,83.168,84.679,84.073,87.978,91.67,94.035,95.687,96.365,97.426,99.594,101.155,100.198,101.224,103.418,104.137,106.345,105.449,106.417,105.464,108.087,109.013,110.714,111.298,111.681,116.076,109.877,104.574,99.897,103.621,106.939,109.814,114.066,118.357,112.572,112.717,116.881,121.963,126.658,131.407,133.42,134.195,135.543,132.395,133.535,132.85,132.033,133.276,133.619,131.346,133.02,131.952,130.997,130.696,131.309,131.555,129.718,128.403,129.594,129.393,130.11,129.861,130.995,128.72,129.815,129.591,128.542,128.886,128.889,127.587,126.103,123.637,121.306,119.334,120.824,122.481,122.297,122.092,122.958,119.686,118.005,116.522,115.725,115.164,114.146,112.503,109.508,108.861,107.742,107.358,108.74,108.133,106.384,105.974,104.965,106.622,107.612,106.442,103.686,101.869,100.773,100.809,101.787,102.288,103.29,103.272,102.517,101.661,102.545,103.141,104.551,103.789,103.157,102.712,103.263,102.824,102.066,100.544,100.92,100.785,100.145,101.041,100.777,98.089,96.993,96.125,96.279,96.693,96.441,96.445,96.994,95.498,96.28,95.97,95.784,94.459,94.248,92.665,90.719,88.634,87.301,86.782,87.482,90.541,91.018,93.219,93.962,94.923,95.996,96.915,98.88,99.993,100.341,101.446,102.72,102.996,104.709,105.922,107.419,108.358,108.814,108.814,109.978,109.297,107.969,105.36,100.698,99.765,99.036,99.935,101.264,102.08,101.468,101.535,104.026,104.456,105.304,104.385,102.021,102.4,102.36,103.887,104.318,105.471,104.868,105.522,107.117,106.772,107.23
"100","92","          Sugar and sweets","DSWERA3",71.413,71.25,71.944,73.349,74.588,77.813,77.416,78.804,79.758,78.924,77.973,77.221,77.499,77.537,77.773,77.321,76.741,71.61,70.24,71.358,71.356,74.8,78.778,79.856,80.097,81.025,82.055,85.965,88.393,89.16,89.977,88.823,89.899,90.33,90.616,91.252,92.181,92.969,92.128,91.314,91.726,91.599,91.683,91.626,88.55,83.979,85.742,91.826,99.742,108.805,112.297,113.384,109.571,108.29,106.6,106.459,103.931,102.766,110.868,116.5,120.951,114.103,108.372,91.315,80.817,88.268,92.168,92.079,95.661,98.415,102.154,107.697,108.69,107.282,108.309,109.906,104.358,102.05,101.3,102.437,103.309,103.46,104.459,108.465,107.467,101.497,96.898,92.894,92.372,96.769,97.183,95.726,91.765,89.099,87.837,89.753,91.056,94.84,97.447,98.657,98.27,97.226,96.657,96.822,97.154,97.394,96.796,97.661,97.061,94.907,93.713,93.757,91.252,90.019,89.561,90.132,92.217,94.427,95.512,96.096,96.812,97.535,97.982,99.227,100.793,101.63,102.482,101.423,102.316,103.32,102.726,101.151,101.459,101.045,101.556,102.863,102.77,103.684,104.117,104.769,105.206,106.622,107.888,108.669,109.178,108.651,107.632,107.853,107.347,107.915,107.475,108.24,108.336,106.83,107.301,107.362,106.328,106.541,106.705,107.173,108.942,108.804,109.355,110.513,108.899,111.305,111.167,112.101,111.862,112.821,112.4,112.084,111.083,109.837,109.339,110.086,108.33,108.964,111.23,112.941,111.411,110.448,112.529,114.211,115.193,112.866,111.607,114.928,114.445,113.275,111.968,112.32,112.771,112.222,111.894,112.531,110.329,109.987,109.371,103.226,99.3,99.818,100.961,99.922,100.508,100.649,101.471,101.841,102.19,103.062,101.264,102.88,103.464,102.081,101.238,103.883,106.83,107.263,109.691,109.978,107.037,111.258
"101","93","          Food products, not elsewhere classified","DOFDRA3",17.157,17.753,17.705,17.972,17.849,17.468,17.362,16.909,17.231,17.406,17.519,18.002,18.435,19.026,19.509,19.474,19.334,19.223,19.27,19.317,19.336,19.87,20.626,20.955,21.258,21.723,22.319,23.93,24.494,24.889,25.547,25.903,26.75,27.384,27.886,28.408,28.828,29.448,29.724,29.608,29.504,29.256,29.425,29.912,30.734,30.832,30.961,30.94,30.24,30.1,29.337,29.214,29.034,29.817,30.255,30.925,31.696,32.355,33.751,32.986,32.251,30.407,28.732,27.743,27.098,27.526,28.977,29.182,29.773,30.476,31.36,31.643,31.961,32.481,32.537,32.346,33.278,34.092,34.356,34.392,33.936,33.354,32.97,33.377,33.778,33.815,34.441,34.688,33.978,33.746,34.03,34.738,35.578,36.983,38.268,39.427,38.912,39.475,40.919,42.398,44.121,45.936,47.314,48.306,48.836,49.538,50.154,51.514,52.944,53.363,54.119,55.234,54.975,55,55.065,55.358,56.554,58.087,59.246,59.655,59.944,59.858,60.944,62.04,63.571,64.539,65.281,64.65,64.982,66.29,66.201,65.947,66.929,67.002,67.483,67.811,68.299,69.073,69.678,70.691,71.416,72.5,73.241,74.405,74.769,74.902,75.295,76.245,76.639,77.34,77.831,78.38,79.221,78.794,79.418,79.378,78.965,79.085,79.174,79.754,80.503,80.966,81.661,83.055,81.577,82.746,82.777,83.914,83.58,84.308,84.14,83.876,84.178,84.206,84.723,85.108,86.282,87.359,89.383,90.081,91.045,91.074,92.566,94.444,95.547,95.348,96.131,98.155,99.216,100.621,101.164,103.239,104.433,104.32,105.202,106.243,106.007,105.447,104.594,100.876,99.126,100.023,100.376,100.475,101.755,101.21,101.617,103.221,104.24,104.251,103.547,103.112,102.963,102.424,102.441,102.865,104.566,103.812,105.133,105.542,104.898,105.814
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRA3",39.445,40.442,41.452,41.824,41.815,42.842,43.357,44.436,45.686,46.645,46.916,46.891,46.793,46.162,45.98,45.544,45.726,45.623,45.687,45.796,45.221,43.869,44.838,45.364,46.103,48.123,49.374,52.068,53.471,54.061,55.123,56.142,57.904,59.535,60.256,61.009,61.097,61.333,61.758,62.002,63.683,64.724,65.036,63.936,61.202,57.522,55.223,54.647,54.136,55.164,56.044,58.325,61.128,65.874,67.412,66.85,64.771,61.973,61.856,61.116,61.331,58.873,57.863,57.721,57.629,61.659,65.368,61.674,62.143,61.172,57.93,55.268,51.27,44.393,43.915,46.326,47.057,47.208,47.695,48.51,49.653,50.329,49.717,50.138,50.777,50.426,50.487,51.047,51.093,51.396,52.131,53.645,54.251,55.64,57.206,58.609,58.688,60.087,61.011,61.037,61.931,62.963,63.368,63.942,64.545,65.044,66.183,68.394,68.166,68.362,69.415,70.598,69.25,69.592,69.377,69.572,71.811,72.87,74.699,75.303,76.105,75.736,76.273,77.197,78.707,79.942,79.418,79.294,80.111,81.409,82.056,81.001,80.426,80.158,80.556,82.359,81.096,81.361,81.834,81.683,83.133,84.081,81.201,80.613,79.712,79.208,78.906,79.463,80.791,81.423,82.217,83.668,84.212,82.555,82.279,82.261,82.422,83.49,84.569,84.97,85.835,85.819,86.419,87.598,85.324,86.709,86.62,87.851,87.485,88.493,88.136,88.293,88.425,88.43,88.653,88.749,90.526,91.014,94.589,95.338,95.816,96.71,97.174,99.426,100.647,100.51,101.449,102.941,103.896,104.743,105.775,106.066,105.772,105.292,105.376,106.147,105.068,106.177,105.563,101.371,100.14,99.751,99.656,100.453,101.658,101.459,101.613,103.631,103.478,103.349,102.931,102.863,103.943,104.453,104.417,103.206,103.545,102.049,102.974,103.505,104.115,105.564
"103","95","          Coffee, tea, and other beverage materials","DCTMRA3",42.837,43.92,45.017,45.421,45.411,46.526,47.085,48.257,49.614,50.656,50.951,50.924,50.817,50.132,49.934,49.461,49.658,49.546,49.616,49.734,49.11,47.642,48.693,49.265,50.067,52.261,53.62,56.545,58.069,58.71,59.863,60.97,62.884,64.655,65.437,66.256,66.351,66.607,67.069,67.334,69.159,70.29,70.629,69.434,66.465,62.469,59.972,59.346,58.791,59.908,60.864,63.341,66.384,71.539,73.209,72.598,70.341,67.303,67.175,66.371,66.605,63.935,62.838,62.685,62.585,66.962,70.989,66.977,67.485,66.431,62.912,60.024,55.684,48.214,47.691,50.301,51.691,55.497,60.019,64.107,68.756,72.246,66.482,64.624,65.564,67.78,70.395,76.833,83.064,86.605,89.94,93.558,91.839,93.718,97.311,100.542,100.111,103.084,106.155,107.412,106.983,107.295,107.072,107.34,108.145,108.805,111.201,115.482,97.752,91.38,97.064,101.511,105.129,111.136,112.826,113.123,112.234,111.02,109.897,108.626,105.778,102.307,102.614,107.198,108.4,107.234,103.487,102.478,101.839,101.775,101.555,99.558,95.983,94.433,96.038,100.433,105.444,103.182,104.211,106.535,106.691,107.118,77.717,72.501,74.669,77.438,78.426,81.58,84.517,86.982,89.309,91.629,91.381,80.836,76.01,78.981,79.664,80.117,81.681,82.969,84.331,84.77,85.201,86.102,83.771,84.889,85.376,86.505,86.319,87.579,87.138,87.059,86.84,86.53,86.219,86.71,88.205,88.54,90.99,91.067,91.951,92.987,93.256,94.191,93.591,92.377,93.005,94.13,95.002,96.409,97.427,97.712,97.452,96.877,97.152,98.318,98.928,99.694,100.074,99.153,99.337,100.688,99.894,100.082,100.424,99.334,98.491,99.289,99.045,96.062,94.598,94.48,95.771,96.894,98.382,99.906,101.609,102.749,104.569,106.04,107.589,106.844
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRA3",39.58,40.58,41.594,41.967,41.958,42.988,43.505,44.588,45.842,46.804,47.077,47.052,46.953,46.32,46.137,45.7,45.883,45.779,45.843,45.953,45.376,44.019,44.991,45.519,46.26,48.288,49.543,52.246,53.654,54.246,55.311,56.334,58.102,59.739,60.462,61.218,61.306,61.543,61.97,62.214,63.9,64.945,65.259,64.155,61.412,57.719,55.412,54.834,54.321,55.353,56.236,58.524,61.337,66.099,67.642,67.078,64.993,62.185,62.067,61.325,61.541,59.074,58.06,57.918,57.827,61.87,65.591,61.884,62.354,61.379,58.128,55.46,51.45,44.548,44.064,46.476,47.087,46.593,46.435,46.772,47.44,47.748,47.843,48.602,49.198,48.463,48.165,47.959,47.27,47.212,47.663,48.943,49.793,51.12,52.455,53.651,53.784,55.002,55.691,55.587,56.613,57.713,58.183,58.788,59.365,59.844,60.838,62.808,64.695,65.805,66.215,66.966,64.968,64.623,64.192,64.383,66.981,68.306,70.478,71.298,72.525,72.527,73.09,73.591,75.137,76.641,76.484,76.459,77.432,78.873,79.608,78.653,78.392,78.259,78.536,80.078,78.221,78.726,79.098,78.628,80.102,81.044,81.484,81.643,80.355,79.426,78.973,79.173,80.265,80.635,81.212,82.534,83.169,82.771,83.21,82.721,82.813,83.984,84.994,85.264,86.053,85.969,86.591,87.81,85.546,86.97,86.799,88.044,87.653,88.625,88.28,88.47,88.651,88.699,88.995,89.037,90.853,91.362,95.093,95.935,96.357,97.231,97.722,100.156,101.632,101.648,102.631,104.176,105.141,105.909,106.943,107.234,106.936,106.469,106.526,107.241,105.925,107.082,106.328,101.676,100.25,99.623,99.623,100.504,101.828,101.754,102.047,104.238,104.097,104.386,104.125,104.064,105.113,105.531,105.269,103.656,103.796,101.918,102.714,103.11,103.587,105.348
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",22.522,22.342,22.583,22.487,22.35,22.679,22.669,22.749,22.848,22.812,22.522,23.016,23.947,23.908,24.384,24.515,24.576,24.75,25.085,25.286,25.354,25.858,26.134,26.35,26.25,26.691,26.919,27.621,28.06,28.324,28.378,28.716,29.297,29.133,28.909,29.369,30.444,31.273,32.301,33.161,34.317,34.609,34.972,35.052,36.552,37.504,38.191,38.187,39.804,40.603,40.955,42.182,42.841,43.337,43.476,44.219,44.995,45.664,46.316,46.788,47.542,47.601,48.101,47.731,47.465,48.4,49.286,49.445,49.486,50.499,51.084,51.686,53.125,54.015,53.54,54.53,54.021,54.629,55.633,55.79,56.249,56.672,58.556,58.333,60.161,59.162,58.568,59.415,59.543,59.787,60.248,61.439,61.543,62.055,61.615,62.121,62.552,62.975,63.591,63.983,62.507,62.791,63.351,63.419,64.352,65.04,66.555,66.031,67.122,66.934,66.851,66.441,65.863,65.753,65.61,66.021,65.858,66.566,66.231,66.608,67.345,67.7,67.622,67.736,68.952,70.102,71.477,72.226,67.545,65.898,65.237,62.554,61.612,61.373,61.493,61.939,62.492,62.674,63.304,63.907,65.034,66.293,67.338,67.907,67.823,68.154,68.829,69.47,70.836,71.521,71.653,71.595,73.047,73.185,74.234,74.863,75.799,76.719,78.021,79.326,79.978,81.415,82.255,84.462,85.161,86.749,88.367,89.753,90.043,91.175,90.619,90.639,91.377,92.317,92.097,92.546,92.27,91.142,92.428,92.661,93.098,93.724,94.028,94.369,94.755,95.377,96.257,98.037,99.508,100.158,100.724,101.985,102.404,102.609,102.156,101.809,101.063,102.057,102.587,100.454,99.638,99.351,99.486,101.525,104.672,105.328,105.537,107.02,108.003,108.447,109.9,110.305,112.153,113.658,113.058,114.132,114.352,113.301,114.033,114.219,114.021,114.91
"106","98","        Spirits","DLIQRA3",28.609,28.337,28.375,27.867,27.232,27.161,26.789,26.682,26.823,26.841,26.433,26.787,27.086,26.568,27.474,28.679,30.428,32.096,33.454,33.96,33.194,32.997,33.173,33.866,34.774,36.466,37.549,38.882,39.507,39.74,39.335,39.24,39.598,39.038,38.78,39.947,42.305,44.246,46.4,47.994,50.032,50.57,50.869,50.308,51.958,52.581,52.646,52.317,53.985,54.895,55.895,58.962,61.571,64.17,65.601,67.075,67.821,68.32,68.723,68.987,70.337,71.115,72.744,73.076,73.814,75.639,76.638,76.633,76.327,77.809,78.573,79.593,81.339,82.24,81.47,83.182,77.983,75.758,75.097,73.391,73.486,73.169,74.929,73.048,74.079,71.077,67.532,66.176,65.287,63.63,61.638,60.293,58.157,56.805,54.786,54.667,56.393,57.985,59.062,59.927,56.779,56.723,57.496,57.661,59.227,59.835,61.977,56.965,57.746,57.568,57.564,57.116,57.251,57.535,57.853,58.784,58.816,60.762,60.101,60.998,61.972,63.09,63.167,63.164,65.335,66.785,68.199,70.271,68.142,65.914,65.959,63.115,63.961,64.737,65.524,66.681,64.381,63.037,62.521,62.193,62.806,63.516,63.759,63.016,61.681,61.019,61.267,61.623,63.174,62.768,62.451,60.66,61.167,61.599,61.984,62.257,63.974,64.857,66.438,67.531,67.479,68.695,68.844,70.12,70.596,71.993,73.571,74.308,74.531,74.283,74.107,75.244,75.755,75.598,75.083,75.224,76.175,76.976,79.541,80.65,81.557,83.039,83.666,84.69,85.384,86.764,88.258,90.479,92.687,94.053,95.498,97.346,99.187,100.815,101.274,100.754,100.115,101.026,102.077,101.087,100.098,99.196,99.605,101.1,104.15,105.152,105.321,107.328,108.036,108.244,109.689,110.441,113.166,115.338,114.585,116.631,117.107,116.791,118.06,117.829,117.972,118.929
"107","99","        Wine","DWINRA3",7.224,7.167,7.249,7.226,7.114,7.176,7.254,7.388,7.507,7.618,7.715,8.053,8.528,8.663,8.933,9.034,9,9.012,9.141,9.228,9.327,9.581,9.687,9.729,9.612,9.653,9.637,9.798,9.935,9.985,9.91,9.947,10.123,9.968,9.824,9.866,10.111,10.349,10.675,10.923,11.158,11.139,11.307,11.349,11.808,12.25,12.952,13.478,14.44,15.023,15.383,16.072,16.469,16.68,16.757,17.099,17.315,16.981,17.174,17.34,17.884,18.367,18.808,18.437,17.767,17.203,16.762,16.422,16.377,16.633,16.826,17.008,17.427,17.657,17.459,17.533,18.306,19.091,20.613,21.436,21.769,22.475,24.147,25.174,26.47,26.519,27.027,28.443,28.698,29.569,30.645,32.309,32.976,33.984,34.239,34.981,35.333,35.481,35.934,36.328,35.474,35.75,36.33,36.411,36.956,36.999,38.084,38.26,38.397,38.118,37.868,37.628,36.759,36.315,36.038,36.621,37.064,37.617,37.491,38.128,38.481,38.733,39.162,39.758,40.525,41.723,42.901,43.083,40.78,39.892,39.546,38.181,38.296,38.515,38.485,38.831,39.353,39.599,40.157,40.927,41.669,43.056,44.135,44.716,45.024,45.336,45.92,46.356,47.382,47.856,48.056,47.693,48.543,48.487,48.968,49.405,51.513,53.581,56.014,58.125,59.15,60.769,61.768,64.27,65.633,68.325,70.769,72.506,74.494,76.435,78.497,81.257,83.304,84.58,84.754,84.918,84.806,84.213,85.889,87.504,88.157,89.478,90.623,91.22,92.111,92.729,93.347,95.657,97.146,97.703,98.415,99.664,100.258,101.228,100.997,100.243,100.163,100.989,101.345,99.701,99.021,99.194,99.661,102.124,105.694,106.534,107.26,108.965,110.178,111.845,114.192,115.062,117.104,118.514,117.841,119.626,120.327,119.54,120.289,121.838,121.884,123.09
"108","100","        Beer","DMLTRA3",30.544,30.331,30.851,30.998,31.195,32.028,32.222,32.41,32.476,32.299,31.809,32.559,34.353,34.546,34.889,34.264,33.159,32.365,32.115,32.188,32.856,34.094,34.582,34.588,33.751,33.588,33.38,34.056,34.606,35.061,35.536,36.421,37.486,37.583,37.305,37.578,38.391,38.902,39.693,40.523,41.779,42.134,42.705,43.267,45.488,47.087,48.235,48.08,50.212,51.128,51.05,51.476,51.028,50.315,49.623,50.191,51.431,52.988,54.165,55.01,55.517,54.773,54.61,53.827,53.28,54.78,56.556,57.171,57.47,58.743,59.501,60.159,62.143,63.498,63,64.232,65.495,67.587,69.113,69.805,70.526,71.113,73.147,72.89,75.471,74.783,74.915,76.437,76.981,77.713,78.944,81.022,81.829,82.888,82.743,83.369,83.201,83.238,83.735,83.898,82.816,83.266,83.706,83.716,84.597,85.735,87.235,88.438,90.306,90.174,90.164,89.662,88.919,88.833,88.549,88.584,87.927,88.124,87.814,87.764,88.633,88.68,88.196,88.056,89.092,90.065,91.552,92.013,84.547,82.694,81.486,78.027,75.539,74.521,74.415,74.581,76.531,77.41,78.646,79.595,81.224,82.673,84.092,85.299,85.583,86.418,87.363,88.279,89.772,91.13,91.437,92.426,94.735,94.859,96.615,97.55,97.288,97.437,97.813,98.663,99.41,100.821,101.891,104.347,104.707,105.646,106.723,108.193,107.398,108.697,106.269,103.969,103.991,105.274,104.958,105.737,104.734,102.3,102.693,101.637,101.714,101.499,101.141,100.994,100.921,101.172,101.907,103.147,104.245,104.597,104.641,105.624,105.24,104.292,103.271,103.251,102.051,103.186,103.573,100.606,99.79,99.517,99.326,101.367,104.31,104.699,104.628,105.743,106.719,106.573,107.526,107.515,108.863,110.124,109.633,109.882,109.722,108.203,108.688,108.314,107.835,108.522
