"","Table 6#18B# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"31","24","      Miscellaneous manufacturing industries","B3124C0",145,110,199,219,173,165,153,195,201,183,166,202,165,186,205,202,193,210,227,225,283,300,193,281,338,397,339,449,542,578,606,692,623,740,537,434,859,659,681,798
"32","25","    Nondurable goods","A3125C0",3453,2570,4531,5999,4568,4815,4092,5097,5230,4665,4240,5523,5158,5235,5178,5703,5968,6621,7536,7093,8675,8544,7915,8202,8858,11158,13541,13708,17155,17632,18578,22029,25471,22649,18638,21901,22382,20967,19756,26837
"33","26","      Food and kindred products","B3126C0",668,631,849,899,887,942,890,1019,994,979,1058,1208,1176,1214,1167,1299,1307,1366,1582,1474,1763,1822,1843,1825,1745,2191,2626,3286,3357,3477,3499,3355,4095,3609,3417,3488,3495,4742,3982,5736
"34","27","      Tobacco manufactures","B3127C0",96,103,137,173,168,204,174,207,219,235,276,304,313,345,338,354,327,320,334,358,420,437,478,504,484,446,435,592,730,827,925,1001,932,999,1122,1311,2035,1286,1109,653
"35","28","      Textile mill products","B3128C0",592,277,546,539,305,307,223,320,314,258,221,359,337,300,336,353,418,497,477,419,584,541,465,459,506,611,530,402,594,694,805,775,622,587,434,771,633,644,943,814
"36","29","      Apparel and other textile products","B3129C0",125,83,136,105,100,100,96,122,120,105,111,143,143,170,189,201,230,263,299,342,430,398,364,397,425,512,434,530,645,809,695,710,826,871,803,1099,802,895,839,579
"37","30","      Paper and allied products","B3130C0",308,221,462,824,549,532,479,584,680,533,469,574,508,491,469,440,452,506,600,481,594,627,488,448,620,995,1373,918,1192,1129,1304,1574,1176,1131,845,1151,1501,1189,1325,2341
"38","31","      Printing and publishing","B3131C0",228,202,260,334,334,349,323,412,441,434,383,473,468,463,483,535,631,715,804,762,932,1008,832,932,1040,1162,1162,1297,1666,2035,2298,2191,2071,2068,2003,2617,3178,3244,4180,3789
"39","32","      Chemicals and allied products","B3132C0",619,618,1279,1749,1297,1338,1158,1499,1488,1485,1272,1771,1613,1655,1660,1843,1962,2128,2267,2052,2661,2549,2230,2266,2586,3169,3743,3415,4070,4117,4221,4114,3675,3831,3106,4011,4069,3830,4813,7674
"40","33","      Petroleum and coal products","B3133C0",657,326,574,958,625,742,517,606,652,340,165,329,304,269,218,347,296,457,734,760,689,608,844,850,881,1474,2749,2718,4166,3657,3869,7395,11242,8493,6041,6434,5631,4176,1511,3919
"41","34","      Rubber and miscellaneous plastics products","B3134C0",100,67,216,345,236,236,167,248,246,224,220,282,226,257,243,250,261,273,331,328,452,426,248,397,455,485,383,393,514,678,683,632,473,693,533,748,835,802,879,1149
"42","35","      Leather and leather products","B3135C0",60,42,72,73,67,65,65,80,76,72,65,80,70,71,75,81,84,96,108,117,150,128,123,124,116,113,106,157,221,209,279,282,359,367,334,271,203,159,175,183
"43","36","  Transportation and public utilities","A3136C0",1306,1157,1866,2482,2644,2703,2492,3028,3185,3122,3151,3741,3896,4197,4226,4596,4715,4834,5251,4907,5487,5479,4538,4112,3974,4069,4013,3343,4558,5341,6298,5754,6263,6279,5200,7711,11199,11102,13751,19423
"44","37","    Transportation","A3137C0",680,461,901,1040,1007,911,596,840,839,714,556,710,584,647,550,683,704,850,928,624,627,597,427,620,853,875,1079,904,1153,1137,1391,1637,1695,1596,1037,1742,1999,1793,1581,3035
"45","38","      Railroad transportation","B3138C0",465,267,570,597,615,543,266,446,440,361,269,313,226,276,179,249,200,209,249,82,92,122,41,59,114,129,210,106,166,26,178,358,399,105,2,132,295,241,11,855
"46","39","      Local and interurban passenger transit","B3139C0",37,25,32,46,48,43,28,34,37,34,37,53,48,48,48,44,46,61,49,48,45,35,20,31,42,14,19,16,18,9,25,47,51,42,35,44,75,46,59,55
"47","40","      Trucking and warehousing","B3140C0",63,59,104,100,94,100,91,116,104,107,97,141,110,132,137,134,149,203,200,170,265,261,239,368,462,442,416,405,500,512,578,505,562,781,513,887,625,755,1008,610
"48","41","      Water transportation","B3141C0",64,58,75,129,88,72,54,76,91,93,49,60,64,59,52,71,82,73,94,80,102,72,61,45,53,74,183,137,97,122,112,165,211,151,-15,31,65,7,1,113
"49","42","      Transportation by air","B3142C0",4,9,39,66,58,59,69,75,62,19,18,32,19,5,24,61,112,195,220,143,35,5,-41,14,65,72,85,15,83,127,156,84,51,29,-124,-40,349,161,47,845
"50","43","      Pipelines, except natural gas","B3143C0",26,25,57,71,71,63,56,54,65,61,64,80,80,81,70,91,82,72,67,58,46,56,68,60,81,93,121,174,207,237,220,360,310,369,573,603,483,480,365,369
"51","44","      Transportation services","B3144C0",21,18,24,31,33,31,32,39,40,39,22,31,37,46,40,33,33,37,49,43,42,46,39,43,36,51,45,51,82,104,122,118,111,119,53,85,107,103,90,188
"52","45","    Communication","A3145C0",185,196,320,532,589,678,706,899,975,1071,1227,1456,1586,1672,1774,1937,1931,1950,2187,2208,2657,2721,2256,1791,1478,1635,1486,794,1518,1775,2494,1849,1922,1891,1516,1930,3638,3948,6032,7721
"53","46","      Telephone and telegraph","B3146C0",168,181,297,488,543,623,645,814,886,974,1129,1340,1455,1552,1610,1744,1782,1789,2012,2075,2473,2518,2098,1635,1240,1369,1204,507,1016,1156,1779,1166,1280,1358,980,1327,2763,3416,5520,7022
"54","47","      Radio and television","B3147C0",17,15,23,44,46,55,61,85,89,97,98,116,131,120,164,193,149,161,175,133,184,203,158,156,238,266,282,287,502,619,715,683,642,533,536,603,875,532,512,699
"55","48","    Electric, gas, and sanitary services","B3148C0",441,500,645,910,1048,1114,1190,1289,1371,1337,1368,1575,1726,1878,1902,1976,2080,2034,2136,2075,2203,2161,1855,1701,1643,1559,1448,1645,1887,2429,2413,2268,2646,2792,2647,4039,5562,5361,6138,8667
"56","49","  Wholesale trade","B3149C0",943,624,1256,1475,985,916,817,1119,1235,1170,1000,1258,1090,1140,1212,1219,1323,1539,1622,1610,2081,2265,2148,2343,2753,4065,5338,4260,4399,4870,5602,6806,6949,6605,5035,5921,7438,8806,8843,7795
"57","50","  Retail trade","B3150C0",1259,903,1447,1343,1242,1169,1137,1379,1384,1330,1236,1494,1295,1196,1347,1449,1607,1721,1800,2124,2631,2798,2576,3025,3246,3570,3101,4119,4669,5278,6162,5992,5340,5287,5203,7244,8059,8237,9898,9850
"58","51","  Finance, insurance, and real estate","A3151C0",970,1158,1455,1775,2030,2250,2463,2322,2441,2782,3290,3455,4047,3900,3952,4083,4670,4376,4810,5541,6674,7262,8014,8855,9280,10289,10436,10303,12591,14937,18557,20619,19957,19318,18193,20116,23074,29784,35205,37475
"59","52","    Banking","B3152C0",452,521,637,848,1009,1121,1211,1009,1206,1582,1809,1760,2342,2055,2041,2064,2683,2269,2579,2982,3520,4281,5121,4735,4425,5608,6648,6337,6987,7384,9154,11651,13519,15573,15871,16123,18336,21335,21918,24322
"60","53","      Federal Reserve banks","B3153C0",167,193,197,255,292,343,276,252,402,543,524,911,897,687,799,880,1582,1297,1649,1907,2464,3019,3494,3357,3231,4341,5550,5382,5870,5937,7006,9279,11706,14024,15205,14229,16054,17796,17804,17739
"61","54","      Commercial and mutual banks","B3154C0",285,328,440,593,717,778,935,757,804,1039,1285,849,1445,1368,1242,1184,1101,972,930,1075,1056,1262,1627,1378,1194,1267,1098,955,1117,1447,2148,2372,1813,1549,666,1894,2282,3539,4114,6583
"62","55","    Credit agencies other than banks","B3155C0",75,90,167,215,237,256,267,294,318,332,336,348,377,403,423,503,452,456,413,385,483,489,462,716,898,1015,814,835,1303,1765,2221,1711,88,-820,-1556,63,154,1335,2372,3404
"63","56","    Security and commodity brokers","B3156C0",6,7,12,10,16,14,24,27,21,26,38,62,59,101,57,72,80,113,149,243,417,157,125,334,262,92,116,323,389,203,283,334,845,544,806,809,399,845,1712,1023
"64","57","    Insurance carriers","B3157C0",116,255,235,254,332,412,474,487,392,386,599,741,723,773,824,819,816,856,1032,1199,1379,1417,1493,2036,2536,2444,2059,1994,2597,3815,4791,4761,3439,2124,1961,1076,1741,3244,5212,5185
"65","58","    Insurance agents, brokers, and service","B3158C0",23,18,22,28,28,30,32,29,38,39,39,52,51,54,55,55,69,59,78,72,111,93,141,158,159,163,159,162,263,365,415,409,420,302,232,209,242,510,758,778
"66","59","    Real estate","B3159C0",230,217,294,320,308,332,367,396,367,340,390,410,407,429,448,466,403,448,421,470,580,629,543,685,734,725,500,565,798,1074,1255,1222,970,973,457,1189,1483,1461,1768,1264
"67","60","    Holding and other investment offices","B3160C0",68,50,88,100,100,85,88,80,99,77,79,82,88,85,104,104,167,175,138,190,184,196,129,191,266,242,140,87,254,331,438,531,676,622,422,647,719,1054,1465,1499
"68","61","  Services","A3161C0",252,219,248,330,319,318,329,367,418,438,398,488,480,506,496,555,569,657,750,824,973,1033,1003,1013,1149,1276,1251,1438,1732,2109,2619,2948,3025,3332,2461,3366,3649,3929,4249,5292
"69","62","    Hotels and other lodging places","B3162C0",46,38,44,52,50,46,46,46,51,49,35,46,37,34,30,26,20,39,54,73,119,121,103,80,122,96,46,79,96,182,315,410,345,360,224,322,226,246,277,262
"70","63","    Personal services","B3163C0",24,23,24,31,30,32,32,37,42,47,47,51,50,46,49,53,63,63,67,81,96,88,91,88,102,115,129,113,121,132,156,179,180,203,163,200,228,223,233,264
"71","64","    Business services","B3164C0",52,52,68,100,94,101,98,122,141,167,162,191,194,199,218,224,224,265,313,322,368,414,381,367,371,470,408,496,553,742,868,972,903,1038,812,990,1408,1448,1676,1825
"72","65","    Auto repair, services, and parking","B3165C0",10,7,10,14,15,15,12,17,20,17,23,36,30,32,31,40,40,38,43,42,56,62,53,77,66,72,83,71,114,131,126,112,86,84,52,97,105,107,134,205
"73","66","    Miscellaneous repair services","B3166C0",5,4,6,9,7,8,5,10,16,18,6,6,6,8,9,8,13,15,15,13,18,18,17,15,23,21,36,43,51,46,52,59,88,100,53,57,81,79,102,79
"74","67","    Motion pictures","B3167C0",71,59,52,59,51,45,65,63,59,39,34,45,49,71,53,53,66,67,87,67,83,57,85,45,52,51,72,101,105,148,177,176,136,138,115,140,76,81,139,168
"75","68","    Amusement and recreation services","B3168C0",27,23,25,35,38,37,39,38,43,50,47,58,55,61,58,64,69,68,78,81,96,116,105,114,118,142,149,180,209,232,263,314,347,314,200,170,113,174,224,274
"76","69","    Other services","A3169C0",17,13,19,30,34,34,32,34,46,51,44,55,59,55,48,87,74,102,93,145,137,157,168,227,295,309,328,355,483,496,662,726,940,1095,842,1390,1412,1571,1464,2215
"77","70","      Health services","B3170C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,21,19,44,61,73,91,123,135,164,179,206,259,276,343,389,506,623,542,919,936,1075,923,1454
"78","71","      Legal services","B3171C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,6,0,0,0,2,8,9,9,11,10,15,15,17,27,40,38,49,61,129,97,127,155,231
"79","72","      Educational services","B3172C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,9,8,14,8,0,4,8,20,6,22,20,16,41,38,48,43,22,45,56,55,39,67
"80","73","      Other \2\","B3173C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,42,68,65,93,62,74,69,91,143,114,133,112,189,187,251,259,348,380,217,297,323,314,347,463
"81","74","Rest of the world","B3174C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Consists of taxes on corporate income paid to Federal, state, and local government and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","taxes paid by domestic corporations to foreign governments on income earned abroad.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
