"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"67","59","W245RX B     Used \1\","W245RX0",422,368,275,125,-109,-189,-203,-190,12,175,350,503,534,725,828,1053,1154,1180,1019,894,177,32,77,331,1576,1767,1748,1496,-3123,-2039,-750,3392,4112,6845,-4612,-7685,2090,-4111,53,5238,1385,4198,3886,-1748,8326,3721,-148,956,1367,-478,-953,1650,-801,-2088,3224,-133,542,7112
"68",NA,"       B Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","AB75RX B   Final sales of motor vehicles to domestic purchasers","AB75RX0",307605,291188,291393,274452,258615,251941,265174,258163,269991,275734,276993,291202,283329,306432,301415,318666,333021,327570,332515,345989,331237,327885,335365,343038,342992,347544,351682,357005,371328,359286,379201,387133,374804,405593,404964,451353,430175,455276,466050,453438,483785,448430,449091,443266,455523,447102,442121,500079,460764,464828,497830,480241,468847,494997,515547,515451,506478,499522
"70","62","AB76RX B   Private fixed investment in new autos and new light trucks","AB76RX0",73555,73610,78518,76895,75643,78331,82758,78817,78193,82820,80356,86162,82805,95332,88438,97071,107959,106274,109411,117526,111578,108147,114146,115609,120284,127174,134424,135241,140648,138525,143419,146789,143252,155834,139558,159550,159792,160732,170226,168888,174418,162575,161298,151536,158477,153462,146204,144639,140055,147250,152681,151273,139855,139313,149013,155433,149512,149872
"71","63","B148RX B   Domestic output of new autos \2\","B148RX0",99406,107963,111324,94134,92100,92589,102539,96844,93240,101809,102645,104796,104239,106310,96625,112185,123368,116119,115680,121101,122852,110033,107379,110250,100607,118034,116944,102749,107197,108557,110564,108928,105807,99625,109694,114293,109805,108774,109896,111214,116359,112869,110116,102664,99145,102644,101077,101484,112165,112066,110490,103788,98177,100216,105544,101031,100190,95026
"72","64","B149RX B   Sales of imported new autos \3\","B149RX0",64692,62461,61868,59762,50270,54897,56269,51843,54736,56336,53955,56264,53324,58774,60422,57406,55145,59142,58922,59257,55128,55095,55588,58311,54541,53743,54945,54785,58789,55604,60757,61920,62998,68550,64453,71998,72590,77098,78539,84895,86272,84013,82511,82660,80768,82865,80026,87666,82287,83514,87757,85983,82103,80426,82779,81178,81983,84279
"73","65","GAP90  D     Imports from Canada","GAP900",13599,13961,15143,12424,11206,14843,16158,13098,11715,13906,13908,15232,16227,15866,19349,15669,14026,16554,15151,17548,18252,15547,17339,18064,14789,17539,18260,15542,18388,17972,19139,17073,20932,19714,22238,24463,23637,21137,22415,22827,22453,19794,17640,16941,14116,14945,13944,13538,13206,14924,17230,14941,13491,14631,16623,15174,15618,14799
"74","66","GAP109 D       Sales","GAP1090",15282,13753,14884,13384,12100,15003,15571,13221,12452,13402,13440,15124,15170,16051,19576,15839,13643,16299,15009,17150,16083,15259,17911,18268,16692,16957,17623,16914,18968,17338,18886,17194,20298,21760,20218,23960,22857,21685,22923,22556,22839,19422,17373,16845,15752,15389,13973,15053,11792,13891,16851,14549,13671,14466,16086,15547,15770,15497
"75","67","GAP111 D       Inventory change","GAP1110",-1683,208,259,-960,-893,-160,587,-123,-737,504,468,108,1057,-185,-227,-171,383,255,142,398,2169,287,-572,-204,-1903,582,637,-1372,-580,634,252,-121,634,-2046,2021,503,780,-547,-508,271,-385,372,267,96,-1637,-444,-29,-1514,1415,1034,379,392,-180,165,537,-373,-152,-699
"76","68","GAP127 D     Imports from Mexico","GAP1270",1089,1873,2722,3071,2316,2333,2824,2897,2452,3232,3586,2402,1792,3204,2596,3633,2869,3658,3919,4989,3876,3757,3772,6277,6046,5448,3709,3260,3304,4557,4425,4485,4031,5685,5282,6240,6542,6629,5984,7078,7917,9542,10227,9831,9151,8629,9548,9015,9339,9366,8521,7455,5955,7280,6740,5672,5940,6246
"77","69","GAP130 D       Sales","GAP1300",1223,1845,2676,3309,2501,2359,2722,2924,2606,3115,3466,2385,1675,3241,2627,3672,2791,3602,3883,4876,3416,3688,3897,6348,6824,5268,3579,3548,3408,4396,4366,4517,3908,6275,4802,6112,6326,6801,6120,6994,8053,9363,10072,9775,10212,8885,9568,10024,8338,8717,8334,7259,6034,7198,6522,5811,5998,6541
"78","70","GAP132 D       Inventory change","GAP1320",-135,28,47,-237,-185,-25,103,-27,-154,117,121,17,117,-37,-30,-40,78,56,37,113,461,69,-124,-71,-778,181,129,-288,-104,161,58,-32,122,-590,480,128,216,-172,-136,84,-136,180,155,56,-1061,-256,-20,-1008,1000,649,187,196,-79,82,218,-139,-58,-295
"79","71","GAP99  D   Exports of used autos","GAP990",1263,1235,1056,1163,1210,1510,1766,1448,2034,1787,2193,1879,2057,1811,1553,1359,1067,1081,1495,1493,1501,1412,1651,1651,1713,1601,1827,1567,1528,1677,1528,1569,1490,1385,1173,1141,1042,1092,871,857,803,773,740,736,667,732,806,761,730,815,855,828,806,1030,1128,1470,1678,2054
"80","72","GAP102 D   Imports of used autos","GAP1020",164,229,315,344,117,77,78,64,54,52,53,63,86,92,85,84,99,106,107,106,109,109,102,91,80,84,84,71,140,125,118,98,308,359,390,401,525,608,720,857,939,973,1063,1064,998,966,963,974,1022,1163,1135,1162,703,666,642,446,336,493
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","B=Annual and quarterly data published in the Survey of Current Business monthly (NIPA table 7.2.6B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","  Chain-type quantity indexes for the series in this table are shown in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
