"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"20","12","  Consumer goods, except automotive","B642RA3",5.251,4.88,4.937,5.053,5.134,5.58,5.715,5.429,5.316,6.286
"21","13","    Durable goods","B690RA3",5.188,4.79,4.747,4.923,4.954,5.637,5.852,5.29,5.726,6.647
"22","14","    Nondurable goods","B691RA3",5.218,4.872,5.003,5.07,5.186,5.449,5.529,5.452,4.927,5.928
"23","15","  Other","B643RA3",20.878,20.927,20.514,20.969,21.319,21.263,21.486,24.254,25.204,24.468
"24","16","Exports of services \1\","B646RA3",11.056,10.732,10.189,10.818,10.996,11.384,11.727,11.974,11.006,12.289
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",100.682,92.133,73.796,90.983,94.774,103.969,109.17,115.692,92.826,107.561
"26","18","  Travel","B493RA3",11.67,11.053,11.57,11.856,11.89,11.631,12.017,12.153,13.098,13.192
"27","19","  Passenger fares","B533RA3",6.407,6.308,7.149,7.077,7.325,7.568,7.351,7.496,7.776,8.014
"28","20","  Other transportation","B683RA3",28.075,27.974,27.188,27.228,27.336,28.196,28.9,28.737,24.7,32.828
"29","21","  Royalties and license fees","B684RA3",10.663,10.759,10.446,10.329,10.317,10.611,11.049,11.045,10.864,11.378
"30","22","  Other private services","B720RA3",1.215,1.297,1.424,1.466,1.428,1.4,1.383,1.385,1.432,1.501
"31","23","  Other","B980RA3",23.037,23.13,23.403,23.52,24.487,24.401,24.537,24.732,24.578,24.647
"32","24","    Imports of goods and services","B021RA3",10.017,9.938,10.068,10.599,11.224,11.395,12.08,11.978,10.848,12.989
"33","25","Imports of goods \1\","B255RA3",8.514,8.267,8.334,9.109,9.839,10.08,10.777,10.599,9.236,11.696
"34","26","  Foods, feeds, and beverages","B647RA3",27.556,25.444,26.875,27.749,28.448,29.525,34.579,29.567,22.854,31.153
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",28.1,26.713,25.905,29.751,33.298,33.222,32.439,32.533,26.578,34.584
"36","28","    Durable goods","B820RA3",37.114,35.904,34.646,40.916,48.218,47.415,45.573,44.979,36.005,48.123
"37","29","    Nondurable goods","B696RA3",20.221,18.73,18.3,20.122,20.599,21.102,21.179,21.817,18.414,22.947
"38","30","  Petroleum and products","B648RA3",19.365,19.723,16.2,19.082,20.418,20.331,22.708,22.186,22.157,24.197
"39","31","  Capital goods, except automotive","B650RA3",0.64,0.619,0.637,0.637,0.682,0.689,0.747,0.783,0.692,0.898
"40","32","    Civilian aircraft, engines, and parts","B932RA3",3.576,2.665,3.14,3.411,4.344,4.495,3.704,5.368,4.292,3.878
"41","33","    Computers, peripherals, and parts","B852RA3",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"42","34","    Other","B853RA3",1.473,1.444,1.478,1.47,1.549,1.563,1.721,1.766,1.577,2.079
