"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","    Civilian aircraft, engines, and parts","B688RA3",12.084,13.844,16.632,14.278,18.908,24.844,22.026,19.664,15.425,37.52,49.361,58.641,52.907,35.05,36.869,32.718,42.529,47.79,51.732,64.969,78.868,89.443,93.881,93.785,79.326,73.952,59.373,67.288,87.389,111.711,108.013,93.468,96.746,90.232,80.866,77.029,89.474,99.195,107.446,103.882,100,93.73,100.841,115.415
"16","9","    Computers, peripherals, and parts","B850RA3",0.019,0.034,0.04,0.049,0.07,0.114,0.126,0.168,0.246,0.382,0.59,1.003,1.243,1.386,2.022,3.228,4.001,4.98,7.013,9.566,10.54,12.739,14.901,17.996,21.047,26.19,34.995,45.968,60.329,62.928,71.661,89.579,79.202,68.442,72.587,78.966,91.04,99.611,103.129,108.486,100,119.254,139.057,140.637
"17","10","    Other","B689RA3",6.958,7.457,7.533,8.427,10.532,12.746,13.061,12.718,12.333,12.325,14.055,15.497,15.484,13.997,12.244,12.971,13.277,13.817,15.272,19.042,22.128,25.455,27.763,30.609,34.189,40.832,50.984,57.545,68.644,68.244,72.425,87.073,76.449,70.235,73.705,85.81,91.541,103.078,112.154,121.481,100,118.362,128.703,134.999
"18","11","  Automotive vehicles, engines, and parts","B641RA3",24.497,23.931,27.127,30.443,35.746,39.869,41.979,43.89,44.213,45.39,45.676,38.467,38.026,31.161,32.239,38.041,41.4,40.714,43.886,52.088,53.546,53.621,57.506,66.291,72.273,79.89,84.204,87.313,98.832,97.487,100.558,106.202,99.252,103.342,104.814,115.175,125.488,135.119,151.022,149.671,100,136.423,159.122,171.984
"19","12","  Consumer goods, except automotive","B642RA3",5.853,6.204,6.223,7.276,8.87,11.037,10.17,11.469,12.408,14.326,15.061,18.253,17.496,15.749,14.404,14.33,13.908,15.383,18.095,23.117,29.638,34.773,36.03,38.81,40.773,44.549,47.222,50.362,55.55,57.232,58.537,64.381,63.856,61.307,64.971,73.909,81.627,90.252,99.962,108.148,100,109.369,114.264,116.955
"20","13","    Durable goods","B690RA3",6.347,6.147,5.895,7.558,9.233,12.027,10.461,12.237,12.732,15.708,15.861,18.992,16.573,13.96,11.925,11.964,11.507,13.07,15.951,21.648,30.481,35.662,35.903,38.492,41.034,43.967,46.749,49.759,55.658,57.557,59.374,65.882,65.344,62.065,64.815,75.603,86.186,97.782,112.598,121.077,100,117.661,128.863,129.252
"21","14","    Nondurable goods","B691RA3",5.405,6.154,6.385,6.911,8.409,9.979,9.729,10.599,11.886,12.866,14.131,17.364,18.489,17.757,17.246,17.04,16.657,18.034,20.557,24.832,28.773,33.868,36.26,39.256,40.606,45.287,47.851,51.138,55.593,57.05,57.825,62.992,62.479,60.696,65.342,72.36,77.106,82.662,87.153,95.041,100,101.119,99.881,104.809
"22","15","  Other","B643RA3",25.06,28.807,29.763,33.199,34.071,33.368,33.026,31.142,36.398,29.299,29.092,32.035,38.155,32.396,37.345,47.04,55.041,54.059,66.892,72.33,73.59,65.313,68.129,66.522,64.83,66.529,68.083,72.316,79.683,87.448,117.838,113.242,108.988,114.902,103.967,103.062,113.36,118.818,117.198,106.214,100,99.253,98.889,104.342
"23","16","Exports of services \1\","B646RA3",11.949,13.013,14.016,13.928,14.913,16.076,17.064,17.569,18.702,20.266,20.89,22.194,24.557,23.876,23.479,25.573,26.178,29.973,33.104,36.311,40.166,44.143,46.762,49.368,50.995,54.423,58.123,61.951,65.616,67.329,68.271,70.921,67.867,69.444,70.144,78.27,80.594,86.84,97.517,102.191,100,105.586,112.939,116.297
"24","17","  Transfers under U.S. military agency sales contracts","B267RA3",103.946,110.575,132.225,107.909,95.058,87.48,99.156,85.69,104.716,107.283,85.867,102.117,111.693,121.59,117.952,91.509,81.346,85.003,116.282,99.48,90.373,101.302,106.006,115.735,119.867,110.82,123.15,138.654,145.457,154.132,41.96,47.662,39.748,35.476,43.832,63.793,82.201,106.123,112.518,92.177,100,88.446,115.016,112.137
"25","18","  Travel","B493RA3",13.018,14.039,14.656,15.741,18.086,19.679,21.278,24.24,24.293,26.097,27.976,31.249,34.495,30.751,25.967,38.726,38.342,42.779,47.209,56.952,68.07,76.783,81.354,90.252,94.67,95.136,102.001,109.699,112.836,108.365,111.211,117.139,102.103,95.451,90.494,101.249,94.472,94.863,103.521,112.371,100,106.602,113.274,120.322
"26","19","  Passenger fares","B533RA3",8.033,9.663,9.983,10.773,14.87,14.8,12.511,13.932,15.137,17.763,24.416,26.101,28.517,27.785,31.602,36.507,41.123,50.148,59.074,71.29,82.683,110.975,104.452,106.437,103.936,104.324,109.945,118.696,127.374,124.814,111.882,113.259,95.556,87.987,72.887,78.537,83.715,87.495,93.29,103.844,100,102.314,109.359,112.85
"27","20","  Other transportation","B683RA3",30.476,34.561,33.996,38.244,45.17,47.256,46.645,50.374,50.921,54.068,60.946,60.558,60.875,58.446,56.355,68.104,69.419,68.084,76.007,86.547,87.637,87.878,88.428,83.735,84.149,91.451,98.638,95.966,99.13,97.339,90.087,88.75,85.963,90.799,90.633,95.068,97.089,104.565,115.445,115.5,100,108.518,107.746,107.028
"28","21","  Royalties and license fees","B684RA3",11.096,12.173,12.565,13.12,14.368,15.93,16.405,15.598,16.354,18.104,17.413,18.007,16.962,12.081,11.938,12.233,12.757,15.062,18.227,20.947,22.831,26.261,27.108,30.826,31.309,37.707,41.731,43.772,44.012,46.803,61.767,65.388,61.197,65.601,67.654,77.529,82.971,90.053,102.373,103.57,100,107.596,117.841,119.175
"29","22","  Other private services","B720RA3",1.536,1.647,1.908,2.128,2.323,3.79,4.398,5.088,5.243,6.209,6.919,7.395,10.573,12.75,12.6,12.775,12.751,18.059,18.101,18.949,21.898,23.019,26.198,26.659,27.791,31.17,32.644,36.078,40.791,44.655,47.999,49.819,53.177,57.291,60.65,67.584,70.91,78.624,90.987,96.929,100,105.538,112.091,116.103
"30","23","  Other","B980RA3",24.894,26.285,26.769,28.777,33.625,36.319,39.095,40.579,43.187,45.969,49.195,47.184,50.334,39.227,50.432,51.288,66.637,61.702,62.755,64.621,65.024,64.819,72.046,79.97,87.051,94.125,96.038,91.668,90.729,88.597,86.439,85.128,79.379,79.143,79.534,80.555,81.638,81.137,79.923,83.925,100,101.691,109.825,107.04
"31","24","    Imports of goods and services","B021RA3",12.334,12.86,13.547,15.071,15.77,15.413,13.7,16.379,18.17,19.744,20.072,18.739,19.231,18.989,21.385,26.591,28.316,30.736,32.555,33.834,35.324,36.588,36.534,39.095,42.476,47.543,51.347,55.813,63.33,70.732,78.765,88.819,86.268,89.219,93.056,103.297,109.591,116.326,118.97,115.825,100,112.759,118.239,120.86
"32","25","Imports of goods \1\","B255RA3",10.889,11.315,12.264,13.933,14.916,14.502,12.674,15.54,17.433,18.997,19.323,17.888,18.257,17.798,20.216,25.107,26.677,29.412,30.775,32.022,33.401,34.373,34.529,37.784,41.565,47.116,51.36,56.174,64.27,71.885,81.021,91.626,88.659,91.97,96.469,107.185,114.322,121.098,123.319,118.76,100,115.162,121.176,123.75
"33","26","  Foods, feeds, and beverages","B647RA3",28.932,30.902,31.901,33.96,34.825,32.22,28.498,32.435,32.111,36.053,37.006,32.209,33.512,34.162,37.077,41.999,43.818,44.853,45.973,44.149,45.143,46.871,44.749,47.242,47.8,48.894,50.124,55.132,60.714,65.161,71.986,76.685,80.129,84.404,90.901,96.411,99.767,105.934,107.242,106.024,100,102.283,104.317,108.148
"34","27","  Industrial supplies and materials, except petroleum and products","B649RA3",31.107,31.431,34.26,37.594,37.835,36.861,31.047,37.811,40.683,44.55,42.799,37.349,40.546,36.756,43.653,54.136,54.442,57.335,56.77,57.389,56.088,56.97,55.914,61.461,66.687,76.605,80.212,84.776,91.771,101.918,107.926,114.963,110.834,114.207,115.872,133.781,142.443,148.627,142.84,132.283,100,114.567,122.107,125.402
"35","28","    Durable goods","B820RA3",42.433,42.709,46.755,51.754,52.897,51.3,40.793,47.686,53.454,59.055,55.888,45.928,48.541,39.646,49.409,62.315,61.109,65.022,61.146,60.102,57.601,57.64,54.966,60.364,66.306,79.484,82.371,88.217,94.992,109.645,115.33,123.007,115.753,121.902,123.011,147.632,157.83,172.802,156.288,143.052,100,114.905,125.065,132.413
"36","29","    Nondurable goods","B696RA3",21.319,21.673,23.462,25.387,24.894,24.446,22.567,29.11,29.578,31.964,31.4,29.742,33.373,33.847,38.287,46.624,48.182,50.167,52.573,54.767,54.64,56.336,56.79,62.475,67.022,73.811,78.103,81.451,88.657,94.375,100.714,107.119,105.825,106.671,108.812,120.684,127.929,126.266,130.633,122.539,100,114.243,119.164,118.462
"37","30","  Petroleum and products","B648RA3",23.887,25.804,29.51,36.038,51.196,49.286,48.472,58.447,70.318,66.48,67.246,54.308,47.585,40.928,40.504,42.784,40.175,49.67,51.879,57.383,62.052,62.712,62.485,65.308,71.54,76.384,74.997,81.323,84.689,90.526,97.294,100.843,103.814,101.378,108.148,115.31,117.631,115.418,112.68,108.81,100,100.47,98.55,90.484
"38","31","  Capital goods, except automotive","B650RA3",0.848,0.883,0.874,1.118,1.379,1.469,1.396,1.691,1.805,2.33,2.852,3.359,3.958,4.308,5.211,7.787,8.776,9.963,11.375,13.111,14.831,16.022,17.225,19.957,23.282,28.553,35.146,41.301,51.831,59.609,68.42,82.197,72.858,71.736,75.936,89.466,99.634,110.925,118.394,120.332,100,121.326,138.01,147.977
"39","32","    Civilian aircraft, engines, and parts","B932RA3",4.054,4.143,4.702,9.739,12.107,11.196,9.06,5.98,7.936,10.575,15.451,31.234,35.199,29.332,25.46,28.501,39.851,44.976,49.916,57.861,66.155,69.92,70.509,73.773,64.326,62.484,57.804,65.517,82.708,106.879,114.483,122.736,140.31,111.615,103.094,100.725,102.929,109.195,125.87,122.262,100,99.354,108.701,116.455
"40","33","    Computers, peripherals, and parts","B852RA3",0.001,0.002,0.003,0.004,0.006,0.008,0.009,0.014,0.019,0.034,0.05,0.074,0.106,0.159,0.392,0.716,0.812,1.261,2.023,2.65,3.344,3.761,4.825,6.692,8.921,11.876,15.801,20.118,26.557,33.084,42.667,49.926,45.395,50.062,54.598,67.675,77.366,90.781,99.731,101.45,100,126.944,136.356,141.642
"41","34","    Other","B853RA3",1.948,1.988,1.92,2.357,2.881,3.063,2.919,3.589,3.751,4.758,5.706,6.331,7.415,8.133,9.357,13.86,15.3,16.385,17.43,19.476,21.403,22.931,23.607,26.166,30.164,36.736,44.96,51.391,63.143,69.33,76.411,94.055,79.736,77.505,82.526,97.393,108.357,118.987,124.742,127.387,100,121.966,142.196,154.053
"42","35","  Automotive vehicles, engines, and parts","B651RA3",21.423,21.906,26.721,28.953,29.875,31.73,25.182,33.368,35.347,38.25,36.986,36.643,35.462,37.956,46.46,59.694,66.886,72.407,74.299,72.433,70.591,70.685,65.913,69.299,76.154,85.389,86.869,89.814,97.072,103.347,123.08,133.137,128.778,137.922,141.509,151.445,157.13,167.813,167.806,147.909,100,140.868,154.579,177.393
"43","36","  Consumer goods, except automotive","B652RA3",5.959,6.406,6.742,8.217,8.433,7.589,5.885,7.593,9.168,11.263,11.349,11.434,12.52,13.086,15.75,19.882,21.702,24.046,24.824,25.191,26.363,25.894,26.34,29.082,31.495,34.124,36.808,39.635,45.399,51.518,57.928,68.144,69.251,75.921,82.721,91.955,99.455,107.453,113.635,112.435,100,112.818,117.91,116.686
"44","37","    Durable goods","B697RA3",5.467,5.831,6.272,7.771,8.219,7.758,5.857,7.049,9.477,11.536,11.473,12.094,13.153,13.427,15.848,19.964,22.167,24.01,23.977,24.249,25.561,24.208,24.432,26.808,29.11,31.778,34.041,36.987,41.953,48.551,55.437,66.436,65.867,73.646,79.445,91.996,101.965,110.369,117.966,116.871,100,116.428,120.858,122.179
"45","38","    Nondurable goods","B698RA3",6.877,7.484,7.624,9.053,8.834,7.33,5.925,8.381,8.688,10.83,11.139,10.447,11.562,12.521,15.491,19.611,20.918,23.906,25.758,26.247,27.229,27.914,28.646,31.848,34.389,36.948,40.163,42.817,49.573,55.077,60.897,70.155,73.281,78.628,86.608,92.001,96.691,104.234,108.812,107.493,100,108.876,114.673,110.77
"46","39","  Other","B653RA3",14.742,14.789,15.353,16.071,14.831,13.548,10.681,12.167,14.896,16.023,16.5,19.753,26.075,28.586,29.589,34.307,40.87,41.591,43.45,45.062,48.542,56.219,57.534,59.643,60.88,67.339,68.786,71.321,82.26,95.859,106.776,119.793,122.286,125.925,118.441,116.716,120.776,121.376,121.087,106.9,100,120.087,105.57,111.004
"47","40","Imports of services \1\","B656RA3",19.812,20.845,20.252,21.11,20.398,20.375,19.492,20.837,21.876,23.435,23.758,23.227,24.566,25.875,27.964,34.975,37.636,38.061,42.546,43.992,46.124,49.138,47.862,46.573,47.817,50.365,51.883,54.597,59.343,65.795,68.879,76.475,75.817,77.174,78.172,86.359,89.037,95.596,100.071,103.182,100,102.751,105.934,108.779
"48","41","  Direct defense expenditures","B752RA3",193.245,188.615,164.407,158.06,126.759,118.38,98.873,93.194,97.01,105.41,101.951,111.514,118.476,127.193,138.494,136.92,142.815,127.895,119.067,111.084,109.879,106.517,98.965,80.49,72.03,59.168,52.471,58.027,66.896,71.681,69.666,76.44,79.877,97.799,107.638,109.939,108.944,103.106,94.581,89.729,100,95.386,87.958,82.017
"49","42","  Travel","B768RA3",21.188,24.447,24.421,26.413,24.918,22.369,21.58,22.954,23.65,24.429,23.832,23.803,25.178,29.845,33.814,61.806,68.219,63.419,75.196,77.272,79.615,85.061,77.029,79.308,83.193,86.148,86.824,90.232,98.014,110.797,113.649,127.031,121.179,113.895,104.004,110.977,108.899,109.3,106.899,104.195,100,99.891,100.891,107.931
"50","43","  Passenger fares","B769RA3",21.077,23.658,23.236,27.496,31.349,30.477,30.61,33.262,33.39,37.062,38.111,37.251,42.82,44.066,55.313,54.126,62.998,61.298,67.573,68.723,73.767,85.893,73.263,75.521,82.407,93.858,100.118,106.544,115.295,125.35,127.381,135.787,115.319,96.08,98.738,118.388,120.648,120.954,117.122,117.183,100,95.547,101.537,106.285
"51","44","  Other transportation","B770RA3",36.503,38.969,41.924,44.642,48.532,49.265,47.118,53.328,59.379,61.866,63.545,55.904,55.933,49.509,51.4,61.38,62.493,63.736,73.171,78.851,81.711,87.885,86.633,82.986,84.847,89.903,89.739,88.445,95.511,102.049,94.323,102.898,98.012,102.466,105.071,114.449,121.251,126.489,130.987,122.896,100,111.751,113.555,116.071
"52","45","  Royalties and license fees","B908RA3",3.852,3.695,3.74,4.362,5.393,5.823,6.824,6.523,6.317,7.502,8.331,6.671,5.77,5.384,6.124,7.28,7.043,8.178,10.458,14.122,13.13,15.551,19.297,23.998,22.825,25.977,29.96,33.212,38.141,46.403,54.109,65.872,64.766,74.657,72.085,86.05,89.586,84.861,87.19,94.414,100,102.43,106.743,120.364
"53","46","  Other private services","B909RA3",0.993,1.042,1.151,1.186,1.327,2.667,3.016,3.624,3.794,4.436,5.024,5.128,6.04,6.848,6.417,7.191,8.012,11.461,13.104,13.991,16.321,17.702,19.701,18.467,19.593,22.087,24.316,26.631,28.569,31.918,37.551,41.874,45.928,48.803,52.612,59.269,63.601,78.497,89.78,100.015,100,105.037,111.165,112.159
"54","47","  Other","B910RA3",55.847,55.593,53.637,53.33,52.938,50.687,50.113,53.894,54.276,56.816,57.153,53.611,53.401,59.539,64.079,66.204,70.895,66.961,75.9,76.877,77.193,77.379,80.14,81.789,82.157,85.814,87.123,88.782,92.249,95.802,89.767,94.468,98.754,99.257,98.598,104.07,99.839,99.285,100.993,96.231,100,87.579,82.701,74.727
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RA3",7.845,8.582,8.521,9.412,11.727,13.536,13.255,13.442,13.413,14.953,17.021,18.984,18.301,15.907,15.58,17.263,18.652,19.74,22.539,27.962,31.897,35.308,37.938,40.959,43.09,48.31,55.191,61.545,72.669,75.018,79.45,89.193,81.786,77.2,78.581,87.217,95.408,105.687,114.758,120.615,100,116.774,127.327,133.412
"57","49","  Exports of nondurable goods","B339RA3",16.659,19.103,19.125,21.266,25.672,25.437,24.761,27.142,28.091,31.11,33.912,38.142,39.142,37.956,36.435,37.872,36.886,38.36,40.647,44.806,48.431,50.466,53.407,56.891,56.491,59.158,62.971,65.073,69.297,69.189,73.256,76.862,76.399,77.668,79.266,81.871,84.464,90.035,94.861,102.588,100,110.275,114.802,117.351
"58","50","  Exports of agricultural goods \2\","B181RA3",24.806,28.918,28.872,33.179,42.094,38.597,39.164,43.852,44.914,53.175,55.533,62.512,62.461,59.66,57,56.548,49.33,49.709,52.207,57.381,59.72,60.9,60.916,68.277,66.475,68.722,76.628,74.764,76.361,76.321,76.864,82.533,85.061,82.883,84,79.566,83.546,90.581,96.932,103.328,100,110.72,109.245,110.163
"59","51","  Exports of nonagricultural goods","B182RA3",11.733,12.78,12.606,13.703,16.671,18.713,17.98,18.326,18.234,20.063,22.634,24.89,24.155,21.003,19.665,20.548,21.431,22.672,25.374,30.467,34.419,37.587,40.472,43.306,44.999,49.68,55.503,61.124,70.717,72.44,77.022,84.984,79.192,76.382,77.848,85.415,91.858,100.586,108.204,114.808,100,114.701,123.94,129.011
"60","52","  Imports of durable goods","B333RA3",6.508,6.687,7.363,8.469,9.017,9.051,7.397,9.062,10.255,11.852,12.124,12.219,13.237,13.387,16.135,21.469,23.617,25.809,26.948,28.073,29.318,30.091,30.256,33.426,37.39,43.565,48.562,53.761,62.631,70.886,81.08,93.372,87.523,91.229,95.139,108.401,117.597,128.078,131.338,126.326,100,122.786,133.758,143.391
"61","53","  Imports of nondurable goods","B340RA3",21.49,22.657,24.061,26.872,28.985,27.175,25.212,30.937,34.456,35.58,35.992,30.988,30.059,28.307,30.146,34.332,34.746,38.847,40.801,42.362,44.084,45.57,45.705,49.195,52.508,56.407,58.723,62.655,69.173,75.492,82.425,89.866,92.26,94.874,100.521,107.173,111.341,113.197,114.118,110.07,100,105.967,106.693,102.312
"62","54","  Imports of nonpetroleum goods","B187RA3",8.458,8.763,9.457,10.676,11.082,10.797,9.046,11.162,12.176,13.971,14.238,13.985,15.266,15.586,18.421,23.745,25.835,28.034,29.339,30.33,31.515,32.506,32.688,35.951,39.565,45.086,49.565,54.249,62.614,70.264,79.441,90.572,87.056,90.863,95.13,106.277,114.176,122.725,126.061,121.321,100,118.556,126.878,133.019
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
