"","Table 6#6D# Wages and Salaries Per Full-Time Equivalent Employee","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"18","11","    Utilities","N4411C0",58266,60361,64772,67215,68795,70513,74116,77380,80331,84695,86785,87823,89595,93529,96810
"19","12","    Construction","N4412C0",35131,36599,38551,39897,40548,41189,42138,43731,46347,48414,50605,51640,52753,53763,55441
"20","13","    Manufacturing","N4413C0",39489,41392,43957,44251,45411,47429,49459,50908,53080,55237,56352,57362,60018,61740,63057
"21","14","      Durable goods","N4414C0",41573,43721,46573,46514,47578,49732,51851,53118,55791,57909,58978,60155,63346,65510,66429
"22","15","        Wood products","N4415C0",28404,29108,30351,31126,31623,32862,34563,35992,36357,36977,37534,37682,38152,39296,40317
"23","16","        Nonmetallic mineral products","N4416C0",36279,37480,39021,39743,41040,42373,43755,45742,46943,47976,48788,49002,50623,51337,53227
"24","17","        Primary metals","N4417C0",42925,44487,45836,46280,47138,49230,52432,53244,56182,58314,60115,57205,61058,63045,63840
"25","18","        Fabricated metal products","N4418C0",35580,36367,37766,38531,39630,40934,42648,43658,45816,47686,49430,49191,51441,52642,53638
"26","19","        Machinery","N4419C0",42576,44056,46612,46395,47597,49608,52286,53647,55986,58021,59050,59538,62655,65537,66486
"27","20","        Computer and electronic products","N4420C0",54707,61785,70449,66043,66873,71324,75278,78666,83963,87390,86254,87669,95998,99646,102159
"28","21","        Electrical equipment, appliances, and components","N4421C0",36375,38556,40241,41316,42596,44907,47663,48882,51178,53497,55749,56267,59422,62338,63467
"29","22","        Motor vehicles, bodies and trailers, and parts","N4422C0",45423,47330,48754,48637,51277,54150,54557,54052,56418,58097,57082,57386,58384,60022,59491
"30","23","        Other transportation equipment","N4423C0",49668,51512,53294,56062,59090,61439,64297,65937,70637,72003,73563,76959,79409,83693,84040
"31","24","        Furniture and related products","N4424C0",27735,28489,29571,30319,31355,32781,33850,34754,35991,37489,38459,38851,39985,40421,41775
"32","25","        Miscellaneous manufacturing","N4425C0",35351,36828,38744,40034,41458,43748,46303,46667,48873,51691,53296,54508,56906,58273,60141
"33","26","      Nondurable goods","N4426C0",36014,37479,39464,40379,41824,43671,45468,47110,48346,50559,51802,52874,54700,55524,57312
"34","27","        Food and beverage and tobacco products","N4427C0",31458,32404,33956,35017,35900,37317,38228,39273,39904,41304,42714,43193,44711,45032,46335
"35","28","        Textile mills and textile product mills","N4428C0",26962,28056,29013,29919,31116,31757,33452,34263,35435,36391,36701,37110,39110,39544,40727
"36","29","        Apparel and leather and allied products","N4429C0",21163,22183,24198,24862,26618,28435,30197,31755,33447,35481,36739,36913,38238,38400,38800
"37","30","        Paper products","N4430C0",42537,44246,45834,47286,49071,50912,52234,53815,55090,56640,58274,59012,61583,62679,64348
"38","31","        Printing and related support activities","N4431C0",36681,37688,39142,37915,38926,40023,41306,42726,43862,44933,45632,44873,45793,46510,47412
"39","32","        Petroleum and coal products","N4432C0",60723,61709,62998,66352,67421,70313,77307,82184,88154,94514,94012,93335,97164,102638,108318
"40","33","        Chemical products","N4433C0",55217,57559,61314,62082,63418,66665,69998,72955,74353,78922,79798,82827,84795,86069,89665
"41","34","        Plastics and rubber products","N4434C0",33523,34442,35624,36209,37796,39080,40665,41181,42275,43801,44834,45772,47775,48841,50161
"42","35","    Wholesale trade","N4435C0",45439,47636,50896,51522,52228,53666,56040,57860,60858,63739,64920,64563,67163,69977,71997
"43","36","      Durable goods","N4436C0",47581,50171,53582,53672,53994,55351,57947,59880,62872,65772,66915,66110,68860,72097,73846
"44","37","      Nondurable goods","N4437C0",42314,43912,46915,48376,49722,51315,53388,55025,57997,60858,62117,62484,64906,67128,69487
"45","38","    Retail trade","N4438C0",24586,25519,26589,26399,27093,27892,28696,29168,29959,30575,30715,30995,32029,32622,33223
"46","39","      Motor vehicle and parts dealers","N4439C0",39576,41574,42646,42742,43615,44445,45195,46104,47256,47930,46885,46676,49512,51278,52487
"47","40","      Food and beverage stores","N4440C0",20397,20860,21712,21749,22521,23203,23718,23839,24407,24933,25708,26219,26872,26991,27198
"48","41","      General merchandise stores","N4441C0",18358,18869,19697,19641,20587,21674,22274,22665,23511,24008,24388,25119,25680,25655,25993
"49","42","      Other retail \2\","N4442C0",24927,25898,27103,26680,27119,27823,28790,29349,30144,30906,31209,31727,32703,33441,34058
"50","43","    Transportation and warehousing","N4443C0",35965,37426,39055,39944,40665,41483,43230,43810,45344,47195,47884,48019,49710,51275,52183
"51","44","      Air transportation","N4444C0",48919,50879,53231,56184,58169,57660,59089,56759,59274,63544,62657,62283,65776,69490,70536
"52","45","      Rail transportation","N4445C0",59766,61287,63353,63710,64493,67273,71121,72237,74529,77581,83615,81558,80710,85221,86221
"53","46","      Water transportation","N4446C0",48450,50407,51516,55330,57237,58486,62066,62886,66463,74778,75498,76861,78565,82462,83016
"54","47","      Truck transportation","N4447C0",33686,34864,36030,36503,37265,38216,39973,41285,42818,43916,44516,43800,45548,46903,47865
"55","48","      Transit and ground passenger transportation","N4448C0",21840,22801,23827,24346,24733,25199,26604,26955,28384,29288,29734,30027,30974,31838,32205
"56","49","      Pipeline transportation","N4449C0",64305,71789,96662,100547,82094,84011,89342,88928,97928,105628,104942,108085,112648,119091,137442
"57","50","      Other transportation and support activities \3\","N4450C0",32605,34489,35823,36204,37689,39098,41387,42465,44047,45747,46488,47383,49161,50010,50818
"58","51","      Warehousing and storage","N4451C0",31317,32307,33623,34182,35190,36624,37955,38861,39491,41007,41717,43069,44188,45018,45442
"59","52","    Information","N4452C0",53023,58781,62571,62251,60981,63357,67377,69124,72257,75127,76245,76890,81295,84949,89478
"60","53","      Publishing industries (includes software)","N4453C0",55529,62744,65531,67471,65282,67948,69973,71826,75428,80791,83656,85867,91615,96578,102734
"61","54","      Motion picture and sound recording industries","N4454C0",53364,52158,57351,55659,55591,56927,61452,63045,66647,68324,68285,67884,73828,74477,78529
"62","55","      Broadcasting and telecommunications","N4455C0",51988,57352,59823,57515,57997,60335,64416,65943,68529,71507,71838,71615,74463,77418,80685
"63","56","      Information and data processing services","N4456C0",50492,59644,68118,71972,66161,68784,76704,78611,81397,81264,82620,84726,89965,95293,99640
"64","57","    Finance and insurance","N4457C0",55249,58634,64574,67024,66276,68471,73656,77102,82293,88704,88864,83632,88166,91951,94873
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4458C0",43044,45045,47221,50205,52119,55829,57327,59347,62018,63920,63143,62196,64312,67599,71555
"66","59","      Securities, commodity contracts, and investments","N4459C0",120974,131366,151029,154857,144667,145064,165462,174740,194809,220697,215555,183807,204490,211549,212885
"67","60","      Insurance carriers and related activities","N4460C0",47544,49444,52294,54052,55646,58396,62549,65103,67685,70426,71396,71718,73507,76165,79181
"68","61","      Funds, trusts, and other financial vehicles","N4461C0",60812,66797,77445,70277,72467,75716,89468,91449,94392,101944,98779,99664,99799,109596,112106
"69","62","    Real estate and rental and leasing","N4462C0",33062,34638,37150,36543,37685,38975,41352,43513,46391,48034,47324,46728,49081,51152,53672
"70","63","      Real estate","N4463C0",34046,35748,38432,38008,38873,40331,43090,45431,48549,49745,48829,47496,49514,51414,54048
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4464C0",31074,32387,34578,33590,35085,35930,37415,39068,41370,44011,43761,44775,47918,50449,52662
"72","65","    Professional, scientific, and technical services","N4465C0",54515,57670,62472,62270,62612,64206,67010,69640,73026,76672,79152,79890,82524,85399,89453
"73","66","      Legal services","N4466C0",56414,58508,63113,65518,67087,69274,71872,74231,77823,81880,84966,85406,86557,88945,91427
"74","67","      Computer systems design and related services","N4467C0",68879,74698,82530,79297,78550,79767,83218,85711,89984,93628,94510,95064,99005,102679,110223
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4468C0",50323,52766,56526,56632,57365,58967,61649,64440,67563,70977,73658,74351,76771,79342,82527
"76","69","    Management of companies and enterprises \6\","N4469C0",66250,69416,74253,73396,74269,75886,84291,88008,93289,100610,101287,96338,103874,110373,117369
"77","70","    Administrative and waste management services","N4470C0",22801,23574,25035,27216,28108,29075,30254,31331,32608,34207,35736,36497,37369,38022,39322
"78","71","      Administrative and support services","N4471C0",22063,22806,24342,26541,27383,28306,29454,30525,31777,33426,34915,35634,36422,37087,38419
"79","72","      Waste management and remediation services","N4472C0",39322,41616,42001,41941,43643,45371,47630,48855,50777,51058,52375,52574,55338,56083,57114
"80","73","    Educational services","N4473C0",26970,27967,29244,30261,31490,32840,33649,34608,35922,37552,39112,40475,41324,42387,42972
"81","74","    Health care and social assistance","N4474C0",33054,33823,35249,36699,38114,39480,41206,42294,43765,45507,46977,48244,48993,49964,50913
"82","75","      Ambulatory health care services","N4475C0",43732,44830,46662,48131,49686,50526,52578,53655,55028,57182,58744,60199,61431,62093,63240
"83","76","      Hospitals","N4490C0",36196,37010,38635,39403,41228,43812,46173,47819,50142,52134,54331,56339,56853,58476,59941
"84","77","      Nursing and residential care facilities","N4491C0",21018,21780,22986,23801,24896,25637,26546,27016,28029,29361,30174,30568,30905,31303,31503
"85","78","      Social assistance","N4492C0",18269,19104,19932,21985,22608,23307,23782,24083,24697,25493,26190,26633,27185,27459,27702
"86","79","    Arts, entertainment, and recreation","N4493C0",29832,31262,32482,33208,34174,36194,36862,36728,38805,39459,41899,41774,42715,44021,45180
"87","80","      Performing arts, spectator sports, museums, and related activities","N4494C0",49976,53874,55996,57094,59926,64284,66111,65941,71440,72441,77005,77884,80480,82500,84522
"88","81","      Amusements, gambling, and recreation industries","N4495C0",21903,22516,23349,23865,24283,25466,25847,25826,26426,26791,28349,27862,28290,29184,30024
"89","82","    Accommodation and food services","N4496C0",16678,17268,18045,18916,19396,19883,21090,21044,21803,22619,23158,23407,24133,24687,25211
"90","83","      Accommodation","N4497C0",23543,24725,26112,25901,26424,26773,32094,29081,30335,31612,32707,32897,33703,34480,35254
"91","84","      Food services and drinking places","N4498C0",14993,15445,16070,17154,17692,18252,18829,19196,19893,20611,20999,21382,22097,22601,23132
"92","85","    Other services, except government","N4499C0",23913,24583,25990,26664,27605,28696,29680,30444,32065,32996,33863,34476,35857,37059,37671
"93","86","  Government","A4476C0",37501,38939,40824,42303,44090,45844,47834,49742,51728,53693,55672,56966,58045,59125,59423
"94","87","    Federal","A4477C0",42538,44093,46749,48279,51804,55215,59364,63261,65386,67333,69263,71956,74665,76421,76316
"95","88","      General government","A4478C0",41535,43264,45487,47532,51879,55928,59803,64306,66431,69557,72010,74059,76276,77851,77559
"96","89","        Civilian","B4479C0",47603,49575,52217,53735,57878,61140,65413,68976,70895,74189,75755,76840,80138,82593,81704
"97","90","        Military \7\","B4480C0",34404,35845,37466,40287,44911,49798,53171,58614,60977,63844,67326,70418,71009,71419,71839
"98","91","      Government enterprises","B4481C0",46888,47621,52231,51501,51476,51974,57293,58314,60384,57295,56506,60619,64839,67350,68258
"99","92","    State and local","A4482C0",36040,37478,39169,40689,42016,43301,44743,46171,48148,50123,52092,52973,53509,54392,54843
"100","93","      General government","A4483C0",35879,37300,38965,40502,41859,43107,44520,45939,47923,49949,51879,52767,53279,54057,54486
"101","94","        Education","B4484C0",35653,36942,38358,39774,40998,42399,43558,44958,47048,49090,50982,51950,52437,53106,53318
"102","95","        Other \8\","B4485C0",36137,37715,39684,41364,42882,43947,45671,47114,48973,50976,52946,53736,54293,55206,55909
"103","96","      Government enterprises \8\","B4486C0",38352,40037,42115,43307,44150,45904,47694,49271,51142,52387,54882,55683,56542,58881,59591
"104","97","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
