"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","3","      Gross investment \2\","A782RG3",21.285,21.715,21.921,22.317,22.739,23.213,23.604,24.074,24.457,24.841,25.104,25.457,26.447,26.621,26.98,27.433,27.81,28.332,28.857,29.504,30.47,31.744,33.184,34.23,34.96,35.373,35.67,36.039,36.432,36.779,37.076,37.462,38.072,38.522,38.9,39.443,40.047,40.704,41.406,42.024,42.781,43.76,44.815,45.854,46.882,48.139,49.321,50.585,51.823,53.003,54.049,55.051,55.91,56.87,57.482,57.778,58.038,58.162,58.55,58.741,59.075,59.356,59.619,59.873,59.95,59.861,60.065,60.025,59.915,60.183,60.299,60.34,60.547,60.612,60.807,61.07,61.632,61.996,62.323,62.768,63.141,63.591,64.045,64.169,64.657,65.111,65.688,65.971,66.322,66.653,66.919,66.89,66.783,67.116,67.296,67.763,68.169,68.542,68.736,69.205,69.528,70.076,70.513,71.099,71.823,72.346,72.743,73.109,73.68,73.143,73.285,73.362,73.582,74.004,74.135,74.366,74.28,74.409,74.69,75.103,75.401,75.843,76.043,76.669,77.19,77.8,78.253,78.61,78.797,78.93,79.009,79.139,79.362,79.614,79.82,79.937,80.396,80.59,80.82,81.067,81.497,82.511,83.876,85.279,85.913,86.995,88.202,89.118,89.595,90.803,91.659,93.026,94.588,95.318,96.067,96.881,97.727,98.411,99.387,100.51,100.712,100.092,99.502,99.694,100.072,100.618,100.988,101.602,102.27,102.969,103.685,104.164,104.736,105.275,105.514,105.569,106,106.363,106.72
"12","4","        Structures","A760RG3",12.463,12.772,12.912,13.192,13.452,13.822,14.104,14.458,14.735,15.008,15.183,15.474,15.668,15.812,16.102,16.462,16.84,17.236,17.596,18.079,18.903,20.094,21.363,22.255,22.758,22.876,22.958,23.112,23.233,23.423,23.492,23.68,24.034,24.292,24.575,24.82,25.111,25.629,26.143,26.613,27.213,28.007,28.931,29.789,30.581,31.456,32.54,33.552,34.481,35.274,36.025,36.661,37.228,37.889,38.329,38.416,38.429,38.361,38.438,38.452,38.597,38.742,38.872,39.062,39.283,39.437,39.628,39.87,40.177,40.572,40.95,41.404,41.764,42.16,42.665,42.864,43.198,43.468,43.815,44.171,44.323,44.765,45.159,45.468,45.858,46.279,46.72,46.804,46.816,47.137,47.359,47.145,47.056,47.338,47.522,47.844,48.278,48.655,48.779,49.184,49.617,49.927,50.514,51.161,51.771,52.251,52.698,53.15,53.559,53.773,54.197,54.494,54.813,55.393,55.781,56.453,56.717,56.959,57.582,58.154,58.597,59.289,59.725,60.41,61.071,61.979,62.498,63.046,63.758,64.029,64.388,65.032,65.438,65.977,66.337,66.562,67.359,67.544,67.714,67.998,68.587,70.172,72.595,74.806,75.669,77.54,79.767,81.366,82.074,84.345,85.96,88.459,91.13,92.361,93.586,94.972,96.071,96.954,98.465,100.544,101.338,100.281,99.228,99.153,99.524,100.034,100.489,101.111,101.829,102.99,104.273,105.594,106.454,107.371,107.94,108.394,109.012,109.633,110.24
"13","5","        Equipment","Y054RG3",47.462,48.544,48.649,49.457,50.595,51.405,52.07,52.928,53.53,54.238,54.571,54.823,67.061,66.529,66.759,67.317,66.596,67.259,67.907,68.26,68.671,69.278,71.295,72.594,73.984,75.804,76.835,78.3,80.658,81.278,82.461,83.379,85.539,86.63,86.698,88.607,90.951,91.96,93.163,93.667,94.48,95.907,96.877,98.152,99.123,101.921,102.728,104.714,107.101,109.528,111.61,113.438,115.155,117.416,118.368,118.45,119.151,119.353,120.268,120.238,120.195,120.588,120.738,121.259,120.095,118.378,118.451,117.122,115.081,115.017,114.222,112.756,112.413,110.928,109.779,109.447,110.156,110.146,110.087,110.749,111.568,111.98,112.757,111.892,112.932,113.555,114.751,115.571,116.092,116.038,116.072,116.647,116.617,117.059,116.91,117.56,118.238,118.426,118.9,119.037,119.557,121.396,121.191,121.209,121.134,121.673,121.374,122.139,123.766,119.534,118.737,118.104,117.343,116.533,115.256,114.399,113.185,112.389,111.381,110.9,110.858,110.102,109.362,109.287,108.948,108.267,107.976,107.533,106.073,105.769,105.256,103.532,103.13,102.856,102.461,102.393,102.046,101.725,101.73,101.71,101.669,101.83,101.442,101.789,102.054,101.649,101.272,100.846,100.746,100.651,100.427,100.273,100.23,99.793,99.501,99.399,99.502,99.704,100.055,100.597,100.253,100.032,99.815,99.9,99.999,100.084,100.082,100.347,100.993,101.012,101.374,101.028,101.539,101.706,101.655,101.21,101.12,101.393,101.242
"14","6","        Intellectual property products","Y055RG3",25.608,25.883,26.198,26.539,26.921,27.297,27.679,28.064,28.455,28.795,29.084,29.315,29.499,29.732,30.013,30.341,30.728,31.232,31.849,32.58,33.43,34.269,35.082,35.862,36.593,37.193,37.691,38.092,38.377,38.895,39.377,39.922,40.364,40.881,41.446,42.04,42.583,43.162,43.833,44.579,45.374,46.23,47.191,48.145,49.364,50.492,51.583,52.73,53.837,55.06,56.065,57.28,58.206,59.048,59.759,60.532,61.059,61.511,62.219,62.839,63.695,64.158,64.709,64.94,65.376,65.677,65.985,66.144,66.306,66.511,66.661,66.818,67.041,67.362,67.776,68.508,69.414,70.158,70.662,71.152,71.694,72.196,72.585,72.956,73.314,73.74,74.214,74.563,75.49,76.081,76.579,76.574,76.386,76.739,77.109,77.755,77.927,78.377,78.543,79.301,79.255,79.559,80.005,80.735,82.102,82.661,83.293,83.182,83.419,83.416,83.448,83.408,83.916,84.557,84.848,84.653,84.408,84.78,84.985,85.526,85.665,86.212,86.449,87.336,88.009,88.645,89.368,89.739,89.692,89.739,89.518,89.598,89.756,89.641,89.877,89.865,90.041,90.58,91.071,91.374,91.711,91.98,92.213,92.656,93.074,93.609,93.94,94.479,94.916,95.048,95.255,95.643,96.359,97.044,97.723,98.224,99.21,99.932,100.478,100.377,99.974,99.808,99.735,100.483,101.098,102.08,102.597,103.472,104.061,104.551,104.661,104.506,104.696,104.967,104.957,104.838,105.409,105.482,105.887
"15","7","          Software","Y056RG3",53.283,53.417,54.199,54.71,55.786,56.198,56.576,56.818,56.933,57.101,57.297,57.231,57.393,57.602,57.908,58.21,58.961,59.661,60.27,60.865,61.736,63.247,64.872,66.406,67.454,67.863,68.288,68.85,69.082,69.411,69.989,70.654,71.639,72.249,72.68,72.878,72.736,73.115,73.526,74.146,75.627,76.636,77.937,79.147,80.198,81.48,82.44,83.622,85.347,86.523,87.709,88.881,89.927,90.713,91.399,92.033,92.197,92.464,92.576,92.606,93.257,93.976,94.17,94.185,94.679,94.5,94.48,94.333,93.934,93.762,93.882,94.178,94.506,94.714,95.089,95.38,96.027,96.679,96.901,96.867,96.519,96.388,96.166,95.765,95.771,95.929,96.239,97.164,98.663,98.499,98.225,97.45,95.722,95.319,95.092,95.13,95.938,96.457,96.781,96.876,95.996,96.164,95.856,96.103,96.772,97.821,97.993,98.511,97.846,96.946,96.499,96.208,95.684,96.029,95.509,94.885,93.713,94.172,94.225,94.118,94.613,95.266,95.833,96.19,96.953,97.656,99.172,99.426,99.055,99.501,98.706,98.955,99.124,98.222,98.287,98.112,97.845,97.834,97.182,96.055,96.291,96.445,96.544,95.898,96.504,96.706,96.765,96.78,97.25,97.845,98.182,98.33,98.679,98.867,98.976,99.208,99.793,100.42,100.772,100.521,100.249,100.114,99.592,100.045,99.625,99.671,99.597,99.692,100.022,100.147,100.193,100.114,100.142,100.019,99.675,99.492,99.916,100.184,100.143
"16","8","          Research and development","Y057RG3",22.801,23.051,23.33,23.637,23.972,24.313,24.661,25.016,25.378,25.692,25.958,26.176,26.345,26.558,26.815,27.116,27.461,27.918,28.487,29.165,29.951,30.704,31.428,32.123,32.789,33.354,33.82,34.187,34.455,34.946,35.39,35.893,36.282,36.759,37.291,37.862,38.399,38.95,39.59,40.295,41.006,41.802,42.687,43.57,44.728,45.783,46.821,47.904,48.913,50.075,51.016,52.173,53.044,53.849,54.527,55.273,55.802,56.247,56.971,57.614,58.452,58.874,59.434,59.675,60.088,60.42,60.747,60.928,61.137,61.372,61.519,61.657,61.86,62.181,62.583,63.336,64.239,64.97,65.491,66.031,66.67,67.245,67.714,68.194,68.601,69.061,69.551,69.801,70.619,71.324,71.948,72.079,72.177,72.671,73.154,73.916,73.963,74.397,74.532,75.417,75.535,75.865,76.459,77.281,78.781,79.239,79.96,79.725,80.142,80.323,80.455,80.467,81.201,81.909,82.386,82.293,82.277,82.63,82.879,83.591,83.638,84.157,84.303,85.342,85.994,86.616,87.122,87.527,87.57,87.507,87.44,87.478,87.636,87.711,87.99,88.017,88.294,88.954,89.694,90.312,90.669,90.962,91.223,91.905,92.283,92.891,93.282,93.939,94.37,94.398,94.575,95.016,95.815,96.614,97.425,97.989,99.07,99.816,100.409,100.345,99.911,99.737,99.768,100.583,101.444,102.65,103.309,104.376,105.033,105.616,105.743,105.569,105.8,106.176,106.256,106.155,106.767,106.784,107.314
"17","9","Federal","B823RG3",18.721,18.981,19.471,19.712,20.287,20.551,20.901,21.164,21.834,22.243,22.561,23.021,24.006,24.218,24.361,24.886,25.321,25.732,26.183,26.744,27.04,27.569,28.299,29.26,29.764,30.193,30.631,31.323,31.736,32.032,32.414,33.227,33.656,33.999,34.178,35.191,35.659,36.049,36.555,37.436,37.949,38.458,39.143,40.629,41.339,42.164,42.925,45.018,45.677,46.346,47.052,48.719,49.276,49.819,50.358,51.281,51.487,51.537,52.028,52.261,53.199,53.647,54.013,54.257,54.81,54.713,54.826,55.332,55.125,55.159,55.252,55.372,55.32,55.501,55.774,56.017,56.817,57.339,57.595,57.692,58.511,58.803,59.127,59.275,59.951,60.514,60.926,61.835,62.671,62.778,63.258,63.564,64.015,64.476,64.895,65.181,65.396,65.762,66.28,66.721,67.049,67.735,67.865,68.51,69.462,69.621,69.858,70.839,71.484,70.84,70.96,71.234,71.943,72.128,72.249,72.577,72.78,72.923,73.136,73.396,74.209,74.654,75.015,75.59,76.825,76.765,77.683,78.09,78.394,78.522,78.857,79.221,80.825,81.035,81.202,82.177,84.339,84.603,85.001,85.149,87.002,87.542,87.993,88.408,90.624,91.102,91.849,92.22,93.996,94.423,94.556,94.817,96.572,97.169,97.47,98.064,99.611,100.43,100.941,100.161,100.178,99.651,99.809,100.362,101.719,102.452,102.855,103.429,104.499,105.483,105.835,105.56,105.959,106.182,106.224,106.37,107.007,107.229,107.55
"18","10","    Consumption expenditures","B957RG3",16.255,16.459,16.974,17.173,17.724,17.937,18.257,18.476,19.15,19.528,19.829,20.282,21.016,21.222,21.31,21.808,22.249,22.609,23.007,23.516,23.73,24.198,24.837,25.777,26.191,26.537,26.93,27.613,27.948,28.201,28.521,29.341,29.662,29.931,30.077,31.096,31.465,31.784,32.218,33.131,33.562,33.947,34.531,36.088,36.71,37.371,38.054,40.261,40.756,41.249,41.82,43.541,43.955,44.338,44.831,45.836,45.974,45.963,46.383,46.571,47.581,48.035,48.393,48.588,49.321,49.294,49.378,50.135,50.018,50.05,50.232,50.517,50.419,50.736,51.104,51.338,52.164,52.71,52.948,52.888,53.793,54.032,54.295,54.502,55.194,55.792,56.134,57.171,58.054,58.081,58.577,58.938,59.532,60.003,60.469,60.639,60.811,61.168,61.736,62.113,62.488,63.111,63.199,63.822,64.78,64.813,64.988,66.124,66.666,66.232,66.406,66.774,67.589,67.719,67.853,68.292,68.625,68.737,68.994,69.195,70.121,70.595,71.041,71.581,73.025,72.884,73.929,74.382,74.847,75.003,75.48,76.043,78.07,78.344,78.51,79.728,82.441,82.67,83.052,83.156,85.439,86.02,86.529,86.873,89.568,90.064,90.945,91.266,93.453,93.932,94.008,94.251,96.372,97.034,97.269,97.93,99.725,100.627,101.133,100.043,100.18,99.572,99.84,100.409,102.04,102.8,103.205,103.724,104.887,106.054,106.42,106.134,106.551,106.761,106.814,107.07,107.771,107.98,108.332
"19","11","    Gross investment","B787RG3",28.24,28.757,28.988,29.409,29.98,30.474,30.913,31.371,31.832,32.305,32.633,32.984,35.268,35.443,35.88,36.408,36.69,37.283,37.93,38.637,39.342,40.092,41.157,42.018,42.905,43.705,44.283,44.899,45.643,46.113,46.753,47.402,48.306,48.962,49.276,50.097,50.986,51.666,52.446,53.08,53.906,54.934,56.004,57.033,58.06,59.535,60.566,61.931,63.266,64.663,65.903,67.177,68.312,69.516,70.208,70.694,71.188,71.501,72.261,72.655,73.272,73.665,74.042,74.468,74.345,74.001,74.217,73.848,73.326,73.368,73.156,72.722,72.825,72.562,72.54,72.812,73.539,73.986,74.305,74.947,75.47,75.952,76.497,76.435,77.059,77.505,78.162,78.625,79.276,79.679,80.091,80.194,80.117,80.536,80.779,81.496,81.866,82.263,82.581,83.261,83.397,84.313,84.609,85.323,86.233,86.877,87.349,87.709,88.732,87.316,87.234,87.137,87.415,87.813,87.883,87.768,87.471,87.732,87.783,88.259,88.63,88.967,89.019,89.714,90.165,90.408,90.832,91.065,90.763,90.791,90.599,90.236,90.285,90.265,90.434,90.542,90.743,91.126,91.576,91.887,92.217,92.619,92.87,93.532,94.092,94.508,94.799,95.344,95.744,96.001,96.321,96.64,97.205,97.592,98.105,98.489,99.239,99.796,100.328,100.535,100.172,99.908,99.71,100.21,100.66,101.308,101.703,102.456,103.221,103.594,103.902,103.663,104.002,104.265,104.27,104.03,104.446,104.715,104.929
"20","12","      Structures","B801RG3",12.184,12.533,12.64,12.851,13.148,13.436,13.648,13.981,14.338,14.658,14.828,15.181,15.306,15.539,16.034,16.547,17.07,17.554,17.968,18.342,18.754,19.363,20.303,21.363,22.12,22.415,22.689,23.022,23.211,23.441,23.864,24.372,24.893,25.372,25.435,25.7,25.98,26.544,27.086,27.428,28.504,29.424,30.452,31.184,31.744,32.484,33.55,34.5,35.171,35.838,36.42,37.09,37.728,38.377,38.716,38.858,38.814,38.8,39.245,39.466,40.321,40.297,40.39,40.939,41.249,41.511,41.618,41.683,41.796,41.858,41.985,42.636,42.983,43.26,43.994,43.904,43.98,44.428,45.209,46.44,46.566,47.117,47.808,48.491,48.661,48.89,49.275,49.569,49.877,50.213,50.885,50.642,50.635,50.849,51.084,51.688,52.197,52.637,52.927,53.356,53.717,54.189,54.804,55.428,55.975,56.51,57.052,57.533,57.946,58.175,58.562,58.703,58.938,59.282,59.77,60.508,60.674,61.018,61.668,62.242,62.745,63.453,63.981,64.613,65.278,66.052,66.671,67.257,67.993,68.509,69.164,69.723,69.851,70.261,70.593,71.11,72.022,72.243,72.533,73.006,73.779,75.244,77.315,79.418,80.869,82.742,84.754,86.573,88.205,90.175,91.706,93.573,95.006,96.078,97.154,98.361,99.364,100.311,101.306,102.216,102.072,100.335,98.932,98.66,98.951,99.033,99.555,100.123,100.668,101.587,102.573,103.545,104.168,104.922,105.623,106.132,106.822,107.645,108.238
"21","13","      Equipment","Y058RG3",41.442,42.557,42.594,43.266,44.416,45.248,45.935,46.578,47.157,47.965,48.251,48.37,66.357,65.266,65.412,66.122,64.925,65.49,65.93,66.164,65.926,65.9,67.313,67.488,68.363,70.146,70.997,72.403,75.122,75.508,76.625,77.426,79.847,80.803,80.464,82.35,84.81,85.535,86.498,86.801,86.925,88.104,89.102,90.256,90.82,93.578,93.881,95.808,98.101,100.293,102.468,104.089,105.933,108.3,109.114,109.086,109.895,110.132,111.136,111.1,110.925,111.448,111.591,112.356,110.76,108.671,108.783,107.145,104.852,104.566,103.512,101.402,101.116,99.399,98.114,97.722,98.428,98.252,97.94,98.576,99.252,99.672,100.446,99.195,100.552,101.133,102.257,103.045,103.367,103.399,103.48,103.911,103.864,104.374,104.302,105.08,105.842,106.065,106.689,107.136,107.456,109.867,109.544,110.151,110.059,110.92,110.803,112.105,114.993,109.433,108.697,108.273,107.772,107.298,106.319,105.806,105.015,104.747,103.992,104.024,104.892,104.408,103.832,103.901,103.687,102.813,102.558,102.255,101.003,100.865,100.305,98.634,98.301,98.187,98.141,98.342,98.118,98.09,98.272,98.297,98.379,98.624,98.334,98.81,99.383,99.104,98.833,98.982,99.01,99.183,99.463,99.258,99.252,98.877,98.92,98.95,99.237,99.471,99.87,100.347,99.999,99.972,99.881,100.147,100.29,100.472,100.538,101.042,102.055,102.049,102.491,101.9,102.472,102.634,102.532,101.994,102.061,102.502,102.248
"22","14","      Intellectual property products","Y059RG3",24.773,25.038,25.34,25.671,26.041,26.407,26.779,27.155,27.537,27.869,28.149,28.372,28.547,28.77,29.041,29.361,29.737,30.224,30.821,31.526,32.341,33.148,33.933,34.691,35.408,35.996,36.482,36.871,37.144,37.652,38.122,38.655,39.083,39.584,40.133,40.711,41.237,41.795,42.449,43.179,43.943,44.773,45.698,46.626,47.815,48.907,49.964,51.079,52.144,53.338,54.318,55.512,56.413,57.232,57.921,58.673,59.178,59.606,60.299,60.903,61.741,62.177,62.715,62.927,63.346,63.642,63.944,64.103,64.275,64.484,64.627,64.77,64.973,65.281,65.678,66.408,67.312,68.046,68.537,69.011,69.555,70.052,70.437,70.813,71.165,71.591,72.061,72.386,73.299,73.923,74.459,74.468,74.352,74.771,75.185,75.889,76.002,76.459,76.618,77.446,77.413,77.751,78.223,78.977,80.388,80.934,81.605,81.494,81.793,81.834,81.906,81.891,82.487,83.224,83.611,83.449,83.242,83.675,83.896,84.52,84.641,85.222,85.437,86.414,87.101,87.716,88.386,88.783,88.711,88.725,88.554,88.628,88.839,88.787,89.035,89.019,89.29,89.898,90.502,90.916,91.283,91.576,91.808,92.35,92.78,93.369,93.744,94.348,94.809,94.896,95.082,95.495,96.267,97,97.712,98.198,99.208,99.925,100.475,100.361,99.935,99.776,99.734,100.555,101.255,102.352,102.953,103.923,104.555,105.061,105.141,104.932,105.066,105.324,105.307,105.171,105.785,105.874,106.366
"23","15","        Software","Y060RG3",52.061,52.131,52.903,53.414,54.572,54.945,55.256,55.44,55.478,55.595,55.737,55.639,55.697,55.865,56.079,56.368,57.063,57.696,58.271,58.815,59.551,60.997,62.551,64.04,65.031,65.353,65.736,66.267,66.421,66.708,67.272,67.906,68.879,69.4,69.717,69.816,69.53,69.786,70.193,70.874,72.247,73.198,74.333,75.605,76.578,77.737,78.57,79.688,81.246,82.357,83.562,84.707,85.7,86.396,87.002,87.497,87.447,87.569,87.576,87.51,88.111,88.769,88.917,88.85,89.285,89.052,88.953,88.773,88.363,88.166,88.26,88.521,88.789,88.954,89.278,89.561,90.211,90.861,91.085,90.985,90.668,90.51,90.267,89.842,89.82,90.011,90.31,91.312,92.791,92.631,92.375,91.546,89.959,89.769,89.654,89.832,90.566,91.175,91.587,91.787,90.783,91.207,90.852,91.13,91.712,92.935,93.15,94.047,93.345,92.398,92.051,91.891,91.403,92.062,91.773,91.33,90.137,90.93,90.987,90.938,91.508,92.306,92.949,93.43,94.288,94.851,96.322,96.691,96.197,96.718,96.109,96.369,96.759,95.952,95.956,95.803,96.102,96.218,95.749,94.732,95.188,95.53,95.627,95.093,95.846,96.144,96.321,96.331,96.808,97.337,97.627,97.841,98.293,98.563,98.69,98.921,99.562,100.186,100.496,100.269,100.101,100.117,99.63,100.152,99.659,99.682,99.611,99.751,100.141,100.292,100.353,100.315,100.321,100.233,99.934,99.771,100.303,100.569,100.559
"24","16","        Research and development","Y061RG3",22.754,23.002,23.279,23.585,23.919,24.261,24.609,24.966,25.329,25.644,25.909,26.125,26.291,26.502,26.758,27.06,27.406,27.862,28.426,29.098,29.873,30.62,31.342,32.039,32.71,33.279,33.747,34.112,34.377,34.87,35.316,35.821,36.21,36.686,37.219,37.789,38.322,38.869,39.505,40.207,40.913,41.705,42.585,43.461,44.616,45.665,46.697,47.775,48.776,49.938,50.873,52.034,52.902,53.704,54.378,55.124,55.65,56.088,56.81,57.446,58.282,58.691,59.245,59.474,59.882,60.211,60.539,60.721,60.938,61.177,61.321,61.45,61.644,61.957,62.353,63.11,64.022,64.752,65.262,65.789,66.416,66.979,67.434,67.904,68.3,68.753,69.239,69.475,70.307,71.027,71.666,71.791,71.885,72.392,72.883,73.664,73.685,74.119,74.24,75.159,75.271,75.595,76.19,77.014,78.548,78.99,79.729,79.467,79.916,80.111,80.249,80.256,81.031,81.781,82.282,82.171,82.142,82.511,82.766,83.521,83.557,84.096,84.221,85.305,85.96,86.588,87.096,87.499,87.515,87.425,87.341,87.382,87.563,87.645,87.938,87.946,88.214,88.898,89.666,90.301,90.653,90.938,91.19,91.896,92.276,92.91,93.316,94.014,94.473,94.49,94.659,95.103,95.926,96.735,97.544,98.073,99.146,99.88,100.472,100.377,99.909,99.72,99.751,100.621,101.528,102.814,103.534,104.657,105.336,105.911,105.995,105.752,105.911,106.236,106.275,106.145,106.775,106.828,107.422
"25","17","  National defense","B824RG3",18.189,18.464,18.937,19.158,19.676,19.897,20.24,20.495,21.161,21.546,21.871,22.4,23.637,23.848,23.959,24.504,24.915,25.37,25.877,26.361,26.74,27.179,27.973,28.875,29.312,29.662,30.079,30.766,31.164,31.516,31.945,32.776,33.244,33.582,33.74,34.848,35.364,35.774,36.308,37.171,37.691,38.21,38.959,40.5,41.308,42.208,42.897,45.137,45.703,46.462,47.189,49.092,49.6,50.157,50.692,51.624,51.862,51.937,52.436,52.775,53.792,54.211,54.523,54.73,55.161,54.968,55.127,55.657,55.357,55.26,55.309,55.383,55.507,55.652,55.896,56.093,56.853,57.331,57.597,57.773,58.513,58.781,59.095,59.197,60.038,60.517,61.047,61.918,62.452,62.484,63.079,63.538,64.07,64.567,65.012,64.997,65.044,65.405,65.844,66.251,66.496,67.19,67.377,67.982,68.874,69.069,69.317,69.803,70.699,70.224,70.319,70.562,71.249,71.37,71.437,71.685,71.979,72.082,72.25,72.608,73.488,73.891,74.169,74.589,75.997,76.021,76.762,77.088,77.639,77.653,77.982,78.222,79.796,79.98,80.299,82.042,83.996,84.255,84.689,84.958,86.584,87.149,87.617,88.134,90.547,91.035,91.801,92.199,94.182,94.613,94.738,95.001,96.741,97.349,97.719,98.479,100.016,101.047,101.598,100.577,100.359,99.611,99.736,100.293,101.671,102.266,102.48,103.043,104.346,105.416,105.718,105.283,105.914,106.229,106.322,106.542,107.283,107.512,107.816
"26","18","    Consumption expenditures","B997RG3",15.884,16.099,16.592,16.777,17.255,17.425,17.741,17.955,18.611,18.954,19.262,19.779,20.636,20.843,20.899,21.396,21.822,22.222,22.677,23.152,23.453,23.859,24.578,25.479,25.84,26.12,26.485,27.139,27.465,27.748,28.103,28.921,29.265,29.526,29.687,30.761,31.151,31.491,31.956,32.848,33.31,33.722,34.396,36.022,36.781,37.523,38.168,40.482,40.892,41.516,42.119,44.101,44.468,44.857,45.323,46.341,46.504,46.523,46.922,47.251,48.352,48.783,49.085,49.22,49.856,49.774,49.925,50.775,50.613,50.493,50.666,50.977,51.106,51.433,51.808,52.029,52.809,53.324,53.601,53.656,54.473,54.695,54.942,55.15,56.038,56.536,57.023,58.014,58.529,58.471,59.095,59.63,60.304,60.797,61.288,61.067,61.04,61.389,61.834,62.158,62.428,62.995,63.176,63.741,64.644,64.726,64.927,65.385,66.078,66.02,66.161,66.47,67.221,67.271,67.35,67.684,68.104,68.153,68.362,68.641,69.583,69.996,70.349,70.698,72.321,72.344,73.168,73.527,74.299,74.327,74.794,75.247,77.158,77.376,77.717,79.845,82.24,82.459,82.87,83.118,85.08,85.691,86.243,86.712,89.609,90.122,91.026,91.356,93.767,94.254,94.319,94.57,96.627,97.309,97.622,98.507,100.257,101.423,101.976,100.565,100.411,99.538,99.746,100.306,101.986,102.617,102.869,103.348,104.726,105.976,106.254,105.815,106.464,106.754,106.857,107.221,108.061,108.243,108.584
"27","19","    Gross investment","B788RG3",28.163,28.771,28.898,29.315,29.908,30.424,30.841,31.311,31.756,32.286,32.572,32.883,36.961,37.022,37.559,38.189,38.292,38.969,39.658,39.961,40.796,41.305,42.353,42.935,43.755,44.495,45.119,45.832,46.594,47.307,48.111,48.817,49.956,50.687,50.784,51.798,52.99,53.744,54.571,55.056,55.814,56.865,57.916,58.696,59.628,61.251,62.061,63.486,64.842,66.23,67.522,68.766,69.939,71.292,72.117,72.545,73.131,73.473,74.407,74.776,75.398,75.755,76.094,76.59,76.23,75.628,75.826,75.239,74.445,74.427,74.05,73.339,73.445,72.985,72.809,72.938,73.659,74.02,74.248,74.876,75.358,75.805,76.38,76.09,76.78,77.206,77.911,78.346,78.951,79.338,79.813,79.953,79.893,80.417,80.671,81.532,81.903,82.314,82.711,83.489,83.61,84.874,85.085,85.861,86.686,87.391,87.85,88.441,90.231,87.899,87.774,87.686,88.029,88.5,88.498,88.332,88.017,88.369,88.338,89.049,89.608,89.952,89.881,90.624,90.98,91.002,91.334,91.505,91.018,90.973,90.688,89.986,90.061,90.092,90.318,90.463,90.59,90.996,91.522,91.879,92.147,92.533,92.676,93.372,93.929,94.32,94.569,95.223,95.633,95.865,96.205,96.511,97.127,97.481,98.046,98.375,99.181,99.765,100.314,100.608,100.177,99.865,99.705,100.254,100.551,101.018,101.102,101.969,103.002,103.401,103.795,103.375,103.933,104.343,104.396,104.068,104.433,104.839,105.007
"28","20","      Structures","B808RG3",10.295,10.714,10.639,10.786,11.018,11.349,11.483,11.899,12.232,12.51,12.569,12.946,12.926,13.118,13.887,14.635,15.527,16.214,16.709,17.073,17.393,17.833,18.809,19.793,20.303,20.078,20.125,20.414,20.367,20.518,21.346,22.379,22.921,23.601,23.105,23.205,23.277,24.088,24.728,24.628,26.736,28.089,29.593,30.002,29.829,30.202,31.339,32.328,32.414,32.669,32.825,33.183,33.623,34.361,34.497,34.478,34.199,34.155,35.121,35.461,37.133,36.834,36.767,37.74,38.102,38.415,38.368,38.251,38.241,38.06,38.086,39.106,39.558,39.915,41.024,40.5,40.373,40.924,42.042,43.95,43.875,44.454,45.333,46.181,46.014,46.112,46.484,46.725,46.946,47.255,48.727,48.032,47.973,48.295,48.684,49.931,50.86,51.462,51.853,52.309,52.55,52.925,53.802,54.539,55.046,55.57,56.038,56.429,56.638,56.989,57.639,57.781,58.225,58.748,59.29,59.95,59.992,60.275,61.01,61.519,61.945,62.889,63.51,64.194,64.624,65.634,66.352,66.902,67.657,68.132,68.839,69.522,69.601,70.136,70.524,71.022,72.124,72.376,72.647,73.002,73.735,75.38,77.731,79.865,80.791,82.703,85.051,87.03,88.501,90.963,92.465,94.302,95.946,97.141,98.179,99.131,100.322,101.439,102.084,102.308,101.908,100.145,99.054,98.894,99.367,99.141,99.51,100.003,100.649,101.656,102.552,103.375,103.967,104.746,105.612,106.114,106.694,107.55,108.106
