"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","3","  Goods","DGDSRJ2",1.17,1.14,0.89,0.75,1.74,3.59,2.37,1.15,1.55,1.75,2.64,3.11,2.06,0.75,0.49,0.51,0.42,-0.12,0.83,0.68,0.97,1.02,0.6,0.29,0.21,0.24,0.22,0.26,-0.03,-0.35,0.12,0.47,-0.02,-0.23,-0.03,0.34,0.48,0.32,0.27,0.68,-0.53,0.36,0.84,0.29,-0.11,-0.09
"13","4","    Durable goods","DDURRJ2",0.25,0.19,0.3,0.1,0.14,0.58,0.75,0.48,0.41,0.51,0.59,0.72,0.52,0.3,0.16,0.12,0.09,0.1,0.26,0.15,0.16,0.09,0.12,0.05,0.08,0.16,0.06,-0.09,-0.19,-0.24,-0.24,-0.16,-0.18,-0.23,-0.33,-0.17,-0.09,-0.14,-0.17,-0.15,-0.13,-0.1,-0.07,-0.1,-0.14,-0.19
"14","5","    Nondurable goods","DNDGRJ2",0.92,0.95,0.6,0.65,1.6,3,1.61,0.67,1.14,1.24,2.05,2.39,1.54,0.45,0.33,0.38,0.33,-0.22,0.57,0.53,0.81,0.94,0.48,0.24,0.13,0.08,0.16,0.35,0.16,-0.11,0.36,0.63,0.16,0,0.3,0.51,0.57,0.46,0.44,0.84,-0.4,0.46,0.91,0.38,0.03,0.1
"15","6","  Services","DSERRJ2",1.52,1.66,1.67,1.31,1.49,2.61,2.72,2.21,2.42,2.51,2.7,3.38,3.38,2.64,2.19,1.85,1.77,1.48,1.09,1.79,1.76,1.73,1.5,1.4,1.41,1.11,1.12,1.12,1.15,0.85,0.83,1.16,1.3,1.13,1.36,1.3,1.44,1.48,1.42,1.37,0.48,0.76,0.84,0.98,0.93,1
"16","7","Gross private domestic investment","A006RJ2",0.81,0.71,0.81,0.72,0.99,1.8,1.95,0.9,1.33,1.58,1.83,1.83,1.78,0.98,0.05,0.2,0.25,0.42,0.38,0.46,0.45,0.36,0.27,-0.01,0.19,0.25,0.27,-0.01,0.01,-0.14,0.03,0.28,0.18,0.07,0.22,0.58,0.81,0.74,0.35,0.18,-0.15,-0.12,0.19,0.2,0.28,0.31
"17","8","  Fixed investment","A007RJ2",0.79,0.7,0.79,0.71,0.96,1.7,1.94,0.92,1.3,1.54,1.75,1.8,1.72,1.03,0.07,0.18,0.27,0.45,0.37,0.49,0.45,0.37,0.28,0,0.19,0.24,0.27,0.01,0.03,-0.1,0.04,0.29,0.18,0.07,0.23,0.57,0.8,0.73,0.34,0.17,-0.15,-0.11,0.19,0.21,0.28,0.33
"18","9","    Nonresidential","A008RJ2",0.49,0.56,0.53,0.39,0.48,1.18,1.55,0.64,0.8,0.86,1.11,1.26,1.37,0.83,-0.02,0.04,0.15,0.24,0.15,0.32,0.3,0.27,0.23,-0.04,0.02,0.09,0.12,-0.08,-0.08,-0.22,-0.13,0.08,-0.04,-0.05,-0.02,0.17,0.36,0.37,0.27,0.24,-0.04,-0.11,0.17,0.18,0.13,0.15
"19","10","      Structures","B009RJ2",0.24,0.24,0.28,0.26,0.29,0.53,0.45,0.18,0.3,0.36,0.48,0.43,0.67,0.41,-0.13,0.04,0.11,0.08,0.06,0.15,0.14,0.11,0.06,0,0.08,0.09,0.11,0.07,0.11,0.13,0.09,0.12,0.16,0.12,0.09,0.18,0.31,0.33,0.19,0.17,-0.08,-0.03,0.07,0.09,0.08,0.07
"20","11","      Equipment","Y033RJ2",0.18,0.24,0.19,0.08,0.11,0.51,0.97,0.39,0.42,0.41,0.51,0.68,0.56,0.3,0.02,-0.06,0,0.14,0.04,0.09,0.13,0.13,0.1,-0.01,-0.07,-0.01,-0.08,-0.16,-0.2,-0.34,-0.29,-0.17,-0.21,-0.13,-0.1,-0.01,0.02,-0.02,0.02,0.01,0.07,-0.09,0.05,0.05,0.02,0.04
"21","12","      Intellectual property products","Y001RJ2",0.07,0.08,0.06,0.05,0.08,0.15,0.13,0.07,0.08,0.09,0.12,0.14,0.15,0.12,0.08,0.06,0.04,0.02,0.04,0.08,0.03,0.03,0.07,-0.03,0.02,0.01,0.08,0.01,0.02,-0.02,0.07,0.13,0.01,-0.04,-0.01,0,0.03,0.06,0.06,0.06,-0.03,0.02,0.05,0.04,0.03,0.04
"22","13","    Residential","A011RJ2",0.3,0.14,0.26,0.32,0.49,0.51,0.39,0.28,0.51,0.68,0.64,0.54,0.35,0.2,0.09,0.14,0.13,0.21,0.22,0.17,0.15,0.1,0.05,0.05,0.16,0.15,0.15,0.09,0.11,0.12,0.17,0.21,0.22,0.12,0.25,0.4,0.44,0.36,0.07,-0.06,-0.11,-0.01,0.02,0.02,0.14,0.18
"23","14","  Change in private inventories","A014RJ2",0.02,0.01,0.01,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.06,-0.05,-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.01,-0.01,0,0,-0.01,0.01,0.01,0.01,0.01,0,0,-0.01,0,0,0,-0.03
"24","15","Net exports of goods and services","A019RJ2",0.04,-0.09,-0.12,-0.14,-0.23,-1.11,0.18,0.04,-0.41,-0.15,-0.54,-1.36,0.17,0.38,0.39,0.16,0.11,-0.12,-0.44,-0.1,-0.09,-0.25,0.19,-0.06,0.1,0.01,-0.08,0.07,0.24,0.42,-0.16,-0.39,0.29,0.1,-0.27,-0.33,-0.48,-0.29,-0.21,-1.15,1.04,-0.35,-0.42,0.04,0.15,0.05
"25","16","  Exports","A020RJ2",0.17,0.21,0.2,0.24,0.77,1.62,0.83,0.27,0.32,0.48,0.99,0.94,0.72,0.04,0.03,0.07,-0.22,-0.12,0.16,0.4,0.15,0.05,0.11,-0.05,0.01,0.11,0.23,-0.15,-0.2,-0.26,-0.08,0.19,-0.06,-0.06,0.18,0.32,0.42,0.35,0.35,0.55,-0.67,0.49,0.82,0.12,0.01,0.02
"26","17","    Goods","A253RJ2",0.12,0.18,0.11,0.11,0.7,1.44,0.73,0.18,0.24,0.36,0.85,0.72,0.56,-0.06,-0.04,0.05,-0.28,-0.18,0.12,0.36,0.08,-0.06,0,-0.11,-0.04,0.08,0.17,-0.2,-0.23,-0.25,-0.1,0.13,-0.04,-0.05,0.13,0.24,0.24,0.26,0.26,0.41,-0.56,0.39,0.67,0.04,-0.04,-0.06
"27","18","    Services","A646RJ2",0.05,0.03,0.09,0.13,0.07,0.18,0.11,0.09,0.08,0.11,0.13,0.21,0.16,0.1,0.07,0.02,0.06,0.06,0.04,0.05,0.06,0.11,0.11,0.06,0.05,0.03,0.05,0.06,0.03,-0.01,0.02,0.06,-0.02,-0.01,0.05,0.08,0.17,0.1,0.09,0.14,-0.1,0.1,0.15,0.08,0.05,0.08
"28","19","  Imports","A021RJ2",-0.13,-0.3,-0.32,-0.38,-1,-2.73,-0.65,-0.23,-0.73,-0.63,-1.53,-2.29,-0.55,0.33,0.35,0.09,0.33,0,-0.6,-0.5,-0.23,-0.3,0.09,-0.01,0.08,-0.1,-0.31,0.21,0.43,0.68,-0.08,-0.59,0.35,0.16,-0.45,-0.65,-0.9,-0.65,-0.56,-1.7,1.71,-0.84,-1.24,-0.09,0.14,0.03
"29","20","    Goods","A255RJ2",-0.1,-0.25,-0.2,-0.32,-0.8,-2.47,-0.53,-0.17,-0.63,-0.5,-1.34,-2.05,-0.48,0.34,0.33,0.06,0.33,0.19,-0.58,-0.41,-0.24,-0.16,0.16,0.05,0.1,-0.07,-0.25,0.26,0.43,0.64,-0.01,-0.6,0.34,0.2,-0.33,-0.57,-0.83,-0.58,-0.49,-1.55,1.66,-0.79,-1.18,-0.09,0.15,0.06
"30","21","    Services","B656RJ2",-0.03,-0.05,-0.12,-0.07,-0.2,-0.26,-0.12,-0.06,-0.1,-0.13,-0.19,-0.24,-0.07,0,0.03,0.03,0,-0.18,-0.03,-0.09,0.01,-0.14,-0.07,-0.05,-0.02,-0.04,-0.06,-0.05,0,0.04,-0.07,0.01,0.01,-0.03,-0.12,-0.08,-0.07,-0.07,-0.07,-0.15,0.05,-0.05,-0.06,0,-0.01,-0.03
"31","22","Government consumption expenditures and gross investment","A822RJ2",1.39,1.85,1.83,1.69,1.45,2.07,2.06,1.2,1.3,1.32,1.63,2.09,2,1.35,0.82,0.84,0.64,0.37,0.58,0.67,0.79,0.85,0.75,0.65,0.48,0.52,0.55,0.39,0.35,0.3,0.61,0.76,0.52,0.46,0.72,0.86,0.97,0.83,0.84,0.85,-0.06,0.57,0.61,0.3,0.24,0.21
"32","23","  Federal","A823RJ2",0.67,0.98,0.96,0.96,0.71,0.81,0.89,0.62,0.57,0.59,0.66,0.9,0.92,0.69,0.34,0.39,0.22,0.06,0.08,0.31,0.26,0.3,0.35,0.23,0.19,0.21,0.24,0.12,0.11,0.08,0.16,0.21,0.11,0.21,0.29,0.25,0.31,0.24,0.22,0.23,-0.02,0.22,0.23,0.07,0.09,0.07
"33","24","    National defense","A824RJ2",0.52,0.71,0.73,0.81,0.51,0.57,0.57,0.43,0.41,0.42,0.45,0.64,0.63,0.5,0.25,0.29,0.12,0.01,0.06,0.21,0.19,0.23,0.22,0.18,0.09,0.13,0.15,0.08,0.06,0.05,0.1,0.13,0.07,0.14,0.21,0.16,0.21,0.16,0.14,0.16,-0.04,0.13,0.16,0.06,0.04,0.05
"34","25","    Nondefense","A825RJ2",0.15,0.26,0.23,0.15,0.19,0.23,0.32,0.19,0.16,0.17,0.21,0.27,0.28,0.19,0.09,0.1,0.09,0.04,0.02,0.09,0.08,0.07,0.13,0.05,0.1,0.08,0.09,0.04,0.04,0.03,0.06,0.08,0.04,0.07,0.08,0.09,0.09,0.07,0.08,0.07,0.02,0.09,0.08,0.01,0.05,0.02
"35","26","  State and local","A829RJ2",0.72,0.87,0.87,0.73,0.74,1.26,1.17,0.59,0.73,0.73,0.97,1.18,1.08,0.66,0.48,0.45,0.42,0.31,0.5,0.36,0.53,0.55,0.4,0.42,0.29,0.3,0.31,0.26,0.25,0.23,0.45,0.56,0.41,0.25,0.42,0.61,0.66,0.59,0.62,0.62,-0.04,0.34,0.38,0.23,0.15,0.15
