"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",22099,22340,22863,23659,23637,24506,24749,24930,25173,25956,26744,27354,28135,28392,29377,30274,30964,32070,33492,34428,35787,36195,36404,36022,36702,36906,37718,39327,40600,40972,40998,42056,41826,43950,46055,47666,48536,49950,51710,52864,54224,55325,57122,58498,60611,61161,62420,63590,64700,64777,66078,67617,66142,67362,65002,62238,61067,58493,59413,61486,64278,65056,66211,66708,68706,69167,70796,72982
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",15846,15896,16121,16559,16400,17038,17225,17440,17704,17920,18397,18828,19126,19064,19219,19891,20183,20667,21488,22143,22711,23120,23115,22482,22978,22910,23039,23532,24258,24141,23963,24485,24229,25300,25872,26503,26797,27071,27923,28160,28339,28683,29357,29721,30306,30163,30289,30036,30447,30102,30036,29808,28615,28469,26783,25425,24217,23563,23642,23999,24937,25100,25496,25573,25869,25718,26087,26793
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",9125,9145,9314,9478,9390,9762,9756,9857,10097,10137,10424,10756,10910,10829,10851,11114,11298,11397,11845,12177,12452,12841,12817,12419,12647,12662,12769,13098,13380,13291,12994,13188,12799,13204,13457,13828,13960,14170,14586,14850,14873,15114,15643,15697,15787,15578,15796,15684,15800,15665,15561,15518,14974,14764,13843,13078,12746,12203,12379,12647,13142,13301,13509,13657,13769,13645,13810,14052
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",6703,6734,6788,7066,6995,7259,7459,7573,7593,7772,7961,8055,8201,8222,8358,8770,8878,9268,9641,9964,10259,10274,10292,10058,10327,10244,10265,10429,10874,10846,10966,11295,11429,12097,12417,12678,12839,12903,13338,13309,13465,13568,13714,14024,14520,14587,14493,14353,14649,14438,14477,14291,13642,13706,12942,12349,11470,11362,11263,11351,11794,11799,11987,11916,12100,12073,12275,12739
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",7508,7648,7898,8233,8295,8584,8660,8677,8713,9156,9469,9678,10082,10306,10952,11238,11593,12154,12753,13075,13790,13848,14018,14136,14350,14567,15163,16177,16730,17149,17313,17836,17835,18871,20323,21273,21832,22928,23832,24728,25889,26641,27763,28777,30320,31036,32212,33730,34446,34931,36428,38397,38228,39784,39275,37896,38154,36059,37029,38973,40954,41645,42454,42937,44918,45715,47164,48781
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",45762,45011,45880,47714,47515,48861,49497,49685,50426,50935,52014,53012,54017,55629,56588,59310,60245,60013,60122,63070,64947,63207,64086,64977,66804,68315,67035,68341,69884,71190,71013,71356,71826,74014,76111,76411,77017,78432,79108,81609,82959,84886,85162,87453,92484,88215,86742,86692,86212,84341,83898,82881,81036,81412,80550,75366,72826,71758,70608,69620,71016,75469,74684,77585,75967,77717,78540,80386
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",39339,38651,39170,41029,41056,42143,42490,42544,43064,43670,44248,45001,45766,47173,48415,50438,51469,51384,51450,54079,55475,55073,55469,56035,57707,58701,58595,59974,60973,62315,62371,62768,63199,65262,67317,68080,68403,70119,70526,72782,74246,75915,76404,78694,83735,79189,77755,77708,77212,75988,75108,73748,72179,72405,70961,66136,63946,62971,62584,61216,61153,63511,62460,63849,62412,63871,64710,65802
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",6430,6368,6725,6699,6478,6735,7016,7145,7364,7270,7771,8018,8260,8466,8170,8881,8772,8618,8663,8974,9468,8085,8577,8904,9061,9574,8403,8331,8876,8838,8606,8552,8591,8720,8768,8323,8596,8314,8576,8822,8713,8971,8759,8759,8747,9028,8988,8983,8995,8374,8778,9082,8816,8955,9458,9077,8736,8638,7956,8272,9568,11483,11714,13096,12917,13196,13188,13886
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",128414,127179,126986,127228,127169,126816,126509,126078,126538,126130,126758,126675,126109,126448,126910,127307,127625,128375,128581,129727,127208,128877,128096,128949,128717,129184,129202,129919,128776,126792,126988,127690,128363,127496,128149,126800,127911,127511,127923,128539,129977,129916,130574,131225,131490,132679,132739,134602,134062,133140,133183,133850,132628,131831,130355,128478,127751,128659,129276,129891,130290,129630,130171,131400,131947,132539,132161,131439
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",117336,116271,115910,115966,115751,115473,115264,114998,115278,114874,115241,115107,114414,114750,115165,115542,115969,116573,116936,117836,115177,116646,115686,116546,116151,116707,116751,117360,116271,114251,114452,115196,115926,114918,115273,113812,114787,114294,114749,115429,116764,116536,117138,117614,117585,118869,118822,120381,119800,118909,118919,119488,118629,117626,116013,114384,113708,114591,115217,115830,116039,115326,115927,116972,117494,118096,117687,116777
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",3965,3842,3911,3994,3975,3943,3858,3889,3962,3833,4012,3934,3945,3992,3944,3893,3903,3914,3796,3917,3979,4059,4049,4016,4139,4132,4178,4170,4092,4196,4301,4312,4272,4345,4415,4418,4540,4546,4491,4401,4471,4551,4495,4443,4488,4380,4441,4626,4570,4429,4463,4617,4322,4419,4424,4263,4266,4387,4362,4326,4345,4347,4332,4383,4245,4209,4120,4259
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",7150,7101,7197,7297,7468,7426,7413,7220,7326,7448,7528,7654,7766,7724,7817,7888,7772,7905,7869,7992,8063,8183,8364,8391,8430,8351,8281,8395,8417,8348,8241,8190,8174,8240,8463,8570,8584,8670,8684,8709,8743,8829,8941,9168,9418,9431,9478,9596,9694,9806,9806,9746,9679,9792,9934,9851,9794,9694,9706,9745,9920,9974,9926,10062,10227,10253,10381,10437
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",29557,30050,30140,30551,31065,31696,32017,32087,32246,31770,33152,33798,34769,35554,35429,36394,37757,38573,38791,39212,39696,40910,41620,41787,41061,41354,41106,42050,43283,43425,43274,44960,44984,46353,47602,48300,49670,49101,49548,50816,51734,53149,52767,54902,55734,55875,56689,57582,58072,58342,58964,58653,58058,58814,57194,54041,53787,52912,53521,53373,54898,55558,55586,56846,57559,58210,57331,57402
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",20671,20715,20865,21023,21270,21699,22000,22108,22247,21955,23095,23482,24114,24741,24628,25176,26210,26848,26828,26861,27392,28397,28825,29262,28811,29153,29060,29858,30512,30713,30689,32033,32069,33125,33933,34314,35472,35119,35611,36599,37308,38354,38323,39764,40214,40536,41218,42142,42893,43054,43601,43476,43077,43852,42619,41103,41269,40309,40802,40999,41995,42738,42587,43895,44290,44614,43801,44276
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",4794,5065,5011,5097,5166,5278,5286,5263,5329,5199,5313,5371,5540,5502,5486,5700,5775,5838,5833,5816,5906,5877,6001,5966,5814,6032,5979,5968,6175,6087,5993,6075,6068,6222,6428,6406,6496,6406,6358,6405,6488,6687,6632,6968,6929,6957,7154,7199,6959,6915,6965,6800,6712,6948,6730,6369,6232,6082,6195,6146,6386,6434,6469,6584,6599,6626,6655,6760
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",4166,4352,4343,4505,4694,4787,4800,4784,4744,4685,4809,5007,5179,5367,5370,5578,5826,5938,6179,6584,6445,6672,6833,6588,6462,6204,6100,6250,6623,6648,6610,6865,6859,7018,7254,7590,7707,7581,7580,7811,7939,8109,7813,8168,8587,8379,8319,8254,8246,8396,8426,8408,8298,8068,7891,6719,6476,6667,6678,6420,6694,6598,6717,6611,6883,7145,7035,6620
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",78028,79276,80333,80212,80334,82394,83464,84661,85324,85053,87454,88124,90051,91636,92057,94260,97790,98336,99986,101866,102510,104183,105918,107612,108146,109475,111144,113890,114982,116068,116055,118668,120347,122532,126223,126682,128974,129460,131378,134251,136614,139435,140982,143707,145310,146297,147215,149797,152271,152770,155282,156371,156277,159452,157795,156756,156915,156562,157894,160988,164620,165458,167561,170108,170988,172749,174122,175701
"32","24","S1 QN4521ZZMG     Department stores","T060240",50215,50822,51534,51143,50945,52192,52787,53542,53723,53396,54734,55018,55253,55536,55173,56086,57770,57286,57602,57578,57604,57975,57812,58591,57474,57099,57287,57500,57129,56608,55524,55848,55136,55649,56707,55922,56342,55886,56700,57203,57382,57761,57167,57927,57961,57396,56956,57127,57581,56840,57148,56328,55122,55663,54225,53023,51793,51583,51725,52258,53197,52980,52978,53628,53578,53768,53025,52853
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",26461,27115,27435,27758,28121,28910,29381,29805,30310,30392,31444,31840,33632,35001,35857,37173,39028,40139,41525,43524,44169,45508,47490,48406,50164,51940,53459,56055,57567,59227,60349,62675,65119,66804,69453,70721,72603,73557,74661,77037,79228,81676,83818,85781,87345,88888,90239,92640,94651,95872,98058,99932,101003,103610,103350,103473,104809,104665,105841,108377,111049,112079,114147,116029,116937,118482,120525,122234
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",171723,174801,177426,180500,180614,184400,186140,189713,191132,193269,195627,196876,201662,206532,210383,214652,220158,219112,220137,226260,226015,226364,228783,232729,230669,230174,230603,236045,241357,241852,242341,243371,240776,247754,249719,253473,254177,256882,258197,260384,264427,268045,265331,269278,276152,278265,277414,283372,284685,283389,283887,284034,280764,281454,275195,275994,277603,275835,272954,276769,280123,288497,291247,294814,294475,295942,297917,302389
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",33201,33772,33820,34377,34524,35448,35902,36710,37279,37481,38443,38888,39559,40146,41046,41744,42333,42835,42906,44273,44178,45118,45697,46478,46376,46678,46757,47597,48406,48902,49185,49385,49939,50611,51774,52351,51444,51591,51754,52093,53155,53452,53566,53773,54198,54588,55141,56709,57100,57612,58037,57527,57862,58522,58897,58621,58588,58632,58378,58666,58340,59229,59781,60398,60790,60316,60879,60624
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",82450,83687,84608,85269,85126,85167,85518,85578,85977,87713,87595,87126,90354,92972,92821,95308,98704,93454,92738,94343,91436,89046,89162,91709,91576,91577,92595,96397,99911,97185,96375,95658,92306,96965,93791,94845,95629,98500,97027,97061,97581,99541,95530,95940,97957,99108,97009,98599,98419,96201,95713,97083,96228,95097,91060,95359,96502,94878,90507,91682,91690,95562,94077,93356,90258,90670,89960,90780
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",14476,14600,15001,15089,15208,15180,15549,15905,15629,15742,15819,16378,16473,16926,16962,17193,17732,18045,18264,18629,18799,19481,19387,18832,19246,19226,19271,19919,19722,19642,19688,20248,19735,20057,20422,20484,20847,20404,21014,20979,21317,21425,21293,21928,22832,22419,22332,22367,22449,23119,23534,23481,23224,23663,23316,22307,22442,22406,22665,22360,23009,23347,23666,24151,24516,24778,24965,24987
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",8986,9111,9266,9486,9544,9381,9735,10035,9703,9860,9925,10165,10277,10726,10650,10824,11263,11473,11695,11875,12209,12608,12743,12355,12594,12680,12711,13305,13145,13105,13216,13819,13361,13590,13956,14138,14320,13989,14601,14626,14878,15127,15068,15550,16501,16088,16347,16460,16637,17373,17617,17636,17562,18050,17864,17206,17378,17317,17550,17568,18127,18481,18827,19374,19589,19943,19984,20405
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",5628,5614,5892,5713,5778,5955,5938,5976,6073,6007,6016,6367,6338,6307,6441,6493,6576,6679,6662,6859,6656,6949,6688,6523,6705,6586,6600,6638,6603,6562,6491,6436,6386,6479,6474,6348,6531,6420,6415,6354,6440,6299,6224,6377,6332,6332,5988,5912,5822,5765,5934,5865,5688,5650,5493,5150,5119,5141,5170,4868,4964,4958,4941,4894,5039,4960,5099,4727
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",20387,21013,21220,21370,20992,22918,22799,23175,24205,23575,24246,24851,25661,25625,26552,27124,27236,27096,26922,28829,29083,27928,27736,27642,27268,27260,26959,26845,26995,27261,27609,27009,27012,27453,27756,28001,27902,28056,27721,28403,28686,28891,29189,29694,31118,30617,30286,31496,31251,31580,31403,30811,30711,29668,29086,27466,27240,26590,26417,26858,27327,28398,28971,29632,29939,30497,31505,31350
"41","33","S3 QN4531ZZMG       Florists","T060330",1757,1832,1774,1755,1892,1949,1949,2033,2008,2011,2089,2121,2043,2044,2156,2191,2196,2184,2225,2214,2240,2158,2260,2245,2169,2123,2058,1963,2080,2027,1946,1851,1886,1799,1816,1840,1690,1771,1773,1721,1741,1863,1895,2023,1993,1975,1885,1960,2027,1933,1960,1939,1945,1858,1912,1694,1620,1619,1571,1619,1544,1643,1676,1721,1776,1672,1724,1740
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",6607,6837,7051,7224,6661,7005,7376,7449,7866,7481,7501,7626,8138,8168,8506,8709,9082,9012,9020,9534,9812,9791,9773,9708,9475,9437,9307,9271,9412,9396,9608,9564,9357,9606,9645,9710,10104,10111,10113,10060,10216,10673,10736,10892,11139,11119,11410,11872,11570,11434,11411,11259,11139,11027,10742,10192,10279,10216,10152,9949,10069,10283,10331,10505,10756,10869,10899,11117
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",1563,1685,1669,1644,1617,2044,1747,1775,2033,1785,1980,2191,2180,2156,2306,2388,2308,2338,2280,2508,2479,2523,2502,2398,2413,2408,2429,2403,2567,2484,2475,2298,2479,2334,2339,2327,2288,2364,2441,2437,2403,2354,2416,2519,2751,2759,2631,2765,2927,2779,2746,2827,2778,2866,2793,2636,2666,2605,2753,2810,2946,3071,3320,3634,3774,3926,4107,4317
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",10646,10812,10853,10848,11050,12200,11939,12144,12467,12574,12989,13216,13554,13500,13800,14045,13771,13683,13504,14715,14650,13431,13156,13270,13212,13307,13180,13233,12915,13373,13594,13299,13307,13739,13993,14166,13832,13816,13385,14197,14334,13999,14139,14256,15223,14761,14375,14919,14746,15420,15278,14789,14843,13944,13670,12964,12718,12229,12034,12507,12777,13381,13616,13767,13687,14048,14717,14235
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",27281,27825,28720,30138,30444,30850,31404,32871,32602,33665,34109,33799,34323,35842,37271,37895,39273,40764,41955,42537,43934,45564,47400,49012,47339,46653,46477,47296,48924,50479,50783,52057,52241,53614,55980,57779,58470,58783,60871,61941,63680,64746,65724,67970,70115,71545,72875,74494,75836,75487,75895,75496,72982,75032,74087,72610,73308,73756,75512,77723,80526,82599,85722,88652,91250,92057,93556,97887
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",11240,11786,12440,13040,13293,13707,14127,14782,15090,16014,16382,16697,17519,18122,18900,19431,20313,21236,22469,23398,24827,25851,27023,28267,26609,27007,26994,27590,28573,29008,29597,30367,31292,32600,34277,35412,37065,37932,39191,40617,42484,44064,45697,47434,50167,50946,52483,54757,55405,55872,56746,57162,55296,57643,57082,55146,55575,56439,58755,61017,64032,66250,69145,71897,74353,75908,77240,80993
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",2270,2254,2133,2254,2178,2294,2528,2514,2599,2363,2297,2413,2342,2396,2409,2443,2451,2465,2467,2419,2544,2602,2494,2363,2200,2154,2204,2295,2319,2218,2155,2110,1898,1886,1956,2038,1966,1997,1967,1969,1981,1924,1847,1939,1995,1899,1921,1844,1846,1742,1734,1526,1403,1428,1369,1295,1239,1212,1193,1122,1131,1135,1134,1134,1141,1150,1156,1194
"48","40","S4 QN4543ZZMG       Direct selling establishments","T060400",16513,16383,16685,17514,17613,17378,17197,18153,17232,17488,17582,16536,16030,17071,17762,17716,18171,18713,18380,17801,17405,17968,18763,19217,19558,18253,17999,18087,18724,20186,19815,20374,19639,19616,20194,20787,19667,18969,19863,19435,19244,18748,18167,18591,18009,18738,18553,18048,18720,18054,17644,17121,16597,16471,16196,16565,16929,16606,16169,16285,16192,16143,16464,16741,16984,16462,16673,17329
"49","41","S1 QN722ZZZMG Food services and drinking places","T060410",79876,80571,80981,80753,80856,81381,81745,82852,83862,83931,85265,84422,85511,86635,86970,88352,87580,88409,88465,90748,92388,92780,92982,92510,93744,93064,93188,93466,94580,94946,95011,94858,95506,97526,99294,100125,100773,100675,101427,102633,103135,104656,104848,106196,108260,107439,108114,110364,109724,110158,110328,110905,108680,108990,107987,106388,105086,103842,103149,103238,104526,105406,105653,106442,108058,108382,109218,110983
"50","42","S4 QN7221ZZMG   Full-service restaurants","T060420",34189,34515,34754,34289,34377,34906,35512,36396,37352,37205,38121,37742,37970,38283,38258,39021,38689,39288,39231,40033,40737,40772,40743,40945,41185,41049,41508,41745,42465,42471,42294,42575,42953,44241,45102,44992,45505,45190,45818,46188,46430,46836,46949,47574,48154,47888,48386,50098,49642,49454,48970,49375,48086,47955,47194,46894,46671,45534,45543,45734,46121,46975,46810,47161,48333,48840,49732,50643
"51","43","S4 QN7222ZZMG   Limited-service eating places","T060430",35387,35310,35478,35676,35766,35843,35519,35529,35461,35894,35905,35540,36248,36926,37232,37578,37147,37144,37222,38213,38598,38981,39055,38851,39623,39087,38958,39122,39351,39695,40038,39534,39714,40462,40877,41974,41990,42366,42517,43074,43374,44130,44089,44522,45528,45006,45207,45395,44919,45520,46095,46197,45529,45761,45418,45008,44224,44123,43541,43471,44435,44468,44935,45348,45801,45724,45783,46261
"52","44","S4 QN7223ZZMG   Special food Services","T060440",6000,6366,6230,6211,6207,6183,6237,6432,6640,6377,6683,6635,6744,6881,6914,7189,7155,7344,7508,7806,8178,8148,8448,8130,8321,8397,8010,7749,8001,8010,7950,8070,8147,8042,8532,8354,8494,8447,8495,8780,8782,9068,9136,9369,9782,9718,9737,10041,10364,10378,10445,10636,10559,10670,10689,9929,9668,9635,9646,9578,9405,9458,9341,9284,9276,9221,9145,9497
"53","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",4310,4393,4537,4596,4522,4464,4493,4511,4422,4470,4573,4520,4563,4557,4579,4573,4600,4641,4510,4702,4879,4884,4738,4584,4617,4530,4714,4856,4764,4772,4731,4680,4691,4781,4779,4806,4783,4673,4597,4591,4549,4622,4673,4732,4795,4827,4784,4827,4797,4804,4818,4697,4508,4606,4688,4554,4522,4542,4417,4454,4557,4501,4559,4640,4640,4591,4554,4582
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",546520,550385,555980,562342,563037,572501,576756,582409,587085,589547,600196,604027,614295,624692,631591,644789,656768,660360,665767,681334,685280,689547,695085,701535,703035,705941,707792,721119,731550,733494,733901,741693,742583,758671,772648,778953,786758,791701,799126,811045,823062,835439,836809,851216,869967,869864,871152,885895,889519,886690,891146,893627,882913,888164,873028,859315,855252,848828,847291,855403,868946,884192,889959,902533,905857,912554,917449,928098
"56","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",467580,470778,475910,482340,482934,491759,495619,500212,503930,506285,515589,520100,529251,538501,545009,556791,569351,572136,577431,590735,593140,597000,602291,609106,609449,612961,614683,627674,636989,638571,638915,646840,647091,661157,673367,678840,685996,691031,697702,708414,719926,730782,731962,745021,761713,762439,763046,775526,779820,776530,780830,782732,774280,779230,765065,752915,750212,745067,744273,752394,764701,779185,784767,796644,798226,804647,808685,817524
"57","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores \1\","T060480",149356,151636,153959,155570,155717,159656,161991,163798,165037,165029,169694,172393,176725,179749,181628,186165,192547,195443,199122,203301,206444,210336,212809,213527,214262,215997,218174,224142,227777,229279,229418,235285,235977,242326,249814,252777,258062,259002,263764,268963,274103,280007,282903,289926,295602,296844,300012,305146,309005,310399,315197,317190,314752,320214,314096,305758,304852,301219,304239,308544,317085,319875,323419,328512,332455,335758,337710,341368
