"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","  Foods, feeds, and beverages","B638RG3",23.816,23.759,23.662,23.117,23.708,24.033,24.65,25.357,26.047,26.295,26.409,25.674,25.979,26.566,27.029,29.103,33.851,38.596,46.667,50.878,56.605,56.364,56.373,63.268,62.354,56.751,54.411,53.405,51.889,51.18,51.887,51.205,53.372,55.812,48.631,47.433,51.515,54.475,55.594,54.713,57.773,59.064,62.899,62.441,62.263,60.261,63.632,69.365,71.427,69.593,64.936,61.987,62.179,60.724,57.691,55.803,58.056,59.793,62.387,66.261,65.964,66.55,62.716,58.932,57.689,57.125,54.266,55.016,53.686,53.033,50,51.267,49.841,52.284,50.537,55.755,55.416,62.151,69.909,66.407,68.181,67.438,64.221,62.428,62.246,63.428,61.24,59.06,60.858,61.824,60.572,62.342,62.24,62.159,60.023,59.761,60.448,60.592,62.501,63.552,65.484,64.535,62.309,63.185,64.298,66.718,71.473,74.998,76.687,82.16,79.149,72.521,72.698,72.897,71.228,69.708,66.828,65.757,64.634,63.73,63.171,62.573,61.85,61.308,61.381,62.798,60.729,61.895,61.949,61.526,63.183,61.406,61.155,61.904,65.401,65.868,66.313,68.258,69.098,73.619,75.983,81.263,74.419,71.924,72.922,75.665,76.342,75.209,74.731,75.787,78.907,81.725,85.7,88.171,92.398,99.328,106.933,115.832,117.878,99.814,96.639,102.538,100.998,99.826,100.029,99.837,103.27,112.693,120.521,123.187,124.341,120.88,121.856,126.032,135.398,136.146,135.767,132.733,131.564,128.537,130.251
"12","4","  Industrial supplies and materials","B639RG3",18.283,18.294,18.596,18.984,19.028,19.593,19.651,19.775,19.788,19.853,20.09,19.606,20.068,20.305,20.537,20.934,21.783,22.553,24.102,26.058,29.51,32.867,36.926,39.571,40.76,39.117,38.417,37.676,38.583,39.078,38.706,39.412,40.042,40.504,40.933,40.717,40.927,41.226,42.239,45.327,47.838,50.911,51.761,55.1,58.245,57.75,57.247,57.756,59.747,59.935,60.07,59.79,59.459,58.83,57.38,56.61,56.183,56.061,56.186,57.243,57.822,59.083,58.321,57.497,56.259,55.92,55.129,54.608,53.577,52.472,52.068,53.025,55.534,58.335,60.013,61.426,63.265,65.941,65.79,65.666,66.754,67.06,65.979,65.718,66.02,65.543,66.82,69.575,67.88,65.385,64.225,63.945,62.686,63.313,64.216,63.888,63.863,64.386,63.824,63.382,64.433,66.177,69.129,72.55,76.715,78.962,77.416,75.293,74.377,73.531,73.087,73.193,73.386,73.341,73.448,72.796,71.175,70.16,68.585,67.423,66.743,67.218,69.027,70.541,72.289,73.631,74.476,74.669,73.956,72.816,71.068,68.776,68.094,69.822,71.427,71.975,74.782,74.922,75.135,76.584,79.803,82.457,85.314,88.717,91.326,93,94.716,97.706,99.138,103.298,106.183,104.838,106.13,110.48,111.908,116.214,120.006,128.726,132.925,108.675,96.072,97.193,101.047,105.688,109.36,113.88,113.954,120.798,129.561,136.778,137.341,132.998,133.935,131.845,129.258,129.743,130.33,127.309,128.238,128.425,131.005
"13","5","    Durable goods","B686RG3",17.716,17.73,18.036,18.393,18.433,18.966,19.02,19.144,19.154,19.219,19.463,18.976,19.454,19.701,19.902,20.541,21.136,21.874,23.359,25.21,28.491,31.685,35.607,38.2,39.428,37.873,37.219,36.508,37.382,37.839,37.456,38.176,38.781,39.211,39.647,39.422,39.631,39.889,40.882,43.877,46.32,49.306,50.135,53.384,56.431,55.964,55.453,55.933,57.877,58.063,58.196,57.909,57.566,56.967,55.572,54.835,54.443,54.321,54.444,55.424,55.995,57.199,56.493,55.746,54.607,54.113,53.734,53.946,54.875,54.595,55.082,55.463,56.417,58.092,61.805,63.483,65.345,67.573,68.03,68.44,69.013,69.547,69.338,68.539,68.3,68.354,69.377,69.065,69.1,68.134,67.946,67.466,67.539,68.62,70.301,70.612,72.297,74.446,73.968,73.475,74.745,75.377,76.33,78.567,81.489,82.331,81.863,80.996,80.425,79.395,77.846,77.722,78.468,78.532,78.552,77.022,76.08,75.541,74.467,73.616,72.947,72.651,72.854,73.467,74.068,74.943,75.162,74.92,74.031,73.635,73.643,72.794,72.702,73.448,74.25,74.46,75.57,76.434,77.201,78.692,82.334,85.389,88.696,90.919,93.889,94.41,93.81,96.853,100.917,106.147,109.007,110.319,111.325,114.357,113.102,115.18,117.267,120.849,122.246,103.379,96.549,96.534,100.769,106.148,108.14,111.036,110.975,115.572,120.719,123.611,126.005,122.888,122.123,120.998,119.172,120.712,119.139,116.756,115.501,116.982,116.235
"14","6","    Nondurable goods","B687RG3",18.378,18.388,18.682,19.086,19.132,19.709,19.768,19.891,19.905,19.969,20.201,19.723,20.172,20.402,20.647,20.908,21.889,22.666,24.232,26.224,29.733,33.143,37.231,39.876,41.031,39.359,38.641,37.892,38.807,39.316,38.954,39.647,40.283,40.755,41.177,40.968,41.176,41.494,42.507,45.611,48.13,51.216,52.069,55.419,58.582,58.076,57.584,58.103,60.097,60.285,60.42,60.145,59.822,59.185,57.722,56.944,56.505,56.384,56.509,57.591,58.168,59.444,58.665,57.815,56.546,56.274,55.311,54.498,52.685,51.246,50.496,51.676,54.823,58.108,58.876,60.161,61.973,64.848,64.391,64,65.347,65.535,64.028,64.038,64.623,63.865,65.262,69.57,67.007,63.746,62.085,61.905,60.009,60.422,60.959,60.33,59.498,59.266,58.669,58.254,59.195,61.436,65.298,69.273,74.04,76.992,74.902,72.156,71.07,70.31,70.437,70.657,70.565,70.464,70.62,70.427,68.456,67.192,65.359,64.034,63.347,64.226,66.889,68.893,71.296,72.912,74.109,74.528,73.885,72.317,69.636,66.624,65.686,67.898,69.899,70.612,74.215,74.002,73.945,75.371,78.38,80.833,83.463,87.427,89.849,92.089,95.02,98.012,98.005,101.616,104.531,101.745,103.176,108.226,111.108,116.628,121.338,132.828,138.572,111.425,95.82,97.513,101.191,105.477,109.963,115.281,115.414,123.355,133.871,143.183,142.854,137.934,139.666,137.118,134.175,134.185,135.751,132.435,134.325,133.954,138.026
"15","7","  Capital goods, except automotive","B640RG3",80.202,79.382,80.058,84.425,85.374,87.009,84.796,84.467,87.833,86.687,82.586,86.017,87.119,86.383,85.315,86.056,85.745,88.254,87.876,91.309,95.582,96.114,101.527,103.857,109.832,115.478,117.594,121.07,122.107,125.015,125.363,129.612,127.339,127.679,130.783,133.086,132.426,135.696,134.078,140.796,138.937,144.488,146.176,143.304,146.23,152.696,158.649,164.664,167.803,169.584,172.092,174.458,175.522,176.222,176.01,175.163,173.405,171.898,169.405,168.179,168.459,166.853,164.737,162.405,158.916,156.63,153.909,151.496,149.632,148.386,148.237,147.956,145.163,144.063,142.978,143.809,145.557,145.604,145.429,145.443,145.796,144.92,144.139,142.116,139.468,139.166,139.522,139.02,139.909,139.807,137.797,136.905,136.35,134.685,133.023,131.847,131.214,130.745,129.842,129.176,128.55,127.921,126.852,125.028,123.905,122.394,120.722,119.131,117.201,114.68,112.519,110.028,109.008,108.257,107.668,106.902,106.098,105.391,104.34,103.99,103.766,103.44,102.815,102.95,102.485,102.752,103.237,103.244,103.395,103.316,102.786,102.443,102.318,101.889,101.692,101.332,101.069,100.945,100.316,99.917,99.654,100.179,100.317,100.575,100.611,100.556,100.494,100.195,100.477,100.921,101.405,101.887,101.238,100.471,99.933,99.495,99.28,99.915,100.31,100.489,99.933,99.474,99.878,100.715,100.487,100.522,100.526,100.9,100.983,101.323,101.614,101.622,102.062,102.292,102.146,102.415,103.045,102.77,102.767,102.997,103.12
"16","8","    Civilian aircraft, engines, and parts","B688RG3",13.773,13.901,14.067,14.315,14.437,14.688,14.859,15.076,15.251,15.427,15.47,15.556,15.597,15.552,15.682,15.94,16.071,16.204,16.466,16.771,17.417,18.142,18.641,18.919,19.015,19.083,19.423,19.952,20.797,21.589,22.237,22.831,23.195,23.574,24.057,24.566,25.05,25.561,26.203,26.814,27.483,28.151,28.985,29.894,30.815,31.823,32.715,33.492,34.037,34.684,35.418,36.393,37.495,38.15,38.681,39.397,39.944,40.287,40.588,40.943,41.23,41.424,41.634,41.899,42.211,42.416,42.635,42.933,42.932,43.25,43.312,43.484,42.177,42.337,42.428,42.553,42.807,43.534,43.946,44.383,44.938,45.502,45.982,46.32,47.095,47.995,48.541,48.965,50.771,52.237,52.83,52.823,53.373,53.63,54.029,54.208,54.781,55.211,55.383,55.784,56.437,56.76,57.127,57.41,58.208,58.706,59.032,59.53,60.168,60.887,61.719,62.09,63.004,62.973,63.527,63.733,63.909,64.069,64.031,64.478,65.166,65.383,65.504,66.107,67.018,68.302,69.526,70.46,71.53,72.511,73.28,73.701,74.07,74.338,75,75.613,76.347,76.827,77.738,78.25,78.54,79.301,80.647,81.568,82.85,83.281,83.696,84.402,85.891,86.778,87.185,88.09,89.72,90.349,91.261,92.307,93.302,94.578,95.759,97.517,100.103,99.785,99.598,100.513,101.377,102.027,103.081,104.098,105.007,105.873,106.797,107.812,108.418,109.051,109.868,110.159,110.503,111.003,111.802,112.352,113.308
"17","9","    Computers, peripherals, and parts","B850RG3",11109.826,10926.014,10816.043,10554.457,10342.611,9884.146,9476.567,9204.325,8902.988,8536.462,8246.199,7847.402,7511.563,7339.246,7144.132,6908.149,6886.194,6738.913,6391.449,5996.065,5569.844,5209.698,4950.085,4784.497,4788.025,4772.131,4683.24,4532.724,4328.867,4149.256,3976.106,3843.076,3729.396,3603.293,3456.254,3301.381,3166.476,3035.324,2915.65,2788.49,2729.946,2649.073,2528.997,2390.686,2252.681,2107.213,1986.54,1913.505,1910.303,1911.301,1900.226,1882.281,1854.124,1820.774,1767.03,1716.048,1594.713,1495.138,1391.865,1317.317,1260.18,1199.681,1134.135,1079.454,1042.98,999.791,954.255,900.814,857.633,833.551,831.648,809.952,751.957,718.865,687.848,687.137,688.917,669.878,655.169,642.849,639.421,614.679,600.277,573.363,545.712,539.715,540.772,529.098,514.339,498.291,470.082,459.885,453.693,432.287,411.358,397.732,385.745,374.316,363.986,353.111,346.717,342.579,335.867,324.075,312.822,306.627,296.323,285.958,271.756,257.779,245.215,233.904,226.337,219.26,213.804,208.304,201.51,194.372,184.919,181.764,177.357,174.298,170.273,169.555,165.836,164.135,163.903,163.679,162.883,160.939,157.688,155.264,153.355,150.995,147.601,145.431,146.505,146.275,145.131,145.41,145.962,146.097,143.076,139.75,136.861,134.284,131.216,128.1,128.423,127.155,126.073,124.928,120.665,117.028,115.758,114.922,111.517,108.615,105.742,103.262,100.665,99.686,99.101,100.548,98.335,99.205,96.544,95.555,93.53,93.285,91.579,90.696,94.227,93.462,92.28,91.561,91.246,90.969,90.328,89.983,89.99
"18","10","    Other","B689RG3",52.788,52.14,52.641,56.109,56.933,58.409,56.744,56.557,59.494,58.653,55.358,58.501,59.683,59.215,58.415,59.1,58.792,60.963,60.821,63.985,67.815,68.312,73.083,75.177,80.373,85.258,87.041,90.016,90.886,93.386,93.721,97.498,95.643,96.123,99.105,101.456,101.032,104.389,102.765,109.869,107.557,113.276,114.98,111.846,115.082,122.343,129.235,136.141,139.284,140.713,143.041,145.118,145.76,146.452,146.541,145.844,145.353,145.14,144.217,144.382,146.182,145.915,145.342,144.131,140.516,138.883,136.808,135.46,134.78,133.868,133.698,134.221,134.453,134.573,134.78,135.984,138.334,139.004,139.361,139.856,140.119,139.816,139.047,137.386,134.488,133.538,133.45,133.02,133.795,133.479,131.831,131.198,130.285,129.162,128.016,127.197,126.813,126.769,126.204,125.928,125.183,124.473,123.366,121.711,120.874,119.188,117.719,116.38,114.988,112.754,110.833,108.461,107.569,107.354,106.976,106.462,106.021,105.772,105.408,105.083,105.025,104.871,104.444,104.502,104.003,104.215,104.571,104.354,104.363,104.191,103.601,103.295,103.25,102.847,102.772,102.326,101.565,101.277,100.284,99.538,99.029,99.55,99.793,100.343,100.444,100.589,100.808,100.63,100.598,101.151,101.851,102.425,101.646,100.892,100.081,99.318,99.2,100.122,100.739,100.879,99.809,99.366,100.052,100.773,100.55,100.332,100.465,100.889,101.104,101.421,101.87,101.793,101.743,102.029,101.812,102.212,103.045,102.578,102.451,102.68,102.614
"19","11","  Automotive vehicles, engines, and parts","B641RG3",19.078,19.312,19.928,20.235,20.155,20.075,19.918,19.606,20.833,21.293,21.525,21.684,21.923,22.005,22.389,22.538,22.836,23.526,24.376,24.464,25.254,26.037,27.354,29.587,30.269,31.646,31.866,32.086,33.076,33.219,34.362,35.735,36.493,36.876,37.963,38.522,38.478,40.113,42.428,42.501,46.089,48.064,48.267,49.392,52.044,53.74,56.781,59.4,61.5,62.948,63.895,65.163,66.664,67.535,68.087,68.375,68.772,69.544,70.82,71.182,71.739,72.247,72.512,72.024,72.89,73.766,74.126,74.154,74.469,75.215,75.781,76.265,76.453,76.781,77.219,77.207,77.405,77.775,79.154,79.527,79.413,79.735,80.402,81.709,81.847,82.448,82.867,83.265,84.145,84.724,85.29,85.477,85.996,86.417,86.837,86.946,87.195,87.396,87.352,87.243,87.65,87.99,88.353,88.523,88.808,88.917,89.24,89.944,90.027,90.13,90.334,90.334,90.766,90.983,91.043,90.931,90.937,90.918,90.974,91.271,91.375,91.435,91.569,91.966,92.136,92.639,92.825,92.781,92.878,93.086,93.109,92.971,93.307,93.328,93.521,93.782,94.015,94.024,94.258,94.283,94.042,94.76,95.036,95.327,95.648,95.776,96.11,96.336,96.625,96.905,97.414,97.65,97.916,98.045,98.41,98.685,98.261,99.185,99.683,100.089,100.048,99.814,99.945,100.192,100.413,100.304,100.46,100.728,101.088,101.711,102.598,103.289,103.627,104.18,104.13,103.976,104.478,104.449,104.53,104.689,104.79
"20","12","  Consumer goods, except automotive","B642RG3",29.351,28.644,29.852,31.23,30.284,31.749,29.99,28.677,31.306,30.841,31.065,32.071,31.574,32.935,32.308,34.983,34.69,34.935,36.678,38.531,37.055,37.703,39.764,40.647,43.181,44.144,42.086,43.223,46.589,47.177,46.938,46.495,48.622,48.916,47.846,47.262,51.414,51.623,53.607,55.962,60.041,61.931,62.755,63.683,62.621,62.915,66.879,67.867,67.35,66.647,67.6,69.103,69.719,67.76,68.427,68.18,68.153,69.33,70.157,69.679,70.51,70.327,70.453,70.428,69.998,70.095,70.451,70.303,71.742,72.548,72.849,73.936,74.378,74.814,75.294,75.868,77.21,77.762,78.104,79.314,80.101,80.742,81.326,81.765,82.838,83.62,83.856,84.516,85.772,87.023,86.378,86.812,88.171,88.157,88.136,88.86,89.404,89.36,89.287,89.427,89.675,89.71,89.516,89.825,90.292,90.925,91.146,91.233,91.783,92.099,92.205,92.316,92.575,92.631,92.898,93.029,93.076,92.844,92.656,92.584,92.387,92.388,92.431,92.673,92.879,92.904,92.925,92.693,92.54,92.286,92.513,92.725,92.032,91.843,92.116,92.188,92.317,92.434,92.584,92.939,93.087,93.189,93.713,93.778,94.402,94.479,94.435,94.607,94.875,95.494,96.198,96.18,96.86,97.591,97.909,98.444,99.131,99.945,100.245,99.809,99.863,99.337,100.305,100.494,100.473,100.757,100.941,102.162,101.969,102.341,102.91,102.574,103.456,103.981,104.128,104.341,103.502,102.834,102.524,102.561,101.752
"21","13","    Durable goods","B690RG3",25.295,24.509,24.948,24.647,25.475,29.08,24.559,23.446,29.188,27.39,28.3,29.344,28.692,29.228,29.862,31.612,33.85,34.169,36.197,35.434,34.648,34.054,37.024,38.47,39.41,40.008,39.869,39.702,43.279,44.436,41.437,42.077,44.303,43.61,42.513,43.297,47.535,47.548,50.869,53.61,57.863,59.842,61.83,63.357,65.25,67.257,68.955,71.096,71.067,71.104,71.714,72.839,73.16,72.991,73.883,74.603,75.412,75.734,76.08,74.809,75.385,74.72,74.211,74.302,73.389,73.453,73.953,74.011,76.389,76.595,77.174,77.902,78.317,78.267,78.617,79.672,80.44,81.429,81.855,83.013,83.487,84.522,85.235,86.108,87.083,87.927,87.625,87.804,89.316,90.525,89.721,89.957,91.524,90.358,90.062,91.133,91.373,90.918,90.815,90.898,91.39,91.502,91.208,91.539,91.742,91.981,92.45,92.489,92.886,93.289,93.373,93.434,93.857,94.194,94.197,94.337,94.272,93.953,93.718,93.597,93.167,93.23,93.386,93.418,93.812,94.151,94.107,93.789,94.011,93.774,94.059,94.388,94.036,93.567,93.777,93.844,93.869,94.143,94.207,94.542,94.284,94.34,94.542,94.898,95.301,95.412,95.578,95.632,95.551,96.2,96.929,96.795,96.955,97.423,97.396,97.708,98.433,98.782,99.675,100.276,99.947,99.475,100.4,100.178,98.381,98.543,98.656,99.577,99.789,99.833,100.226,100.302,101.207,102.044,102.215,102.044,100.772,100.099,99.915,99.999,100.54
"22","14","    Nondurable goods","B691RG3",33.976,33.321,35.37,38.717,35.687,35.141,35.991,34.497,34.122,34.897,34.532,35.525,35.165,37.445,35.394,39.095,35.996,36.149,37.582,42.481,40.14,42.4,43.312,43.571,47.941,49.346,45.155,47.721,50.876,50.82,53.808,52.037,54.075,55.493,54.436,52.396,56.48,56.924,57.208,59.069,62.9,64.711,64.345,64.804,60.167,58.596,65,64.869,63.832,62.404,63.628,65.432,66.274,62.846,63.321,62.333,61.759,63.549,64.715,64.799,65.791,65.957,66.528,66.424,66.345,66.466,66.709,66.413,67.167,68.37,68.458,69.807,70.265,71.079,71.657,71.841,73.649,73.814,74.087,75.345,76.455,76.678,77.13,77.105,78.279,78.99,79.81,80.979,81.965,83.245,82.758,83.392,84.532,85.684,85.94,86.318,87.161,87.538,87.496,87.696,87.696,87.652,87.558,87.839,88.566,89.597,89.569,89.703,90.401,90.633,90.759,90.919,91.011,90.78,91.32,91.441,91.6,91.459,91.32,91.299,91.339,91.278,91.206,91.677,91.677,91.364,91.458,91.317,90.764,90.493,90.656,90.744,89.698,89.802,90.14,90.217,90.447,90.409,90.643,91.018,91.586,91.733,92.603,92.35,93.22,93.262,92.978,93.286,93.956,94.54,95.215,95.344,96.674,97.738,98.497,99.313,99.913,101.366,100.877,99.226,99.727,99.181,100.223,100.869,102.739,103.175,103.454,105.041,104.328,105.128,105.924,105.052,105.905,106.028,106.149,106.832,106.536,105.879,105.404,105.378,102.734
"23","15","  Other","B643RG3",20.921,21.195,21.379,22.06,22.278,22.674,22.658,22.794,23.387,23.307,23.246,23.299,23.72,23.937,24.032,24.769,25.854,27.158,28.751,30.836,32.892,33.978,35.91,37.761,39.825,38.745,38.859,39.525,40.091,40.586,40.84,41.781,42.346,42.863,42.754,42.748,43.59,45.194,45.811,47.132,48.585,51.26,52.88,53.687,55.16,56.339,58.637,60.356,62.263,61.726,62.299,62.906,63.491,63.415,62.923,62.399,62.613,63.317,64.291,65.463,66.108,66.855,66.367,65.392,65.066,64.84,64.344,64.448,63.911,64.13,62.885,64.084,64.808,66.414,66.401,68.581,69.245,71.529,73.3,72.961,73.936,74.133,73.937,74.047,74.435,74.952,75.705,76.763,76.959,76.971,76.441,76.663,76.669,77.234,77.452,77.45,77.902,78.338,78.797,78.726,79.776,80.424,81.167,82.082,83.868,85.066,85.227,85.092,85.063,85.293,84.649,83.672,83.902,83.933,83.857,83.467,82.629,82.177,81.537,81.155,81.039,81.115,81.467,81.971,82.479,83.292,83.543,83.732,83.619,83.316,82.994,82.117,81.875,82.466,83.452,83.704,84.635,84.902,85.064,85.975,87.134,88.74,89.286,90.378,91.587,92.479,93.171,94.063,94.654,96.255,97.749,97.907,98.837,100.384,101.219,103.148,105.124,109.122,110.973,102.469,98.378,99.074,100.468,102.08,103.231,104.628,105.104,108.556,112.172,114.966,115.635,114.082,114.631,114.629,114.672,115.023,115.359,114.034,114.226,114.146,115.048
"24","16","Exports of services \1\","B646RG3",21.599,21.907,22.193,22.399,21.946,22.269,22.651,22.925,23.512,23.807,24.108,24.26,25.96,26.226,26.479,26.72,26.541,27.212,27.993,28.547,29.784,30.396,31.176,31.678,32.081,32.604,33.107,33.507,34.193,34.564,34.977,35.494,35.855,36.514,37.007,37.695,38.359,39.109,39.852,40.406,40.772,41.836,42.993,44.398,46.032,47.242,48.275,49.377,50.605,51.521,52.312,53.078,53.765,54.733,55.557,56.049,56.846,57.06,57.411,57.408,56.938,57.525,57.988,58.794,58.938,59.154,59.836,60.371,60.947,60.942,61.07,61.235,61.407,61.81,62.107,62.303,62.628,62.954,63.072,63.45,64.047,64.572,64.883,65.324,66.324,66.554,68.036,70.024,70.442,70.159,70.64,71.1,71.42,71.946,72.622,72.879,73.109,73.58,73.719,73.993,74.096,74.452,74.88,75.098,75.425,76.221,76.256,76.35,77.142,77.146,77.59,78.108,77.812,78.168,78.164,78.313,77.854,77.888,77.77,77.876,77.834,78.334,78.523,78.742,79.852,80.534,81.233,81.286,81.367,81.03,80.92,80.365,80.242,80.98,81.353,81.561,82.507,82.605,83.487,83.8,85.014,85.741,86.498,87.622,90.864,91.449,92.606,93.238,94.293,95.273,96.262,96.094,97.388,98.308,99.172,100.539,101.893,102.897,104.519,102.011,100.022,98.808,99.838,101.332,102.163,102.97,103.197,104.053,105.586,107.051,107.9,107.618,108.667,109.313,109.293,109.974,110.531,110.451,110.981,111.636,112.225
"25","17","  Transfers under U.S. military agency sales contracts","B267RG3",26.876,27.318,27.634,27.825,25.504,25.85,26.676,26.943,27.485,28.097,29.049,29.382,36.651,37.232,37.623,37.897,37.868,38.443,39.65,39.354,40.231,40.537,41.407,41.243,41.869,43.022,44.208,44.576,45.776,46.444,47.128,47.83,49.078,49.498,49.556,50.518,51.704,52.474,53.162,53.297,54.182,55.121,56.46,58.079,58.601,60.618,61.379,62.841,63.93,65.717,66.925,67.722,69.237,71.376,72.181,72.053,72.148,72.537,74.163,73.665,73.825,74.382,74.368,77.469,75.334,73.624,73.689,72.657,70.734,70.09,69.263,66.94,67.567,66.401,64.67,64.438,64.676,64.392,63.71,64.008,64.693,64.803,65.419,64.675,65.919,66.098,67.68,68.839,68.891,69.262,69.585,70.033,69.897,70.472,70.632,71.383,71.745,72.45,73.294,73.638,73.7,76.472,76.286,76.977,76.863,77.705,77.699,79.035,81.701,76.958,76.903,77.107,77.034,76.798,75.615,76.039,75.672,75.73,74.964,73.149,74.619,74.086,74.152,74.371,75.122,75.7,76.208,76.401,76.748,76.937,77.194,77.372,77.732,78.137,78.649,79.257,79.952,80.466,80.854,81.055,81.618,82.6,84.086,85.555,86.952,88.194,90.001,91.301,92.22,93.445,94.187,94.404,95.062,95.549,95.957,96.132,96.735,97.541,98.531,98.49,99.75,99.867,100.066,100.317,100.632,101.162,101.464,101.829,102.564,103.355,103.883,103.782,104.254,104.7,104.963,105.182,105.806,106.171,106.276,106.481,106.761
"26","18","  Travel","B493RG3",16.277,16.547,16.817,17.02,17.29,17.56,17.695,17.965,18.1,18.303,18.438,18.573,18.708,18.843,19.114,19.316,19.519,19.856,20.194,20.532,20.937,21.477,22.018,22.558,22.963,23.233,23.571,23.976,24.584,24.922,25.327,25.732,26.138,26.678,27.083,27.556,28.231,28.839,29.582,30.19,30.73,31.541,32.351,33.499,34.648,35.526,36.404,37.282,38.295,39.24,40.388,40.996,41.739,42.55,43.36,43.698,43.968,44.441,44.981,45.656,46.264,46.94,47.412,47.683,48.155,48.898,49.574,50.182,49.844,50.249,50.789,51.465,52.275,52.816,53.356,53.423,54.436,54.909,54.977,55.112,55.652,56.26,56.733,57.138,57.948,58.556,60.11,61.19,62.946,62.879,63.217,63.487,64.162,64.23,64.567,64.635,64.702,64.905,64.837,65.175,65.175,65.31,65.108,65.175,65.243,66.053,66.188,66.391,66.999,67.404,67.809,68.012,68.417,68.958,69.229,69.77,69.456,69.653,69.949,70.481,70.463,71.448,72.206,72.854,74.141,74.844,75.494,76.078,76.047,76.139,75.343,74.224,74.32,74.908,74.907,75.506,76.16,75.617,76.626,77.217,77.855,78.709,79.375,80.538,90.653,91.153,93.139,94.472,95.317,96.758,97.672,96.096,97.403,99.254,100.451,101.906,103.581,104.994,106.909,101.697,99.173,98.658,100.28,101.91,102.429,102.511,102.944,104.244,106.382,108.215,109.225,109.305,110.736,111.247,111.497,111.964,112.297,111.541,112.795,112.44,113.14
"27","19","  Passenger fares","B533RG3",21.284,21.415,21.547,21.591,21.533,21.577,21.577,21.577,22.765,23.465,23.641,24.516,24.639,24.77,24.902,25.077,25.041,24.997,25.041,25.391,26.245,27.557,29.526,31.276,31.772,31.947,31.991,31.553,33.23,33.464,33.745,34.681,32.931,34.618,35.051,35.527,35.461,34.542,34.41,34.06,33.744,33.7,33.7,34.138,35.798,37.593,38.949,39.824,40.843,41.456,42.112,42.769,43.328,43.766,43.766,44.203,43.763,43.763,43.763,43.763,43.353,42.915,42.433,41.995,41.141,40.923,40.923,41.36,42.138,42.225,42.66,43.531,43.929,44.971,45.81,46.714,47.497,48.272,48.02,49.156,49.415,49.494,49.298,49.334,50.099,51.131,53.432,56.311,58,57.977,57.981,58.613,58.92,59.656,61.169,59.556,59.636,61.02,61.696,61.353,61.73,61.605,62.676,63.721,65.003,67.358,65.888,65.397,65.542,64.74,66.081,67.249,61.397,63.593,64.183,61.965,61.486,61.296,60.607,63.508,65.44,65.802,66.561,68.277,67.851,68.632,68.445,68.314,69.548,68.44,68.703,68.76,68.293,70.037,73.619,71.965,74.943,78.309,80.798,83.054,86.101,85.544,86.996,91.381,94.902,95.013,95.915,91.572,91.958,94.498,95.929,96.597,98.191,103.814,102.873,108.18,110.217,113.383,119.299,113.924,106.772,95.85,95.046,102.641,110.72,117.127,117.904,117.971,121.007,126.669,133.575,133.399,134.169,135.953,132.397,131.975,134.999,130.187,127.531,130.345,129.586
