"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","Final sales of domestic product","AB60RC1",44.2,38.2,48,55.3,62.3,55.7,59.1,76.8,93.1,104.4,105.8,89.1,98.6,99.5,126.1,155.1,177.4,185.1,179.8,199.2,206.4,198.1,182.2,205,230.6,267.5,273.1,294,315,340.4,363.3,358.4,362.8,373.8,374.5,395.1,417,406.8,410.3,326.5,270.1,319.8,377.8,419.8,444.8
"12","5","  Personal consumption expenditures","AB61RC1",32,28.5,36.1,41.4,45.5,38.7,42.4,56.8,66.9,74.8,73.8,66.5,73.4,79.6,100.8,124.4,146.6,164,164.2,175.9,180.8,176.9,157.9,176.1,193.9,216.1,220.3,235.8,253.9,280.7,309.7,321.4,342,359.7,357.4,362.2,359.3,341.5,344.3,284.8,265.3,286.5,309.1,339.9,361.6
"13","6","    New motor vehicles","AB67RC1",26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.2,185.2,165.6,182.3,207.8,236.8,249.3
"14","7","      Autos","A136RC1",25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82,86.4,81.9,81.1,81.6,86.2,94.7,99.4,97.8,95.2,90.5,91,96.6,99.2,95.2,85.2,71.2,69.4,79.9,94.6,95.4
"15","8","      Light trucks (including utility vehicles)","B704RC1",1.7,1.5,2.3,3.6,4.8,4.7,5.2,8.5,11.5,14.2,12.1,7.9,8.5,10.9,16.8,22.5,31.6,35.1,37.5,41.5,46.4,45,40.6,48.7,56.9,64.8,65.5,71.8,80.6,93.2,105.4,111.3,132.2,148.3,161.1,161.4,152.3,133.9,138,100.1,94.4,112.9,127.9,142.3,153.9
"16","9","    Net purchases of used autos and used light trucks","W240RC1",5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,105.8,109.8,110.5,108.5,111.2,99.6,99.7,104.2,101.4,103.1,112.4
"17","10","      Used autos","A137RC1",5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,31.4,34.4,38.4,46.8,50.5,54.2,57.1,59.4,60.5,60,58.7,59.2,54.4,57.6,57.6,54.8,52.9,47,42.7,45.4,48.9,48.4,50
"18","11","      Used light trucks (including utility vehicles)","W241RC1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.8,2.3,3.3,4.3,6.1,7.1,8.7,10.5,12.9,13.7,15,16.7,18.1,22.4,28.7,34.7,41.9,49.1,50.7,53.3,56.9,51.4,52.1,52.8,53.6,58.3,52.6,57,58.8,52.5,54.7,62.4
"19","12","  Private fixed investment","AB62RC1",13.5,11.4,14.6,17.3,20,19.8,17.7,22.9,30.5,36.6,37.7,31.4,34.8,34.4,42.8,53.8,58.5,58.2,55.2,58.6,54.7,52.9,53.3,56.8,70.4,92.1,95.7,102.6,111.4,116.5,133,126.5,108.9,105.7,105.2,125.7,144.6,159.1,144.4,99.5,40.5,92.4,128.7,159.7,166.3
"20","13","    New motor vehicles","AB68RC1",15.9,13.8,17,19.6,22.8,23,21.7,27.6,35.5,42.2,44.4,38.2,42.8,43,52.2,69.2,77,75.6,75.9,82.3,79.3,79.2,82.6,91.5,108.4,133.8,141.6,156.9,167.8,182,205.5,201.5,181.8,177.2,169.2,190,211.4,227.9,218.2,173.5,118.3,166.9,196.4,226.3,248.8
"21","14","      Autos","B139RC1",8.7,7.6,9.7,10.2,11.6,11.4,12.6,15.5,19.1,22,22.2,20.8,24.3,24.8,30.6,39.8,43.1,44.7,43.5,48.6,45.7,48.1,52.6,54.1,59.4,71.4,69.9,73.6,74.3,75.2,81.6,82.9,79,78.4,71,72,77.2,81.3,82.6,70.8,51.7,68.9,73.3,89.2,96.2
"22","15","      Trucks","B705RC1",7.2,6.2,7.2,9.4,11.2,11.6,9.2,12.1,16.3,20.2,22.1,17.4,18.6,18.2,21.6,29.4,33.9,30.9,32.5,33.8,33.6,31.1,30.1,37.4,49,62.4,71.7,83.4,93.5,106.8,123.9,118.6,102.8,98.8,98.2,117.9,134.2,146.6,135.6,102.7,66.5,98,123.1,137.1,152.6
"23","16","        Light trucks (including utility vehicles)","B196RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,16.6,15.8,17.1,17.9,21.3,27.1,37.3,42.7,57.7,69.8,76.7,89.7,89,81.7,77.5,77.4,89.3,99.3,108,105.9,78.2,48.1,74,89.5,97.7,113.4
"24","17","        Other","B197RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,17.1,17.8,14,12.2,16.1,21.9,25.1,29,25.6,23.8,30,34.2,29.6,21,21.3,20.8,28.6,34.9,38.6,29.7,24.5,18.4,23.9,33.6,39.4,39.2
"25","18","    Net purchases of used autos and used light trucks","W242RC1",-2.4,-2.3,-2.4,-2.4,-2.8,-3.2,-4.1,-4.8,-5,-5.6,-6.7,-6.9,-8,-8.6,-9.5,-15.4,-18.6,-17.4,-20.8,-23.7,-24.6,-26.3,-29.3,-34.7,-37.9,-41.7,-45.9,-54.3,-56.4,-65.5,-72.5,-75,-73,-71.5,-64.1,-64.3,-66.8,-68.8,-73.8,-73.9,-77.7,-74.5,-67.7,-66.7,-82.5
"26","19","      Used autos","B140RC1",-2.4,-2.3,-2.3,-2.3,-2.8,-3.1,-3.9,-4.6,-4.9,-5.4,-6.3,-6.5,-7.6,-8.2,-8.6,-14.2,-16.7,-14.9,-17.1,-19.1,-19.6,-18.9,-21.3,-23.5,-26.1,-30.3,-33,-36.1,-36.5,-39,-39.4,-39.8,-36.8,-35.2,-31.5,-32.5,-33.9,-33.7,-33.9,-34.7,-34.4,-34.1,-32.7,-32,-33.9
"27","20","      Used light trucks (including utility vehicles)","W243RC1",0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.4,-0.4,-0.8,-1.2,-1.9,-2.5,-3.7,-4.6,-5.1,-7.4,-8,-11.1,-11.8,-11.4,-13,-18.3,-19.9,-26.5,-33.1,-35.2,-36.1,-36.4,-32.5,-31.9,-32.9,-35.1,-39.9,-39.2,-43.4,-40.4,-35,-34.6,-48.6
"28","21","  Gross government investment","AB64RC1",1.2,1.3,1.4,1.5,1.9,2.3,2.5,2.9,3.3,3.8,4.4,4.6,5,4.9,5.5,7.8,8.1,7.9,7.2,7.8,9.9,10.3,9.5,10.3,9.7,9.3,9.7,9.7,10.3,11.2,12,12.6,12.8,13.1,14,14.2,15.4,17.3,18.1,18.6,17.5,17.3,16.2,17,19.3
"29","22","    Autos","B144RC1",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1,1.2,1.3,1.4,1.5,1.6,1.6,1.9,1.9,1.9,2,2.4,2.8,3.2,2.8,3.3,3.2,3.3,3.6,3.4,3.1,3.3,3.5,3.4,3.4,3.3,3.3,3.3,3.7,4.1,4.3,4.1,3.6,3.3,3.3,2.8,2.8
"30","23","    Trucks","B708RC1",0.7,0.8,0.8,0.9,1.3,1.6,1.7,2,2.3,2.6,3,3.3,3.5,3.4,3.9,5.9,6.3,6,5.3,5.4,7.1,7.1,6.8,7,6.5,5.9,6.1,6.2,7.2,7.9,8.6,9.2,9.3,9.8,10.7,10.9,11.7,13.1,13.8,14.5,14,13.9,12.9,14.2,16.5
"31","24","  Net exports","AB63RC1",-2.5,-3,-4.1,-4.8,-5.1,-5,-3.4,-5.7,-7.6,-10.7,-10.1,-13.4,-14.7,-19.4,-23,-30.8,-35.8,-45,-46.8,-43.1,-39,-41.9,-38.6,-38.2,-43.5,-50.1,-52.6,-54.1,-60.7,-68.1,-91.4,-102.1,-100.8,-104.7,-102.1,-106.9,-102.3,-111.1,-96.6,-76.5,-53.3,-76.4,-76.2,-96.7,-102.4
"32","25","    Exports","AB69RC1",1.6,1.4,1.8,2,2.7,3.7,5.1,5.3,5.7,6.7,8.6,7.7,8.1,6.1,7,8.1,9.7,10.6,11.9,14.3,15.8,14.2,16.9,19.4,19.9,22.7,23.9,25.2,26.9,25.9,25.3,26.1,25.4,28.9,32.3,36.5,44,49.1,60.8,65.3,40,55,66.7,73.6,76.8
"33","26","      Autos","B142RC1",1,0.8,1.2,1.3,1.8,2.3,2.9,3.3,3.6,4,5.3,4.7,4.7,3.5,4.8,5.5,6.5,6.9,7.3,9,9.4,9.3,11.2,11.5,11.1,12,12.1,12.6,12.4,12.1,11.8,12.2,13.2,14.9,15.8,16.5,20.4,23.9,31.7,37.3,20.8,28,33.9,39.1,41.9
"34","27","      Trucks","B706RC1",0.6,0.6,0.6,0.7,0.9,1.4,2.2,2.1,2,2.8,3.4,3.1,3.4,2.6,2.2,2.6,3.2,3.7,4.6,5.3,6.4,4.9,5.7,7.9,8.8,10.7,11.8,12.6,14.5,13.8,13.5,13.9,12.2,14,16.6,20.1,23.6,25.2,29,28.1,19.1,27,32.8,34.4,34.9
"35","28","    Imports","AB70RC1",4.1,4.4,5.9,6.9,7.8,8.8,8.4,11,13.3,17.4,18.7,21.1,22.8,25.6,29.9,38.9,45.5,55.6,58.7,57.4,54.8,56.2,55.5,57.6,63.4,72.8,76.5,79.3,87.7,94,116.7,128.2,126.2,133.6,134.5,143.5,146.3,160.1,157.4,141.8,93.2,131.3,142.8,170.3,179.2
"36","29","      Autos","B143RC1",3.4,3.7,5.1,5.7,6.5,7.3,7.1,8.9,10.7,13.7,14.9,17,17.8,20.3,23.9,30.6,34.9,42.4,43.5,41.2,39.4,38,36.1,35.8,41,43.9,48.4,45.3,50.8,53.1,63.8,69.6,68.1,72.8,70.7,71.8,69.7,77.2,76.7,77.7,55,73.8,82.6,100.2,111
"37","30","      Trucks","B707RC1",0.7,0.7,0.8,1.1,1.3,1.5,1.3,2.1,2.6,3.8,3.8,4.1,4.9,5.3,6,8.3,10.7,13.2,15.2,16.2,15.4,18.2,19.4,21.8,22.4,28.9,28.1,33.9,36.8,40.9,52.9,58.6,58.1,60.8,63.8,71.7,76.6,82.9,80.7,64.2,38.3,57.6,60.2,70.1,68.2
"38","31","Change in private inventories","AB65RC1",0.4,-1,1.8,-0.3,1.3,3,-1.8,2,3.3,2.1,0.4,-2,1.8,-2.9,2.6,5.7,4.9,2.2,9,1.7,4,-3.2,-1.6,0.6,2,5.3,6.7,-2.3,4.3,0.4,11.7,10.5,-13.7,13.1,6.8,1.7,-1.5,1.4,-4.3,-6,-23.2,14.5,-0.2,16.2,13.5
"39","32","  Autos","A145RC1",0.3,-0.9,1.6,-0.4,1.2,2.1,-1.2,1.7,2.2,1.9,0.1,0,2.1,-2.6,2.3,2.9,4.5,2.3,7.1,1.2,2.7,-2.2,0.3,-0.3,1.8,1.1,3.4,-3.4,1.7,3.2,2.4,4,-4,7.4,-2.8,-4,-1.8,3.5,-2.5,6.1,-8.5,5.7,-2.9,8.8,4.9
"40","33","    New","B146RC1",0.3,-0.8,1.4,-0.1,1.1,2.4,-1.4,1.6,1.9,2,0,0.8,2,-2.7,1.8,2.4,3.7,1.1,6.4,-0.3,1.7,-2.1,-0.2,0.1,0.9,0.5,2.3,-5.5,0.5,2.4,1.2,1.1,-6.5,7.6,-1.3,-1.5,-1.1,2.7,-3.7,6.5,-12.2,3.4,-0.6,8.7,5.8
"41","34","      Domestic","AB71RC1",0.2,-0.9,0.8,-0.2,1.5,1.2,-0.9,0.7,2.1,0.2,1.1,0.2,2.2,-2.8,2.9,1.7,2.9,-0.6,4.1,-0.6,2.2,-2.7,-0.7,0.5,0.8,2,3,-3.9,0.3,1.4,-0.1,0.6,-7.1,6.4,-1.1,-0.5,-0.6,1.5,-2.9,4.4,-9,2.5,0.7,6.7,4.4
"42","35","      Foreign","AB72RC1",0.1,0.1,0.6,0.1,-0.4,1.2,-0.5,0.9,-0.3,1.7,-1,0.6,-0.2,0,-1.1,0.7,0.8,1.6,2.3,0.3,-0.6,0.6,0.4,-0.5,0.1,-1.5,-0.7,-1.6,0.2,1,1.2,0.5,0.6,1.2,-0.2,-1,-0.5,1.2,-0.9,2.1,-3.2,0.9,-1.4,2,1.5
"43","36","    Used","B147RC1",0,-0.1,0.2,-0.3,0.1,-0.3,0.2,0.1,0.3,-0.1,0.1,-0.8,0.1,0.1,0.4,0.5,0.8,1.2,0.7,1.4,1,-0.2,0.5,-0.4,0.9,0.6,1.1,2.1,1.2,0.7,1.3,2.9,2.5,-0.3,-1.5,-2.5,-0.7,0.8,1.3,-0.5,3.7,2.3,-2.3,0.1,-0.9
"44","37","  Trucks","B709RC1",0.1,-0.1,0.2,0.2,0.1,0.8,-0.6,0.2,1.2,0.2,0.2,-2,-0.3,-0.3,0.4,2.8,0.5,0,1.9,0.6,1.4,-1,-1.9,0.9,0.2,4.2,3.3,1.1,2.6,-2.7,9.2,6.5,-9.7,5.7,9.5,5.7,0.3,-2,-1.8,-12.1,-14.8,8.8,2.7,7.4,8.6
"45","38","    New","W244RC1",NA,NA,NA,NA,0.1,0.8,-0.6,0.2,1.2,0.2,0.2,-2,-0.3,-0.3,0.2,2.7,0.2,0.4,1.6,0.4,1.3,-1.2,-1.7,0.7,-0.5,3.2,3.1,-0.6,3.3,-2.4,8.4,4.6,-11.4,5.9,8.9,5,-0.1,-2.7,-2.7,-13.2,-16.5,8.7,2.9,8.8,3.7
"46","39","      Domestic","AB73RC1",NA,NA,NA,NA,0.1,0.9,-0.6,0.2,1.2,0.1,0.3,-2.1,-0.2,-0.2,0.4,2.5,0.2,-0.2,1.8,0.4,1.4,-0.8,-1.5,0.7,0,3,3.4,-0.7,2.7,-2.3,8,3.7,-10.9,4.5,8.9,5.1,-0.8,-3.5,-2,-14.3,-12.8,7.8,3.1,7.7,3.6
"47","40","      Foreign","AB74RC1",NA,NA,NA,NA,0.1,0,0,0.1,0,0.1,-0.1,0.1,0,-0.1,-0.2,0.2,0,0.6,-0.1,-0.1,-0.1,-0.4,-0.3,0,-0.5,0.3,-0.3,0.1,0.5,-0.1,0.4,0.9,-0.5,1.4,0.1,-0.1,0.6,0.8,-0.7,1,-3.7,0.8,-0.2,1.1,0.1
"48","41","    Used \1\","W245RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,-0.4,0.3,0.2,0.1,0.2,-0.1,0.2,0.7,1,0.2,1.7,-0.7,-0.4,0.8,1.9,1.7,-0.2,0.6,0.7,0.4,0.7,0.9,1.1,1.7,0.1,-0.2,-1.3,5
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1",46.7,41.2,52.1,60.1,67.3,60.8,62.5,82.5,100.7,115.1,115.9,102.5,113.3,118.9,149.1,186,213.2,230.1,226.6,242.3,245.3,240.1,220.8,243.2,274.1,317.5,325.7,348.1,375.7,408.4,454.7,460.6,463.7,478.5,476.6,502,519.4,517.9,506.9,403,323.3,396.1,454,516.6,547.2
"51","43","  Private fixed investment in new autos and new light trucks","AB76RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,65.2,61.5,65.2,70.5,75.4,86.5,108.7,112.7,131.3,144,151.9,171.3,171.9,160.8,155.9,148.5,161.4,176.6,189.3,188.5,149,99.8,142.9,162.8,186.9,209.6
"52","44","  Domestic output of new autos \2\","B148RC1",30.2,24,33.2,35.3,40,33.3,34,46.6,54.8,59,59.2,50.9,57.7,51.5,71.8,86.8,95,97,93.7,97.4,97.5,91.5,87.7,93.3,99.2,115.6,111.4,109.6,109,108.8,112.4,114.5,105.9,109.4,95.5,94.7,106.4,108.2,104.6,100.5,59.9,77.2,85.2,115.1,119.7
"53","45","  Sales of imported new autos \3\","B149RC1",5.1,5.8,7,8,9,8.9,10.4,11.4,14.9,16.4,19.3,21.8,24.7,28.4,33.1,38.4,44.8,54.1,53.2,57.7,53.6,54.4,48.3,51.3,54.5,56.9,55.9,55.1,60,66.8,77.1,82.2,80.1,85.4,82.1,84.5,86.4,95.8,99.2,88.7,73.9,85.3,95.3,105.4,110
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
