"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"28","21","      Equipment","Y050RL1",105.8,59.2,-28.3,90.7,-11.3,-3.6,96.6,1.5,23,31.6,36.6,1483.3,408.4,104.3,12.7,-30.6,-94.8,-43.2,88.6,57.1,-28.2,248.9,40.9,15.5,-20,-18.8,-8.2,-0.4,2.4,23.8,-5.5,12,7.2,-13.1,-6.8,-13.1,16.5,15.5,-13.4,-13.9
"29","22","      Intellectual property products","Y052RL1",65.7,-6.2,40.7,-4,-23.4,-0.3,11.6,-3.6,11.9,12.9,11.7,482.7,50.3,76.8,56.1,1.4,-8.9,-11.2,6,2.2,-4.8,6.5,18.8,20.6,16.4,14.9,31.1,15.9,3.2,8.9,2.7,9.1,2.3,3.5,-1.2,-3.6,4.7,11.5,-2.6,0.8
"30","23","        Software","Y053RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.6,50.1,64.5,16.7,20.2,63.2,15.1,17.8,29.1
"31","24","        Research and development","Y076RL1",65.4,-6.2,40.8,-4.1,-23.4,-0.3,11.8,-3.7,11.9,13,11.5,483.2,50.3,76.8,56.1,1.4,-8.9,-11.2,6,2.2,-4.8,6.5,18.8,20.6,16.4,14.9,31.1,15.9,3.2,8.9,2.7,9.2,2.2,3.3,-1.3,-3.7,4.3,11.5,-2.8,0.4
"32","25","  Nondefense","A825RL1",15.6,6.8,4.5,51.5,59.6,-4.3,63.8,-13.1,12.6,6.2,-8.3,-11.4,-23.8,-19.8,1,-16.3,44.4,17.4,35.2,23.5,-14.7,-14.6,12.2,18.9,-4.6,-4.9,-6.7,0,4.1,33,-6,4.1,20.5,11,10.4,7.9,3.6,1.9,1.3,3.9
"33","26","    Consumption expenditures","A542RL1",10.3,-3.3,-10.8,56.7,85.3,-25.5,124.3,-14.6,16.9,10.8,-9.2,-21.9,-29,-24,17.8,-13.5,60.8,11.8,29.1,19.9,-22.3,-17.8,17.6,30.4,-2.8,-2.7,-13.3,-6.2,-1.8,45.1,-15.3,-1.6,18.9,-0.3,3.9,3.3,-3,10.7,0.9,9.4
"34","27","    Gross investment","A798RL1",35.3,39.2,41.8,43.3,19,47,-11.9,-8.1,-0.6,-10.7,-4.5,30.8,-10.7,-9.9,-33.7,-26.1,-28.8,77.6,71.6,39.5,15.3,-6.1,-0.2,-13.3,-12.7,-16.3,31.7,23.3,21.2,3,25.8,17.2,23.5,33.2,20.1,14.2,11.9,-7.9,1.9,-3.6
"35","28","      Structures","A830RL1",37.2,40.7,54.2,46.5,4.6,38.8,-6.9,-10.7,-7.2,-11.9,-3.7,4.1,-23.9,-13,-51.2,-22.4,-102.1,7147.4,91.5,57.7,7.3,-10.5,-4.9,-5.6,-13,-31.3,35.4,17.9,25.8,5.2,12.7,11.3,11.4,8,7.8,5.5,-0.5,-24.6,-10.2,-15.1
"36","29","      Equipment","Y066RL1",5.8,6.9,-49.7,142.3,325.9,94.6,-29,1.5,24.4,-11.9,-13.3,119.9,-0.2,-20.3,-30.4,-37.4,52.6,-26.1,46.7,-7.9,-1,13.3,40.9,-22.7,-21.3,-17.5,11.6,3.4,-24.7,6.5,6.1,34.1,-11.9,17.1,34.6,-0.9,17.3,-1.2,-25.4,11
"37","30","      Intellectual property products","Y067RL1",62.6,60.8,34.7,-3.1,-21.4,-4.5,9,1.4,15.2,11.3,18,16.6,31.7,44.8,-3.1,-15.5,-20.4,5.4,54.4,35.7,52.2,-5.3,-11.9,-23.3,-5.1,22.5,34.7,38,27,-0.3,46.8,20.5,40.6,53.4,25.2,19.7,16.7,-2.4,7.6,-1.7
"38","31","        Software","Y068RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,17.3,59.2,14.6,26.6,42,33.4,22.6,50
"39","32","        Research and development","Y069RL1",63.4,60.7,34.8,-3.2,-21.4,-4.3,8.9,1.5,15,11.3,18.1,16.5,31.8,44.8,-3.1,-15.4,-20.4,5.4,54.3,35.8,52.2,-5.3,-11.9,-23.3,-5,22.5,34.7,38,27,-0.4,46.8,20.6,40.9,53.3,25.3,19.6,16.4,-2.9,7.4,-2.7
"40","33","State and local","A829RL1",10,4.4,-4.5,-10.6,4.7,3.3,0.1,0.2,5.7,9.8,-3.1,-6.1,-9,-8.4,-3.4,3.5,9.8,13.4,6,14.9,8.1,0.8,1.6,4.9,8.6,7.1,3.3,5.9,8.4,3.3,4.3,6.1,2.9,5.9,6.7,6.6,6.2,5,6,3.5
"41","34","  Consumption expenditures","A991RL1",6.4,5.8,1.6,-2.1,2,6.2,-19,8.5,0.5,6.2,5.8,3.6,2.6,-0.1,-1.8,2.4,3.2,6.7,0.8,8.6,6.1,-0.3,1.3,3.3,4.2,6.5,3.6,5.3,7.8,3.5,5.6,5.4,2.6,4.6,6.4,6.4,6,4.5,6.6,6.5
"42","35","  Gross investment","A799RL1",16.9,1.7,-17.7,-33.8,14.6,-5.6,66.2,-13.3,16.3,16.1,-17.8,-26.3,-40.6,-46.1,-17.2,15.6,75,51.6,26.3,34.8,13.4,3.5,2.4,8.7,19.4,8.6,2.4,7.2,9.9,3,1.4,7.9,3.7,8.8,7.3,7.1,6.7,6.3,4.6,-4
"43","36","    Structures","A842RL1",20,0.9,-19.1,-36.1,17.1,-6.4,74,-15.7,17.1,16.5,-18.1,-26.9,-42.6,-48.9,-19.9,18.7,81.7,54.1,26.8,38.7,14.6,3.4,1.9,8.9,20.2,9.6,1.6,5.9,10.8,2.6,0.4,8.3,3.3,8.3,6.7,7,6.3,6.4,4.5,-5.3
"44","37","    Equipment","Y070RL1",-14.1,12.1,-6.4,-17.8,-5,-0.5,-2.9,28.5,8.9,13.9,-17.8,-24.7,-23.4,-25.8,-1.1,-1.5,61.1,49.8,25.9,5.3,1.7,4,7.9,6.1,11.1,-2.9,12.4,22.7,0,6.9,11.7,3,6.7,13.5,12.9,6.7,9.3,3.9,4.4,7
"45","38","    Intellectual property products","Y071RL1",5.9,10.8,3.8,-2,4.3,13.9,7.4,3.4,5.1,1.6,2.5,3.6,-8.2,-14.7,-4.8,10.7,0.2,-13.9,2.8,11.1,9.8,6,7.8,11.5,15.7,8,5.6,9.3,8.9,6.5,14.3,11.6,11.7,17.9,12,12.6,16.6,12.4,7.3,10.6
"46","39","      Software","Y072RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.3,37.7,27.4,97,26.8,24.4,42.6,10.2,5,28
"47","40","      Research and development","Y073RL1",5.9,10.8,3.8,-2,4.4,13.8,7.4,3.4,5.2,1.6,2.4,3.6,-8.2,-14.7,-4.9,10.8,0.2,-13.9,2.9,11,9.9,6,7.7,11.5,15.7,8,5.6,9.4,8.9,6.5,9,10.2,10.6,11.6,9.9,10.6,11.9,12.9,7.8,6.5
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
