"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100"
"43","35","S4       Used merchandise stores","T050350",1383,1460,1475,1479,1465,1674,1640,1608,1637,1491,1591,1678,1649,1784,1775,1723,1714,2177,1841,1861,2169,1894,2096,2267,2296,2261,2405,2486,2412,2448,2358,2582,2576,2638,2580,2484,2497,2551,2516,2449,2622,2554,2505,2316,2546,2387,2389,2368,2325,2420,2481,2482,2435,2387,2415,2510,2731,2775,2628,2746,2897,2790,2788,2912,2850,2959,2908,2739,2747,2672,2726,2679,2717,2853,2914,3080,3107,3080,3183,3231,3405,3346,3412,3513,3546,3668,3758,3657,3612,3878,3915,3760,3765,3866,4023,3933,3914
"44","36","S4       Other miscellaneous store retailers","T050360",5263,5256,5262,5969,6329,6064,6352,6823,6710,7282,8004,8004,8369,8531,8589,8604,8816,9742,9591,9815,10125,10299,10686,10859,11154,11133,11394,11722,11608,11689,11683,12764,12752,11816,11650,11759,11753,11764,11800,11785,11452,11894,12171,11981,11916,12200,12468,12683,12491,12640,12361,13240,13413,13201,13343,13600,14572,14264,13940,14370,14316,15095,15023,14761,14937,14326,14362,13805,13604,13406,13047,13624,13503,14092,14027,14411,14492,15133,15615,14868,15369,15042,15391,15346,15630,15683,15539,16167,15832,15847,16020,16626,16655,16924,17297,17461,17909
"45","37","S1     Nonstore retailers","T050370",19111,20008,20867,20354,20927,21551,22056,22879,23812,24452,25017,25233,25303,25917,26659,28070,28710,29447,29589,31925,31573,32579,32683,32425,32591,34051,35047,35385,36410,38320,39789,40664,43313,44933,47128,49199,47125,46159,45651,45625,46507,48267,48641,49907,51202,51385,53124,54581,56087,56627,58797,60684,62290,63957,66063,68974,71001,72390,73505,74417,76642,77776,79245,81425,80419,83924,83399,78236,77343,77574,79827,81903,84220,85630,87342,89641,93750,94929,96031,100158,99533,101757,104628,107040,109155,108733,109609,111494,113570,115163,116481,118232,119790,121342,123717,125945,128279
"46","38","S2       Electronic shopping and mail-order houses","T050380",7919,8855,9611,9289,9821,9785,10130,11171,11504,11999,12005,12306,12396,12949,13711,14369,14697,15134,15594,16369,16805,17856,18189,18509,19416,20059,20843,21380,22233,23269,24585,25581,27148,28266,29521,30857,29018,29345,29126,29548,30336,30719,31273,31902,32614,33521,34928,35770,37541,38443,39490,40663,42319,43981,45700,47459,50159,50566,51779,53673,55077,56265,57759,58813,57383,59231,58671,56510,57183,57944,60164,61657,63571,65335,66966,68634,71509,72746,73769,77787,78303,79806,82629,85063,86618,86578,87730,87797,89134,92707,95066,97685,99817,102607,105862,108686,111223
"47","39","S4       Vending machine operators","T050390",1885,1712,1778,1817,1755,1783,1761,1726,1811,1835,1788,1729,1743,1777,1656,1768,1699,1847,2023,2065,2138,1988,1889,1983,1949,2036,2005,2076,2096,2145,2116,2086,2209,2303,2195,2104,1977,1950,2016,2120,2086,2055,2037,1987,1913,1924,2008,2110,2054,2112,2081,2107,2114,2078,1982,2094,2168,2068,2095,2035,2025,2017,2055,2022,1977,2052,2011,1920,1837,1770,1720,1643,1670,1672,1670,1661,1621,1612,1613,1681,1730,1718,1726,1677,1716,1640,1664,1660,1624,1679,1705,1762,1791,1860,1891,1909,1863
"48","40","S4       Direct selling establishments","T050400",9307,9441,9477,9247,9350,9983,10165,9981,10497,10618,11224,11198,11164,11191,11293,11932,12313,12466,11973,13490,12630,12735,12605,11932,11225,11955,12199,11929,12081,12907,13088,12997,13956,14364,15412,16238,16131,14865,14510,13957,14086,15493,15331,16019,16675,15940,16189,16701,16493,16072,17226,17915,17857,17898,18381,19421,18674,19755,19631,18709,19540,19494,19431,20590,21058,22641,22717,19805,18322,17860,17942,18602,18979,18623,18706,19346,20621,20572,20649,20689,19500,20234,20273,20299,20820,20515,20215,22037,22813,20777,19710,18785,18181,16875,15965,15349,15193
"49","41","S1 Food services and drinking places","T050410",54051,52442,52955,55044,55647,56744,57826,57770,58058,59286,60117,60549,60643,61606,62272,62272,62614,63451,64218,65663,67114,67548,69159,68874,70169,71353,72115,73629,73436,74595,75147,77322,79225,80080,80966,80998,82939,83289,84240,84975,86546,87222,87765,88314,89347,91645,93811,95229,96745,97425,99084,100932,102241,104514,105490,107602,110453,110623,112170,115210,115676,117118,118769,120704,119512,121274,121947,121282,120517,119802,119400,119823,121328,123289,124591,125535,127243,129381,131415,133000,135719,137471,138645,140036,141921,141275,142367,146238,146493,150084,152889,157552,159749,163118,164924,168090,169720
"50","42","S4   Full-service restaurants","T050420",23366,22323,22252,23372,23322,24006,24547,24671,25086,25621,25787,25926,25778,26320,26602,26329,26506,27133,27781,28724,29823,29800,30839,30681,31123,31516,31673,32418,32421,33042,33245,33913,34820,35155,35506,35791,36508,36720,37515,37839,38817,38973,39116,39544,39665,40966,41971,42144,42998,42985,43964,44666,45257,45911,46361,47314,48245,48547,49462,51499,51559,51792,51915,52949,52118,52569,52287,52261,52082,51064,50990,51205,51506,52751,52640,52938,54206,55521,56939,57375,58306,59230,59876,60646,60903,60604,61152,63470,64116,64933,66196,69090,70329,71765,72531,74539,75500
"51","43","S4   Limited-service eating places","T050430",22524,22545,23143,23888,24577,24881,25301,25253,25101,25710,26349,26767,26993,27067,27379,27593,27765,28008,27950,28212,28416,28975,29112,28982,29693,30400,30819,31276,31071,31316,31552,32596,33114,33607,33850,33940,34833,34783,35085,35573,35898,36257,36806,36818,37443,38344,38969,40294,40734,41438,42053,42837,43513,44623,44971,45728,47042,46767,47298,47810,47791,48822,50069,50695,50466,51327,51895,52197,51828,52050,51708,51871,53047,53575,54565,55156,55775,56247,56745,57484,58693,59101,59823,60598,61848,61836,62359,62885,62513,65120,66350,67670,68473,70432,70987,72281,72973
"52","44","S4   Special food Services","T050440",4728,4391,4416,4576,4553,4601,4721,4732,4735,4810,4924,4769,4738,4981,4930,4912,4957,4933,5065,5249,5440,5266,5586,5615,5690,5787,5897,6210,6138,6380,6578,6896,7190,7227,7580,7336,7575,7804,7437,7188,7517,7666,7561,7628,7798,7784,8276,8135,8344,8398,8483,8819,8871,9283,9366,9681,10167,10222,10312,10744,11157,11288,11466,11799,11788,12059,12264,11467,11283,11354,11523,11556,11499,11768,12112,12055,11886,12249,12393,12782,13278,13509,13177,13254,13419,13304,13374,14182,14162,14231,14591,14840,15036,14950,15388,15175,15055
"53","45","S4   Drinking places (alcoholic beverages)","T050450",3434,3183,3143,3209,3195,3256,3256,3114,3137,3145,3057,3088,3134,3238,3361,3438,3386,3376,3422,3478,3436,3508,3622,3596,3663,3650,3726,3725,3806,3857,3772,3918,4101,4091,4031,3931,4023,3982,4203,4375,4316,4327,4283,4325,4442,4552,4595,4656,4669,4604,4584,4609,4599,4696,4792,4879,4999,5087,5098,5157,5169,5215,5318,5262,5140,5319,5501,5358,5325,5335,5179,5191,5276,5195,5273,5386,5376,5364,5339,5359,5441,5631,5769,5538,5752,5531,5482,5700,5703,5800,5752,5951,5912,5970,6019,6095,6192
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  S1   Retail and food services except motor vehicle and parts dealers","T050460",409163,411187,416636,424568,429078,435686,441193,447374,453215,461512,471415,478870,480409,485335,491073,496610,500305,512641,516618,526582,534394,535437,544736,548195,552630,560635,567234,577668,587809,598434,608702,625593,636379,644141,652572,661271,663712,669524,668113,671791,678134,688183,688869,697288,706262,711259,731239,739745,756405,767708,777538,797217,809301,824602,842945,860882,879964,885655,890905,894040,907244,916660,924571,941773,942879,961094,962711,900412,880455,880279,890966,902086,915173,922808,925341,948192,966857,987494,997203,1007528,1024886,1020770,1028625,1041242,1056488,1052723,1058731,1065054,1071959,1090785,1096817,1098649,1084285,1098571,1108812,1109477,1110646
"56","47","  S1   Retail trade except motor vehicle and parts dealers","T050470",355111,358745,363681,369524,373431,378942,383367,389604,395157,402225,411297,418321,419766,423729,428801,434338,437691,449190,452400,460919,467279,467888,475577,479321,482461,489281,495119,504039,514373,523839,533555,548271,557154,564060,571606,580273,580773,586235,583874,586815,591587,600960,601103,608973,616915,619613,637428,644517,659660,670284,678454,696285,707060,720088,737455,753280,769512,775032,778736,778830,791568,799542,805802,821069,823367,839819,840765,779130,759938,760477,771566,782263,793844,799519,800750,822657,839614,858113,865787,874528,889167,883300,889980,901206,914567,911448,916364,918816,925465,940701,943928,941097,924536,935453,943887,941387,940925
"57","48","  S2   GAFO-Department store merchandise stores \1\","T050480",137488,139283,141294,144847,146272,150014,152922,154775,157923,160416,164109,168203,168078,170429,173433,175336,175402,179549,181474,183860,185644,186169,190232,192748,196184,199310,200979,204930,210300,213432,216618,220254,223231,227112,229315,230333,231037,231588,233044,238028,240468,241469,239811,243645,242513,247063,254188,256039,261049,261912,265139,269970,274189,279530,281223,287456,292287,293399,295609,299436,302695,302626,305132,307259,304683,309618,305305,294690,292679,288817,289421,291311,295946,296552,296938,301231,303815,308488,310294,312103,318808,317147,318175,319097,324130,324127,325238,325739,324411,330820,332827,334074,331225,335332,338581,338381,337033
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes Furniture and home furnishings stores (line 8), Electronics and appliance stores (line 11),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Clothing and accessories stores (line 19), General merchandise stores (line 23), Sporting goods, hobby,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","book, and music stores (line 29), and Office supplies, stationary, and gift stores (line 34) industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
