"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"11","3","  Foods, feeds, and beverages","B638RG3",63.171,62.573,61.85,61.308,61.381,62.798,60.729,61.895,61.949,61.526,63.183,61.406,61.155,61.904,65.401,65.868,66.313,68.258,69.098,73.619,75.983,81.263,74.419,71.924,72.922,75.665,76.342,75.209,74.731,75.787,78.907,81.725,85.699,88.171,92.398,99.328,106.934,115.833,117.878,99.812,96.636,102.535,100.998,99.831,100.041,99.848,103.27,112.671,120.242,122.946,124.626,121.124,122.154,126.175,136.074,136.203,134.576,131.522,129.455,126.127,127.869,132.978,127.375,121.131,116.424,110.707,108.877,106.55,104.797
"12","4","  Industrial supplies and materials","B639RG3",66.743,67.218,69.027,70.541,72.289,73.631,74.477,74.669,73.956,72.816,71.068,68.776,68.094,69.822,71.427,71.975,74.782,74.923,75.135,76.584,79.803,82.457,85.314,88.717,91.326,93,94.716,97.706,99.138,103.298,106.183,104.838,106.13,110.48,111.908,116.214,120.006,128.727,132.925,108.675,96.071,97.192,101.047,105.689,109.364,113.883,113.954,120.791,129.484,136.962,137.541,132.927,133.782,132.21,129.315,129.546,130.225,127.581,128.223,128.092,130.987,127.939,126.897,119.136,108.567,109.347,104.74,98.796,91.427
"13","5","    Durable goods","B686RG3",72.947,72.651,72.854,73.467,74.068,74.943,75.162,74.92,74.031,73.635,73.643,72.794,72.702,73.448,74.25,74.46,75.57,76.434,77.201,78.692,82.334,85.389,88.696,90.919,93.889,94.41,93.81,96.853,100.917,106.147,109.007,110.319,111.325,114.357,113.102,115.18,117.267,120.849,122.246,103.379,96.548,96.533,100.769,106.15,108.144,111.039,110.975,115.565,120.574,123.885,126.274,122.665,121.879,121.31,119.219,120.132,119.042,117.121,115.436,116.246,115.993,115.719,115.747,113.489,111.052,109.6,107.04,104.671,102.832
"14","6","    Nondurable goods","B687RG3",63.347,64.226,66.889,68.893,71.296,72.912,74.109,74.528,73.885,72.317,69.636,66.624,65.686,67.898,69.899,70.612,74.215,74.002,73.945,75.371,78.38,80.833,83.463,87.427,89.849,92.089,95.02,98.012,98.005,101.616,104.531,101.745,103.176,108.226,111.108,116.628,121.338,132.828,138.572,111.424,95.819,97.512,101.191,105.478,109.966,115.284,115.414,123.349,133.832,143.322,143.023,137.931,139.555,137.51,134.239,134.166,135.65,132.677,134.354,133.817,138.116,133.82,132.306,122.058,107.856,109.589,104.12,96.695,87.08
"15","7","      Petroleum and products","IA0000063",30.2,34.026,40.516,44.365,53.124,53.346,60.999,63.131,60.484,60.175,55.444,46.376,43.96,46.6,47.827,50.048,57.829,52.979,54.001,53.146,59.217,63.82,67.845,73.989,77.856,86.775,96.605,100.258,100.851,116.122,119.883,105.405,105.687,119.796,122.093,133.744,143.564,174.009,181.441,118.12,88.712,96.396,103.054,109.77,118.255,122.557,119.409,131.77,152.751,172.889,170.806,163.971,170.595,169.304,163.836,164.549,166.089,158.252,164.144,163.143,171.249,162.488,160.37,137.073,105.861,110.926,101.676,88.607,70.103
"16","8","      Nondurable goods, excluding petroleum and products","IA0000053",71.187,71.22,72.731,74.189,74.813,76.725,76.404,76.454,76.325,74.525,72.306,70.738,70.114,72.161,74.307,74.638,77.113,78.149,77.807,79.747,81.85,83.673,85.907,89.274,91.419,91.802,92.83,95.549,95.239,95.475,97.99,98.61,100.301,102.682,105.619,109.122,111.997,116.716,121.814,108.485,98.613,97.787,100.179,103.422,106.27,112.011,113.605,119.486,125.184,129.805,130.354,126.104,125.231,122.818,120.65,120.173,121.668,121.207,120.566,120.348,122.526,120.793,119.635,117.436,113.507,113.125,109.975,106.099,102.496
"17","9","  Capital goods, except automotive","B640RG3",103.766,103.44,102.815,102.95,102.485,102.752,103.237,103.244,103.395,103.316,102.786,102.443,102.318,101.889,101.692,101.332,101.069,100.945,100.316,99.917,99.654,100.179,100.317,100.575,100.611,100.556,100.494,100.195,100.477,100.921,101.405,101.887,101.238,100.471,99.933,99.494,99.28,99.915,100.31,100.489,99.933,99.474,99.878,100.715,100.486,100.522,100.526,100.901,100.973,101.403,101.688,101.663,102.035,102.283,102.124,102.35,102.909,102.629,102.761,102.772,102.914,103.443,103.431,103.569,104.063,103.761,103.509,103.246,102.956
"18","10","    Civilian aircraft, engines, and parts","B688RG3",65.166,65.383,65.504,66.107,67.018,68.302,69.526,70.46,71.53,72.511,73.28,73.701,74.07,74.338,75,75.613,76.347,76.827,77.738,78.25,78.54,79.301,80.647,81.568,82.85,83.281,83.696,84.402,85.891,86.778,87.185,88.09,89.72,90.349,91.261,92.307,93.302,94.578,95.759,97.517,100.104,99.786,99.598,100.513,101.375,102.025,103.081,104.102,104.895,106.156,106.822,107.813,108.375,109.054,109.828,110.214,110.495,110.996,111.814,112.49,113.44,114.472,115.172,116.951,117.183,117.653,118.534,119.197,119.455
"19","11","    Computers, peripherals, and parts","B850RG3",177.357,174.298,170.273,169.555,165.836,164.135,163.903,163.679,162.883,160.939,157.688,155.264,153.355,150.995,147.601,145.431,146.505,146.275,145.131,145.41,145.962,146.097,143.076,139.75,136.861,134.284,131.216,128.1,128.423,127.155,126.073,124.928,120.665,117.028,115.758,114.922,111.517,108.615,105.742,103.262,100.665,99.686,99.101,100.548,98.335,99.205,96.544,95.556,93.531,93.283,91.577,90.698,94.253,93.476,92.261,91.534,91.204,90.901,90.263,89.929,89.955,90.403,89.111,88.717,87.946,85.584,84.165,83.154,81.095
"20","12","    Other","B689RG3",105.025,104.871,104.444,104.502,104.003,104.215,104.571,104.354,104.363,104.191,103.601,103.295,103.25,102.847,102.772,102.326,101.565,101.277,100.284,99.538,99.029,99.55,99.793,100.343,100.444,100.589,100.808,100.63,100.598,101.151,101.851,102.425,101.646,100.892,100.081,99.318,99.2,100.122,100.739,100.879,99.809,99.366,100.052,100.773,100.549,100.331,100.465,100.89,101.112,101.469,101.966,101.848,101.712,102.012,101.793,102.116,102.869,102.4,102.464,102.354,102.309,102.722,102.708,102.493,103.238,103.021,102.635,102.23,102.073
"21","13","  Automotive vehicles, engines, and parts","B641RG3",91.375,91.435,91.569,91.966,92.136,92.639,92.825,92.781,92.878,93.086,93.109,92.971,93.307,93.328,93.521,93.782,94.015,94.024,94.258,94.283,94.042,94.76,95.036,95.327,95.648,95.776,96.11,96.336,96.625,96.905,97.414,97.65,97.916,98.045,98.41,98.685,98.261,99.185,99.683,100.089,100.047,99.814,99.945,100.193,100.416,100.307,100.46,100.723,101.131,101.761,102.649,103.35,103.687,104.248,104.205,104.066,104.546,104.532,104.611,104.797,104.873,105.209,105.405,105.418,105.204,105.248,105.24,104.965,104.628
"22","14","  Consumer goods, except food and automotive","B642RG3",92.389,92.39,92.433,92.675,92.881,92.905,92.927,92.694,92.541,92.287,92.514,92.726,92.034,91.844,92.118,92.19,92.318,92.435,92.585,92.941,93.089,93.19,93.715,93.78,94.404,94.481,94.437,94.609,94.877,95.496,96.199,96.182,96.861,97.593,97.911,98.446,99.133,99.947,100.247,99.808,99.862,99.337,100.305,100.496,100.476,100.761,100.943,102.162,101.967,102.339,102.905,102.569,103.449,103.978,104.125,104.338,103.501,102.814,102.501,102.518,101.692,101.492,101.82,101.017,99.718,99.305,99.184,98.645,97.129
"23","15","    Durable goods","B690RG3",93.17,93.233,93.389,93.421,93.815,94.155,94.11,93.792,94.014,93.777,94.062,94.391,94.039,93.57,93.781,93.847,93.872,94.147,94.211,94.545,94.287,94.344,94.546,94.901,95.305,95.415,95.582,95.636,95.554,96.204,96.933,96.799,96.958,97.426,97.399,97.71,98.435,98.785,99.677,100.275,99.945,99.477,100.4,100.179,98.383,98.544,98.653,99.571,99.781,99.822,100.211,100.287,101.192,102.033,102.202,102.036,100.751,100.091,99.911,99.983,100.521,100.524,100.164,99.536,99.054,98.777,98.861,98.402,97.741
"24","16","    Nondurable goods","B691RG3",91.339,91.278,91.206,91.677,91.677,91.364,91.458,91.317,90.764,90.493,90.656,90.744,89.698,89.802,90.14,90.217,90.447,90.409,90.643,91.018,91.586,91.733,92.603,92.35,93.22,93.262,92.978,93.286,93.956,94.54,95.215,95.344,96.674,97.738,98.497,99.313,99.913,101.366,100.877,99.226,99.727,99.181,100.223,100.869,102.739,103.176,103.454,105.041,104.328,105.127,105.922,105.05,105.897,106.027,106.154,106.835,106.563,105.855,105.385,105.342,102.713,102.26,103.494,102.473,100.172,99.601,99.24,98.613,96.164
"25","17","  Other","B643RG3",81.324,81.127,81.327,81.801,82.405,83.285,83.573,83.769,83.631,83.312,82.982,82.104,81.869,82.464,83.453,83.705,84.636,84.901,85.063,85.975,87.133,88.739,89.285,90.375,91.581,92.472,93.164,94.056,94.649,96.25,97.745,97.902,98.832,100.378,101.212,103.141,105.117,109.116,110.97,102.472,98.388,99.083,100.467,102.062,103.187,104.568,105.038,108.494,112.126,114.933,115.614,114.07,114.62,114.619,114.664,115.017,115.355,114.021,114.196,114.088,115.285,114.485,113.948,111.108,107.279,106.945,105.31,103.097,100.368
"26","18","    Other durable goods n.e.c.","Y973RG3",81.048,81.114,81.459,81.958,82.464,83.276,83.525,83.714,83.6,83.296,82.973,82.094,81.85,82.44,83.427,83.684,84.623,84.896,85.065,85.981,87.144,88.749,89.29,90.369,91.559,92.439,93.129,94.026,94.632,96.24,97.738,97.892,98.813,100.362,101.213,103.173,105.195,109.217,111.063,102.522,98.377,99.04,100.419,102.036,103.213,104.63,105.119,108.578,112.193,114.983,115.645,114.083,114.619,114.608,114.644,114.993,115.328,114.004,114.196,114.116,115.351,114.578,114.06,111.226,107.392,107.058,105.421,103.207,100.474
"27","19","    Other nondurable goods","Y974RG3",81.33,81.133,81.332,81.807,82.41,83.29,83.578,83.773,83.635,83.316,82.986,82.109,81.875,82.471,83.46,83.713,84.644,84.91,85.072,85.983,87.142,88.748,89.293,90.382,91.586,92.475,93.167,94.059,94.653,96.255,97.751,97.908,98.838,100.384,101.219,103.15,105.128,109.127,110.98,102.477,98.387,99.08,100.466,102.066,103.2,104.586,105.056,108.51,112.134,114.936,115.614,114.071,114.623,114.624,114.67,115.023,115.36,114.026,114.2,114.093,115.291,114.492,113.955,111.115,107.285,106.951,105.316,103.104,100.374
"28","20","      Net exports of goods under merchanting","Y975RG3",81.249,81.316,81.661,82.162,82.67,83.483,83.733,83.922,83.808,83.503,83.179,82.298,82.053,82.645,83.635,83.892,84.833,85.107,85.276,86.195,87.361,88.97,89.512,90.594,91.786,92.669,93.361,94.26,94.867,96.48,97.981,98.135,99.058,100.612,101.465,103.43,105.457,109.488,111.34,102.777,98.622,99.287,100.669,102.29,103.47,104.89,105.38,108.848,112.472,115.269,115.933,114.367,114.905,114.893,114.929,115.279,115.615,114.287,114.48,114.4,115.638,114.863,114.343,111.503,107.659,107.324,105.683,103.463,100.724
"29","21","      Other other nondurable goods n.e.c.","Y976RG3",81.051,81.118,81.462,81.962,82.468,83.279,83.529,83.717,83.603,83.299,82.976,82.097,81.853,82.443,83.431,83.687,84.626,84.9,85.068,85.985,87.148,88.753,89.293,90.372,91.562,92.443,93.133,94.03,94.635,96.244,97.742,97.896,98.817,100.366,101.217,103.177,105.199,109.221,111.068,102.526,98.381,99.044,100.423,102.04,103.218,104.634,105.123,108.582,112.198,114.988,115.65,114.088,114.624,114.612,114.649,114.997,115.333,114.008,114.201,114.121,115.356,114.583,114.064,111.23,107.397,107.062,105.425,103.211,100.478
"30","22","Exports of services \1\","B646RG3",82.435,83.051,82.903,82.7,83.791,84.297,85.207,84.879,84.878,84.186,83.961,83.165,82.917,84.063,84.075,83.753,84.652,84.74,85.73,85.62,86.674,87.32,88.148,89.004,92.319,92.68,93.633,94.085,95.188,96.01,97.116,96.564,97.492,98.189,99.217,100.395,101.754,102.86,104.656,101.981,99.96,98.699,99.962,101.378,101.96,102.596,102.593,103.414,105.009,106.582,107.346,106.973,107.927,108.683,108.584,109.367,110.017,110.108,110.602,111.327,111.902,112.502,113.107,112.92,111.988,112.053,111.953,111.776,112.743
"31","23","  Transport","Y800RG3",69.662,71.008,72.131,73.228,74.124,75.676,76.732,77.111,76.57,75.46,75.817,74.895,73.921,75.615,77.565,77.303,79.63,79.818,81.53,82.347,86.334,86.542,87.596,90.37,92.237,92.856,93.934,92.78,93.477,94.944,95.947,96.544,97.555,99.775,99.934,103.141,105.389,108.45,112.98,109.481,103.621,97.601,97.484,101.295,105.504,108.938,110.11,110.596,113.343,117.596,120.537,120.169,120.995,122.774,120.893,121.298,122.618,120.758,119.788,121.153,121.415,123.051,123.716,122.693,119.351,114.686,113.371,113.894,113.388
"32","24","    Sea Transport","Y977RG3",70.101,73.045,75.332,75.479,77.795,82.177,85.164,85.542,82.691,80.601,81.765,80.451,78.372,79.665,80.691,81.768,84.825,83.1,85.984,85.266,89.38,89.722,90.66,91.678,92.134,92.144,92.841,93.78,94.416,95.031,95.551,97.137,97.766,97.986,98.687,99.582,100.338,103.144,107.073,106.05,101.208,99.555,98.926,100.311,101.971,104.241,107.236,107.526,108.086,108.947,108.709,108.327,109.158,110.687,111.422,112.464,112.541,112.051,112.652,113.559,114.886,114.972,115.116,115.53,115.341,115.026,115.081,115.32,NA
"33","25","      Freight","Y978RG3",94.156,92.603,91.097,85.586,86.434,94.719,97.228,94.201,93.531,89.799,96.518,97.083,96.193,94.638,97.096,98.139,103.156,101.656,101.916,102.163,101.099,102.038,104.187,105.125,105.647,105.61,106.227,106.259,106.426,107.325,106.624,106.443,104.871,103.978,105.869,106.12,107.636,115.849,126.898,122.178,104.532,98.308,97.312,100.38,104.66,111.142,116.468,115.639,118.061,121.82,114.291,110.356,111.965,115.835,115.465,114.2,114.426,112.865,113.829,115.029,120.083,120.844,120.113,119.514,121.315,122.249,119.579,115.718,NA
"34","26","      Port","Y979RG3",61.138,65.826,69.765,72.753,75.858,78.275,81.496,83.529,79.5,78.075,76.847,74.729,72.186,74.57,75.097,76.223,78.517,76.658,80.774,79.54,85.96,86.016,86.48,87.536,87.986,88.024,88.757,89.99,90.765,91.308,92.139,94.205,95.457,96.028,96.405,97.587,98.158,99.263,101.004,101.214,100.2,99.972,99.494,100.326,101.08,101.963,104.208,104.915,104.927,104.969,106.911,107.654,108.214,109.004,110.061,111.805,111.828,111.656,112.152,112.977,113.188,113.085,113.486,114.203,113.427,112.759,113.586,115.035,NA
"35","27","    Air Transport","Y980RG3",68.141,68.935,69.758,71.182,71.58,72.254,72.883,73.25,73.389,72.501,72.565,71.709,71.006,72.867,75.378,74.592,76.795,77.844,79.168,80.61,85.044,85.12,86.157,89.695,92.176,92.908,94.159,91.991,92.662,94.536,95.739,96.054,97.28,100.308,100.22,104.471,107.256,110.384,115.271,110.872,104.545,96.876,96.833,101.746,106.972,110.902,111.507,111.997,115.629,121.015,125.127,124.741,125.517,127.37,124.589,124.716,126.489,124.005,122.543,124.123,123.98,126.126,126.958,125.433,120.984,114.735,112.973,113.581,NA
"36","28","      Passenger","Y981RG3",65.44,65.802,66.561,68.277,67.851,68.632,68.445,68.314,69.548,68.44,68.703,68.76,68.293,70.037,73.619,71.965,74.943,78.309,80.798,83.054,86.101,85.544,86.996,91.381,94.902,95.013,95.915,91.572,91.958,94.498,95.929,96.597,98.191,103.814,102.873,108.18,110.217,113.383,119.299,113.924,106.772,95.85,95.046,102.641,110.72,117.127,117.904,117.971,121.007,126.669,133.575,133.399,133.634,136.027,132.773,131.943,134.436,130.597,128.523,130.594,129.293,130.898,131.351,129.58,122.075,112.561,109.617,111.056,NA
"37","29","      Freight","Y982RG3",85.424,83.706,82.889,81.498,81.035,81.962,82.425,81.662,81.444,80.817,80.572,80.245,78.746,80.817,80.572,80.245,78.746,78.146,77.792,77.928,78.936,80.49,81.689,85.178,86.923,89.021,90.466,91.284,92.32,93.819,95.345,95.59,96.108,95.89,96.98,101.641,107.829,112.49,118.241,113.362,104.122,97.771,98.398,99.761,100.96,102.023,102.35,104.013,110.963,119.468,119.604,118.159,120.503,122.384,118.459,120.912,121.893,120.858,119.849,120.721,123.556,128.68,130.697,128.98,130.616,129.035,128.762,127.917,NA
"38","30","      Port","Y983RG3",59.296,63.06,65.319,67.92,72.125,72.082,76.179,79.636,75.373,74.849,74.439,69.964,69.807,71.984,73.712,74.829,78.291,74.908,75.162,76.157,88.561,88.783,88.605,89.724,90.059,90.491,92.436,92.801,93.85,94.189,93.999,93.086,93.916,94.286,94.863,95.576,96.306,97.484,97.976,97.661,98.045,99.548,101.071,101.564,102.943,102.734,102.898,103.064,104.111,104.328,104.511,104.886,105.449,105.419,105.951,106.225,106.681,106.973,107.106,107.831,107.963,108.379,109.152,108.737,108.722,109.7,110.731,109.778,NA
"39","31","    Other modes of transport","Y984RG3",81.793,82.591,82.222,83.013,84.177,85.319,84.139,84.781,85.172,85.181,85.696,85.524,86.096,87.333,87.006,86.854,87.741,86.669,88.006,88.223,87.601,88.553,90.071,91.302,91.973,93.331,93.804,95.797,96.842,97.182,97.984,97.596,97.85,99.457,100.106,101.096,103.475,106.718,109.25,105.841,101.234,99.447,99.713,99.787,101.705,103.511,104.229,105.415,106.095,109.744,110.544,110.489,111.859,113.673,112.767,114.173,114.554,115.514,115.008,115.314,116.937,117.791,118.288,118.344,117.402,116.938,116.247,116.744,NA
"40","32","  Travel","Y801RG3",67.902,68.817,69.524,70.132,71.294,71.993,72.647,73.251,73.373,73.593,73.066,72.288,72.486,73.115,73.28,73.951,74.697,74.47,75.61,76.332,77.083,77.971,78.717,79.881,88.419,89.02,90.828,92.117,93.043,94.467,95.455,94.355,95.651,97.395,98.576,100.178,101.539,103.213,105.184,100.592,99.13,98.665,100.288,101.918,102.472,102.588,103.033,104.344,106.46,108.289,109.297,109.409,110.604,111.183,111.322,112.133,112.594,112.226,113.053,113.038,114.012,115.282,115.496,115.144,113.635,114.111,114.326,114.525,114.216
"41","33","    Business","Y985RG3",70.475,71.463,72.217,72.852,74.118,74.817,75.484,76.106,76.132,76.253,75.455,74.307,74.348,74.901,74.886,75.491,76.173,75.648,76.666,77.255,77.88,78.722,79.375,80.525,90.622,91.114,93.097,94.435,95.294,96.748,97.677,96.115,97.437,99.295,100.491,101.937,103.594,104.993,106.899,101.685,99.162,98.65,100.276,101.912,102.438,102.522,102.952,104.243,106.367,108.19,109.196,109.278,110.514,110.986,110.914,111.625,111.896,111.254,112.047,111.786,112.69,113.938,114.101,113.393,111.267,111.53,111.692,111.623,NA
"42","34","      Expenditure of seasonal, border, and other short-term workers","Y986RG3",70.529,71.515,72.273,72.922,74.211,74.914,75.564,76.15,76.118,76.21,75.414,74.293,74.39,74.978,74.977,75.577,76.231,75.688,76.698,77.289,77.928,78.783,79.449,80.614,90.738,91.239,93.226,94.56,95.406,96.848,97.763,96.186,97.494,99.347,100.545,102.001,103.678,105.092,107.009,101.792,99.266,98.75,100.373,102.005,102.524,102.607,103.04,104.341,106.482,108.316,109.327,109.408,110.636,111.101,111.024,111.732,112.002,111.359,112.154,111.894,112.802,114.054,114.218,113.509,111.381,111.645,111.807,111.738,NA
"43","35","      Other business travel","Y987RG3",70.446,71.431,72.188,72.836,74.123,74.825,75.475,76.06,76.029,76.121,75.325,74.206,74.302,74.89,74.889,75.487,76.141,75.599,76.607,77.198,77.836,78.69,79.356,80.519,90.631,91.131,93.116,94.449,95.294,96.734,97.648,96.073,97.379,99.23,100.427,101.881,103.556,104.968,106.883,101.672,99.149,98.634,100.255,101.885,102.403,102.486,102.919,104.218,106.356,108.189,109.198,109.279,110.506,110.97,110.893,111.6,111.87,111.228,112.022,111.762,112.669,113.919,114.083,113.376,111.25,111.513,111.675,111.606,NA
"44","36","    Personal","Y988RG3",66.437,67.306,67.985,68.577,69.672,70.374,71.022,71.618,71.808,72.098,71.75,71.21,71.509,72.189,72.472,73.187,73.976,73.926,75.139,75.942,76.769,77.684,78.483,79.658,87.313,87.978,89.686,90.95,91.919,93.329,94.353,93.513,94.794,96.476,97.652,99.344,100.554,102.377,104.378,100.081,99.123,98.672,100.289,101.915,102.485,102.616,103.068,104.388,106.499,108.33,109.339,109.462,110.644,111.26,111.47,112.313,112.832,112.547,113.385,113.442,114.438,115.715,115.944,115.698,114.361,114.897,115.128,115.4,NA
"45","37","      Education related","Y989RG3",57.021,57.569,58.015,58.461,59.029,59.732,60.271,60.795,61.445,62.196,62.99,63.721,64.513,65.445,66.387,67.296,68.328,69.268,70.9,72.208,73.56,74.704,75.951,77.295,78.396,79.608,80.684,81.72,82.879,84.079,85.311,86.333,87.489,88.611,89.615,92.078,91.742,95.217,97.709,95.707,99.17,98.655,100.277,101.907,102.425,102.508,102.941,104.241,106.379,108.212,109.222,109.302,110.37,111.436,112.638,113.96,115.336,116.378,117.215,118.4,119.651,120.978,121.379,122.574,123.792,125.095,125.619,126.845,NA
"46","38","      Health-related","Y990RG3",51.917,52.375,53.003,53.654,54.447,55.374,56.495,57.188,58.068,59.078,60.029,61.12,62.541,64.149,65.382,66.99,67.982,68.669,70.148,71.298,72.226,73.106,74.075,74.978,76.111,77.033,77.743,78.981,80.402,81.981,83.184,84.17,85.236,86.805,88.645,90.759,92.271,93.324,94.658,95.855,97.572,99.186,100.826,102.42,104.631,106.371,107.502,109.525,110.632,112.432,113.483,115.304,116.178,117.896,119.113,120.325,121.815,122.226,124.554,125.544,127.282,129.035,129.824,130.893,131.736,134.336,134.037,136.589,NA
"47","39","      Other personal travel","Y991RG3",70.43,71.415,72.172,72.82,74.107,74.809,75.459,76.043,76.012,76.104,75.308,74.189,74.286,74.873,74.872,75.471,76.125,75.582,76.59,77.181,77.819,78.672,79.338,80.501,90.611,91.111,93.096,94.428,95.273,96.713,97.626,96.052,97.358,99.208,100.404,101.858,103.533,104.945,106.859,101.65,99.127,98.612,100.233,101.863,102.381,102.464,102.896,104.195,106.333,108.165,109.174,109.254,110.481,110.945,110.868,111.576,111.845,111.203,111.997,111.737,112.644,113.894,114.058,113.351,111.226,111.489,111.65,111.581,NA
