"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124"
"35","27","Imports of services, ITAs","B1245C0",79420,76264,81792,83112,85092,90148,91332,96584,98012,97128,98352,100628,100560,100964,103168,105224,112692,115056,119692,123180,119204,118640,116800,119196,119048,117772,120700,120728,119984,122644,123688,128808,131236,132092,134496,134412,137704,140388,142416,145088,148360,150424,155344,156092,161620,163516,168312,170284,173216,178508,183136,187860,187238,189199,195633,199506,207712,214931,224456,217363,217952,219081,214086,202720,219785,220528,222642,234565,232631,229637,248843,257763,272075,280868,284775,294618,296770,300759,306873,313387,332145,338411,337701,356401,359756,369345,377660,383540,399398,408322,416953,411534,382783,379618,386979,397825,397454,402733,414858,422206,417502,437682,445784,442075,446948,452042,453859,455201,455312,462161,464398,472930,467249,477280,476503,488679,484034,486497,491785,496589,NA
"36","28","Less: Statistical differences \2\","B1246C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-978,-1024,-1090,-1156,-1135,-1210,-1287,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7231,-7037,-7037,-3155,NA
"37","29","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C0",1920,1996,2070,2142,2213,2282,2348,2412,2473,2531,2585,2636,2685,2735,2786,2839,2721,2876,3037,3126,3011,3048,3146,3271,3305,3293,3293,3313,3461,3488,3450,3317,3364,3446,3591,3803,3731,3700,3708,3757,3845,3926,4000,4065,4134,4176,4207,4230,4220,4238,4267,4311,4355,4437,4549,4692,4865,5004,5110,5182,5219,5243,5253,5249,5231,5233,5257,5301,5367,5455,5567,5703,5862,5992,6094,6168,6213,6252,6284,6309,6328,6380,6466,6587,6741,6835,6867,6838,6749,6644,6524,6390,6240,6117,6021,5951,5907,5873,5849,5834,5829,5845,5881,5938,5966,5993,6021,6048,6076,6087,6081,6059,6021,5992,5972,5963,5945,5927,5909,5909,NA
"38","30","Equals: Imports of services, NIPAs","B656RC0",81713,78890,84675,86166,88149,93275,94520,99834,101227,100419,101728,104100,104168,104676,106980,109132,116391,118956,123819,127462,123350,122898,121233,123815,122353,121069,123993,124041,123445,126136,127142,132125,134604,135538,138091,138215,141435,144088,146124,148845,152209,154354,159348,160161,165754,167692,172519,174514,177436,182746,187403,192171,191593,193636,200182,204198,212578,219934,229566,222545,223171,224323,219338,207969,225016,225761,227898,239866,237998,235092,254410,263465,277937,286861,290869,300785,302983,307010,313157,319696,338473,344791,344166,362987,366497,376179,384527,390378,406148,414967,423477,417925,389023,385734,393001,403776,403360,408605,420707,428040,423331,443527,451665,448013,452914,458036,459880,461250,461388,468248,470480,478989,473270,483272,482475,494642,497210,499461,504731,505653,509618
"39","31","Primary income payments, ITAs","B1248C0",86920,89452,84164,88688,91524,96736,101652,107336,114076,117272,126600,133984,142416,151588,148152,144092,148292,147056,151824,146212,141872,134040,130732,118160,116344,119000,113456,110580,107076,115736,112856,129484,129092,143880,160368,175860,181952,189836,202052,197240,194704,201952,211676,220524,238968,244160,255164,256700,256664,263196,265256,262796,267106,277838,300165,308354,326377,346056,344328,341812,315555,283216,278461,196673,243862,276554,278518,250381,278912,276535,288476,291831,306864,347820,358425,412742,429005,455645,475781,544966,579366,642172,680828,696643,727775,772171,756664,717106,718865,707645,666689,617046,500428,490771,468504,503474,486353,499873,514033,528758,529885,553087,548416,523676,551405,548305,561358,568136,578435,573092,563818,565533,575763,587661,591938,586116,579992,582849,605447,596141,NA
"40","32","Less: Statistical differences \2\","B1249C0",-180,-303,-382,-415,-364,-349,-331,-329,-316,-309,-303,-292,-301,-293,-300,-320,-314,-338,-347,-358,-336,-346,-365,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3236,-25243,-25243,-22382,NA
"41","33","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1250C0",1249,1281,1314,1348,1380,1408,1431,1446,1415,1411,1395,1372,1365,1358,1358,1363,1374,1378,1361,1330,1292,1269,1246,1225,1204,1188,1175,1164,1155,1149,1145,1143,1128,1125,1121,1118,1172,1211,1232,1234,1206,1190,1174,1162,1146,1145,1151,1163,1199,1212,1216,1213,1191,1178,1171,1170,1175,1178,1178,1175,1170,1163,1154,1143,1131,1124,1123,1127,1136,1176,1245,1344,1472,1624,1798,1996,2216,2361,2429,2421,2338,2254,2172,2090,2009,1947,1904,1880,1876,1836,1760,1648,1500,1371,1262,1173,1103,1042,990,947,913,888,873,867,903,927,939,940,929,910,885,851,810,780,759,749,728,708,688,673,NA
"42","34","Plus: Imputed interest paid to the rest of the world","W370RC0",5961,5599,5174,5034,4751,4752,4717,4692,4673,4669,4991,4758,4944,4855,4552,4357,4264,4120,4048,3996,3815,3783,4082,4144,4510,4846,5056,5372,5705,6027,6393,6531,6929,7346,7273,7468,7474,7224,6947,6728,6459,6156,6167,6122,6120,6238,5939,5982,5814,5537,5277,4804,4849,4583,4684,4861,5016,5077,4838,4525,4131,3909,3804,3644,3538,3710,3782,3970,3969,3880,3803,3692,3832,3972,4250,4454,4458,4442,4550,4597,4809,4757,4606,4520,4636,4402,5005,4797,5094,5625,5664,5926,5572,5783,5635,5922,5559,5764,5766,6015,6186,6146,6548,6533,6223,5811,5529,5284,4757,4616,4601,4776,4642,4873,5135,5448,5581,5870,6202,6493,NA
"43","35","Equals: Income payments, NIPAs","A655RC0",94320,96633,91031,95484,98015,103245,108132,113801,120482,123659,133291,140403,149043,158098,154362,150135,154244,152892,157585,151900,147315,139437,136423,123931,122058,125038,119691,117112,113940,122912,120394,137162,137149,152351,168766,184446,190598,198267,210231,205206,202369,209294,219017,227808,246234,251543,262254,263845,263677,269944,271749,268809,273148,283601,306019,314387,332567,352307,350344,347512,320853,288288,283418,201459,248533,281390,283425,255477,284017,281591,293524,296867,312168,353416,364473,419192,435680,462448,482760,551985,586512,649183,687606,703253,734420,778519,763573,723784,725835,715105,674112,624620,507499,497926,475402,510569,493014,506679,520789,535720,536984,560121,555837,531076,558531,555043,567826,574360,584121,578619,569303,571160,581215,593314,597833,592313,589537,614671,637580,625689,NA
"44","36","Secondary income payments, ITAs","B1089C0",20796,24832,25832,25076,20512,22008,22824,27704,24296,22460,23608,30740,24192,23012,26520,30956,26160,30576,29356,20532,-59312,-14372,12132,21952,28840,33396,38068,46244,33356,36444,39624,49824,33980,35656,40336,51092,37772,36524,38172,39824,44968,38092,38604,50412,39868,41068,42664,56640,48212,49444,52560,62532,78773,81992,81551,90625,86288,89564,93656,109706,98766,101837,106310,112479,121274,110331,113773,122157,128682,131591,133465,134861,153095,142304,141876,155384,171363,154094,162725,171019,151048,160909,164904,162100,190093,171363,183689,197998,219875,208328,211597,219562,207290,217965,218329,205721,220574,211737,217781,218876,235139,235599,229809,233506,231921,234332,236651,235758,242141,247181,255595,253052,252418,256902,260639,266847,266365,261935,272793,267464,NA
"45","37","Less: Statistical differences \2\","B1264C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,1062,-138,-1534,2570,1314,-711,-3166,0,0,0,1,2,-1,0,-1,-2,2,0,-2,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2284,-337,-337,1793,NA
"46","38","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1655C0",3670,3647,3606,3589,3551,3528,3524,3576,3580,3683,3743,3846,3929,4069,4357,4561,4863,5080,5203,5170,5059,4963,4931,5012,5139,5256,5337,5333,5469,5513,5583,5603,5752,5817,5799,5884,5940,5998,6024,5942,6429,6550,6553,6449,6366,6284,6368,6438,6792,6791,6973,6828,10197,10256,10534,10993,10722,10986,10963,11191,11685,11845,11861,11948,12275,12349,12457,12143,12649,12957,12751,12824,12987,12916,13030,13430,13770,13736,13939,13976,14798,14790,14827,14844,15238,15520,15530,15252,15526,21041,15770,16434,17037,20989,17736,18779,18909,18860,19107,19931,20231,20186,19995,19106,19654,19450,19628,19704,19997,19970,20151,19776,19953,19976,20078,20626,20798,20871,21369,21397,NA
"47","39","Equals: Current taxes and transfer payments to the rest of the world, NIPAs \5\","A123RC0",24469,28485,29434,28662,24066,25539,26347,31286,27878,26144,27351,34577,28131,27081,30873,35514,31022,35654,34560,25699,-54252,-9401,17058,26955,33985,38655,43425,51580,38826,41959,45207,55427,39731,41474,46134,56974,43713,42523,44198,45765,51397,44640,45155,56859,46234,47352,49032,63078,55004,56235,59533,69360,88360,91186,92224,103151,94440,99236,105330,124063,110452,113682,118171,124425,133548,122681,126230,134302,141333,144546,146216,147686,166079,155221,154906,168815,185133,167830,176664,184994,165846,175699,179730,176944,205331,186883,199219,213250,235401,229369,227367,235996,224327,238954,236065,224501,239483,230596,236889,238807,255370,255785,249804,252613,251575,253782,256279,255462,262137,267151,275746,272828,272371,276877,280717,287473,289447,283143,294498,287067,300145
"48","40","Balance on goods and services and primary income, ITAs (1+6+12-21-27-31)","B1260C0",-116044,-117928,-126365,-131828,-136542,-137932,-137697,-137423,-107515,-93127,-88088,-94808,-89775,-77663,-61680,-64145,-68423,-47516,-56794,-36500,-19482,-4266,-4614,347,3904,-14160,-20743,-28903,-25744,-46269,-45588,-62404,-65945,-78658,-86088,-94686,-87963,-91529,-69738,-52760,-64790,-81275,-105628,-75327,-104451,-74125,-88207,-115861,-127805,-155949,-183001,-180769,-203097,-234089,-267991,-281549,-338285,-341640,-370911,-362513,-367946,-323343,-353272,-282558,-342052,-400729,-400287,-432038,-467558,-449825,-452065,-435096,-456711,-542596,-554735,-628987,-584703,-619894,-648083,-733773,-717182,-718416,-764346,-673572,-667675,-651752,-575519,-524137,-587523,-586461,-581631,-494701,-277808,-228311,-242500,-292139,-296677,-338088,-346190,-287034,-336067,-350640,-305396,-318553,-352835,-340664,-298713,-306167,-292454,-263819,-250523,-208607,-268496,-283106,-256565,-273194,-338494,-321583,-350561,-363954,NA
"49","41","Less: Gold (2-22+24)","A2031C0",-6803,1488,1138,-2910,-1927,-1071,-1838,-3535,-122,-856,-407,-993,-2443,-2446,-2340,-3752,-805,-2150,-1204,-212,-2348,-2103,-1558,-2272,-517,-3284,-2337,-2443,-1462,-4434,-5548,-475,-4101,-2772,-1983,-2624,-2311,-6668,-2709,-3472,-4040,-5780,-4996,-3662,-5697,-5474,-2938,-3828,-4596,-3835,-4812,-2167,-2719,-2326,-3716,-3207,-2809,-1685,-2288,-2656,-1891,-1329,-2159,-2156,-1553,-2228,-1680,-1320,-1219,-1085,-1311,-1387,-2336,-2095,-1495,-2331,-926,-1182,-1805,-2454,-1372,-734,730,-267,-1024,2423,-628,410,2112,1704,194,99,-120,-2279,-926,-3009,121,-4208,718,-11771,4907,94,12874,6424,12899,7392,1270,4179,16729,10543,7492,-1239,4612,-4920,-3222,9610,4122,-76,6761,3780,NA
"50","42","Less: Statistical differences (3+7+13-23-28-32)","A2033C0",-15,-10,-9,-11,-10,-11,-16,-8,-14,-16,-17,-20,2,-9,6,4,-30,-49,-44,-50,-71,-84,-81,-77,-23,-27,-27,-29,856,48,-235,-761,918,-225,185,-1005,-482,-81,177,265,69,10,-85,-171,-86,-116,-57,119,-38,101,44,-245,0,1,-2,3,2,2,-4,-2,8,2,1,-2,-4,0,-4,0,-5,1,-3,0,-3,-1,-3,1,-1,5,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-7,0,0,0,0,0,0,0,0,0,0,0,0,-20467,-24284,-24283,-46485,NA
"51","43","Less: Other items (8)","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1232,1220,1380,856,864,964,884,1048,1192,1088,1112,1156,1252,1268,1304,1113,NA
"52","44","Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-25-29-33)","A1608C0",5376,6032,6709,7270,7735,8007,8149,8157,8389,8451,8585,8774,8825,8764,8628,8475,8620,8154,7785,7712,9563,8315,7493,7734,7920,10314,9426,10991,9205,10967,8768,9567,10890,9357,10540,10822,11212,9305,13291,11779,10792,12395,14101,15540,14268,15292,12713,12987,14721,13620,14591,13714,14546,14407,13510,17039,14493,15033,10736,12334,15799,13243,11993,14080,17032,15880,14452,12170,15565,12024,15583,13365,17615,17370,10959,12751,11195,22709,18732,18767,15377,7571,17773,22441,8259,13185,12529,20278,14548,14862,12241,15018,13869,10441,17024,21501,13713,18215,13606,-11645,8157,-3807,3207,179,3462,-205,3213,9984,1896,-5259,10426,13468,3723,5448,11814,3459,-703,9796,7573,710,NA
"53","45","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+16-26-30-35)","A1072C0",-103854,-113377,-120780,-121630,-126868,-128845,-127698,-125722,-98996,-83810,-79101,-85032,-78569,-66494,-50779,-51966,-59013,-37209,-47816,-28609,-7683,5370,4037,10167,12193,-732,-9278,-16830,-17694,-31707,-31340,-51965,-52335,-66798,-74678,-80675,-74676,-76065,-54806,-38464,-50634,-63777,-87433,-56531,-84899,-53731,-72974,-99869,-109037,-139000,-164249,-165616,-186428,-218042,-251568,-261959,-321986,-325765,-359199,-348207,-351185,-309621,-339839,-266873,-324076,-383433,-384804,-419134,-451517,-437484,-435956,-421206,-437708,-524127,-543344,-614972,-573895,-597332,-629062,-714177,-701784,-711205,-748535,-651851,-659851,-642343,-563974,-505672,-576486,-574924,-571423,-481380,-265449,-217054,-226087,-268967,-285107,-317917,-335290,-288443,-334352,-355873,-316888,-326312,-363504,-349481,-298151,-301218,-308151,-280585,-248472,-194948,-270577,-273827,-242640,-280501,-324105,-288696,-326770,-321652,-315566
"54","46","Balance on secondary income, ITAs (17-36)","LA0000380",-20796,-24832,-25832,-25076,-20512,-22008,-22824,-27704,-24296,-22460,-23608,-30740,-24192,-23012,-26520,-30956,-26160,-30576,-29356,-20532,59312,14372,-12132,-21952,-28840,-33396,-38068,-46244,-33356,-36444,-39624,-49824,-33980,-35656,-40336,-51092,-37772,-36524,-38172,-39824,-44968,-38092,-38604,-50412,-39868,-41068,-42664,-56640,-48212,-49444,-52560,-62532,-47570,-45408,-46820,-55579,-48955,-53416,-55949,-71337,-59570,-61185,-64597,-68797,-73916,-59318,-59190,-64799,-72387,-67251,-69431,-71781,-93632,-84665,-83441,-90314,-94526,-98028,-97223,-105505,-75051,-91072,-99906,-87360,-128699,-104714,-108296,-113788,-144824,-126510,-126020,-115488,-115121,-127815,-134025,-118380,-136173,-118059,-125186,-120439,-136892,-133484,-128241,-132146,-133311,-131193,-122995,-112801,-118421,-126640,-128651,-117927,-117277,-85052,-135055,-139358,-135015,-123112,-146263,-137302,NA
"55","47","Less: Statistical differences \2\","LA0000390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-118,2928,738,664,-2117,-654,1067,2138,268,798,-6,0,-2,1,-1,162,54,-3,35,176,-5,79,59,925,0,748,0,3468,336,491,1,113,80,0,2400,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,-1880,-1880,-2579,NA
"56","48","Plus: Adjustment for U.S. territories and Puerto Rico \3\","LA0000400",-3670,-3647,-3606,-3589,-3551,-3528,-3524,-3576,-3580,-3683,-3743,-3846,-3929,-4069,-4357,-4561,-4863,-5080,-5203,-5170,-5059,-4963,-4931,-5012,-5139,-5256,-5337,-5333,-5469,-5513,-5583,-5603,-5752,-5817,-5799,-5884,-5940,-5998,-6024,-5942,-6429,-6550,-6553,-6449,-6366,-6284,-6368,-6438,-6792,-6791,-6973,-6828,-7005,-7000,-7166,-7637,-7274,-7482,-7371,-7523,-7941,-8069,-8121,-8216,-8503,-8601,-8717,-8403,-8829,-9097,-8803,-8776,-8783,-8584,-8594,-8858,-9206,-9104,-9187,-9280,-10170,-10238,-10283,-10232,-10610,-10748,-10802,-10464,-10642,-16281,-10998,-11550,-12117,-16033,-12776,-13783,-14013,-13912,-14159,-15023,-15787,-15766,-15574,-14751,-15171,-14899,-15007,-14918,-14708,-14749,-15044,-14768,-14887,-14899,-14970,-15477,-15614,-15662,-16072,-16072,NA
"57","49","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, net, NIPAs (20-39) \5\","LA0000410",-24469,-28485,-29434,-28662,-24066,-25539,-26347,-31286,-27878,-26144,-27351,-34577,-28131,-27081,-30873,-35514,-31022,-35654,-34560,-25699,54252,9401,-17058,-26955,-33985,-38655,-43425,-51580,-38826,-41959,-45207,-55427,-39731,-41474,-46134,-56974,-43713,-42523,-44198,-45765,-51397,-44640,-45155,-56859,-46234,-47352,-49032,-63078,-55004,-56235,-59533,-69360,-54457,-55336,-54725,-63880,-54112,-60243,-64387,-80998,-67779,-70052,-72712,-77013,-82417,-67920,-67906,-73365,-81270,-76345,-78269,-80732,-102410,-93328,-92094,-100097,-103732,-107880,-106410,-118253,-85558,-101801,-110189,-97705,-139389,-115462,-121498,-124289,-155466,-142791,-137018,-127038,-127239,-143848,-146801,-132163,-150186,-131971,-139345,-135462,-152679,-149250,-143815,-146897,-148481,-146092,-138002,-127719,-133129,-141389,-143695,-132695,-132163,-99951,-150025,-154835,-150587,-136894,-160455,-150796,-161330
"58","50","Balance on current account, ITAs (40+46)","B1265C0",-136840,-142760,-152197,-156904,-157054,-159940,-160521,-165127,-131811,-115587,-111696,-125548,-113967,-100675,-88200,-95101,-94583,-78092,-86150,-57032,39830,10106,-16746,-21605,-24936,-47556,-58811,-75147,-59100,-82713,-85212,-112228,-99925,-114314,-126424,-145778,-125735,-128053,-107910,-92584,-109758,-119367,-144232,-125739,-144319,-115193,-130871,-172501,-176017,-205393,-235561,-243301,-250667,-279496,-314811,-337128,-387240,-395056,-426860,-433849,-427515,-384529,-417869,-351355,-415968,-460047,-459477,-496837,-539946,-517076,-521496,-506877,-550343,-627261,-638175,-719301,-679229,-717922,-745306,-839278,-792234,-809487,-864252,-760932,-796374,-756466,-683815,-637925,-732348,-712971,-707651,-610189,-392930,-356125,-376524,-410519,-432850,-456147,-471376,-407472,-472959,-484124,-433637,-450699,-486145,-471857,-421708,-418968,-410875,-390458,-379174,-326534,-385773,-368158,-391620,-412553,-473509,-444695,-496825,-501256,NA
"59","51","Less: Gold (41)","A2031C0",-6803,1488,1138,-2910,-1927,-1071,-1838,-3535,-122,-856,-407,-993,-2443,-2446,-2340,-3752,-805,-2150,-1204,-212,-2348,-2103,-1558,-2272,-517,-3284,-2337,-2443,-1462,-4434,-5548,-475,-4101,-2772,-1983,-2624,-2311,-6668,-2709,-3472,-4040,-5780,-4996,-3662,-5697,-5474,-2938,-3828,-4596,-3835,-4812,-2167,-2719,-2326,-3716,-3207,-2809,-1685,-2288,-2656,-1891,-1329,-2159,-2156,-1553,-2228,-1680,-1320,-1219,-1085,-1311,-1387,-2336,-2095,-1495,-2331,-926,-1182,-1805,-2454,-1372,-734,730,-267,-1024,2423,-628,410,2112,1704,194,99,-120,-2279,-926,-3009,121,-4208,718,-11771,4907,94,12874,6424,12899,7392,1270,4179,16729,10543,7492,-1239,4612,-4920,-3222,9610,4122,-76,6761,3780,NA
"60","52","Less: Statistical differences (42+47)","A2036C0",-15,-10,-9,-11,-10,-11,-16,-8,-14,-16,-17,-20,2,-9,6,4,-30,-49,-44,-50,-71,-84,-81,-77,19,27,27,33,856,48,-235,-761,918,-225,185,-1005,-482,-81,177,265,69,10,-85,-171,-86,-116,-57,119,-38,101,44,-245,-115,2928,750,666,-2120,-658,1069,2142,261,798,-8,0,2,4,13,163,58,-6,38,175,-5,79,57,926,3,749,-3,3475,338,493,-2,110,77,0,2399,39,-3,-2,-5,-2,-1,4,0,0,-3,-5,5,0,0,2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,-20508,-26164,-26163,-49064,NA
"61","53","Less: Other items (43)","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1232,1220,1380,856,864,964,884,1048,1192,1088,1112,1156,1252,1268,1304,1113,NA
"62","54","Plus: Adjustment for U.S. territories and Puerto Rico (44+48)","A1610C0",1706,2385,3103,3681,4184,4479,4625,4581,4809,4768,4842,4928,4896,4695,4271,3914,3757,3074,2582,2542,4504,3352,2562,2722,2781,5058,4089,5658,3736,5454,3185,3964,5138,3540,4741,4938,5272,3307,7267,5837,4363,5845,7548,9091,7902,9008,6345,6549,7929,6829,7618,6886,7541,7407,6344,9403,7219,7551,3365,4811,7858,5174,3871,5864,8529,7278,5735,3766,6735,2928,6780,4590,8833,8787,2364,3893,1990,13605,9545,9487,5207,-2668,7491,12210,-2351,2437,1726,9813,3905,-1418,1243,3469,1752,-5592,4248,7717,-300,4303,-553,-26668,-7630,-19572,-12367,-14571,-11708,-15104,-11795,-4934,-12812,-20008,-4617,-1300,-11163,-9451,-3156,-12018,-16317,-5866,-8499,-15362,NA
"63","55","Equals: Balance on current account, NIPAs (45+49)","A124RC0",-128322,-141860,-150218,-150295,-150932,-154383,-154049,-157009,-126872,-109954,-106454,-119615,-106700,-93573,-81653,-87480,-90034,-72862,-82377,-54313,46571,14772,-13026,-16793,-21792,-39387,-52703,-68410,-56520,-73666,-76547,-107392,-92066,-108272,-120812,-137649,-118389,-118587,-99003,-84230,-102032,-108417,-132588,-113390,-131133,-101083,-122006,-162947,-164041,-195235,-223782,-234976,-240887,-273378,-306293,-325838,-376099,-386009,-423587,-429204,-418965,-379673,-412552,-343887,-406492,-451352,-452709,-492499,-532787,-513828,-514226,-501937,-540117,-617456,-635439,-715068,-677626,-705214,-735472,-832430,-787342,-813006,-858727,-749558,-799241,-757806,-685471,-629962,-731952,-717714,-708441,-608415,-392687,-360902,-372886,-401131,-435295,-449888,-474635,-423905,-487032,-505122,-460702,-473209,-511985,-495573,-436153,-428937,-441280,-421973,-392167,-327643,-402741,-373777,-392666,-435336,-474693,-425590,-487225,-472447,NA
"64","56","Balance on capital account, ITAs","W371RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,52,248,-6116,20,2488,52,272,44,32,3464,912,40,32,-476,1776,-448,8,8,8,8,64,352,452,156,8,-16,52,-16,28,4,12,16660,0,-8,40,-24,0,-16,-52752,-24,-28,8,276,308,328,5008,1968,-20,224,0,-12692,272,8640,332,-61448,12,4880,1948,8,316,0,-1772,228,8,32,72,-24172,28,80,116,144,224,12,8,584,28,114,3415,1200,14,211,963,1880,-30672,159,906,582,0,170,6,3,0,0,79,0,0,NA
"65","57","Less: Statistical differences \2\","W372RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,11,-13,17,7,8,10,-2,-3,8,2,-8,1,2,8,-8,4,-1,0,-6,-5,5,-1,-2,-1,-1,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,NA
"66","58","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,144,144,152,156,156,168,172,172,168,172,172,172,172,152,160,176,156,140,148,156,188,204,208,200,180,208,196,196,204,220,224,228,208,208,212,220,252,252,268,292,352,384,380,396,204,228,224,232,348,392,360,364,320,284,363,303,269,267,240,286,250,257,272,258,260,277,278,280,276,260,271,292,350,347,373,371,1310,367,379,444,503,492,550,544,514,491,463,435,411,411,405,395,421,448,395,440,426,411,424,415,395,403,396,412,313,NA
"67","59","Equals: Capital account transactions (net), NIPAs \6\","W167RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,972,832,152,156,28352,4440,568,16012,176,224,420,-5944,192,2640,212,448,200,172,3612,1068,228,236,-268,1976,-268,216,204,204,212,284,576,680,364,216,196,272,236,280,272,304,17012,384,372,436,180,228,208,-52520,324,364,368,640,628,612,5371,2271,249,491,240,-12406,522,8897,604,-61190,272,5157,2226,288,592,260,-1501,520,358,379,445,-23801,1338,447,495,588,727,504,558,1128,542,605,3878,1635,425,622,1368,2276,-30251,607,1301,1022,426,581,430,419,395,403,494,412,313,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
