"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"987","145","          Government employees' expenditures abroad","DARTRA3",50.906,52.039,51.668,47.268,46.096,45.409,45.472,45.49,45.77,46.536,47.2,47.979,49.54,50.081,50.237,49.295,49.137,49.097,49.904,49.588,48.846,43.928,45.006,48.563,60.05,65.659,70.078,70.802,74.121,77.797,84.638,87.098,87.759,83.166,82.758,83.105,86.829,86.971,86.037,81.415,80.479,80.484,83.005,83.577,83.831,83.528,83.427,83.194,81.523,81.382,81.796,83.651,84.62,85.495,86.922,87.125,86.717,83.765,83.645,84.391,86.902,88.889,91.187,95.055,97.228,98.803,100.263,100.226,99.159,94.129,93.182,93.474,95.993,97.714,99.831,104.494,105.935,106.138,103.339,102.587,102.067,100.025,101.196,103.848,112.711,115.152,115.602,111.542,109.807,107.877,107.8,106.542,106.056,102.425,102.943,103.744,107.537,107.206,106.403,105.492,104.759,104.49,104.041,102.988,100.707,95.005,92.821,91.746,94.376,94.968,96.324,98.047,98.728,97.866,94.34,92.364,90.758,90.125,88.516,86.615,84.847,84.08,84.696,85.454,86.767,87.28,88.185,88.531,89.604,90.63,91.977,92.783,94.442,93.545,91.579,86.877,85.082,84.311,85.655,85.782,85.854,84.698,85.094,85.846,88.103,88.668,88.739,88.32,87.889,87.426,86.882,85.982,84.7,82.131,81.399,81.507,81.772,81.93,81.984,81.938,81.593,80.947,79.984,82.508,88.941,100.291,107.632,109.76,106.334,103.729,101.949,100.978,100.382,100.139,100.229,99.47,97.91,95.59,95.545,97.747,101.16,104.502,107.772,110.969,112.825,113.219,112.086,110.889,109.667,108.459,107.554,106.913,106.553,105.434,103.605,101.146,100.309,101.002,103.236,104.879,105.923,106.35,106.285,105.711,104.981,103.857,102.31,100.328,99.64,100.274,102.269,102.217,100.119,96.108,93.401,91.896
"988","146","          Private employees' expenditures abroad","DARSRA3",34.668,35.291,34.889,31.781,30.865,30.283,30.206,30.101,30.171,30.557,30.874,31.264,32.162,32.387,32.362,31.633,31.416,31.277,31.675,31.36,30.782,27.603,28.187,30.306,37.276,40.582,43.142,43.458,45.355,47.471,51.515,52.901,53.216,50.34,50.089,50.343,52.642,52.773,52.405,49.426,48.894,49.243,50.559,51.032,51.378,50.823,50.962,50.737,49.975,49.872,49.933,51.098,51.628,51.844,52.947,53.231,52.733,51.164,50.839,51.493,53.115,54.312,55.659,58.006,59.326,60.402,60.719,60.973,60.349,56.891,56.885,57.44,58.56,59.484,60.921,63.953,64.581,64.736,62.867,62.475,62.301,60.944,61.693,63.475,68.538,70.129,70.333,68.221,67.163,65.611,65.393,64.781,64.341,62.31,62.958,63.396,67.058,67.954,68.906,69.382,70.112,70.829,71.265,71.271,70.586,67.384,66.327,65.792,68.263,69.022,70.14,72.182,72.942,72.872,70.941,69.733,69.233,69.422,68.849,68.048,67.281,67.158,68.367,69.528,71.077,72.206,73.381,74.085,75.617,76.728,78.468,79.488,81.979,81.953,80.998,77.297,76.322,76.274,78.172,79.001,79.812,79.504,80.676,82.23,85.245,86.578,87.36,87.579,87.699,87.701,87.534,86.919,85.826,83.341,82.634,82.7,82.677,82.575,82.397,82.149,81.633,80.848,79.779,82.215,88.568,99.846,107.168,109.346,106.033,103.523,101.823,100.919,100.379,100.182,100.309,99.576,98.029,95.712,95.662,97.853,101.244,104.565,107.815,110.994,112.835,113.215,112.072,110.867,109.641,108.432,107.529,106.892,106.539,105.427,103.603,101.149,100.316,101.012,103.249,104.894,105.939,106.367,106.301,105.726,108.271,110.635,112.794,114.749,116.764,118.847,121.007,121.799,121.196,119.261,117.496,115.867
"989","147","        Less: Personal remittances in kind to nonresidents","DREMRA3",50.506,51.242,51.844,51.219,51.82,52.788,55.014,55.955,56.642,57.356,57.172,56.104,52.975,51.626,50.299,50.052,48.918,47.586,44.915,43.813,42.892,42.301,42.426,43.236,46.492,46.779,46.403,42.883,42.496,42.864,46.141,46.432,46.091,44.409,43.563,42.707,40.155,40.282,41.519,46.583,47.515,47.51,43.403,43.368,44.53,49.473,50.764,50.932,46.104,47.351,50.407,61.496,63.273,61.829,50.349,47.442,46.206,49.209,50.292,51.215,54.13,53.927,52.352,46.363,46.039,47.19,54.746,56.822,56.706,52.573,52.292,52.998,55.515,57.274,59.316,63.377,63.631,62.968,59.23,57.43,55.073,52.196,51.993,52.99,58.376,58.991,58.064,52.433,51.739,52.082,54.522,56.272,58.473,63.847,64.718,63.856,55.959,54.469,55.317,60.13,63.945,67.39,74.601,76.024,75.646,70.276,69.018,68.321,69.365,69.401,69.506,69.907,69.443,69.098,68.121,68.82,69.847,72.499,73.416,74.496,74.513,74.756,75.244,76.071,77.024,77.681,76.956,76.783,75.612,79.3,80.692,79.45,69.599,70.787,75.459,94.841,98.065,96.445,75.721,74.312,79.785,99.15,108.036,114.44,128.294,127.064,118.623,85.626,78.719,79.607,104.621,107.661,104.465,84.458,78.933,77.875,81.367,86.824,94.081,103.266,109.163,111.242,111.678,114.716,117.58,124.051,130.104,129.552,123.753,115.666,107.254,96.502,90.834,89.069,94.419,95.892,94.259,89.283,94.047,109.021,132.298,149.282,159.18,162.523,165.087,166.762,167.332,165.396,161.117,153.793,142.514,126.036,106.122,94.157,89.777,93.551,94.815,93.97,89.954,88.755,90.39,95.282,97.822,98.757,91.116,85.936,83.626,84.488,84.993,84.462,82.736,81.578,82.27,85.086,88.974,92.33
"990","148","Services","DSERRA3",68.337,68.652,68.798,68.993,69.284,69.617,69.624,69.979,69.85,69.932,70.259,70.442,70.62,70.938,71.18,71.235,71.314,71.452,71.606,71.711,71.838,71.861,72.054,72.409,72.722,72.8,72.726,73.143,73.362,73.39,73.94,74.194,74.414,74.883,74.737,75.34,75.381,75.93,76.313,76.405,76.77,77.426,77.502,77.749,78.146,78.083,78.196,78.533,78.754,78.807,79.126,79.542,79.602,79.892,80.256,80.553,80.877,81.251,81.599,82.051,82.371,82.911,83.379,83.514,83.87,84.278,84.362,84.636,85.008,85.11,85.408,85.774,85.871,85.76,86.002,86,86.141,86.13,86.243,86.449,86.029,86.479,86.425,86.86,86.954,87.174,87.221,87.512,87.658,87.678,87.967,87.879,88.038,88.469,88.519,88.669,88.97,88.815,88.864,89.218,89.4,89.516,89.898,90.136,90.11,90.425,90.65,90.97,91.354,91.637,91.536,91.975,92.117,92.364,92.645,92.833,93.25,93.569,93.815,94.112,94.017,94.269,94.701,94.911,95.19,95.608,95.876,96.122,96.267,96.244,96.636,96.894,96.753,97.299,97.639,97.707,98.084,98.016,98.291,98.31,98.556,98.969,99.114,99.255,99.477,99.721,99.688,99.991,99.845,100,100.142,100.625,100.356,100.313,100.633,100.636,100.849,101.069,100.88,101.036,100.994,100.991,100.963,100.761,100.962,100.951,100.872,100.513,100.466,100.071,100.094,100.033,99.796,99.763,99.799,99.981,99.958,100.038,99.763,100.239,100.167,100.422,100.408,100.649,101.017,101.123,101.235,101.508,101.564,101.761,102.128,102.299,102.271,102.388,102.717,102.659,102.902,103.044,103.344,103.432,103.517,103.482,103.43,103.431,103.6,103.949,103.709,103.857,103.88,103.879,104.083,103.727,103.976,103.984,104.12,104.089
"991","149","  Household consumption expenditures (for services)","DHCERA3",69.396,69.779,69.943,70.104,70.412,70.749,70.759,71.139,70.972,71.047,71.376,71.55,71.714,71.988,72.246,72.315,72.388,72.487,72.656,72.774,72.927,72.964,73.202,73.632,74.011,74.162,74.08,74.524,74.755,74.774,75.4,75.623,75.836,76.359,76.172,76.768,76.799,77.348,77.712,77.794,78.147,78.799,78.845,79.077,79.459,79.357,79.439,79.773,80.011,80.069,80.393,80.829,80.875,81.169,81.548,81.852,82.192,82.581,82.91,83.369,83.647,84.195,84.672,84.829,85.188,85.611,85.618,85.875,86.238,86.292,86.583,86.962,87.074,86.944,87.17,87.131,87.263,87.241,87.34,87.529,87.049,87.497,87.427,87.858,87.931,88.154,88.158,88.429,88.541,88.527,88.766,88.615,88.749,89.186,89.189,89.331,89.653,89.515,89.568,89.905,90.058,90.165,90.557,90.823,90.809,91.11,91.352,91.703,92.047,92.33,92.209,92.696,92.849,93.105,93.41,93.603,94.051,94.363,94.622,94.989,94.97,95.24,95.698,95.849,96.112,96.524,96.836,97.086,97.178,97.066,97.403,97.637,97.432,97.963,98.264,98.301,98.628,98.53,98.788,98.804,99.067,99.537,99.673,99.813,100.03,100.294,100.269,100.622,100.479,100.642,100.755,101.242,100.904,100.749,101.031,101.026,101.213,101.382,101.134,101.231,101.15,101.089,101.021,100.761,100.931,100.798,100.695,100.38,100.377,100.052,100.085,100.079,99.832,99.811,99.86,100.01,99.99,100.005,99.697,100.203,100.137,100.397,100.358,100.587,100.974,101.086,101.252,101.551,101.622,101.846,102.231,102.428,102.413,102.554,102.887,102.831,103.091,103.175,103.453,103.507,103.587,103.617,103.614,103.578,103.761,104.03,103.713,103.786,103.741,103.732,103.978,103.606,103.817,103.745,103.829,103.796
"992","150","    Housing and utilities","DHUTRA3",72.925,73.504,72.985,73.864,74.208,74.306,74.871,75.32,74.63,74.533,75.328,75.348,75.542,76.04,75.972,75.915,76.114,75.969,75.553,76.11,75.812,76.322,76.608,76.474,76.894,76.739,76.401,77.488,77.377,77.108,77.724,77.617,78.035,79.14,78.321,79.116,78.266,79.169,79.624,79.311,80.07,80.651,80.427,80.621,80.863,80.446,80.351,80.877,81.381,81.028,81.803,81.95,82.065,82.569,82.989,83.034,83.134,83.204,82.723,83.252,83.553,83.636,83.292,84.08,84.669,85.175,84.964,85.51,85.772,85.796,86.61,88.014,86.881,87.174,87.72,86.967,87.269,87.269,87.534,87.49,87.544,87.931,86.978,87.437,87.306,87.336,87.673,87.654,88.045,87.717,87.993,87.894,87.977,88.683,88.463,88.332,88.966,88.822,88.249,89.387,89.018,88.424,89.042,89.205,88.949,89.372,89.735,90.041,90.326,90.642,89.9,90.824,90.931,91.067,91.235,91.198,91.945,92.226,92.634,93.031,93.178,93.184,94.478,94.116,94.794,95.343,95.65,95.86,95.911,95.805,95.979,96.61,94.576,96.295,96.814,96.566,97.365,97.066,98.142,97.381,97.294,97.89,97.189,96.544,97.7,98.208,97.155,98.55,97.335,97.597,97.645,98.574,98.111,97.438,98.216,97.816,98.198,98.845,98.751,98.846,98.883,98.959,98.811,98.229,98.774,99.157,99.71,99.51,99.797,98.959,100.136,99.995,99.74,99.781,99.619,100.181,100.268,100.733,99.631,101.162,100.95,101.171,100.456,100.163,101.079,101.235,101.317,101.442,101.309,101.252,102,102.466,102.075,101.534,102.342,102.004,102.442,102.478,103.221,102.908,102.862,103.067,102.72,102.334,101.71,102.225,101.647,102.723,102.82,102.842,103.587,102.887,102.858,102.598,102.593,102.231
"993","151","      Housing","DHSGRA3",70.895,71.073,71.309,71.509,71.681,71.869,72.012,72.163,72.301,72.46,72.578,72.665,72.795,72.892,72.991,73.133,73.206,73.313,73.452,73.552,73.66,73.81,73.915,74.019,74.223,74.428,74.625,74.814,75.007,75.2,75.402,75.608,75.821,76.031,76.236,76.445,76.652,76.856,77.059,77.267,77.47,77.674,77.893,78.107,78.317,78.525,78.739,78.942,79.159,79.36,79.574,79.783,79.992,80.206,80.41,80.611,80.818,81.021,81.224,81.429,81.634,81.851,82.079,82.311,82.555,82.804,83.05,83.31,83.577,83.854,84.143,84.437,84.742,85.027,85.284,85.522,85.727,85.922,86.023,86.097,86.142,86.164,86.156,86.128,86.072,86.028,85.993,85.974,85.97,85.977,85.999,86.04,86.093,86.156,86.241,86.335,86.451,86.566,86.678,86.789,86.9,87.009,87.195,87.368,87.554,87.739,87.923,88.103,88.282,88.481,88.705,88.956,89.22,89.504,89.799,90.114,90.442,90.792,91.158,91.552,91.965,92.366,92.747,93.121,93.492,93.84,94.126,94.4,94.661,94.91,95.142,95.359,95.569,95.764,95.957,96.117,96.248,96.372,96.501,96.608,96.706,96.78,96.832,96.866,96.881,96.898,96.931,96.969,97.024,97.089,97.177,97.278,97.384,97.508,97.645,97.793,97.962,98.123,98.274,98.406,98.544,98.676,98.805,98.926,99.052,99.166,99.277,99.38,99.467,99.553,99.634,99.711,99.782,99.847,99.993,100.138,100.271,100.403,100.538,100.663,100.673,100.697,100.731,100.785,100.852,100.945,101.042,101.156,101.288,101.432,101.589,101.76,101.961,102.166,102.365,102.557,102.748,102.938,103.041,103.143,103.242,103.335,103.427,103.518,103.5,103.484,103.471,103.465,103.456,103.448,103.443,103.441,103.437,103.439,103.439,103.44
"994","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",79.662,79.957,80.301,80.454,80.64,80.829,81.015,81.128,81.19,81.316,81.345,81.275,81.192,81.084,81.025,81.029,81.001,81.012,80.995,80.961,80.946,81.005,80.912,80.969,81.097,81.241,81.362,81.453,81.568,81.692,81.806,81.932,82.063,82.18,82.299,82.423,82.562,82.68,82.798,82.917,83.031,83.146,83.274,83.396,83.513,83.627,83.746,83.851,83.972,84.068,84.172,84.264,84.348,84.43,84.496,84.549,84.602,84.643,84.677,84.702,84.723,84.759,84.814,84.879,84.962,85.058,85.155,85.274,85.408,85.559,85.728,85.91,86.11,86.299,86.472,86.636,86.778,86.921,86.979,87.022,87.047,87.061,87.058,87.047,87.021,86.964,86.873,86.753,86.605,86.425,86.217,85.982,85.715,85.413,85.091,84.732,84.429,84.15,83.897,83.667,83.465,83.288,83.212,83.15,83.127,83.13,83.16,83.214,83.295,83.379,83.473,83.577,83.679,83.785,83.885,83.989,84.09,84.197,84.304,84.421,84.54,84.669,84.797,84.94,85.099,85.257,85.378,85.508,85.647,85.795,85.948,86.108,86.283,86.49,86.741,87.007,87.294,87.622,88.003,88.41,88.859,89.334,89.837,90.374,90.943,91.463,91.944,92.376,92.77,93.121,93.439,93.714,93.939,94.126,94.27,94.368,94.43,94.527,94.656,94.81,95.012,95.251,95.53,95.845,96.209,96.605,97.042,97.516,98.019,98.485,98.912,99.299,99.645,99.95,100.302,100.616,100.884,101.115,101.312,101.462,101.619,101.815,102.048,102.327,102.645,103.016,103.418,103.864,104.354,104.885,105.456,106.07,106.736,107.394,108.029,108.643,109.24,109.822,110.295,110.749,111.185,111.598,111.995,112.374,112.184,111.992,111.799,111.611,111.415,111.219,111.022,110.824,110.621,110.423,110.219,110.012
"995","153","          Tenant-occupied mobile homes","DTMHRA3",138.03,138.772,139.572,140.108,140.613,141.086,141.43,141.614,141.66,141.74,141.653,141.397,141.121,140.672,140.291,139.96,139.57,139.241,138.751,138.245,137.794,137.553,136.868,136.357,136.659,136.895,137.001,137.028,137.015,136.938,136.752,136.467,136.137,135.72,135.179,134.626,134.034,133.387,132.705,132.009,131.257,130.502,129.722,128.849,127.994,127.106,126.199,125.289,124.325,123.513,122.873,122.349,121.926,121.663,121.538,121.545,121.698,121.949,122.38,122.956,123.667,124.465,125.333,126.229,127.24,128.321,129.53,130.857,132.233,133.676,135.209,136.787,138.482,140.091,141.597,143.01,144.336,145.557,146.672,147.697,148.583,149.376,150.053,150.587,151.014,151.412,151.753,152.119,152.479,152.793,153.135,153.444,153.72,153.979,154.198,154.393,154.437,154.463,154.456,154.466,154.465,154.456,154.473,154.444,154.419,154.377,154.311,154.252,154.177,154.116,154.074,154.037,153.978,153.944,153.907,153.862,153.846,153.808,153.791,153.772,153.761,153.622,153.344,152.935,152.389,151.725,150.845,149.847,148.748,147.575,146.332,144.895,143.301,141.745,140.242,138.756,137.341,135.974,134.611,133.32,132.073,130.873,129.737,128.651,127.634,126.576,125.486,124.355,123.199,122.002,120.8,119.566,118.279,116.966,115.616,114.217,112.799,111.427,110.076,108.776,107.505,106.266,105.1,103.961,102.864,101.8,100.763,99.772,98.81,98.121,97.703,97.559,97.685,98.083,98.763,99.704,100.915,102.391,104.129,106.136,108.451,110.511,112.316,113.865,115.156,116.195,116.961,117.47,117.726,117.722,117.476,116.979,115.957,115.095,114.401,113.862,113.485,113.269,113.203,113.302,113.561,113.975,114.558,115.283,117.324,119.157,120.781,122.187,123.392,124.387,125.174,125.766,126.14,126.318,126.298,126.074
"996","154","          Tenant-occupied stationary homes","DTSPRA3",79.154,79.436,79.771,79.912,80.087,80.267,80.446,80.552,80.608,80.729,80.753,80.678,80.588,80.476,80.415,80.419,80.389,80.399,80.382,80.347,80.332,80.39,80.296,80.357,80.476,80.615,80.731,80.818,80.931,81.056,81.171,81.301,81.438,81.561,81.689,81.823,81.973,82.103,82.233,82.364,82.491,82.619,82.761,82.899,83.03,83.159,83.294,83.415,83.552,83.661,83.774,83.872,83.96,84.042,84.105,84.152,84.195,84.223,84.241,84.247,84.245,84.257,84.288,84.328,84.386,84.455,84.524,84.613,84.716,84.836,84.974,85.124,85.291,85.448,85.591,85.726,85.841,85.959,85.991,86.011,86.015,86.01,85.99,85.964,85.924,85.853,85.746,85.611,85.445,85.246,85.017,84.76,84.471,84.146,83.799,83.415,83.087,82.787,82.513,82.265,82.045,81.852,81.761,81.687,81.653,81.647,81.669,81.717,81.792,81.872,81.961,82.061,82.16,82.261,82.359,82.46,82.558,82.662,82.767,82.882,83,83.129,83.261,83.41,83.577,83.746,83.881,84.027,84.184,84.352,84.526,84.711,84.913,85.149,85.43,85.729,86.049,86.412,86.829,87.275,87.763,88.279,88.825,89.405,90.019,90.582,91.105,91.578,92.011,92.399,92.752,93.062,93.32,93.538,93.711,93.838,93.927,94.051,94.209,94.394,94.628,94.9,95.213,95.565,95.966,96.401,96.878,97.394,97.94,98.443,98.9,99.31,99.672,99.986,100.342,100.653,100.911,101.125,101.299,101.419,101.542,101.709,101.92,102.183,102.49,102.858,103.261,103.715,104.22,104.77,105.367,106.013,106.719,107.414,108.084,108.729,109.356,109.963,110.457,110.93,111.381,111.807,112.214,112.601,112.369,112.139,111.911,111.693,111.469,111.248,111.03,110.815,110.597,110.388,110.176,109.964
"997","155","          Tenant landlord durables","DTLDRA3",60.101,60.482,60.839,61.107,61.417,61.714,61.996,62.259,62.514,62.785,63.018,63.216,63.41,63.598,63.794,63.995,64.207,64.425,64.668,64.917,65.167,65.423,65.685,65.955,66.22,66.481,66.733,66.986,67.226,67.455,67.698,67.936,68.175,68.408,68.634,68.855,69.066,69.281,69.504,69.726,69.947,70.175,70.414,70.656,70.895,71.135,71.384,71.625,71.88,72.129,72.399,72.671,72.949,73.24,73.531,73.825,74.129,74.443,74.759,75.085,75.424,75.763,76.108,76.451,76.803,77.152,77.491,77.839,78.185,78.54,78.9,79.256,79.615,79.965,80.298,80.623,80.925,81.222,81.444,81.646,81.83,82.007,82.163,82.31,82.441,82.588,82.737,82.851,83.024,83.174,83.358,83.527,83.727,83.874,84.084,84.302,84.645,84.988,85.329,85.667,86.005,86.342,86.758,87.162,87.579,87.996,88.413,88.826,89.239,89.642,90.043,90.441,90.824,91.196,91.55,91.894,92.22,92.539,92.843,93.146,93.436,93.746,94.063,94.405,94.774,95.15,95.493,95.855,96.234,96.631,97.041,97.469,97.921,98.337,98.727,99.059,99.338,99.586,99.82,100.004,100.158,100.262,100.318,100.33,100.298,100.269,100.258,100.253,100.266,100.293,100.344,100.41,100.482,100.575,100.685,100.806,100.953,101.072,101.164,101.219,101.263,101.283,101.28,101.253,101.211,101.14,101.046,100.927,100.772,100.617,100.458,100.296,100.129,99.957,99.869,99.78,99.68,99.58,99.484,99.377,99.195,99.04,98.911,98.815,98.747,98.72,98.711,98.733,98.788,98.87,98.978,99.116,99.422,99.69,99.91,100.081,100.208,100.292,100.245,100.153,100.013,99.823,99.587,99.306,99.045,98.809,98.599,98.422,98.265,98.135,98.032,97.957,97.905,97.883,97.885,97.912
"998","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",68.277,68.425,68.633,68.85,69.021,69.211,69.343,69.506,69.668,69.837,69.982,70.115,70.308,70.464,70.609,70.789,70.892,71.026,71.21,71.348,71.489,71.666,71.827,71.942,72.165,72.39,72.61,72.83,73.046,73.258,73.485,73.711,73.946,74.177,74.405,74.634,74.86,75.088,75.315,75.548,75.777,76.009,76.255,76.498,76.738,76.977,77.223,77.459,77.709,77.945,78.192,78.434,78.675,78.921,79.157,79.389,79.627,79.861,80.094,80.328,80.562,80.808,81.067,81.331,81.607,81.89,82.171,82.467,82.772,83.089,83.419,83.756,84.105,84.43,84.723,84.993,85.225,85.442,85.56,85.647,85.7,85.726,85.718,85.684,85.618,85.576,85.557,85.566,85.603,85.663,85.751,85.871,86.014,86.181,86.383,86.606,86.842,87.069,87.287,87.496,87.697,87.89,88.153,88.396,88.644,88.884,89.116,89.337,89.549,89.785,90.052,90.35,90.667,91.007,91.364,91.745,92.144,92.57,93.017,93.498,94.002,94.489,94.95,95.398,95.836,96.245,96.583,96.904,97.206,97.487,97.747,97.985,98.209,98.405,98.584,98.716,98.803,98.87,98.929,98.949,98.948,98.906,98.826,98.714,98.567,98.438,98.341,98.264,98.22,98.203,98.225,98.276,98.349,98.456,98.594,98.76,98.964,99.148,99.308,99.438,99.56,99.663,99.75,99.817,99.874,99.907,99.923,99.919,99.885,99.86,99.84,99.827,99.818,99.814,99.902,99.999,100.095,100.201,100.32,100.44,100.407,100.38,100.357,100.345,100.339,100.351,100.359,100.377,100.404,100.436,100.473,100.516,100.58,100.654,100.725,100.793,100.865,100.941,100.935,100.931,100.93,100.927,100.929,100.934,101,101.064,101.129,101.199,101.263,101.326,101.391,101.455,101.516,101.581,101.642,101.701
"999","157","          Owner-occupied mobile homes","DOMHRA3",122.695,122.544,122.528,122.609,122.639,122.749,122.732,122.82,122.945,123.091,123.289,123.56,124.078,124.41,124.725,125.072,125.295,125.582,125.897,126.128,126.385,126.708,126.97,127.13,127.453,127.739,127.986,128.249,128.485,128.678,128.874,128.997,129.134,129.252,129.301,129.366,129.418,129.473,129.534,129.598,129.644,129.712,129.785,129.792,129.849,129.9,129.958,130.046,130.106,130.174,130.268,130.344,130.381,130.446,130.512,130.579,130.655,130.698,130.787,130.887,130.975,131.274,131.76,132.387,133.246,134.3,135.611,137.169,138.903,140.846,143.027,145.406,148.066,150.503,152.681,154.597,156.255,157.615,158.677,159.449,159.876,160.006,159.816,159.271,158.426,157.612,156.812,156.105,155.456,154.826,154.289,153.778,153.299,152.864,152.45,152.073,151.82,151.55,151.247,150.961,150.663,150.358,150.078,149.752,149.43,149.092,148.73,148.374,148.003,147.658,147.343,147.044,146.738,146.467,146.206,145.949,145.733,145.508,145.315,145.132,144.969,144.691,144.287,143.765,143.119,142.369,141.419,140.365,139.221,138.014,136.744,135.3,133.713,132.15,130.623,129.101,127.634,126.198,124.755,123.368,122.009,120.682,119.404,118.161,116.97,115.807,114.678,113.576,112.515,111.481,110.506,109.565,108.639,107.753,106.896,106.056,105.263,104.547,103.884,103.302,102.78,102.321,101.965,101.666,101.439,101.276,101.169,101.138,101.165,101.134,101.044,100.901,100.701,100.448,100.155,99.8,99.397,98.941,98.433,97.88,97.294,96.782,96.344,95.976,95.675,95.444,95.266,95.152,95.103,95.112,95.192,95.335,95.321,95.352,95.434,95.557,95.727,95.945,96.2,96.507,96.862,97.26,97.714,98.2,98.147,98.03,97.845,97.587,97.268,96.882,96.428,95.917,95.331,94.687,93.982,93.211
"1000","158","          Owner-occupied stationary homes","DOSTRA3",67.052,67.206,67.42,67.64,67.814,68.005,68.141,68.306,68.469,68.638,68.782,68.912,69.098,69.25,69.39,69.567,69.667,69.798,69.978,70.115,70.254,70.427,70.585,70.7,70.92,71.144,71.363,71.582,71.798,72.011,72.238,72.467,72.703,72.937,73.169,73.402,73.632,73.863,74.095,74.331,74.564,74.8,75.05,75.298,75.542,75.785,76.036,76.275,76.53,76.769,77.02,77.265,77.511,77.761,78.001,78.237,78.478,78.717,78.953,79.19,79.427,79.672,79.926,80.181,80.445,80.71,80.968,81.236,81.509,81.789,82.077,82.368,82.665,82.942,83.193,83.425,83.626,83.817,83.914,83.986,84.03,84.054,84.05,84.027,83.978,83.954,83.952,83.978,84.03,84.106,84.208,84.342,84.499,84.68,84.895,85.132,85.379,85.617,85.847,86.067,86.28,86.483,86.759,87.014,87.275,87.528,87.774,88.007,88.233,88.482,88.762,89.074,89.404,89.759,90.129,90.524,90.937,91.378,91.84,92.335,92.855,93.359,93.839,94.309,94.771,95.207,95.574,95.926,96.26,96.575,96.869,97.145,97.409,97.645,97.863,98.032,98.154,98.255,98.348,98.4,98.429,98.415,98.363,98.276,98.153,98.047,97.973,97.919,97.898,97.904,97.948,98.022,98.117,98.247,98.407,98.595,98.823,99.026,99.205,99.351,99.487,99.603,99.7,99.775,99.839,99.876,99.895,99.892,99.856,99.831,99.813,99.803,99.798,99.799,99.896,100.003,100.111,100.229,100.363,100.498,100.478,100.461,100.447,100.444,100.444,100.462,100.474,100.494,100.523,100.556,100.592,100.633,100.699,100.773,100.844,100.911,100.981,101.053,101.041,101.031,101.021,101.01,101.001,100.996,101.064,101.133,101.203,101.28,101.353,101.427,101.502,101.58,101.655,101.736,101.814,101.892
