"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232"
"11","2","Goods","DGDSRC0",169723,172618,174526,173564,175059,178398,177504,177103,175643,177565,179178,182848,185535,187793,189528,193023,195046,196687,199869,201017,206648,210932,216253,215176,222675,225584,230768,239672,246405,246956,252094,253022,253480,258504,260475,263505,274392,280854,290386,292834,298845,302664,306617,310588,314093,317558,321724,321802,333881,339822,343865,350898,357742,368369,377676,391474,407267,412682,420716,425878,435503,448598,463992,458056,467992,481542,502751,513052,530733,538969,550451,565061,580396,592927,603898,624307,629245,661000,672364,691665,707868,722167,753280,768437,792001,777829,801864,827481,860091,863785,881052,872542,886290,887949,901827,921095,925912,962633,990799,1015791,1037897,1063642,1066643,1086621,1110395,1126011,1156935,1157099,1170880,1174747,1216749,1220140,1215880,1251383,1281198,1276730,1308828,1326763,1341167,1372484,1388977,1421091,1441929,1443225,1489564,1479261,1496676,1499702,1485838,1497013,1508728,1498153,1533847,1548207,1573142,1597875,1606982,1634170,1649165,1679070,1705669,1726816,1758889,1794840,1788104,1803898,1826231,1843894,1870998,1915873,1925887,1957926,1986695,1974527,2020469,2045370,2044769,2089508,2120129,2180462,2204797,2272709,2310925,2358640,2412722,2436779,2468822,2493089,2498883,2509685,2514890,2577490,2559548,2587830,2620153,2626789,2656515,2676312,2765141,2788257,2841494,2873246,2910191,2976084,3006393,3057385,3125445,3131896,3191923,3222316,3267512,3261437,3302105,3351082,3374494,3418618,3406263,3458756,3450259,3187522,3136958,3148385,3244924,3263510,3304859,3325626,3362406,3458365,3533972,3587954,3613024,3650897,3714386,3717199,3744736,3779993,3827725,3810506,3843988,3864791,3874737,3951491,3987358,3980133,3901518,3978147,4024061,4011514,3970736
"12","3","  Durable goods","DDURRC0",43649,45464,46336,44103,45456,46434,45925,44689,42241,43320,44581,46683,47702,49047,49567,51546,52589,53882,54701,55739,57995,59477,61376,59377,64915,64817,66700,69128,72311,69720,72323,72626,71104,74482,74698,75641,80858,83084,87544,87826,90010,90448,90629,90844,89611,91009,92010,87326,98053,100989,103442,107303,110704,114065,117591,123418,131813,131296,130799,128203,126650,130582,136325,127148,131786,136693,146787,153393,163297,165898,169845,175455,183930,189223,193990,200704,198170,216187,216742,222300,223277,222101,230932,229049,232055,211916,225364,236230,246046,240936,251926,236842,246437,249227,252108,264356,268909,289584,302363,319270,331440,341270,342075,353839,368010,373251,396451,383753,391628,407293,445708,441133,418497,439101,460541,449949,470441,473223,470389,486162,486449,493343,505640,491885,515394,498408,493569,480946,471690,475248,484335,477454,496179,500989,512092,523065,527853,547844,556638,573796,588823,598720,609310,631828,621251,626914,642542,652243,659826,676331,679383,689641,705590,696587,722779,737162,737701,769239,785044,825189,819948,854806,871191,876329,920876,901930,911657,915824,926811,919478,923888,995881,974943,979662,1003535,983333,974014,1007844,1042259,1045995,1062284,1071657,1084242,1101102,1110514,1140593,1145409,1112412,1153328,1147013,1157970,1166147,1173351,1184942,1190188,1190051,1152314,1139845,1101850,1015118,1012020,1004758,1045826,1030669,1040196,1064689,1075093,1102797,1115282,1112345,1123844,1149842,1178771,1181585,1194180,1212906,1235408,1235595,1237476,1242761,1243102,1279097,1295126,1303537,1301834,1326358,1339617,1346925,1337871
"13","4","    Motor vehicles and parts","DMOTRC0",18090,19335,20073,17658,19343,19942,20130,18912,16475,17127,17870,19416,20345,21303,21146,22751,23440,24220,24378,24947,25637,25876,27107,24587,29803,29031,29793,29952,31713,28734,29679,29583,27788,30514,30241,29862,33715,34446,36819,36675,37648,37131,37673,37340,34926,36242,36415,30569,40977,42504,43688,45763,46750,48431,49577,52700,57071,55834,54038,50489,47025,48140,52135,45364,47653,48551,55500,58869,65798,66961,68708,71220,78285,78729,79879,82290,80468,92443,91180,92601,92680,86786,91801,89432,91768,74693,84156,87103,96733,89827,98766,86737,97178,96916,98652,107309,106024,121549,127089,137119,143397,147234,146100,152035,162848,165666,185417,166330,169549,180300,208067,192160,169526,186315,204254,192628,205898,202318,196832,203806,206096,207677,216833,200478,218403,206218,202933,192921,181698,181444,191685,188165,198408,202283,206549,211953,210885,223647,225960,238369,247101,245670,247732,258868,250111,251639,257579,263505,269096,273423,273767,277653,291015,279481,296882,304952,294224,315038,320676,350881,333634,357342,361029,350915,379250,353555,358808,361298,372476,365693,368964,426025,393742,395229,421393,395024,388504,402776,412831,401961,404414,405471,409595,417763,410857,426047,425188,377724,393310,392161,398316,396010,397752,403787,401227,399526,376548,354898,334659,292416,300680,305226,342448,319878,321317,337363,345782,363359,366708,353339,357246,376540,387710,391148,397180,407017,417319,416188,415242,417946,421607,439887,447675,451570,447849,460421,462843,455315,440216
"14","5","    Furnishings and durable household equipment","DFDHRC0",15144,15547,15648,15733,15522,15709,15261,15207,15187,15412,15685,16005,16063,16239,16633,16761,17057,17234,17707,18044,18903,19525,19694,19946,19929,20182,20735,21797,22178,22216,23096,23082,23244,23566,23761,24145,24917,25771,26821,26848,27297,27850,27539,27667,27769,28001,28111,28726,29022,29501,30159,31092,32272,32815,33978,35025,37112,37708,38159,38865,40123,41225,41808,40406,40846,41939,43149,44514,45847,46407,47419,49015,51128,52557,53903,55831,55322,59034,59850,61813,62542,64337,66868,67268,67446,65971,67350,70606,71451,71805,72000,70588,70092,71285,71926,73940,76084,77862,81235,83900,85802,88770,89392,91367,91976,93435,95133,97937,100123,101938,105248,106508,107870,108892,110669,110714,112287,114541,115240,118550,120105,121273,121792,122383,124564,121244,119810,118143,118395,119879,118945,117917,121980,122968,125128,127077,128331,130822,132567,133750,135196,139262,142481,145104,144180,145002,148105,149680,148780,153860,154385,157115,157854,158893,161714,163500,168136,171610,174929,179642,184587,188129,193579,198445,204170,207707,210122,210423,212659,213203,214433,219465,224779,226505,224841,227347,225158,232561,239531,243393,248592,252032,256220,260398,264478,269719,272549,278347,285873,282162,283450,282903,285895,283958,283164,280814,274777,276467,268664,254942,247389,243441,242583,243828,247813,251852,249731,252275,254723,259400,262396,266171,272406,269598,270692,272834,277655,279113,281801,282231,281483,287817,290171,292282,293811,298039,300972,302876,305285
"15","6","    Recreational goods and vehicles","DREQRC0",6289,6374,6392,6420,6359,6473,6290,6334,6352,6518,6681,6771,6720,6835,7036,7182,7274,7545,7660,7779,8234,8694,8952,9203,9381,9823,10166,10976,11509,11922,12620,13061,13126,13258,13581,14346,14727,14934,15741,15933,16410,16736,16736,17048,17838,17632,17934,18294,18352,19036,19346,20055,21192,22028,22975,24171,25474,25094,25537,25281,25533,26618,27572,26617,27786,30179,31111,32374,33289,33666,34273,35461,35855,37305,38374,39383,40047,41548,41696,43515,44471,46326,46431,46112,45539,44638,46534,49251,48531,49643,51165,50175,49926,51119,51535,52567,54870,57205,59694,62852,65816,67131,67956,70472,72999,73346,73707,76249,77741,79626,84939,89760,89772,91688,93007,92742,96272,99270,100198,103769,100770,103640,105231,105981,106704,105749,105223,104557,106159,108052,109176,107474,109458,108897,111345,114279,118577,122220,124758,128338,131789,138439,142006,149126,148846,151260,156839,157944,159665,164689,166330,169036,170572,172416,176299,179242,183884,188662,194654,198238,202687,208554,213540,218906,228745,229731,231905,233054,231431,233223,233984,241093,244670,244597,244014,245812,245877,253037,264878,272982,277904,282796,286651,289004,297657,305445,307017,309973,322983,320847,322604,329972,329757,333126,338593,341643,334473,340442,331815,310593,307713,298496,302205,306687,309134,312598,313633,315577,318309,319537,321389,324688,332864,334815,337888,340854,346763,346400,347326,346890,344795,353472,359103,361088,361667,366734,372985,383692,385021
"16","7","    Other durable goods","DODGRC0",4126,4208,4223,4292,4232,4310,4244,4236,4227,4263,4345,4491,4574,4670,4752,4852,4818,4883,4956,4969,5221,5382,5623,5641,5802,5781,6006,6403,6911,6848,6928,6900,6946,7144,7115,7288,7499,7933,8163,8370,8655,8731,8681,8789,9078,9134,9550,9737,9702,9948,10249,10393,10490,10791,11061,11522,12156,12660,13065,13568,13969,14599,14810,14761,15501,16024,17027,17636,18363,18864,19445,19759,18662,20632,21834,23200,22333,23162,24016,24371,23584,24652,25832,26237,27302,26614,27324,29270,29331,29661,29995,29342,29241,29907,29995,30540,31931,32968,34345,35399,36425,38135,38627,39965,40187,40804,42194,43237,44215,45429,47454,52705,51329,52206,52611,53865,55984,57094,58119,60037,59478,60753,61784,63043,65723,65197,65603,65325,65438,65873,64529,63898,66333,66841,69070,69756,70060,71155,73353,73339,74737,75349,77091,78730,78114,79013,80019,81114,82285,84359,84901,85837,86149,85797,87884,89468,91457,93929,94785,96428,99040,100781,103043,108063,108711,110937,110822,111049,110245,107359,106507,109298,111752,113331,113287,115150,114475,119470,125019,127659,131374,131358,131776,133937,137522,139382,140655,146368,151162,151843,153600,157262,159947,164071,167204,168068,166516,168038,166712,157167,156238,157595,158590,160276,161932,162876,165947,171586,175542,180069,182813,182443,185792,186024,188420,192202,193672,193894,193107,195694,195216,197921,198177,198597,198507,201165,202817,205042,207349
"17","8","  Nondurable goods","DNDGRC0",126074,127154,128190,129461,129603,131964,131579,132414,133402,134245,134597,136165,137833,138746,139961,141477,142457,142805,145168,145278,148653,151455,154877,155799,157760,160767,164068,170544,174094,177236,179771,180396,182376,184022,185777,187864,193534,197770,202842,205008,208835,212216,215988,219744,224482,226549,229714,234476,235828,238833,240423,243595,247038,254304,260085,268056,275454,281386,289917,297675,308853,318016,327667,330908,336206,344849,355964,359659,367436,373071,380606,389606,396466,403704,409908,423603,431075,444813,455622,469365,484591,500066,522348,539388,559946,565913,576500,591251,614045,622849,629126,635700,639853,638722,649719,656739,657003,673049,688436,696521,706457,722372,724568,732782,742385,752760,760484,773346,779252,767454,771041,779007,797383,812282,820657,826781,838387,853540,870778,886322,902528,927748,936289,951340,974170,980853,1003107,1018756,1014148,1021765,1024393,1020699,1037668,1047218,1061050,1074810,1079129,1086326,1092527,1105274,1116846,1128096,1149579,1163012,1166853,1176984,1183689,1191651,1211172,1239542,1246504,1268285,1281105,1277940,1297690,1308208,1307068,1320269,1335085,1355273,1384849,1417903,1439734,1482311,1491846,1534849,1557165,1577265,1572072,1590207,1591002,1581609,1584605,1608168,1616618,1643456,1682501,1668468,1722882,1742262,1779210,1801589,1825949,1874982,1895879,1916792,1980036,2019484,2038595,2075303,2109542,2095290,2128754,2166140,2184306,2228567,2253949,2318911,2348409,2172404,2124938,2143627,2199098,2232841,2264663,2260937,2287313,2355568,2418690,2475609,2489180,2501055,2535615,2535614,2550556,2567087,2592316,2574911,2606512,2622030,2631636,2672393,2692233,2676597,2599684,2651789,2684444,2664589,2632865
"18","9","    Food and beverages purchased for off-premises consumption","DFXARC0",61240,61261,61769,62119,61765,62939,62513,63009,63704,63934,63601,63749,64301,64367,64997,64962,65243,65346,66350,66542,67648,68892,70398,71023,71659,73218,74788,78106,79541,80589,81217,81092,81869,81971,82498,83900,85710,87920,90158,91538,93066,94114,95928,98376,101637,102599,104057,105730,105682,107247,107132,108438,109715,113835,115772,118566,121140,124031,129669,132017,137625,139639,145762,149127,151462,154809,159768,160228,163337,165833,168542,171476,175037,178888,180281,184875,188634,193791,198479,203545,210921,215700,220077,226781,232794,235963,241285,246626,250608,253984,256698,260062,262258,265873,268587,271846,270915,275722,279786,281721,285441,290612,293517,294838,297823,300540,303773,309677,314516,314120,316276,320746,321893,323996,325238,326124,332985,339885,347087,351271,357772,361995,367828,373958,382993,390002,395755,395953,400563,406296,405069,399885,402724,402249,404850,408032,408289,411418,414433,419748,423942,430151,435240,439104,440815,442461,443819,447897,453374,460108,464283,469750,473505,471791,476392,477422,478924,484447,489935,496443,504530,511115,517650,528825,526783,538526,544627,552377,555858,563455,566480,570217,571347,572909,574793,581159,588901,591881,605797,611741,620473,627762,635537,646644,655170,664268,670852,682575,688841,695608,701743,714849,725539,731768,740538,751484,757862,776548,783739,773389,768932,767413,767959,775529,785360,781984,786619,801637,815363,827808,834764,838653,844968,847309,848898,853979,863511,860797,867564,872068,876697,885318,890336,893792,891466,895096,900689,899891,902435
"19","10","    Clothing and footwear","DCLORC0",24785,25501,25440,25739,25877,26197,25866,25817,26063,26279,26616,27325,27365,27779,28016,28275,28193,28421,29002,28856,30147,31011,31443,31739,31889,31901,32750,34095,35102,35524,36293,36328,36759,37376,37956,38097,39753,40763,42141,42382,43367,44046,44841,45073,44879,45017,45288,46616,47357,48986,49500,50344,51049,52479,54150,56287,58311,58964,59392,60305,61630,62714,63568,61777,64118,66474,68077,68801,70258,71015,73007,74484,75696,77390,79847,84288,84709,89074,90498,92989,93176,94669,98109,99530,100218,100590,103933,107268,110921,112453,114727,114610,116065,114873,117179,118863,120499,125300,127905,132079,134380,138195,137287,140626,143070,145660,148005,150646,153434,156979,158876,159512,164184,166687,169457,170581,172747,175026,179295,185788,186202,189582,191482,194322,195670,195682,195928,193698,196226,200294,201335,198537,205755,208875,213453,216853,215434,217917,220185,222674,224881,225452,227681,231727,228497,229680,233430,233373,234990,239775,240423,242979,243688,244403,249883,252009,254621,257668,257448,261484,267506,271455,272167,273260,275940,280083,282522,284781,280641,278398,275289,277146,279184,278670,275506,281979,278018,282496,290193,290685,296658,294612,296610,302057,306182,311233,308387,316834,317585,318542,320821,323902,326104,323116,322592,322960,319712,327399,322662,308253,306840,302882,306999,309273,316095,318916,319489,327729,331931,337999,340358,345492,353282,351573,356200,356095,362432,362288,362406,362895,361434,368785,371232,374002,372319,377498,379221,376552,377242
"20","11","    Gasoline and other energy goods","DGOERC0",15127,15276,15208,15548,15496,15861,15917,15962,15756,15729,15729,15677,16064,16197,16127,16875,17126,16746,16863,16954,17194,17434,17937,18072,18296,18937,19435,19858,19886,20432,20965,21339,21451,21812,21886,22355,22978,22978,23442,23469,24261,25029,25057,25525,25858,26098,26333,26854,27385,27354,27742,28106,28337,28366,29506,31364,32524,33454,34235,37087,39208,44174,45647,46369,45652,46948,49400,50079,51134,51593,53228,56097,56562,57323,57900,59482,60205,60596,61166,63846,68799,75076,86106,91569,101649,102881,100975,102086,113447,114406,112599,113319,111964,106083,108679,106674,102964,105309,109281,108270,108041,109584,106991,108186,108140,111509,111049,111428,106606,89533,84804,83822,91653,96230,97925,99667,98420,99618,100873,100492,103503,116218,110673,111361,116415,113800,125454,141128,124728,119582,119775,120428,120106,124100,126849,128976,128645,126443,125055,127385,127371,124823,132233,132495,134528,135756,132615,130719,139096,147835,143460,148590,152162,144325,146479,147678,136162,131763,132056,129438,126320,144155,153402,162302,174890,183586,189354,190232,185857,190330,179817,155939,148530,168102,173329,181638,207879,180005,196829,200933,218625,224600,231159,256546,257393,256443,308413,312830,305918,325877,345764,301039,314476,344062,348024,375624,395482,420806,442393,297910,249448,262380,304834,321338,328462,317612,326921,360665,392703,418258,416920,410352,414264,412874,418062,422342,421255,402342,414827,413538,413117,413439,406627,371372,293701,317575,320394,294876,255543
"21","12","    Other nondurable goods","DONGRC0",24922,25116,25773,26055,26465,26967,27283,27626,27879,28303,28651,29414,30103,30403,30821,31365,31895,32292,32953,32926,33664,34118,35099,34965,35916,36711,37095,38485,39565,40691,41296,41637,42297,42863,43437,43512,45093,46109,47101,47619,48141,49027,50162,50770,52108,52835,54036,55276,55404,55246,56049,56707,57937,59624,60657,61839,63479,64937,66621,68266,70390,71489,72690,73635,74974,76618,78719,80551,82707,84630,85829,87549,89171,90103,91880,94958,97527,101352,105479,108985,111695,114621,118056,121508,125285,126479,130307,135271,139069,142006,145102,147709,149566,151893,155274,159356,162625,166718,171464,174451,178595,183981,186773,189132,193352,195051,197657,201595,204696,206822,211085,214927,219653,225369,228037,230409,234235,239011,243523,248771,255051,259953,266306,271699,279092,281369,285970,287977,292631,295593,298214,301849,309083,311994,315898,320949,326761,330548,332854,335467,340652,347670,354425,359686,363013,369087,373825,379662,383712,391824,398338,406966,411750,417421,424936,431099,437361,446391,455646,467908,486493,491178,496515,517924,514233,532654,540662,549875,549716,558024,569416,578307,585544,588487,592990,598680,607703,614086,630063,638903,643454,654615,662643,669735,677134,684848,692384,707245,726251,735276,741214,755500,762635,767194,773152,778499,780893,794158,799615,792852,799718,810952,819306,826701,834746,842425,854284,865537,878693,891544,897138,906558,923102,923858,927397,934670,945119,949484,961715,973528,980387,1004851,1024037,1037431,1042198,1061619,1084140,1093270,1097645
"22","13","Services","DSERRC0",140144,143267,146560,149630,151668,154193,155030,157351,159338,162374,163661,167261,169849,173223,175350,178126,179672,182164,185972,189487,193473,197153,200732,204398,207614,211656,215654,220701,224380,228899,232884,237741,241592,245693,250961,255436,262472,269738,276340,282794,288967,296506,302870,310900,318483,324975,332755,339376,346322,354429,362789,371956,382377,390246,399444,410404,419184,429361,439760,449702,458254,473689,487070,502812,519085,534280,546838,565472,581567,592995,610893,630019,650172,665616,685809,703566,728515,754292,773882,793732,813115,839381,862705,891026,914519,931087,965815,1007873,1030620,1058139,1080192,1103597,1128104,1153144,1187399,1229832,1264650,1291879,1333507,1360905,1384858,1417580,1453069,1482315,1533501,1565190,1607809,1633778,1663851,1688292,1712984,1745990,1782373,1817420,1852330,1890890,1940170,1982207,2037165,2078782,2117100,2148428,2183631,2226884,2264933,2320900,2366723,2384747,2404380,2446678,2480910,2518916,2583817,2625152,2672268,2728313,2761502,2803286,2856865,2892951,2935188,2976068,3014224,3052386,3095245,3151061,3194231,3234043,3282792,3328259,3372400,3418141,3470035,3520553,3582990,3642244,3701155,3768324,3832687,3875083,3924205,3980271,4046297,4130250,4230022,4300493,4376314,4451316,4521500,4562416,4588468,4639101,4691811,4756664,4812962,4880448,4937015,5008268,5080404,5150206,5235303,5313097,5402484,5488168,5566726,5666544,5762606,5859444,5942362,6031426,6106807,6192195,6289749,6349837,6424735,6491409,6568106,6637009,6674599,6672073,6633264,6621365,6645889,6693583,6739663,6812025,6871015,6934820,6989569,7063403,7141438,7176958,7241844,7291148,7328866,7384335,7444056,7512314,7573685,7692090,7765557,7861510,7961706,8081271,8153940,8250216,8334936,8433148,8540277
"23","14","  Household consumption expenditures (for services)","DHCERC0",135483,138471,141625,144567,146546,149109,149990,152360,154380,157177,158331,161761,164275,167703,169908,172745,174225,176520,180089,183387,187086,190723,194282,197933,201086,204860,208537,213294,216844,221410,225462,230368,234064,237846,242725,246848,253750,261012,267541,273870,279906,287227,293308,301027,308366,314644,322063,328622,335236,343000,350903,359542,369965,377639,386789,396821,405958,415596,425916,435520,443464,458137,471447,486791,502823,517713,529474,547615,562729,574171,592017,610626,630195,645678,665052,681698,706347,731604,750606,769789,787782,813459,836801,863705,886195,901606,935318,976042,998112,1024641,1045679,1067554,1091270,1115730,1148934,1190691,1225107,1251797,1292477,1318535,1341724,1372689,1407075,1434798,1486670,1517740,1559539,1584699,1613069,1635546,1659734,1692328,1728051,1762673,1795912,1833585,1879828,1919827,1972664,2012832,2051428,2080965,2114611,2156891,2193508,2246219,2288599,2305537,2325784,2367192,2400297,2437104,2499301,2538074,2582729,2637708,2672671,2714079,2766383,2801210,2841402,2879726,2914766,2950924,2994792,3049324,3091502,3129652,3174725,3217653,3260538,3308499,3365549,3417036,3477823,3533062,3586160,3647109,3705562,3743191,3790980,3844085,3906732,3986309,4080644,4146242,4215829,4283269,4348984,4384696,4406633,4454841,4502350,4560549,4610787,4674828,4732256,4802807,4874372,4944413,5029205,5106311,5195568,5282482,5365816,5459225,5552132,5637077,5710740,5791404,5863577,5950333,6043675,6106875,6176380,6233680,6301354,6358223,6386414,6377222,6352259,6348052,6372524,6417201,6463784,6534696,6596308,6661336,6717732,6790370,6861712,6901554,6961851,6997609,7036576,7078676,7146717,7211148,7268449,7380178,7450197,7542049,7636107,7752307,7827994,7921224,7992512,8079642,8175646
"24","15","    Housing and utilities","DHUTRC0",51312,52171,53398,54512,55463,56191,57034,58193,58795,59975,60641,61795,62851,63865,64945,66243,67114,67434,68684,69597,70616,71498,72611,73871,74752,76062,77215,78446,79458,80627,81729,83090,84072,85603,86892,88808,90472,91499,93456,95566,97712,99524,102197,104494,106212,107939,110471,113065,115841,118633,121302,124148,126807,129575,132238,136119,138559,141794,145318,148269,151488,156434,160795,165599,169970,174897,178722,182518,186962,190900,196503,204286,210162,213282,221138,226642,234466,241253,246733,254664,262397,268138,275988,287089,296450,306344,317754,329268,334179,347936,357638,368530,378474,382215,389515,399790,405991,415878,426532,436509,440691,453368,463056,472927,487034,491708,505289,518408,522927,533162,542013,549802,555621,566766,576545,587305,599844,607057,620142,630707,639750,646722,657842,676359,675224,692414,706359,712161,719676,733639,739971,747707,754675,766639,774463,788670,797978,806842,822360,832576,847156,860521,868107,877591,889706,907768,924108,933142,950211,959069,963165,977316,988129,1001145,1014416,1035599,1041348,1061777,1076618,1082147,1099538,1115971,1134673,1142352,1158804,1184352,1208496,1242569,1271349,1281212,1295333,1302079,1312078,1327299,1337922,1357033,1373939,1388754,1397876,1415908,1434673,1457013,1478203,1506441,1534466,1566820,1600353,1632843,1643795,1673871,1702478,1709353,1736647,1752148,1766806,1777129,1805094,1834637,1849331,1867231,1875183,1877733,1880376,1890677,1898449,1899782,1912405,1925328,1934848,1950628,1975230,1978720,1967561,1992953,2009254,2011736,2035318,2051598,2058015,2084677,2127350,2134514,2142958,2165439,2197552,2204542,2225438,2231572,2256276
"25","16","    Health care","DHLCRC0",14464,14728,14939,15195,15547,16089,15987,16497,16641,17051,17222,17567,18138,18817,19483,20105,20469,20759,21096,21583,22672,23735,24726,25464,26061,26194,25869,26027,26731,28059,29307,30616,31193,31664,32136,32722,34128,35947,37326,38902,40259,41601,42540,43831,45474,46654,48272,50256,51257,52882,54632,56129,57619,59037,60637,62079,64445,66479,68055,69722,71857,74612,77426,80434,84534,87718,89522,94225,97328,100338,103356,106376,109719,114804,117979,120260,125249,129524,132784,137249,141661,146077,151006,156614,162440,165681,174674,183848,191413,199026,206166,211047,215362,221097,228279,235991,243577,250173,256245,262505,269178,273638,278739,284352,290984,297707,306086,314004,320589,325844,332633,341572,350593,360978,371927,380547,392680,404418,416734,426373,437112,444815,454494,468414,483084,499376,515239,527102,536322,548092,561328,577295,593101,607776,620468,629794,638783,644977,652806,658668,667116,675466,684685,694578,707806,715580,723568,732589,736339,748009,754783,769130,776346,785383,796489,805572,820166,829312,836745,841958,848876,856132,867806,881541,893835,910022,926690,943151,966200,985031,1006119,1028907,1052407,1074898,1094207,1109978,1126163,1145030,1163923,1183469,1204374,1228310,1253648,1274127,1292886,1310534,1335621,1350097,1364740,1383716,1403945,1424507,1453437,1468169,1491919,1513620,1537714,1549507,1562858,1575870,1599116,1621986,1639411,1649011,1654451,1678842,1703079,1726435,1739660,1759614,1766608,1792964,1824460,1828824,1842674,1847464,1853493,1870827,1886662,1911870,1905008,1938738,1968632,2003543,2023754,2049035,2073773,2092509,2111968
"26","17","    Transportation services","DTRSRC0",8386,8585,8830,8983,9091,9127,9202,9297,9357,9501,9606,9785,9923,10129,10187,10295,10401,10526,10682,10872,11086,11248,11448,11617,11745,12007,12266,12515,12627,12945,13084,13612,13886,14072,14425,14721,15188,15628,16093,16580,17128,17726,18232,18823,19400,19706,20344,20725,21189,22047,22846,23356,23990,24286,24709,25192,25570,25918,26225,26598,27365,28079,28827,29615,30457,31418,32607,33695,34892,35730,36442,37557,39437,40832,42313,42998,43720,44991,45830,46257,48139,49916,51311,53454,54188,53833,56035,57412,59299,58834,60497,60528,60037,60918,62396,63564,64970,67107,70341,73178,76751,79170,80359,83783,87355,89632,91044,92549,93374,94046,95436,97178,99500,101803,104447,106637,109379,112617,115904,118700,121107,121817,121993,122471,124655,126738,126862,127233,122886,122767,123874,125166,129306,130819,135354,139007,141730,144101,147303,151260,155542,160091,164175,167780,170627,175502,180763,184891,187512,192201,196996,203112,208366,212699,216598,219568,222576,225370,229625,232954,236710,241375,246952,251330,256565,261924,266047,269656,270071,268406,262557,257786,258231,258234,257485,258692,261534,262552,267403,270367,273375,274923,277184,280761,283938,287389,291326,294888,297310,301568,302907,306441,310083,311135,313127,314522,314813,315147,313020,303880,295413,288940,287174,287254,288965,291650,293951,297120,300988,306763,310813,313932,312624,320604,322494,322225,328208,331257,337363,338582,345751,350873,357414,364134,366203,373674,377096,384043,392440
"27","18","    Recreation services","DRCARC0",5642,5875,6010,6156,6341,6443,6521,6615,6743,6855,6980,7202,7247,7556,7429,7587,7708,7786,8220,7990,8353,8315,8459,8789,8868,8903,8968,9163,9288,9629,9882,10273,10418,10261,10812,10314,11085,11583,11874,12268,12577,12950,12949,13226,13676,13864,14123,14346,14598,14927,15190,15753,15857,16111,16450,16899,17593,18205,18501,19093,19589,20416,21372,22413,23056,23159,23800,24596,25174,25892,27097,27976,28178,29022,30024,31025,31663,32280,33380,34077,35263,36345,37281,38012,39066,39898,41256,43129,44683,46548,48199,49075,50677,51654,53142,54426,56375,58815,60331,62195,63641,65115,66968,68745,70987,73147,74788,76908,78432,79267,80644,83134,84578,86126,87961,90443,93812,97619,100942,104564,107777,109733,112027,113124,117217,120886,123463,125507,124856,125994,127706,130172,135071,138345,141052,144734,147895,151516,156124,157966,160563,163111,166417,168547,173687,179596,183293,187792,189806,193615,198350,200560,204157,207328,209507,212279,216329,217703,221584,225203,228994,234766,241689,246770,249239,253151,257016,258153,262216,261955,261703,263286,266507,269611,272110,277383,279941,285824,292558,298395,305447,310595,314785,317589,323031,326595,329870,336098,342897,347972,353487,363426,368802,373826,378381,382372,384647,387165,386184,379969,377269,373420,375331,377979,380510,380881,387857,390961,391608,400253,403935,406445,411486,418384,422177,427057,430464,427615,436971,443637,449892,450819,457494,463791,463460,470212,472595,489279,499101
