"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236"
"11","3","      Gross investment \2\","A782RA3",8.943,8.904,9.181,9.855,11.845,12.47,12.821,14.355,15.262,17.253,19.327,19.275,17.195,17.883,19.14,18.861,22.22,27.258,31.503,36.701,36.086,36.028,36.312,37.229,39.231,40.738,40.299,38.826,40.191,38.775,35.997,35.145,35.192,36.411,33.602,32.279,33.624,33.667,35.498,34.98,35.237,34.348,35.123,35.418,36.635,36.586,39.169,40.304,43.442,42.169,42.012,39.936,39.91,39.679,41.58,41.418,45.011,42.865,44.597,46.547,46.866,46.099,47.295,46.887,45.977,45.527,48.417,46.833,47.215,47.501,47.681,47.829,46.807,47.237,49.424,49.432,51.9,50.303,52.833,54.553,56.254,54.19,55.031,54.698,53.771,54.417,54.056,52.646,53.99,50.435,50.234,45.994,47.34,46.089,46.813,46.562,42.561,41.953,42.059,40.34,39.283,39.619,37.39,39.535,41.834,40.315,38.675,39.542,41.285,43.263,42.144,41.479,43.074,39.548,43.24,45.426,46.698,43.209,42.556,41.332,42.437,43.329,42.075,40.843,40.172,45.815,47.18,48.555,44.826,47.246,50.536,50.36,52.402,50.038,47.81,48.3,49.935,47.888,46.843,47.86,46.067,47.857,47.121,49.179,49.255,50.035,52.345,53.244,55.196,56.672,57.399,60.909,61.298,65.195,67.92,67.273,68.344,70.272,74.504,72.487,73.324,75.32,76.905,76.284,73.652,75.324,75.003,76.161,76.084,77.157,79.398,79.437,82.73,82.64,82.669,84.272,82.272,83.827,83.895,83.823,86.156,84.848,83.486,82.29,80.66,81.837,80.315,81.046,77.365,78.996,82.321,80.918,82.06,83.035,80.825,80.844,82.273,85.395,85.561,86.447,87.155,87.747,87.338,85.187,84.565,88.896,93.49,92.449,93.06,95.93,96.973,100.219,100.619,100.026,99.813,99.542,101.684,108.141,102.287,107.367,110.055,111.166,112.209,111.38,111.815,113.02,114.68,114.595,116.141,118.487,115.649,117.191,114.956
"12","4","        Structures","A760RA3",11.426,12.804,14.314,16.039,16.65,18.532,19.944,20.526,22.225,25.046,28.416,28.954,28.535,30.109,30.39,31.481,32.38,35.873,37.051,37.822,39.797,40.018,40.164,41.368,42.589,41.781,41.847,43.731,46.303,44.86,45.699,44.918,45.87,46.164,44.329,43.857,44.817,45.83,46.444,46.468,48.637,48.096,48.47,49.608,52.961,52.86,55.003,57.536,57.868,57.455,55.333,51.794,52.65,54.605,56.806,57.643,61.779,57.407,58.468,62.52,60.527,60.837,60.481,61.74,62.817,63.018,66.929,64.045,65.383,67.424,67.62,67.459,66.837,69.489,72.987,74.021,74.941,73.882,73.702,76.174,78.044,76.168,74.68,76.252,76.905,79.153,79.344,78.814,77.234,76.566,73.966,69.282,68.04,67.439,70.449,69.149,68.306,68.543,67.455,68.056,66.947,63.831,63.532,65.567,66.254,64.146,64.13,64.852,65.203,67.101,63.352,61.329,65.533,60.582,62.711,66.876,70.078,64.01,60.019,57.759,59.875,61.513,59.341,57.928,56.479,67.027,69.177,69.317,61.771,66.31,68.965,70.162,72.199,68.156,64.631,63.437,67.365,61.059,57.483,59.418,56.505,55.783,55.749,57.304,55.888,55.123,57.687,56.498,58.657,60.716,62.862,63.661,64.284,68.097,69.493,68.044,71.593,72.068,73.182,70.389,73.468,73.569,74.364,75.342,73.086,75.938,74.212,75.186,73.348,74.1,74.553,76.716,80.518,78.853,78.927,81.062,79.777,80.767,81.769,84.484,87.707,84.347,80.262,79.906,79.2,82.075,82.516,82.552,78.875,80.194,83.447,84.324,84.773,85.328,83.655,83.3,83.16,87.053,88.91,93.103,95.312,93.276,90.812,86.291,85.467,89.434,95.2,94.694,96.319,95.297,95.868,99.784,101.898,99.289,99.504,99.308,102.238,109.277,100.111,107.698,111.079,109.372,110.434,111.088,110.832,109.722,112.939,110.934,110.862,113.249,109.032,107.744,106.24
"13","5","        Equipment and software","A871RA3",6.197,5.168,4.569,4.431,7.194,6.835,6.358,8.446,8.682,9.872,10.805,10.353,7.372,7.383,9.118,7.965,12.485,17.985,23.951,31.819,29.404,29.136,29.472,30.064,32.438,35.504,34.732,30.924,31.259,30.033,25.003,24.214,23.644,25.35,22.22,20.475,21.909,21.285,23.742,22.907,21.816,20.791,21.755,21.436,21.053,21.041,23.604,23.651,28.297,26.597,27.766,26.919,26.313,24.674,26.13,25.334,28.102,27.693,29.632,29.956,31.741,30.366,32.421,30.975,28.883,28.062,29.901,29.378,29.079,28.171,28.319,28.656,27.504,26.373,27.4,26.696,29.938,28.133,32.303,33.299,34.701,32.725,35.138,33.483,31.516,30.933,30.211,28.301,31.674,26.289,27.907,24.376,27.576,25.932,24.839,25.403,19.24,18.045,19.124,15.732,14.84,17.535,14.297,16.271,19.463,18.536,15.843,16.72,19.363,21.253,22.391,22.921,22.207,20.047,25.012,25.431,25.007,23.833,25.969,25.644,25.869,26.1,25.664,24.644,24.637,25.984,26.629,28.942,28.568,29.098,32.802,31.426,33.405,32.587,31.564,33.598,33.057,35.035,36.385,36.53,35.806,39.947,38.543,41.051,42.54,44.759,46.801,49.64,51.38,52.299,51.69,57.717,57.874,61.807,65.788,65.91,64.458,67.837,75.239,74.051,72.526,76.583,79.045,76.641,73.605,73.932,75.217,76.577,78.522,79.954,84.239,81.807,84.468,86.233,86.209,87.169,84.357,86.559,85.524,82.175,83.431,84.551,86.425,84.249,81.551,80.697,76.848,78.407,74.758,76.747,80.122,75.924,77.889,79.384,76.533,77.054,80.562,82.662,80.554,76.969,75.531,79.699,82.125,83.343,83.132,88.037,90.916,89.07,88.059,96.898,98.658,100.84,98.534,101.228,100.316,99.922,100.735,106.2,106.057,106.741,108.199,114.379,115.386,111.844,113.542,119.056,117.789,121.326,125.933,128.193,128.068,135.259,131.552
"14","6","Federal","B823RA3",32.008,32.06,32.079,30.958,32.003,33.947,34.65,36.543,37.258,38.666,38.257,36.329,34.586,35.354,34.122,38.2,45.637,55.391,64.871,70.103,73.279,76.155,78.162,79.423,82.438,85.031,82.723,81.556,77.171,73.018,69.4,68.572,66.931,65.391,66.093,63.614,63.112,64.791,63.617,65.854,67.051,65.997,66.25,67.197,64.759,66.859,66.576,68.121,67.009,68.614,70.027,69.013,65.886,65.633,67.682,67.915,67.827,68.443,70.382,71.606,74.255,74.553,76.781,76.378,74.532,73.839,77.93,75.857,75.458,74.959,74.379,73.324,72.424,72.548,75.473,77.588,79.344,81.447,84.734,85.424,91.281,89.964,91.385,91.21,92.783,92.027,91.249,90.665,90.179,88.729,88.79,86.401,84.701,82.037,80.841,80.409,77.278,76.17,75.824,73.473,73.778,74.945,70.904,70.67,71.829,70.731,67.737,67.777,69.921,69.796,70.144,70.676,69.865,69.304,71.047,71.224,70.555,70.406,70.206,70.385,70.971,72.14,72.558,71.849,72.103,73.822,74.075,74.723,74.835,75.759,75.637,75.628,78.045,80.01,78.926,79.189,80.837,83.239,83.149,84.046,84.162,84.934,86.213,88.764,89.837,91.744,94.318,91.004,91.788,94.662,94.301,97.447,98.47,100.882,104.266,104.212,103.672,106.967,111.034,109.343,110.005,111.574,111.721,113.397,110.331,109.213,108.4,111.646,109.359,111.818,112.879,112.322,114.019,114.159,113.152,114.162,115.033,115.365,113.255,111.062,111.121,111.035,112.314,112.38,108.934,107.371,105.824,106.094,102.948,102.387,104.845,102.019,101.83,101.644,100.681,96.859,98.881,100.839,98.412,98.231,96.968,99.097,98.463,97.735,95.359,97.77,96.938,97.814,97.248,97.67,99.642,101.926,98.169,102.139,99.97,99.722,101.679,103.91,103.92,106.124,108.235,111.535,112.326,114.804,114.891,120.765,119.751,121.154,123.249,124.068,125.539,125.922,126.113
"15","7","    Consumption expenditures","B957RA3",38.64,38.74,38.741,36.934,36.652,39.312,40.368,41.715,42.229,43.317,41.523,39.209,39.086,39.713,37.043,42.761,49.01,57.393,65.615,66.933,72.18,75.861,77.923,79.154,81.42,83.315,81.222,82.291,76.338,72.276,70.911,70.613,69.296,66.542,69.719,67.717,66.336,68.582,65.018,68.509,70.965,70.393,69.955,71.589,67.955,70.735,68.546,70.119,65.943,69.125,70.675,70.456,66.772,67.236,68.762,69.3,66.946,68.579,70.147,71.385,73.96,74.962,77.184,77.25,76.597,76.06,79.76,78.838,78.104,78.134,77.321,75.69,75.47,76.178,79.323,82.362,82.705,86.678,88.81,89.432,96.521,96.435,96.687,97.445,100.63,100.178,99.661,99.879,97.726,98.711,98.044,97.066,93.53,90.862,89.833,88.876,87.84,86.913,85.675,84.546,85.606,85.76,82.52,81.301,80.921,80.207,77.68,77.398,79.146,77.813,78.156,78.355,77.575,78.01,77.688,77.604,76.907,77.377,76.217,76.515,77.085,78.311,79.005,78.817,79.116,80.201,80.084,80.17,81.002,82.03,80.057,80.966,82.925,85.8,84.755,84.529,86.654,88.773,88.374,89.264,90.033,89.49,91.724,93.859,94.612,96.208,98.554,93.571,94.094,97.299,97.354,99.007,100.378,101.727,104.257,104.429,104.223,107.157,109.378,107.933,109.001,109.34,108.818,111.741,109.947,108.531,107.561,111.495,108.68,111.566,111.615,111.981,113.13,112.826,111.654,113.047,114.965,114.334,112.261,110.311,110.072,109.735,111.115,111.463,108.248,106.834,106.104,106.162,104.039,103.114,105.042,102.719,101.991,101.89,101.685,97.32,98.353,99.688,97.959,99.255,98.464,100.164,98.974,98.655,95.891,97.902,96.208,98.251,97.989,96.737,98.913,101.113,97.843,102.065,99.925,100.167,102.215,103.806,104.011,106.41,108.482,110.989,111.745,115.181,115.028,120.601,119.743,120.884,122.281,123.038,124.712,124.097,125.36
"16","8","    Gross investment","B787RA3",10.282,10.194,10.332,11.386,16.521,16.233,15.873,19.321,20.566,22.907,26.855,26.208,19.457,20.63,23.89,22.822,33.409,46.834,59.734,76.387,73.157,73.487,75.13,76.344,81.565,86.119,83.282,75.442,76.056,71.808,61.459,59.047,56.437,58.81,51.65,47.807,50.113,50,56.177,54.514,51.831,49.367,51.663,50.49,51.798,51.684,57.358,58.727,66.989,63.661,64.561,61.205,59.941,57.536,61.066,60.342,67.229,64.665,67.641,68.76,71.524,69.628,71.773,69.941,64.466,63.317,68.414,62.81,63.484,61.312,61.512,62.388,59.316,57.513,59.585,58.483,64.977,60.62,67.702,68.593,70.024,64.527,69.937,66.543,62.43,60.63,58.946,55.506,60.928,50.957,53.575,46.185,51.118,48.516,46.732,48.152,37.558,35.83,38.764,32.02,29.653,34.108,27.77,30.795,36.956,34.655,30.286,31.407,34.77,38.767,39.085,40.744,39.854,35.814,44.859,45.97,45.394,43.025,46.228,45.963,46.746,47.68,47.077,44.536,44.635,48.591,50.167,52.864,50.282,50.84,57.549,54.089,58.287,56.68,55.493,57.727,57.484,60.984,62.021,63.01,60.552,66.495,63.983,68.178,70.464,73.628,77.019,80.425,82.346,83.834,81.754,91.231,90.713,97.736,104.847,103.757,101.694,106.638,119.155,116.298,115.086,122.543,125.943,121.581,112.297,112.673,112.644,112.453,112.784,113.131,119.231,114.073,118.562,120.906,120.728,119.891,115.358,120.706,118.425,114.952,116.634,117.842,118.607,117.118,112.489,110.139,104.159,105.562,96.956,98.421,103.617,98.088,100.808,100.161,95.141,94.34,101.75,107.182,100.81,92.228,88.258,92.857,95.395,92.422,92.364,97.163,101.483,95.39,92.969,103.488,104.208,107.001,100.23,102.646,100.304,96.82,98.232,104.593,103.357,104.288,106.654,115.281,116.298,112.21,113.947,121.93,119.799,123.058,130.146,131.408,131.428,138.989,131.39
"17","9","      Structures","B801RA3",3.788,28.486,45.12,61.829,67.686,70.221,74.453,68.445,76.125,81.531,111.109,116.021,100.176,113.942,111.612,124.857,151.109,186.24,205.297,225.708,244.659,255.164,267.484,268.859,278.829,265.196,249.364,241.182,244.393,221.2,212.236,201.963,181.522,171.864,156.714,148.757,147.947,163.243,182.883,182.634,181.648,177.694,185.034,179.291,201.117,200.581,211.225,227.817,222.965,222.336,206.541,185.683,188.023,198.452,208.965,219.903,239.85,218.451,209.966,216.596,211.464,221.094,199.604,211.939,198.703,205.848,228.422,172.056,191.535,188.125,189.325,194.908,182.873,189.28,193.397,198.149,204.631,196.084,190.507,181.216,165.873,145.908,156.948,153.009,148.818,141.669,140.746,144.225,136.839,138.233,136.274,126.467,118.806,122.565,126.858,129.578,135.433,141.047,154.073,149.755,145.558,143.569,140.387,137.18,147.317,142.186,148.917,149.384,139.635,149.883,131.532,137.399,140.546,136.833,142.519,146.066,146.38,142.581,137.353,140.248,142.444,147.672,149.302,141.727,145.055,164.883,172.723,162.596,145.382,144.888,152.169,143.841,155.127,154.533,160.332,149.142,153.688,154.785,143.656,152.433,143.496,136.708,137.472,140.559,144.963,145.318,151.717,145.577,143.109,149.655,147.232,150.416,150.677,162.374,172.654,166.818,175.455,174.29,178.814,173.111,185.575,194.978,192.795,192.262,160.467,165.509,156.767,147.543,138.679,136.319,140.513,141.31,148.653,147.339,146.786,130.072,125.22,137.551,133.196,150.913,152.735,153.723,141.192,159.086,155.832,149.866,157.499,154.441,145.853,140.624,146.006,161.155,163.816,149.029,148.103,140.856,153.509,170.249,152.157,135.831,135.057,132.533,136.77,114.748,130.46,124.946,133.857,123.043,127.464,123.484,118.925,119.83,104.02,103.56,101.467,90.952,93.656,92.623,91.498,96.31,99.63,100.209,101.622,104.291,103.676,107.659,111.591,105.127,105.684,99.193,103.299,99.454,94.422
"18","10","      Equipment and software","B872RA3",9.804,7.806,6.63,6.321,10.906,10.375,9.608,13.573,14.171,16.064,17.563,16.565,11.14,11.21,14.558,12.534,20.737,31.095,42.283,57.126,52.401,51.855,52.453,53.538,57.908,63.653,62.168,54.988,55.318,53.037,43.499,41.956,41.043,44.168,38.328,35.178,37.499,36.184,40.692,39.071,36.511,34.405,36.081,35.385,34.936,34.86,39.596,39.616,48.131,44.908,47.016,45.35,43.933,40.783,43.417,41.857,47.045,46.195,49.742,50.322,53.409,50.815,54.568,51.829,47.515,45.845,49.071,47.952,47.11,45.257,45.36,45.782,43.728,41.443,43.15,41.677,47.543,43.926,51.419,53.074,55.771,51.969,56.424,53.378,49.634,48.45,46.849,43.107,49.205,39.033,41.851,35.273,41.002,37.994,35.76,36.91,25.605,23.404,25.277,18.845,16.844,21.205,15.496,18.654,23.793,21.98,17.113,18.181,22.386,25.444,27.445,28.553,27.37,23.555,32.443,33.262,32.596,30.506,34.316,33.745,34.358,34.814,34.029,32.145,31.917,34.061,34.912,38.714,37.759,38.402,44.735,41.96,45.209,43.556,41.635,45.305,44.512,48.154,50.524,50.596,48.961,56.12,53.323,57.483,59.453,62.809,65.729,70.08,72.433,73.294,71.335,81.213,80.619,86.854,93.352,92.862,89.512,95.075,108.247,105.831,102.869,109.903,114.012,109.206,103.246,102.954,104.164,105.288,106.968,107.709,113.986,108.021,111.999,114.858,114.742,116.319,111.919,116.121,114.196,107.534,109.166,110.391,113.193,108.734,103.967,102.221,94.207,96.29,87.813,90.312,95.402,86.656,89.339,90.976,85.351,85.606,92.068,95.57,91.24,84.04,79.536,85.326,87.538,87.978,85.088,91.769,95.239,90.044,86.318,99.563,101.286,104.44,99.458,102.453,100.069,98.019,99.167,107.069,105.814,105.912,108.072,118.447,119.374,113.797,116.052,124.917,121.416,126.886,135.463,138.523,137.575,147.854,139.671
"19","11","  National defense","B824RA3",41.246,38.512,40.485,40.761,40.65,40.32,39.727,41.721,42.802,43.585,43.489,40.736,39.072,39.406,41.997,47.867,60.604,75.099,90.482,98.494,101.962,107.416,109.945,111.913,115.292,116.195,114.692,112.528,104.917,100.488,95.321,92.018,91.54,88.185,89.138,86.119,85.758,88.075,87.809,90.574,91.11,91.831,92.593,91.495,90.456,91.355,91.284,91.98,89.413,88.352,90.595,89.427,87.831,86.53,89.292,88.257,90.586,90.003,92.612,94.201,97.735,96.662,98.196,97.056,94.769,93.788,97.116,94.666,93.264,91.471,91.183,89.298,87.35,86.927,89.951,93.384,96.78,98.823,105.278,107.939,114.391,114.475,117.329,116.091,118.945,118.809,116.492,115.417,114.218,111.631,111.462,109.107,106.22,101.182,99.624,98.883,94.238,90.637,88.791,86.255,85.014,86.342,80.237,80.092,81.662,80.199,75.452,75.976,77.723,78.968,77.088,77.079,76.478,75.286,78.153,77.99,76.896,76.851,76.69,76.388,77.238,78.414,78.446,76.289,76.772,78.504,78.705,79.056,79.457,81.059,80.811,81.266,83.659,83.858,84.007,85.117,86.733,89.344,90.111,91.755,92.78,95.367,97.029,99.799,100.406,102.719,103.428,106.082,106.409,107.542,107.11,111.685,112.449,115.701,120.366,120.905,119.963,124.485,129.334,125.702,127.551,130.63,132.563,132.372,130.956,129.837,128.568,131.282,127.033,129.739,131.305,129.995,130.274,129.9,127.681,130.032,131.144,130.788,127.297,122.973,121.05,121.133,122.795,121.852,117.228,115.249,113.116,113.849,108.886,108.956,112.203,106.989,106.676,106.588,105.21,101.898,103.682,105.631,102.839,102.439,99.154,101.632,101.208,100.937,95.973,98.744,100.181,99.702,98.313,98.276,101.501,103.969,97.925,101.841,99.901,100.334,102.041,103.132,103.734,106.838,108.358,111.349,112.289,115.894,115.09,124.835,122.368,125.765,128.984,129.582,132.723,132.516,132.669
"20","12","    Consumption expenditures","B997RA3",51.652,48.165,48.999,48.965,47.645,46.821,46.394,48.135,48.259,48.1,47.72,45.14,45.256,45.699,47.841,54.566,65.776,78.025,90.756,94.013,99.549,106.142,108.393,110.412,111.563,110.594,109.953,111.28,100.571,97.702,95.559,92.265,92.801,86.956,91.386,89.673,88.205,91.713,88.604,93.004,95.045,97.354,97.263,96.339,94.905,95.924,93.14,93.392,85.668,86.129,88.358,88.604,87.34,87.385,89.281,88.774,88.611,88.911,91.011,92.879,96.089,95.997,97.144,97.11,96.794,96.467,98.792,98.519,96.724,95.311,95.324,92.964,92.011,92.851,95.843,101.01,102.548,106.914,111.77,114.227,121.057,123.056,124.234,124.232,129.29,129.656,127.185,127.334,123.255,124.415,122.764,122.841,116.847,111.845,110.623,109.15,107.864,104.309,100.98,100.496,100.179,99.878,94.964,93.259,92.762,91.79,87.726,87.889,88.329,88.952,85.809,85.49,85.263,85.219,84.9,84.537,83.459,84.759,83.076,82.768,83.399,84.758,85.571,83.742,84.707,85.68,85.897,84.845,86.072,87.871,85.131,86.395,88.535,89.507,90.328,90.581,92.858,94.587,95.15,96.75,98.597,99.551,102.401,104.21,104.974,106.566,106.507,108.308,108.372,109.44,109.549,111.981,113.425,114.663,118.372,119.298,118.976,122.568,124.241,121.269,123.982,125.855,126.996,128.244,128.66,127.226,125.903,129.058,124.127,127.604,127.62,127.806,127.543,126.347,123.542,126.285,129.334,127.929,124.639,121.303,118.754,118.303,120.058,120.014,116.309,114.329,113.14,113.037,109.241,108.644,111.117,107.159,106.416,106.322,105.922,102.032,102.949,104.389,102.381,103.653,101.324,103.59,101.837,101.454,97.261,100.128,99.827,100.695,99.927,98.458,101.237,104.27,97.594,102.064,99.743,100.6,102.598,103.043,103.289,106.717,108.44,110.629,110.902,115.689,114.418,124.726,121.665,124.845,127.048,128.318,131.3,129.71,131.381
"21","13","    Gross investment","B788RA3",6.51,6.36,12.707,14.107,18.163,19.505,18.294,21.141,25.519,29.581,30.526,27.126,19.289,19.289,23.488,26.647,44.434,66.358,90.478,113.886,110.627,112.418,115.618,117.293,128.061,135.002,130.712,117.176,119.772,110.12,94.905,91.532,87.624,92.748,81.802,74.348,77.789,76.198,85.331,82.757,78.345,73.861,77.378,75.695,75.95,76.421,85.448,87.571,101.897,95.75,97.98,92.205,89.557,83.857,89.461,86.665,97.254,93.725,98.014,98.691,103.32,98.97,101.795,96.978,88.076,84.883,91.576,81.691,81.631,78.502,77.157,76.944,71.467,66.534,69.695,66.806,77.084,70.587,83.01,86.475,91.669,84.599,93.825,87.895,82.394,80.329,78.534,72.633,82.513,65.497,71.02,59.039,68.324,62.905,59.899,61.903,43.774,39.955,44.108,33.349,28.53,35.286,25.77,30.839,39.183,36.155,29.356,31.078,37.3,40.646,43.33,44.412,42.424,36.985,51.938,52.541,51.311,46.174,51.675,51.368,53.073,53.561,50.68,47.305,45.965,50.514,50.649,56.308,53.5,54.346,63.72,61.021,64.512,61.603,59.045,63.716,62.536,68.855,70.475,72.334,69.927,79.391,76.114,82.936,82.877,88.256,92.208,98.516,100.042,101.532,98.683,113.047,110.654,123.298,132.499,131.131,127.102,136.244,156.848,149.816,147.393,156.832,163.017,155.182,143.948,144.545,143.576,143.921,143.357,141.862,151.867,142.398,145.623,149.776,150.786,150.973,141.295,146.835,142.211,132.275,133.93,137.106,138.206,132.045,122.143,120.179,112.603,118.167,106.504,110.418,118.084,105.679,107.799,107.755,100.808,100.87,107.696,112.677,105.239,94.8,85.639,89.389,97.099,97.526,87.802,89.969,102.318,93.42,88.083,97.072,103.115,101.996,100.078,100.385,100.96,98.576,98.287,103.727,106.748,107.615,107.724,116.422,122.121,117.186,119.831,125.332,127.318,132.347,143.249,138.75,143.091,153.381,141.892
"22","14","      Structures","B808RA3",6.698,19.114,46.97,72.275,81.413,81.169,87.493,74.058,85.534,72.027,74.034,88.495,77.862,79.734,97.755,157.51,256.706,372.913,442.562,499.678,547.882,609.767,659.919,665.455,689.197,650.875,607.006,577.562,604.251,528.094,502.83,496.279,450.123,431.457,391.621,365.932,352.225,371.825,400.327,404.031,400.226,382.388,395.949,384.579,410.308,407.227,439.977,485.631,467.045,451.266,413.727,352.273,348.554,353.36,385.893,400.711,446.105,407.803,363.341,367.089,356.918,362.12,291.1,300.058,278.717,283.993,349.462,160.126,214.358,194.743,206.966,205.964,171.505,177.21,192.467,189.562,195.753,188.747,200.594,183.554,188.868,162.754,182.721,172.145,168.28,154.613,177.352,189.305,181.912,191.368,192.638,174.859,152.993,147.667,153.808,154.265,172.196,181.895,207.022,205.282,178.833,173.282,172.419,166.667,162.772,166.12,174.717,175.928,167.727,169.149,145.519,139.26,143.344,142.862,160.184,158.07,155.931,126.391,120.471,131.696,147.266,148.096,125.113,119.591,121.086,151.8,137.813,136.216,116.169,112.823,119.555,115.978,132.874,132.613,150.493,125.508,122.119,137.799,114.855,141.484,145.409,141.833,151.928,169.492,180.485,180.216,179.033,183.041,169.329,172.476,179.518,179.296,186.951,220.521,225.188,223.546,225.276,230.376,248.36,226.431,241.271,248.773,248.423,264.246,234.535,254.495,220.248,217.913,196.392,183.898,187.035,178.025,180.988,180.207,180.87,150.715,133.83,132.863,121.085,123.734,142.152,148.969,129.492,144.101,123.174,125.326,136.823,133.378,135.124,138.089,149.557,145.241,166.947,146.224,140.094,142.527,151.724,181.952,146.978,136.586,129.133,129.651,131.364,121.783,114.155,105.463,120.258,103.541,109.137,108.726,99.73,97.316,91.289,104.312,108.98,95.418,93.761,91.94,81.941,88.248,80.971,83.717,84.966,85.745,89.936,91.033,104.214,103.291,106.774,85.912,95.893,90.886,90.603
"23","15","      Equipment and software","B873RA3",6.988,5.443,10.455,10.669,14.476,16.008,14.63,18.169,21.972,26.64,27.453,23.36,16.007,15.925,19.356,20.055,33.657,50.625,71.821,92.83,87.469,86.548,87.586,89.089,98.863,107.76,105.413,92.921,94.325,87.974,73.688,70.58,68.666,74.653,65.363,58.972,63.004,60.582,68.539,65.787,61.518,57.781,60.732,59.527,58.681,59.283,66.953,67.102,82.343,76.834,80.669,77.476,74.979,69.072,73.317,69.881,78.596,76.675,82.806,83.327,88.374,83.798,89.624,84.416,76.413,72.997,76.927,74.994,72.669,70.375,68.508,68.339,64.321,59.127,61.641,58.871,68.904,62.677,74.672,78.926,83.919,77.957,86.361,80.863,75.492,74.044,71.166,64.622,75.023,57.192,62.767,51.445,62.21,56.809,53.293,55.218,35.672,31.445,34.604,23.695,20.058,26.712,17.723,22.886,31.253,28.108,20.914,22.583,29.261,32.522,36.457,37.865,35.669,30.109,44.588,45.372,44.186,40.488,46.408,45.469,46.393,46.857,45.178,42.014,40.543,43.554,44.44,50.32,48.563,49.648,59.004,56.415,58.997,55.981,52.198,58.667,57.629,63.232,66.311,66.623,63.893,73.938,69.933,75.971,75.265,80.852,85.015,91.318,93.743,95.109,91.712,106.705,103.719,114.778,124.121,122.786,118.41,127.677,148.136,142.258,138.651,148.14,154.776,145.169,135.466,134.547,136.225,136.781,137.967,137.401,147.924,138.47,141.701,146.255,147.289,150.081,141.086,147.155,143.187,132.209,132.394,135.237,138.138,130.179,121.332,119.009,109.742,116.097,103.275,107.257,114.536,101.457,101.752,103.627,96.632,96.466,103.028,105.603,100.856,90.432,81.116,85.17,93.465,94.915,84.988,88.29,100.38,92.314,85.799,95.79,103.463,102.492,101.052,99.943,100.056,98.95,98.801,105.089,109.659,109.862,110.891,120.317,126.563,120.924,123.37,129.419,129.975,135.754,147.586,145.229,148.806,161.11,148.152
