"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2008    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2008 9:00:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services","B005RX1",2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3997.9,4016,4027.8,4051.2,4069.4,4095.7,4109,4127.4,4143.3,4161.3,4190.7,4220.2,4262.9,4294.6,4325.2,4361.1,4381.3,4401.3,4449.1,4477.5,4501,4531.6,4554,4595.5,4630.7,4656.7,4689.5,4722.4
"22","14","  Housing","A174RX1",796,800.1,804.4,808.2,811.6,817.9,823.7,827.1,829.7,831.4,833.7,836.2,837,837.9,843.1,849,859.8,865.5,873.2,878.9,882.8,885.9,889,892.5,895.2,898.6,902.8,907.9,913.9,919.3,925.4,931.2,939.4,945.8,952.4,957.8,969.4,975.2,981.8,987.9,995.7,1003.3,1009.9,1016.9,1024.4,1031.2,1036.5,1042.8,1044.4,1043.7,1041,1039.3,1042,1046.3,1054.7,1064.6,1073.3,1079.7,1087.1,1095.1,1104.4,1113.9,1123.3,1131.6,1139.7,1146,1151,1156.6,1163.7,1171.6,1178.9,1188.3
"23","15","  Household operation","A186RX1",258.7,267.7,271,268,263.6,273.4,272.6,269.9,269.9,276.7,279.1,283.9,285.4,286.2,295.6,297.1,300.5,305.5,303.8,303.4,302.6,310.9,319.3,318.6,327,328.1,323.6,330.4,331.2,336.4,341.1,352.8,350.2,358.5,363.5,356.1,362.8,371.1,379.9,373.7,376.3,388.6,392.5,403,397.6,389.5,390.3,386.6,388,395.1,392.4,397.3,397.5,397.4,398,402.3,405.5,407.1,408.8,412.8,413.8,413.3,422.2,416.4,406.3,410.9,415.4,419.1,420.1,421.6,427.9,434.2
"24","16","    Electricity and gas","A175RX1",111.3,118.5,120.5,119.3,117.3,125.5,122.6,119,116.7,120.6,120.3,124.1,125.1,123.2,129.5,129.4,129.9,132.6,127.7,124.9,123.6,129.8,135.2,132,138.6,136.5,129.8,134.1,130.9,132.8,132,139.2,133.8,140.2,141.1,131.5,135.5,138.5,143.2,135.4,133.9,142,143.8,153.6,148.5,138.8,138.9,137.3,139.8,145.8,144.1,149.8,148.6,146.7,145.9,148.8,149.8,148.6,147.2,150.9,151.6,150.7,157.8,152.9,143.7,147,150.9,152.5,153.1,153.6,158.5,163.1
"25","17","    Other household operation","A176RX1",147.9,149.6,151,149.2,146.8,148.3,150.4,151.3,153.6,156.6,159.3,160.2,160.8,163.5,166.5,168.2,171.2,173.4,176.6,179,179.4,181.6,184.7,187,188.9,192,194.2,196.8,200.6,203.9,209.4,214,216.7,218.7,222.8,224.5,227.3,232.6,236.9,238.2,242.4,246.8,248.9,249.2,248.8,251,251.6,249.4,248.3,249.2,248.3,247.3,248.7,250.7,252.1,253.3,255.5,258.6,261.8,262,262.3,262.8,263.8,263.5,264.1,264.9,264.7,266.8,267.1,268.1,268.8,269.9
"26","18","  Transportation","A177RX1",196.3,196.7,195.9,193.9,187.9,186.5,185.1,185.8,189.2,192.1,197.5,198,198.3,200.7,203.6,207.3,211.9,216.3,220.5,224.7,226.9,229.2,233.4,237.5,242.3,245.6,249,253.1,259.4,261.9,265.1,266.3,268.4,271.8,273.3,274.5,279.3,281.9,285.5,287,289.9,291.9,291.6,291.7,292.9,291.5,285.9,281.6,281.9,281,279.1,279,280.7,279.9,280.7,281.2,282.3,284.3,285,286.6,287.2,287.6,287.8,288.7,290.2,289.5,291,294.1,296,299.2,301.7,303.8
"27","19","  Medical care","A494RX1",780.8,793.9,805.2,810.6,813.1,818.6,827.4,839,851.5,861.7,868.9,872.4,875.7,875.5,878.1,879.5,882.6,885.5,888.3,892,900.1,904.2,908.5,912.8,913.6,920.9,923.5,932,932.6,939.1,947.3,952.2,966.4,968.3,972.4,975.5,978,983.7,992.5,1001.8,1010.7,1022,1032.1,1042.5,1053.5,1065.7,1082.7,1099.1,1113.5,1129.9,1144.4,1158.8,1170.5,1177.4,1184.2,1191,1199,1210.3,1223.3,1233.5,1240.4,1250.3,1264,1278.1,1291.2,1298.2,1301.4,1310.5,1323.2,1330.8,1338,1352.1
"28","20","  Recreation","A490RX1",167.5,170.4,171.6,172.9,170.3,170.5,171.5,174.1,180.2,182.5,184.8,188.4,191.4,193.8,198,198.4,200.4,203.4,206.8,208.6,213,218.1,221,224.6,225.3,227.6,230.7,231,234.3,236,235.4,236.9,241.5,242.7,246.4,249.1,251.8,256,260.6,262.9,264.2,267.6,270.1,271.1,274.7,274.1,274.5,276.2,278.5,280.1,281.1,285.1,285.6,289.2,292.2,296.2,301.5,304.4,306.7,307.4,309.7,310.4,312,314.2,316.1,316.8,321.9,330.3,332,332.7,335.6,335.5
"29","21","  Other","A178RX1",617,622.9,626.8,620.8,625.8,632.9,632.1,634.4,644.8,647.9,656.4,663.6,669.7,675,684.2,694.7,699.1,693.8,695.8,696,698.9,705.3,704.3,709.4,724.4,726.2,738.8,733.2,748,755.7,772.3,782.6,796.8,815.3,834.4,841.2,855.5,870.9,882.2,901.9,934.1,934.9,953.2,961.7,954.6,964.2,957.8,964.6,962.7,965.5,970.5,967.6,966.5,970.4,980.2,984.1,1000.5,1007.9,1013.5,1024.8,1024.7,1024.6,1038.4,1047,1056.1,1068.6,1071.6,1083.5,1094.1,1099.3,1105.8,1106.8
"30","22","Residual","A963RX1",-38.8,-44.3,-47.9,-50.3,-49.9,-48.2,-49.5,-54.1,-51.3,-51.7,-49.2,-47.3,-45.4,-42.7,-41.3,-39.8,-38.2,-35.5,-33.7,-28.7,-31.2,-30.1,-26,-24,-23.6,-19.5,-18.7,-17,-15.5,-15.6,-12.5,-10.5,-10.2,-8.1,-6.2,-4.4,-4.1,-2.6,-0.9,-1,0.2,-0.5,-0.5,0.3,1.2,0,0.2,-2.4,-3.3,-3.5,-4.1,-4.2,-3.3,-7.9,-13.4,-13.7,-16.1,-16.6,-20.8,-23.4,-26,-32.6,-35.6,-35.2,-47.2,-47.8,-51.5,-56.2,-61.8,-64.8,-70.1,-69.4
