"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"17","9","    Computer and electronic product manufacturing","S3340",55002,55017,56038,56268,56621,55732,53186,51943,53708,53752,54031,54961,55798,58429,60451,64200,63825,62607,58966,55383,53678,52053,50841,49285,48439,47921,46395,47009,47447,48295,48815,49055,49057,49358,50706,50765,52435,52599,53145,53416,52581,52729,51863,52166,54496,55493,56045,54684,54681,54906,55020,55985,56370,57519,57521,58703,60557,61796,61244,60880,62640,61775,62315,61826,62328,62869
"18","10","    Electrical equipment, appliance, and component manufacturing","S3350",12825,13205,13231,13159,13260,13069,13105,13077,12829,13069,13371,13529,13764,13814,14556,14431,14381,13929,13648,13411,13431,13558,13608,13483,13542,13432,13085,13306,13546,13889,14333,14391,14712,14594,14767,15268,15954,16954,17197,17620,17799,18234,18065,18913,20031,20563,20039,18006,17255,16994,17202,17107,17341,17409,18153,18466,19270,19787,19583,19369,20008,19714,19875,19903,20320,19906
"19","11","    Transportation equipment manufacturing","S3360",68428,68077,67903,68651,72430,75476,76579,78847,78438,77148,79173,80125,79626,77246,75333,72131,70118,69252,69815,69371,68480,68321,67848,69556,68860,68617,68205,68847,68814,70234,70740,70826,73715,73280,75284,76947,79247,82303,83856,84249,86539,88422,89399,92840,94924,94814,93475,90327,89418,89342,88083,90367,94297,95924,98298,102101,107746,109117,109807,110876,113333,115897,118222,120138,122917,124740
"20","12","      Motor vehicle and parts manufacturing","S3MV0",23197,23009,23270,22944,23502,23719,22656,23007,23199,23161,23619,24858,24937,25145,25286,25124,23956,23681,23041,22212,21889,22791,23343,23655,23529,23408,23419,24242,24790,25364,26164,26184,27302,27118,26692,27474,28075,29038,29260,29373,29612,29211,29060,28870,29161,29307,28072,25839,24953,23388,23088,23588,25719,25706,25921,26563,27739,28559,29269,29250,30022,29514,29773,29961,29143,28797
"21","13","      Other transportation equipment manufacturing","S3OT0",45231,45068,44633,45707,48928,51757,53923,55840,55239,53987,55554,55267,54689,52101,50047,47007,46162,45571,46774,47159,46591,45530,44505,45901,45331,45209,44786,44605,44024,44870,44576,44642,46413,46162,48592,49473,51172,53265,54596,54876,56927,59211,60339,63970,65763,65507,65403,64488,64465,65954,64995,66779,68578,70218,72377,75538,80007,80558,80538,81626,83311,86383,88449,90177,93774,95943
"22","14","    Furniture and related product manufacturing","S3370",6900,7029,7029,7128,7077,7203,7185,7127,7187,7283,7378,7632,7879,7945,8008,7961,8217,7932,7682,7377,7376,7403,7663,7803,7914,7923,7971,8140,8392,8544,8829,8772,9006,8942,9241,9372,9620,9642,9599,9527,9547,9630,9499,9506,9523,9699,9607,8943,8525,8167,8082,8016,8175,8402,8313,8289,8505,8437,8424,8312,8355,8521,8507,8660,8692,8547
"23","15","    Miscellaneous durable goods manufacturing","S3390",14233,14056,14136,14498,14513,14458,14787,14578,14695,14962,15317,15641,16150,16193,16782,16834,17266,17342,16866,16675,16422,16515,16647,16543,16991,17251,17401,17664,18105,18200,18613,18644,18954,19349,20260,20846,21505,21897,22385,22744,23137,23393,23375,23850,23735,23244,24232,24346,24133,24174,24125,24374,24888,25395,26196,26846,27554,27842,27988,27597,27410,27437,27449,27586,27762,27198
"24","16","  Nondurable goods manufacturing industries","S30N0",159662,161166,162218,164269,162685,161860,160465,159037,159629,162766,167192,172967,176415,179577,181543,183451,183474,180720,176056,170715,170170,171623,177736,180205,185288,183825,184115,188285,191474,196842,202399,206059,215067,215558,223677,229670,232857,241389,242265,241257,245774,255902,264708,285127,307864,333471,312045,245935,239457,245113,247428,257151,269781,260747,270232,290741,313937,321082,315648,316605,325308,306875,316803,310614,318642,313545
"25","17","    Food manufacturing","S3110",32068,32101,32178,32391,31899,32075,31891,31848,31783,32106,33035,33205,34469,34477,34254,35261,35288,35519,35526,35096,34757,35199,36366,36283,37321,37267,38430,39738,40421,40682,39898,39779,40314,40445,40896,41881,41384,41594,42691,44226,45469,47829,49096,51296,52936,53888,50953,47556,47027,47794,47177,50372,50612,50504,53202,55924,58392,59626,59122,58970,60492,59974,61572,61882,61081,61617
"26","18","    Beverage and tobacco product manufacturing","S3120",11352,11648,11481,11700,11854,11644,11221,11686,11511,11616,11320,11689,11847,11927,12053,12114,12324,12580,12748,13201,12825,13255,13294,13021,12611,12908,13049,13328,13040,13283,14004,13674,13533,13627,13571,13941,13715,13773,14508,14568,14697,14586,14372,14929,15111,15056,14892,14896,15087,15242,15715,16412,16289,16140,15852,16509,16398,16594,16795,16804,17208,17493,17958,18388,18429,18678
"27","19","    Textile mills","S3130",6973,6990,6970,6941,7006,7034,7034,6921,6897,6824,6822,6821,6757,6770,6734,6731,6527,6179,5970,5703,5707,5557,5577,5609,5720,5792,5770,5766,5686,5716,5625,5535,5630,5623,5667,5766,5827,5797,5832,5710,5599,5604,5663,5802,5794,5610,5717,5554,5181,5053,4813,4785,4889,4919,5043,5221,5433,5645,5727,5589,5571,5476,5333,5321,5373,5398
"28","20","    Textile product mills","S3140",3861,3977,4026,4034,4101,3975,3875,3716,3783,3843,3843,3915,3987,4138,4276,4435,4493,4397,4329,4307,4032,3860,3681,3401,3503,3519,3477,3458,3469,3546,3591,3557,3700,3698,3662,3848,3821,3895,3965,3956,3873,3911,3910,3987,3989,3899,4055,3952,3519,3377,3296,3278,3368,3487,3622,3765,3913,3976,3929,3777,3763,3748,3672,3720,3763,3752
"29","21","    Apparel manufacturing","S3150",8643,8875,8970,8971,9092,8951,8853,8755,8895,8999,9110,9089,8986,8779,8803,8921,8656,8174,7489,7087,7187,7190,7259,7282,7391,7386,7261,7292,7151,7214,7281,7233,7375,7266,7336,7245,7137,7104,7250,7466,7448,7625,7570,7640,7723,7767,7810,8147,7972,7923,7928,7766,7767,7775,7971,8170,8545,8687,8660,8601,8630,8611,8541,8659,8715,8701
"30","22","    Leather and allied product manufacturing","S3160",1589,1646,1637,1655,1622,1679,1678,1581,1585,1613,1628,1613,1643,1644,1668,1594,1650,1619,1564,1447,1433,1373,1421,1450,1466,1461,1460,1469,1439,1427,1400,1494,1488,1475,1528,1535,1490,1546,1623,1677,1720,1717,1723,1774,1805,1925,1817,1780,1747,1728,1665,1609,1659,1662,1716,1744,1896,1949,1965,1972,1990,2062,2093,2152,2197,2217
"31","23","    Paper manufacturing","S3220",15513,15690,16064,16540,16612,16501,16464,15928,15699,15423,15707,15920,16302,16842,16986,17029,16946,16680,15956,15558,15564,15591,16069,16561,16340,16590,16566,16497,16567,17198,17746,18069,18412,18543,18762,18967,19435,19745,19925,19811,19848,19545,19565,20066,20561,21531,22036,21451,20206,18715,18226,18015,18471,19422,19624,19889,20239,20282,20386,20093,20237,20102,19828,19949,19893,19661
"32","24","    Printing and related support activities","S3230",6283,6668,6635,6912,6717,6618,6780,6447,6386,6305,6213,6548,6724,6558,6751,6852,7048,6902,6536,6115,6154,6366,6246,6344,6300,6205,6254,6271,6262,6463,6611,6654,6633,6815,7031,7024,6997,7233,7412,7310,7158,7025,7061,7254,7532,7591,7501,7548,6877,6242,6023,5960,5976,6196,6284,6472,6554,6425,6507,6421,6531,6501,6406,6421,6296,6277
"33","25","    Petroleum and coal product manufacturing","S3240",12240,11558,11617,11399,9810,9236,8758,8232,8735,9857,11685,14092,14816,15637,15572,15501,14999,14579,13333,11566,12179,13527,14813,15829,17886,15745,15469,17373,18587,19796,22151,22546,26403,25657,30772,31574,32601,37281,34505,32576,33927,38297,44276,55532,71898,90215,70717,25421,26032,35136,38176,44706,50728,39501,43379,53118,65611,65134,60528,64914,69904,55829,64266,58390,60249,56346
"34","26","    Chemical manufacturing","S3250",44970,45553,46311,47346,47492,47653,47746,47903,48185,49578,50484,52440,53240,54464,56164,56757,57096,56398,55552,54050,54269,53736,56179,56658,58152,58113,58097,58856,60370,62379,63835,66344,69333,70521,72701,74877,76913,79466,80154,80136,82119,85248,86711,91232,94119,99048,98869,85036,82785,81353,81846,81867,86435,87282,89367,95332,101164,105389,104744,102670,103455,99873,100327,98656,104729,103595
"35","27","    Plastics and rubber product manufacturing","S3260",16170,16460,16329,16380,16480,16494,16165,16020,16170,16602,17345,17635,17644,18341,18282,18256,18447,17693,17053,16585,16063,15969,16831,17767,18598,18839,18282,18237,18482,19138,20257,21174,22246,21888,21751,23012,23537,23955,24400,23821,23916,24515,24761,25615,26396,26941,27678,24594,23024,22550,22563,22381,23587,23859,24172,24597,25792,27375,27285,26794,27527,27206,26807,27076,27917,27303
"36","28","Merchant wholesale industries","S42W0",246541,251990,254611,259338,263579,264077,266746,269436,273107,274335,280262,287571,293244,297924,299548,305173,302978,301353,296541,291053,290632,292705,298444,297523,299086,297219,299610,308053,316537,322813,331692,340624,351775,355780,363562,372518,379278,392929,400678,407793,416060,420478,428459,445792,458445,475714,476152,443534,424924,412166,399827,409203,413155,416664,437607,460439,475167,489651,488206,495169,504479,503786,519466,522853,526413,523291
"37","29","  Durable goods merchant wholesale industries","S42WD0",155642,160508,161341,163670,167317,167651,170577,171856,174479,176184,178520,183575,185742,190154,190721,192178,189754,184742,180017,175210,173291,173596,175222,173463,175027,174864,174448,178208,185111,191649,200398,206295,212764,215965,218656,225883,231129,241257,247217,250409,255137,255261,255231,259574,267437,275696,280461,267379,250000,236838,229076,226233,230566,232087,238515,246847,253974,263550,269353,273050,279454,283301,288028,293183,297017,295906
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21431,22295,22674,22229,23335,22312,22999,23055,23546,24255,25328,25882,26694,27511,26669,27175,26494,25814,25917,25598,25663,26472,27246,27436,27794,28384,27774,29030,29377,29325,31081,31234,31488,33847,33910,34589,35904,36783,36468,36607,37873,37893,38110,38178,38776,40174,41803,42741,37345,34849,33792,33712,34773,33868,34621,36298,38639,40826,42738,43855,43335,44601,43972,43004,43641,43990
"39","31","    Furniture and home furnishings wholesalers","S42120",4641,4833,4939,4988,4967,5195,5250,5312,5431,5542,5564,5689,5774,6065,6115,6342,6394,6104,6047,5896,5856,6064,6260,6305,6408,6569,6512,6725,6851,6940,7110,7289,7463,7462,7724,7990,7926,8237,8423,8552,8695,8659,8669,8675,8781,8547,8396,8335,7686,7092,6724,6531,6336,6691,7053,7134,7204,7291,7244,7379,7491,7379,7461,7386,7441,7558
"40","32","    Lumber and other construction materials wholesalers","S42130",5446,5662,5693,5822,5737,5621,5446,5545,5713,5995,6011,6202,6327,6374,6198,6463,6354,6148,6365,6428,6444,6450,6641,6742,7120,7312,7585,8296,9014,9966,10752,10847,12036,11496,11063,11989,12231,12579,12607,12088,11749,11338,11163,11241,10590,11267,11440,10549,9470,8479,8306,8243,8743,8914,8569,8892,9149,9062,9255,9183,9428,10015,10443,11114,11799,11541
"41","33","    Professional and commercial equipment wholesalers","S42140",24172,25682,26158,26077,26591,25469,24816,24301,24840,24699,24392,25348,24665,24420,25050,24654,23106,22343,21148,20712,19849,19888,19588,19029,18930,18379,18674,18925,19412,19957,20183,20592,20520,20911,20765,21234,21715,22160,23114,23709,23935,24175,24387,24571,24910,25060,25453,24999,23570,22243,21565,22358,22795,23860,24040,24899,24751,25612,26524,26589,27267,27828,28114,28639,29589,29965
"42","34","      Computers and software wholesalers","S42430",14543,15742,16123,15859,16078,15206,14413,14564,14574,14632,14198,14818,13840,13399,13887,13069,11994,11080,10304,9966,9619,9673,9444,9011,9081,9066,8933,9389,9542,10010,9795,10006,10095,9984,10009,9858,10027,9793,10175,10333,10105,10136,10240,9977,10100,10013,10195,9994,9182,8888,8734,9785,10199,11069,11159,11590,10990,11921,12458,12204,12382,12915,12873,13211,14067,14571
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9629,9940,10035,10218,10513,10263,10403,9737,10266,10067,10194,10530,10825,11021,11163,11585,11112,11263,10844,10746,10230,10215,10144,10018,9849,9313,9741,9536,9870,9947,10388,10586,10425,10927,10756,11376,11688,12367,12939,13376,13830,14039,14147,14594,14810,15047,15258,15005,14388,13355,12831,12573,12596,12791,12881,13309,13761,13691,14066,14385,14885,14913,15241,15428,15522,15394
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13676,13964,13979,14028,14184,14096,14095,13926,13489,13926,13952,14432,15244,15372,15195,14568,14122,13759,13333,12888,12985,13384,14066,13826,13800,13594,13664,14548,17438,18442,20668,22759,23561,22609,22907,23966,25349,28901,30686,30757,31682,31795,30394,31266,35569,41046,39225,30674,27633,24983,25051,24652,26871,26855,27342,29805,31966,33113,32728,32798,33940,32448,33029,33712,32823,31293
"45","37","    Electrical goods wholesalers","S42160",21338,21218,21036,21033,21449,22060,22422,22763,23059,23348,24191,25539,25948,27093,27985,28818,28872,27694,25823,23988,23362,23008,23407,22676,22860,23102,23002,22652,23489,24466,24822,25456,26465,26936,27283,27631,28339,29315,30967,31431,31710,32344,32635,33924,34420,35292,36710,35626,32856,30785,29938,30214,30694,31465,32661,32894,32820,33722,34627,35056,35434,35681,35706,36995,36844,36897
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9125,9415,9498,9490,9801,10045,10044,10343,10410,10474,10468,10619,10755,11296,11370,11621,11438,11260,11325,11020,10995,11151,11351,11353,11913,11760,11686,11997,12272,12860,13495,13878,14423,14692,14879,15656,16089,16540,17120,17678,18118,18541,18583,18620,18271,18253,18790,18050,17243,16747,16043,15705,15512,15453,16090,16330,16877,17399,17395,17692,17974,18479,18599,18946,19413,19461
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",40109,42215,41567,43531,44747,46149,48045,49406,50327,50523,50778,51527,51522,52493,52990,52960,53524,53216,52121,51037,50705,49685,49377,48843,48598,47858,47447,47300,48382,50215,51418,53135,55184,56585,58032,59493,59996,62485,63897,64775,65875,66063,66649,68246,70042,69643,73057,73450,72111,68979,65549,62852,62156,63582,65369,66707,69435,71711,74019,75489,78708,81942,85477,87866,89858,89972
"48","40","    Miscellaneous durable goods wholesalers","S42190",15704,15224,15797,16472,16506,16704,17460,17205,17664,17422,17836,18337,18813,19530,19149,19577,19450,18404,17938,17643,17432,17494,17286,17253,17604,17906,18104,18735,18876,19478,20869,21105,21624,21427,22093,23335,23580,24257,23935,24812,25500,24453,24641,24853,26078,26414,25587,22955,22086,22681,22108,21966,22686,21399,22770,23888,23133,24814,24823,25009,25877,24928,25227,25521,25609,25229
"49","41","  Nondurable goods merchant wholesale industries","S42WN0",90899,91482,93270,95668,96262,96426,96169,97580,98628,98151,101742,103996,107502,107770,108827,112995,113224,116611,116524,115843,117341,119109,123222,124060,124059,122355,125162,129845,131426,131164,131294,134329,139011,139815,144906,146635,148149,151672,153461,157384,160923,165217,173228,186218,191008,200018,195691,176155,174924,175328,170751,182970,182589,184577,199092,213592,221193,226101,218853,222119,225025,220485,231438,229670,229396,227385
"50","42","    Paper and paper products wholesalers","S42210",6748,6735,7285,7622,7752,7584,7327,7265,7221,7252,7510,7618,8006,8143,8215,8482,8205,7910,7491,7344,7042,7228,7228,7442,7318,7479,7276,7468,7599,8170,8538,8691,8646,8920,9021,9306,9429,9698,9866,9737,9420,9621,9827,10108,10290,10356,10785,10711,9945,9574,9368,9397,9432,9970,9915,10201,10145,10409,10159,10478,10250,10637,10510,10700,10359,10593
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12690,13025,13836,14120,15061,15153,15358,16238,16662,17996,18774,19933,21217,22194,23162,24643,25278,27932,30126,31794,32353,32560,32304,33303,33272,32892,33431,34110,34552,33999,34126,34654,34859,34559,34127,34236,34731,35645,35948,35662,35349,36758,37215,37668,37772,37565,38655,38966,39389,38765,38920,40010,40515,41900,42418,42755,42987,43457,44405,44986,45279,45099,46197,46131,47845,49776
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11890,12238,12249,12986,13015,13184,13150,13219,13153,12370,12108,12519,12441,12264,12510,12566,13252,13401,12840,12509,12526,12685,13619,13527,13661,13904,13369,13370,13406,13180,14091,14204,14712,15124,15354,15647,15750,15654,15786,15805,15905,16092,16276,16332,16978,16373,16473,16969,16477,15484,14464,13781,14083,14486,16403,16990,17728,18680,18891,18721,18723,18641,17900,18205,18965,18564
"53","45","    Grocery and related products wholesalers","S42240",16705,16784,16708,17481,17223,17599,17466,17380,17727,17341,18112,18613,18380,18147,18511,18730,18541,18266,17756,17535,18028,18906,18615,18676,18900,18176,18862,18725,18600,18914,18829,19256,19733,19545,20284,21312,20885,21283,22353,22773,24471,24912,24769,25716,25822,26814,27668,27388,26079,26010,25854,26410,27041,27762,27834,28802,30340,30189,31657,31804,31911,32362,32562,33681,34532,34372
"54","46","    Farm product raw material wholesalers","S42250",13760,13564,13184,13480,13345,12954,12522,12481,12204,11985,12707,12226,13584,13076,12450,13839,13222,13305,13689,13460,13194,13265,16004,14848,14019,14388,15654,18318,19258,17142,13776,12847,14586,14859,14797,14718,14640,15660,16069,20537,19622,20280,25969,30980,34609,37778,30809,22551,23423,25311,20900,26772,24161,24507,33675,41568,41755,41685,35530,34629,38004,36795,41687,38871,36222,33641
"55","47","    Chemical and allied products wholesalers","S42260",4672,4736,4636,4733,4735,4819,4939,5084,5209,5270,5268,5464,5571,5562,5326,5419,5488,5565,5453,5418,5569,5670,5785,5941,6100,6062,5939,6222,6169,6553,6855,6930,7253,7354,7517,7769,7798,7994,7922,7865,8154,8526,8518,8921,9357,9745,10377,9354,8672,8436,8421,8337,8683,8986,9339,9731,10304,11095,11086,11026,11153,10997,11330,11723,11573,11827
"56","48","    Petroleum and petroleum products wholesalers","S42270",5141,4702,4712,4572,3967,4049,4218,3823,3909,4082,4597,5070,5623,5715,5758,5928,5764,6017,5609,5092,5689,5492,5981,6432,6818,6168,6557,7079,7341,7792,9526,10568,11687,11016,15088,14695,15744,16669,16156,15252,16174,17560,18187,22628,20011,23028,21404,12235,13839,15900,18065,23660,23627,21931,23354,26076,29216,30284,27295,29212,28962,25594,29852,28424,27125,27567
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4608,4941,5081,5232,5494,5269,5335,5482,6083,5816,5756,5789,5860,5893,5992,6165,6085,6232,6183,6058,6312,6253,6350,6578,6608,6581,6668,6941,6951,7091,6964,7434,7682,7771,8077,8221,8426,8515,8677,8977,9167,9439,9972,10176,10586,10760,11159,11482,11640,11539,11047,10853,10950,10955,11194,11439,11749,11977,11919,12346,12468,12849,13557,13620,14080,14371
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",14685,14757,15579,15442,15670,15815,15854,16608,16460,16039,16910,16764,16820,16776,16903,17223,17389,17983,17377,16633,16628,17050,17336,17313,17363,16705,17406,17612,17550,18323,18589,19745,19853,20667,20641,20731,20746,20554,20684,20776,22661,22029,22495,23689,25583,27599,28361,26499,25460,24309,23712,23750,24097,24080,24960,26030,26969,28325,27911,28917,28275,27511,27843,28315,28695,26674
"59","51","Retail trade industries","S440",329293,332460,335020,336519,343014,343541,344856,349918,358232,363161,367726,378611,381762,391353,396413,401620,396139,396942,398456,386748,391197,397067,402358,410737,418894,419227,423234,428779,439021,449015,455364,464892,471347,468729,471177,477222,480839,485579,489459,492212,493768,498526,505782,513406,509063,508930,505999,486796,468748,457339,443542,445849,452212,459509,470133,475806,485166,487735,491920,494130,503675,513071,522791,528963,534167,538945
"60","52","  Motor vehicle and parts dealers","S4410",101646,102387,102988,104186,106714,105353,104568,106772,112103,112817,114347,119945,120253,126691,130633,133204,126628,128212,130079,122348,126458,130579,131081,137293,142376,144296,144242,146457,150509,154235,156388,158263,159072,154658,153491,155341,155983,156375,155932,154420,151337,152766,158201,158447,155874,153325,149533,145197,132944,124776,115108,115425,119383,124899,131857,129901,131203,131757,132211,132479,139893,147773,153057,155638,157003,160311
