"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165"
"11","3","  Foods, feeds, and beverages","B638RA3",26.516,26.266,25.627,27.023,28.056,24.604,25.215,25.877,17.534,28.391,25.844,29.824,29.01,29.574,32.215,31.788,30.191,28.386,32.1,28.683,30.979,34.005,36.284,39.607,45.733,46.956,42.537,47.166,43.324,42.363,38.686,39.08,44.812,37.255,42.49,48.351,47.136,49.457,49.327,50.286,48.122,48.621,49.098,50.196,52.578,67.025,62.374,60.221,54.967,61.193,67.431,73.328,67.107,72.413,77.742,72.365,76.037,70.487,72.626,76.551,70.056,76.468,67.259,64.036,68.214,64.865,68.491,64.007,63.734,61.879,64.606,68.19,59.536,54.507,53.398,56.184,58.216,52.974,59.236,60.279,55.335,58.123,72.394,61.086,69.432,67.823,66.723,67.362,70.213,72.231,68.827,71.714,76.099,74.822,73.172,68.696,72.012,70.459,78.206,77.907,80.974,81.18,88.666,87.168,86.452,86.908,79.828,82.645,78.004,77.839,85.432,94.667,93.753,94.503,96.587,87.74,93.224,89.92,89.608,93.888,91.057,89.701,90.17,96.42,95.418,89.639,84.83,93.812,88.63,93.589,98.938,96.6,96.676,98.493,106.04,98.792,103.265,104.265,101.214,102.714,102.985,102.671,100.392,97.05,102.251,100.549,104.215,103.071,95.496,88.814,95.64,104.4,100.571,103.065,99.24,103.092,106.189,109.89,112.959,109.217,109.983,115.797
"12","4","  Industrial supplies and materials","B639RA3",23.547,23.291,22.575,22.917,23.772,25.697,28.973,26.601,20.767,30.053,29.156,29.874,31.174,31.347,29.62,30.852,28.816,28.467,30.31,23.599,30.527,26.967,28.814,32.13,34.078,35.862,37.097,38.674,39.01,40.353,36.367,34.211,33.135,31.929,32.237,33.865,34.142,34.584,36.043,36.898,35.536,36.66,37.106,33.555,34.501,39.116,42.378,41.881,42.61,43.269,46.92,47.985,49.899,53.817,51.912,49.556,49.731,46.326,46.108,49.209,48.664,47.377,45.323,44.215,42.798,43.748,44.899,45.132,44.329,46.211,47.425,47.639,47.111,45.483,46.389,47.691,47.599,47.178,49.228,51.002,48.233,49.583,49.912,52.142,54.552,54.943,57.219,58.623,58.64,64.125,64.338,63.196,64.941,64.974,65.876,69.139,70.463,71.017,70.255,71.451,72.112,72.588,72.034,71.666,70.4,69.506,69.32,71.584,70.181,73.331,76.29,76.686,78.023,78.074,81.121,82.247,82.22,81.608,83.518,87.052,87.43,91.039,92.629,92.211,91.704,89.339,88.445,89.858,87.396,89.522,90.813,95.815,97.478,97.941,102.317,102.265,99.277,96.179,94.607,94.343,94.1,97.657,96.893,96.949,99.161,97.435,98.33,100.462,103.708,105.449,104.78,106.718,107.483,110.225,108.142,106.231,112.414,115.952,115.97,120.083,117.722,118.515
"13","5","    Durable goods","B686RA3",24.732,24.514,21.729,22.369,24.066,27.4,29.648,28.901,22.958,31.825,33.079,33.771,35.864,36.385,33.668,32.43,28.09,26.957,25.085,24.075,27.34,25.795,27.814,29.704,34.352,37.475,39.108,39.268,38.363,40.102,33.378,31.767,29.712,29.933,29.716,30.642,30.184,30.846,33.054,33.254,30.798,31.846,30.904,29.34,32.843,37.668,38.789,39.194,41.308,41.64,44.364,46.975,53.725,56.607,50.28,46.452,44.727,43.452,39.074,40.223,37.926,37.63,36.053,34.685,34.198,36.183,37.262,37.26,36.376,36.841,36.035,37.566,36.041,37.193,36.628,35.797,37.357,36.939,36.689,39.392,38.965,41.293,40.818,42.751,46.178,50.116,50.247,53.046,53.859,56.974,57.099,57.173,60.814,59.528,59.359,62.883,62.307,65.151,64.072,62.878,62.716,61.308,62.344,62.091,60.473,58.743,59.418,60.289,59.379,61.39,65.56,66.696,69.319,70.389,73.928,71.542,72.267,74.862,76.881,78.067,79.322,82.538,83.226,84.388,86.959,82.891,81.37,83.522,83.153,85.136,86.874,92.094,98.029,99.701,100.626,101.645,97.601,92.333,88.583,86.925,82.333,86.951,86.316,86.138,86.961,88.143,86.768,88.654,94.358,95.289,94.093,95.646,96.712,100.159,104.283,107.378,109.945,110.811,110.745,116.107,114.01,114.738
"14","6","    Nondurable goods","B687RA3",23.218,22.936,23.399,23.574,23.959,25.103,29.018,25.678,19.818,29.485,27.336,28.081,28.944,28.921,27.736,30.405,29.662,29.758,33.764,23.675,32.812,28.039,29.815,34.008,34.419,35.461,36.486,38.901,39.952,41.088,38.614,36.112,35.583,33.539,34.154,36.208,36.911,37.234,38.284,39.527,38.774,39.957,41.207,36.464,35.955,40.516,45.056,44.034,43.977,44.833,49.07,49.263,48.425,52.996,53.604,52.059,53.329,48.651,50.821,55.09,55.543,53.667,51.309,50.335,48.361,48.731,49.94,50.312,49.546,52.269,54.659,54.118,54.153,50.903,52.669,55.238,54.151,53.73,57.253,58.424,54.169,54.934,55.756,58.182,59.967,58.147,61.775,62.299,61.81,68.808,69.079,67.156,67.702,68.577,70.166,73.286,75.77,74.895,74.338,77.093,78.294,80.04,78.401,77.952,76.946,76.674,75.838,79.113,77.347,81.296,83.357,83.236,83.705,83.093,85.827,89.281,88.764,85.999,87.843,92.927,92.731,96.598,98.78,97.31,94.753,93.522,93.053,93.963,90.093,92.32,93.322,98.186,97.137,96.849,103.357,102.656,100.336,98.57,98.359,98.985,101.591,104.423,103.568,103.769,106.858,103.329,105.646,107.936,109.626,111.879,111.544,113.72,114.278,116.552,110.613,105.628,114.019,119.242,119.299,122.58,120.047,120.882
"15","7","  Capital goods, except automotive","B640RA3",4.005,4.081,4.014,4.063,4.125,4.027,4.351,4.154,3.909,4.559,4.588,4.575,4.685,4.908,4.982,5.16,5.065,5.091,5.491,4.959,5.501,5.445,5.663,5.947,6.582,6.964,7.395,7.707,8.21,8.974,8.927,9.655,9.375,9.169,8.881,8.896,8.879,9.018,8.971,8.96,8.79,8.971,8.871,8.616,8.967,9.769,10.383,11.113,11.664,11.558,11.933,13.159,13.733,14.393,13.939,14.322,14.186,14.771,13.781,13.867,13.15,13.05,12.348,11.509,11.83,11.909,11.846,12.681,12.586,13.115,13.443,14.322,14.503,14.906,14.314,15.03,15.384,16.051,15.982,16.684,16.577,17.568,19.188,20.692,22.187,23.217,23.483,25.231,25.267,27.337,28.502,28.058,31.223,31.471,32,31.649,32.206,34.353,35.281,36.362,37.326,36.709,38.224,39.184,39.218,39.729,40.063,42.367,44.098,45.2,48.008,48.843,50.954,54.108,56.974,59.68,61.307,62.908,63.614,69.138,73.435,78.332,81.877,81.413,81.859,79.884,81.71,85.01,83.634,83.674,88.152,91.125,92.37,100.015,104.655,102.96,101.67,92.687,84.909,81.443,80.478,83.121,84.363,81.461,80.72,80.9,84.247,90.963,93.113,94.705,96.139,96.87,98.313,103.298,103.742,110.17,114.368,116.613,117.971,122.033,121.422,122.93
"16","8","    Civilian aircraft, engines, and parts","B688RA3",6.42,6.946,9.941,11.04,12.043,13.452,18.286,15.408,15.018,10.218,11.79,14.279,14.938,17.267,12.829,13.739,18.203,18,16.741,17.67,16.711,14.422,14.665,14.822,17.85,20.339,21.438,20.648,25.542,27.215,21.988,30.733,27.158,23.713,24.086,18.553,18.213,23.254,21.844,20.175,13.692,19.133,15.005,17.66,28.957,35.573,42.481,52.284,51.834,48.435,55.563,53.732,57.947,62.85,59.721,68.448,56.94,66.224,50.66,50.797,44.699,40.318,32.618,31.173,45.795,44.016,29.497,37.224,33.262,35.624,30.988,39.033,43.327,47.094,41.525,48.611,48.856,49.475,51.445,53.118,53.234,47.52,59.189,59.686,64.293,75.679,63.26,72.6,74.65,83.188,99.555,77.445,97.059,95.987,99.316,87.375,87.015,97.529,104.736,109.296,113.48,90.969,97.48,96.239,86.734,85.358,77.816,86.876,86.763,75.024,80.18,72.001,60.326,68.312,63.762,59.67,61.779,70.897,69.375,83.623,89.023,94.602,95.837,91.554,107.309,105.999,124.726,136.241,123.48,108.39,113.741,112.964,93.18,108.321,100.653,97.846,112.676,108.338,99.789,94.085,95.756,97.309,102.682,91.249,86.207,81.095,83.772,93.997,89.097,86.225,90.878,91.188,94.107,110.419,100.857,111.525,120.398,118.148,120.418,136.304,128.719,125.779
"17","9","    Computers, peripherals, and parts","B850RA3",0.014,0.015,0.014,0.015,0.015,0.015,0.017,0.016,0.018,0.019,0.023,0.026,0.03,0.036,0.041,0.044,0.043,0.043,0.043,0.048,0.053,0.052,0.055,0.059,0.065,0.073,0.082,0.093,0.108,0.126,0.129,0.143,0.138,0.136,0.14,0.147,0.161,0.181,0.197,0.211,0.243,0.253,0.288,0.311,0.338,0.395,0.453,0.518,0.573,0.598,0.667,0.791,0.914,1.035,1.207,1.313,1.352,1.358,1.4,1.432,1.407,1.545,1.565,1.661,1.882,2.104,2.386,2.643,2.9,3.346,3.925,4.217,4.352,4.473,4.421,4.588,4.95,5.331,5.714,6.204,6.468,7.363,8.295,9.134,9.897,10.297,10.83,11.621,10.361,11.701,12.181,12.742,13.924,13.819,14.541,14.503,15.713,16.275,16.863,17.507,17.875,19.839,20.737,21.764,22.083,22.504,23.879,25.349,26.677,27.956,29.771,32.336,34.339,36.178,40.503,44.963,49.108,49.689,51.382,54.715,61.543,67.429,70.933,69.298,67.315,68.646,70.618,74.345,74.49,78.708,82.476,84.315,90.487,99.639,106.418,103.456,100.821,90.285,84.059,79.171,74.619,77.215,76.036,78.331,77.879,76.852,82.791,87.219,85.644,85.999,89.389,92.251,96.019,101.513,104.613,105.123,108.766,112.143,111.044,113.696,111.287,105.934
"18","10","    Other","B689RA3",7.836,7.947,7.563,7.54,7.608,7.294,7.562,7.378,6.83,8.561,8.399,8.106,8.179,8.348,8.715,8.944,8.426,8.497,9.447,8.164,9.283,9.349,9.746,10.254,11.246,11.713,12.386,12.933,13.39,14.605,14.879,15.554,15.303,15.154,14.541,14.875,14.77,14.567,14.476,14.485,14.435,14.342,14.264,13.494,13.233,14.018,14.425,14.824,15.667,15.629,15.571,17.564,17.917,18.41,17.444,17.27,17.801,18.144,17.478,17.555,16.803,16.716,16.064,14.579,13.63,13.578,14.249,14.67,14.509,14.657,14.926,15.369,15.172,15.38,14.98,15.328,15.524,16.183,15.551,16.082,15.702,17.065,17.798,19.441,20.743,20.99,22.163,23.395,24.059,25.493,25.371,26.514,28.569,29.111,29.155,29.931,30.176,31.934,32.207,32.972,33.702,34.51,35.549,36.662,37.783,38.541,39.434,41.081,43.103,45.76,48.5,49.865,53.84,56.688,60.028,63.071,63.792,64.566,65.324,70.008,73.256,77.666,81.554,82.069,80.539,77.609,76.42,78.14,78.402,80.177,84.645,88.555,92.598,98.517,105.038,103.847,99.714,90.141,82.178,79.458,78.68,81.56,82.429,80.286,80.412,81.986,84.974,91.385,95.893,98.756,99.062,99.48,100.154,102.389,104.737,111.242,114.422,117.585,119.152,120.566,121.99,125.744
"19","11","  Automotive vehicles, engines, and parts","B641RA3",16.736,17.093,17.886,17.345,19.166,21.611,21.237,23.106,21.359,23.509,23.269,23.87,21.154,25.106,23.13,20.492,24.973,26.288,26.561,24.062,26.369,27.802,29.338,30.832,32.672,34.269,32.589,34.725,36.036,36.35,38.212,39.142,35.674,39.493,40.478,42.022,40.613,41.671,41.288,41.272,41.309,43.781,40.143,40.823,39.352,44.028,40.946,46.153,43.763,42.373,41.033,44.382,38.754,34.96,33.331,37.431,34.89,37.996,37.126,32.809,29.754,31.911,29.988,25.384,26.82,29.67,30.182,34.413,34.672,34.038,37.533,36.634,36.695,38.816,40.952,39.031,37.269,39.947,37.313,38.387,38.8,40.212,39.807,46.009,47.957,48.343,49.207,50.127,53.82,47.703,47.86,51.191,51.453,51.541,49.805,47.881,50.03,52.163,57.477,55.325,57.794,60.648,63.512,66.156,66.502,67.093,64.688,72.103,70.122,73.432,76.049,79.375,81.763,76.523,79.08,78.204,78.861,79.897,85.659,82.905,88.349,91.645,95.617,94.937,96.866,90.467,84.683,93.54,92.129,93.865,95.299,96.432,104.199,99.868,98.414,97.519,91.338,95.157,94.811,92.917,92.805,100.172,99.506,97.171,97.856,100.553,95.928,100.858,102.404,106.742,111.878,112.799,113.804,114.528,120.225,125.452,124.811,124.208,130.556,129.474,131.334,137.867
"20","12","  Consumer goods, except automotive","B642RA3",8.156,7.58,7.669,7.848,7.974,8.667,8.877,8.433,8.257,9.765,9.407,8.934,9.62,8.964,9.545,10.419,9.311,9.415,11.049,8.89,11.477,10.487,11.647,11.595,12.769,13.935,14.054,14.352,17.06,18.197,17.038,16.28,15.023,14.595,16.369,17.201,17.086,17.579,17.73,18.864,18.341,18.672,20.67,19.407,20.294,23.268,22.178,23.269,22.361,22.788,22.895,25.534,32.881,27.631,25.898,26.996,27.666,28.353,26.994,25.694,24.059,25.588,25.111,23.092,22.576,22.168,21.92,22.828,21.997,22.309,22.14,22.59,21.915,21.638,20.868,21.991,22.217,23.488,24.12,25.749,25.33,28.046,28.648,30.404,32.177,35.608,36.583,39.258,43.096,47.274,46.05,48.425,51.29,55.121,55.264,54.835,56.975,54.939,55.624,56.671,58.219,59.714,61.644,61.832,61.722,62.705,64.643,64.634,64.77,68.01,71.541,73.075,72.099,72.828,74.53,74.571,77.088,78.191,79.044,81.995,84.69,87.956,87.896,88.612,88.055,90.304,91.003,90.218,88.581,89.315,91.083,94.669,98.022,99.259,102.362,100.357,104.034,103.007,95.577,94.126,93.266,95.372,96.454,95.742,97.736,98.694,102.191,104.982,109.02,114.457,115.565,120.06,123.578,126.17,128.978,131.866,136.212,138.754,142.598,146.882,151.116,154.619
"21","13","    Durable goods","B690RA3",7.881,7.278,7.211,7.48,7.526,8.564,8.891,8.037,8.7,10.098,10.101,9.674,9.318,7.843,9.418,10.773,8.278,8.7,9.774,9.073,11.605,10.891,11.497,11.937,12.684,13.937,14.351,15.139,18.299,20.268,17.987,16.532,15.128,14.86,16.394,17.189,17.836,17.542,19.197,19.788,18.913,18.962,20.363,19.138,22.188,25.857,22.965,24.449,23.137,23.65,22.899,26.699,37.166,27.052,25.066,26.129,25.544,26.367,25.17,23.636,21.276,22.384,22.583,18.596,18.079,18.413,17.456,18.52,18.339,18.305,17.771,18.293,17.488,18.018,16.659,17.762,17.487,19.394,19.858,22.686,21.356,24.592,24.175,26.812,28.864,32.997,33.122,36.573,43.682,48.007,45.575,49.484,52.173,55.148,56.83,53.802,54.702,53.551,55.062,56.2,57.291,58.183,59.881,59.669,60.284,62.38,64.434,63.523,63.214,66.58,68.521,70.544,71.013,71.405,71.548,71.894,74.192,76.006,77.922,81.113,82.452,87.673,88.115,87.569,87.121,89.382,90.44,89.688,85.024,88.499,90.885,96.725,100.113,98.457,102.094,99.337,105.29,103.956,95.627,91.874,93.12,94.681,96.048,92.979,92.976,95.591,99.857,105.124,106.65,113.542,117.348,121.494,127.218,129.661,135.158,138.092,143.122,148.278,151.344,157.364,162.868,170.098
