"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245"
"11","3","  Nonfarm \2\","B358RA3",13.989,14.335,13.97,14.685,14.83,14.811,14.947,14.904,14.783,14.692,14.897,14.731,15.366,15.916,16.798,16.981,17.291,17.392,17.623,17.662,17.842,17.75,17.795,18.613,18.942,19.034,18.941,18.571,18.343,18.333,18.583,19.023,19.72,20.014,20.295,20.458,20.326,20.455,20.365,20.686,20.941,20.822,21.028,20.662,19.882,19.967,20.595,21.246,21.678,22.396,22.328,22.293,22.942,22.651,22.577,22.076,22.222,22.807,23.246,23.773,24.264,24.514,24.768,24.781,25.083,25.485,26.071,26.287,27.048,27.338,27.741,27.732,28.553,29.016,29.604,30.454,31.304,31.412,31.596,31.725,31.942,31.857,32.07,32.324,33.119,33.748,33.948,34.088,34.701,34.733,34.911,34.644,34.608,34.683,35.052,34.481,35.667,35.907,36.226,36.303,37.262,38.282,38.715,39.441,40.945,41.408,41.308,41.258,41.022,41.029,40.46,40.178,39.228,39.484,40.281,40.977,42.264,42.679,42.903,43.266,43.955,45.012,45.955,45.778,46.006,48.299,48.7,49.581,49.46,49.523,49.874,49.911,49.993,48.567,48.536,49.667,50.704,50.06,50.486,49.651,48.532,48.819,48.555,48.531,49.427,51.15,52.656,53.889,54.856,55.931,56.416,56.852,57.4,57.915,58.829,59.385,60.059,60.369,60.93,61.232,61.666,62.475,62.911,64.152,64.35,65.492,65.86,66.977,67.374,67.805,68.288,68.406,69.2,69.296,69.104,68.255,67.699,68.245,68.645,68.993,69.795,70.543,71.363,72.437,72.491,72.919,73.544,74.705,75.508,76.686,77.101,78.342,78.64,78.785,79.708,80.452,81.094,82.6,83.476,84.644,85.305,86.817,88.052,88.849,90.062,90.714,91.884,93.643,94.501,95.367,96.683,98.653,98.623,100.418,100.204,100.755,100.467,100.77,100.037,100.332,101.203,101.55,102.338,102.375,102.687,103.785,106.53,106.964,107.652,108.969,110.003,110.723,111.79,112.669,114.212,114.477,116.065,116.758,116.982,117.73,117.828,119.041
"12","4","  Farm","B359RA3",25.036,21.055,27.057,20.363,22.198,28.57,27.754,29.123,25.579,25.944,26.069,25.53,28.544,28.279,25.743,26.046,23.851,25.459,27.069,26.091,25.659,26.97,28.359,26.826,28.279,29.731,27.824,27.408,29.683,29.774,29.084,28.692,28.649,30.967,31.211,29.109,28.869,29.898,29.723,31.445,27.732,28.191,28.551,30.687,31.052,31.441,29.373,27.433,29.856,29.004,28.727,30.906,28.509,29.81,32.546,34.244,33.373,31.627,30.936,30.239,30.571,31.454,30.55,31.131,33.761,32.105,30.91,30.78,29.268,30.276,31.379,32.491,33.049,31.689,33.714,32.948,33.54,31.862,29.66,31.744,33.748,34.431,34.537,34.123,33.268,32.805,32.825,33.154,33.808,34.005,34.522,34.411,34.468,34.866,35.381,35.808,36.474,36.918,37.246,37.228,34.454,37.75,37.039,38.651,34.546,37.267,32.853,41.751,34.797,36.505,35.753,35.875,41.117,42.807,43.475,43.036,41.067,40.541,40.361,40.924,40.196,42.263,42.86,46.572,40.421,41.277,44.637,39.397,44.011,43.794,45.609,46.464,45.439,44.885,41.187,42.259,49.597,52.941,65.104,61.693,61.583,60.894,58.568,60.158,50.718,38.439,29.152,32.133,45.833,51.186,54.378,56.451,60.962,62.389,71.722,66.155,64.38,59.497,64.399,62.679,62.238,61.968,65.443,65.027,66.82,59.407,56.168,46.557,65.228,64.284,65.049,64.975,67.682,67.064,69.116,71.71,69.705,69.876,68.765,71.292,79.11,82.316,82.198,77.741,70.97,74.028,63.715,74.536,85.708,86.561,87.405,80.692,71.216,69.807,66.038,70.316,77.05,80.308,77.252,79.215,84.701,89.136,94.118,92.059,86.536,84.657,86.732,86.497,87.122,90.498,86.094,87.951,99.693,100.97,102.169,97.168,96.861,88.269,83.364,98.409,76.252,94.274,106.673,114.805,109.875,116.551,104.781,93.674,117.728,107.372,112.111,122.13,118.652,122.614,121.696,123.486,120.653,125.604,121.509,121.748,117.755,109.251
"13","5","Households and institutions","B193RA3",11.32,11.368,11.53,11.66,12.032,12.144,12.278,12.361,12.611,12.854,13.016,13.351,13.65,13.894,14.043,14.401,14.636,14.838,14.977,15.326,15.715,15.738,15.89,16.18,16.586,16.785,16.94,17.084,17.347,17.632,17.96,18.453,18.634,19.153,19.535,19.953,20.086,20.366,20.694,21.018,21.302,21.525,21.762,22.017,22.501,22.853,23.032,23.26,23.566,24.007,24.426,24.861,25.312,25.757,25.979,26.425,26.668,26.701,26.967,27.547,27.818,28.242,28.724,29.116,29.221,29.449,29.806,30.123,30.378,30.826,30.968,31.343,31.812,32.14,32.643,33.039,33.436,33.542,34.127,34.469,34.691,35.069,35.535,35.938,36.231,36.808,37.381,37.775,38.039,38.488,38.908,39.194,39.128,39.105,39.272,39.782,40.424,40.698,41.158,41.688,41.96,42.484,42.915,43.158,43.451,43.899,44.289,44.665,45.105,45.522,45.962,46.224,46.757,47.351,47.933,48.106,48.067,48.184,48.401,48.365,48.458,48.53,49.055,49.51,50.415,50.786,51.243,52.016,52.741,52.999,53.52,54.179,55.285,56.193,56.373,56.765,57.321,57.689,58.098,58.765,59.251,59.666,60.228,60.411,60.761,61.205,61.735,62.772,63.106,62.997,63.837,64.625,64.387,64.623,64.71,65.391,65.913,66.196,66.719,67.117,67.663,68.013,69.748,70.577,71.336,71.63,72.421,73.523,74.182,75.043,75.509,75.938,76.642,77.46,78.25,78.982,79.353,79.745,80.405,80.756,80.703,81.433,82.053,82.466,83.459,83.633,83.818,83.962,84.142,84.953,85.989,86.583,87.166,87.519,87.353,87.786,87.821,88.249,88.901,89.53,90.157,90.828,91.284,91.756,92.46,93.231,94.054,94.237,95.138,95.88,96.807,97.97,99.096,99.537,100.23,101.137,101.476,102.019,103.631,103.699,104.693,105.58,104.473,103.827,104.135,103.857,103.002,106.929,107.193,107.425,108.365,108.429,108.671,109.237,109.607,110.395,111.89,112.835,113.677,113.699,114.618,115.398
"14","6","  Households","B701RA3",11.906,12.067,12.195,12.308,12.421,12.546,12.691,12.862,13.065,13.302,13.571,13.867,14.222,14.538,14.846,15.143,15.41,15.69,15.967,16.243,16.528,16.802,17.065,17.33,17.615,17.882,18.142,18.404,18.62,18.938,19.3,19.707,20.224,20.647,21.047,21.42,21.732,22.062,22.378,22.685,22.975,23.285,23.607,23.944,24.306,24.646,24.971,25.283,25.576,26.03,26.463,26.922,27.226,27.636,28.012,28.487,28.838,28.847,29.162,29.846,30.167,30.553,31.027,31.563,31.709,31.919,32.301,32.533,32.813,33.333,33.576,33.925,34.223,34.645,35.231,35.742,35.882,35.978,36.618,37.059,37.333,37.683,38.043,38.38,38.455,38.705,38.995,39.301,39.784,40.301,40.681,41.052,41.011,41.088,41.416,41.985,42.541,42.885,43.499,44.195,44.612,44.972,45.228,45.61,45.939,46.375,46.945,47.538,48.198,48.549,48.867,49.234,49.521,49.919,50.22,50.441,50.569,50.89,51.075,51.048,50.791,50.942,51.64,52.067,53.599,53.943,54.571,55.634,56.42,56.384,56.918,57.916,59.499,60.907,60.685,61.165,61.848,62.282,62.66,63.182,63.41,63.526,63.877,63.774,64.055,64.339,64.832,66.288,66.48,66.058,67.467,68.548,68.458,68.701,68.569,69.214,69.444,69.344,69.844,69.925,70.392,70.413,72.3,72.987,73.506,73.581,74.345,75.534,75.89,76.675,76.861,76.908,77.468,78.152,78.771,79.587,80.149,80.531,81.311,81.409,80.741,81.688,82.101,82.038,82.84,82.445,82.248,82.457,83.327,84.647,86.125,86.791,86.941,87.037,86.367,86.821,86.933,87.386,88.176,88.904,89.512,90.017,90.142,90.298,90.458,91.281,92.243,92.311,94.069,95.194,96.513,98.024,98.903,99.233,100.345,101.519,101.71,102.179,104.431,104.154,104.296,104.815,102.13,100.833,101.49,101.256,99.807,106.404,106.607,106.866,108.333,108.265,108.503,109.242,109.599,111.28,113.893,115.345,116.226,116.075,116.997,117.754
"15","7","  Nonprofit institutions serving households \3\","B702RA3",10.74,10.506,10.759,10.942,12.015,12.095,12.21,12.075,12.468,12.743,12.649,13.113,13.29,13.371,13.131,13.668,13.843,13.865,13.67,14.23,14.901,14.306,14.192,14.569,15.312,15.355,15.253,15.112,15.515,15.74,16.007,16.758,16.111,16.904,17.274,17.841,17.535,17.715,18.096,18.483,18.773,18.8,18.849,18.929,19.732,20.139,19.988,20.034,20.387,20.828,21.243,21.649,22.463,23.015,22.898,23.305,23.32,23.408,23.577,23.959,24.135,24.665,25.189,25.291,25.317,25.593,25.913,26.422,26.635,26.953,26.893,27.334,28.169,28.316,28.673,28.855,29.768,29.896,30.399,30.565,30.701,31.14,31.807,32.336,33.035,34.23,35.342,35.91,35.772,36.107,36.601,36.744,36.634,36.443,36.351,36.77,37.559,37.726,37.947,38.223,38.275,39.058,39.767,39.796,40.033,40.5,40.623,40.68,40.806,41.324,41.94,42.053,42.939,43.815,44.806,44.909,44.628,44.454,44.718,44.668,45.271,45.225,45.501,45.996,46.011,46.42,46.637,47.006,47.648,48.315,48.82,49.007,49.454,49.68,50.407,50.68,51.061,51.338,51.79,52.654,53.497,54.33,55.187,55.774,56.223,56.892,57.475,57.927,58.46,58.783,58.837,59.222,58.781,59.006,59.395,60.124,61.053,61.869,62.424,63.265,63.925,64.728,66.251,67.277,68.367,68.964,69.792,70.775,71.852,72.818,73.672,74.631,75.536,76.541,77.569,78.184,78.293,78.698,79.198,79.889,80.658,81.1,81.993,83.035,84.281,85.218,85.919,85.975,85.229,85.36,85.806,86.302,87.463,88.158,88.669,89.074,89.008,89.402,89.868,90.363,91.014,91.909,92.812,93.714,95.163,95.86,96.493,96.833,96.566,96.794,97.196,97.894,99.35,99.939,100.077,100.635,101.167,101.807,102.578,103.105,105.223,106.591,107.562,107.768,107.604,107.262,107.168,107.684,108.037,108.241,108.533,108.761,109.006,109.358,109.742,109.444,109.596,109.934,110.728,110.957,111.873,112.681
"16","8","General government \4\","B765RA3",36.885,35.327,34.843,34.126,34.014,33.474,33.742,33.988,33.92,33.893,33.747,33.186,32.754,33.274,33.944,36.628,37.629,40.387,42.379,42.778,43.593,44.22,44.559,44.494,44.827,45.047,45.21,45.037,44.946,44.945,45.117,45.226,45.181,44.955,45.259,45.475,45.542,45.773,46.295,46.591,46.735,46.986,47.328,46.99,46.879,47.191,47.78,48.018,47.767,47.948,48.197,48.515,49.004,49.8,49.957,50.261,50.748,51.037,51.661,52.573,53.019,53.412,53.762,53.892,54.317,54.875,55.5,55.779,56.219,56.789,57.276,57.735,57.83,58.474,59.265,60.158,60.925,61.924,63.186,64.401,65.154,65.496,66.318,66.751,67.672,68.44,68.963,68.943,69.496,70.04,70.587,70.842,70.434,70.452,70.537,70.593,70.685,70.553,70.589,70.649,70.238,70.214,70.528,70.932,70.703,70.652,70.707,71.104,71.812,72.076,72.328,72.708,73.209,73.329,73.49,73.568,73.736,73.833,74.135,74.428,74.491,74.581,74.961,75.201,75.67,75.883,76.465,76.951,77.045,76.873,76.86,77.445,77.872,78.33,78.335,78.118,78.19,78.322,78.807,79.049,79.219,79.44,79.407,79.507,79.784,79.889,80.026,79.917,80.14,80.613,81.223,81.598,82.187,82.792,83.741,84.116,84.517,84.952,85.42,86.14,86.441,86.811,87.156,88.076,88.82,89.039,89.497,90.179,90.643,91.175,91.872,92.372,93.263,93.649,94.164,94.34,95.008,94.909,94.712,94.696,95.018,95.105,95.294,95.165,95.418,95.381,95.409,95.182,95.329,95.427,95.489,95.192,95.515,95.642,95.631,94.883,94.837,95.849,95.808,95.762,95.969,96.169,96.492,96.562,96.87,97.176,97.518,97.746,98.016,98.057,98.33,98.804,99.382,100.319,100.009,100.29,100.881,101.628,102.248,102.622,103.232,103.677,104.023,104.343,104.872,105.116,105.131,105.204,105.308,105.372,105.622,106.068,106.287,106.366,106.549,106.803,106.687,106.915,107.455,107.712,107.919,108.271
"17","9","  Federal","B766RA3",81.056,75.758,73.758,71.083,70.709,68.909,69.439,69.64,68.588,67.609,66.292,63.827,62.217,63.752,65.796,74.54,77.563,86.417,92.726,93.598,96.078,97.861,98.528,97.735,98.297,98.414,98.225,96.968,96.065,95.492,95.446,95.054,94.39,92.972,93.026,92.771,92.343,91.79,92.473,92.517,92.456,92.521,92.6,90.299,89.131,88.904,89.742,89.643,88.438,88.527,88.59,88.843,89.381,90.975,90.297,90.346,90.56,91.076,92.177,94.635,95.841,96.148,96.185,95.531,95.923,96.755,97.336,97.142,97.051,97.623,98.175,98.072,97.467,97.676,98.538,99.979,101.492,103.377,106.14,108.465,111.062,111.23,112.256,112.141,112.867,114.051,114.337,112.91,113.341,113.901,114.42,113.726,110.912,109.524,108.314,107.083,106.116,104.559,103.222,101.872,100.123,98.543,98.366,98.436,96.743,95.408,94.284,94.237,95.116,94.922,94.66,94.762,94.583,94.285,94.217,94.237,94.412,94.419,94.499,94.582,94.47,94.611,94.947,94.936,95.528,95.965,96.244,95.999,95.852,95.799,95.929,95.79,96.395,97.712,97.885,97.438,98.234,98.606,99.154,99.414,99.644,100.161,100.749,101.271,102.071,102.607,103.244,103.308,104.03,104.843,105.597,106.027,106.914,107.841,108.776,108.933,109.491,109.734,110.236,110.678,111.677,112.239,113.44,114.299,114.304,113.795,114.193,114.955,115.022,115.38,116.034,116.438,117.459,117.664,118.112,118.058,119.935,119.011,117.945,117.245,116.914,116.341,115.796,115.136,115.184,114.383,113.548,112.127,111.76,110.645,109.776,108.222,107.507,107.131,106.409,102.766,102.902,103.888,103.305,102.073,101.778,101.423,101.168,100.038,100.036,99.907,99.975,99.893,99.879,99.065,98.826,98.827,99.526,101.559,99.714,99.201,100.178,100.651,100.81,100.487,101.596,102.278,102.928,103.268,104.583,105.437,105.503,105.475,105.99,105.87,106.302,106.979,107.125,106.84,106.775,107.214,106.334,106.37,107.285,107.292,106.978,106.889
"18","10","  State and local","B767RA3",18.136,18.419,18.671,18.858,18.845,18.857,19.013,19.287,19.679,20.098,20.487,20.781,20.858,20.921,20.989,21.086,21.232,21.406,21.606,21.812,21.946,22.099,22.306,22.543,22.779,23.039,23.343,23.611,23.847,24.074,24.329,24.633,24.839,25.099,25.509,25.919,26.187,26.741,27.196,27.594,27.82,28.147,28.596,29.066,29.397,29.941,30.432,30.818,30.969,31.191,31.521,31.871,32.344,32.811,33.315,33.726,34.327,34.52,34.946,35.225,35.365,35.789,36.261,36.707,37.143,37.587,38.225,38.694,39.354,39.923,40.383,41.076,41.462,42.286,43.049,43.716,44.172,44.806,45.449,46.21,46.225,46.632,47.362,48.005,48.991,49.584,50.195,50.735,51.33,51.858,52.405,53.03,53.581,54.166,54.771,55.343,55.872,56.332,56.939,57.593,57.752,58.404,58.931,59.482,59.889,60.391,60.953,61.545,62.186,62.65,63.125,63.628,64.431,64.735,64.995,65.1,65.267,65.404,65.803,66.192,66.331,66.4,66.803,67.156,67.575,67.692,68.411,69.222,69.422,69.196,69.121,70.025,70.377,70.464,70.398,70.28,70.032,70.061,70.523,70.759,70.902,70.995,70.689,70.604,70.657,70.577,70.5,70.315,70.322,70.648,71.2,71.554,72.018,72.486,73.449,73.92,74.256,74.775,75.23,76.068,76.076,76.366,76.358,77.304,78.351,78.872,79.354,80.004,80.63,81.233,81.948,82.486,83.323,83.781,84.321,84.587,84.769,85.003,85.154,85.414,85.998,86.356,86.844,86.93,87.266,87.539,87.918,88.177,88.532,89.123,89.564,89.777,90.523,90.856,91.136,91.581,91.462,92.487,92.672,93.123,93.539,93.973,94.539,95.112,95.548,96.037,96.493,96.848,97.237,97.636,98.122,98.794,99.323,99.801,100.131,100.745,101.173,102.035,102.846,103.51,103.912,104.259,104.478,104.791,104.985,104.967,104.961,105.076,105.003,105.147,105.317,105.661,105.913,106.152,106.445,106.616,106.838,107.151,107.526,107.893,108.326,108.873
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",11.62,11.698,11.808,11.946,12.106,12.282,12.472,12.672,12.878,13.092,13.312,13.537,13.762,14.001,14.247,14.502,14.757,15.031,15.314,15.604,15.925,16.205,16.47,16.718,16.922,17.163,17.413,17.673,17.961,18.229,18.493,18.753,19.01,19.263,19.514,19.765,19.999,20.269,20.556,20.86,21.213,21.53,21.842,22.151,22.414,22.744,23.097,23.474,23.928,24.302,24.781,25.214,25.562,25.872,26.243,26.711,27.049,27.336,27.717,28.262,28.572,29.103,29.507,30.061,30.248,30.544,30.928,31.313,31.581,31.92,32.289,32.816,33.198,33.589,34.082,34.536,34.806,35.112,35.585,35.999,36.391,36.76,37.239,37.661,37.919,38.079,38.464,38.942,39.413,39.924,40.366,40.767,40.919,41.153,41.548,42.033,42.469,42.955,43.528,44.189,44.716,45.129,45.512,45.985,46.302,46.723,47.166,47.63,48.335,48.934,49.5,49.998,50.319,50.569,50.857,51.076,50.997,51.248,51.523,51.835,52.379,52.424,52.675,53.199,54.543,54.809,55.018,55.619,56.527,56.663,57.194,58.207,59.444,60.783,60.892,61.572,62.345,62.831,63.154,63.972,64.453,64.428,65.048,65.255,65.356,65.715,66.465,67.449,67.492,67.281,68.488,70.182,70.355,70.533,71.326,72.017,72.124,72.325,72.527,72.552,73.386,73.25,74.707,75.152,75.687,75.8,76.433,77.377,77.547,78.165,78.289,78.369,78.938,79.648,80.351,81.213,81.889,82.392,83.229,83.44,83.03,83.902,84.294,84.27,84.67,84.302,84.091,84.29,85.17,86.374,87.814,88.525,88.881,89.068,88.515,88.931,88.889,89.234,89.925,90.559,91.088,91.519,91.577,91.665,91.722,92.363,93.168,93.134,94.801,95.914,97.127,98.498,99.091,99.341,100.293,101.275,101.307,101.661,103.788,103.709,103.646,103.735,100.847,99.166,99.426,98.755,96.775,102.811,102.985,103.331,104.769,104.686,104.921,105.54,105.813,107.354,109.788,111.139,111.963,111.915,112.725,113.444
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
