"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245"
"37","29","          Other","B937RG3",38.664,40.024,40.777,41.051,40.564,40.811,41.227,41.42,41.425,41.189,41.115,41.462,42.062,41.628,42.129,42.932,44.45,44.738,45.017,44.634,44.95,44.541,43.408,42.766,43.321,43.722,43.902,44.111,43.441,43.958,44.047,45.33,45.138,44.499,44.424,44.761,46.019,44.253,47.063,46.566,47.891,47.709,47.59,49.618,48.517,48.813,48.889,48.821,48.795,49.019,49.408,49.695,49.492,49.32,49.175,49.178,49.29,49.3,49.347,49.341,49.21,49.086,49.094,49.234,49.387,49.485,49.469,49.412,49.504,49.612,49.798,50.182,49.83,49.822,49.797,49.843,49.9,50.254,50.559,50.902,51.484,51.784,52.071,52.39,52.549,52.982,53.512,54.121,54.527,54.786,55.276,55.71,56.271,56.819,57.313,57.924,58.359,58.924,59.39,59.807,60.364,60.402,60.675,60.912,61.251,61.746,62.02,62.111,62.705,64.746,66.693,68.695,70.585,71.735,72.163,73.004,74.167,75.166,75.816,75.689,75.699,75.749,75.841,75.974,77.345,78.601,79.563,80.178,80.3,80.975,81.381,82.205,83.902,85.996,88.393,90.478,91.811,92.902,93.59,94.718,95.753,97.409,98.338,99.138,99.786,100.064,100.7,100.97,101.818,102.455,102.836,103.136,103.764,103.981,103.974,104.628,105.608,106.377,107.491,107.376,108.758,109.161,109.035,110.274,111.2,110.521,110.221,111.202,111.867,112.266,112.122,112.542,113.397,113.214,113.535,114.058,114.973,114.792,114.994,115.134,115.912,115.868,116.753,116.101,116.029,115.997,115.843,115.705,115.91,115.587,115.084,114.49,114.631,114.628,114.275,113.586,113.236,112.482,112.227,112.126,112.022,111.443,111.005,109.954,108.033,106.532,105.506,104.805,104.272,103.35,102.312,101.396,100.898,100.192,99.77,99.141,98.446,97.569,97.017,96.715,96.626,96.071,95.686,95.428,95.053,94.733,94.092,93.031,92.302,92.129,91.62,91.403,91.299,91.328,91.006,91.007,90.841,90.823,90.981,90.935,91.061,91.481
"38","30","        Industrial equipment","B680RG3",10.251,10.711,10.922,11.245,11.141,11.354,11.93,12.312,12.387,12.351,12.234,12.012,12.186,12.394,12.907,13.509,14.354,14.407,14.316,14.433,14.282,14.588,14.473,14.534,14.638,14.881,15.006,14.993,15.262,15.234,15.038,15.082,15.328,15.459,15.715,16.329,16.599,17.227,17.522,18.047,18.396,18.392,18.726,19.074,18.977,19.082,19.129,19.167,19.248,19.433,19.633,19.772,19.891,19.925,19.943,19.89,19.846,19.747,19.707,19.688,19.651,19.715,19.792,19.825,19.821,19.791,19.791,19.832,19.881,19.94,20.018,20.101,20.173,20.243,20.319,20.398,20.51,20.671,20.911,21.191,21.436,21.634,21.82,22.015,22.199,22.503,22.783,23.069,23.178,23.27,23.445,23.722,24.062,24.417,24.744,25.044,25.269,25.558,25.823,26.005,26.05,26.146,26.213,26.341,26.502,26.743,27.057,27.393,27.842,28.564,29.834,31.587,33.557,35.172,36.27,37.002,37.51,38.083,38.763,39.541,40.582,41.567,42.451,43.259,44.289,45.144,46.068,47.065,48.234,49.462,50.812,51.982,54.021,55.831,57.555,59.173,60.506,61.652,62.628,63.431,63.699,64.996,65.515,65.828,66.103,66.424,66.403,66.447,66.714,67.132,67.191,67.305,67.352,67.783,68.434,69.227,70.289,71.08,71.796,72.054,73.449,74.171,74.314,75.591,76.534,77.601,77.692,79.07,79.671,79.977,80.816,81.732,82.985,83.752,84.804,86.094,87.242,87.015,87.305,88.108,88.675,89.038,90.002,89.708,89.944,90.408,90.751,91.207,91.484,92.065,92.704,93.44,94.063,95.451,96.148,96.648,97.168,97.357,97.699,98.019,98.143,98.128,98.242,98.391,98.533,98.704,98.945,99.111,99.361,99.255,99.401,99.683,99.801,99.922,100.109,100.168,100.519,100.716,100.659,100.813,100.642,100.639,101.006,101.12,101.44,101.528,101.7,101.939,102.95,103.804,104.607,105.652,106.897,108.115,108.457,109.129,109.91,110.837,112.145,112.878,114.15,115.096
"39","31","        Transportation equipment","B681RG3",18.511,18.772,19.047,19.435,19.501,19.752,20.614,21.312,21.24,21.303,21.158,21.237,21.315,21.556,21.635,21.939,22.362,22.715,23.153,23.699,24.22,24.476,24.466,24.255,23.882,23.459,23.378,23.055,23.932,25.013,24.411,24.55,23.46,23.702,24.338,24.483,25.488,26.101,26.691,27.09,27.707,27.694,27.571,27.142,27.701,27.975,27.967,28.062,28.466,28.526,28.51,28.524,28.248,28.458,28.607,28.535,28.565,28.403,28.404,28.231,28.203,28.057,28.136,27.984,28.055,27.984,27.969,27.846,27.748,27.731,27.748,27.645,27.611,27.707,27.697,27.562,27.467,27.566,27.625,27.804,27.8,27.914,28.106,28.435,28.494,28.719,28.919,29.232,29.23,29.46,29.95,30.229,30.594,30.867,31.201,31.903,32.535,32.885,32.753,32.571,33.167,33.413,33.697,33.272,33.088,33.525,34.032,34.353,35.181,36.186,37.429,38.768,39.797,40.925,41.238,42.084,43.094,43.391,44.17,45.154,45.624,46.412,47.796,49.63,50.649,51.187,51.987,52.717,54.255,55.587,56.421,57.996,59.785,61.257,62.977,63.786,64.545,66.415,67.146,68.162,68.821,69.327,70.034,70.133,70.514,70.495,70.593,70.887,71.179,71.293,71.409,71.548,72.12,72.945,73.754,75.231,76.17,77.985,78.402,79.897,79.817,79.213,79.249,79.105,79.158,79.92,80.951,82.221,82.206,82.936,83.413,85.031,85.29,85.587,86.408,88.177,89.774,90.19,90.82,92.179,93.191,93.441,92.83,93.066,93.969,93.928,93.863,94.339,96.308,97.255,97.301,95.918,95.417,95.89,96.688,97.09,96.948,97.977,98.832,99.018,98.996,99.374,100.569,100.067,99.119,98.742,98.941,99.427,100.548,100.6,99.305,99.434,99.66,99.793,100.463,100.083,98.187,98.477,100.469,99.71,100.149,100.676,99.165,100.953,101.896,100.65,103.862,109.542,109.789,110.188,108.623,109.086,110.661,110.565,108.431,109.951,110.755,110.604,110.301,111.376,112.52,113.43
"40","32","        Other equipment","B862RG3",12.811,13.789,14.289,13.942,13.83,14.744,15.37,15.305,15.179,15.47,15.523,15.037,14.899,15.399,15.823,16.448,16.66,16.969,16.917,17.113,17.07,16.94,17.042,17.147,17.118,17.294,17.456,17.71,17.677,17.794,17.722,17.448,17.558,17.568,17.886,18.307,18.115,18.266,18.61,18.816,19.009,19.121,19.405,19.969,19.867,19.849,19.774,19.87,20.028,20.136,20.217,20.207,20.249,20.426,20.49,20.558,20.463,20.383,20.443,20.465,20.578,20.668,20.698,20.667,20.739,20.73,20.826,20.898,20.973,21.005,21.018,20.946,21.076,21.133,21.212,21.291,21.393,21.569,21.702,21.981,22.189,22.306,22.443,22.627,22.811,23.038,23.391,23.664,23.795,24.003,24.121,24.287,24.498,24.756,25.005,25.423,25.839,26.102,26.259,26.276,26.638,26.918,26.932,26.942,27.097,27.42,27.67,27.537,27.799,28.515,30.379,32.757,34.952,36.111,36.76,37.395,38.063,38.571,39.129,40.159,41.07,41.895,42.848,43.825,44.361,45.461,46.432,47.408,48.05,49.089,50.606,51.843,53.379,55.63,57.105,57.847,59.93,61.524,62.997,64.615,65.957,66.523,66.912,67.406,67.932,68.166,68.14,68.531,68.93,69.424,69.778,69.811,70.179,70.554,71.216,71.632,71.929,72.888,73.65,74.055,74.604,74.956,74.998,75.392,76.145,76.873,77.371,78.421,79.122,79.815,80.875,81.669,82.703,82.969,83.806,84.765,85.627,86.021,86.559,86.998,87.544,87.909,88.47,88.788,89.047,89.687,90.005,90.149,90.502,91.247,91.615,91.546,92.023,92.841,93.351,94.217,94.913,95.212,95.846,96.451,96.654,96.788,96.735,97.036,97.539,97.89,98.499,99.061,99.375,99.532,99.513,99.447,99.546,99.876,100.146,100.432,100.997,101.281,101.506,102.032,102.123,101.93,102.314,102.609,102.952,103.163,103.272,103.218,102.781,104.15,104.359,105.059,106.938,108.35,108.973,109.197,109.983,110.167,111.168,112.304,112.718,113.173
"41","33","    Residential","B011RG3",11.925,12.584,12.859,13.182,13.417,13.564,13.874,13.941,14.059,14.038,13.709,13.718,13.696,14.051,14.587,14.561,15.038,15.211,15.292,15.432,15.51,15.645,15.794,15.698,15.708,15.727,15.864,15.798,15.715,15.757,15.941,15.936,16.007,16.143,16.253,16.262,16.395,16.646,16.673,16.598,16.551,16.592,16.704,16.64,16.563,16.581,16.581,16.595,16.62,16.632,16.628,16.64,16.689,16.752,16.755,16.775,16.722,16.787,16.792,16.777,16.806,16.804,16.797,16.774,16.778,16.713,16.526,16.636,16.48,16.747,16.794,17.16,17.145,17.164,17.148,17.631,17.378,18.014,17.905,18.299,18.335,18.396,18.5,18.853,19.175,19.354,19.361,20.125,20.511,20.812,20.888,21.202,21.183,21.974,21.388,21.562,22.137,22.586,23.011,23.364,23.695,23.802,24.197,24.939,25.271,25.894,26.776,27.249,27.862,28.515,29.436,30.232,31.006,31.548,31.847,32.422,32.603,33.562,34.101,34.705,35.537,36.501,37.708,38.842,39.988,41.182,42.246,43.367,44.216,45.734,47.203,48.343,49.617,50.784,51.948,53.227,54.388,55.245,55.946,56.77,57.608,58.461,58.955,59.232,59.518,59.664,59.958,60.49,60.851,61.338,61.929,62.401,62.721,62.856,63.283,64.015,64.785,65.407,66.25,67.028,67.728,68.245,68.828,69.44,70.069,70.7,71.139,71.805,72.321,73.197,73.442,73.886,74.497,74.799,75.149,75.275,75.488,75.829,76.298,76.033,75.784,76.486,77.029,78.042,78.938,79.675,80.397,80.753,81.684,82.155,83.043,84.135,85.175,85.577,85.928,86.398,86.718,87.118,88.083,88.52,88.969,89.396,90.167,90.839,91.102,91.723,92.635,93.499,94.415,95.442,96.253,97.01,98.683,99.635,100.418,101.263,102.628,103.889,105.639,106.377,106.151,106.72,107.13,108.96,111.434,111.496,112.225,114.331,117.027,119.511,121.984,123.826,125.811,126.933,129.599,132.27,133.546,134.137,134.39,135.076,135.736,135.922
"42","34","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","Government consumption expenditures and gross investment","B822RG3",10.832,10.855,10.687,10.812,10.995,11.092,11.345,11.426,11.641,11.555,11.408,11.523,11.453,11.398,11.573,11.732,12.295,12.193,12.285,12.443,12.305,12.489,12.638,12.774,12.683,12.706,12.646,12.705,12.787,12.906,13.012,13.119,13.2,13.432,13.6,13.763,14.002,14.221,14.371,14.444,14.717,14.854,14.952,15.039,15.147,15.298,15.423,15.492,15.469,15.425,15.347,15.377,15.44,15.497,15.662,15.792,15.801,15.888,15.92,16.028,16.196,16.255,16.329,16.474,16.572,16.625,16.608,16.873,16.981,17.056,17.226,17.263,17.378,17.458,17.632,17.885,18.012,18.164,18.511,18.634,18.756,18.964,19.187,19.488,19.727,19.967,20.244,20.574,20.74,21.101,21.596,21.926,22.526,22.898,23.281,23.609,24.272,24.722,25.067,25.439,26.296,26.556,26.88,27.419,27.976,28.486,28.97,29.542,30.201,31.062,32.127,33.193,33.886,34.499,35.08,35.829,36.332,36.832,37.289,38.02,38.776,39.381,39.837,40.782,41.301,41.878,42.484,43.276,44.135,45.019,46.297,47.648,48.782,50.05,51.179,53.034,54.359,55.341,56.001,57.309,58.213,59.044,59.761,60.638,61.026,61.555,62.085,62.449,64.138,64.761,65.277,65.644,66.489,66.774,66.994,67.624,67.739,67.885,68.254,68.822,69.5,69.899,70.344,70.48,71.158,71.778,72.146,72.515,73.459,73.94,74.351,74.808,75.941,76.655,77.395,78.563,79.274,79.445,80.015,80.412,81.015,81.598,82.039,82.224,83.092,83.583,84.028,84.454,85.237,85.794,86.188,86.788,87.73,88.094,88.401,89.205,90.321,90.016,90.523,91.102,91.819,91.908,92.115,92.715,92.953,93.231,93.628,94.066,94.803,95.639,96.475,97.397,98.97,99.395,100.486,101.149,101.929,102.384,102.792,103.072,104.378,105.126,105.795,106.728,109.107,109.449,110.118,110.724,112.657,114.028,115.361,116.971,119.102,120.462,122.335,123.839,125.379,127.125,128.076,128.757,130.765,132.5
"46","38","  Federal","B823RG3",12.614,12.536,12.072,12.056,12.107,12.12,12.288,12.308,12.792,12.771,12.518,12.797,12.751,12.57,12.622,12.639,13.366,13.062,13.092,13.265,13.055,13.27,13.385,13.596,13.401,13.452,13.365,13.463,13.609,13.649,13.779,13.908,14.097,14.455,14.597,14.77,14.982,15.235,15.336,15.368,15.739,15.834,15.962,16.121,16.338,16.513,16.671,16.753,16.584,16.488,16.348,16.38,16.38,16.427,16.679,16.873,16.828,16.872,16.844,16.941,17.086,17.138,17.249,17.439,17.513,17.537,17.475,17.863,18.005,18.078,18.339,18.343,18.412,18.476,18.685,19.058,19.085,19.105,19.552,19.579,19.547,19.775,19.973,20.356,20.542,20.793,21.173,21.472,21.502,21.822,22.461,22.735,23.465,23.736,24.11,24.351,25.237,25.747,26.133,26.71,28.055,28.27,28.474,29.181,29.659,30.112,30.7,31.324,31.782,32.467,33.539,34.859,35.637,36.14,36.826,37.854,38.297,38.741,39.349,40.483,41.352,41.878,42.053,43.435,43.863,44.308,44.909,46.058,46.718,47.435,48.391,50.382,51.307,52.492,53.346,56.052,56.999,57.879,58.513,60.513,61.355,62.108,62.629,63.691,64.046,64.449,64.904,65.049,67.66,68.291,68.786,68.966,69.876,69.846,69.743,70.432,70.262,70.253,70.372,70.52,71.004,71.116,71.321,71.36,72.198,72.744,72.836,73.038,74.286,74.524,74.983,74.916,76.009,76.713,77.251,78.597,79.675,79.818,80.45,80.985,81.939,82.498,83.033,82.939,83.899,84.448,85.186,85.62,86.165,87.126,87.126,87.824,88.832,88.963,89.293,90.924,92.245,91.451,91.812,92.419,93.284,93.386,93.481,93.982,94.266,94.431,94.555,94.794,96.055,96.583,97.12,97.777,99.489,99.223,100.449,100.838,101.309,101.587,102.143,102.589,105.098,105.231,105.502,106.696,109.578,109.987,110.257,110.556,113.641,115.164,115.863,116.621,119.84,120.512,121.534,121.77,124.463,125.686,126.097,126.244,127.886,128.925
"47","39","    National defense","B824RG3",12.731,12.736,11.696,11.713,11.934,12.048,12.283,12.359,12.647,12.574,12.433,12.581,12.536,12.367,12.55,12.735,13.198,12.928,12.964,13.153,12.851,13.061,13.166,13.377,13.154,13.206,13.118,13.21,13.407,13.419,13.58,13.713,13.857,14.229,14.434,14.627,14.864,15.113,15.188,15.243,15.639,15.701,15.833,15.972,16.169,16.31,16.499,16.577,16.37,16.283,16.166,16.21,16.189,16.243,16.445,16.653,16.565,16.631,16.588,16.691,16.796,16.861,16.987,17.115,17.25,17.261,17.167,17.602,17.686,17.697,17.95,17.955,18.025,18.123,18.358,18.75,18.71,18.714,19.195,19.181,19.129,19.365,19.577,20.001,20.104,20.345,20.714,20.993,21.022,21.373,21.999,22.262,22.884,23.103,23.51,23.787,24.661,25.143,25.542,26.2,27.86,28.072,28.278,29.065,29.496,30.035,30.748,31.305,31.867,32.447,33.649,34.903,35.575,35.985,36.644,37.638,38.164,38.645,39.273,40.385,41.233,41.744,41.891,43.448,44.039,44.539,45.219,46.344,47.028,47.79,48.844,50.849,51.825,53.164,53.94,56.702,57.581,58.611,59.311,61.415,62.263,63.099,63.636,64.571,64.913,65.414,65.925,66.217,69.538,70.187,70.654,70.781,71.635,71.441,71.371,72.037,71.68,71.452,71.492,71.592,72.136,72.219,72.401,72.368,73.131,73.619,73.712,74.061,75.259,75.409,75.863,75.58,76.925,77.474,78.182,79.459,80.149,80.224,81.046,81.867,83.031,83.66,84.236,83.584,84.454,85.04,85.676,86.082,86.503,87.402,87.54,88.203,88.979,89.255,89.657,90.501,92.351,91.946,92.321,92.898,93.62,93.634,93.631,93.979,94.405,94.542,94.675,94.948,96.199,96.658,97.091,97.595,99.527,99.482,100.377,100.614,101.489,101.677,102.314,102.528,104.784,105.112,105.744,107.529,110.206,110.597,110.915,111.284,114.112,115.679,116.521,117.417,120.846,121.59,122.654,123.046,125.802,127.106,127.618,127.582,129.153,130.282
"48","40","      Consumption expenditures","B977RG3",11.354,11.359,10.367,10.362,10.57,10.662,10.839,10.91,11.168,11.14,11.008,11.155,11.086,10.915,11.085,11.173,11.608,11.275,11.293,11.449,11.113,11.369,11.461,11.691,11.515,11.598,11.517,11.652,11.862,11.872,11.987,12.081,12.299,12.683,12.864,13.01,13.148,13.372,13.399,13.433,13.789,13.843,13.943,14.067,14.321,14.47,14.634,14.693,14.461,14.359,14.208,14.253,14.263,14.325,14.523,14.761,14.66,14.712,14.663,14.723,14.892,14.952,15.035,15.128,15.33,15.317,15.235,15.717,15.822,15.823,16.099,16.101,16.203,16.271,16.536,16.943,16.92,16.867,17.39,17.347,17.313,17.537,17.737,18.162,18.276,18.508,18.877,19.117,19.127,19.407,20.06,20.29,20.863,21.032,21.414,21.654,22.512,22.946,23.327,23.958,25.055,25.271,25.422,26.135,26.594,27.078,27.744,28.33,28.846,29.434,30.567,31.831,32.456,32.809,33.435,34.386,34.819,35.243,35.79,36.888,37.601,38.044,38.239,39.745,40.175,40.617,41.236,42.408,43.058,43.736,44.749,46.841,47.823,49.031,49.81,52.591,53.352,54.295,54.867,57.017,57.757,58.447,58.919,59.947,60.25,60.773,61.192,61.498,65.194,65.866,66.375,66.393,67.545,67.584,67.492,68.508,68.405,68.191,68.397,68.801,69.441,69.762,70.111,70.16,70.966,71.534,71.639,71.908,73.245,73.353,73.757,73.589,74.997,75.565,76.229,77.612,78.343,78.409,79.316,80.246,81.64,82.293,82.959,82.035,82.92,83.533,84.167,84.547,84.995,85.723,85.888,86.525,87.386,87.547,87.98,88.761,90.458,90.71,91.177,91.856,92.696,92.716,92.803,93.209,93.783,93.894,94.114,94.363,95.611,96.134,96.647,97.191,99.424,99.418,100.439,100.719,101.819,102.038,102.828,103.296,105.882,106.235,106.955,109.001,112.109,112.551,112.923,113.344,116.558,118.216,119.131,120.016,123.902,124.775,126.042,126.377,129.516,130.907,131.382,131.299,133.137,134.424
"49","41","      Gross investment","B788RG3",19.352,19.18,19.736,20.119,20.145,20.428,21.262,21.32,21.78,21.21,21.043,21.09,21.351,21.366,21.542,22.867,23.349,23.676,23.808,24.188,24.059,24.004,24.193,24.293,23.774,23.66,23.523,23.368,23.484,23.515,23.964,24.366,24.013,24.306,24.666,25.189,26.129,26.523,26.937,27.141,27.804,27.923,28.295,28.537,28.229,28.284,28.656,28.895,28.891,28.909,29.001,29.048,28.831,28.838,29.066,29.069,29.082,29.24,29.23,29.601,29.31,29.405,29.804,30.17,29.855,30.042,29.869,29.912,29.814,29.906,29.928,29.957,29.75,30.084,29.991,30.124,29.952,30.482,30.444,30.694,30.497,30.785,31.047,31.347,31.29,31.539,31.743,32.339,32.582,33.552,33.55,34.074,34.943,35.626,36.138,36.738,37.314,38.14,38.406,38.742,50.447,49.978,50.849,52.002,51.71,52.692,53.527,52.956,53.836,53.912,55.354,55.823,56.72,57.678,58.374,59.511,60.918,61.866,63.181,64.085,66.08,67.144,66.704,68.189,70.379,71.333,72.422,72.686,73.527,74.923,76.158,76.942,77.6,79.811,80.318,82.189,84.055,85.697,87.42,88.727,90.345,92.32,93.335,93.343,94.011,94.272,95.441,95.582,95.934,96.358,96.493,97.387,96.221,94.588,94.69,93.328,91.488,91.189,90.326,88.823,88.83,87.603,86.903,86.421,86.95,86.971,86.992,87.807,88.222,88.623,89.38,88.423,89.445,89.901,90.871,91.6,92.045,92.173,92.516,92.707,92.535,93.049,93.124,94.058,94.855,95.281,95.939,96.511,96.736,98.765,98.732,99.565,99.804,100.823,101.01,102.253,105.052,100.48,100.255,100.1,99.965,99.926,99.281,99.226,98.584,98.924,98.46,98.844,100.144,100.15,100.055,100.289,100.223,99.906,99.956,99.914,99.292,99.283,98.944,97.534,97.625,97.79,97.883,98.04,97.969,98.039,98.034,98.092,98.514,99.523,99.93,100.876,101.58,101.569,101.465,102.177,102.75,103.553,104.258,104.478,104.564,104.8
"50","42","    Nondefense","B825RG3",11.678,11.253,12.804,12.693,12.073,11.777,11.774,11.66,12.631,12.751,12.234,12.848,12.819,12.644,12.291,11.679,13.468,12.922,12.846,12.828,13.389,13.617,13.801,13.989,14.032,14.071,13.993,14.126,13.924,14.137,14.051,14.15,14.598,14.841,14.601,14.634,14.667,14.926,15.193,15.055,15.245,15.553,15.633,15.925,16.234,16.642,16.599,16.719,16.819,16.682,16.443,16.421,16.515,16.522,17.018,17.138,17.309,17.237,17.287,17.35,17.684,17.675,17.715,18.157,17.972,18.053,18.121,18.318,18.676,18.969,19.25,19.25,19.309,19.261,19.379,19.681,19.929,20.006,20.321,20.505,20.559,20.749,20.883,21.071,21.605,21.885,22.299,22.676,22.704,22.887,23.554,23.857,24.987,25.448,25.688,25.79,26.703,27.295,27.638,27.964,28.391,28.612,28.811,29.305,29.9,30.122,30.383,31.169,31.365,32.32,33.062,34.53,35.558,36.277,37.021,38.127,38.37,38.725,39.281,40.459,41.371,41.923,42.159,43.154,43.229,43.552,43.98,45.172,45.776,46.394,47.136,49.09,49.897,50.75,51.758,54.33,55.423,55.971,56.458,58.212,59.032,59.574,60.047,61.427,61.803,61.968,62.303,62.079,62.719,63.35,63.949,64.291,65.338,65.757,65.556,66.31,66.681,67.304,67.654,67.94,68.262,68.463,68.739,69.001,70.075,70.816,70.903,70.643,72.066,72.574,73.051,73.612,73.997,75.121,75.2,76.721,78.843,79.157,79.289,79.111,79.59,79.994,80.437,81.626,82.778,83.241,84.2,84.693,85.508,86.601,86.306,87.083,88.569,88.408,88.593,91.833,92.068,90.484,90.818,91.492,92.646,92.92,93.204,93.999,94.011,94.225,94.332,94.504,95.791,96.443,97.172,98.114,99.421,98.765,100.576,101.238,100.984,101.426,101.841,102.703,105.665,105.449,105.073,105.193,108.441,108.878,109.053,109.22,112.813,114.25,114.661,115.147,117.957,118.487,119.427,119.355,121.927,122.99,123.204,123.714,125.503,126.362
