"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","        Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29
"12","5","        Equipment","Y054RC1",0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32,33.3,21.2,1.6,1.3,2.3,3.2,2.6,7.9,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15,13.6,12.9
"13","6","        Intellectual property products","Y055RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3,3.6,4.8,5.9,6.4,7,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17,17.7
"14","7","          Software","Y056RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5
"15","8","          Research and development","Y057RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3,3.6,4.8,5.9,6.4,7,7.8,8.8,9.8,11.6,12.8,13.6,15.1,15.9,16.7,17.2
"16","9","Federal","A823RC1",1.9,2,2,2,2.4,3.4,3.6,5.8,5.3,5.9,6.2,6.8,19.1,56.7,89.5,100.1,87.3,32.1,25.8,27.1,30.5,29.5,50,64.8,70.3,63.3,61,63.1,68.4,71.5,73.5,72.8,77.4,85.5,87.8,90.2,93.1,106.5,120,127.9,131.1
"17","10","    Consumption expenditures","A957RC1",1.6,1.7,1.6,1.5,1.8,2.6,2.3,4.5,4,4.6,5,5.2,10.6,29.3,50.5,62.7,62.8,29,23,22.7,24.6,23.9,37.4,47.6,51.6,47.2,46.8,47.4,50.9,52.6,51.8,50.9,52.7,59,61.2,63.1,66.5,76.5,88,96.8,100.4
"18","11","    Gross investment","A787RC1",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7
"19","12","      Structures","A801RC1",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1,1,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3,3.4,4,4,3.9,4.2,4.1,4,3.8,3.9,4.1,3.4,3.3,3.4
"20","13","      Equipment","Y058RC1",0,0,0.1,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,4.1,16.2,31.9,33.2,21.1,1.4,1,1.8,2.8,2.1,7.4,10.5,11.7,9.5,8,8,8.4,8.6,10.9,10.4,11.8,12.8,11.3,10.7,9.4,11,12.9,11.3,10.3
"21","14","      Intellectual property products","Y059RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.4,12.6,13.4,15,15.7,16.5,17.1
"22","15","        Software","Y060RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
"23","16","        Research and development","Y061RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.3,12.5,13.3,14.8,15.5,16.2,16.7
"24","17","  National defense","A824RC1",1,1.1,1.1,1,1,0.9,1.2,1.4,1.4,1.5,1.7,2.8,15.4,53.5,86.8,97.3,84.9,28.1,21.2,21,22.4,22.7,43.7,57.4,61.2,54.5,52.4,55,60,62.2,60.9,60.9,64.5,69.7,70,69.7,70.6,82.5,95,101.4,102.1
"25","18","    Consumption expenditures","A997RC1",1,1,1,0.9,0.9,0.8,1,1.1,1.1,1.2,1.3,1.9,7.9,27.1,48.7,60.6,60.9,25.3,19,17.7,18.1,19,33.1,42.2,44.2,39.9,39.4,40.9,44.6,46,42,42.6,44.2,48.6,50.5,51.4,53.9,63.8,73.7,81.4,82.6
"26","19","    Gross investment","A788RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.3,0.4,0.8,7.4,26.4,38.1,36.8,24,2.7,2.2,3.3,4.3,3.7,10.6,15.3,16.9,14.6,13,14,15.4,16.2,18.9,18.3,20.4,21.1,19.5,18.3,16.7,18.7,21.3,19.9,19.5
"27","20","      Structures","A808RC1",0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2,1.6,1.3,1.1,1.3,1.2,1.2,1.5
"28","21","      Equipment","Y050RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,3.6,15.7,31.5,33,21,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.3,7.8,7.8,8.2,8.5,10.7,10.1,11.5,12.5,10.9,10.1,8.9,10.4,12.2,10.8,9.7
"29","22","      Intellectual property products","Y052RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.7,7,7.9,7.9,8.2
"30","23","        Software","Y053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"31","24","        Research and development","Y076RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.6,7,7.8,7.8,8.1
"32","25","  Nondefense","A825RC1",0.8,0.9,1,1,1.5,2.5,2.4,4.4,3.8,4.4,4.6,4,3.7,3.2,2.7,2.8,2.4,4,4.6,6.1,8.1,6.8,6.2,7.4,9.1,8.8,8.6,8.1,8.5,9.3,12.6,11.9,12.8,15.8,17.8,20.5,22.6,24.1,24.9,26.6,29.1
"33","26","    Consumption expenditures","A542RC1",0.7,0.7,0.7,0.6,0.9,1.8,1.3,3.4,2.9,3.5,3.7,3.2,2.6,2.2,1.8,2.1,2,3.6,4,5,6.4,4.9,4.3,5.4,7.4,7.3,7.4,6.4,6.3,6.6,9.8,8.3,8.5,10.4,10.7,11.7,12.5,12.7,14.3,15.4,17.8
"34","27","    Gross investment","A798RC1",0.2,0.2,0.3,0.4,0.6,0.7,1.1,1,0.9,0.9,0.8,0.8,1.1,1,0.9,0.7,0.5,0.3,0.6,1.2,1.6,1.9,1.9,2,1.7,1.5,1.2,1.7,2.2,2.7,2.8,3.6,4.3,5.4,7.2,8.8,10,11.4,10.6,11.2,11.3
"35","28","      Structures","A830RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0,0.3,0.7,1.1,1.1,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9
"36","29","      Equipment","Y066RC1",0,0,0,0,0,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.5,0.6,0.6,0.5,0.6
"37","30","      Intellectual property products","Y067RC1",0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.1,2.9,4.5,5.7,6.8,7.9,7.8,8.6,8.8
"38","31","        Software","Y068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3
"39","32","        Research and development","Y069RC1",0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2,2.9,4.4,5.6,6.7,7.8,7.7,8.4,8.6
"40","33","State and local","A829RC1",7.7,8.3,8.1,7,6.5,7.3,7.6,7.7,7.9,8.3,9,8.8,8.8,8.8,8.6,8.6,9.3,11.1,14.2,16.9,19.6,21.3,23.6,25,26.7,29.5,32.2,35.4,39.1,43,45.3,48.2,52.5,55.4,60,65.3,71.7,79.8,88.1,98.8,109.3
"41","34","  Consumption expenditures","A991RC1",5.1,5.4,5.5,5.2,5.1,5.5,6,4.7,5.3,5.3,5.6,6,6.5,7.2,7.7,7.9,8.4,9.5,11.3,12.8,14.2,15.4,16.5,17.6,18.8,20.2,22.1,24,26.4,29.4,31.2,34.1,37.2,39.3,42.3,46,50.6,56.4,62.4,70.7,80.4
"42","35","  Gross investment","A799RC1",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7,7.4,8,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8
"43","36","    Structures","A842RC1",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16,17.2,19,21,23,25.2,25.6
"44","37","    Equipment","Y070RC1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.3,2.6
"45","38","    Intellectual property products","Y071RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7
"46","39","      Software","Y072RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
"47","40","      Research and development","Y073RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
