"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"18","10","    Information processing equipment","Y034RX1",138.8,149.3,155.3,154.4,167.9,179,184.2,190.3,189.2,178.9,172.1,172.6,169.6,168.9,172,169.1,175.4,178.9,189.1,199.7,198.7,204.2,206.1,209.2,214.3,218,226.2,230.3,246.3,247.6,255.1,254.7,270.6,272.7,279.5,296.7,294.6,294.1,281.2,254.1,245.6,246.4,261.4,270.9,276,277.8,282.5,289.5,279.8,286.6,288.9,288.2,297.1,294.3,289.1,299.6,300.3,304.1,307.4,304.1,298.1,316.2,310.6
"19","11","      Computers and peripheral equipment \3\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","      Other \4\","A937RX1",120.4,126.4,131.3,131,144.9,151.2,155,161.6,156.9,149,145.8,142.2,134.9,135.5,135.9,133.7,138.7,142.4,150.3,157.8,158.1,162.3,161.5,161.1,168.6,170.5,176.2,175.2,187.8,185.9,188.4,187.9,200,203.8,207.7,220,213.8,212.4,205.2,185.4,175.8,173.1,183.9,184.5,188.5,191.5,199.5,207.7,202.5,203,202.2,203.4,208.4,206.9,207.1,210.1,213.4,219.6,221.5,213.7,217.6,230.8,223.3
"21","13","    Industrial equipment","A680RX1",179.5,182.1,184.5,184.9,193.7,198.8,202.4,199.3,199.7,185.5,177.7,172.6,174.1,169.7,171.7,170.7,170.1,177,172.8,169,162.5,166.5,171.9,175.4,179.4,177.4,185,192.6,190.8,202.6,201.2,201.7,197.7,210.6,211.7,201.2,201,199.4,195.6,186,161,152.5,148.5,146.3,143,151.1,152.8,158.3,171.8,174.1,188.2,198.9,188.9,190,189.7,192.5,193.5,193.6,201.5,202.3,209,222,235.9
"22","14","    Transportation equipment","A681RX1",199.3,205.9,217.9,210.4,208.8,211,203.5,193.2,186,186.3,180.9,186.5,178.4,169,164,157.6,144.7,155.9,159,159.6,156.1,170.2,183.2,196.4,189.7,196.7,206.9,198.4,219.6,209.9,209,211.8,212.8,201.8,199.2,200.5,198.5,175.8,147.7,105.5,68.6,67.2,70,76.5,109.7,130.9,152,155.1,168.1,167.1,188.5,208.5,217.4,220.6,214.4,217.9,221.4,226.4,228.7,247.9,247.8,249.6,269.1
"23","15","    Other equipment \5\","A862RX1",161.4,159,160.8,164.3,168.9,172.9,170.1,170,172.4,167.7,170.7,165.8,163.8,169.5,169.2,169.1,173.1,174.9,183.2,186.1,184.6,189.1,195.9,200.2,203.7,212.2,213,214.9,221.9,221.5,217.2,217.7,213.2,219.5,217.9,217.4,211.1,211.8,210.6,192.7,178.8,165.5,159.9,158.2,170.7,177.8,182.2,188.3,194.4,194.9,209,199,200.3,200.7,213.5,214.8,220.5,215.6,212.7,227.3,223.6,217.6,215.4
"24","16","  Intellectual property products","Y001RX1",371.3,385.3,400.3,407.6,419.4,425.3,427.5,432,435.1,430.2,426.6,420.1,419.8,425.8,430.1,427.9,433,436.6,446.2,452.9,454.7,457.8,468.6,478.4,487,495,499.9,498,503.8,511,522.9,532.1,537,538.9,541.1,552.4,561.2,563.3,558.2,552.5,543.6,549.4,550.9,559.8,557.6,554.7,563,570,571.9,576.3,583.5,593.3,594.4,601.8,605.6,613.2,622.8,619.8,624.1,629.6,636.8,645.4,659.2
"25","17","    Software \6\","B985RX1",141.3,151.6,160,165.1,170.8,175.5,175.9,181.2,182.6,178.5,176.4,171,172.6,177.1,181.2,176.6,180.7,182.5,192.7,199.9,202.4,203.7,209.8,215.7,216.6,221.8,223.1,223.3,225.7,228.1,231.7,235.9,241.5,242.2,244.7,248.3,256,257,257.7,254.2,252.8,255.2,257.7,261.4,256,250.9,253.3,256.7,262.2,268.4,275.2,281.2,282.2,286.8,288.3,290.8,297.3,291.1,296.2,298.9,300,303.2,309.7
"26","18","    Research and development \7\","Y006RX1",178.5,182,187.1,188,192.6,192.2,194.2,193.2,196.3,196.7,195.3,194.1,190.2,190.8,189.4,191.5,190.5,190,188.3,187.5,187.4,189.5,192.8,194.5,200.6,202.1,204.9,201.6,205.2,210.6,219.6,224.7,224.7,226.2,225.9,234.7,236.6,238.6,234.2,232.7,226.2,229.1,228.4,232.3,232.7,231.5,235.6,237.8,236.5,235.7,235.9,238.6,237.8,239.8,241.6,245.8,248.6,251,250.6,252.8,258.2,263.2,269.9
"27","19","    Entertainment, literary, and artistic originals","Y020RX1",55.4,55,56.2,57,58.5,59.7,59.7,59.2,58,57.1,57.2,57.6,59.1,59.6,60.9,61.6,63.3,65.2,65.5,65.4,64.7,64.7,65.9,68,69.7,70.9,71.8,72.9,72.6,72.2,71.7,71.7,70.8,70.5,70.5,69.4,68.6,67.7,66.3,65.6,64.6,65.1,64.7,66.1,68.9,72.3,74,75.4,73.2,72.4,72.8,74,75,75.9,76.5,77.1,77.6,78.1,77.8,78.4,78.8,79.1,79.6
"28","20","Residential","A011RX1",623,632.7,637.4,642.1,645.3,641.9,632,632.6,635.3,645.2,649.2,645,666.2,682.7,684.7,697.1,709.8,721,762.3,785,794.2,819.5,825.3,836.7,856.4,872.3,881.9,879.9,871.7,827.8,781.6,745.2,711.2,682.7,639.2,586.1,540,516.3,490.9,443.6,401,377,395.4,395.7,383,403.5,368.1,375.1,374.4,379.3,386.8,397.6,420.8,425.3,439.5,460.3,469,489.8,503,491.9,485.3,495.6,499.6
"29","21","  Structures","A012RX1",616.1,625.5,630,634.6,637.5,634.1,624.1,624.6,627.4,637.2,641.2,636.8,657.9,674.5,676.6,688.9,701.6,712.5,753.4,775.9,784.8,809.9,815.5,826.7,846.4,862.2,871.8,869.6,861.1,817.5,771.4,735.2,701.1,672.8,629.4,576.4,530.5,506.7,481.7,434.9,392.6,368.8,387.1,387.2,374.4,394.6,359.3,366.2,365.4,370.2,377.5,388.2,411.5,416,430.1,450.8,459.2,479.7,492.8,481.7,475.1,485.1,488.9
"30","22","    Permanent site","A943RX1",354.5,353.9,356.9,365.5,369.7,365.1,353.5,354,358.8,365.2,366.9,359.9,365.6,377.2,381,385.3,393.5,398.8,420.1,444.5,447.2,461.9,469.6,470,483.4,491.5,498,506.2,504.4,470.2,433.7,398,371.9,355.2,328,289.4,255.7,239.5,213.5,183.9,147,124.5,132.1,131.9,131.3,135.5,126,121.2,121.6,121.1,124.9,128.1,138.7,146.9,157.4,172.3,184.1,191.4,195.5,199,204.1,208.8,208.8
"31","23","      Single family","A944RX1",309.2,308,309.1,318.3,323.5,318.5,308.8,307.7,311.7,317.8,319.2,311.6,316.3,326.8,330.7,335.4,342.6,347.8,367.2,391.2,393.4,406,411.6,411.6,423.4,429.8,435.4,443.5,441.8,408.9,374.2,337.8,313.7,301.4,277.7,241.8,209.4,193,168.2,142.2,109.5,93.1,106.8,112,115.7,121.7,112.6,107.7,108.2,107.2,109.5,111.8,120.6,126.3,134.5,147,156.3,162,164.8,164.5,167.7,169.2,167.9
"32","24","      Multifamily","C292RX1",42.2,43,45,44.1,42.8,43.5,41.6,43.4,44.2,44.4,44.6,45.6,46.6,47.6,47.3,46.7,47.6,47.6,49.1,48.9,49.3,51.3,53.6,54,55.4,57.3,58.2,58.1,58,57.5,56.6,58.3,56.6,52,48.8,46.7,46,46.4,45.3,41.8,37.6,31.4,25.3,20,15.8,14.1,13.7,13.8,13.6,14.1,15.6,16.5,18.3,20.9,23,25.5,28,29.6,31,34.7,36.7,40.1,41.5
"33","25","    Other structures \8\","A863RX1",262.3,271.9,273.5,269.9,268.8,269.7,270.9,271,269.1,272.6,274.9,277.3,292.2,297.3,295.8,303.6,308.3,313.8,333.4,332,338.1,348.5,346.6,357.2,363.6,371.3,374.4,364,357.4,347.9,338.1,337.6,329.7,318.1,301.8,287.5,275.2,267.6,268.4,251,245.6,244.4,255,255.3,243.1,259.1,233.3,245,243.7,249,252.6,260.1,272.8,269.1,272.9,278.8,275.5,288.8,297.7,283.3,271.7,277,280.8
"34","26","  Equipment","B013RX1",6.9,7.1,7.3,7.3,7.6,7.6,7.6,7.7,7.7,7.7,7.7,7.9,8,8,7.9,8,8,8.3,8.7,8.9,9.2,9.4,9.5,9.7,9.7,9.8,9.8,10.1,10.3,10.1,10,9.8,9.9,9.8,9.7,9.7,9.5,9.6,9.2,8.6,8.4,8.1,8.3,8.4,8.6,8.9,8.8,8.9,9.1,9.2,9.3,9.4,9.3,9.2,9.3,9.5,9.7,10,10.1,10.2,10.1,10.5,10.6
"35","27","Residual","A972RX1",-56.9,-43.7,-34,-39.3,-31.2,-27,-26.8,-23.9,-24.6,-35.6,-43,-27.1,-14.9,-10,-5.6,-6.7,-3.7,-5.8,-0.1,4.7,6,7.3,7.1,9.4,8.2,9.3,11.5,13.3,13,9.6,7.4,3.8,2.7,-0.7,-2.9,-5.3,-6.7,-4.9,-3.4,0.1,0.3,-0.3,-0.2,-0.1,-2.5,-3.3,-4.2,-3.4,-5.1,-5.3,-6.2,-6.7,-6.8,-6.2,-5.8,-7.4,-8.8,-8,-7.2,-8.1,-6.3,-7.6,-7.9
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","  Private fixed investment in structures","A349RX1",1103,1108.9,1113.6,1123.1,1135.3,1149.9,1154.9,1157.2,1146.9,1160.1,1168.2,1118.7,1119.1,1114.9,1099.1,1107.4,1118.8,1140,1183.1,1208,1210.1,1239.5,1251.1,1263.2,1289.3,1304.4,1312.6,1313.4,1318.3,1283.9,1242.5,1203.8,1183.7,1178.8,1156.4,1114.4,1069.8,1054.4,1025.2,965.3,883.1,822,809.6,773.9,734.3,764.7,723.8,737.5,708.4,737,765.9,789.5,830.2,845.4,857.7,870.6,866.1,893.8,918,920,916.5,939.7,949
"38","29","  Private fixed investment in new structures","W040RX1",1010,1005.6,1009.6,1025.5,1038.6,1051.1,1054.4,1055.4,1046.7,1057.1,1046.9,1014.3,1000.9,993.8,982.9,983.5,989.2,1007.8,1033.3,1060.8,1055.8,1073.1,1087.1,1090.8,1113,1120.3,1125.5,1139.5,1149.5,1123.3,1091,1050.6,1037.4,1044.9,1035,1005,966.7,954.3,924.1,876.8,798.6,737.6,714.6,672.3,643,666,646,649.7,619.3,645.9,669.1,693.4,726.8,739.2,747.2,756.1,754.6,771.3,791.3,804.5,810.6,830,832.5
"39","30","    Nonresidential structures \9\","A771RX1",497.9,492.9,492.7,497.8,508.1,529.3,547.8,549.8,534.5,537.4,521.6,490,463.9,438.8,418.5,413,410,420.8,419,419.3,410.2,412.1,418,417.4,422.4,420,417.6,421.2,436.7,450,458.2,458,474.8,500.7,524.1,536.7,538.8,547.4,543.2,529.8,490.1,452.9,422.4,386.6,360.2,370.3,364.8,371.5,343.4,366.8,388.1,400.8,418,428.6,427.1,419.8,407.2,414.3,425.4,438.2,441.3,454.6,460
"40","31","    Residential structures \10\","A756RX1",519.1,519.2,523.1,533.3,536.9,531.2,519.3,518.5,522.9,530.1,533.6,529.5,538.7,552.9,559.7,564.8,572.4,580.6,605.5,630.6,633.4,647.7,655.7,659.6,675.9,684.7,691.6,701.7,697.8,661.5,623.5,585.3,557.2,540.3,508.6,467.3,427.5,406.9,381,347,308.5,284.8,292.3,285.6,282.7,295.5,281,278,275.7,279,280.8,292.5,308.6,310.3,320,336.4,347.7,357.2,366.1,366.5,369.5,375.6,372.8
"41","32","  Private fixed investment in information processing equipment and software","A679RX1",278.5,299.2,313,315.7,336.8,354.1,360.6,372.2,371.8,356.3,346.7,342.8,340.6,343.7,350.5,343.5,354,359.6,380,398.1,399.2,406.4,414,422.6,429,437.8,447.9,452.5,471.8,475.5,486.7,490.3,512.4,515.3,524.7,545.8,551,551.4,538.9,508.3,498.4,501.5,519.2,532.4,532,528.7,535.7,546.1,542,555,564.2,569.5,579.3,581.2,577.6,590.6,597.9,595.2,603.6,603.3,598.6,619.4,620.7
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. The quantity index for computers can be used to accurately measure the real growth rate of this component.  However,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","because computers exhibit rapid changes in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","should not be used to measure the component's relative importance or its contribution to the growth rate of more aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","series; accurate estimates of these contributions are shown in table 5.3.2 and real growth rates are shown in table 5.3.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","6. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
