"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"22","13","Services","DSERRX0",5241110,5246293,5271598,5299965,5306161,5326790,5355073,5374824,5395146,5415579,5438890,5465665,5488462,5525758,5557620,5563209,5586618,5614029,5622910,5639411,5663372,5670989,5690530,5715790,5718986,5707916,5722069,5725056,5736223,5734284,5739951,5755429,5722270,5750899,5746233,5775707,5784544,5797320,5802084,5820446,5832293,5836161,5855452,5848110,5857050,5877476,5877835,5891132,5915918,5904015,5907667,5932659,5943957,5952484,5975919,5991833,5989552,6007679,6021962,6043754,6074735,6091959,6085515,6110383,6121748,6139117,6156833,6168085,6195403,6217972,6233577,6253965,6251607,6267763,6296461,6308277,6324701,6351797,6368937,6384462,6393001,6392066,6418013,6436168,6427566,6461627,6484280,6489159,6514091,6510155,6530862,6531894,6546806,6571232,6579818,6589670,6610300,6626425,6624222,6642173,6634010,6645964,6649398,6680901,6662706,6661863,6682654,6684292,6698409,6711671,6700714,6711357,6709343,6711010,6702168,6686856,6700839,6703162,6697234,6674815,6672400,6645993,6647495,6642850,6630671,6630434,6632990,6644475,6641110,6649489,6631567,6664461,6659092,6673599,6672340,6689086,6712060,6720558,6731170,6749624,6753031,6768495,6794113,6802960,6802278,6814291,6838115,6837819,6857570,6867008,6886475,6898110,6905313,6910469,6914692,6921372,6935023,6962317,6956274,6979758,6982622,6981700,6999689,6981345,6999297,6999121,7008525,7006395,7012319,7027967,7053012,7054520,7046579,7053317,7049286,7065628,7075986,7085057,7113715,7125728
"23","14","  Household consumption expenditures (for services)","DHCERX0",5103903,5109342,5134124,5162527,5167729,5187827,5216103,5235434,5255928,5276223,5297372,5323352,5342574,5378888,5410069,5416623,5439247,5466453,5470253,5484898,5507232,5511592,5529826,5554873,5558813,5546795,5559199,5559853,5570124,5567408,5571886,5585730,5549877,5577092,5571547,5599651,5606872,5619217,5621113,5637375,5646672,5648360,5663621,5652522,5659415,5678940,5676178,5688581,5713936,5703512,5707289,5730237,5739186,5746793,5769820,5786817,5785387,5801761,5816486,5839405,5866749,5883222,5875800,5902455,5914153,5931374,5949922,5960906,5989098,6010344,6026075,6050132,6052918,6069453,6098625,6106114,6120702,6146281,6165505,6180571,6185313,6178784,6200097,6216065,6203744,6235370,6254554,6257329,6278000,6272386,6291230,6292028,6307352,6334294,6341886,6351275,6371010,6387730,6386140,6406364,6398883,6410824,6412040,6442484,6420618,6412811,6430244,6431377,6443279,6452637,6438483,6444891,6440545,6438507,6427160,6408772,6420160,6414763,6407497,6388894,6389429,6368558,6370655,6369650,6357519,6358120,6361410,6370391,6367225,6371263,6352009,6385505,6380680,6394864,6392064,6407307,6430495,6439101,6452799,6472225,6476349,6492999,6518801,6528837,6528431,6541042,6563983,6564279,6584093,6587981,6602541,6610646,6617222,6627601,6635749,6640829,6656324,6678256,6669360,6689436,6688190,6687318,6705592,6686597,6701920,6698234,6705258,6706186,6719605,6741316,6768622,6771341,6760275,6766687,6760884,6777179,6787405,6794935,6822006,6836537
"24","15","    Housing and utilities","DHUTRX0",1530763,1524128,1538700,1541465,1543629,1553125,1561019,1561871,1563737,1565068,1556014,1565962,1571622,1573192,1566720,1581544,1592615,1602145,1598169,1608443,1613356,1613824,1629134,1655539,1634234,1639730,1650001,1635837,1641530,1641532,1646515,1645676,1646691,1653979,1636048,1644688,1642211,1642784,1649122,1648771,1656125,1649956,1655134,1653288,1654843,1668123,1663992,1661516,1673447,1670738,1659960,1681364,1674425,1663245,1674866,1677946,1673132,1681090,1687904,1693673,1699031,1704962,1691013,1708387,1710401,1712959,1716116,1715426,1729473,1734756,1742441,1749903,1752665,1752791,1777115,1770315,1783073,1793389,1799177,1803116,1804076,1802089,1805350,1817234,1778959,1811297,1821056,1816392,1831435,1825798,1846050,1831739,1830093,1841313,1828119,1815989,1837728,1847292,1827479,1853721,1830862,1835791,1836687,1854171,1845457,1832802,1847440,1839903,1847102,1859261,1857508,1859282,1859988,1861413,1858626,1847680,1857924,1865139,1875531,1871779,1877169,1861409,1883553,1880892,1876097,1876875,1873828,1884397,1886025,1894774,1874048,1902846,1898867,1903025,1889579,1884060,1901297,1904226,1905760,1908118,1905606,1904535,1918607,1927383,1921315,1910566,1924732,1919385,1928115,1927733,1940620,1935372,1935988,1938162,1934290,1924606,1921070,1934769,1927565,1946141,1950399,1951066,1964056,1949703,1952634,1945677,1947945,1932128,1947505,1964313,1981597,1971070,1960670,1962632,1949224,1949741,1958819,1949688,1966622,1957595
"25","16","    Health care","DHLCRX0",1165494,1167557,1168816,1170377,1171516,1173868,1177940,1181396,1184948,1189500,1193257,1195083,1195380,1198894,1204431,1209927,1215157,1221154,1219615,1223711,1227720,1231164,1236680,1241912,1249691,1253955,1259612,1263213,1268349,1274346,1281724,1287841,1292476,1299207,1307365,1317156,1326443,1334624,1340519,1347502,1353026,1359251,1360720,1364367,1366550,1371229,1371322,1371377,1375172,1379335,1384404,1385648,1385837,1388569,1392438,1397447,1401727,1401871,1405868,1411944,1412741,1416736,1419117,1425454,1432494,1440410,1446817,1452534,1459762,1464576,1467001,1469553,1471606,1473329,1476470,1479032,1483129,1487724,1497614,1502205,1504871,1501368,1502486,1505491,1509074,1512187,1514613,1517178,1518986,1523251,1524721,1528239,1530920,1537017,1541697,1545058,1547074,1548634,1552752,1553423,1556060,1559337,1564857,1571473,1574874,1573844,1575417,1581047,1589915,1594447,1596677,1596262,1596858,1597135,1598172,1599771,1602297,1602108,1604007,1608254,1611612,1616930,1619533,1625357,1628248,1632061,1634967,1633524,1636208,1633588,1630614,1625923,1623693,1625224,1629160,1635355,1640983,1646361,1651722,1657802,1661691,1667765,1672810,1677707,1679225,1681203,1684670,1690231,1694510,1693330,1689602,1687523,1690511,1700973,1710632,1717074,1726433,1730294,1733492,1730884,1730242,1732933,1737230,1741417,1744677,1747593,1751906,1753308,1754496,1756278,1758632,1770819,1771839,1773108,1778622,1785021,1787922,1788803,1791093,1792511
"26","17","    Transportation services","DTRSRX0",309938,311336,310311,313463,313464,316167,319333,320361,322269,323207,324911,324810,325501,329208,331198,329589,333068,334158,333260,334024,336216,334272,337744,335146,337607,336054,334879,335463,334556,334131,333915,336515,314958,322353,323648,322310,324011,323440,322521,320764,320798,319338,319663,321116,318577,319768,316756,323088,323765,321778,319436,319423,321156,321103,322427,323933,325073,325968,323374,327941,327433,330279,329372,331893,330936,332583,331911,332383,331034,332734,334293,333427,333773,333010,334933,333900,334791,336256,336191,336192,335418,333809,334068,334084,333641,332608,333486,334999,335378,335281,334812,334214,336164,337187,338627,339947,340299,339813,340806,339553,342011,339442,338895,339975,337972,338385,337496,333455,333327,333595,329431,327746,326911,324874,323671,320425,314598,310703,304962,305149,300334,297054,292232,292782,290455,289984,289886,286025,284946,284625,283623,284392,284958,283409,285411,286145,285410,286959,286670,287964,289484,289758,289707,289436,289527,290548,291219,292424,294158,294773,295052,295715,297419,296257,297853,296784,295986,297523,296138,297296,298572,298269,298683,299881,297757,298780,298786,298203,301019,300369,300892,300371,301097,301002,299954,299469,298381,299756,296511,303420
"27","18","    Recreation services","DRCARX0",306601,308672,311374,313757,312742,314818,317209,319720,324669,323643,325095,323611,320820,323941,326728,327409,326587,325793,329821,326055,325354,326165,327565,325233,331558,327404,327823,325625,326377,324598,325955,326816,318392,321323,324097,325106,325965,325513,325174,327792,326970,323417,325173,326622,329035,329624,329429,332888,331329,328855,331197,332819,336498,337625,338951,342100,342274,345046,345833,347703,348306,352410,354013,355174,354357,356130,356299,358494,358589,359472,358904,357293,358499,362801,366007,363238,364894,365279,366188,365066,362289,366511,368868,366458,373447,370994,372132,375400,374575,373097,375723,377148,378392,381973,388047,388194,386561,387728,392164,389085,392068,390390,396079,394346,393285,395099,391164,396917,392541,394980,391944,391135,392358,394023,391568,388059,383408,383696,383082,380864,383197,378959,374707,376627,376166,373202,373056,374085,373716,373836,377208,377242,379273,379223,378686,378467,375983,376682,379314,383755,384096,386900,385707,383382,382395,382062,384863,387864,387647,390480,391653,390209,392139,391864,392195,392187,395135,395494,391436,392649,393570,396866,398328,393150,394787,392214,392707,396255,393409,396952,397796,394986,396056,394302,397499,402538,397470,396584,402848,399476
"28","19","    Food services and accommodations","DFSARX0",502851,507146,505176,507965,508124,508215,507977,508335,514100,520815,523033,522594,525994,529117,536903,534848,534910,536240,536330,534046,541197,539290,537758,529166,543800,538255,535987,532535,534769,534752,533860,538759,520521,525749,527047,537800,537555,540292,536156,543523,540142,542408,542467,543234,543302,540676,544171,546678,546841,545010,551435,552142,559501,562368,565049,571527,565745,573253,575244,571088,576713,579081,582462,579858,580005,580885,585885,582701,588040,589325,589019,596511,593507,599532,591967,603348,601814,605625,605815,606841,610731,609198,616657,616186,629295,619048,620906,620421,619615,618902,617022,623489,629269,627445,629278,641307,630870,624809,633746,628083,632083,633593,629803,633945,631886,635866,634047,642368,634128,627028,625818,632884,633734,630703,627857,627820,623144,620647,615357,614186,610983,607431,598993,601014,600284,598282,600021,599180,595463,594347,596681,601323,596868,605357,607027,608236,606673,608184,609857,612224,611887,614939,617569,616450,615328,627073,630118,629203,632172,633546,632503,636091,642122,644205,643004,643082,647133,650230,653259,656312,653292,652826,655033,654699,658850,660969,665229,673555,671058,668314,672585,675913,669721,670144,670837,672101,675501,685231,688691,694298
"29","20","    Financial services and insurance","DIFSRX0",575808,574604,578268,588627,590836,593001,598520,604864,608073,610343,626346,634719,643178,656840,665573,660154,651270,658093,658182,661121,663188,664768,660231,668233,660886,650897,651461,650569,647455,644794,637642,637769,640009,641331,643618,645259,640311,641085,639174,638145,638939,642677,651077,641480,638311,643043,645012,640895,639671,635519,636491,634228,640416,645813,644384,641945,648580,647439,649865,652612,659012,659307,661219,663222,661276,661095,666743,668577,671810,677182,683677,691680,687605,692013,695362,701316,701985,706399,707655,712347,711542,708519,709919,714372,717219,719343,718963,718120,721026,716073,714572,717501,720036,722003,726748,729172,731496,736041,738560,739322,743424,746908,748472,751993,740540,742707,748444,742526,745674,741632,739590,738372,739175,737399,738264,734199,744126,739330,727742,723570,721585,725220,724566,719774,718917,718391,718760,719609,719233,715036,711974,714397,718257,721761,724385,734073,739983,734388,733317,735131,737797,740013,743293,744753,747196,752255,752596,750801,750872,752438,757451,770165,760708,758497,758197,760399,756727,757922,756935,755755,751649,745791,739547,737163,737642,735185,736468,741451,745820,748933,748014,752785,755345,756675,756533,758112,760304,764960,766275,770967
"30","21","    Other services","DOTSRX0",715206,718725,724412,728461,728798,729994,735076,739187,738046,743574,746357,753675,756347,762300,772157,768009,782383,785258,791271,794012,796742,798693,798000,796681,798587,799245,798311,816179,817122,813479,813188,813280,818147,814280,810458,808121,811738,812978,810138,812806,812659,813159,810502,804219,810943,808330,807102,814300,826406,825311,827394,827981,824187,830498,834555,835205,831344,829889,831085,837114,845939,842971,840766,840727,847308,850156,848572,853087,852640,854232,852182,852675,856612,856964,857743,855436,851571,852043,853331,854947,856752,857772,863419,862575,862276,869925,873662,875200,877249,880739,879213,880445,883262,888135,889862,892264,897396,903468,900656,903058,902093,904826,896373,895596,896494,893773,895465,894872,900150,901611,897402,899263,891390,892865,888721,890801,894109,892768,896816,885140,884527,881581,876987,873150,867332,869307,870871,873546,871613,875094,877832,879612,878966,877124,877863,880714,879977,882259,886147,887205,885647,888832,890966,889651,893158,896718,895404,893894,896226,895266,895423,894925,897841,897173,898954,905744,912814,911203,909554,909831,910134,909469,913121,910723,915713,917875,912231,910689,905870,906007,909306,905162,905111,908318,907544,909512,908343,908859,909105,917005
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148001,147814,148407,148565,149416,149988,150186,150664,150674,150939,152843,153680,156723,157786,158570,157852,158656,159038,163105,164704,166172,168796,169975,170342,169795,170442,171913,173748,174529,175113,176076,177467,179290,180621,181276,182576,183907,184341,186620,188414,190514,192266,195607,198562,200284,201173,203729,204580,204316,203052,202994,204857,206909,207754,208253,207441,206720,208324,208025,207171,210468,211202,212034,210578,210340,210549,209893,210178,209522,210794,210743,207540,202941,202665,202359,206262,207973,209445,207656,208136,211565,216578,220857,222912,226251,228594,231833,233768,237741,239275,241066,241296,240968,238713,239662,240122,241012,240508,239931,237871,237206,237241,239307,240370,243734,250277,253496,253959,256063,259782,262787,266835,269053,272591,274974,277910,280443,287918,289250,285566,282731,277306,276751,273165,273138,272324,271609,274130,273948,278331,279702,279063,278504,278816,280395,281922,281672,281546,278343,277317,276573,275332,275109,273874,273589,272954,273831,273215,273124,278836,283901,287566,288212,282714,278596,280248,278245,283843,286893,290456,294831,294776,294410,295167,297945,301727,304256,300965,292842,286206,283660,282395,285774,286117,288001,287996,288104,289721,291336,288634
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",767690,769651,771825,772431,773631,775371,777585,779785,781447,784621,788465,790350,792054,794159,797384,799015,802083,805273,807967,811200,813938,817917,821958,824104,827586,829797,833951,836650,839212,841906,846958,851204,853966,858421,862362,868220,873808,877734,882507,888368,892403,897368,900844,905474,906864,908477,909410,909219,909914,909685,911266,912068,912562,913797,915426,915946,916416,916891,918217,920873,923805,926018,926952,928478,931958,936549,939213,942999,947302,952315,953490,951454,947071,947556,947949,952633,956094,959863,963862,966421,970611,972176,976582,979104,983222,986711,990200,992017,996220,999916,1002367,1004458,1005380,1006512,1009971,1011967,1015024,1015996,1019264,1017293,1017268,1017008,1019635,1022752,1025877,1030210,1031846,1034195,1039560,1044284,1046337,1048459,1049786,1053012,1056143,1059524,1062393,1067390,1068149,1067433,1068765,1068351,1069836,1070132,1071096,1072460,1073917,1075033,1075357,1076513,1075939,1073364,1070569,1071474,1075608,1080754,1083929,1087327,1087875,1091038,1092783,1095770,1097508,1097608,1095362,1093739,1095306,1097684,1098511,1099773,1098050,1097235,1100033,1103607,1107112,1113181,1117332,1124273,1126576,1123644,1126368,1128633,1134571,1138470,1141160,1141219,1143062,1139838,1134807,1131670,1131737,1139700,1143162,1143696,1146045,1148320,1149868,1152420,1155739,1154482
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",630539,632887,634434,634873,635028,636137,638257,639991,641778,644863,646442,647349,645078,645922,648355,651113,653344,656294,653631,654961,655926,656650,659420,661246,665800,667306,669784,670171,671871,673989,678149,680836,681317,684326,687699,692267,696496,700153,702207,706114,707630,710632,709887,710945,710170,710746,708424,707155,708285,709694,711475,709970,707938,708218,709351,710929,712337,710890,712662,716499,715619,717069,717075,720390,724308,728852,732397,736004,741246,744975,746245,747813,748564,749373,750125,750475,752094,754312,760519,762626,763029,758909,758599,758884,759369,760337,760294,759998,759879,761987,762530,764438,765753,769401,771906,773448,775604,777153,781137,781373,782068,781753,782176,784195,783705,781044,779256,781132,784317,785131,783996,781826,780809,780313,780966,781299,781551,778766,778188,781367,785702,790886,792978,796931,797948,800151,802343,800960,801480,798311,796404,794469,792231,792821,795390,799018,802399,805878,809487,813601,816039,820184,822115,823397,821442,820439,821146,824077,824982,820777,814275,810017,812170,820841,828168,832582,838508,840111,839547,833376,832012,834280,840425,843545,843645,840254,839744,839593,842056,844993,847357,856325,856622,856840,857392,859619,861033,862042,863808,865075
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",6457542,6499854,6526282,6564708,6597466,6626948,6637629,6682673,6715711,6729541,6780322,6840489,6854308,6926268,6972531,6946362,6975683,6985219,7002075,7035433,7097143,7096101,7096927,7108829,7131318,7145329,7131629,7142797,7175380,7188449,7189332,7241579,7152114,7343479,7314411,7290555,7329177,7356563,7348368,7396216,7348049,7393114,7438470,7450996,7412259,7424830,7444343,7502477,7506187,7467213,7521241,7556032,7587221,7644627,7676239,7742580,7721916,7735764,7786549,7797947,7825793,7847987,7895158,7886384,7938313,7906800,7968180,7983659,8038898,8052801,8063783,8118922,8105047,8148808,8158388,8238741,8188582,8279873,8336075,8293781,8270108,8283127,8331210,8364886,8444825,8439317,8461102,8479645,8474477,8495438,8520181,8516210,8561928,8585025,8610555,8666054,8662041,8656668,8693996,8682170,8728531,8724620,8731776,8762562,8762001,8773791,8785610,8773757,8773415,8752225,8744924,8770778,8786850,8782452,8752637,8756263,8699733,8643810,8624122,8583308,8610780,8584515,8534755,8526526,8537358,8537877,8574003,8656804,8551490,8567768,8591278,8607018,8596067,8611691,8680377,8703446,8709739,8730768,8746013,8779112,8794008,8849296,8873497,8873536,8892338,8924878,8958177,8966787,8966748,8981614,9001386,9016455,9050143,9081817,9094188,9114395,9147285,9195299,9201441,9202992,9204922,9201744,9227860,9232470,9270906,9267872,9310482,9339235,9329604,9332747,9345675,9372110,9389597,9404747,9426062,9459682,9455083,9491648,9533285,9547819
"36","26","  Energy goods and services \5\","DNRGRX0",495854,484063,498281,500255,500629,510405,515854,505356,501638,506113,480244,501196,489613,485299,472998,490888,503911,504261,496419,506759,505570,497696,505516,541384,507439,506202,513092,494309,493065,481687,500705,490016,492914,500563,482928,490121,484828,492085,498035,496427,510258,504441,506251,507119,505555,517072,515352,511998,518505,512877,496816,520064,509202,495877,502089,513808,501383,509144,515817,516699,521444,520062,504450,517941,518098,512175,508090,506624,512672,515417,515888,514261,527123,509255,524798,515002,518225,516502,521158,522953,506596,512680,517544,522984,483973,509394,510640,506092,516652,508014,527380,509266,515652,527180,516699,501546,520508,534708,508010,538578,507508,506642,512158,519572,517524,497998,506358,506987,504637,499432,516353,510388,500835,491118,483348,481269,478619,495791,500192,493826,506604,492626,518270,508436,500428,492093,487233,503502,498692,503204,479734,504770,503260,504677,492204,487553,506200,507607,505908,508797,506210,501875,509465,514355,506929,493880,499967,490233,491619,490425,502083,489917,491088,495137,484867,475469,470335,477414,472353,493273,491010,492027,499750,489098,489407,483906,481549,465427,480646,498954,513555,502908,491357,493907,483683,479815,497592,479683,499548,494267
"37","27","  Market-based PCE \6\","DPCMRX0",6733321,6770165,6800796,6837373,6871336,6901998,6913492,6951518,6986194,6998001,7027342,7119197,7083674,7149451,7183072,7185584,7213875,7229823,7227723,7263583,7326965,7320135,7328018,7377470,7371207,7383039,7371075,7360944,7393403,7401157,7416126,7460846,7375186,7571710,7528081,7511144,7538242,7571142,7572228,7610663,7579367,7623676,7670572,7685950,7632985,7659328,7681612,7727007,7725317,7695340,7738149,7792342,7810453,7855266,7890161,7972130,7946307,7958630,8016202,8021333,8056602,8063889,8102397,8105201,8146906,8107752,8168694,8182780,8240752,8257639,8267226,8324549,8321236,8359878,8369810,8438777,8400915,8486000,8549023,8508904,8471135,8487049,8527967,8566904,8592585,8615902,8628849,8648989,8657935,8665612,8712544,8684205,8738861,8777834,8786593,8837253,8847021,8851292,8860330,8876378,8887585,8881577,8897460,8936653,8932745,8918815,8946570,8937824,8924216,8884991,8913658,8923942,8935719,8918408,8874567,8864877,8791484,8744833,8718708,8682761,8722578,8692611,8668087,8663776,8676874,8666627,8699416,8793118,8697412,8716039,8708261,8761230,8745446,8767823,8811083,8815160,8840335,8862573,8868323,8912247,8924055,8972941,9014572,9026232,9032251,9043407,9080840,9087686,9084647,9096354,9122118,9119840,9146554,9193653,9199535,9183209,9215879,9274396,9283481,9311391,9310912,9306031,9344940,9343136,9382506,9372158,9416694,9418954,9437443,9465285,9494091,9498165,9505142,9522317,9526144,9545842,9576789,9587615,9651575,9666211
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",5604091,5643552,5662884,5693580,5724417,5749657,5754641,5795505,5826983,5840051,5883024,5934207,5938594,5998373,6032168,6020568,6041125,6049328,6056566,6084170,6144352,6139276,6141558,6159433,6179162,6196484,6181548,6178650,6209246,6230391,6231196,6282547,6193028,6381976,6352551,6325600,6362103,6388837,6383848,6427299,6380498,6426502,6468788,6485825,6437176,6449944,6467819,6514334,6503935,6478748,6534511,6567780,6599019,6648601,6671379,6739054,6723850,6731032,6781383,6790429,6809896,6823230,6869417,6860249,6903396,6870546,6932398,6944352,6988542,7004039,7011830,7065684,7045777,7096302,7092650,7169263,7130402,7210015,7269830,7222943,7199878,7203612,7240773,7272484,7341991,7329248,7344536,7364878,7357895,7377749,7401067,7391373,7442406,7460596,7479796,7536565,7529050,7521388,7560443,7545665,7590460,7584626,7591050,7628134,7624992,7633382,7647689,7633519,7630068,7600371,7602369,7621764,7644440,7634779,7609437,7607510,7543171,7481827,7455794,7432019,7456507,7438567,7388376,7391945,7407512,7406140,7442716,7519692,7423121,7436301,7452972,7471824,7460760,7471522,7535065,7548886,7553152,7575171,7586801,7616006,7630817,7682928,7709154,7712114,7727122,7753500,7788423,7799961,7799128,7809305,7821949,7834640,7865234,7903952,7919485,7926055,7954253,8003889,8018550,8016207,8018857,8015009,8040554,8053416,8087888,8082450,8134979,8156981,8153905,8155708,8166713,8192770,8206524,8220535,8234347,8261219,8264827,8299074,8336851,8347247
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",7586775,7626384,7664221,7708616,7744417,7779315,7796633,7838776,7874926,7887466,7924687,8025487,7999695,8077720,8123964,8111590,8148755,8166013,8173716,8215358,8280142,8277426,8283800,8327030,8323610,8332042,8321330,8325518,8359918,8359458,8374444,8419982,8334600,8533080,8489962,8476253,8505448,8538922,8536730,8579595,8546946,8590198,8640092,8650843,8608154,8634180,8658053,8715200,8727825,8683863,8724873,8780443,8798503,8851210,8894988,8975400,8944108,8963157,9021053,9028618,9072319,9088610,9128108,9131259,9181829,9144090,9204536,9222178,9291220,9306467,9319252,9377865,9380551,9412416,9435600,9508387,9459147,9555993,9615400,9579847,9541559,9566666,9618528,9659400,9695956,9726266,9745781,9764179,9774826,9783712,9831963,9809416,9858807,9902581,9917779,9967228,9980322,9986751,9994316,10013063,10026134,10022028,10038581,10071542,10070215,10059843,10085089,10078593,10068147,10037343,10056674,10073463,10078835,10066709,10018471,10014282,9948428,9907000,9887221,9834339,9877130,9838892,9814861,9798739,9807114,9798775,9831128,9930674,9826236,9847936,9846965,9896815,9881152,9908355,9956778,9970097,9997259,10018528,10027889,10075674,10087575,10139675,10179275,10188015,10197808,10215095,10250992,10254982,10252728,10269092,10301908,10302024,10331879,10372132,10374942,10372122,10409514,10466551,10467293,10499042,10497860,10493634,10533161,10523235,10566567,10558555,10593429,10602425,10614334,10643473,10674176,10678691,10689374,10707681,10718949,10745366,10768176,10781389,10849201,10867938
"41","30","Household consumption expenditures \7\","DPHCRX0",7445588,7485522,7522808,7567170,7602126,7636494,7653645,7695395,7731675,7743966,7779139,7879378,7849987,7927097,7972627,7961050,7997442,8014337,8017288,8057239,8120580,8114757,8119765,8162759,8159979,8167672,8155136,8157132,8190757,8189587,8203483,8247568,8159546,8357406,8313292,8297953,8325684,8358800,8353838,8394758,8359422,8400785,8446917,8454211,8409308,8434425,8455420,8511843,8524865,8482228,8523486,8577130,8592919,8644864,8688243,8769863,8739297,8756601,8815019,8823564,8863701,8879217,8917897,8922658,8973619,8935552,8996871,9014242,9084172,9098068,9110935,9173143,9180845,9213083,9236656,9305356,9254141,9349609,9411107,9374949,9332852,9352586,9399932,9438675,9471710,9499565,9515636,9531993,9538401,9545674,9592112,9569296,9619119,9665363,9679580,9728624,9740795,9747773,9755964,9776929,9790717,9786557,9800937,9832812,9827905,9810638,9832549,9825541,9812864,9778148,9794362,9806963,9810039,9794243,9743518,9736312,9667804,9618697,9597542,9548430,9594194,9561486,9538026,9525543,9533962,9526451,9559529,9656568,9552340,9569709,9567403,9617854,9602747,9629626,9676475,9688300,9715681,9737051,9749509,9798253,9810863,9864124,9903903,9913827,9923877,9941750,9976755,9981324,9979155,9989999,10017930,10014560,10043763,10089156,10095876,10091486,10130691,10182363,10180251,10208609,10203339,10199169,10238963,10228352,10269022,10257522,10289974,10302005,10321411,10356608,10389591,10395329,10402834,10420806,10430260,10456630,10479298,10490962,10557146,10578430
