"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223"
"11","3","  Commercial and health care","W001RC0",4274,4631,4744,4576,4762,4724,4720,5139,5406,5388,5544,5630,5543,5897,6969,6336,6049,6261,6150,5921,6023,6669,7075,7265,7731,7987,8131,8832,8522,7986,8339,8179,8373,8099,7959,8313,9020,9418,9386,9789,10590,11143,12324,12606,12853,12554,12351,12398,13139,14386,15794,16236,16892,17380,17608,18336,18973,19814,20329,20156,20501,21150,20521,20400,19266,17098,17169,17115,17919,17886,18080,18315,19008,19877,21093,21226,22129,24852,26276,28069,27828,32147,35712,38332,40996,40426,40255,42195,45555,47336,49025,51168,53381,55874,56829,57056,54781,52786,56997,58778,63533,70117,72438,76290,81613,84235,84095,86596,85174,80449,78724,79077,77420,78897,82000,84992,84110,87411,87283,86485,88495,85334,90122,89126,90435,88533,88419,82474,74920,72183,66687,61899,62616,63368,64837,67132,68026,68900,68590,71937,69209,76939,77221,78167,81796,83429,83659,83340,83995,89774,93616,98595,103641,100114,106828,106633,109283,116207,116180,122206,122577,124898,126496,127704,130452,137646,143256,145928,146004,141686,133922,127599,125582,120576,116749,114768,112210,113239,116264,118447,118895,126121,128855,127329,132142,134463,136197,140713,146674,153887,160955,163851,173832,180014,184873,188351,187252,185864,182414,171693,150310,134534,117448,104456,96558,92112,89806,89504,86971,91949,95986,97851,100090,102154,105546,105082,105865,105301,110632,117052
"12","4","    Office \1\","W031RC0",1609,1772,1827,1748,1824,1810,1798,1954,2048,2017,2073,2104,2060,2186,2582,2253,2171,2271,2242,2155,2164,2370,2460,2547,2706,2870,2984,3269,3090,2867,3033,2941,3090,2967,2886,3022,3242,3431,3450,3539,3828,3959,4364,4425,4495,4356,4211,4239,4504,4912,5526,5714,5317,5283,5351,5737,5965,6221,6475,6296,6466,6585,6520,6365,6011,5377,5208,5191,5290,5361,5332,5462,5703,6024,6242,6094,6530,7227,8176,9090,8988,10556,12172,13231,14754,15507,15754,16806,18596,19907,20761,22712,24964,26850,27959,27359,24744,23558,25007,25566,27517,30332,31972,34523,36924,38192,38158,38792,37599,35242,33418,33298,31960,31609,32582,33781,33050,34744,34681,34413,35148,34171,34850,34116,34285,33124,33157,31253,28356,27355,25731,23518,22696,22012,21094,23083,23655,23672,22406,22404,23194,24931,24430,25672,27434,29479,29234,27169,26512,30431,32612,34125,35812,34462,39252,41314,43141,46367,45721,50461,51916,51879,52454,50852,53536,59612,62652,65112,65124,60951,54236,48365,44366,41292,39258,37339,34273,33489,35095,37715,36512,37667,38276,38694,43227,43356,41705,43072,46542,51899,55465,56092,60026,59984,62013,65377,65686,64303,64169,61003,51729,46088,39832,33749,30949,27834,26733,26511,25217,26660,27780,29469,30391,30556,33353,34251,33871,33220,35403,36337
"13","5","    Health care","W032RC0",776,784,777,773,801,791,811,898,960,1009,1042,1056,1063,1144,1371,1444,1332,1326,1281,1236,1318,1519,1731,1735,1850,1755,1647,1735,1813,1753,1752,1797,1677,1655,1687,1736,1974,1966,1898,2108,2279,2547,2848,3001,3100,3098,3209,3195,3360,3722,3802,3838,3937,4108,4089,4326,4219,4230,4304,4373,4470,4493,4420,4420,4566,4316,4440,4400,4458,4586,4855,4901,4805,4716,4751,4784,4908,5154,5194,5392,5504,5802,6107,6326,6895,6955,7318,7941,8273,8780,9378,10004,10951,12180,12998,13796,13584,12806,13492,13672,13874,14237,13861,13729,13745,14128,14055,13571,13288,13565,13152,13363,13375,13074,13822,15016,15858,15590,15554,15916,15851,15775,16818,15340,16244,16673,17579,17195,16451,15770,14578,14610,15227,15437,15390,15737,15820,16265,17171,17354,16328,17473,16586,15881,16057,15797,15748,15911,15135,16396,17239,18301,19712,19078,19887,19616,19249,20297,20172,20132,20490,20296,20960,21040,20410,21681,22411,23088,22800,21826,21412,21780,23545,25029,25784,26430,26765,27307,26865,28092,28513,30256,29852,29659,30374,30877,33868,33169,33975,35503,36885,37777,39354,39364,40337,41167,41550,42885,43930,44683,43330,41573,38273,35789,33156,33153,33336,33405,31747,31537,33227,33637,34665,35508,34937,33411,34138,33992,35753,36568
"14","6","      Hospitals and special care","C311RC0",583,573,560,564,583,576,596,665,716,767,795,806,819,886,1067,1168,1068,1054,1015,983,1063,1239,1434,1428,1519,1410,1295,1352,1446,1409,1393,1444,1313,1302,1340,1373,1581,1557,1492,1686,1825,2073,2328,2474,2568,2582,2703,2687,2819,3128,3148,3165,3312,3489,3463,3652,3519,3501,3544,3636,3712,3723,3655,3674,3860,3682,3828,3790,3839,3957,4229,4259,4136,4011,4024,4077,4148,4316,4239,4326,4449,4564,4674,4768,5148,5104,5431,5923,6036,6377,6869,7246,7902,8890,9561,10435,10557,9929,10444,10561,10531,10560,9983,9537,9268,9496,9428,8877,8746,9304,9125,9353,9532,9288,9921,10968,11896,11425,11397,11787,11638,11672,12648,11270,12155,12723,13618,13452,13051,12490,11487,11782,12509,12813,12897,12993,13005,13451,14517,14719,13599,14537,13706,12850,12814,12312,12299,12719,12038,12839,13404,14235,15483,15009,15220,14676,14600,15607,15726,15593,15108,15138,15079,15355,14897,15820,16674,17390,17297,16946,16362,16332,18224,19483,20270,20643,20222,20534,20290,20663,20456,21282,21058,21201,21578,22023,24179,24347,25607,27395,28987,29893,30982,30694,30971,31643,31567,32118,33250,34508,33778,32332,30305,28645,27604,27413,27264,27016,25917,25954,26849,26985,28066,28428,27457,26512,26762,26437,28590,29215
"15","7","        Hospitals","W033RC0",470,462,451,455,470,464,480,536,577,618,641,650,660,714,860,942,861,850,818,792,857,999,1156,1151,1225,1137,1044,1090,1166,1136,1123,1164,1059,1050,1080,1107,1275,1255,1203,1359,1471,1671,1877,1995,2070,2082,2179,2166,2273,2522,2538,2552,2670,2813,2792,2944,2837,2823,2857,2931,2993,3001,2947,2962,3112,2968,3086,3055,3095,3190,3409,3434,3334,3234,3244,3287,3344,3480,3417,3488,3587,3679,3769,3844,4150,4115,4379,4775,4866,5141,5538,5842,6371,7167,7708,8413,8511,8005,8420,8514,8490,8513,8048,7689,7472,7656,7601,7157,7051,7501,7357,7540,7684,7488,7998,8842,9591,9211,9188,9503,9382,9410,10196,9086,9799,10257,10978,10845,10521,10069,9261,9499,10085,10330,10398,10475,10485,10844,11704,11867,11116,11955,11288,10538,10417,9830,9583,9619,8703,9109,9481,10203,11781,11299,11227,10651,10486,10663,10727,10755,10970,10673,10572,10514,10337,10926,11942,12641,13269,12954,12406,12304,14143,15345,16321,16883,16636,17235,17178,17536,17425,18359,18365,18546,19031,19631,21639,21863,22859,24231,25437,26133,27475,27194,27504,28278,27681,27750,29023,30670,30196,29109,26925,25076,24532,24253,24060,24080,23105,22966,23201,22949,23651,23977,22994,22634,22867,22490,24625,24972
"16","8","        Special care","W034RC0",113,111,109,109,113,112,116,129,139,149,154,156,159,172,207,226,207,204,197,191,206,240,278,277,294,273,251,262,280,273,270,280,254,252,260,266,306,302,289,327,354,402,451,479,498,500,524,521,546,606,610,613,642,676,671,708,682,678,687,705,719,722,708,712,748,714,742,735,744,767,820,825,802,777,780,790,804,837,821,838,862,884,906,924,998,989,1053,1148,1170,1236,1331,1404,1531,1723,1853,2022,2046,1924,2024,2047,2041,2046,1935,1848,1796,1840,1827,1720,1695,1803,1768,1813,1847,1800,1923,2126,2305,2214,2209,2284,2255,2262,2451,2184,2356,2466,2639,2607,2529,2421,2226,2283,2424,2483,2499,2518,2520,2607,2813,2853,2483,2583,2418,2313,2398,2482,2716,3100,3335,3730,3923,4032,3701,3710,3993,4025,4114,4944,4999,4838,4139,4464,4506,4841,4560,4894,4732,4749,4028,3992,3956,4029,4082,4138,3949,3760,3585,3299,3113,3126,3031,2923,2692,2654,2547,2392,2541,2484,2748,3164,3551,3760,3507,3501,3467,3365,3886,4369,4227,3839,3582,3224,3380,3569,3072,3160,3204,2936,2812,2988,3648,4036,4415,4451,4463,3877,3894,3946,3966,4243
"17","9","      Medical buildings","W035RC0",193,211,217,209,218,215,215,233,244,242,247,250,244,258,304,276,264,272,266,253,255,280,297,307,331,345,352,383,367,344,359,353,364,353,347,363,393,409,406,422,454,474,520,527,532,516,506,508,541,594,654,673,625,619,626,674,700,729,760,737,758,770,765,746,706,634,612,610,619,629,626,642,669,705,727,707,760,837,955,1066,1055,1238,1432,1558,1747,1850,1886,2018,2237,2403,2509,2758,3048,3290,3436,3360,3027,2877,3047,3112,3342,3677,3878,4192,4477,4632,4628,4693,4542,4261,4027,4010,3843,3786,3901,4049,3962,4165,4157,4129,4213,4103,4170,4070,4090,3950,3961,3743,3400,3280,3091,2828,2718,2624,2493,2745,2815,2815,2654,2635,2729,2936,2880,3030,3243,3485,3449,3192,3097,3556,3835,4066,4230,4069,4667,4940,4649,4690,4446,4539,5382,5158,5881,5685,5513,5860,5737,5698,5502,4880,5051,5448,5321,5546,5514,5788,6543,6772,6574,7429,8057,8974,8795,8458,8796,8854,9689,8822,8367,8108,7898,7885,8372,8669,9366,9524,9983,10766,10680,10174,9552,9241,7968,7145,5552,5740,6072,6389,5829,5584,6377,6652,6599,7080,7480,6899,7376,7555,7163,7353
"18","10","    Multimerchandise shopping","W036RC0",679,749,772,739,772,767,763,830,871,858,883,895,876,929,1096,955,919,960,947,910,915,1002,1042,1080,1149,1220,1269,1392,1314,1219,1290,1250,1313,1262,1227,1287,1382,1464,1474,1514,1640,1696,1872,1898,1929,1870,1808,1822,1937,2114,2379,2460,2815,2945,3012,3050,3241,3453,3520,3493,3519,3703,3520,3529,3188,2714,2756,2754,2988,2900,2882,2905,3113,3353,3711,3802,3920,4562,4709,4951,4854,5753,6355,6846,7051,6539,6247,6332,6772,6750,6831,6675,6315,6089,5736,5745,5955,5946,6705,7087,8038,9284,9670,10192,11256,11607,11594,12459,12485,11516,11708,11801,11681,12464,12967,13183,12818,13506,13497,13165,13651,12874,14002,14450,14532,14097,13711,12365,10934,10556,9574,8619,8964,9426,10336,10329,10428,10587,10610,11786,10481,11815,11850,11420,11361,10992,11020,11530,12442,12754,12744,12800,12166,11199,11715,11085,11626,12775,12969,13497,14318,14927,14994,14845,14743,13829,14520,15344,16377,16565,16141,15745,16682,15773,15011,14857,14842,15146,15562,16050,17166,18661,19908,19577,20594,21485,23061,25861,27754,29100,30624,29397,32137,35480,35089,36297,34340,32834,31895,28787,23166,19541,16317,14538,13520,12645,12362,11419,12270,13322,13601,14253,15196,15264,14790,14075,14006,14448,16001,18752
"19","11","    Food and beverage establishments","W037RC0",367,404,417,399,417,414,412,448,471,463,477,483,473,501,592,516,496,518,511,491,494,541,562,583,621,659,686,751,710,659,696,675,709,682,663,695,746,791,795,818,885,916,1011,1025,1041,1009,976,983,1046,1142,1285,1329,1520,1590,1626,1647,1750,1864,1901,1886,1900,2000,1900,1905,1721,1465,1488,1487,1614,1566,1556,1569,1681,1810,2004,2053,2117,2463,2543,2673,2621,3106,3431,3696,3807,3531,3373,3419,3657,3645,3689,3604,3410,3288,3097,3102,3215,3211,3620,3827,4340,5013,5221,5503,6078,6267,6260,6727,6741,6218,6322,6372,6307,6730,7001,7118,6921,7293,7288,7109,7371,6951,7560,7803,7847,7612,7403,6677,5904,5700,5170,4654,4840,5090,5581,5577,5631,5716,5729,6364,5204,5763,5879,6005,6529,6675,6778,6899,6961,6938,7049,7514,8634,7410,8283,8202,8555,9272,8505,8662,6974,8293,8086,8749,8858,8834,8547,8192,7966,8373,9693,8672,7832,7751,7752,8321,8520,7935,8295,8726,8346,8803,8529,7249,8200,8066,7070,7843,7846,7163,7462,7297,7339,7797,9074,7974,8464,9234,7880,6539,5469,5071,4487,4445,4552,4432,4730,4705,4605,5228,5725,5514,5627,5680,5804,5749,6148,6098,5368,5429
"20","12","    Warehouses","W038RC0",307,337,348,333,348,346,344,374,393,387,398,404,395,420,495,431,415,433,427,411,413,453,469,487,518,550,573,628,593,550,582,564,593,569,554,580,623,661,665,683,739,765,845,856,870,843,815,822,874,954,1074,1110,1270,1329,1359,1376,1462,1558,1588,1576,1588,1671,1588,1592,1438,1224,1243,1242,1348,1308,1300,1311,1404,1512,1674,1715,1768,2058,2124,2234,2190,2595,2867,3088,3181,2950,2818,2857,3055,3045,3082,3011,2849,2747,2588,2592,2686,2683,3025,3197,3626,4188,4362,4598,5078,5236,5230,5621,5632,5195,5282,5324,5270,5623,5850,5947,5783,6093,6089,5939,6158,5808,6317,6519,6556,6360,6185,5578,4933,4762,4319,3888,4044,4253,4663,4660,4705,4776,4787,5317,4856,5696,6194,6728,7729,8392,9036,9718,10324,10650,10983,11655,11962,12220,12224,11300,11263,11569,12669,13232,13174,13046,13194,13728,14147,14236,14492,15212,15810,16349,15454,14515,13719,12098,10875,10940,11893,12379,12938,12170,11508,11923,12868,11997,12401,12689,12861,13356,13852,13850,14683,15575,16067,17696,16896,16977,17335,17310,16792,15395,12383,9915,9073,7550,6408,6028,4837,5371,5932,6662,7016,6562,6662,6562,7044,7716,8037,8082,8846,10131
"21","13","    Other commercial \2\","W039RC0",536,585,603,583,600,594,593,635,664,654,670,688,675,717,833,737,717,754,742,719,720,783,811,833,887,933,971,1057,1001,939,987,953,992,965,941,992,1053,1104,1103,1128,1219,1260,1383,1399,1419,1377,1331,1338,1418,1543,1729,1784,2034,2125,2171,2200,2337,2489,2542,2531,2558,2698,2573,2589,2342,2001,2035,2041,2222,2166,2155,2167,2302,2462,2712,2778,2887,3387,3530,3729,3672,4335,4780,5145,5308,4945,4745,4840,5202,5209,5283,5161,4893,4720,4452,4462,4597,4582,5149,5428,6139,7062,7352,7743,8533,8804,8797,9426,9429,8712,8842,8919,8828,9397,9779,9947,9680,10186,10174,9943,10316,9754,10575,10898,10972,10667,10384,9406,8342,8040,7314,6611,6844,7150,7773,7745,7788,7883,7887,8712,9145,11261,12283,12460,12685,12094,11844,12114,12621,12605,12990,14201,15355,15746,15467,15117,15448,15928,16144,16222,15705,16457,16808,18490,18758,19455,20634,18980,17927,17621,16985,18521,19439,18632,18068,16880,15917,16983,17508,15695,16850,18811,19422,20153,17346,17990,17632,17411,16706,16373,15836,17712,18909,19693,21463,20560,19878,19298,17749,15287,14233,12346,9467,8386,7972,8020,7808,8092,7200,8540,8638,8416,7548,8584,9618,9880,9664,9461,9261,9834
"22","14","  Manufacturing","C307RC0",1884,1985,2212,2343,2682,2762,2918,3042,2985,2808,2676,2651,2684,3041,2669,2974,2591,2800,3011,3222,3142,3348,3731,4039,4491,5056,5031,5790,6170,6682,6877,6535,6434,5696,6026,5668,6000,5851,5762,6471,6741,6636,6931,6920,6696,7188,7158,6902,6850,6437,5809,5944,5800,5923,5947,5986,6975,7425,8440,8836,9380,9815,9711,11194,10530,10636,10591,10447,10883,10216,9691,9570,10131,10846,11239,12040,12707,14452,17988,19473,21114,21685,22258,23079,21847,21118,19394,19729,22854,24468,27427,26903,27219,27193,25367,24549,21298,19745,19829,16944,19529,20514,21736,21825,23859,24093,24202,24401,22440,20510,19894,21092,19177,20288,22780,22595,21784,23162,23199,24668,25890,28423,30441,30390,33650,34328,34292,32274,33365,32255,29674,30403,30335,28963,28260,28558,23649,22430,23900,24269,25060,28617,29825,32286,33464,36425,36365,35738,37803,37196,36831,40833,37252,36180,38982,38082,40603,40763,40243,40331,37982,35003,34441,33079,34868,38370,38174,38919,41838,39772,38646,31003,26104,23527,20806,20538,20040,21726,21839,22135,21772,21396,22626,27075,28081,27491,28534,29530,29880,32353,34204,32610,34055,36307,43219,47279,47761,51558,54066,57630,63500,60648,53691,47346,44955,42956,37882,33319,31620,36826,42213,44816,43891,45439,45994,48007,47655,45474,51139,51402
"23","15","  Power and communication","W003RC0",4340,4281,4303,4304,4399,4455,4286,4344,4125,4104,4107,4004,4115,4034,4027,4088,4118,4419,4358,4525,4628,4718,4786,4884,5092,5272,5438,5738,6031,6257,6485,6391,6617,6995,7199,7561,7888,8073,8493,8670,8483,8512,8640,9045,9373,10026,10724,10737,10886,11144,11013,10917,11868,11875,12116,12433,12850,13573,14279,14566,14900,15000,15359,15053,15250,15342,15732,16336,16209,17993,19109,19309,18618,19536,19466,19476,19910,21147,21944,22768,23421,24212,25138,25717,26825,27196,27375,27784,29096,29652,30185,30883,30795,30228,29572,27813,26665,25653,24573,26232,25555,26520,26982,26927,26624,26422,26371,26688,28757,29241,28286,26868,26020,25449,25091,25083,24581,24281,25468,25789,27525,27686,27097,27608,25473,25772,26482,27605,29824,31293,32205,32917,33003,33627,34031,34855,36428,32366,30817,33081,33444,30334,30098,30780,32957,34391,33523,31525,30560,29087,27928,29316,26978,27668,30016,30451,30855,35609,36737,33451,39058,37044,41637,44040,44647,44831,50636,52457,43614,52110,52662,55994,57728,51622,46635,47983,50823,49188,46260,46026,44121,40016,43308,44840,46093,47750,48078,50312,53150,53457,56530,60229,67814,77424,86337,94837,98267,95285,92728,96059,96301,96760,99015,91031,73426,83159,82537,96117,71660,79320,86794,89421,93629,93787,97948,116496,87586,95358,96419,91794
"24","16","    Power","W028RC0",3465,3347,3318,3298,3341,3336,3202,3261,3115,3153,3130,3034,3134,3030,3036,3092,3077,3319,3242,3290,3344,3405,3498,3537,3725,3812,3963,4212,4467,4662,4839,4792,4988,5349,5585,5934,6223,6527,6749,6853,6499,6429,6379,6621,6807,7111,7542,7628,7818,8013,8196,8053,8708,8711,8852,8957,9293,9753,10150,10372,10645,10660,11108,10955,11070,11636,12146,12724,12506,14193,15128,15169,14357,15084,14886,14793,14912,15568,16189,16716,17159,17623,17993,18181,18760,19271,19818,20431,21123,21699,22095,22263,21970,21676,20988,19958,18932,18146,17819,17926,18266,18621,18680,18537,18170,17971,18143,18785,19957,20080,19305,17934,17167,16448,15845,15408,15110,15171,15516,16098,17629,18032,18059,17740,15949,15926,16519,17727,20564,22131,23398,24298,24330,24742,25085,25387,26681,23086,21462,22987,23442,20612,19879,20239,22069,23054,22110,20790,19134,17764,16532,16221,15079,15279,17168,17922,17989,23018,24480,21274,23830,19700,21581,23049,26463,26827,31558,32528,24296,31265,33065,37370,38527,32771,28813,30321,37001,34664,31572,31236,30100,25073,27332,27907,27280,29083,29383,31101,31763,32056,34016,36785,42008,50171,58243,66038,68862,67041,67998,73067,76880,76752,79198,71425,55977,65467,64670,78366,54037,61524,68945,72541,76355,76421,80524,99304,72652,80065,81095,76979
"25","17","      Electric","C571RC0",2108,1971,1951,1958,2030,2055,1938,2001,1862,1898,1878,1794,1921,1853,1826,1848,1942,2008,2053,2081,2085,2130,2200,2233,2442,2483,2545,2670,2799,2922,3101,3122,3298,3628,3786,3964,4053,4202,4345,4480,4309,4429,4467,4731,4876,5169,5618,5669,5815,5995,6181,6013,6661,6595,6681,6731,7082,7513,7875,8090,8157,8141,8099,8075,8105,8207,8397,8679,9052,9507,10023,10570,11109,11589,11988,12306,12582,12845,13157,13509,13920,14249,14462,14553,14860,15136,15494,15902,16451,16946,17280,17431,17522,17386,16997,16359,15703,15233,15063,15172,15619,15712,15489,15108,14560,14257,14407,15100,16352,16573,15885,14566,13745,12945,12246,11704,11297,11226,11416,11825,13126,13364,13249,12809,10973,10807,11218,12198,14731,15995,16942,17504,17217,17234,17137,16955,19103,16229,15191,17169,17944,15163,14212,14085,15158,15721,14692,13621,12549,11752,11082,11321,10716,10887,12178,11766,10099,14136,15346,12630,16417,13181,15622,17312,20613,20915,25633,26639,18495,25410,27017,30990,31675,25562,21361,22742,29409,27133,24176,24050,23198,18375,20759,21381,20721,22521,22849,24625,25375,25315,26480,28014,31562,38172,44811,51295,52929,50429,51215,56623,60680,60711,63400,56785,41876,47234,45213,61576,42067,48349,54238,56510,59183,60336,65101,82616,54730,63465,64909,59113
"26","18","      Other power","W029RC0",1357,1376,1367,1340,1311,1281,1264,1260,1253,1255,1252,1240,1213,1177,1210,1244,1135,1311,1189,1209,1259,1275,1298,1304,1283,1329,1418,1542,1668,1740,1738,1670,1690,1721,1799,1970,2170,2325,2404,2373,2190,2000,1912,1890,1931,1942,1924,1959,2003,2018,2015,2040,2047,2116,2171,2226,2211,2240,2275,2282,2488,2519,3009,2880,2965,3429,3749,4045,3454,4686,5105,4599,3248,3495,2898,2487,2330,2723,3032,3207,3239,3374,3531,3628,3900,4135,4324,4529,4672,4753,4815,4832,4448,4290,3991,3599,3229,2913,2756,2754,2647,2909,3191,3429,3610,3714,3736,3685,3605,3507,3420,3368,3423,3503,3599,3704,3813,3945,4100,4273,4503,4668,4810,4931,4976,5118,5301,5529,5834,6136,6456,6794,7112,7508,7948,8431,7578,6857,6271,5818,5499,5448,5667,6155,6911,7333,7419,7169,6585,6012,5451,4901,4362,4392,4990,6156,7889,8882,9133,8644,7413,6519,5960,5737,5849,5912,5925,5889,5802,5855,6047,6380,6852,7209,7452,7579,7592,7531,7395,7186,6903,6698,6573,6527,6559,6562,6534,6477,6389,6742,7535,8770,10446,11999,13432,14743,15933,16613,16783,16444,16201,16042,15797,14640,14100,18232,19457,16790,11971,13174,14708,16031,17172,16085,15423,16688,17922,16600,16185,17865
"27","19","    Communication","C314RC0",875,934,985,1006,1058,1119,1084,1083,1010,951,977,970,981,1004,991,996,1041,1100,1116,1235,1284,1313,1288,1347,1367,1460,1475,1526,1564,1595,1646,1599,1629,1646,1614,1627,1665,1546,1744,1817,1984,2083,2261,2424,2566,2915,3182,3109,3068,3131,2817,2864,3160,3164,3264,3476,3557,3820,4129,4194,4255,4340,4251,4098,4180,3706,3586,3612,3703,3800,3981,4140,4261,4452,4580,4683,4998,5579,5755,6052,6262,6589,7145,7536,8065,7925,7557,7353,7973,7953,8090,8620,8825,8552,8584,7855,7733,7507,6754,8306,7289,7899,8302,8390,8454,8451,8228,7903,8800,9161,8981,8934,8853,9001,9247,9675,9471,9110,9952,9691,9896,9654,9038,9868,9524,9846,9964,9878,9260,9162,8807,8619,8674,8885,8945,9468,9747,9280,9354,10095,10002,9722,10220,10540,10888,11337,11413,10734,11426,11323,11396,13095,11899,12388,12848,12529,12867,12591,12257,12177,15228,17344,20056,20991,18184,18005,19078,19929,19318,20845,19597,18624,19201,18850,17822,17662,13823,14524,14688,14790,14020,14943,15976,16933,18813,18667,18695,19211,21386,21401,22515,23444,25806,27253,28095,28798,29406,28244,24730,22993,19421,20007,19817,19606,17449,17692,17867,17751,17623,17796,17848,16880,17273,17366,17424,17192,14934,15293,15324,14815
"28","20","  Mining exploration, shafts, and wells","E318RC0",2452,2537,2541,2554,2431,2350,2311,2264,2250,2274,2345,2427,2533,2567,2493,2347,2308,2284,2254,2158,2266,2432,2426,2536,2403,2610,2379,2348,2458,2396,2543,2415,2385,2479,2428,2428,2537,2465,2571,2667,2591,2761,2926,2902,2796,2827,2686,2835,2712,2507,2666,2759,2936,3037,3054,3249,3221,3322,3592,3797,4075,5109,5546,5922,6620,7059,7649,8120,8402,8152,8684,9222,10206,11173,11954,12515,11811,14714,16353,18798,18923,16748,19300,21165,22376,23425,29319,34388,31467,38529,41242,58594,54091,48088,40107,36718,34186,28207,28354,29245,30500,30626,32309,31701,32339,28084,25892,25377,23430,14554,12170,12574,11843,11139,13758,15484,15301,16449,15785,15348,13561,14912,15645,15518,17028,17818,17969,18865,21272,20758,16417,15729,13827,13320,14126,15515,15996,15748,16403,18211,16059,15694,16370,17450,15541,14214,14875,15563,15414,16432,17357,17905,21069,22437,22408,23633,22817,23594,22743,20034,17929,18683,17268,19306,20279,22653,24875,27159,31711,35379,38485,32785,27590,28337,32275,32795,34835,37813,39459,41741,43074,44946,48569,52586,60771,65943,71885,78968,90144,96169,97593,100234,101392,102446,103057,102012,105116,114186,122419,126382,103408,72460,61389,62617,74086,85214,91731,93768,97718,105560,114811,122739,125056,127415,125021,124481,126254,138545,143516,143687
"29","21","    Petroleum and natural gas","C319RC0",2341,2423,2423,2433,2309,2227,2185,2135,2119,2141,2209,2287,2392,2425,2348,2199,2157,2131,2099,2001,2109,2275,2268,2376,2242,2448,2215,2183,2292,2229,2374,2245,2218,2313,2256,2245,2341,2256,2349,2434,2348,2508,2663,2629,2511,2531,2378,2516,2382,2166,2316,2400,2568,2660,2667,2849,2810,2890,3121,3271,3483,4453,4834,5166,5828,6229,6774,7189,7404,7077,7527,7984,8892,9800,10542,11082,10419,13379,15060,17518,17624,15417,17928,19739,20862,21767,27456,32279,29114,36004,38655,56063,51715,45919,38154,34960,32577,26687,26858,27714,28894,28933,30540,29889,30528,26333,24258,23905,22143,13440,11196,11697,11020,10341,12968,14691,14488,15609,14914,14446,12632,13950,14647,14483,15965,16712,16817,17666,19999,19455,15103,14420,12560,12068,12880,14260,14756,14474,15047,16734,14299,13863,14551,15723,14144,12930,13648,14327,14002,14961,15846,16379,19571,20979,21012,22318,21620,22483,21703,19046,16990,17734,16272,18233,19042,21336,23508,25775,30373,34093,37249,31593,25931,26156,29674,30152,32775,35884,37445,39448,40255,41580,44704,48365,56451,61341,66793,73119,83163,88208,89042,91707,93613,95088,95903,94888,97862,107003,115515,119956,97626,66967,55931,56976,68017,78745,84907,86649,90380,97965,106917,114503,116427,118473,115862,115210,118280,130121,134242,134419
"30","22","    Mining","C320RC0",111,114,118,121,122,123,126,129,131,133,136,140,141,142,145,148,151,153,155,157,157,157,158,160,161,162,164,165,166,167,169,170,167,166,172,183,196,209,222,233,243,253,263,273,285,296,308,319,330,341,350,359,368,377,387,400,411,432,471,526,592,656,712,756,792,830,875,931,998,1075,1157,1238,1314,1373,1412,1433,1392,1335,1293,1280,1299,1331,1372,1426,1514,1658,1863,2109,2353,2525,2587,2531,2376,2169,1953,1758,1609,1520,1496,1531,1606,1693,1769,1812,1811,1751,1634,1472,1287,1114,974,877,823,798,790,793,813,841,871,903,929,963,998,1034,1063,1106,1152,1199,1273,1303,1315,1310,1267,1252,1246,1255,1240,1275,1356,1477,1760,1831,1819,1727,1398,1283,1227,1236,1411,1471,1512,1526,1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1338,1287,1235,1192,1659,2180,2601,2644,2059,1929,2014,2293,2819,3366,3865,4221,4320,4602,5092,5849,6981,7961,8551,8527,7779,7358,7155,7124,7254,7183,6904,6426,5782,5494,5458,5641,6068,6469,6824,7119,7339,7595,7893,8236,8629,8942,9159,9271,7974,8424,9274,9268
