"","Table 5#2#3U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","      Equals: Net domestic investment","W171RA3",96.503,106.546,101.689,100.04,88.522,88.387,81.361,71.584,76.658,77.846,77.661,76.606,75.424,75.818,82.355,87.847,87.399,95.164,96.349,98.491,101.206,96.566,97.784,104.444,106.485,105.589,100.512,92.851,89.254,93.19,90.304,83.965,77.817,74.067,66.695,44.257,20.551,13.798,18.206,26.242,35.003,45.234,51.496,41.293,42.833
"12","4","Gross private domestic investment","A006RA3",86.908,92.924,91.471,91.512,86.671,86.393,84.571,79.696,82.373,83.36,83.533,83.473,83.469,83.955,87.002,90.22,90.691,94.63,95.857,97.833,99.911,98.124,99.205,102.761,104.258,104.098,102.643,99.712,98.798,101.054,100.309,97.874,95.494,93.629,90.563,80.735,70.41,66.901,68.8,73,77.811,82.474,85.4,81.081,83.494
"13","5","Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.324,111.196,112.046,112.756,113.157,113.204,113.203,113.281,113.583,114.042,114.644,115.322,116.027
"14","6","Equals: Net private domestic investment","A557RA3",96.955,109.443,103.67,101.821,88.043,85.786,79.974,66.774,72.04,73.381,72.671,71.478,70.484,70.821,77.341,84.109,84.064,92.694,94.524,98.068,101.83,96.107,97.36,104.702,107.141,105.185,100.043,91.244,87.327,91.361,88.122,80.812,73.776,67.904,59.101,33.842,7.807,-0.909,3.773,14.009,25.423,36.243,42.571,30.935,35.852
"15","7","  Fixed investment","A007RA3",88.286,90.505,90.824,91.097,90.552,89.137,88.203,85.988,85.225,84.887,84.739,84.054,84.066,86.215,88.992,90.584,90.404,93.189,95.166,96.779,97.968,99.704,100.975,101.352,103.67,103.186,101.88,100.499,100.254,101.176,100.875,99.653,98.082,96.94,93.924,87.437,78.38,76.316,76.447,76.198,76.826,80.219,80.517,81.858,82.118
"16","8","  Less: Consumption of fixed capital","B024RA3",80.047,81.645,83.141,84.472,85.734,86.807,87.71,88.52,89.428,90.175,90.951,91.663,92.336,92.924,93.599,94.393,95.217,95.952,96.767,97.673,98.601,99.501,100.464,101.435,102.289,103.356,104.418,105.494,106.631,107.673,108.631,109.525,110.324,111.196,112.046,112.756,113.157,113.204,113.203,113.281,113.583,114.042,114.644,115.322,116.027
"17","9","  Equals: Net fixed investment","A560RA3",101.076,104.26,102.751,101.382,98.032,92.754,88.969,82.056,78.698,76.677,75.097,72.241,71.227,75.801,81.839,84.671,82.932,88.898,92.68,95.39,96.987,100.02,101.768,101.225,105.814,102.924,97.941,92.746,90.355,91.09,88.835,84.326,79.077,74.809,65.789,48.129,24.39,19.049,19.385,18.629,19.761,27.71,27.535,29.907,29.478
"18","10","    Nonresidential","A008RA3",94.608,98.098,99.182,99.566,98.619,96.029,94.445,91.453,89.315,87.869,87.417,85.771,85.385,87.682,89.679,90.845,90.124,92.555,95.095,97.197,98.086,99.516,100.919,101.479,105.759,107.643,108.811,109.44,111.257,114.234,116.829,118.45,119.026,118.533,115.899,108.673,97.501,95.618,95.216,94.879,96.677,100.592,103.019,104.939,105.469
"19","11","    Less: Consumption of fixed capital","A753RA3",79.088,80.742,82.33,83.781,85.212,86.405,87.383,88.236,89.191,89.951,90.747,91.469,92.145,92.716,93.388,94.194,95.036,95.772,96.605,97.552,98.53,99.47,100.487,101.513,102.398,103.546,104.695,105.867,107.118,108.263,109.317,110.311,111.203,112.197,113.172,113.982,114.426,114.446,114.408,114.459,114.795,115.32,116.021,116.819,117.648
"20","12","    Equals: Net nonresidential","A593RA3",149.685,159.693,158.987,155.582,146.198,130.181,119.506,102.869,89.758,80.479,75.6,65.55,61.396,69.818,76.517,78.957,72.692,81.138,89.734,95.934,96.511,99.678,102.453,101.358,117.684,122.183,123.415,122.121,125.948,135.423,143.488,147.334,146.786,141.02,125.575,89.832,37.438,28.804,27.111,25.394,32.38,48.328,56.877,62.782,62.248
"21","13","      Structures","B009RA3",118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.551,133.949,132.731,129.672,113.638,107.399,103.911,95.31,90.761,90.649,89.848,91.5,87.921
"22","14","      Less: Consumption of fixed capital","B188RA3",92.952,93.433,93.935,94.431,94.895,95.374,95.859,96.29,96.627,96.88,97.094,97.292,97.481,97.691,97.93,98.169,98.407,98.659,98.929,99.201,99.49,99.826,100.171,100.513,100.91,101.413,102.001,102.629,103.311,103.989,104.691,105.393,106.058,106.776,107.543,108.316,108.875,109.163,109.37,109.578,109.721,109.891,110.106,110.352,110.592
"23","15","      Equals: Net structures","A594RA3",181.821,197.522,212.259,212.874,199.581,199.955,201.213,159.043,136.938,116.258,100.17,94.763,91.017,100.284,98.979,96.84,94.311,97.556,100.282,99.93,105.321,103.198,95.128,96.353,110.437,127.594,135.414,135.312,143.561,166.955,188.666,194.965,193.241,199.708,193.685,181.351,125.165,103.13,90.701,60.782,44.88,44.084,40.827,45.879,33.056
"24","16","      Equipment and software","B010RA3",87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,109.783,110.948,111.756,113.069,113.906,112.151,108.89,99.775,90.745,90.786,91.716,94.895,99.408,105.067,108.898,110.939,113.29
"25","17","      Less: Consumption of fixed capital","B189RA3",75.649,77.546,79.365,81.023,82.668,84.025,85.117,86.07,87.172,88.055,88.994,89.849,90.65,91.315,92.099,93.055,94.059,94.927,95.917,97.057,98.236,99.358,100.581,101.825,102.871,104.236,105.578,106.939,108.392,109.708,110.891,111.991,112.968,114.064,115.116,115.939,116.338,116.257,116.127,116.121,116.528,117.184,118.066,119.07,120.122
"26","18","      Equals: Net equipment and software","A747RA3",136.438,144.561,138.114,132.992,124.645,101.78,86.031,79.035,69.107,64.19,63.795,51.52,47.086,55.311,65.614,70.086,61.992,72.919,84.342,93.725,91.839,97.729,106.326,104.106,121.775,118.986,116.409,114.532,115.551,116.094,115.348,117.541,117.799,104.216,83.055,32.708,-15.447,-14.901,-9.57,6.822,28.376,54.789,70.86,77.201,84.946
"27","19","    Residential","A011RA3",75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.468,78.895,73.633,67.526,62.228,59.929,56.206,50.934,45.515,43.089,44.185,44.092,42.67,45.177,41.719,42.054,41.843
"28","20","    Less: Consumption of fixed capital","A754RA3",85.701,86.325,86.937,87.54,88.144,88.748,89.355,89.962,90.574,91.209,91.86,92.521,93.192,93.868,94.57,95.298,96.031,96.762,97.49,98.208,98.915,99.634,100.361,101.09,101.811,102.528,103.219,103.886,104.542,105.144,105.688,106.159,106.554,106.902,107.212,107.48,107.688,107.851,108.018,108.212,108.367,108.534,108.698,108.846,108.997
"29","21","    Equals: Net residential","A748RA3",71.471,70.443,68.254,68.076,68.296,69.542,69.861,68.655,71.29,73.748,74.125,75.589,76.42,78.807,84.655,87.774,88.609,93.233,94.296,95.058,97.261,100.235,101.392,101.111,99.234,92.356,84.063,76.825,71.136,67.141,59.28,50.227,42.38,38.895,33.367,25.614,17.675,14.09,15.603,15.381,13.252,16.807,11.727,12.146,11.772
"30","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","23","Gross government investment \1\","A782RA3",89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,103.436,105.156,105.441,105.907,106.253,110.253,111.386,110.222,107.497,110.036,111.542,109.989,107.652,110.565,113.283,113.526,107.262
"32","24","Less: Consumption of fixed capital","A264RA3",86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.665,105.477,106.311,107.201,108.092,109.001,109.901,110.821,111.752,112.63,113.459,114.235,114.964,115.816,116.768,117.866,119.073
"33","25","Equals: Net government investment","A889RA3",93.684,88.495,89.346,88.937,91.505,104.596,90.005,101.555,105.432,105.669,108.759,108.559,106.21,106.954,113.6,111.141,108.184,110.558,107.718,101.126,97.319,99.426,100.423,102.833,102.397,108.102,103.434,102.861,101.26,104.589,103.9,103.615,102.996,112.47,114.017,109.161,99.959,105.44,108.146,102.467,94.699,101.264,107.111,105.838,86.34
"34","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","          State and local","B893RA3",110.374,105.217,105.64,106.804,109.85,121.725,104.651,116.512,119.19,115.466,115.811,116.846,114.863,112.413,118.591,115.475,112.937,113.767,107.84,102.76,100.259,100.482,98.314,100.944,98.874,103.516,101.729,98.415,99.331,98.898,97.987,98.684,98.221,100.62,99.716,94.548,90.451,93.064,93.288,86.9,78.037,81.072,85.473,79.669,68.549
"38","30","  Structures","A760RA3",99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,99.83,100.419,99.624,99.53,98.882,101.531,102.181,100.51,99.358,101.02,103.043,100.014,96.172,98.27,101.36,99.306,93.132
"39","31","  Less: Consumption of fixed capital","B894RA3",89.515,89.966,90.427,90.88,91.34,91.809,92.289,92.791,93.298,93.816,94.337,94.854,95.393,95.924,96.438,96.967,97.491,97.997,98.48,98.94,99.378,99.8,100.213,100.609,100.634,101.042,101.469,101.903,102.326,102.763,103.182,103.611,104.011,104.435,104.839,105.259,105.685,106.098,106.506,106.904,107.296,107.724,108.185,108.702,109.258
"40","32","  Equals: Net structures","A895RA3",109.209,102.237,103.032,102.954,106.307,121.363,102.959,117.73,121.176,117.787,118.893,121.294,119.278,117.363,124.031,119.436,116.989,118.053,110.945,102.909,100.934,99.849,98.219,100.998,97.527,102.731,100.209,98.436,97.24,97.987,95.932,95.295,93.559,98.517,99.423,95.581,92.792,95.751,99.45,92.864,84.629,88.46,94.277,89.556,76.398
"41","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","            State and local","B899RA3",107.216,101.149,101.906,103.112,106.463,120.314,102.566,116.037,118.613,115.077,115.63,117.673,115.289,112.916,118.972,115.459,113.779,115.152,108.792,103.172,100.869,100.664,98.122,100.345,97.481,101.817,99.678,96.324,95.626,94.477,92.923,93.309,92.832,95.559,95.43,91.295,88.333,91.193,91.638,84.912,76.265,79.136,83.837,78.189,67.629
"45","37","  Equipment and software","A871RA3",74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,109.84,113.727,116.129,117.712,120.095,126.832,128.966,128.906,122.878,127.264,127.651,129.243,130.112,134.697,136.582,141.711,135.38
"46","38","  Less: Consumption of fixed capital","B900RA3",84.607,85.338,86.033,86.665,87.177,87.79,88.367,88.942,89.531,90.119,90.711,91.317,91.921,92.594,93.25,93.978,95.06,96.071,97.013,97.856,98.636,99.478,100.426,101.459,102.609,103.728,104.847,105.932,107.139,108.378,109.693,111.123,112.6,114.088,115.583,117.11,118.666,120.118,121.462,122.699,123.839,125.208,126.762,128.579,130.592
"47","39","  Equals: Net equipment and software","A901RA3",12.567,13.335,14.48,12.269,11.838,19.192,18.399,17.217,23.839,41.708,55.128,41.721,37.107,51.376,58.947,66.785,60.333,69.73,89.524,90.42,76.113,96.779,113.435,113.673,132.059,140.548,122.989,130.471,126.325,146.366,155.412,157.922,165.831,204.605,210.638,200.89,148.581,170.873,165.421,169.174,168.392,192.606,196.505,221.855,164.6
"48","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            State and local","B907RA3",181.59,186.817,180.788,181.554,181.01,164.507,146.539,135.139,140.758,130.119,125.818,106.399,111.08,105.189,116.416,119.506,96.573,85.306,86.766,92.875,85.377,95.939,102.982,115.702,134.501,146.208,154.867,154.773,200.608,221.244,240.435,250.636,252.246,243.17,220.017,188.994,154.318,146.463,140.013,151.998,146.943,152.233,142.557,139.737,125.808
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","44","  Gross domestic fixed investment","W172RA3",88.46,90.116,90.49,90.752,90.479,90.06,88.514,87.33,86.955,86.738,86.841,86.306,86.242,88.161,90.937,92.21,91.974,94.54,96.126,97.184,98.036,99.682,100.879,101.403,103.393,103.38,102.091,100.971,100.756,101.807,101.599,100.648,99.386,99.09,96.762,91.17,83.192,81.913,82.28,81.809,81.929,85.231,85.944,87.093,86.227
"54","45","  Less: Consumption of fixed capital","A262RA3",81.137,82.579,83.933,85.141,86.281,87.271,88.115,88.883,89.734,90.45,91.192,91.881,92.538,93.129,93.791,94.559,95.382,96.124,96.924,97.789,98.667,99.523,100.441,101.369,102.179,103.194,104.207,105.228,106.308,107.312,108.249,109.143,109.957,110.835,111.694,112.44,112.932,113.124,113.268,113.468,113.846,114.374,115.038,115.79,116.584
"55","46","  Equals: Net domestic fixed investment","W173RA3",100.001,101.968,100.802,99.573,97.083,94.476,89.119,84.891,82.585,80.892,79.991,77.521,76.313,80.33,86.457,88.519,86.603,92.047,94.866,96.224,97.035,99.934,101.573,101.459,105.317,103.676,98.74,94.217,91.94,93.053,91.025,87.131,82.554,80.285,72.801,57.003,35.377,31.609,32.29,30.818,30.656,38.404,39.104,40.946,37.745
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
