"","Table 1#2D# Real Gross Domestic Product, Chained (1982) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"1","[Billions of chained (1982) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1972 To 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2003 10:53:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","3","  Durable goods","B003DX1D",185.2,189.8,194.7,205.3,218.6,215.1,213.4,208,202.3,204.2,205.9,184,188.3,192.3,204.6,210.8,221.9,222.5,224.6,228.7,238.1,243.9,247.2,252,245.3,264.5,260.7,262.7,259.9,254,261.3,254.4,251,222.9,233.6,241.2,248.4,238.4,246.2,228,235.9,236.6,238.5,249.9,252.7,271.7,282.5,296.8,308.4,315.6,315.6,325.8,337.3,340.9,362.9,349.1,355.8,367.7,399.7,393.7,368.9,384.6,400.7,389,408.3,408.1,402.5,413.7,411.6,417.4,426,411.9,429.5,414.7,409.8,397.4,383.6,384.8,390.1,383.8,397.3,399.5,408.6,418.6
"12","4","  Nondurable goods","B004DX1D",638.2,653.8,663.1,674.6,681.9,676,680,677.5,668.6,666.3,667.7,658.3,661,675.3,680.8,682.9,696.5,705.7,711.8,717.9,722.1,720.8,722,735.2,739.9,747.9,755.8,764.8,768.8,765.7,773.9,780.1,778.3,768.2,766.7,770.7,778.1,780.5,780.4,781.5,782.7,783.8,788.2,795.8,799.8,807.7,819.7,827.9,832.4,847.3,850,854.8,859.7,866.6,871.9,878.7,890.2,899.7,901.7,910,915.8,922.4,923.1,926.7,937.4,945.8,955.9,966.5,970.1,970.7,980,988.5,991.2,993,995.4,983.7,983.1,990.1,990.6,983,999.2,997.6,1004.2,1020.2
"13","5","  Services","B005DX1D",751.1,759.3,769,784,791.7,800.4,805.6,810.1,810.9,817.7,821.1,828,833.7,844.5,850.2,860.8,873.1,880,890.6,905.4,913.2,918.5,932.3,942.5,956.1,969.7,976.1,980.7,993.1,1000.3,1002.9,1011.6,1015,1008.1,1019.3,1032,1025.4,1035.1,1036.8,1037.9,1041,1044.9,1052,1068,1080.4,1098,1110.1,1124.3,1132.5,1141.7,1154.7,1169.8,1188.9,1200.4,1218,1232,1236.1,1242.7,1254.2,1268.3,1286.3,1297.8,1310.4,1322,1339.4,1349.3,1365.7,1376.7,1384.4,1389.6,1397.3,1410.7,1415.8,1433.3,1444.8,1442.1,1441.3,1453.1,1457,1462.5,1479.3,1491.4,1498.6,1515.5
"14","6","Gross private domestic investment","A006DX1D",430.8,457,464.8,469.3,499.2,518.5,501.2,516.1,485.8,484.3,455.8,458.8,378.1,366.1,398.3,408.3,448.9,469.6,470.6,474.7,499.5,532.7,562.5,550.6,559.7,595.3,611.3,626,625.7,625.5,614.1,602.1,597,543,503.1,555.5,609.2,581.6,615.6,594.6,532.4,529.8,523,479,495.5,545.8,579.9,639.3,708.8,732.4,747.2,735.5,712,723.7,716.4,744.7,743.4,728.3,702.9,703.1,724.2,724.7,721.8,779.5,742,757,761.2,768.9,799.1,789.4,779.5,774.1,783.4,782.6,765.5,712.7,683.7,678.4,696,724.9,707.8,756.4,765.1,789.8
"15","7","  Fixed investment","A007DX1D",428.7,436.3,441.2,461.8,481.4,485.3,483.8,478.7,467.6,460.8,452.8,426.9,400.9,395.2,405,412.8,429.7,437,441.6,464.3,481.2,508.2,514.2,523.7,527.4,564.2,578.9,590.4,595.8,591.9,603,597,590,537,542.8,565.6,569.7,572.1,572,570.2,553.6,533.4,517.5,519.4,529.7,552.4,584,616.6,636.5,663.7,676.8,688.6,695.4,702.1,697.7,710.8,711.8,710.9,706.2,710.3,694.1,707.3,719.6,717.7,722.5,735.1,738.9,745.5,750.7,751.7,765.5,753.9,765,746.4,740.1,715.2,690.7,687.7,689.9,692.6,702.5,730.7,741.5,765
"16","8","    Nonresidential","A008DX1D",265.5,269.9,274.3,288.7,302.2,314.3,319.5,321.9,321.7,320.9,317.2,308.2,289.4,281.8,284.3,287.1,292.2,295.7,302.2,308.2,320.2,329.7,336,347.5,350.2,378.4,390.5,402.4,412,411.4,424.8,425.9,431.1,408.9,412.1,421,427.7,435.7,446.4,457.3,447.1,430.4,415.8,407.8,400.6,406.3,424.3,452.7,466.7,489.8,505.4,518.3,524.1,531.9,523.8,533.2,526,513.4,505.7,511.1,496.8,508.3,524.8,523.8,529.6,541.2,544.2,550.5,558.9,567,584,575.5,583,573.4,578.8,567,552.6,548.8,545,542.3,541.3,561.6,571.9,587.5
"17","9","      Structures","B009DX1D",120.3,120.9,121.1,123,127.1,131,134,132.8,132.1,131.6,125.9,124.3,118,113.5,114.2,114.3,117.4,117.1,118.3,118.6,118.3,122.7,124.6,125.5,124,134.9,142.3,147.5,147.4,150,157.6,162.8,165.8,161.8,163.1,168,167.5,173.8,178,191.5,185.4,179.2,169.4,166.1,159.4,152,155.6,160.5,169.6,178.1,183.6,185.8,193.7,193.9,189.7,192.2,187.7,170.1,163.9,164.8,160.3,161.5,168.4,171.5,166.2,169.4,167.3,167.1,170.2,168.2,174.6,173.5,177,176.2,175.7,167.7,164,159.8,149.6,146.4,144.9,144.7,145.6,146.8
"18","10","      Equipment and software","B010DX1D",149.3,152.7,156.4,168,177.3,185.2,187.7,190.8,191.2,190.8,192.2,185,172.7,169.3,171,173.6,175.8,179.3,184.3,189.6,201.1,206.3,210.7,220.6,224.4,241.7,246.8,253.6,262.9,259.9,266,262.3,264.6,246.8,248.9,252.9,259.9,261.9,268.3,265.9,261.8,251.3,246.4,241.7,241.2,254,268.4,291.7,296.7,311.3,321.3,332.1,329.9,337.5,333.7,340.5,337.8,343,341.6,346,336.3,346.6,356.1,351.9,363.2,371.6,376.8,383.5,388.7,399.2,409.7,402.1,406,397.1,403.2,399.8,389.1,389.7,396.9,397.7,398.2,419.3,428.9,443.8
"19","11","    Residential","A011DX1D",164.8,168,168.4,174.4,180.3,171.1,163.8,156,144.6,138.3,133.7,116.1,108.9,111.3,119,124.2,136.9,140.9,138.6,156.2,160.9,179.4,178.8,176.4,177.5,185.8,188.4,187.9,183.5,180.2,177.8,170.9,158.7,128.1,130.6,144.4,141.9,136.4,125.6,112.9,106.5,103,101.7,111.6,128.9,145.5,158.9,163.2,169,173.2,171,170.2,171.3,170.3,173.7,177.4,184.9,195.5,198.1,197.1,194.8,196.7,193.5,192.5,191.9,193.2,194,194.4,191.9,185.8,183.5,180.5,184,175.5,165.3,153.2,143.5,144.2,149.4,154.2,163.8,171.6,172.4,180
"20","12","  Change in private inventories","A014DX1D",9.3,31.3,34.3,15.4,24.1,43.5,23,45.3,22.4,31,9,33,-14.5,-23.2,-0.1,1.9,26.6,41.6,39.1,16.8,25.9,33.4,60.3,36.1,40.9,39.6,41.9,45.9,36.8,39.7,15.4,7.6,8.2,6.7,-43.5,-11.4,46.6,15.6,52,30.3,-21.3,-2.1,8.5,-44.7,-40.1,-9.3,-9.4,21.8,80.4,76.8,79.4,53.7,19.3,25,21.2,38.1,35.8,18.8,-6.5,-11.6,32.3,16.5,-2,66.1,16.4,18,17.7,18,49.1,37.1,9.7,17.1,15,34.6,22.9,-9.5,-14.8,-18.7,-1.3,30.9,0,23.7,20.4,20.9
