"","Table 2#10# Personal Consumption Expenditures by Major Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","  Nondurable goods","B004RC",145,145.7,147.7,145.6,148.4,149,148.2,148.8,150.8,151,150.2,151.4,151,149.5,151.9,155.9,151.9,153,153.7,152.8,152.5,154.1,154.8,152.9,154.1,155,156.6,155.7,156.1,156.3,155.6,156.5,157.4,157.7,158.8,159.5,159.9,160.2,161.8,162.1,162.7,160.9,161.5,162.6,166.2,164.5,165.7,165.6,166.5,165.7,166.8,166.5,166.3,168.1,168.9,170.9,168.5,168.5,169.4,171.9,172.3,174.3,175.6,175,178.1,178.9,180.3,181.5,181.1,182,180,184.8,184.5,186.4,184.1,187.8,189.4,188.9,192.2,192,193.5,199.7,199.2,201,202.5,204.6,205.9,208.4,206.7,208.8,211.2,210.1,211.7,210.9,212,212.3,213.5,213.8,214.3,215.1,215,216.8,215.7,218,220.3,217.7,220.7,224.2,225.2,227.4,231.7,231.2,232.6,235.9,238.8,240.4,239,240.5,244.2,241.4,244.7,247,247.4,249.5,252.4,251.5,253.7,256.6,255.4,259.2,259.8,260.8,265.5,265.9,267.1,267.4,270.7,271.4,271.9,273,276,276.5,277.5,281.2,280.6,281,279.2,282.7,283.2,286.4,284.9,287.2,288,288,291.3,293.6,291.5,295,301.1,301.8,305.4,305.9,309.2,310.9,314.3,319.8,320.2,321.5,327,331.3,332.8,334.6,336.3,340.1,346.7,344.9,351.2,352.9,359.1,360.3,365.1,369.3,373,377.3,380.7,383.1,387.6,393,394.5,396.8,397.7,396.1,402.2,404.8,406.4,405.5,419.5,421.7,424.9,429.4,429.1,429.8,436.4,439.3
"12","4","  Services","B005RC",121.9,122.9,123.8,124.7,125.6,126.5,127.4,128.3,129.3,130.3,131.3,132,132.6,133.3,134.1,135,135.8,136,136.2,136.5,137.2,138.1,139,139.5,139.9,140.4,141.5,142.7,143.9,144.3,144.4,144.6,145.7,146.9,148.2,148.9,149.5,150.1,151.1,152.3,153.5,154.1,154.5,155.1,155.9,156.9,157.7,158.3,158.6,159,159.6,160.3,161.1,162.4,163.8,165.2,166.2,167.1,168.1,169.1,170.3,171.4,172.5,173.6,174.7,175.8,177,178.1,179.3,180.5,181.6,182.4,183.1,183.9,185,186.2,187.5,188.7,189.7,190.9,192.4,194,195.6,196.7,197.5,198.4,199.8,201.3,202.9,204.1,205.1,206.2,207.8,209.5,211.3,212.7,213.8,214.8,216,217.4,218.7,220.4,222,223.8,225,226,227.2,229,231.5,232.2,234.9,237.2,239,242.5,243.6,245.1,247.2,249.1,251.3,253.5,255,257.3,258.6,260.5,263.8,265.3,266.8,269.1,271.7,274.4,276.5,278.2,280.6,283.8,283.6,285.7,287.8,290.3,292.5,295,298.2,299.6,301.4,304.9,305.9,309,311,313.6,316.2,318.4,320.9,323.5,326.2,328.9,330.7,335.7,338.2,340.3,344.3,346.5,346.6,349.3,352.6,355.7,357.5,362,365.9,368.9,369.5,372.2,375.2,378.2,381.7,385.9,387.2,389.6,394.7,396.3,399.2,400.7,404,406.8,411.2,415.4,420.5,424.7,427,430.7,435.2,440.5,441.8,448.8,451.6,457.6,461,465.7,469.9,473.9,478.8,481.1,484.6,491.6,495.1,502.9
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Line",NA,NA,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992
"18",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"19","1","Personal consumption expenditures","A002RC",1107.9,1108.9,1116.4,1126.9,1124.3,1142.2,1151.3,1160,1171.2,1180.1,1192.7,1215.4,1218.4,1234.6,1241.7,1251.1,1261.5,1268.3,1285.1,1290.7,1299.8,1316.4,1332.1,1341.3,1335,1361.1,1383.5,1402.7,1419.5,1434.7,1436.3,1457,1463.1,1476.4,1489.3,1506.2,1514.9,1533.4,1546.4,1550.1,1567.3,1583.2,1593.6,1623.9,1642.9,1651.8,1668.7,1678.9,1711.7,1715.3,1721.1,1709.7,1714.8,1733.4,1761.4,1777.6,1792.3,1826.2,1834,1857.4,1876.2,1891.6,1911.4,1912.9,1922.6,1944.6,1953.1,1978.7,1979.7,1977.2,1982.6,1999.3,2006.1,2030.5,2032.3,2035.4,2053.6,2057.4,2081.5,2087.6,2112,2132.7,2155.3,2167.2,2177.8,2179.7,2207.6,2235.7,2257.9,2286.4,2308,2318.7,2331.6,2358.5,2372.1,2403.1,2433.3,2411.2,2437,2462.2,2480,2502,2497.6,2515.2,2538.4,2538.7,2579.2,2586.2,2615.9,2637.8,2644.9,2658.4,2696.7,2691.1,2713,2744.7,2791.7,2759.6,2778.8,2818.3,2829.3,2821.4,2824.6,2838.6,2863.1,2869.4,2891,2909.9,2984.8,2947.5,2945.6,3016.9,2963.7,3030.1,3040.4,3066.3,3076.4,3101.9,3122.1,3159.3,3155.2,3166.4,3176.1,3206.2,3242.8,3248.8,3287.7,3291.5,3321.6,3345.5,3368.8,3392.9,3399.2,3440,3455.2,3485.1,3505.9,3509.6,3519.8,3563.1,3571.3,3584.2,3602.3,3638,3640.5,3655.3,3665.2,3704.8,3747.5,3744.2,3772.7,3791.6,3798.5,3828.6,3846.4,3872.8,3895.6,3893.9,3897.3,3889.2,3873.6,3898.2,3942,3939.3,3965.3,3971.1,3992.7,3994.1,4008,3999.1,4028.9,4042.7,4108.5,4121.7,4139.2,4149,4174.4,4191,4218.4,4192.9,4265.8,4296.7,4312.9,4345.4
"20","2","  Durable goods","B003RC",152.1,155,155.3,158.1,152.7,158.1,159.6,158.4,160.8,160.7,163.1,172.1,167.9,173.7,179.4,178.4,178.2,179.8,181.1,183.3,185.1,185.8,189.4,192.4,180.3,187.2,193.4,202.1,205.5,206.5,203.6,210.2,201.3,208.6,210,212,208.8,212.4,213.4,211,212.6,207.4,214,219.3,223.4,216.4,216.7,217.5,227.5,220.9,211.7,200.2,196.3,202.8,214.4,211.6,213.2,223.8,224.4,223.1,227.4,234.8,238.2,229,227.3,228.7,232.5,247.8,237.4,224.7,224.5,223.9,228.7,236.6,236.7,232.3,244.1,233.3,234.7,235.7,247,241,255.1,257.5,255.1,253.8,258.3,268.3,275.3,284.4,289.5,287,288.4,299.3,301.3,313.9,321.9,314,314.2,321.1,326.5,330.7,326.4,324.5,329.2,327.5,342.4,343.9,349.7,348.8,357.1,349.2,367.6,353,359.3,372.7,405.2,361.4,362.6,372.7,382.7,370.6,364.9,384.3,393.9,383.5,395.3,413.4,465.3,414,399.6,447.9,379.1,405.4,407.5,416,412.3,423.3,429.9,446.1,437.5,420.1,424,435.5,446.4,444.8,448.3,443.3,449.8,452.5,447.3,445,443.5,452.3,455.6,473.6,469.7,455.5,456.1,474.3,462,466.1,471.1,491.9,473.2,466.7,462.8,463.6,507.4,477.1,474.7,477.2,466,464.4,466.4,459.6,465.1,455.9,453,444.2,423.7,435.2,459.1,441.2,439.3,443.6,450.2,444.4,452.1,440.4,442.7,444.4,458.7,463.4,454.8,453.1,464.2,472.5,469.5,473.8,479.4,485.6,478.3,496
"21","3","  Nondurable goods","B004RC",447.1,443.6,445.6,450.2,449.9,457.9,459.3,463.1,465.4,470.1,470.7,476.9,479.7,486.5,485.4,490.1,493.8,492.8,499,497.7,499.5,507.6,517.4,516.4,515.2,524.2,533.8,535.9,543.3,549.5,552.4,557.2,565.9,566.3,575.4,584,585.5,592.9,603.2,599.4,609.3,622.9,623,637.8,646.5,649.4,660.3,663.3,675.7,678.4,685,685.4,687,687.4,692.2,702.4,704,713.8,715.4,726.2,741,745.5,750.8,754.7,753.9,760,759.7,763.6,766.1,768.4,767.6,774.7,770.9,781.6,775.9,776.1,778.6,781.1,795.6,790.5,792.9,802.2,800.8,805.1,803.7,801.7,813.4,815.2,823.8,833.1,840,841.4,845.6,849.8,854,852.6,870.6,861.8,866.7,877.3,880.7,893.6,883.8,887.4,898,891.5,903.4,901.1,902.9,914.2,914.3,924.5,925.5,922.5,926.9,933,938.6,940.5,949.9,952.1,961,954.3,956.5,943.7,952.5,955.7,956.4,954.6,959.5,967.3,963.8,976.2,978,1005.1,1000,1007.4,1011.8,1016.4,1017.7,1023.9,1024.3,1027.4,1031.8,1040,1041.1,1042.7,1064.5,1063.7,1071.2,1076,1086.4,1096.8,1102.4,1112,1118.7,1118.9,1136.2,1130,1136.8,1152.9,1164.1,1166.9,1168.4,1172.1,1181.5,1183.3,1189.6,1202.9,1210.4,1222.9,1231.7,1228.4,1228.7,1242.6,1247,1259.3,1269.2,1269.4,1276.4,1266.8,1263.7,1265.9,1273.8,1274.1,1286,1283,1286.6,1287.5,1280.7,1278.2,1283.8,1282.7,1307.4,1306.8,1301.6,1306.1,1313,1308.3,1317.5,1327.8,1332.7,1347.2,1349.6,1357.2
"22","4","  Services","B005RC",508.6,510.3,515.5,518.5,521.6,526.2,532.3,538.5,544.9,549.4,558.8,566.4,570.8,574.4,576.9,582.6,589.5,595.7,605,609.6,615.3,622.9,625.3,632.4,639.5,649.7,656.3,664.7,670.8,678.8,680.3,689.7,695.9,701.6,703.8,710.1,720.6,728.1,729.8,739.7,745.3,753,756.6,766.9,773,786.1,791.7,798.1,808.5,816,824.4,824.1,831.4,843.1,854.8,863.6,875.1,888.6,894.2,908.1,907.7,911.3,922.4,929.1,941.5,955.9,960.8,967.3,976.1,984.1,990.5,1000.7,1006.5,1012.3,1019.7,1027.1,1030.9,1042.9,1051.2,1061.4,1072.1,1089.5,1099.5,1104.6,1119.1,1124.3,1136,1152.2,1158.9,1168.9,1178.6,1190.3,1197.5,1209.4,1216.8,1236.6,1240.8,1235.4,1256,1263.8,1272.8,1277.7,1287.5,1303.3,1311.2,1319.6,1333.3,1341.2,1363.4,1374.7,1373.5,1384.7,1403.6,1415.7,1426.8,1439,1447.9,1457.7,1466.3,1493.5,1485.6,1496.5,1503.2,1510.6,1516.6,1530.1,1539.3,1541.9,1559.9,1566.2,1582.2,1592.7,1606.6,1619.7,1632.9,1642.9,1652.3,1662.2,1674.5,1689.2,1693.3,1719,1720.3,1730.7,1755.2,1761.2,1774.9,1784.5,1800.6,1817.1,1835.1,1851.1,1853.3,1875.6,1880.9,1892.6,1900,1924,1926.9,1935.9,1945.2,1951.2,1962.7,1974,1985.7,2005.3,2012.8,2038.3,2029.7,2044.1,2066.3,2086,2103.8,2121.5,2132.9,2153.9,2161.2,2168.6,2167.9,2178.2,2186.1,2197,2209.1,2223.9,2240,2244.5,2255.9,2262.1,2275.2,2280.5,2302.4,2315.6,2342.4,2351.5,2382.7,2389.9,2397.1,2410.3,2431.4,2391.2,2453.7,2463.8,2484.9,2492.2
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Line",NA,NA,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1","Personal consumption expenditures","A002RC",4346.8,4362.5,4342.7,4402,4417.9,4443.8,4470.6,4485.7,4508.3,4539,4559.6,4577.6,4558.5,4633.8,4649,4659.1,4671.6,4701.8,4718.3,4763.9,4776.8,4806.8,4823.9,4833.2,4864.7,4853.7,4887.5,4897.3,4945.4,4988.3,4974.4,5026,5015.3,5018.4,5059.3,5097.6,5090.9,5141.8,5158.8,5207.7,5223.1,5223.2,5239.9,5268.2,5282.8,5314.8,5332.9,5365.9,5410.2,5433.3,5446.3,5461.8,5454.1,5496.4,5560.8,5576.6,5590.2,5616.5,5640.2,5665,5678.7,5726.5,5754.6,5770.4,5834.3,5855.2,5864.5,5895.9,5924.9,5959.2,5981,6027.1,6035.9,6075.5,6118.3,6176.5,6183.3,6227,6263.3,6301,6334.1,6369.9,6387.2,6486.3,6487,6558.7,6610.9,6611.7,6633.3,6671.2,6697.5,6717.5,6793.3,6788.4,6793.8,6841.7,6901.8,6909.1,6903.1,6931.8,6966.7,6981,6997.6,7017.8,6935.8,7114.5,7087.4,7097.9,7130.6,7186.8,7205.3,7242.7,7244.6,7276.7,7355.7,7379.3,7347.2,7374.3,7410.7,7491.2,7493.4,7490.3,7553.9,7557,7592.6,7646.2,7716.4,7795.4,7770.6,7769.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
