"","Table 4#2#3U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"11","3","  Foods, feeds, and beverages","B638RA3",73.844,77.974,82.424,80.473,80.535,81.234,87.197,81.512,85.342,85.948,83.155,84.893,85.127,84.595,82.458,80.197,84.484,82.8,85.56,85.261,79.635,73.175,78.476,86.193,83.627,85.145,81.025,84.868,88.18,90.57,91.521,90.923,92.715,93.385,101.621,104.974,108.713,107.284,104.262,98.859,94.801,99.248,98.568,107.384,110.86,103.5,109.967,117.027,113.049,110.504,107.496,108.881,104.346,111.789,116.292,103.395,107.568,101.042,109.385,127.297,118.803,113.688,111.074,123.083,116.04
"12","4","  Industrial supplies and materials","B639RA3",70.129,71.767,72.403,76.088,77.643,77.765,80.562,80.115,78.188,75.848,74.744,74.489,74.402,77.323,76.52,76.499,78.247,77.415,77.905,79.763,82.679,83.853,83.075,84.73,85.252,87.848,85.405,84.109,89.97,92.383,91.079,94.539,94.43,95.765,97.416,100.031,105.527,110.901,110.693,102.991,93.427,95.688,104.099,106.786,110.757,115.449,116.277,119.956,121.433,121.835,122.778,126.584,123.912,126.33,125.049,125.554,125.356,127.644,131.503,136.733,128.063,135.517,139.265,138.454,136.623
"13","5","    Durable goods","B686RA3",74.202,75.97,77.524,82.185,87.48,88.402,89.007,89.726,86.54,81.844,78.375,76.808,72.917,77.046,76.415,76.116,77.045,78.108,76.79,78.348,84.019,84.466,83.261,84.558,85.456,88.758,92.472,94.898,97.799,98.146,97.511,102.763,101.908,102.953,105.457,108.093,111.326,120.194,119.366,111.607,95.598,95.265,101.75,107.386,111.171,118.657,116.42,121.82,120.096,122.484,121.015,121.048,122.998,122.685,120.515,117.787,121.007,119.128,122.52,124.271,123.424,125.274,129.1,130.473,125.411
"14","6","    Nondurable goods","B687RA3",68.262,69.838,69.984,73.173,72.824,72.55,76.444,75.435,74.133,72.95,73.03,73.447,75.375,77.648,76.746,76.867,79.034,77.26,78.666,80.684,82.209,83.755,83.186,85.013,85.327,87.553,82.082,78.982,86.284,89.731,88.079,90.623,90.912,92.404,93.628,96.226,102.786,106.546,106.596,98.935,92.383,95.897,105.234,106.486,110.55,113.925,116.192,119.083,121.995,121.55,123.519,128.947,124.294,127.877,126.978,128.886,127.215,131.285,135.342,142.04,130.109,139.888,143.604,141.836,141.547
"15","7","  Capital goods, except automotive","B640RA3",74.324,74.36,78.343,80.993,82.117,88.605,92.6,91.05,90.007,82.058,75.088,72.031,71.196,73.578,74.633,72.066,71.465,71.64,74.622,80.648,82.239,83.168,84.084,84.558,86.853,90.954,90.822,95.889,99.554,102.058,101.722,104.683,106.068,107.858,112.315,114.929,116.883,120.357,120.506,109.857,100.782,96.902,98.146,104.171,107.725,112.595,115.753,118.726,119.74,124.311,125.54,128.217,131.823,131.102,132.793,131.289,129.838,133.893,133.11,133.745,133.295,135.417,137.427,137.264,132.779
"16","8","    Civilian aircraft, engines, and parts","B688RA3",116.334,102.115,107.159,106.444,87.82,101.294,93.698,91.062,105.288,101.121,92.911,87.663,89.302,90.774,95.715,85.138,80.595,75.889,78.606,88.374,79.545,74.83,77.265,76.477,83.655,96.283,85.631,92.327,97.309,98.622,96.606,104.243,102.425,101.98,111.774,113.603,108.437,109.75,110.293,87.049,105.043,100.74,94.852,99.365,93.186,92.835,94.741,94.157,93.551,99.239,102.865,108.353,116.521,107.881,117.51,119.49,116.113,128.372,132.568,126.817,122.543,132.805,133.921,133.949,133.946
"17","9","    Computers, peripherals, and parts","B850RA3",66.709,70.49,73.88,75.564,81.206,89.294,95.275,92.543,90.159,80.722,75.149,70.778,66.71,69.037,67.984,70.037,69.633,68.713,74.021,77.983,76.571,76.89,79.922,82.483,85.754,91.191,93.021,94.195,98.19,100.305,97.799,102.149,105.163,101.19,103.365,102.8,105.298,114.156,114.912,99.579,97.765,95.176,100.77,106.29,113.908,115.393,120.193,127.523,134.16,137.519,142.814,142.479,146.005,140.476,138.657,137.44,138.841,141.434,141.084,141.734,146.586,144.171,146.76,142.131,137.068
"18","10","    Other","B689RA3",68.46,70.007,73.908,77.326,80.854,85.762,91.38,90.296,86.768,78.467,71.464,69.097,68.433,70.99,71.699,69.819,69.971,71.349,73.929,79.572,83.951,86.195,86.368,86.724,87.779,89.759,91.62,97.004,100.312,103.159,103.584,105.255,107.144,110.387,113.903,117.182,120.792,123.985,123.942,117.206,100.02,96.102,98.686,105.193,110.818,117.554,120.84,124.236,124.996,129.404,129.462,131.703,134.006,136.148,135.978,133.435,132.2,134.043,131.761,134.259,134.312,134.54,136.741,137.042,131.28
"19","11","  Automotive vehicles, engines, and parts","B641RA3",98.107,99.956,101.482,102.688,110.962,105.957,104.402,103.485,96.885,100.955,100.541,98.628,98.419,106.275,105.538,103.135,103.785,106.696,101.729,107.047,109.119,113.271,118.645,119.665,121.539,122.034,125.782,132.597,135.147,133.321,133.864,138.142,143.561,152.672,154.278,153.576,152.169,155.924,159.92,130.67,83.521,83.336,108.175,124.968,129.827,135.446,137.042,143.375,154.535,155.027,162.921,164.581,172.297,173.466,171.186,170.626,172.914,179.477,181.141,180.305,173.962,185.514,196.923,187.444,171.969
"20","12","  Consumer goods, except food and automotive","B642RA3",57.061,57.56,58.704,60.994,63.166,63.943,65.93,64.667,67.053,66.383,61.605,60.638,60.102,61.473,62.167,61.719,62.991,63.618,65.875,67.665,70.265,73.744,74.499,77.395,79.136,80.909,82.258,84.471,87.466,89.094,90.208,94.545,97.664,98.845,101.114,102.394,106.424,110.341,112.036,103.941,97.296,97.236,99.981,105.487,108.279,106.117,108.708,114.01,111.251,114.791,114.632,116.295,114.733,116.964,116.97,117.692,117.917,126.57,122.461,123.761,127.227,132.116,132.093,132.383,135.123
"21","13","    Durable goods","B690RA3",55.958,58.294,59.899,63.696,66.062,64.938,67.353,65.551,69.502,68.624,63.126,60.643,61.451,62.495,63.402,61.379,61.376,63.103,65.92,69.382,70.387,74.903,77.466,80.201,82.939,84.725,88.028,89.622,93.476,97.137,97.861,103.326,107.364,110.839,113.695,118.942,123.399,127.599,125.563,108.157,96.449,94.767,101.54,107.244,110.248,115.761,119.59,124.387,125.322,129.295,129.305,130.734,130.047,128.899,127.245,128.511,130.808,144.238,134.404,142.198,143.967,149.94,148.263,146.933,145.364
"22","14","    Nondurable goods","B691RA3",58.365,56.957,57.623,58.353,60.325,63.088,64.63,63.925,64.677,64.224,60.192,60.825,58.862,60.587,61.058,62.276,64.9,64.365,66.036,66.067,70.351,72.757,71.63,74.701,75.408,77.172,76.488,79.355,81.464,80.992,82.509,85.684,87.858,86.702,88.375,85.676,89.278,92.902,98.312,99.669,98.188,99.765,98.382,103.664,106.216,96.575,97.953,103.731,97.413,100.534,100.214,102.098,99.681,105.2,106.824,107.006,105.219,109.25,110.657,105.689,110.818,114.634,116.253,118.141,125.18
"23","15","  Other","B643RA3",118.12,122.245,112.142,116.482,111.008,108.927,112.972,116.564,107.473,113.592,107.06,104.37,111.049,113.92,120.43,114.463,105.104,103.253,106.088,102.277,104.721,109.824,103.667,102.609,110.554,111.538,119.339,117.514,122.928,113.668,121.451,123.346,121.918,115.667,114.313,120.429,114.478,113.991,95.373,105.211,102.519,97.873,91.741,107.867,100.075,104.639,105.394,92.989,91.458,82.782,84.085,80.747,85.488,85.522,89.095,101.229,94.052,85.571,93.169,101.789,92.981,101.894,103.253,114.336,103.293
"24","16","    Other durable goods n.e.c.","Y973RA3",119.533,123.335,112.915,117.343,112.069,110.134,114.371,118.108,108.941,115.097,108.297,105.258,111.572,114.236,120.766,114.765,105.598,103.69,106.313,101.834,103.417,108.12,101.645,100.618,109.121,110.617,118.688,116.722,121.899,112.447,120.43,122.288,120.988,114.579,113.06,119.372,113.239,113.262,94.256,104.538,102.44,97.264,91.661,108.634,101.069,106.193,106.337,92.599,91.694,83.132,84.743,81.192,85.918,85.985,89.317,101.796,94.461,85.737,93.584,102.346,93.282,102.251,103.49,114.699,103.406
"25","17","    Other nondurable goods","Y974RA3",117.156,121.199,111.203,115.412,109.882,107.749,111.658,115.121,106.068,112.131,105.847,103.495,110.536,113.613,120.106,114.173,104.624,102.829,105.869,102.706,105.987,111.479,105.631,104.544,111.946,112.433,119.972,118.284,123.927,114.853,122.442,124.373,122.82,116.723,115.529,121.456,115.681,114.699,96.458,105.864,102.596,98.464,91.817,107.123,99.109,103.129,104.479,93.368,91.228,82.442,83.447,80.314,85.07,85.072,88.879,100.678,93.656,85.41,92.767,101.249,92.69,101.548,103.022,113.983,103.183
"26","18","      Net exports of goods under merchanting","Y975RA3",50.961,49.222,46.555,41.69,32.328,26.602,21.128,15.698,9.282,11.42,22.325,43.298,75.387,92.762,98.114,94.523,71.88,73.861,91.076,132.61,193.604,225.923,241.377,238.079,208.055,174.391,163.826,171.713,193.231,197.024,191.06,195.234,184.801,189.306,199.709,193.489,201.073,166.051,171.066,147.107,98.726,131.933,97.217,72.125,69.726,32.298,37.744,55.33,49.308,58.126,51.732,64.619,62.241,54.494,71.18,59.101,64.572,74.105,65.651,65.148,73.782,78.867,88.334,90.922,96.933
"27","19","      Other other nondurable goods n.e.c.","Y976RA3",119.53,123.331,112.912,117.34,112.066,110.13,114.368,118.104,108.938,115.094,108.294,105.255,111.568,114.232,120.763,114.762,105.595,103.687,106.309,101.831,103.414,108.117,101.642,100.619,109.122,110.613,118.684,116.715,121.891,112.44,120.426,122.292,121,114.59,113.057,119.34,113.172,113.191,94.267,104.653,102.71,97.481,91.659,108.151,99.971,105.209,106.438,94.483,92.458,83.155,84.377,80.774,85.739,85.969,89.397,101.898,94.509,85.741,93.562,102.307,93.244,102.212,103.452,114.659,103.365
"28","20","Exports of services \1\","B646RA3",63.468,63.462,65.855,66.361,66.636,68.415,67.912,68.245,67.055,66.078,63.984,60.483,65.27,65.826,66.403,67.079,65.258,64.977,67.617,70.665,74.64,75.215,74.984,77.801,78.32,77.458,78.043,80.212,81.847,84.264,83.388,89.953,92.075,94.14,97.373,102.262,100.459,103.291,100.141,100.437,97.133,99.24,99.984,103.643,102.212,104.01,108.538,112.322,112.503,115.027,116.782,115.373,115.618,116.669,117.323,120.884,120.631,121.238,122.32,123.013,122.146,123.36,122.775,125.515,127.791
"29","21","  Transport","Y800RA3",97.376,96.375,97.103,97.878,96.889,98.618,95.827,96.38,95.823,93.29,87.03,78.362,88.627,88.207,87.247,90.148,81.821,80.261,81.87,85.838,87.374,88.519,88.887,85.179,88.236,90.119,90.62,95.152,96.003,96.023,97.287,98.798,102.918,102.222,107.759,110.054,113.722,112.539,110.947,104.891,97.944,99.554,101.091,101.411,103.096,106.072,106.412,108.076,107.127,107.982,110.956,109.399,109.584,110.88,109.863,112.15,114.649,116.869,115.209,118.317,118.961,121.009,121.712,124.353,123.865
"30","22","    Sea Transport","Y977RA3",103.89,104.524,102.489,108.803,104.941,101.584,101.467,102.982,98.57,97.25,97.686,102.032,101.323,100.975,103.811,104.453,93.689,93.562,92.575,98.184,95.929,95.275,94.135,98.7,94.748,96.022,93.512,102.833,106.296,110.649,116.82,116.121,115.473,123.016,125.967,125.457,131.952,131.753,127.694,110.548,92.455,96.722,101.914,108.909,109.63,111.425,111.469,111.873,111.468,110.904,110.926,112.724,113.955,114.94,112.372,111.053,111.997,113.037,112.971,114.679,114.028,114.806,115.118,116.794,116.028
"31","23","      Freight","Y978RA3",118.204,124.972,135.012,159.385,149.417,139.858,130.423,149.776,123.337,122.843,121.561,126.053,116.085,111.357,120.077,128.334,116.007,118.082,121.042,128.944,116.783,112.33,103.633,120.978,101.734,103.169,93.53,104.045,94.966,90.678,102.204,105.335,105.483,119.229,127.831,140.165,140.365,135.013,129.77,103.942,87.391,93.549,104.629,114.431,113.986,113.542,115.643,121.476,108.765,104.196,108.259,116.581,112.817,115.638,109.504,111.795,108.436,108.689,106.552,113.078,107.574,102.011,102.739,105.319,100.193
"32","24","      Port","Y979RA3",99.314,97.166,90.045,89.465,88.003,87.062,90.542,85.609,89.199,87.582,88.645,92.914,95.958,97.345,97.794,95.336,85.14,84.111,81.546,86.309,87.941,88.739,90.458,90.198,91.993,93.19,93.353,102.205,110.29,117.808,121.994,119.897,118.941,124.338,125.336,120.407,129.051,130.618,126.889,112.952,94.152,97.71,101.021,107.117,108.243,110.8,110.122,108.604,112.444,113.282,111.875,111.533,114.402,114.797,113.418,110.925,113.246,114.534,115.122,115.311,116.207,119.06,119.236,120.62,121.279
"33","25","    Air Transport","Y980RA3",97.035,95.26,96.458,95.82,96.046,99.859,95.223,95.929,96.283,92.206,84.422,70.401,85.469,84.767,81.293,85.14,78.348,74.004,78.202,82.019,83.062,84.545,86.797,80.35,85.063,87.567,88.878,92.696,93.053,90.777,91.132,93.041,99.733,95.541,103.394,105.811,109.154,108.259,106.597,103.403,100.531,100.621,100.4,98.448,101.429,104.419,106.364,107.25,106.998,107.975,111.421,109.027,108.88,109.671,109.571,112.607,116.407,118.761,117.379,121.239,122.331,125.177,125.815,128.626,128.426
"34","26","      Passenger","Y981RA3",111.229,111.246,115.618,109.436,109.92,116.327,113.354,113.436,108.228,104.966,96.556,72.474,90.472,89.707,85.55,86.218,74.469,66.983,74.004,76.09,76.886,79.41,81.855,75.998,77.247,82.689,86.465,88.457,87.852,87.015,88.705,86.41,89.033,86.588,95.11,102.428,103.789,105.756,103.967,101.864,100.119,102.287,102.089,95.505,97.38,100.073,106.029,105.774,106.843,108.636,111.555,110.534,111.483,113.313,111.749,114.893,117.802,123.239,121.191,125.888,130.054,134.768,135.814,140.19,144.074
"35","27","      Freight","Y982RA3",52.642,52.455,55.663,60.605,62.937,64.678,67.109,63.483,62.127,61.116,61.62,60.823,63.745,63.785,65.658,70.937,76.699,81.638,81.164,81.866,85.818,86.846,87.898,85.714,92.742,93.759,95.657,99.005,96.39,96.915,97.472,99.937,100.464,103.857,109.249,109.634,110.684,112.04,111.487,102.088,97.121,96.736,99.315,106.827,111.207,113.775,105.375,108.4,105.63,104.537,106.864,104.086,102.729,102.434,107.094,108.428,110.435,107.903,106.675,108.267,104.522,101.864,101.718,102.619,93.417
"36","28","      Port","Y983RA3",124.345,112.846,98.77,107.508,103.186,101.846,80.749,90.251,110.791,99.572,80.852,78.583,103.339,101.543,91.883,104.568,95.602,88.502,89.475,104.348,101.97,100.399,103.538,89.163,103.223,97.213,88.845,99.83,107.75,96.528,92.014,108.271,139.139,117.302,126.348,113.026,127.738,111.54,108.315,111.056,106.897,100.267,96.128,96.708,102.224,107.344,108.567,110.917,109.036,109.88,117.413,109.649,106.783,104.855,103.349,108.672,119.245,116.331,117.462,121.477,117.665,121.97,122.247,121.796,120.812
"37","29","    Other modes of transport","Y984RA3",85.028,87.539,93.057,90.285,86.263,84.467,89.852,85.581,89.182,97.221,83.375,82.461,83.514,85.528,96.504,97.706,82.013,103.105,87.445,87.633,107.003,110.718,96.231,93.823,102.681,99.914,101.652,98.186,95.749,106.082,101.01,105.589,97.629,108.036,96.324,106.452,104.277,96.654,104.37,102.764,87.228,97.331,106.052,109.388,99.873,106.989,89.421,104.685,93.391,97.462,104.331,102.021,102.799,111.352,104.129,109.286,101.016,105.456,95.316,94.036,93.599,90.282,93.017,96.739,93.794
"38","30","  Travel","Y801RA3",109.955,109.011,114.288,112.585,114.538,117.761,115.92,114.092,111.621,104.714,98.869,80.726,93.553,93.94,92.586,92.992,86.774,83.901,91.191,94.141,97.818,98.537,97.61,99.093,96.072,96.026,92.122,91.499,90.982,91.758,93.439,95.657,97.456,98.93,101.434,107.605,110.708,112.143,106.98,104.961,97.946,98.768,101.043,102.243,106.435,108.907,112.799,115.15,113.401,118.288,116.317,116.448,116.823,121.27,122.237,122.209,126.672,127.313,129.145,130.449,131.459,134.4,134.656,137.223,142.468
"39","31","    Business","Y985RA3",145.911,147.013,152.989,150.814,154.701,157.876,155.886,153.544,149.166,138.165,130.512,101.048,120.258,120.922,117.002,118.109,108.575,100.039,109.999,116.72,116.748,117.205,116.77,119.243,114.267,117.334,111.903,109.153,111.102,110.161,111.732,113.657,113.648,117.305,117.228,121.82,127.346,126.737,114.297,114.12,104.419,97.225,98.821,99.535,101.284,104.199,107.846,106.817,103.769,104.354,101.246,98.193,97.73,97.686,97.855,93.047,97.46,94.551,95.978,96.382,100.326,101.28,109.822,102.79,104.639
"40","32","      Expenditure of seasonal, border, and other short-term workers","Y986RA3",120.643,121.523,119.569,120.257,115.669,117.093,115.353,116.282,120.464,119.546,123.937,126.055,130.313,132.409,127.49,131.604,129.681,127.125,129.333,130.62,134.346,138.743,135.353,135.054,132.567,134.553,134.378,131.859,131.722,131.936,129.985,133.096,117.207,118.57,115.947,115.714,130.245,118.807,114.63,121.178,111.405,104.766,95.561,88.268,86.432,92.25,92.424,88.471,85.407,84.362,88.572,85.023,83.627,87.973,88.638,87.552,88.475,93.082,93.457,90.03,88.809,90.515,91.366,90.913,94.91
"41","33","      Other business travel","Y987RA3",151.736,152.889,160.696,157.86,163.702,167.282,165.234,162.139,155.788,142.46,132.029,95.275,117.937,118.271,114.583,114.995,103.705,93.787,105.537,113.512,112.686,112.234,112.481,115.594,110.044,113.36,106.716,103.912,106.343,105.135,107.52,109.17,112.827,117.013,117.524,123.229,126.677,128.568,114.221,112.491,102.806,95.485,99.574,102.135,104.712,106.955,111.404,111.049,108.006,108.967,104.171,101.232,100.984,99.926,99.98,94.313,99.532,94.888,96.558,97.846,102.983,103.763,114.08,105.529,106.882
"42","34","    Personal","Y988RA3",93.81,91.911,96.889,95.396,96.458,99.721,97.941,96.346,94.753,89.711,84.674,71.663,81.608,81.867,81.671,81.761,77.031,76.701,82.798,84.065,89.363,90.198,89.054,90.099,87.955,86.497,83.28,83.624,81.985,83.541,85.275,87.629,90.244,90.735,94.405,101.29,103.301,105.656,103.759,100.923,95.103,99.443,102.02,103.433,108.693,110.968,114.967,118.795,117.616,124.386,122.912,124.435,125.176,131.587,132.903,134.965,139.449,141.642,143.651,145.348,145.078,148.886,145.528,152.276,158.998
"43","35","      Education related","Y989RA3",83.762,83.953,85.058,85.382,85.25,86.389,87.942,90.994,90.56,91.72,93.015,97.08,96.551,97.256,98.202,97.146,98.087,97.49,95.933,93.999,93.209,92.57,91.56,90.177,89.637,89.038,89.008,87.954,87.553,87.458,87.392,89.089,88.774,89.125,90.652,93.7,95.189,93.934,93.868,100.612,98.368,100.813,101.659,99.16,100.815,102.562,104.278,105.158,105.967,105.809,107.224,109.17,110.021,111.658,114.196,117.583,118.689,122.318,125.311,126.622,126.846,127.873,131.717,131.964,134.442
"44","36","      Health-related","Y990RA3",94.07,94.951,95.396,96.482,98.573,99.446,99.999,101.258,92.963,92.381,92.107,91.775,85.839,83.78,83.042,82.557,83.321,84.306,84.139,84.054,85.239,85.29,85.239,85.5,87.704,99.277,99.23,99.99,100.183,100.285,100.049,100.025,100.159,100.144,100.018,99.903,100.141,100.164,99.988,99.861,100.005,100.09,100.008,99.898,99.857,100.041,99.858,99.821,99.673,99.545,99.982,99.788,99.713,99.613,99.904,99.578,99.682,99.35,99.818,99.566,99.569,99.603,99.581,99.528,99.571
"45","37","      Other personal travel","Y991RA3",95.994,93.468,99.573,97.526,98.849,102.725,100.033,97.178,95.553,88.76,81.87,63.741,77.119,77.293,76.76,77.176,70.587,70.278,78.907,81.2,88.54,89.863,88.621,90.428,87.604,85.396,81.152,81.868,79.821,81.9,84.216,86.847,90.403,90.951,95.392,103.679,105.929,109.428,106.915,101.08,93.856,98.974,102.214,104.956,111.623,114.17,119.1,124.059,122.188,131.509,129.014,130.479,131.223,139.477,140.447,142.193,147.975,149.824,151.59,153.504,153.061,157.955,152.1,161.302,169.764
"46","38","  Charges for the use of intellectual property n.e.c.","B684RA3",61.085,60.826,62.673,62.474,65.176,65.889,65.848,64.634,61.224,61.482,59.77,62.31,62.324,66.398,68.207,65.47,65.69,66.859,68.713,69.349,75.153,75.069,77.155,82.739,84.26,82.426,82.491,82.695,87.277,90.327,87.193,95.444,96.199,99.814,104.652,108.854,104.69,103.546,104.09,101.961,93.052,97.561,96.653,112.735,106.942,105.477,106.409,111.541,119.673,119.74,122.824,119.355,119.77,118.19,119.79,123.94,122.762,123.585,123.382,120.192,121.114,121.79,121.97,123.302,124.311
"47","39","  Other business services","Y802RA3",33.517,34.028,35.564,37.36,36.492,37.535,37.745,39.796,40.488,41.637,41.504,43.553,45.88,45.515,46.316,48.489,49.259,49.835,50.235,54.188,57.925,58.896,57.435,62.449,62.043,60.053,63.22,68.482,69.036,71.426,70.486,80.707,82.6,88.32,89.962,91.753,90.635,96.559,93.348,97.882,99.488,99.928,98.285,102.299,98.731,101.442,109.728,115.606,111.432,113.524,116.749,115.869,115.784,116.556,117.181,122.967,119.682,119.88,121.911,124.66,121.825,123.316,121.699,125.459,127.016
"48","40","    Maintenance and repair services","Y992RA3",43.45,45.433,45.311,45.8,48.468,51.814,57.527,60.881,62.045,62.484,66.207,68.438,67.124,69.682,65.132,67.477,62.434,66.767,60.808,60.132,58.958,58.084,53.783,55.315,64.733,70.056,67.85,77.803,59.677,67.99,71.495,77.016,79.394,82.459,75.457,77.311,70.569,77.321,81.284,87.619,94.497,95.206,104.249,106.048,92.969,109.44,109.881,115.645,96.81,100.562,102.442,105.988,103.335,106.375,102.215,116.185,96.773,99.156,127.375,136.192,129.211,135.183,136.72,146.437,148.432
"49","41","    Insurance services","Y993RA3",31.176,31.499,32.783,35.076,37.103,38.053,41.065,45.651,36.608,38.014,38.849,41.725,47.916,51.965,56.198,60.317,65.146,69.107,72.826,76.511,80.628,79.708,90.613,90.284,78.546,75.272,94.649,89.436,88.903,95.736,84.181,91.38,82.006,88.66,95.08,94.817,87.668,100.78,100.297,97.793,100.032,103.057,98.207,98.703,91.824,92.998,100.613,109.716,102.6,99.768,103.333,105.925,106.79,115.404,120.762,121.686,117.097,117.414,121.469,123.9,123.518,123.812,123.424,125.113,127.347
"50","42","    Financial services","Y994RA3",22.433,25.975,27.74,29.179,30.7,32.254,31.878,32.32,34.873,36.642,34.329,37.055,42.42,44.582,42.224,43.092,47.997,45.917,47.714,51.98,60.199,60.954,55.958,67.835,61.975,59.942,62.564,69.196,72.605,69.723,67.854,82.723,83.412,89.002,92.432,91.527,94.084,93.813,87.482,91.795,100.117,102.448,96.605,100.83,99.415,98.623,108.691,114.359,108.945,108.328,110.688,104.914,105.956,99.508,101.787,106.399,106.369,105.408,103.226,107.266,102.175,103.848,98.91,106.045,105.045
