"","Table 7#2#5U# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"65","57","    New","B146RC0",-1160,-1576,-464,1040,992,2584,184,1280,872,-968,2056,-880,-1532,1160,16,-2724,4665,1448,-822,340,2678,197,-3727,327,2677,-504,-554,2768,527,620,3013,5494,-5587,-54,1146,-1161,1582,3348,-472,1922,1762,315,2062,3274,4890,923,-922,2908,3391,3429,-4484,-2172,-4643,2471,-492,5695,-5039,11070,-2254,4136,-9920,3360,7119,-11509,3403,-6342,3589,6637,5709,-5331,-609,9682,1318,2379,-6084,17311,5355,2637,-9035,5364,20407,5749,-11879,11329,-12745,6467,714,4531,11806,981,-12593,6439,-9471,2288,2918,-3968,-4766,-2230,5405,615,-6025,3071,3338,-68,10359,-1973,-3505,-1208,-1492,-288,642,3215,13922,5623,-8740,-1408,-21084,5138,4224,-10260,-3162,4497,1026,-447,5050,-11046,10250,5445,4468,-1658,-2733,4576,-1495,2389,2193,1491,-11300,-3678,1495,-12502,14523,8962,-1931,8970,-8348,6837,-5559,1931,75,205,-414,-5985,2854,-4641,-7125,4701,4557,4158,-2522,4426,-1218,-2629,393,-11515,725,-2328,13923,13722,-20560,-12794,-19270,3969,4806,10784,5145,-7030,-4890,-7262,2927,6656,7346,11681,13100,2804,5778,12789,-3317,8041,3417
"66","58","      Domestic","AB71RC0",-1236,-1248,64,936,812,2456,136,884,1136,-1516,1792,-760,-1752,1060,-60,-2700,4317,1188,-1546,-624,2162,-51,-3691,647,3120,-85,-385,3153,-922,-1345,1648,5492,-4179,1319,1490,-2162,466,1132,-324,1614,2106,2451,2312,1616,2013,-1326,-1622,1837,5347,6268,-4457,-2826,-3553,244,-1800,5872,-4393,11072,-932,3051,-10650,1146,7709,-9323,4889,-4212,3754,7255,4284,-3933,-1331,7783,802,1373,-6367,15774,5571,117,-11571,3625,17438,968,-12966,10785,-11488,5157,539,3525,10160,3053,-12637,8280,-11306,3063,3400,-5823,-6346,-1189,4665,137,-5739,3747,3142,988,7062,-1304,-1254,-1288,1752,1927,1170,3045,15769,2211,-4058,-1768,-14346,4243,4609,-9944,-3814,4102,1624,-697,3472,-11950,11494,2768,4136,-3003,-2877,1435,-2436,2469,1770,710,-13030,-3195,-432,-11849,13726,8101,272,3565,-4914,3750,-3232,158,669,574,-2191,-1186,752,-4453,-4975,6281,2441,2530,-1195,2055,36,510,-2777,-9318,-3224,-2287,10358,12705,-15645,-10941,-12526,3127,6008,3890,4663,-4630,-2665,-1908,1069,6464,5555,7103,10653,3439,4391,6315,-1717,8469,3803
"67","59","      Foreign","AB72RC0",76,-328,-528,104,180,128,48,396,-264,548,264,-120,220,100,76,-24,348,260,724,964,516,248,-36,-320,-443,-419,-169,-385,1449,1966,1365,1,-1409,-1373,-344,1001,1116,2216,-148,308,-344,-2136,-249,1659,2877,2249,700,1070,-1956,-2840,-27,654,-1090,2227,1309,-177,-647,-2,-1323,1085,730,2214,-590,-2186,-1486,-2130,-165,-618,1425,-1398,722,1899,516,1006,283,1537,-216,2520,2536,1739,2969,4781,1087,544,-1257,1310,175,1006,1646,-2072,44,-1841,1835,-775,-482,1855,1580,-1041,740,478,-286,-676,196,-1056,3297,-669,-2251,80,-3243,-2216,-528,170,-1847,3412,-4682,360,-6738,894,-384,-315,652,395,-598,250,1578,904,-1244,2677,332,1346,144,3141,941,-79,422,780,1730,-482,1927,-653,798,861,-2203,5405,-3434,3087,-2327,1773,-593,-368,1777,-4798,2101,-188,-2151,-1580,2117,1627,-1327,2371,-1254,-3140,3169,-2196,3948,-42,3565,1017,-4914,-1853,-6744,842,-1202,6894,482,-2400,-2225,-5354,1859,192,1791,4579,2447,-635,1386,6475,-1601,-428,-386
"68","60","    Used","B147RC0",-258,52,-220,-430,369,174,-228,452,-500,343,176,170,283,-47,381,-1092,641,-52,55,81,-405,-108,-531,-159,207,243,71,-12,-224,-495,239,-660,338,-213,241,627,387,-38,-159,330,-116,1184,101,82,-247,389,-304,-122,206,-210,428,-19,-1094,-992,-488,-605,910,-669,399,-216,133,154,-177,437,473,888,-77,490,784,477,-18,951,173,1303,2753,-1226,169,1932,2994,-322,47,980,1446,435,1951,-527,3489,788,-192,2529,4074,-2430,1455,-1114,127,-1069,-712,1826,393,680,-2235,24,-495,1177,-2052,2511,333,2796,-1175,1322,56,2217,459,2359,-658,2059,2829,2168,1567,1873,-1539,1395,3844,1089,3098,8086,-5154,-3127,2603,-2560,-1586,6603,1402,6390,7134,-3345,3104,5349,116,1531,1201,-1537,-2648,1892,-63,-2865,-1459,-1534,-3211,-863,-2123,-3842,-2826,-1460,-543,1871,379,-887,1461,2236,3606,317,2080,-867,-159,-2024,967,-626,-2220,1332,4417,11287,8383,2997,2114,-4341,-1516,-2482,-1731,-3436,1197,-642,-608,332,-33,-2231,11,-1442,-1600
"69","61","  Trucks","B709RC0",312,-40,-649,24,52,749,189,229,53,-435,535,363,-27,66,35,-443,1037,420,133,-691,161,449,-491,525,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-482,74,-548,2424,2649,1158,3016,4300,-2809,1640,813,2189,3764,1715,-5395,-217,5405,179,-1272,3361,-254,-631,-779,3922,5653,1276,-3638,2214,-7977,3656,2427,-1957,-9706,-505,534,2207,3948,-1152,-1801,2572,7049,-3420,-2445,-373,3284,3471,6801,3338,2095,4623,3740,2724,-3922,6377,4931,-3125,505,123,991,8745,10526,-5881,-12765,-2825,12264,2511,8445,13756,5394,15884,482,4269,-18027,3512,3040,-27460,-4382,8757,5955,12590,17930,9561,-1615,12261,16139,6758,4045,-4104,-5308,-7429,-322,14326,3774,2313,-1264,-12890,-4809,1783,2954,-7308,-8562,6113,-24868,-21082,-35015,-35169,-1966,13077,10147,7732,16599,672,7390,-2437,3218,2790,11422,10134,5267,2953,-5455,6953,12110,20858,3947
"70","62","    New","W244RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-639,-93,-675,2327,2621,1114,2951,4175,-3057,1389,544,2068,4058,2169,-4834,199,5466,-64,-1721,2843,-565,-870,-936,3822,5603,1250,-3716,2108,-8308,3370,2215,-2053,-9622,-359,693,2355,3939,-1292,-2087,2151,6599,-4047,-3181,-1329,2247,2405,5852,2476,1918,4590,3662,2386,-5555,4556,3151,-4646,3666,2169,1721,5495,6559,-12483,-8273,4697,10255,6464,8383,8548,4027,11670,-3403,6013,-20168,-313,3187,-28415,-5413,10043,8185,10951,19088,12217,-3501,7936,15781,5683,1490,-3023,-2051,-8919,-3109,13604,-224,2838,-924,-12662,-6499,2651,1406,-8338,-9335,4764,-27771,-20531,-31789,-33937,-3364,3090,8104,8324,16403,1860,8434,-392,1749,1967,14028,12009,8009,1024,-9570,2835,7667,13718,-6646
"71","63","      Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-590,845,565,-618,1225,-496,168,2597,206,-395,-852,-1377,-207,812,367,-300,15,355,3512,934,-1400,-1571,985,2411,5450,2827,-2724,-4471,-2159,-3183,-4130,1193,-413,-185,-1890,1529,-1906,2252,1543,-2821,-497,39,340,1854,3070,630,3327,3090,-2337,1136,929,1156,3352,907,-5379,240,4380,-187,-47,2966,-409,-1271,-108,3523,5274,1822,-3135,1571,-6323,3775,2145,-2949,-10133,609,1869,1821,3298,-766,-1653,1763,7192,-3545,-2426,-1118,2159,2752,5418,1527,1326,4140,4302,3882,-5642,4431,3607,-5384,2474,2057,2320,4092,6248,-13404,-6583,4632,9173,6919,9370,6436,4208,9914,-2032,2667,-18635,532,3265,-28742,-5362,9954,6733,6723,17814,11147,-1481,8045,14128,3986,1732,368,-2373,-9544,-2650,11512,-1013,2482,-1387,-14149,-5198,3097,1651,-7568,-11139,-62,-31969,-13847,-24269,-27899,-234,1106,7332,6695,16189,1126,8473,1714,784,1471,11593,9724,7544,1943,-9050,1267,8843,13166,-4612
"72","64","      Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,-376,3,317,-199,-61,94,-10,-97,-28,-54,34,110,159,86,-58,-39,-125,-70,112,216,99,129,81,-286,-145,71,144,-146,269,76,59,-137,-22,-102,64,639,456,-604,-735,-142,-132,-1015,473,-449,484,-376,1085,-720,253,-385,912,706,1262,545,-41,1086,123,-1674,-123,-156,401,-828,299,329,-572,-581,537,-1985,-405,70,896,511,-968,-1176,534,640,-526,-434,388,-593,-501,-755,-211,88,-347,434,949,592,449,-640,-1496,88,126,-456,738,1192,111,-600,1402,311,921,-1690,65,1082,-455,-987,2112,-182,1756,-1371,3346,-1533,-845,-78,327,-51,89,1451,4228,1274,1070,-2020,-109,1653,1697,-243,-3391,321,625,-459,2092,789,356,462,1487,-1301,-446,-245,-771,1804,4825,4198,-6684,-7519,-6037,-3130,1984,773,1629,215,734,-39,-2107,965,496,2435,2286,465,-919,-520,1568,-1176,552,-2034
"73","65","    Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,167,127,97,28,44,65,125,248,251,269,121,-294,-454,-561,-416,-61,243,449,518,311,239,157,100,50,26,78,106,331,286,212,96,-84,-146,-159,-148,9,140,286,421,450,627,736,956,1037,1066,949,862,177,33,78,339,1633,1821,1780,1521,-3161,-2046,-730,3251,3967,6602,-4492,-7522,2009,-3953,62,5208,1367,4213,3884,-1744,2141,3825,-147,955,1030,-1286,-2230,1639,-1158,-2657,1885,4325,358,1075,2556,-1081,-3257,1490,2787,722,3998,-525,-340,-228,1690,-868,1548,1030,772,1350,2903,-551,-3226,-1232,1399,9987,2043,-592,196,-1188,-1044,-2045,1469,823,-2605,-1876,-2742,1929,4115,4118,4443,7140,10593
"74",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","66","  Final sales of motor vehicles to domestic purchasers","AB75RC0",34421,37299,37153,36405,41736,42570,45429,45849,46879,46469,47110,46447,42539,43581,43542,35069,48901,50861,52870,55715,56984,59160,59754,64388,70357,69042,67218,62780,59526,60929,65561,56995,56568,57168,66036,70188,78398,80560,84268,86816,98073,99546,100201,104879,103523,119566,117028,120262,120976,112620,118154,111815,112436,89850,102457,105244,116732,110597,120402,105521,117724,115754,116704,125358,125742,144527,155008,171277,179429,187590,185033,191768,204470,209011,230529,208711,210581,224097,253917,231951,207469,227268,245985,225813,245933,241402,235873,245964,245022,248762,256103,231458,253400,239026,239645,228221,218790,214276,227102,222976,233515,240243,242407,256605,252114,275819,274511,293808,310498,309082,317682,332807,320478,319188,326957,336297,338863,344664,350859,357840,373128,360214,380943,388524,373774,402699,404715,452569,432600,458104,469771,458162,487755,454293,453713,446453,459585,448883,444696,501447,470608,472374,501829,469097,459150,474190,491723,481451,486730,493220,506841,521382,512660,531358,542753,490680,521307,514145,518140,517925,512233,507865,505879,501634,470966,429412,395037,316459,301457,308996,349780,333028,358074,390004,407547,428893,443964,436506,456035,479550,502582,510402,522391,530855,538184,545783,551810,553076,555405
"76","67","  Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53201,57751,61553,58973,64323,64587,65539,66324,60236,65157,63322,57371,63267,63069,67526,66807,66885,69666,74103,71256,71144,76008,74162,80242,77753,90264,84419,93374,104979,104499,108735,116627,111349,108484,114531,116310,121475,128835,136908,137859,143428,140555,144939,147119,144402,156554,142060,164749,164939,166935,177666,175724,182540,172354,171759,160912,168311,163873,157395,153536,151518,158315,161456,152249,145148,141885,153054,153720,148876,156438,167021,173216,165749,173009,185837,181602,198247,185604,184805,188537,189515,185026,191272,188158,180196,161733,147651,106367,83526,94994,101190,119556,132476,141675,147876,149734,157434,154406,169749,169666,180678,182806,186730,197526,205891,208734,211218,212672,215490
"77","68","  Domestic output of new autos \2\","B148RC0",22327,25081,25324,25326,29974,31552,30846,31455,32051,28659,31883,28130,24371,28503,27373,15921,36073,32701,30634,33282,35671,34746,32031,38865,44642,40573,38576,36241,30174,31556,37281,34145,26580,32256,38871,38409,46320,46350,44570,49223,54733,54597,54962,54975,54267,60997,58165,62619,66489,61311,56050,52839,53951,43272,48143,58111,57775,62503,61236,49168,41540,54811,60330,49272,62380,64324,75996,84437,88183,81992,83577,93395,93021,92532,99009,95405,96187,95975,100351,95628,100404,91645,86680,96161,88363,100614,96230,104352,106761,101180,89810,92127,87218,95600,98713,84487,83470,83759,94001,89378,85889,94138,95149,97973,97566,100211,91737,107145,117261,112691,113380,119190,121167,109071,106279,109243,100261,117743,117486,103085,107596,108897,110796,108834,106483,100799,110505,117255,111742,111125,112406,114484,119456,117684,114043,106779,103842,107839,104893,107069,112346,112610,109645,103080,95882,96721,93564,95945,94155,93600,92823,98234,105603,104097,105515,110479,114525,108186,105679,104358,104289,105533,103386,105068,106355,100555,109893,85095,41618,49552,68995,79306,77692,78251,78552,74404,77954,80478,85684,96732,111380,112392,118725,117806,121696,118615,115183,123132,115947
"78","69","  Sales of imported new autos \3\","B149RC0",2271,2732,3015,3064,3444,3686,4153,4432,4277,4878,5196,5900,5657,5793,5387,6352,6561,7032,7634,6939,7184,7620,8184,8877,9007,9381,8655,9154,9406,8069,9459,8719,10218,9783,10959,10495,10340,10975,11869,12513,13656,16031,14915,15026,14800,16561,16954,17135,18505,19406,19268,19962,23127,18792,21795,23487,24654,24252,24773,25249,27487,26600,28470,31121,29692,32696,32564,37600,37110,38750,37554,40097,39940,43563,48905,46630,47712,51707,57669,59419,48121,52108,57624,54880,60021,58960,56360,55258,52387,54947,56375,50874,56654,54441,53978,52699,45145,49682,51117,47342,50273,52088,50186,52573,50020,55512,57515,55095,53321,57656,58032,58676,54811,55042,55505,58403,54868,54218,55759,55687,59704,56392,61439,62394,63075,67919,65213,71013,72165,75935,77308,82988,85202,81889,81070,80521,79124,80079,77485,83706,84287,84746,87886,84871,83805,81978,83301,79259,81860,85438,82391,88185,82988,84177,88755,89528,94052,93628,96996,98570,100212,101198,97527,97712,92417,103526,88747,70047,66485,69675,83003,76607,79361,84156,88994,88516,97892,95996,92070,95042,107757,103519,101483,108694,106756,109092,112164,112010,106194
"79","70","    Imports from Canada","GAP890",689,943,1173,1141,1189,1499,1599,1894,1899,1980,2507,2727,2472,2578,2092,2050,2720,2637,2858,2835,2936,3087,2955,3358,3383,3408,3221,3139,3333,2951,3525,3604,2877,3121,3736,3598,3780,4371,4141,4041,4681,4985,4260,4310,4106,4742,4674,4540,4383,3451,3593,3498,3606,3336,3647,4891,3401,4659,4465,4667,4896,6738,7523,4896,6901,7447,7190,8191,8495,8077,8826,8270,7800,8666,11242,9325,9182,10126,10078,10601,8617,6833,6391,9327,11159,11912,9523,8701,10553,10197,10795,12112,11909,12364,13416,11093,10115,13400,14834,12091,10747,12872,12902,14267,15251,14980,18411,15033,13383,16146,14928,17385,18153,15516,17251,17984,14793,17591,18443,15679,18548,18091,19231,17110,20808,19623,23534,24643,24378,21726,23107,23305,23695,20234,18606,17756,14869,15665,14782,14317,17647,18889,20152,19831,17592,21221,19933,18913,19896,21164,19662,19421,18219,13484,15364,16894,15953,13350,14798,14413,16404,20194,16703,14487,15126,15893,13756,12517,9626,8400,12371,15089,16488,20373,20820,17110,23042,21331,19802,22772,27245,26282,25700,25761,25198,28708,25445,27107,24455
"80","71","      Sales","GAP1080",727,990,1170,1099,1157,1384,1592,1842,1833,2081,2372,2797,2638,2487,2096,2368,2409,2545,2995,2885,2767,3091,3279,3304,3155,3415,3252,2875,3431,3074,3374,3042,3322,2996,3595,3799,3743,4267,4170,3910,4504,4766,4084,4185,3956,4844,4803,4408,4029,3088,3886,3694,3851,3317,3784,4397,3665,3833,4534,4382,6099,6604,6617,5789,6385,7914,6845,7509,8096,8451,8961,7600,7734,8541,11933,7829,8664,10114,11196,10218,7156,6761,7331,8308,12538,11332,9470,8410,9570,9899,12247,11062,13384,11987,12985,11801,10863,13578,14145,12073,11436,12391,12501,14132,14229,15161,18634,15201,13191,15890,14783,16983,15984,15226,17849,18243,16724,17020,17780,17084,19143,17475,18978,17210,20205,21649,21447,24144,23614,22234,23614,23055,24108,19866,18357,17654,16514,16081,14837,15758,15763,17700,20108,19234,18412,20509,20531,18885,19773,21052,20064,19627,18101,14014,16020,16038,15655,13069,14948,14160,16398,20106,17123,15740,15581,16236,12484,10774,12817,9923,14337,14575,15415,19544,19811,18027,23683,21750,19587,21448,26062,24819,23647,25089,24384,27360,25789,25420,23726
"81","72","      Inventory change","GAP1100",-38,-47,3,42,32,115,7,52,66,-101,135,-69,-165,91,-4,-318,312,92,-137,-50,169,-4,-325,53,228,-7,-31,265,-98,-123,151,563,-446,126,141,-201,38,104,-29,131,177,219,177,124,150,-102,-129,133,355,362,-294,-196,-245,19,-137,494,-264,826,-69,285,-1203,134,907,-893,516,-467,345,682,399,-374,-135,670,66,125,-691,1497,518,12,-1119,383,1461,72,-940,1019,-1379,581,52,290,982,297,-1452,1049,-1475,377,431,-707,-748,-178,689,18,-689,480,401,136,1022,-180,-222,-168,192,257,144,402,2169,290,-598,-259,-1931,571,662,-1405,-595,616,253,-100,603,-2026,2087,499,764,-508,-507,250,-413,368,249,102,-1645,-416,-55,-1440,1884,1189,44,597,-819,712,-597,28,123,112,-402,-206,118,-530,-656,855,299,281,-150,253,5,88,-420,-1253,-455,-343,1272,1744,-3191,-1523,-1966,513,1073,829,1009,-917,-641,-419,215,1324,1183,1462,2054,673,814,1348,-345,1687,729
"82","73","    Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,132,139,210,436,213,333,535,237,1348,1413,1449,1478,1476,1437,1471,1117,1679,1182,637,953,1659,2412,2742,2091,2107,2593,2674,2249,2992,3327,2250,1684,3025,2471,3486,2738,3568,3862,4943,3855,3750,3753,6249,6048,5465,3746,3289,3332,4587,4446,4495,4007,5659,5590,6286,6747,6814,6169,7226,8353,9752,10785,10301,9639,9045,10122,9534,11618,11617,10169,9868,7466,8758,8053,7677,7525,8237,8999,9414,9167,11760,12091,15243,19636,17397,17423,18041,17699,15425,16774,15866,13711,17476,18671,17074,8157,13741,13292,16197,18173,16237,17513,17191,18613,18843,18344,18500,19935,19427,19078,19881,20979,20682,20955,20406,21689
"83","74","      Sales","GAP1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,130,148,176,412,213,370,516,197,1334,1620,1291,1661,1404,1429,1422,1013,1630,1341,582,1071,1608,2334,2917,2245,2135,2472,2670,2393,2880,3223,2228,1571,3062,2500,3525,2698,3511,3824,4829,3395,3680,3883,6339,6837,5287,3611,3583,3439,4431,4387,4521,3891,6243,5094,6159,6536,6973,6304,7149,8498,9575,10641,10242,10706,9285,10160,10493,10378,10886,10147,9571,7814,8464,8294,7666,7478,8193,9183,9514,9107,12223,12607,14471,19269,17031,17600,17724,17694,15358,17195,17237,14123,17853,16944,14695,10861,16233,15404,15646,16990,15577,16664,18112,19131,19213,18146,17425,19070,18346,17554,19362,20302,19710,21239,19136,21043
"84","75","      Inventory change","GAP1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,-9,34,25,0,-37,19,40,14,-208,158,-183,72,8,49,104,49,-159,55,-118,51,77,-175,-155,-28,120,4,-144,112,103,21,113,-36,-30,-39,39,57,37,114,461,70,-130,-90,-789,177,134,-295,-107,156,59,-26,116,-584,496,127,211,-159,-135,77,-146,177,144,59,-1066,-240,-38,-959,1241,732,22,297,-348,294,-241,11,47,44,-184,-100,59,-462,-516,772,368,366,-176,317,6,67,-421,-1372,-412,-378,1727,2378,-2704,-2492,-2112,551,1183,661,849,-922,-518,-370,199,1075,865,1081,1525,519,678,971,-284,1270,646
"85","76","  Exports of used autos","GAP980",16,12,12,12,8,12,12,8,12,16,12,12,12,16,16,16,12,16,16,12,20,20,16,20,28,32,36,44,36,24,28,32,30,32,32,34,33,39,41,45,51,55,63,69,62,58,74,81,79,86,83,64,76,80,78,75,79,73,84,71,31,64,62,54,48,44,42,38,42,45,39,46,44,50,48,54,73,81,101,101,144,214,185,229,287,352,425,532,658,768,611,787,989,958,816,889,930,1171,1382,1133,1585,1426,1799,1579,1738,1572,1387,1235,956,981,1399,1452,1528,1456,1684,1688,1780,1642,1863,1591,1557,1676,1478,1504,1438,1337,1143,1117,1000,1052,861,851,794,772,739,747,688,751,816,765,724,797,837,790,770,981,1031,1247,1412,1781,2243,2704,3035,3541,3442,3477,3651,4182,4345,5251,5170,6602,6656,7958,8473,10822,10739,9041,5446,6046,6331,7462,7053,7683,6639,8268,8301,9931,8695,9419,8625,8900,7591,8374,8561,8873,7351,8065,7446
"86","77","  Imports of used autos","GAP1010",3,4,7,10,12,14,15,14,15,15,13,13,12,13,12,7,9,6,5,4,4,5,7,8,9,10,10,7,7,8,8,9,9,10,14,15,16,20,21,23,27,25,24,24,24,28,30,30,30,28,31,27,37,35,45,52,54,46,65,56,61,47,84,144,128,145,187,268,281,338,360,476,508,626,568,462,320,242,211,143,104,95,107,82,81,69,113,188,199,82,146,149,128,178,243,263,89,60,61,50,42,42,43,53,72,79,76,77,88,96,101,103,111,112,104,93,84,87,85,72,143,125,114,94,297,346,380,393,503,586,712,851,928,972,1061,1079,1031,991,975,979,1014,1138,1111,1109,672,635,588,379,282,451,369,230,217,266,372,291,217,245,246,244,221,249,381,346,397,367,403,269,226,214,369,203,141,216,370,298,201,340,418,326,222,495,689,457,380,459,744,492,517
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
